-0.0013102+0.000607i,-0.0015078+0.00074542i,-0.0039218-0.00064524i,-0.0060382-0.0028359i,-0.0054251-0.002156i,-0.0023887+0.00077731i,8.9689e-05+0.001968i,0.0010067+0.0015862i,0.0013531+0.00091071i,0.0012225+7.4385e-07i,8.8641e-05-0.00036061i,-0.00045932-0.00055727i,0.00024095-0.00061669i,0.00029502-0.00051341i,-0.00052389-0.00060269i,-0.00087074-5.533e-05i,-0.00049006-0.00027728i,-0.00029838-0.00062145i,0.00029625-0.0009613i,0.00072464-0.0011115i,-0.00041842-0.00034185i,-0.00058042-0.00027042i,0.0002582-0.00023627i
1.2834e-06+0.0015755i,0.00011804+0.0024582i,0.00077946+0.0037914i,-0.00053869+0.0035668i,-0.0017793+0.0022957i,-0.0011585+0.0011089i,-0.00056772+0.00019204i,-0.00013269-0.00083654i,0.00057017-0.0015442i,0.0010268-0.00089828i,0.00017883-0.0001868i,-0.0013289-0.00064386i,-0.0012192-7.2211e-05i,-0.00067017+0.00060127i,5.2247e-05-7.1842e-05i,-0.00015841-7.7835e-05i,-0.00045496+0.00013061i,7.8743e-05+0.00032002i,4.6243e-05+0.00041075i,0.00042779+5.3096e-05i,0.00088811-0.00013803i,0.00059071-3.2314e-05i,0.00083648-0.00049225i
-4.6539e-05-0.0027943i,0.00035899-0.0047036i,3.7538e-05-0.0048406i,0.00092493-0.0035848i,0.00022152-0.0015253i,-0.00085425-0.00014751i,-0.00079109+0.00038804i,-0.00081488+0.00038136i,-0.00042924-6.197e-05i,-0.00071253-4.2839e-05i,-0.00064971-0.00020455i,-0.00011664-0.00090832i,-1.5963e-05-0.00065905i,1.8995e-05-2.7263e-05i,0.00038629+0.00016665i,0.00040021+0.00017819i,-1.6909e-05-3.8333e-05i,-0.00015717-6.4082e-05i,8.7647e-05+0.00039158i,-8.108e-05+0.00088884i,-0.00059952+0.00028249i,-0.0003746-0.00021029i,-0.00014268-8.9681e-05i
0.00086195+0.00040029i,-0.00011218-0.0014112i,-0.0024227-0.003135i,-0.0046655-0.004113i,-0.0042723-0.0037628i,-0.0023144-0.0021954i,-0.0016823-0.00073876i,-0.0014153+0.00020957i,-0.00022126-0.00022984i,4.6286e-05+0.0001011i,-0.0008618+0.00079005i,-0.0005707-0.00019302i,0.00014995-0.00030708i,6.861e-05+0.00033548i,-4.6232e-05+0.00050183i,-0.0002361-0.00010701i,2.8364e-05-0.00073669i,0.00043588-0.0005147i,-0.00038492-4.0754e-05i,-0.00024536+0.00027804i,0.0010158-0.00026443i,0.00086422-0.00023496i,0.00037875-4.9427e-05i
0.00051002+0.0011602i,0.0012242+0.0016578i,0.00034305+0.0028742i,-0.0017785+0.0027864i,-0.0026881+0.0018781i,-0.0021664+0.00060931i,-0.0011189-0.00040459i,-0.00026599+0.00028974i,0.0010926+0.00053832i,0.0016682+0.0004627i,0.0010013+0.00081047i,0.00032084+0.00079067i,0.00013734+0.00055212i,-0.00034748+0.00040161i,-0.00096772+0.00034795i,-0.00054712+0.00016418i,-6.2799e-05+0.00029322i,-8.357e-05+0.00050087i,-9.0504e-05+0.0007809i,-0.00010238+0.00018918i,0.00019784-0.0007365i,-0.0001573-0.00036273i,-0.00013889+0.00018876i
0.00053807-0.00062244i,0.00070248-0.0011481i,0.00099517-0.0020206i,0.00058836-0.0024143i,6.5281e-05-0.0013323i,0.00026516-0.00021779i,-0.00039459+2.2123e-05i,-0.00021554-0.00041532i,0.00050876-0.00070381i,7.4358e-05-0.00090147i,-0.00066241-0.00040925i,-0.0003706+0.00037442i,-1.5289e-05+0.00024154i,-8.1403e-05-0.00012758i,-0.00013272-0.00026136i,-0.00019852+1.9767e-06i,-0.00029443-0.00013934i,-0.00074002-0.00063278i,-0.00046152-0.00044645i,0.00010271+0.00043797i,0.00039053+0.00026087i,0.00047097-0.00052514i,0.00039234-0.00049738i
-0.0033523+0.00049132i,-0.0035465-0.0022155i,-0.0045126-0.0033191i,-0.0044822-0.0048405i,-0.0030164-0.0043803i,-0.0014145-0.0026419i,-0.0009633-0.001109i,-0.0010142-0.00033375i,-0.0011872-0.00059176i,-0.001595-0.00058061i,-0.00093241+2.908e-05i,0.00020963+0.00027895i,0.00020008-0.00057759i,-0.00015098-0.00064958i,-0.00016409-0.00060491i,0.00039007-0.00014977i,0.00050603+0.00048309i,-0.00047964+0.00046668i,-0.00049898+0.00036793i,-9.2029e-05+0.00021735i,-8.6777e-05-0.00011719i,-0.00028112+0.0002145i,-0.00048854+0.00063802i
0.00022254+0.0022942i,0.00022523+0.0019394i,-0.00099025+0.0022791i,-0.0028382+0.0018798i,-0.0029395+0.00068968i,-0.0010045-0.00057149i,-0.00015201-0.00091277i,-0.00066608-0.00013917i,-0.00058011-0.00011162i,-0.00017585-7.2137e-05i,4.7979e-05+0.00026255i,0.00037796+7.507e-05i,0.00039753+0.00016114i,-6.6999e-05+0.00069127i,-0.00046067+0.00024997i,-0.00033463-0.00021048i,0.00012624-0.00027843i,0.00067067-0.00076031i,0.00098164-0.00028501i,0.00037569+0.00078033i,-0.00044271+0.00068511i,-0.00060896-0.0002809i,-0.00062116-0.00066605i
0.0018869-0.0022277i,0.0024446-0.0020592i,0.0033296-0.0016622i,0.0030781-0.0014066i,0.0011525+0.00048893i,5.7625e-05+0.0015022i,-8.1296e-05+0.00025491i,0.00061773-0.0007483i,0.0015284-0.001449i,0.00088122-0.0017555i,6.2939e-05-0.001793i,-0.00056815-0.0014995i,-0.0012773-0.00046253i,-0.00056875+0.00050934i,5.8874e-05+4.8914e-05i,0.00057005-0.00055301i,0.0004127-0.00098245i,-7.0352e-05-0.001115i,-0.00027411-0.00091078i,-7.6703e-05-0.0006446i,1.0305e-05-0.00042499i,0.00036706-0.00013567i,0.00033653+9.2134e-05i
-0.0007285-0.00061083i,-0.0022491-0.0029275i,-0.0028945-0.0054666i,-0.0029094-0.0061514i,-0.0020435-0.0039691i,-0.00068589-0.0013729i,-4.0157e-05-0.00047926i,0.00010528-0.00015506i,-0.00058694+0.00013422i,-0.0015107-9.1842e-05i,-0.0017471-0.00082902i,-0.001135-0.00055205i,-0.00039986+0.00017656i,-0.00011408-0.00043249i,-0.00019779-0.0011616i,-0.00016606-0.00099113i,-5.6876e-05-0.00074153i,-0.00048669-0.00054674i,-0.0011797-0.00064342i,-0.0011909-0.00046296i,-0.00084485-0.00017419i,-0.00047546-3.6334e-06i,0.00033377+3.489e-05i
-0.0019444-0.00056073i,-0.0030566+0.00042504i,-0.0047287+0.0024785i,-0.0060064+0.002896i,-0.0047834+0.001691i,-0.0020331+0.00092789i,-0.00027355-9.3643e-05i,0.00051385-0.00033276i,0.00055111+0.00018191i,6.1574e-05+2.0923e-06i,-0.00047745+0.000211i,-0.00046321+0.00033709i,-0.00026892-0.00033831i,-9.4909e-06-0.00043027i,-6.966e-05-0.00037388i,-0.0001442-0.00044423i,-0.00051256+9.8628e-05i,-0.0005787+0.00075061i,-0.00019568+0.00058683i,-0.00048462+8.1216e-06i,-0.0011838-0.00041033i,-0.0008221-0.0004264i,-0.00011681-0.00043161i
0.0012631+0.001184i,0.0033982+0.00080015i,0.004031+0.0016085i,0.0031724+0.0032082i,0.0013905+0.003667i,-5.2788e-06+0.0020123i,-0.00075131-0.00038267i,-0.0005882-0.0014962i,8.5156e-05-0.0011229i,0.00055358-0.00018252i,0.00020232+0.00042356i,-3.5752e-05+0.00034231i,0.00010421+1.6382e-05i,0.00039456-0.00042847i,0.00081142-0.00014951i,0.00044476+0.00063563i,4.8868e-05+0.00022378i,0.00024347+9.2728e-05i,0.00052544+0.00042377i,0.00072944+0.00024796i,0.00046259+0.0002027i,-0.00015109+0.00030133i,-0.00054217+9.124e-05i
0.00023952-0.0020264i,-0.00042087-0.0046706i,-0.0012199-0.0065962i,-0.0011292-0.0077287i,-0.0013268-0.0060616i,-0.0013574-0.0030822i,-0.00064741-0.0011575i,-0.00027741-0.00044011i,-0.00026092-3.8121e-05i,4.3348e-05+2.5223e-05i,9.7831e-05-0.00068133i,-0.00030603-0.0013896i,-2.4245e-05-0.00090096i,-5.8613e-05-4.5753e-06i,5.879e-05+0.00032977i,0.00048285-0.00040407i,0.00080897-0.0011724i,0.00092817-0.00026144i,0.00051309+2.8764e-05i,0.00093166-0.00028671i,0.0011974-0.00046681i,0.00083293-0.00070359i,0.00060983-0.00064085i
-0.0010614+5.9881e-05i,-0.0026055-0.00022326i,-0.0048708+0.00018846i,-0.0074198+8.3226e-05i,-0.0077517-0.00032992i,-0.0048796+0.00076913i,-0.002128+0.00060035i,-0.00040857-0.00042141i,0.00060935-0.00013771i,0.0004362-0.00055339i,0.00044639-0.00098041i,0.00084345-0.00079902i,1.8448e-05-0.00096244i,-0.00090263-0.0012641i,-0.00013203-0.00048432i,8.6661e-05+0.00042646i,0.00010007+0.00012334i,6.1679e-05-0.00041926i,-0.00050566-0.00027679i,-0.00074602-0.00020427i,-0.00027342-5.2272e-05i,-6.9314e-06+0.00010306i,-4.233e-05+0.00027403i
0.0016331-0.0012072i,0.0015144-0.0012567i,0.0011474+0.00016947i,0.00028853+0.0018566i,-0.0015487+0.0019549i,-0.0019763+0.00067264i,-0.0011157-0.00015067i,0.0002604-0.00023478i,0.0011618-0.00055486i,0.00020881-0.0013642i,-0.00064189-0.0016042i,-0.00044493-0.00097099i,0.00026713-0.00012085i,0.00062406+1.3351e-05i,0.0002594+0.00018898i,-0.00076825+0.0007669i,-0.0010518+0.00023577i,-0.00044896-0.000623i,-6.4673e-05-0.00069887i,-0.00013866-0.00013054i,-0.00047209-0.00020606i,-0.00014777-0.00022573i,2.4803e-05-6.6478e-05i
0.0011909-0.0031904i,0.00097543-0.004759i,-0.00032669-0.0064571i,-0.00019621-0.0065781i,0.00014633-0.0043109i,0.00036177-0.0018245i,0.00051088-0.00069091i,0.00029729-0.00051913i,-0.0005423-0.00017148i,-0.0012957-0.00023286i,-0.00076584-9.4027e-05i,-0.00077894+0.0003157i,-0.001308+0.00043589i,-0.0010423+0.00048852i,-7.9744e-05+0.00066415i,0.00056616+0.00085608i,0.00060676+0.00092824i,4.5986e-05+0.00010526i,-0.00043116+1.139e-06i,-0.00039243+0.00050884i,0.00098568+6.1972e-05i,0.001119-0.00062017i,-0.00035358-0.00084805i
-0.00032339+0.0042603i,-0.0014448+0.0020796i,-0.0038517-0.0009826i,-0.0061572-0.0024912i,-0.0048919-0.0024195i,-0.0023174-0.0021558i,-0.0010749-0.0010481i,-0.00072963+2.4701e-05i,-0.00052984+0.0005324i,-9.7887e-06+0.0008477i,-0.00019237+8.2445e-05i,-0.00063953-0.00066797i,-0.0007612+0.0001721i,0.000389+0.0011756i,0.001727+0.0010403i,0.0014269+0.0003418i,0.00055151-0.00015808i,6.8183e-05-2.7906e-05i,-0.00021584+0.00018348i,0.00011095+0.00023269i,0.00029569+0.00061342i,3.6823e-05+0.00058393i,0.00034345-0.0002425i
0.0020221+0.00094985i,0.0022009+0.0023906i,0.0010407+0.0022931i,-0.0016651+0.0022785i,-0.0020524+0.00218i,-0.0011592+0.0009812i,-0.00068252-0.00025686i,-0.00090364-0.00031204i,-0.00027648-9.2846e-05i,0.00055438-0.0011522i,0.00059673-0.0016084i,0.00037006-0.00035683i,0.0010237+0.00016471i,0.00093914+0.00018707i,0.0002101+0.00050349i,0.00031982+0.00040985i,0.00038403-0.00010841i,0.00010553-5.5683e-05i,0.00011749+5.3787e-05i,0.00024854-0.00050812i,0.00011218-0.00069988i,3.9844e-05-0.00065514i,0.00052418-3.4265e-05i
0.0011807+0.00079836i,0.00209-0.0021961i,0.0038638-0.0044084i,0.003531-0.0053608i,0.0022893-0.0042936i,0.00066643-0.002139i,-0.00034683-0.00078149i,-0.00052112-0.00022532i,-0.0011598-0.00055848i,-0.001002-0.0003167i,-0.00062689+0.00055789i,-0.00072171+0.00076632i,7.8956e-05+0.00013101i,0.00028008+2.4073e-06i,-0.00018545+5.3433e-05i,-0.00053976-5.8932e-05i,-0.00021206+0.00068609i,-2.4563e-05+0.0012451i,-0.0011216+0.00023204i,-0.00053864-0.00033372i,7.2542e-05-0.0002156i,-0.00011025-8.4586e-05i,0.00042998+0.00061257i
0.00054067-0.0012223i,-0.00090182-0.0035574i,-0.0036133-0.0054177i,-0.0053723-0.0058494i,-0.0044655-0.0045853i,-0.002643-0.0031327i,-0.0021499-0.001152i,-0.0019617+0.00093416i,-0.0014207+0.0011839i,-0.00086902+0.00066542i,-0.00019261+0.00058371i,0.00036996+0.00042873i,0.00027208+0.00014538i,0.00020396-0.00042092i,0.00040387-0.00077112i,6.4061e-05-0.00078183i,0.00039713-0.00078432i,0.00070764-0.00099796i,0.00059147-0.00087138i,-0.00021697-0.00025566i,-0.0010414-0.00029995i,-0.00027593+0.00022086i,-0.00013274+0.00065069i
0.0014124+0.00030298i,0.00097981+0.00067326i,-0.00066669+0.0024621i,-0.001756+0.0038293i,-0.0016539+0.0036573i,-0.0016754+0.0013128i,-0.0014683-6.537e-06i,-9.9241e-05-4.3494e-05i,0.00079599+6.8313e-05i,0.0011069+0.00013756i,0.00042679-8.8354e-07i,0.0001772+0.00030912i,0.00080404+0.0004764i,0.00071926+0.00074709i,0.00026541+0.0011514i,0.00039174+0.00011852i,0.00069935-0.00031991i,0.00070806+0.00019022i,0.00036979+0.0002177i,0.00011903+0.00053016i,-0.00032281+0.00030829i,4.6856e-05+0.00010743i,0.0007173+0.00070898i
0.0050823+0.0024459i,0.0066539-0.00023172i,0.0082102-0.0014324i,0.0072898-0.0025083i,0.004789-0.0027512i,0.0021543-0.0013901i,0.00030199-0.0008816i,-0.00033086-0.0010772i,-0.00097724-0.00090536i,-0.0015754-0.00046733i,-0.0013342-0.00025385i,-0.00080388-0.00020491i,-0.00092458+0.00086627i,-0.00068342+0.0011679i,0.0001896+0.0005907i,0.00078362+0.00057641i,0.00054775+0.00073536i,0.00041919+0.00011453i,4.4526e-05-0.0002667i,6.0686e-06-0.00020725i,0.00058307-0.00024622i,0.00033342-0.00020224i,-2.084e-05-4.5752e-05i
0.00080716+0.00058608i,-0.00077785-0.0020211i,-0.0033977-0.0055282i,-0.0053078-0.0070586i,-0.0047229-0.0055448i,-0.0030255-0.0029757i,-0.0014738-0.0012964i,-0.00090934+0.00038629i,-0.0013463+0.0014331i,-0.00090414+0.00075951i,-7.3321e-05+0.00017361i,-0.0002772+0.00033852i,-0.00019111+0.00066279i,-0.00021374+0.00068961i,-0.00026471+0.00061583i,0.00030773-0.00036381i,0.00050981-0.0010996i,0.00010016-0.00070661i,-6.3287e-05-0.00015227i,-0.00026178-6.5041e-05i,-0.00031146+0.00022578i,8.2254e-05+0.00068195i,0.00024548+6.3673e-05i
-0.0017333+0.0035835i,-0.0018551+0.004653i,-0.0029608+0.0047828i,-0.0039958+0.0043062i,-0.0038222+0.0038376i,-0.0023407+0.0016492i,-0.00060689-0.00030589i,0.00036615-0.00032017i,0.00047536-0.00055776i,-4.3538e-05-0.00054781i,0.000133-0.00045563i,0.0005146-0.00011897i,0.00044994+0.0008928i,9.7244e-05+0.00087879i,-5.3896e-05+6.1528e-05i,-0.00021818-0.00050167i,-0.00078153-0.00073162i,-0.00016626-0.00097338i,0.0006857-0.0010822i,0.00018932-0.00042261i,-0.00028524+3.1414e-05i,-0.00066362+7.1033e-06i,-0.00091459-0.00063288i
0.0010378+0.00010523i,0.0030936-0.0014818i,0.0056152-0.0017242i,0.0051223-0.00094374i,0.0026895-0.00044791i,0.00044326-0.00034836i,-0.00034165-0.00070217i,-0.00016261-0.0009741i,-0.00073534-0.00071327i,-0.00069033-0.00099738i,0.0004955-0.0010652i,0.0005432-0.00020318i,0.0001998+4.2251e-05i,0.00020955-0.00017346i,0.00042234+8.211e-05i,0.00027473-0.00015623i,0.00034261+0.00015617i,0.00020146+0.0001072i,-0.00022803-0.00047787i,7.7813e-05-0.00048314i,0.00021504-0.00025168i,-0.00029675+0.0003948i,-0.00066304+0.00046132i
0.00032394-0.00065673i,-0.0006913-0.002752i,-0.0021455-0.0060534i,-0.0028778-0.0078255i,-0.0028515-0.0054226i,-0.0024192-0.0025683i,-0.0010834-0.0016625i,-4.9868e-05-0.000899i,-3.9671e-05-0.00043181i,-0.00051487+0.00018657i,-0.00093992+0.00060717i,-0.00077717+0.00040169i,0.00010282-0.00028154i,0.00035887-0.0012252i,0.00022667-0.00078835i,0.00073259-0.00057655i,0.0012737-0.00051922i,0.00036901-0.0002788i,-0.00048679-2.0621e-05i,0.00028016+9.5467e-05i,0.00015119-0.00018581i,-0.0002266-0.00059159i,0.00025281-0.00033525i
0.00052809-0.0018495i,-0.0015764-0.0013733i,-0.0045341+0.00069755i,-0.0067673+0.00099607i,-0.0058122+0.00046179i,-0.0040844+0.00030415i,-0.0016683-0.00043021i,0.00054077-0.00047748i,0.00079089-8.9708e-05i,6.9545e-05+0.00028775i,-0.00031985+0.00076885i,-0.00032722+0.00023638i,6.7262e-05-0.00075517i,0.00055771-0.00047243i,0.00033992+0.00010207i,-0.00019264+1.6841e-05i,-0.00016476-0.00045992i,-0.00012656-0.00048396i,-0.00056257-0.00030963i,-0.00080638-0.00080633i,-0.00049191-0.00071282i,4.1331e-05-0.00022379i,0.00088079-8.7274e-05i
0.0020183+0.0018484i,0.0037142+0.0013217i,0.0054855+0.0013777i,0.0054989+0.0011195i,0.003034+0.00062165i,0.00093851-0.00057204i,-0.00047408-0.0013483i,-0.00035941-0.0015874i,0.00068411-0.0010759i,0.0011488+5.5461e-05i,0.00059995+0.00048483i,-0.00031247+0.00044241i,-0.00041497+0.00049276i,-0.00029566+0.00035859i,7.8062e-05-0.00014718i,0.00011746-0.00014825i,0.00043452-5.3453e-05i,0.00093863-0.00038673i,0.00078296-0.00033824i,0.00055103-0.00024255i,-5.5179e-05-0.00050941i,-0.00032333-0.00012912i,7.3371e-05-4.9607e-05i
-9.6636e-05-0.00034391i,0.00066366-0.0036463i,0.0007657-0.0060116i,0.00049908-0.006732i,0.0005453-0.0057745i,0.00019581-0.0035304i,-5.8689e-05-0.0012302i,-6.6358e-05+3.2725e-05i,-0.00029858+3.6801e-05i,-0.00060226-0.00065817i,-4.9403e-05-0.00048573i,0.00050904+6.5865e-05i,0.00089479+0.00022364i,0.00055571-0.00017554i,0.00090457+0.00012356i,0.0015749+0.001109i,0.00089252+0.00082318i,0.00044996-0.00016793i,0.00059153+6.9617e-06i,0.001031+0.00026008i,0.0012525-8.9624e-05i,1.2011e-05+8.1494e-05i,-0.001547+0.00049139i
-7.4294e-05+0.0018418i,-0.00099671+0.0020234i,-0.0036178+0.0014095i,-0.0063629+0.0010301i,-0.0054976+0.0012134i,-0.0027563+0.00052413i,-0.0011547-3.927e-05i,-0.00019952-0.00031386i,-0.00083751-9.8333e-05i,-0.0010566+0.00027692i,-0.00010812+0.00083027i,-0.00070998+0.0013764i,-0.00085439+0.00040226i,-0.00012721-0.0004526i,0.00014061-0.00041993i,0.00042111-0.0010742i,0.00021466-0.00069236i,-0.00016607+0.00016202i,-0.00042662-0.00054893i,-0.00044541-0.0011288i,-0.00035001-0.00054094i,0.00029333-0.0006009i,0.00093468-0.00037374i
-0.00017637-0.001544i,-0.00028932-0.00034338i,0.00075905+0.00069613i,0.0011212+0.0012977i,6.5887e-05+0.0016926i,-0.00043028+0.0014298i,-0.00019533+0.00065239i,0.00015939-9.2915e-05i,7.6498e-05-0.00074783i,-0.0001256-0.0013883i,0.00052742-0.00094557i,0.00095609+0.00026284i,0.00029571+0.00064011i,-0.00037613+0.00041198i,-0.00025693+0.00039791i,-0.0003138+0.00047887i,-0.00043785+0.00027618i,-0.00033898-6.779e-05i,-0.0004738-0.00014842i,-0.0005547-0.00089222i,-0.00015451-0.0008355i,-2.8798e-05-0.00028247i,-0.00010852-0.00033893i
-0.00066759-0.00031137i,0.0017527-0.0024613i,0.0034606-0.0051459i,0.0031324-0.0058813i,0.0014232-0.0040905i,-1.3703e-05-0.0017508i,-3.5918e-06-0.00072266i,0.00032399-0.001333i,9.4569e-05-0.0015978i,-0.00026692-0.0014667i,2.1027e-05-0.0010745i,0.00022343-0.00076617i,0.00014078-0.00065915i,0.00035219-0.00040638i,0.00072263-0.00017626i,0.0001515+0.0001052i,-0.0004088-0.00018044i,-0.00077037-0.00052711i,-0.0010623-0.00012252i,-0.0004484+0.00047509i,-0.00012447+1.0489e-05i,-0.00020207-0.00065189i,-0.0010161-0.00011932i
