-0.0054491+0.00038318i,-0.0046932+0.0036773i,-0.0036071+0.0056988i,-0.0010823+0.0059584i,0.00077807+0.0049823i,0.001122+0.0037727i,0.00045012+0.0031376i,5.2072e-05+0.0030457i,-7.1805e-05+0.002694i,0.00010458+0.0013463i,0.0010277-1.7287e-05i,0.0020107-0.00037922i,0.00086526-0.00042916i,-0.00015309-0.00040269i,-0.00052784+0.00032068i,-0.00086263+0.00035911i,-0.00067084+0.00014336i,-0.00029952-4.8641e-05i,0.00024292-0.00064583i,0.00055946-0.000331i,3.9093e-06-0.00020076i,-0.00068363-0.0003906i,-0.00045699-0.0011207i
0.00023631+0.00033352i,0.00043939-0.00034367i,0.00063625-0.00050732i,0.00089163+0.00053852i,0.00097957+0.001575i,1.6364e-05+0.0012525i,-0.00041029+0.00060734i,-5.6099e-05+0.00028021i,-6.6211e-05+1.2868e-05i,-0.0010277+9.6282e-05i,-0.0011315+0.00023978i,-0.00060103+0.000273i,2.3443e-06+0.00059841i,0.00069232+0.00085719i,0.00066332+0.00035084i,-3.1277e-05+0.00072156i,0.00058149+0.00093955i,0.0014868+0.00058291i,0.00080856-7.7853e-05i,-0.00032776-0.0010979i,-0.00052717-0.00051234i,-0.00026407-3.9616e-05i,-1.0476e-05-4.681e-06i
0.00092498-0.00068775i,0.00031794+0.00022312i,-0.00056466+0.0014825i,-0.00010949+0.0012762i,0.00068242+0.00067127i,0.0012831+0.0004222i,0.001195+0.00030412i,0.00075135+0.00059259i,0.00081838+0.00097359i,0.00035851+0.00066746i,-0.00031237+0.00055731i,0.00017282-1.5409e-05i,0.00026898-0.00048396i,-0.00046789-8.2403e-05i,-0.0004526+0.0003422i,3.0185e-05-0.00032074i,-0.00029171-0.0004919i,-0.00070643-0.00070966i,-0.000606-0.0014451i,-0.00067903-0.00046288i,-0.00015199+0.00072379i,0.00044269+0.00079975i,0.00016939+0.00067315i
0.0010411+0.0010512i,0.0017317+0.00018812i,0.0016985-0.0003416i,0.00054151-0.00027736i,-0.0004721+1.5767e-05i,-0.00027093+0.00059537i,0.00035549+0.0008275i,0.00045001+0.00084633i,0.00039678+0.00064944i,0.00029284+0.00026411i,-7.3787e-05-0.00038951i,-0.00022968-0.00063784i,-0.00044364-0.0001462i,-0.00065735+8.0116e-05i,-0.0003098-0.00026098i,6.1705e-05+7.2636e-05i,-0.00016621+0.00015034i,-0.00054213-4.4143e-05i,-0.00063895+0.00041674i,-0.00036694+0.00067079i,-0.00035492+0.00054905i,-0.0010632-0.00015035i,-0.0011989-0.0006452i
-0.00071709-0.00031871i,-0.0010066+0.00032116i,-0.0019517+0.00011297i,-0.00090979+0.0010605i,-0.00069893+0.0027983i,-0.00069395+0.0022185i,0.00098457+0.00020743i,0.0018829-0.0010203i,0.0010908-0.00092451i,-0.00013078+0.00080253i,-0.00086814+0.0010172i,-8.5312e-05+0.00024083i,0.00078541+0.00058828i,0.00060258+9.9836e-05i,0.0005396-2.1171e-05i,0.0010025+0.00081178i,0.00065821+0.00044212i,0.00042954-0.00014684i,0.00072593-4.3659e-05i,0.00041459+0.00032134i,-6.3686e-05+0.00031962i,-0.00015405-0.00015538i,0.00024372-0.00052226i
9.6791e-05-0.00083451i,-0.0011645-0.00083581i,-0.0014621-0.00017455i,-0.00036659+0.00084988i,0.00028082+0.0014286i,0.00017809+0.00098303i,0.00044945+0.0009504i,0.00095756+0.0010709i,0.00081579+0.00091892i,0.00026913+0.00082799i,-0.00030858+0.00082891i,-0.00021311+0.00093224i,-0.00023537+0.00045889i,-0.00037654-3.2162e-05i,-0.00020312+9.0311e-05i,3.4404e-05+0.00017029i,0.00058093+0.0001388i,0.00084616-0.00013933i,0.00078895-0.00016294i,0.00022027+2.6771e-05i,-0.00029385+6.3163e-05i,-9.3102e-05+0.00010823i,-1.1643e-05-0.00010234i
-0.00079876+0.00072822i,0.00031692-0.00023811i,0.0017166-0.0010729i,0.0011479-0.0015843i,0.00031154-0.0019726i,0.00031419-0.0009419i,0.00085583-0.00014685i,0.00047477-0.00014277i,-0.00012291+0.00038417i,-0.00050836+0.00031776i,-0.0012737-0.00037176i,-0.00074282-0.00016053i,-0.00082679+0.0003413i,-0.00099924+0.000388i,-0.00056963+0.00038186i,-0.00047134+0.00072863i,-0.00043013+0.00022671i,-0.00031266-0.00089983i,-8.1656e-05-0.001044i,-5.0309e-05-0.00095139i,0.00031416-0.0007072i,0.00028408-0.00038883i,0.00050579-2.1924e-05i
0.0015482-0.00047055i,0.0012223+0.00014438i,0.00068385+0.00031882i,9.704e-05-0.00069174i,-0.00044928-0.00072194i,-0.00021404+0.00032603i,0.00016569+5.0274e-05i,0.00013567-6.7771e-05i,0.00042365+7.0542e-05i,0.00040771-0.00094958i,-0.00013443-0.0010533i,-0.00043435-0.00037793i,-0.00064075+0.00060408i,-0.00063761+0.00086798i,0.00026563+0.00032625i,0.00055666-0.00022271i,0.00023382-0.000641i,0.00026155-0.00061671i,9.6731e-05+8.5041e-05i,-0.00023127+0.0006695i,-9.9545e-06+0.00068688i,8.9429e-05+0.00014254i,-0.0005466-4.1133e-05i
0.0014025-0.00018745i,0.00051805-0.00027531i,-0.00044054-0.0001531i,-0.0010597-0.00069701i,-0.0017569-0.00035349i,-0.001098-0.0003524i,-0.00027652-0.00021877i,0.00029558+0.00047083i,0.00079852+0.00039706i,0.00068551+0.00026773i,0.00016538-4.7304e-05i,-0.00024007-8.8446e-05i,-0.00048257+0.00035744i,-0.00061131+0.00069034i,-0.00017643+0.0010771i,0.00073126+0.00065i,0.00084726+2.4217e-05i,0.00053196-0.00046142i,4.5861e-05-0.0001133i,-9.7146e-05+0.0003209i,0.00024784+0.00064276i,4.977e-05+0.00055931i,-0.0010204-0.00043308i
0.00031014-0.0011981i,0.00014424-0.0017773i,-0.0014348-0.0018398i,-0.0023955+7.4426e-05i,-0.0017524+0.0025264i,-0.00035527+0.0025892i,0.00060653+0.0013572i,4.7498e-05+0.00024427i,-0.00041448-0.00019094i,-0.0010116+0.00049306i,-0.00084933+0.00063407i,-0.00023772+0.00025117i,6.8352e-05+0.00010018i,0.0006609-9.6684e-06i,0.00048186+0.00052492i,-0.00016193+0.00040767i,-1.0233e-06+5.234e-05i,-0.00055271-4.3564e-05i,-0.00061842-0.00047442i,-0.00016986-0.00096819i,0.00016419-0.0009069i,-0.00044309-0.00033428i,-0.00052392+0.00013753i
-0.0016775-0.00048279i,-0.0020873+0.00098393i,-0.0010498+0.0015107i,0.00052174+0.0011439i,-1.4019e-05+0.0016427i,-1.4498e-05+0.0019598i,0.00050749+0.00093829i,-0.00016828-8.6491e-05i,-0.00036296-0.00076693i,2.9479e-05-0.00051399i,-5.2329e-05-0.00012884i,-0.0004956-8.5111e-05i,-0.00017792+0.00050749i,8.9209e-05+0.00077384i,-8.5515e-05+0.00046294i,0.00012628+0.00013072i,0.00041477-0.00034148i,0.00067639-0.00038412i,0.00069718-0.0003491i,0.00032991-0.0010371i,0.00043173-0.00073815i,0.00081394+9.452e-05i,0.00069721+0.00026697i
0.00019746-0.0016812i,-0.00066702-0.001907i,-0.00071066-0.0013353i,-0.00077416+0.00054726i,-0.0016861+0.0016517i,-0.0011262+0.0013322i,0.00056576+0.00047982i,0.00072336-0.00028301i,-0.00011046+0.00053266i,-0.0004764+0.00096396i,-0.00044153+0.00030312i,-0.00019703+0.00082048i,-0.00017707+0.0010993i,-0.00013449+0.0010201i,5.1822e-05+0.00062691i,-0.00013672+0.00016949i,0.00010166+0.0003191i,0.00057045+0.00078261i,0.00018699-5.6272e-05i,0.00038253-0.0005957i,0.00069891+0.0001251i,0.00097894-0.00027963i,0.0008096-0.00093728i
-0.0017716+0.0019306i,-0.0008217+0.0020781i,-0.00096346+0.002942i,0.0010791+0.003517i,0.003045+0.0021656i,0.003131+0.00022012i,0.0015147-0.0014878i,-0.00040107-0.0010038i,-0.00050058+0.00048592i,0.00035301+0.00074104i,0.00060437+0.00036136i,-0.0001077+0.00050103i,-0.001143+0.00076943i,-0.0014469+0.00086208i,-0.001057+0.00084748i,-0.00030167+0.00056664i,-1.4099e-05+0.00082811i,0.0005944+0.0013125i,0.00075113+0.0010604i,0.0001017+0.00030256i,-0.00020743-0.00039478i,-0.00023459-0.00047471i,-0.00018729-0.00035899i
-0.00012089-0.00041353i,-0.00087167-0.0015392i,-0.00068086-0.0023673i,-0.00072121-0.0015729i,-0.0013123-0.00025229i,-0.00051101+0.00039235i,0.00046917+0.00047133i,-0.00024376-0.00040703i,-0.00068044-0.00083516i,-0.00039814+8.2462e-05i,-0.00026849+0.00066085i,-0.00047202+0.00056237i,-0.00018841+0.00014371i,0.00020699+0.00010875i,1.2134e-05-0.00017214i,-0.00027742-0.00050095i,-0.00010724-0.00039022i,0.00013319-0.00099247i,0.00042262-0.00055137i,0.00066264-0.00028654i,0.00075125-0.00051536i,0.00019515-0.00020454i,-0.00021785+0.00018431i
0.0020009+0.0015302i,0.0011949+0.00052775i,0.0015508+0.00080581i,0.0012888-0.00016215i,-6.6666e-06-0.00051489i,-0.00058792+4.6381e-05i,0.00016655-0.00056111i,8.2867e-05-0.00035592i,-1.4973e-05+0.0001846i,0.0001867+0.00060571i,0.00023635+0.00087468i,-0.00045575+0.00015238i,-0.00093394-0.00059056i,-0.00023484-0.00010666i,-0.00031581+0.00045486i,-0.00051455-0.00030894i,0.00019294-0.0010002i,0.00091563-0.00012723i,0.00083709+0.00065441i,0.00056577-6.7349e-05i,0.00038019-0.0005238i,5.3645e-06-0.0005014i,-0.001037-0.00020002i
0.0009568+0.00036739i,0.0022207-0.0002205i,0.000905-1.9106e-05i,-0.00080497+0.00033907i,-0.00060669+0.00074176i,0.00055565+0.00018375i,0.00028162-9.4099e-05i,0.00013307-1.0411e-05i,7.806e-05-0.00015632i,-0.00071011-0.00010234i,-0.00046505-0.00017499i,0.00010034-0.0004311i,-4.5934e-05+2.247e-05i,-0.00043749+0.00030777i,-0.00041801+0.00055902i,-0.00041335+0.00036259i,-0.0011971+8.1874e-05i,-0.001337+0.00047259i,-0.00039922+0.00065884i,-0.00045613+1.333e-05i,-0.00079819-0.00048968i,-0.00054443-8.3515e-05i,-0.00052713-0.0003074i
0.0013675+0.00044533i,0.0011097+0.00067323i,0.00049808+0.00049784i,0.00033335+0.00021302i,0.00068261+6.5546e-05i,0.00078939+0.0004336i,0.00048662-0.00030763i,0.00050562-0.00093968i,0.0003287-0.00032299i,-0.00075011+0.00032695i,-0.00058568+0.00083327i,0.00052292+0.0017293i,7.0455e-05+0.0018818i,-0.00056589+0.0011886i,-0.00031016+0.0012595i,0.00047428+0.00086188i,0.0014007+0.00011283i,0.0015471+8.9005e-05i,0.0003234+0.00029808i,0.00024705-8.7703e-05i,0.00059993+0.0001679i,0.00043244+0.00070072i,0.00014805-3.2495e-05i
0.00040435-0.0014381i,0.0002096-0.00076401i,-0.0005091-0.00031705i,-0.0014905+0.00052343i,-0.0013356+0.00080903i,-0.0010297+0.0008151i,-0.00093706+0.00043721i,-0.00012882-6.4394e-05i,0.00016653-0.00025592i,-0.00047926-9.6074e-05i,-0.00077934+0.00071983i,-0.00056191+0.001329i,-0.00042233+0.0008871i,-0.00076637+0.00040163i,-0.00089237+0.00065281i,-0.00049035+0.00079337i,-8.5761e-05+0.0011861i,-0.00042288+0.0014476i,-0.0012205+0.00030782i,-0.0007224-0.00031801i,-3.0742e-05-0.00046292i,-0.00043003-0.00068143i,-0.00097187-0.00019781i
0.00054969+0.00038867i,0.00052063+0.00069067i,0.00028012+0.0005805i,-8.3615e-05+0.0007337i,-0.00085983+0.0014202i,-0.00086493+0.0016879i,-0.00027142+0.00080353i,0.00032059-9.254e-05i,0.00023834-0.00013129i,2.0776e-07+0.00032891i,2.7654e-05+0.00074212i,-0.00057119+0.00076375i,-0.00089013-1.2916e-06i,-0.00021975-0.00013482i,-0.00015413+0.00059042i,-0.00018763+0.00031336i,-1.9584e-06-0.00040472i,-0.00024918-0.00018734i,-0.00014967+0.00035461i,-0.00035576+0.00070764i,-0.0011171-0.00016539i,-0.00051593-0.0005681i,0.00041167+1.3634e-05i
-0.0017583+0.00040149i,-0.0020626+0.0015073i,-0.0013928+0.0015629i,-0.00044773+0.0023442i,0.00054192+0.0028862i,0.0011091+0.0020723i,0.00079861+0.00046894i,0.00038575-0.0010573i,-0.00070636-0.00067728i,-0.00079997+0.00058735i,8.2621e-05+0.00045124i,0.00070326+0.00040289i,0.0012534-0.00011029i,0.00099206-0.00012377i,0.00030637+0.0006414i,-0.00023269+0.00086581i,7.4425e-05+0.00068202i,0.00046295+0.00043676i,-6.9823e-05+0.0008631i,-0.00040731+0.0008156i,-0.00046602-0.00047429i,-6.0436e-05-0.0006003i,-0.00051472+0.00033482i
-0.0014397+0.00063522i,-0.0015632+0.00070491i,-0.0016948+0.00080592i,-0.00081877+0.00079836i,0.00043062+0.0011189i,0.0010984+0.00087068i,0.0012328+0.00026255i,0.00078364+0.00012179i,-0.00029654+0.00033739i,-0.00096853+0.00082321i,-0.0010073+0.00091796i,-0.00090288+0.00084694i,-0.00066741+0.0006837i,-0.0013535+0.00032858i,-0.001644+0.00034896i,-0.00073317+0.00025507i,2.5414e-05+0.0001844i,0.0003258+6.2508e-05i,-0.00029155-0.00010886i,0.00016976+3.4569e-05i,0.00051065+0.00014913i,-0.00021658+0.00043381i,-0.00044396+0.00070039i
3.3756e-06+0.00068237i,0.00028549+0.00084202i,0.00067828+0.00081263i,0.00087549+0.0008453i,0.00020701+0.00049751i,-7.8313e-06+0.00033576i,-0.00030795-0.00012174i,-0.00071763-0.00030558i,-0.00017823+0.00047891i,0.00020175+0.00050162i,0.0006339-0.00029603i,0.001594+0.00016994i,0.0010062+0.0011195i,4.7282e-05+0.0014299i,-0.00057884+0.0014914i,-0.00036077+0.0013283i,0.00055075+0.00057418i,0.00059956-0.00024125i,0.00047293-0.0002723i,-0.00022361-0.00025948i,-0.00054834-0.00069999i,-0.00019008-0.00073025i,-0.00033113-0.00051627i
0.00046498+0.0013821i,0.0014801+0.00076411i,0.0022485-0.00018148i,0.0019219+0.00033834i,0.00095799+0.00045565i,0.00089411-0.00072247i,0.0011576-0.0013864i,0.0010573-0.0010514i,0.00079064-6.7474e-05i,0.00048979+0.00038763i,0.00015203-1.795e-05i,-0.00017882-8.1227e-05i,-5.12e-05-3.5069e-05i,0.00012255-0.00040026i,-3.8265e-05+0.00029227i,-0.00031637+0.00087975i,-0.00030773+0.00041159i,0.00012323-0.00034295i,0.00039453-0.00050289i,-0.0002939+2.1386e-05i,-0.00105+0.00055561i,-0.0011167+0.00051176i,-0.0010594-0.00014426i
-0.0014195-0.0001472i,-0.00087144-0.00044413i,-0.0010918-5.6083e-05i,-0.00073269+0.00035962i,-0.00070006+0.00092802i,-0.00013703+0.00073303i,0.00036145-0.00034906i,-0.0001504-0.00067877i,-0.00047463+0.00023789i,-0.00037722+0.00094581i,0.00021262+0.0012732i,0.00064888+0.00098075i,0.00090522+0.00041323i,0.0002968-0.00010785i,5.0027e-05-0.00015548i,0.00043455+0.00062763i,0.0007757+0.00068804i,0.00056713+4.4847e-05i,-7.2857e-05+0.00020625i,9.2511e-05+0.00039891i,0.00042147+5.7451e-05i,0.00041141-6.8192e-05i,0.00018697-0.00024835i
-0.00043561+0.0011475i,-0.00053311+0.0013329i,-6.0622e-05+0.00057593i,0.00024961+0.00051422i,0.00081368+0.0011294i,0.00065078+0.0013372i,-0.0002811+0.0013675i,-0.00057627+0.0011429i,-8.0196e-05+0.00051977i,7.2334e-05+0.00016777i,-0.00041713+0.00059283i,-0.00019684+0.00055311i,-0.00043938+0.00048181i,-0.0010573+6.1703e-05i,-0.00029539-0.00047989i,0.00012879-0.00022994i,-0.00016418-0.00027042i,0.00043642-3.9915e-07i,0.0011069+0.00076017i,0.0010249+0.000449i,0.00050622-0.00040995i,-0.00022023-0.00079885i,-0.00055751-0.00057519i
-0.00084745-0.0014209i,-0.00045653-0.00051967i,-0.0010841+0.0011064i,-0.0012234+0.0020421i,-0.0001694+0.0021537i,0.00097607+0.0021566i,0.00081477+0.00097946i,0.00015008-0.00068333i,-8.6424e-06-0.00040407i,-0.00061765+0.00039028i,-0.00075087+0.00024219i,6.675e-05-0.00047384i,0.00034672-0.00087643i,9.8971e-05-0.00025829i,0.00054356-0.00017698i,0.00059125-0.00063518i,-6.4131e-05-0.00060046i,0.00058983-0.0002301i,0.00092444-0.00025751i,0.00041647-0.00078026i,-2.3966e-05-0.0011392i,3.9045e-05-0.00098566i,4.4293e-05+3.1389e-05i
-0.00022401-0.00021781i,0.00070162+0.00054433i,0.001083+0.0013575i,0.00073696+0.0010139i,0.00043524+0.00022605i,0.00023852+1.8428e-05i,-2.4903e-05+9.6914e-05i,-0.0006606+2.5393e-05i,-0.00067265-0.00036959i,-8.644e-05-0.00083984i,0.00050709-0.00033871i,0.00035808+3.8336e-06i,0.00029722+0.00086867i,0.0004691+0.0012029i,0.00012655+0.00027419i,3.3415e-05+0.00062273i,3.0644e-05+0.00094594i,0.00053163+7.059e-05i,0.00043732+0.00037356i,0.00011738+0.00098188i,-1.6628e-05+0.00032521i,-8.2414e-05+0.00016448i,0.00017512+0.0004701i
-0.00024673+0.0014605i,0.0001502+0.001023i,0.00077103+0.00075193i,0.00071137+0.00043557i,0.00040909+0.00034605i,-0.00054182-0.0003424i,-0.00073714-0.00079008i,6.5159e-05+0.00040697i,0.00040419+0.00089562i,0.00011287+4.7398e-05i,0.0003585+0.00019012i,0.00051027+0.001045i,-0.00015563+0.00039737i,-0.0002507-9.4128e-05i,0.00047656-0.00012302i,0.00053043+0.00013015i,-0.00039475+0.00039861i,-0.00062372-8.5104e-05i,-0.00063966+0.00036445i,-0.00084123+0.00029613i,-0.00055271+0.00041505i,-0.00059498+0.00075354i,-0.00079185+0.00041962i
-0.0010638+0.0018964i,-0.00056991+0.0013155i,1.584e-05+0.0011247i,0.00087218+0.0009787i,0.0017585+0.00071953i,0.001067+0.00030037i,0.00039507+7.9214e-05i,0.00027434+0.000492i,-0.00020775+0.00013716i,1.4726e-05-0.00017679i,0.00044547+0.00024111i,0.00053428+8.7467e-05i,0.00016108-0.00020851i,-6.1215e-05+5.8557e-05i,-0.00039695+0.00063219i,-0.0005607+0.00040556i,-0.00044428-0.00017047i,-0.00047077-0.00075202i,-0.00045092-0.00087827i,-0.00044447-0.00022896i,-0.00015638+0.00031052i,0.00057434-4.6826e-05i,0.00025672-0.00014897i
0.0013417-0.00020827i,0.0016448-0.0003323i,0.00067057-9.8387e-05i,0.00012255+0.0001494i,0.00030406+0.00012299i,0.00057057+0.00073823i,0.00035441+0.00077793i,-0.00024104+0.00015933i,-0.00052366-0.00027281i,-0.0004957-0.00063816i,-0.00057126-7.4356e-05i,-0.00012463+0.00036387i,0.00075551+0.00049475i,0.0012573+0.00040009i,0.00058491+0.00028603i,-8.9911e-05+0.00028868i,0.00020181+0.0002087i,2.6907e-05-6.9223e-05i,1.1074e-05-0.00033263i,-0.00012596-0.00022149i,-0.00049718-4.0626e-05i,-0.00063414+0.00026804i,-0.00036426+0.0010221i
-0.00077719+0.0011465i,5.6355e-05+0.0021377i,0.00054519+0.0021627i,0.0014261+0.00090436i,0.0016847-8.5101e-05i,0.00086493-0.00031196i,0.00033239-0.00026278i,0.00033785-0.00018087i,-3.0171e-05+0.00038106i,-0.00019036+0.00069276i,-0.00047478+0.00063921i,-0.00056795+0.00050566i,-0.00031349+0.0010209i,0.00015741+0.0016988i,4.7903e-05+0.0013248i,-0.00013154+0.00056937i,0.00014661+0.0002225i,0.00074165+0.00038633i,0.00057305+2.2027e-05i,0.00012924-0.00019716i,0.00037381-0.0001343i,0.00079724-0.00034278i,0.00072924-0.00020927i
1.2884e-05+0.00011346i,0.0001493-0.00072313i,0.00032894-0.00038603i,0.00013863+0.00028843i,0.00035178+0.00042096i,0.00066519-0.00035619i,0.00088901-0.00038434i,-0.00044452+0.00033035i,-0.00063377+0.00074482i,0.00022554+0.0010978i,0.0002364+0.0011969i,-8.6155e-05+0.00078091i,-0.00038764+5.4299e-05i,-0.00014009+1.2478e-05i,0.00028245+0.00030927i,0.00044485-0.00030846i,0.0005884-0.00082748i,0.0002192-0.00059144i,2.6428e-05+0.00057935i,-0.00010824+0.0013921i,-3.1373e-05+0.0010313i,-0.00056524+0.0010998i,-0.0011922+0.00090029i
