0.001665+0.00073357i,0.0020799+0.00012705i,0.0010581-0.00079585i,-6.5368e-05-0.00086965i,-0.00038328+0.00010791i,-0.00082328+0.0023314i,-0.00092595+0.0028246i,0.00041973+0.0020401i,0.0019249+0.0015266i,0.0019288+0.00071968i,0.00057728-0.00033254i,-0.00068121-0.0010037i,-0.00079786-0.00066312i,-0.00068007-0.00053308i,-0.00062257-0.00076677i,-0.00048988-0.0004992i,-0.00035233+0.00010605i,-0.00047784+0.00024551i,-0.00013477+0.00078666i,7.9279e-05+0.00086364i,0.00011244+9.7005e-05i,9.2204e-05-0.00048424i,0.00017053-0.00068899i
0.0012587+0.00030345i,0.001959-3.7679e-05i,0.0014068-0.00069696i,0.00010203-0.00077346i,0.00027288-0.00056394i,-0.00021424-0.00055679i,-0.00088506+0.00027926i,4.1218e-05+0.00094784i,0.00059533+0.0010917i,0.0004041+0.00065784i,0.00010358-0.00036737i,0.00015174-0.00074881i,7.3754e-05-0.0005602i,5.8006e-05-0.00020369i,0.00047082-0.00056348i,0.00020428-0.00084551i,-0.00072769-0.00072496i,-0.00085325-0.00032334i,-0.00029666+0.00041269i,-0.00020911+0.00088364i,-0.00010575+0.00022243i,-0.00018234+0.00060995i,0.0001125+0.0010935i
0.0026971-3.4812e-05i,0.0031316+0.00017607i,0.001664-0.00028939i,8.8282e-05-0.00021254i,-0.00065293+0.00085862i,-0.0011563+0.0010667i,-0.00036092+0.00048131i,0.00028112+0.00036405i,0.00020961-0.00015878i,0.00043284+0.00012599i,0.00065319+0.0010063i,0.0001867+0.00034117i,0.00026883-0.00068911i,0.0014838-0.00072385i,0.0011332-0.00025664i,5.7264e-05-0.0001687i,-0.00012411-0.00023762i,-0.00024388+0.00051567i,-1.8227e-05+0.00073431i,0.00055719+0.00031034i,-0.00051577-0.00047913i,-0.0012624-0.00054671i,-0.0005956-2.8364e-05i
0.0016646-0.00018677i,0.0015309+0.00095292i,0.00073584+0.0014451i,-6.1852e-05+0.0015568i,0.00015515+0.0013747i,0.00081348+0.0010401i,0.00014408+0.0007237i,-0.000653+0.00031912i,-0.00056719+0.0004093i,-0.00038779+0.0011249i,-0.00038038+0.001115i,-0.000121+0.00029669i,-0.00012615-0.00039213i,0.00026753-0.00066625i,0.0010707-0.00029056i,0.0004244+0.00010543i,-0.00099485+0.000714i,-0.0012795+0.00020528i,-0.00054754-0.00017607i,0.00023453-6.8989e-05i,0.00037883-5.6091e-05i,0.00011452+0.00012332i,0.00032526-0.00035998i
0.00043442+0.00088287i,0.0011938+0.00089965i,0.00086168+0.0014136i,0.00060611+0.0013414i,0.0012116+0.00084769i,0.0017408+0.00030946i,0.00044479+0.00049194i,0.00013346+0.0014856i,0.00073603+0.0019565i,0.0005165+0.0017381i,0.00031079+0.00070704i,-8.358e-05-7.1891e-05i,-0.00039311-0.00032487i,-0.00042859-0.00060047i,4.1787e-06-0.00082006i,0.00070682-0.00057807i,0.00081715-0.00017995i,0.00040815-3.5573e-05i,0.00034086+0.00022568i,0.00014055+0.00058254i,9.8195e-05+0.00079588i,0.0006164+0.00067916i,0.00073157+0.00028051i
0.0019598+0.00092406i,0.0013573+0.0010656i,-7.8264e-05+0.00087815i,-0.0010752+0.00096323i,-0.00077349+0.0010738i,-0.0009625+0.0010754i,-0.00070203+0.0013962i,0.00033959+0.0016522i,0.00051912+0.001318i,0.0002375+0.00012934i,0.00030499-0.00036825i,0.00089416-0.0003267i,0.00056603-0.00033793i,8.9042e-05-0.00027655i,0.0001855-0.00028314i,0.00023683-0.00063938i,-0.0001862-0.0009635i,-0.00060887-0.00062414i,-0.00033411+0.00035555i,-0.00054581+0.0012152i,0.00018947+0.0012417i,0.00075614+0.00076477i,-9.3093e-06+0.00038824i
0.0020736+0.0017378i,0.0014518+0.0019251i,0.00087795+0.00073005i,0.0011764+3.7982e-05i,0.00087702+0.00041634i,0.00016731+0.00011292i,0.00060021+0.00020196i,0.00055212+0.00072125i,-0.00011441+0.00026322i,-0.00055738-0.00039757i,-0.0005714-2.7492e-05i,0.00032379+0.00026384i,0.0011001-0.00039408i,0.00055802-0.00091795i,-4.4226e-05-0.0011269i,-0.00032629-0.00055186i,1.5486e-05+0.00013295i,0.00016355+0.00032184i,-9.2441e-05+0.0006433i,-0.00041063+8.3427e-05i,0.00037097-0.00050179i,0.00063003-0.00082426i,-0.00047004-0.00086372i
0.0012832+0.0011823i,0.00099387+0.00027224i,0.00092662-7.9946e-05i,0.00093185-0.00020121i,0.00096633+9.7513e-05i,-2.4833e-05+0.0013077i,-0.0012845+0.0012892i,-0.0012458+0.00024595i,-0.0006749+0.00011269i,-0.00035569+0.00051235i,-0.00022227-0.00020014i,-3.5238e-05-0.0011858i,0.00019465-0.0004385i,-8.1017e-05+0.00033662i,-0.00033089+0.00022307i,-0.00028962-0.00030699i,-0.00038006-0.00066948i,-0.00061892-0.00023763i,-0.00040875-3.1715e-05i,-7.1805e-05-0.00026329i,3.8065e-05-0.0003998i,-0.0004342-0.00020895i,-0.00051861+0.00065029i
0.0017064+0.00070939i,0.0014132+0.00026281i,0.0010219-5.1901e-05i,0.00049184-5.0462e-05i,0.00056081+0.00046373i,0.00085342+0.00095346i,0.00082198+0.0011527i,0.00060408+0.00080189i,0.00032922+0.00049601i,0.00080671+0.00087723i,0.0011918+0.0006451i,0.00060712+6.0979e-05i,0.00010422+0.00029607i,-0.00059593+0.00067477i,-0.00094897+0.0009191i,-0.00025498+0.00083666i,0.00060032+0.00065571i,0.00044349+0.00052261i,-0.00062829+0.00065526i,-0.00090787+0.00046904i,-0.0003829+0.00033946i,-0.0002345+0.00095914i,-3.0977e-05+0.00066711i
0.0022916+0.0010041i,0.0024094+0.00030037i,0.0020294-0.0002477i,0.00093225+7.7857e-05i,-0.00017771+0.0003852i,-0.0010759+0.00027407i,-0.0013959+0.00095355i,-0.00044773+0.00093888i,0.00054842+8.3455e-05i,0.00063558-0.00022854i,0.00083574-0.00031717i,0.00074493-0.00027836i,-5.8226e-05+0.00014969i,0.00018297-0.00034574i,0.00062193-0.00038107i,-0.00022695-0.00025846i,-0.00045705-0.00051943i,-0.00041301-0.00021564i,-0.00062917+0.00018658i,-0.00045435+0.00067029i,4.5552e-05+0.00069015i,0.00026148-0.00021094i,0.000447-0.00047572i
0.00065297+0.0011773i,0.00096825+0.0011026i,0.00051447+0.00077583i,0.00047184+0.00062463i,0.0009083+0.0011876i,0.00038959+0.00090104i,-7.9434e-05+0.00084866i,0.00035314+0.0011876i,0.00091621+0.0005345i,0.0004391-0.00026903i,-0.0001963-0.0005661i,-0.00046582+0.00016314i,-0.0011022+0.00033982i,-0.00034359+0.0001084i,0.00070739+0.00066016i,0.00058357+0.00074682i,0.00026615-9.0381e-06i,-0.00024712-0.00035913i,-0.00039097+0.00019529i,-0.00019277+0.00057539i,0.00031785+0.00078642i,0.00040331+0.001265i,-0.00012205+0.0012422i
-0.00048708+0.002052i,-0.00032627+0.0017213i,-1.9703e-05+0.0014028i,0.0001738+0.0015306i,0.00086732+0.0015233i,0.0011181+0.00075715i,0.00069779+0.00056186i,0.0010702+0.0012906i,0.00080978+0.0010648i,0.00060967+0.00035549i,0.00063293+0.00048676i,0.00014412+4.4136e-05i,5.2412e-06-0.00022947i,0.00013715+5.8232e-05i,0.00033713-0.00011494i,9.2138e-06-0.00082151i,-0.0007137-0.00092708i,-0.00041942+7.0987e-06i,-0.00013927+0.00038518i,-0.00044024+0.00028778i,-0.00012419+0.00075326i,0.00032854+0.00094323i,0.00033165+0.00096148i
0.0019198+0.0025225i,0.00055718+0.0021355i,-0.00041422+0.0020535i,0.00038541+0.0014016i,0.0016918+0.00053302i,0.00076395+0.00016032i,-0.00071311+0.00033459i,-0.00028502+0.00036407i,0.00041019+0.00021284i,0.00091848+0.0001604i,0.00074322-0.0001548i,0.00023174-9.8401e-05i,-1.0566e-05+0.00053795i,0.00011733+0.00077384i,0.000809+0.00012659i,0.00064714-0.00034348i,-0.0001053-0.00024818i,-0.00061475+1.2651e-05i,-0.00026263+0.00053496i,-4.0105e-05+0.0011922i,6.7381e-05+0.0012198i,5.4667e-05+0.00085234i,-0.00029221+0.00056781i
0.0010235+0.00023356i,0.00068302-4.1269e-05i,-0.00047451+0.00057564i,-0.00028218+0.0016339i,0.00124+0.0024173i,0.0017121+0.0027466i,0.00083992+0.0019795i,-7.6133e-05+0.0012874i,0.00030182+0.0013394i,0.00088645+0.00106i,0.00033865+0.00070322i,-0.00030044+0.00039376i,-0.00040118+0.00058407i,4.9902e-05+8.6294e-05i,0.0004004-0.00091485i,0.00020323-0.00078862i,-0.00032146-0.00041936i,-0.0010897-7.4964e-05i,-0.00062562+8.3616e-05i,0.00031405+0.00021231i,0.00054551+0.00055397i,0.00046064+0.00043958i,0.00038457+0.00026979i
0.0021007+0.0012346i,0.0012368+0.00061181i,-0.00011107-0.00042164i,-0.00025319+0.00082029i,-0.00013488+0.0021457i,-0.00062475+0.0018402i,-0.00051637+0.0012139i,9.1209e-05+0.00037045i,0.00011036-0.00028829i,0.0002359-0.00037374i,-0.00026496-0.00024306i,-0.0010527-0.00030281i,-0.00074955-0.00047274i,-0.00013749+4.1705e-05i,-3.8677e-05-0.00020338i,0.0002225-0.00045412i,-0.00014287-0.00043983i,-0.00038977-4.6488e-05i,-0.00015658+0.00095889i,0.00037284+0.00075327i,0.00079155-0.000712i,0.00032649-0.0013037i,0.00021372-0.00028469i
0.00075576+0.0012786i,0.00097838+0.00035349i,0.00035377-0.00017624i,0.0011568+0.00078798i,0.00099652+0.001673i,0.00038543+0.0015688i,-5.3276e-05+0.0012109i,-0.00024272+0.00078832i,0.00014247-0.00026726i,0.00023535-0.00087464i,-0.00044867-0.0003353i,-0.00055562+0.00040577i,0.00026589+0.00060116i,0.00043841-2.063e-05i,0.00033505-0.00041734i,0.00067721-1.7183e-05i,0.00088335+0.00012047i,0.00033831-9.0905e-05i,0.00013708+0.00067297i,-0.00019064+0.0013512i,-0.00017719+0.00055163i,-0.00019681-0.00062688i,-0.00019567-0.00021127i
0.00054611+0.0014936i,0.0017027+0.00056229i,0.00078152+6.8661e-05i,-0.00077456+0.0002187i,-0.0013823+0.00080653i,-0.0012732+0.0015339i,-0.0011753+0.00082403i,-0.00061701+0.00044963i,-4.1107e-05+0.00032776i,0.00058699+0.00046481i,0.00078905+0.00026536i,0.0003083+0.00027752i,0.00049951+0.00092369i,0.00071758+0.00054581i,0.00058829+0.00037398i,0.00018571+8.5548e-06i,-0.00052827-0.00030444i,-0.0013247-0.00044816i,-0.00094051-0.00021733i,-6.7393e-05+0.00021343i,0.00019601+0.00042242i,3.0754e-05+0.00079071i,0.00027273+0.00044683i
0.00089393+0.00079539i,0.00093888+0.001395i,-0.00044338+0.0020615i,-0.00090803+0.001961i,-0.00088256+0.0016811i,-0.00065157+0.0008707i,-0.00037832+0.00039203i,-0.00050793+0.00045615i,-0.00048347+0.00075663i,-7.7462e-05+0.0011474i,0.00042766+0.0010939i,0.00069583+0.00011503i,0.00035042-0.00030185i,-0.00020312-0.00019942i,8.4411e-05-0.00076055i,0.00069212-0.00069878i,0.00041148-0.00020683i,0.00014203-0.00038169i,0.00040953-0.00042932i,0.000335-0.00046273i,0.00025918-0.00032866i,6.8342e-05+0.00014933i,0.00032731-0.00031571i
0.00080439+0.0014045i,0.0007569+0.00093271i,0.00022235+0.00048676i,0.00036278+0.00060233i,0.00077552+0.0011443i,0.0014843+0.0015798i,0.001266+0.0011422i,0.00030937+0.00096844i,9.6781e-05+0.00082677i,-7.4639e-05-9.5418e-05i,-0.00093809-0.00045944i,-0.00032308-0.00041464i,0.00067886-0.00042845i,0.00082933-0.00040594i,0.0010084+0.00016264i,0.00055656+0.00028588i,-0.00011758+0.00019842i,2.5714e-05+0.00028525i,0.00025081+0.00033634i,0.00021188+0.00050506i,-0.00042772+0.00024251i,-0.00081809-0.00019211i,-0.00041598-0.00031621i
0.0015163+0.0013011i,0.0014052+0.00073423i,0.00020397+0.00077446i,-0.00085429+0.0017077i,-0.00017915+0.001631i,0.00012045+0.00088993i,4.6839e-06+0.00069519i,0.0002745+0.0012401i,0.00013359+0.00067786i,-0.00037682+2.2725e-05i,-0.00076917-0.00013151i,-9.872e-05-0.0004089i,-0.00020593+7.889e-05i,-0.00034017+0.0003954i,-0.00021522+0.0001555i,-0.00010696+0.00026863i,2.2337e-05+0.00092298i,-0.00012735+0.0014874i,9.7166e-05+0.0012284i,5.622e-05+0.0006387i,-9.6718e-05-0.0003242i,0.00029967-0.00019271i,0.00058232+0.00018796i
0.001252+0.00048765i,0.0011579+0.0013568i,0.00041063+0.0016523i,3.7505e-05+0.0010566i,-7.966e-05+0.0007921i,-0.00033534+0.0016345i,-0.00079091+0.0019429i,-0.00061047+0.0010491i,-8.5338e-06+4.9252e-05i,0.00024179-0.00017793i,3.5441e-05-0.00059798i,0.00034458-0.00060323i,5.4414e-05+0.00026866i,-0.00043799+0.00018718i,-0.00037325+0.00015386i,-0.0001597+0.00026217i,0.00027592+0.000708i,1.2151e-05+0.00059007i,-0.00074662+0.00053044i,-0.00084915+0.00077657i,-0.0010597+0.00034124i,-0.00068657+0.00052384i,-0.00017394+0.00053681i
0.000748+0.000526i,0.00048948+0.00016734i,0.0001035+0.00075491i,-0.0005938+0.0015096i,-0.000762+0.0014501i,-0.0002422+0.0015335i,0.00013488+0.0016726i,0.00033451+0.0010178i,0.00050905+0.00070981i,0.0010181+0.00094674i,0.00028988+0.00066912i,1.2239e-05-0.00012127i,0.00093287-0.00072143i,0.0010167-0.00025308i,0.00057989+0.000525i,-0.00035869+0.00073983i,-0.0013117+0.00065479i,-0.0011173+0.00061548i,0.00022124+0.00060908i,0.00028988+0.0001599i,0.00023453-0.00022194i,0.0010483-0.00035925i,0.0012358-0.00018378i
0.0014208+0.0012413i,0.0020977+0.00062322i,0.0013721+0.00052911i,0.0012136+0.0010665i,0.0016543+0.0013677i,0.0011356+0.00050991i,0.00024958-0.00018455i,-0.00012101-7.0484e-05i,0.00012966-0.00051753i,0.00061546-0.00033897i,0.0005342+0.00043839i,0.00026396+0.0002059i,0.00039639-0.0001721i,0.0003942-0.00021639i,-2.7037e-05+0.00010772i,5.932e-05+0.00028303i,0.00033713+0.0004633i,0.0005535+0.00028357i,5.9327e-05+0.00048444i,-0.00066207+0.00050493i,-0.0010918-0.00047925i,-0.0010749-0.00095426i,-0.00018949-0.00039947i
0.0025806+0.002149i,0.0017356+0.0011057i,9.7807e-06+0.00047501i,-0.00043635+0.0010389i,2.227e-05+0.0006974i,1.1067e-05+0.00037279i,0.00058231+0.00076138i,0.0007654+0.00081872i,0.00098+0.00085441i,0.00054404+0.00040332i,-0.00068755-0.0003214i,-0.0014872-0.00026859i,-0.0012274-0.00056789i,-0.0001498-9.1934e-05i,0.00046454+0.00042511i,-0.00010952-0.00058135i,-0.00056909-0.00070086i,-0.00033296-0.00050129i,-0.00011061+0.00015517i,7.0296e-05+0.00047088i,0.00022114+9.9775e-05i,0.000252+0.00016952i,3.5029e-05-0.00020058i
0.0018763+0.0010739i,0.0015994-0.00020089i,0.00074079-0.00049734i,-0.00019652+4.3748e-05i,0.00025238-0.00014065i,0.00030093+0.00044917i,0.00035249+0.00095429i,0.00027605+0.0006444i,0.00032367+0.00041934i,0.00049156+0.00021045i,-4.4778e-05-0.00012i,0.00025376+2.3441e-05i,0.00055235+0.00090518i,-0.00018989+0.00067839i,4.1364e-05-0.00036985i,0.00018589-0.00051623i,-0.00034143-0.00014494i,-8.5024e-05+0.00067984i,-1.9475e-05+0.00020496i,0.00027034-0.00073309i,0.00054455-0.00015086i,0.0002818+0.00050265i,2.2954e-05+1.753e-05i
0.0029382+0.00057174i,0.0031774-5.3523e-05i,0.0014447-0.00067953i,-0.00055544-0.0002137i,-0.0011869+0.00066358i,-0.00065066+0.00090331i,0.00021056+0.00053711i,0.00017016-6.3049e-05i,-0.0001462-6.759e-05i,-0.00015707-0.00018839i,0.00035273-0.00090355i,0.00084111-0.00077651i,0.0007958+0.00014971i,0.00056666+0.00015681i,3.4363e-05-0.00010773i,-0.00035258-0.00036537i,-0.00021195-0.00053987i,-0.00070739-0.00035601i,-0.0010617+9.0161e-05i,0.00019984+4.0959e-05i,0.00062664+0.00024528i,-0.00031213+0.00077017i,-0.00059137+0.00058558i
0.0019597+0.0021278i,0.001184+0.0018962i,0.00086464+0.0013701i,0.0012926+0.0013151i,0.00078926+0.0012001i,-0.00062043+0.0010035i,-0.00062166+0.0015209i,0.0003278+0.0020831i,0.00028787+0.0011216i,0.00024334-0.00038983i,0.00058749-0.00073792i,0.00039904-0.00016405i,-0.00019306+0.00050049i,0.0005929+0.00031223i,0.00097586-0.00030924i,0.00072856-0.00028033i,0.00037247-0.00056838i,-6.0922e-05-0.00090221i,0.00025433-0.00044246i,0.00044091-0.00023726i,0.00052514-0.00040268i,0.00054631-0.0008036i,0.00039732-0.00056364i
0.0022047+0.00052659i,0.0021863+6.2413e-05i,0.00012961+4.0134e-05i,-0.0011073+0.0011692i,-0.00113+0.0012198i,-0.00051093+0.00053135i,1.3872e-05+0.00053534i,-0.00050672+0.00088023i,-0.00063298+0.00077597i,-0.00068268-0.00015361i,-0.0013596-0.00039553i,-0.0012782-2.6335e-05i,-4.3948e-06-0.0005196i,0.00014764-0.00099867i,-0.00042317-0.00086027i,0.00032573-0.00056406i,0.0002121-0.00046122i,-0.0011972-0.00047505i,-0.00075055-0.00045646i,0.00026687+0.00018052i,0.0007127+0.00078776i,0.00076351+0.00044522i,7.7393e-06-0.00026861i
0.00081577+0.00078082i,0.0019128+0.00058307i,0.0017539+0.00014299i,0.00069054-0.00019781i,0.00095884-0.00031521i,0.0017759+8.8721e-05i,0.001348+0.0011118i,0.00074147+0.0016183i,0.00058376+0.00066678i,0.00010147-0.0004146i,-0.00061766-0.00064324i,-0.00071495-0.000343i,-0.00083336+0.00020223i,-0.0011032-0.00020459i,-0.00028519-0.001004i,0.00040695-0.0014629i,4.4825e-05-0.0012113i,-0.0002786-0.00057304i,0.00027249-0.00012332i,0.0011956-0.00013292i,0.00062214+2.2052e-05i,0.00050348+0.00052077i,0.001111+0.00057114i
0.00043932+0.0014632i,0.00045951+0.00065427i,0.0011745-0.00044423i,0.0021409-0.00056771i,0.0015009+0.00029095i,0.00069383+0.001225i,0.00025083+0.00096117i,-0.00017345+0.00073846i,-0.00016413+0.00036353i,-6.0358e-05+0.00017682i,-0.00038806-6.3662e-05i,-0.00043115-0.00017429i,-0.00027073-0.00036332i,-1.8365e-05-0.00031873i,0.00010126-0.00018807i,-0.00016443-0.00038592i,-0.00030332+2.6484e-05i,-0.00016535+0.00010179i,0.00025094-7.8817e-05i,0.00098504+7.4896e-05i,0.00098385+3.9396e-05i,0.0007505-0.0003808i,0.00069212+0.00066669i
0.00047177+1.5935e-05i,0.00064584+0.00096332i,-0.0011881+0.0022408i,-0.0020152+0.0035904i,-0.0014549+0.0034217i,-0.00053021+0.0021998i,0.0001773+0.0017454i,9.4279e-06+0.0014215i,-0.00090681+0.00095914i,-0.0014061+0.0013231i,-0.00050907+0.00098282i,0.0003491+0.00012983i,-0.00034323-0.00035733i,-0.00065583-0.00061412i,-0.00012743-7.2798e-05i,-1.2363e-05+0.00029107i,-0.00059464+0.00037212i,-0.00074796+0.00044578i,1.8611e-05+6.0596e-05i,0.00045964-0.00015017i,0.0012528+3.1215e-05i,0.0015433+8.7072e-05i,0.00097094+0.00050231i
0.00083875+0.0012455i,0.00079532+0.00064468i,0.00042752+0.00057998i,-0.00028066+0.0003695i,-0.00071057+1.2818e-05i,-0.0010334-0.0006839i,-0.00072529-0.00027396i,-0.00043279-0.00012432i,-0.00054204-0.00019906i,-0.00027835+0.00018927i,0.00089063+0.0010015i,0.00061617+0.0010564i,0.00014917+0.0001111i,0.00046057-0.00047168i,0.00034249-9.3432e-05i,0.00049542+9.9945e-05i,0.00068171+0.00035982i,0.00043702+0.0011243i,0.00041548+0.0012714i,0.00015449+0.00036636i,-0.00027365-0.00075367i,-0.0001151-0.0010338i,-0.00032585-0.00098424i
0.0025995+0.00029762i,0.0029604-0.00010579i,0.0019174-0.00049487i,0.0011836+0.00048531i,0.0008449+0.0021156i,0.00064333+0.0022736i,8.2765e-05+0.00069103i,0.00044842+5.6357e-05i,0.00041056+0.00033095i,0.00013448+0.00012923i,0.00012499+0.00040231i,0.00029297-7.3022e-05i,0.001081-0.00047127i,0.00083813-0.00025475i,0.00045002-0.00019064i,0.0003335-1.7544e-05i,-0.00014133-0.00045741i,-0.00051916-0.0011843i,-0.00071032-0.00074475i,-0.00024335+0.00063263i,0.00013629+0.0011091i,0.00040721+0.00040241i,0.00048884-6.8393e-05i
