-3.141e-05+0.00013839i,0.0016049+0.00076436i,0.00372+9.3157e-05i,0.0033855-0.00018676i,0.00174-0.00016972i,0.0018215-0.0003148i,0.0021419-0.00065275i,0.001524-0.00010645i,0.00056346+0.00030881i,0.00019202-0.00058659i,-0.00018482-0.00054863i,-0.0003037+0.00046096i,-0.00078485+0.00067121i,-0.00038051+9.8176e-05i,0.00035165-0.00053838i,9.8801e-06-0.00057332i,0.00032242-4.0362e-05i,0.00083286-0.00045018i,0.00098093-0.00079623i,0.00070055-0.00030393i,0.00017991+0.00015901i,8.1396e-05-0.00010358i,0.0001929+3.1682e-05i
-0.00089057-0.00071516i,-0.0022474-0.00079156i,-0.0028331-0.0001475i,-0.0016235-0.00041396i,-0.00011186-0.00040071i,8.8252e-05-0.00072829i,-0.00023627-0.0011008i,0.00048855-0.00059244i,0.0011589+0.0002696i,0.00089626-0.00010445i,0.00039941-0.00035735i,0.00016435+0.00056974i,9.4035e-05+0.00062776i,-0.00056484-2.4742e-05i,-0.00046069+0.00022187i,-0.00021327+0.00067453i,-0.00071612+0.00063712i,-0.00093707+0.0002442i,-0.00023711-0.00019987i,0.00020281-7.4024e-05i,8.6367e-05-0.00039674i,0.00018894-0.0010426i,-0.00036769-0.00084534i
0.0013433+0.0012152i,0.0020734+0.00026717i,0.0022333-0.0015669i,0.001064-0.001127i,0.00081307-0.0008081i,0.00075285-0.00052982i,-3.4348e-05+9.9787e-06i,-0.00011402+0.00023332i,-0.00020213+0.00021017i,-0.0003413-0.00053618i,-0.00041168-0.00041218i,-0.0010016+0.00025119i,-0.00094817+0.00043583i,-0.00050888-0.00022523i,-0.00096689-1.7866e-05i,-0.00058016+0.0001653i,0.00050458-8.0635e-05i,-0.00039557+0.00045138i,-0.0011349+0.00012313i,-0.00047395+0.00017413i,-0.00033361+0.00075904i,-0.00073173+0.0003779i,-0.00072141+0.00018215i
0.0001384-0.00085955i,-0.000825-0.00060549i,0.00011614+7.7989e-05i,0.00067207-0.00018326i,2.9047e-05-0.00042381i,1.6042e-05+0.00052452i,0.00030631+0.00064325i,0.000361-0.00035469i,4.8234e-05-0.00087913i,-8.4537e-05+7.8709e-05i,-0.00049201+0.00079235i,-0.00081782+0.00087781i,-0.0012765+0.0009641i,-0.00062275+0.0014444i,0.00032746+0.0010958i,-0.0004874+0.00024426i,-0.00096702+0.00027274i,-0.00058954-1.6133e-05i,-0.00020468+0.00025264i,0.00022521+0.0010935i,0.0004548+0.00060426i,0.00032066+9.8112e-05i,0.00028951+7.8639e-05i
-0.00010922-0.00054936i,0.0018285-0.0025813i,0.00062835-0.0026221i,-0.00035184-0.0014287i,0.00062417-0.0010939i,0.00054777-0.0006854i,2.9234e-05+0.00029384i,-0.00031417+0.00011225i,4.9379e-05-0.00045729i,0.00010241-0.00013342i,-4.2082e-05+0.00014046i,0.00051363-0.00040911i,0.00038255+0.00017019i,-8.5345e-07+0.0010105i,-0.00014562+0.00043748i,-0.0005319+0.0001828i,-0.00025906-0.00022883i,0.00014227-0.0004261i,0.00043469-0.00044839i,0.00026589-0.00016875i,4.3721e-05-0.00018576i,-5.1262e-06-0.00042016i,0.00019538-6.1138e-05i
0.0027179-0.00019803i,0.0034066-0.00014247i,0.0028913-0.00072839i,0.00093634-0.0011793i,-0.00058857-0.00032487i,-0.00050546+1.9735e-05i,-5.2628e-05-0.00016196i,0.00018587-0.00022459i,0.00026793+0.00012708i,8.9912e-05-0.00028853i,-3.9173e-06-0.00082888i,0.00015941-0.00035512i,-0.00052361+0.00024178i,-0.00095042+3.3856e-05i,-0.00088563-0.00077977i,-0.00026262-0.0009096i,-0.00010211-0.00066999i,-0.0004083-0.00030343i,-0.0004178+1.3068e-05i,-0.00014096-1.5997e-06i,4.6017e-05-0.00035361i,-0.00038301-0.00052974i,-0.00087555-0.00053536i
-0.00043071+0.0023441i,-0.00060049+0.0033097i,-0.00034284+0.002731i,0.00032079+0.00054067i,-0.0001056+1.1391e-05i,-0.00034691+0.00073029i,0.00036541+0.00058219i,0.0011278-0.0003053i,0.00060842-0.00072065i,-0.00063084-0.00081018i,-0.00026014-0.00076146i,0.00023796-0.00052043i,2.1764e-05-8.6855e-06i,-0.00027717+3.48e-05i,-0.00056675+0.00010519i,-0.0008543+8.8923e-05i,-0.00016544+0.00017571i,-0.00016546+0.0001907i,-0.0011519-9.521e-05i,-0.0010715+0.00011098i,-0.00038038+0.00056132i,-7.0559e-06+0.00061288i,6.6157e-05+0.00044802i
-0.0021523-0.0023248i,-0.0023024-0.0011526i,-0.0028153-0.0012684i,-0.0016976-0.00063832i,-0.00032052+0.00077868i,0.0005197+0.0013001i,9.182e-05+0.00098145i,-0.00092873+0.00011553i,-0.00051936-0.00073481i,0.00011164-0.00060641i,0.00019088+0.00057459i,0.00013729+0.00091605i,0.00085041-0.00037961i,0.0012307-0.00067283i,0.00076467-0.00046535i,0.00071811-0.00020319i,0.0001306+0.00030772i,-0.00026094+0.00018628i,-0.00029528-4.632e-05i,-0.0006544-0.00036645i,-0.0010344-0.00071123i,-0.0010366-0.00038013i,-0.0008648+0.00026891i
-0.0018073-0.00047888i,-0.00091651-2.695e-05i,0.00061383+0.00072418i,0.00063412+0.0013663i,0.00029714+0.00081017i,0.0010597-0.00034199i,0.0010143-0.00082736i,-0.00027199-0.0010909i,-0.00060036-0.00090876i,-0.00017533-0.00066365i,1.2858e-05-0.00065176i,0.00034647-9.7322e-06i,0.00061776+0.00014763i,6.6408e-05-0.00044204i,-0.00075357-0.00057099i,4.1271e-05-0.00085531i,0.00068858-0.00075899i,0.00034902-0.000179i,0.00018531+0.00012521i,0.00019891+0.00059392i,-0.00014551+0.001199i,-0.00046948+0.00070025i,0.00026056+0.00013734i
0.0015701-0.0025364i,0.0013723-0.0036858i,-7.4074e-05-0.0025175i,-4.0827e-05-0.0011301i,5.0028e-05-0.00065137i,7.6094e-05-0.00037777i,0.0010322-0.00022009i,0.0014202+0.000315i,0.00090945+0.00051128i,-0.00024321-0.00022281i,-0.00093179-0.00015516i,-8.0172e-05+0.00054391i,0.00059128+0.00034349i,1.1557e-05+0.00038516i,-0.00014032+0.00034306i,-4.007e-05+0.00059024i,-0.00026587+0.00068439i,-9.2752e-05+0.00032428i,-0.00019841-0.00017485i,7.1895e-05-0.00063637i,0.0011477-0.00036375i,0.00079323+0.00075886i,-0.00048964+0.001009i
