-0.00058894+0.00064711i,-0.00093717-0.00063822i,-0.003421-0.0019525i,-0.0033214-0.0015318i,-0.0014097+0.00042008i,-0.0010009+0.00066699i,-0.0012232+0.00067369i,-0.00054793+0.00082231i,0.00094593+0.00055364i,0.0019477+9.6367e-05i,0.0015369-0.0004627i,0.00079903-0.00040802i,0.00043862-0.00032677i,0.00029486-0.00010914i,0.00024865-0.00011315i,0.00016263-0.00027494i,9.6964e-05-0.00020248i,0.00024159-0.00012868i,0.0004054-0.00078451i,0.00043425-0.0012412i,0.00034266+6.6168e-05i,0.00036398+0.00088085i,-1.2433e-05+0.00027897i
-0.0004861-0.00023418i,-0.0010622-0.0015887i,-0.0015687-0.0019998i,-0.00075394-0.00092787i,8.7819e-05+6.3033e-06i,0.00074768+0.00023219i,0.000648-0.00010056i,0.00063004-0.00053488i,0.00058174-0.00023776i,-0.00043259+0.00039546i,-0.00088467+0.00099837i,-4.3873e-05+0.00097201i,0.00027962+0.00044149i,0.0002884+0.00035576i,0.00053565+0.00025687i,0.00015149-3.146e-05i,-0.00019017+6.0251e-05i,0.00012842-8.7968e-06i,0.00033921+0.00024081i,2.8962e-05+0.00041339i,-1.2615e-05-0.00030218i,-6.9657e-05-3.1786e-05i,-0.00047551+0.00070404i
0.0012126-0.00078013i,0.00051708+0.00012241i,0.00098736+0.00021088i,0.00065843-0.00094795i,-0.00075269-0.0013896i,-0.00074043-0.0013055i,5.2864e-05-0.0011047i,0.00030411-0.0002914i,-0.00052017-6.6175e-05i,-0.0016911-0.00061501i,-0.001576-9.0126e-07i,-0.0012077+0.0007599i,-0.00093052+0.00031983i,0.00019926+8.4654e-05i,0.0005021+0.00020065i,-0.00010284-0.00010458i,-0.00044111-0.00031797i,0.00016292-0.00059545i,0.00014432-0.00059744i,-0.00021564+0.00032702i,-0.00056795+0.00059411i,-0.001082-7.1213e-05i,-0.00028709-0.00061916i
0.0026909+6.581e-05i,0.0021418-0.00095827i,0.0024297-0.0029624i,0.0016878-0.0031942i,0.00011413-0.0020608i,-0.00057676-0.00097682i,0.00034911-6.5137e-06i,0.00094277+0.00071735i,0.00078849+0.0012581i,0.00096976+0.00078417i,0.00077248-0.00012102i,-7.5791e-06-0.00022476i,-2.5479e-05-0.00019662i,-0.00025871-0.00028453i,-0.00052052+0.00012342i,-0.00035085+0.00016643i,-0.00046269-8.4828e-05i,0.00023048-9.8197e-05i,0.00076207+0.00011978i,-8.5329e-05+0.00061858i,-0.00038951+0.00057007i,0.00085519-0.00010127i,0.0009149-0.00060192i
-0.0015734+0.0012141i,-0.0013567+0.0015303i,-0.00073311+0.0018351i,0.0005039+0.0002985i,0.0010713-0.00022435i,0.00023266+0.00050624i,-0.00049993+0.00012656i,-1.7391e-05-0.00018375i,6.7882e-05+0.00026266i,-0.00046876+6.0598e-05i,-0.00052165+0.00059079i,-0.00024582+0.00069778i,0.00032711+0.00024363i,0.00028093+0.00051116i,0.00044432+0.00067478i,0.00027885+0.00036025i,-0.00041462-0.00023641i,-0.00041575-0.00056272i,-6.1499e-06-0.00027417i,0.00062793+0.0002741i,0.00048842+0.00030651i,-0.00018736+0.00025127i,0.00025407+0.00028848i
-0.0016044-2.702e-06i,-0.0015181+2.864e-05i,-0.0012448-0.00069968i,-0.001284-0.00087589i,-0.00097907-0.00076754i,0.00027948-0.00085212i,0.00080483-0.00079464i,0.00042041-0.00019761i,9.6414e-06-5.9859e-05i,8.5781e-05+5.1004e-05i,0.00024574+0.00039669i,-0.00057639+0.00065503i,-0.00099651+0.00044351i,-0.00032015+7.1608e-05i,0.00069768+0.00019082i,0.0013095+0.00038492i,0.00050675+0.00028415i,-0.00052938+0.00063393i,1.5377e-05+0.0011261i,0.00021176+0.00095248i,0.00014658+2.1961e-06i,0.00012681+0.00045127i,-0.00038362+0.0013719i
0.00031979-0.0015412i,-0.00036765-0.0021733i,-0.0019179-0.002971i,-0.0023391-0.0025242i,-0.00055442-0.001696i,0.00096239-0.00047711i,0.001429-0.00022637i,0.0010993-0.00027791i,0.00067204-0.00026479i,-0.00035412-0.0006114i,-0.0010241+6.6255e-05i,-0.00067343+0.00080615i,4.45e-05+0.0010613i,0.00054432+0.00071816i,-1.9265e-05+0.00027532i,0.00013979-0.00015717i,0.0014463-0.0011616i,0.0013924-0.0012458i,0.0001848-0.00093716i,-6.4701e-05-0.00071556i,0.00074769-0.0004832i,0.00093287-0.000612i,0.0003703-0.00041463i
-0.0015021+0.0027291i,0.00018867+0.00252i,0.001414+0.0036901i,0.0019625+0.0028777i,0.0026794+0.00075916i,0.002551-0.00019078i,0.00040303+5.5935e-05i,-0.00084175+0.00026455i,-0.00078402+0.00070193i,-0.0012808+0.0013092i,-0.0017436+0.00087041i,-0.00055515+0.00020067i,0.00027292-9.9594e-05i,-5.8681e-05+0.00060189i,0.00021037+0.00073318i,0.0011153-0.000378i,0.00049022-0.00097744i,-0.00083456-0.00060382i,-0.0009848-7.2733e-05i,-0.0007146+0.00035696i,-0.00088678+0.00041496i,-0.00064434+0.00018347i,-0.0001336-3.1675e-05i
0.0011069+0.0012623i,0.0015224+0.00057429i,0.0012493+0.00076028i,0.0010351+0.00049262i,0.00091847-0.00059267i,0.00061944-0.00082344i,0.00031602+0.00054145i,0.00034765+0.00081072i,0.00020068-0.00021713i,0.00012383-2.7753e-05i,-0.00035582+0.00063705i,-0.00049696+0.00073857i,0.00038385+0.00035682i,0.00052037+0.00017698i,-0.00023167-0.0001125i,7.8235e-05-0.00043163i,0.00053319-9.4443e-05i,0.00013258-0.0006712i,0.00011737-0.00052838i,0.00050093+0.000831i,0.00070442+0.00099854i,0.00052731-9.6637e-05i,-0.00063078-0.00029549i
0.0019169+0.00047759i,0.00036288+0.00011253i,0.0010378-0.00017999i,0.0012373-0.00074647i,0.00038082-0.0012841i,-0.00024773-0.00082911i,0.00012906-0.0002718i,4.2738e-05-6.113e-05i,0.00032137+0.00057536i,0.00022425+0.00071136i,-0.00014556+0.00013197i,-9.8545e-07+0.00022639i,-0.00034285+0.00057857i,-0.00093713+6.1564e-05i,-0.00053038-0.0004574i,0.0008068-0.00084449i,0.0010076-0.00059277i,0.00050585-0.00048565i,8.8815e-05-0.00081983i,7.6079e-05-0.00015535i,0.00030612-2.5046e-05i,0.0003109-0.00024083i,9.4185e-05-0.00017172i
-0.00026793+0.00025225i,0.00051805-0.00044277i,0.00054062-0.00084259i,0.00079164-0.00064911i,4.9726e-05-0.0014436i,-0.00035596-0.0021758i,-0.00053225-0.0014618i,-0.0013672-0.00034835i,-0.0010404-5.4209e-05i,-0.00033624+0.0001072i,7.9608e-05+0.00038322i,7.1482e-05+0.0002598i,0.00013266+0.00031397i,0.0010197+0.00072464i,0.0016416+0.00029265i,0.001801+0.00014078i,0.00063269+0.0003117i,0.00020341+0.00011866i,0.00062751+0.00016011i,0.00070489+8.5931e-05i,0.00043726-0.00032275i,-0.00052023-0.000642i,-0.0011493-0.0010494i
0.00050641+0.0010745i,0.0012846+0.00021168i,0.0011502+0.00081846i,0.0011084+0.00066507i,0.0011068-0.00035614i,0.0013053-0.00010372i,0.0013369-0.00013221i,0.00015305-6.5348e-05i,-8.9053e-05-5.2932e-05i,0.00037274+0.00033863i,-1.6588e-06+0.001215i,-0.00073135+0.0010273i,-0.00095377+0.00045371i,-0.00040162+8.311e-05i,0.00015346+0.00048883i,-2.2136e-05+0.00030261i,0.00017593-0.00055615i,9.5051e-05-0.00089724i,-0.00021905-0.0010126i,-2.6693e-05-0.00067906i,1.9928e-05-0.00059834i,0.00029038-0.00047191i,1.7445e-05-0.00021593i
0.0013945-0.0032384i,0.001046-0.0032198i,-0.00082028-0.003978i,-0.00242-0.0034418i,-0.002092-0.001744i,-0.00074114-0.00098911i,-9.0767e-05-0.00021647i,-0.00056008+0.00069803i,-0.0002157+0.00031159i,-0.00030654+0.00011973i,-0.0013943+0.00059752i,-0.0018176+0.00054595i,-0.0013154+8.5094e-05i,-0.00085697-0.0003907i,-0.00057576-0.00049197i,-3.6923e-05-0.00012949i,5.9217e-05-0.00042311i,5.1179e-05-0.00059465i,0.00056864-0.0012531i,7.6779e-05-0.0011811i,-0.001005-0.00066047i,-0.0011877-0.00080312i,-0.00041662-0.00076125i
0.0015846-0.0012746i,0.00010646-0.0022933i,0.00029262-0.0030533i,-5.1048e-05-0.0027491i,-0.00085697-0.0019696i,-0.00076856-0.0010703i,0.00051536-0.00025882i,0.0011461-7.0834e-05i,0.00091906-2.5961e-05i,0.00039374-0.00022555i,-0.00063401-0.00056244i,-0.0012859+0.0004772i,-0.0011011+0.00073326i,0.00016134-0.00045368i,8.6637e-05-0.0010905i,-0.00023232-0.0013846i,0.0001154-0.0011229i,0.00035606-0.0011974i,0.00023347-0.001104i,-4.8173e-06-0.00041569i,0.00017802+0.00041888i,0.00015381+0.0002809i,-0.0001096-1.9929e-05i
-0.00044347-0.00032106i,9.1239e-07-1.7971e-06i,0.00028567-0.00029857i,0.00012297-0.00019502i,0.00020861+0.00038004i,0.0010704+0.00098533i,0.00072066+0.00098943i,0.00034513+0.00088771i,0.00015968+0.00077952i,0.00026871+0.00063016i,9.1049e-06+0.00082485i,-0.00088328+0.00080827i,-0.0010008+0.0011624i,-0.00033415+0.0010592i,-1.4454e-05+0.00040638i,-0.00013745+0.00015193i,0.0001753+0.00034617i,0.00013809+0.0007113i,-0.0005682+0.00037431i,-0.00073342+0.00017689i,-6.8945e-05-0.00031973i,0.00020749-0.00093759i,0.00012309-0.00082127i
-5.1067e-05-0.00037456i,-0.0013183-8.0375e-05i,-0.0030974+0.00016663i,-0.0032963+0.00016869i,-0.0017099-4.8059e-06i,-0.00093315-0.0002339i,-0.00014666-0.0006071i,0.00047236-0.00036266i,-0.00033113+0.00065418i,-0.00075594+0.0011476i,-0.0002816+0.00076642i,-0.00019204-0.00017976i,-0.00076088-0.00048405i,-0.00052324-0.00037807i,-0.00013198+3.9934e-05i,-0.00030468+0.00039898i,-0.00024584-0.00019109i,0.00013893-0.00046973i,-6.3829e-05-0.00027599i,-0.00053585-0.00026555i,-0.00094548+0.00085549i,-0.00032672+0.0011628i,0.00010907+0.0006068i
0.0018886+0.0014334i,0.0023216+0.00080719i,0.0024354+0.00027653i,0.0018908-0.00034874i,0.00085938-0.00037981i,0.00052619+0.00033721i,0.00040013+0.00028106i,4.9447e-05+0.00029173i,-0.00030148+0.00089361i,-0.00050173+0.0007689i,-0.00070987+0.00018525i,-0.0015576-0.00019125i,-0.0013162-0.00019853i,8.6991e-05-0.0001015i,0.00045636+7.8794e-05i,0.00010323-0.00013781i,0.00035018+0.00015235i,0.0012426+0.00087344i,0.0011663+0.00038932i,0.0003128-0.0006814i,-5.1939e-05-0.00099399i,0.00030743-0.00051602i,0.0004474+1.0201e-05i
0.0011349+0.00061408i,0.0011201+0.00022799i,0.0010571-0.0010828i,0.00062424-0.0018338i,8.091e-05-0.0011804i,-0.00026525-0.00067316i,-0.00055283-0.00085086i,-0.00051038-0.00084678i,-0.00020676-0.00064439i,-0.00030538-0.00065569i,-0.00079746-0.00029965i,-0.00063054+0.00031287i,0.00010955+0.0005953i,0.00076242+0.00010313i,0.0006298-0.0004137i,-0.00023051-3.8857e-05i,0.0002612+0.00045269i,0.00027117+0.00010264i,-0.00011787-0.00066815i,0.0003409-0.00060713i,0.00048843-2.6154e-05i,0.00021352-0.00036425i,1.6508e-05-0.00085138i
-0.0009945-0.0010061i,-0.00060494-0.0010494i,-0.00095767+0.00049656i,-0.0015844+0.00084449i,-0.0012512+0.00022177i,-0.00028756+0.00024603i,0.0005302+0.00021817i,-0.00018448-0.00015722i,-0.00048433-0.00021055i,0.00026+0.00095532i,-0.00044596+0.0013334i,-0.00070337+0.00060954i,-0.00026344+0.00045869i,-0.0004055-2.5251e-05i,-0.00030218-1.0975e-05i,-0.00026144+0.0009579i,0.00024321+0.0010602i,0.00062057+0.00026196i,0.00038089-0.00047895i,0.00054601-0.00099674i,0.0001562-0.00089715i,-0.00031132-0.0004639i,-0.00054941+0.00018877i
0.0013348-0.0043489i,0.0019847-0.0048089i,0.0019168-0.0047612i,-0.00026556-0.0037101i,-0.0014247-0.001841i,-0.00082479+0.00032236i,0.00018862+0.0004849i,0.00060024+2.0524e-05i,2.1337e-05+0.00013475i,-0.0007904-0.00035205i,-0.001019-0.00090391i,-0.00057108-0.00054984i,-0.00038365-4.153e-06i,-0.00065291+0.0006955i,-0.00045926+0.00095016i,-0.00017717-0.00036593i,-0.00037833-0.0010459i,-0.00098361-0.00078298i,-0.0010403-0.00086405i,-0.00066855-0.00068621i,-0.00058665-0.00029548i,-0.0010058-0.00061545i,-0.0010828-0.00089099i
-0.00070827+0.00027581i,-0.00060202+0.00021333i,-0.0017838+0.00053985i,-0.002867+0.00052375i,-0.0013791-0.00031382i,0.0005169-0.00059787i,0.00038253-0.00012439i,-0.0007647+0.00040372i,4.9926e-06+0.00063844i,0.00032524+0.00049426i,-0.00057768-0.00017919i,-0.00056246-0.0002473i,-0.00010393+1.7804e-05i,0.00028181-0.00025969i,-7.079e-05-0.00089063i,-0.00011636-0.001066i,0.0004673-0.0010324i,0.00043813-0.00078357i,-4.2062e-05-0.00056204i,-0.00050678-0.00024152i,-0.00018391+0.0007578i,8.1561e-05+0.00082986i,-0.00030488-4.797e-05i
-0.00069447+0.00080048i,-0.0012611+0.0011362i,-0.00049397+0.0019847i,0.00027294+0.0014375i,0.00035643+0.00053635i,4.8361e-05-0.00011465i,0.00017049+0.00023719i,7.1332e-05+5.1993e-05i,4.5308e-05-0.0004686i,0.00018215-0.00065429i,-0.00039562-0.00033475i,-0.00063481+0.00015998i,-0.000188+0.00031123i,-0.00043295+0.0006266i,-8.4403e-05+0.00062974i,0.00023435+0.00070233i,0.00029737+0.00041087i,-0.00011536-0.00031039i,-0.00059129-0.00060844i,-0.00011822+0.00013724i,0.00014485+0.00095922i,0.00039072+0.00033838i,0.00012501-0.00022345i
-0.00033464-0.00020601i,2.9829e-05-0.0016593i,-0.0005423-0.0020186i,-0.00021261-0.0012438i,0.00012074-0.00036594i,0.00011651-0.00034469i,0.0004613-0.00048987i,0.00070723-0.00051184i,0.000325-0.00063232i,-0.00066031-0.00044769i,-0.0015214-0.00036103i,-0.00099921+0.00018362i,0.00037424+0.00039527i,0.00087302-0.00051456i,-0.00017724-0.00084457i,-0.00066686-0.00058994i,-8.058e-05-0.00020705i,5.2363e-05+0.00011705i,9.87e-05-0.00037518i,0.00016658-0.00046622i,-0.00027863-0.00017939i,-8.898e-05-1.0552e-05i,0.00032426+0.00059763i
-0.001019+0.0003088i,-0.0010962-7.1861e-05i,-0.00086602-0.00077584i,-0.00085261-0.0015805i,-0.0010943-0.0010574i,-0.0012231-0.00032332i,-0.00080693-0.00064672i,-0.00045921-0.0007493i,0.00036248-0.00032418i,0.00027898-0.0005258i,-0.00058275-0.00071149i,-0.00031757-0.00032675i,0.00063335-0.00057022i,0.00084235+0.00035596i,-5.3994e-05+0.001158i,-0.00023226+0.0005772i,0.00016004-6.0558e-05i,0.00037123-0.0013318i,0.0007908-0.0016521i,0.0010139-0.00025113i,0.0010322+0.00012917i,0.00021741-0.00036552i,-0.00028056+0.00011899i
-0.0030714-0.00012557i,-0.0028982+0.0010383i,-0.0026999+0.0016749i,-0.0018301+0.0017809i,-0.0014028+0.0020531i,-0.00027677+0.0010414i,0.00044135-0.0002954i,-2.7476e-05-0.00069914i,-0.00021318-9.2841e-05i,-0.00051775+0.00069546i,-0.0013338+0.00073318i,-0.00082834+0.00098444i,0.00012636+0.0013474i,0.00023378+0.001482i,-0.00036562+0.00079076i,-0.00088391-0.00038335i,-0.00053065-0.0007335i,-0.00055866-0.0010417i,-0.0006044-0.00085418i,-0.00035202-0.00035452i,1.2008e-05+0.0001381i,4.4491e-06+0.00036759i,2.0612e-05+0.00028701i
-0.00041793+0.00031357i,-0.00066338-0.00034786i,-0.00078595-0.00036794i,-0.00036302+8.648e-05i,2.2632e-05+0.00084787i,0.00054182+0.0010462i,0.00060796+0.0011656i,0.00045544+0.0012751i,0.00062782+0.00044006i,0.0006096-0.00018293i,0.00054886+0.00082284i,-7.1109e-05+0.0012758i,-0.00020084+0.0001828i,0.00056537+0.00025107i,0.00078433+0.00067228i,0.00049239+0.00063031i,4.0487e-05+0.00027117i,5.6431e-05-4.9628e-05i,-0.00011848-0.00054802i,-0.00057929-0.00036643i,-1.5872e-05-0.00045978i,0.00096212-0.0012352i,0.00054427-0.0013412i
0.00023501-0.00012367i,0.00050864-0.00018419i,0.0016774-0.00078356i,0.00069685-0.0014567i,-0.00042934-0.00081933i,-0.00063184-0.00084447i,-0.00049503-0.00084982i,-0.00027605-0.00043796i,-0.00068058-0.00062104i,-0.00080225-0.000806i,-0.0012318-0.00033186i,-0.0015066-0.00030661i,-0.00091321-0.00070179i,8.0481e-05-0.00017767i,0.00051782+0.00028347i,-0.00031993+0.00036716i,-0.00073447+0.00065088i,-0.00028523+7.1401e-05i,0.00020617-0.0010199i,0.00010688-0.0010595i,-0.00018929-0.0007736i,3.3241e-06+0.00011848i,5.9722e-05+0.0014486i
0.00024606+0.00070538i,-0.00065499-0.00020657i,-0.00090636+5.7189e-05i,0.00065985+9.6247e-05i,0.00047773-0.00075337i,-1.8672e-05-0.00090868i,0.00037383-0.00069578i,0.00011234+0.0002033i,2.3652e-06+0.00046614i,0.00019708+4.11e-05i,-0.00048096+0.00050343i,-0.0011013+0.00034727i,-0.00049485-6.2516e-05i,0.00054033+0.00016588i,0.0010181-0.00036831i,0.00074598-0.00056653i,0.0011761+7.1305e-05i,0.00022461+0.00061961i,-0.00096218+0.00072141i,-0.00057162+0.00044469i,-0.0004297+0.00019212i,-0.0005753-0.0002805i,4.4038e-05-4.1808e-05i
0.00038767-1.3799e-06i,0.00038384+0.0015121i,0.0012503+0.0020306i,0.0012731+0.0013189i,-0.00010016+0.00012491i,-0.00025776-9.5812e-05i,-0.00017464+0.00026486i,-0.00039432+0.00019935i,4.75e-05+0.00058081i,0.000346+0.0010654i,0.00034949+0.00096574i,4.7235e-05+0.00075543i,0.00015002+0.00050309i,0.00046418+0.00047641i,0.00029248+0.00050813i,-4.1672e-05+0.00032937i,-0.00010523+0.00020167i,-0.00033067+0.00039014i,-0.00039696+0.00045758i,0.00036974+0.00068398i,0.00099521+0.00031399i,0.00049836-5.3323e-05i,-0.00036495+0.00056168i
0.0015688+0.00081876i,0.0014252+1.6416e-05i,0.00087145-0.0014959i,0.00017558-0.0018846i,-6.5593e-05-0.0018172i,0.00024175-0.00083785i,0.00051063+7.5113e-05i,0.0011328-7.213e-05i,0.00086633+0.00019713i,-8.7561e-06-0.00020923i,-0.00010117-0.00028454i,7.1982e-05-3.9405e-05i,5.7582e-05+0.00012203i,-0.00048327+0.00024469i,-0.00046758-3.8323e-05i,-0.00033263+6.0105e-05i,5.1817e-05-7.4292e-05i,0.00068017-0.00063275i,0.00090742-9.0862e-05i,0.0010501+0.00096367i,0.00033939+0.00093362i,0.00014898+0.00030939i,-0.00025877+0.0003778i
-0.0013146-0.000434i,-0.0025989+0.00012592i,-0.0031093+0.00045044i,-0.0028055+0.00064743i,-0.0023404-0.00052608i,-0.0015645-0.00087865i,-0.00037462-0.00014534i,0.00021544+0.00042396i,-7.9173e-05+0.00065451i,-0.00024933+0.00033984i,2.8091e-05+0.00035449i,-0.00021191+0.0005638i,-0.00080418+2.8511e-05i,-0.00092124-0.00030615i,-0.00059383+0.00018166i,0.00039055-0.00014995i,0.00070591-0.00077593i,0.00014605-0.00054078i,0.00021566-0.00078625i,0.0007226-0.00038968i,0.00056676+0.00030327i,0.00051804+0.00051904i,0.0001091+0.00031756i
-0.00051474-0.0022531i,-0.00045231-0.0023044i,-0.0010379-0.0030883i,-0.0010703-0.0025564i,-0.0010582-0.00055713i,-9.4774e-05+0.00035022i,0.00086157-4.1781e-05i,0.00032298-0.00074023i,-1.6405e-05-0.00083767i,-0.00029212-0.00011933i,-0.00076444+0.00052878i,-0.00052822+0.00058914i,-0.00038559+0.00046156i,-4.6671e-05+0.00072661i,7.2579e-05+0.00073547i,-0.00053421+0.00024871i,2.0022e-05-0.00025434i,0.00019979-0.00081042i,-5.0321e-07-0.0011135i,0.00012188-0.0013621i,0.00037412-0.00060277i,0.00057132+0.00032131i,0.00018885+0.00055427i
