-8.3335e-05-0.00013441i,0.00067904-0.00052256i,-0.00026439-0.0001759i,-0.00056529-0.0010033i,-0.0010557-0.0014196i,-0.0018665-0.00024725i,-0.0016229+0.001466i,-8.4572e-05+0.0019664i,0.0010508+0.0011413i,0.0012066+0.0006748i,0.00077123+0.00049486i,-0.0002185+2.359e-05i,-1.5412e-05-4.509e-05i,0.00046032-0.00026065i,0.00018167-0.00084649i,-0.00021709-0.00086283i,-0.00068865-0.00020253i,-0.00066228+0.0007467i,-0.00044113+0.0012561i,9.2285e-05+0.00026467i,0.00010262-0.0009863i,-8.9039e-05-0.0004619i,-0.00019701-0.00034084i
0.0004277+0.0010162i,0.00062195+0.0014417i,0.0014838+0.001578i,0.0009208+0.0011484i,0.0003503-0.00038645i,0.00030762-0.0016912i,0.00074113-0.0011488i,0.0012071+3.585e-05i,0.0013885+0.00065846i,0.0011107+0.00065081i,0.00064176+0.0003706i,0.00048225-0.00011207i,0.00089394-0.00015533i,0.001339+0.0003064i,0.00071653+0.00044163i,0.00025357-0.0003283i,0.00017098-0.00078229i,-0.00020268+0.00023278i,-0.00031841+0.0010511i,-0.00074553+0.00058252i,-0.00079235-0.00032252i,0.00048842-0.00068029i,0.00093398-0.00039671i
0.0015781-0.0022647i,0.00060007-0.001741i,0.00041824-0.0013261i,0.00040855-0.0012904i,-0.00031452-0.0005718i,-0.00037923+0.00010024i,-0.00015101-5.8297e-05i,-0.00025512+0.00020161i,0.00017257+0.0001217i,0.00018208+3.2158e-05i,-0.00061917+0.00047992i,-0.0012064+0.00095723i,-0.00084148+0.0017534i,-0.00017953+0.001617i,-0.0004227+0.00064209i,-0.00017834-0.00014113i,0.00010502-0.00026649i,-0.00068481+9.9252e-05i,-0.0018755-0.00018217i,-0.0018885-0.00038286i,-0.0010903+0.00013243i,-0.00084974+8.3729e-05i,-0.00089604+0.00035909i
0.0029611+3.3087e-05i,0.0027791-0.0012379i,0.0030508-0.0015328i,0.0015505-0.0012336i,0.00051665-0.0016799i,-0.00018682-0.0013118i,-0.00087877-0.0012337i,-0.00076607-0.0009348i,-0.00061354-0.00035148i,-9.0398e-05-0.00060947i,-6.5789e-05-0.00059295i,0.00012282+0.00025745i,0.00031227+0.00097005i,0.00013041+0.00047818i,-2.1654e-05-0.00055014i,-0.00074792-0.0014763i,-0.00072337-0.0017523i,0.00026231-0.00070578i,0.00036983+0.00057349i,-0.00035007+0.00059379i,-0.0005955+0.00050116i,-0.00053989+0.00025582i,-0.0004759+0.0002309i
6.8901e-05+0.00053716i,0.00012528+0.00017358i,-8.0474e-05-0.0005274i,0.00074104-0.0010577i,0.001066-0.0011109i,0.00018738-0.0011836i,-0.00044133-0.0010761i,-0.0004917-0.00070638i,0.00051237+9.9617e-05i,0.0012683+0.00089421i,0.00069565+0.00097271i,0.0001577+0.00097426i,0.00056253+0.00049567i,0.00017414-5.8997e-05i,-3.9412e-05-0.00023509i,0.0005506-0.0008564i,0.00036658-0.00045894i,-0.00034252+0.00030542i,-0.00056334+0.0002824i,-0.00027376-7.3555e-05i,-0.0002956-0.00029126i,0.00021024-0.00020138i,0.0010187-7.9219e-05i
0.00045317+0.00071065i,-0.00054519+0.00064003i,3.7573e-05+0.00035366i,0.00012764-0.00014948i,-0.0001077-0.00049925i,-0.00016207+0.00016628i,0.00020342+0.0002751i,0.00049656+0.00023373i,0.00026742+0.00083702i,-9.2669e-05+0.00062889i,0.0001116+0.00018405i,0.00027576+0.00062997i,0.0002242+0.00041289i,6.6581e-05-7.6077e-05i,0.00016321-0.00016716i,0.00052644-0.00079806i,0.00014544-0.0019248i,-0.00052007-0.0016595i,-0.00061028-0.00069687i,-0.0010819-0.00061012i,-0.0011799-0.00099563i,-0.00053261-0.0012229i,-0.00059507-0.0010964i
-0.0014304-0.00038062i,-0.0022345-0.0010098i,-0.0020863-0.00044569i,-0.0014308+0.00051077i,-0.00055954+0.0006133i,1.9544e-05-6.066e-05i,0.00015182-0.00020116i,0.00062088+0.0004666i,0.00043669+0.00073133i,0.00025915+0.0013141i,0.00076603+0.0011341i,0.00064094+0.00035848i,0.0006247+0.0003885i,0.00086165+0.0003533i,0.0010584-1.0552e-05i,0.0012102-0.00094686i,0.00044314-0.0012293i,-0.00040085-0.00068329i,-5.4798e-05-0.00026895i,9.7959e-05+0.0007212i,-0.0002049+0.00085881i,-0.00063772-0.00019894i,-0.0008831-0.00076511i
-0.00029284+0.0013535i,1.5296e-06+0.0013659i,0.00034123+0.0010623i,1.2671e-05+0.0011544i,-0.00022929+0.00113i,0.00051326+0.0007683i,0.0015148+0.0002205i,0.0011221+0.00025812i,0.00022562+0.000441i,6.0556e-05+0.00032211i,0.00083964-0.00068537i,0.0015459-0.0010257i,0.0012325-0.00043416i,0.0012247-3.02e-05i,0.001318+0.00051637i,0.0012191+0.00077506i,0.00091759+9.1497e-05i,0.00013396-0.00038181i,-0.0007381-0.00023438i,-0.00091556-6.2636e-05i,-9.8621e-05-0.00071108i,0.00042502-0.0011226i,0.00049409-0.00067543i
0.00060944+0.00047239i,0.00025759+0.00048638i,0.0014371+0.0009338i,0.0016256+8.3839e-05i,0.001331-0.00029625i,0.00023293-0.00051023i,-0.0001165-0.00117i,0.0011339-0.0011608i,0.0012416+1.2597e-05i,0.00042556+0.00038788i,-0.00024718+0.00021195i,-0.00059363+0.00041454i,0.0003557+0.00021409i,0.0011406+3.4241e-05i,0.0015353-0.0003715i,0.001012-0.00042894i,4.0776e-06-0.00031135i,-0.00030385-0.0008134i,-0.00094406-0.0005826i,-0.0016178-0.00028187i,-0.00098569-0.00072049i,0.00025093-0.00092586i,3.9198e-05+6.5942e-05i
0.0017194-0.00070443i,0.00064811-0.00084022i,-4.3511e-05-0.00095315i,8.1623e-05-0.00087496i,0.00026336-0.00087874i,0.00068756-0.0002302i,0.00042306+0.00047923i,-0.00027655+0.00068084i,-0.00020105+0.0002327i,9.0938e-05+0.00047767i,0.00029077+0.0010611i,0.00013093+0.00040869i,-0.00050269-0.00033252i,-0.00052119-0.00076897i,-4.73e-05-0.00073726i,-0.00010033-5.3571e-05i,-4.1827e-05+2.7442e-05i,-0.00049083-0.00030273i,-0.00081966+0.00029671i,-0.0004738+0.00073176i,-0.00058429+0.00025522i,-0.00077513-0.00072906i,-0.00065742-0.00080033i
0.00070323-0.00046319i,0.0010402-0.00028254i,0.0018316-0.00087177i,0.0011718-0.0011057i,0.00016662-0.00078492i,0.00014314-0.0010619i,0.00048496-0.00056978i,0.00084395+0.00026011i,0.0010881+0.00061343i,0.0010178+0.0011222i,0.00046125+0.00091363i,-0.00027882+0.00042206i,-0.00071388+0.00032784i,-0.00064459-2.5582e-05i,-0.00018355-0.00052443i,0.000216+4.0768e-05i,-0.00017144+0.00044458i,-0.0012678-5.7298e-05i,-0.0016713+4.0519e-05i,-0.00090205+0.00074562i,-2.0602e-05+0.00074178i,0.00030879+0.00015564i,0.00062483-9.2413e-05i
-0.0004722-0.00083928i,0.00030186+0.0001604i,0.00048497+0.00089003i,-1.2155e-05+0.00061588i,0.00012992+0.0001972i,0.00017316-0.00043462i,-0.0001376-0.0005173i,0.00049961-0.00048868i,0.00096769-0.00034016i,0.0006077-4.0356e-05i,0.00057489+0.00026588i,0.00011696+0.00080487i,0.0010235+0.00034093i,0.0017201+0.00024009i,0.001007+0.00035108i,0.00094093-0.00041391i,0.00080499-0.0013777i,-6.1243e-05-0.00091252i,-0.00047989-8.8876e-05i,9.6518e-05+5.7427e-05i,-8.4313e-05+2.9731e-05i,-0.00015618-0.00016925i,0.00059447-0.00013612i
0.00033044-0.00080048i,0.00036193+2.2993e-05i,-0.00077456-0.00062654i,-0.001474-0.0012952i,-0.0010581-0.0012157i,-0.00040376-0.0009022i,-0.00034878-0.00066983i,-0.00051085-0.00036082i,-0.00032035+0.00034811i,3.2155e-05+0.00081275i,0.00044545+0.00072897i,0.00083497+0.00070041i,0.00058441+0.00074023i,0.0006234+0.00072608i,0.00061566+0.00021745i,0.00030303-0.0003416i,0.00029394-0.0005503i,8.0728e-05-0.0010033i,-0.00011178-0.0010072i,0.00027888-0.00082981i,0.0003428-0.00083497i,0.00022419-0.00054586i,-0.00016804-8.127e-06i
0.00068174+0.002073i,0.00053868+0.0011677i,0.0009349+0.0010397i,0.0022932-0.00056977i,0.0012719-0.0016456i,0.00034819-0.0010281i,0.00039529-4.4292e-05i,0.00049747+0.00025907i,0.00077416+0.00064133i,0.0011103+0.00072111i,0.00044766+3.618e-05i,-0.00014708-0.00038978i,0.00083862-0.00075487i,0.0011607-0.0012272i,0.00022728-0.0012405i,-7.6184e-05-0.00041105i,-0.0002845-0.00047308i,-0.00044976-0.0010976i,-0.00044181-0.0011682i,-0.0010928-0.00092405i,-0.0013136-0.00060696i,-0.0008077-0.00046446i,-0.00042503-0.0015237i
-0.00044862-0.00068873i,0.00023206-0.00036923i,2.1379e-05+0.00055261i,8.1632e-05+0.0003573i,0.00091283-0.00085493i,0.00058396-0.0014099i,0.00044559-0.00045559i,0.00047413+0.00066913i,0.00055765+0.0011326i,0.00065151+0.0010599i,0.0008581+0.00077214i,0.0003176+0.00094711i,-0.00035759+0.00088847i,-0.00062117+0.00045408i,-0.00065415+0.00026206i,-0.00027834-0.00015869i,-0.00026474-0.00047576i,-0.00092395-0.0010304i,-0.00054961-0.0015312i,-0.00051659-0.0011307i,-0.00046987-0.00085482i,0.00066949-0.00028991i,0.00085067+0.00051688i
0.0021343-0.00076042i,0.0018064-0.00055521i,0.002039-0.0012154i,0.00082054-0.0018114i,-0.0013688-0.0014412i,-0.0017794-0.0010518i,-0.00042464-0.00042338i,-0.00018978+3.0646e-05i,0.00012546-0.00052533i,0.00085991-0.00023685i,0.00018777+0.00052216i,-0.0014018-0.00027975i,-0.0016226+0.00026011i,-0.0010147+0.00098315i,-0.00021101+0.00026545i,0.00076891-0.00088009i,0.00092711-0.0014773i,0.0007429-0.001209i,0.0002324-0.00095148i,-3.4672e-06-0.00044237i,0.00015674-0.00012157i,0.00071684+1.5044e-05i,0.00085225-0.00036774i
5.3057e-05+0.0024566i,0.00013614+0.0027798i,0.0014388+0.0024886i,0.0020594+0.0018335i,0.0023129-0.00026435i,0.0011907-0.0021583i,5.0793e-05-0.0021216i,0.00040302-0.0012502i,0.00081895-0.00028673i,0.0014906+0.00058523i,0.0011239-3.3946e-06i,0.00037243-0.00039882i,0.00035054-0.00044485i,0.00047743-0.0009011i,0.00058536-0.00096823i,0.00086542-0.00064211i,0.00081586-6.3622e-05i,0.00026149+0.00051444i,-0.00027775+0.00069892i,-0.00030306+0.00036892i,-0.00022127+0.00036448i,-0.00015066-0.00011688i,0.00011028-0.00099674i
-0.00014514-0.0010332i,1.3225e-05-0.00052204i,0.0005947-0.00055159i,0.00028936-0.00014729i,-0.00057561-0.00013972i,-0.00067892-0.00029192i,-3.0063e-07-0.00012854i,-0.00012753-0.00094762i,-0.00011598-0.00094303i,0.0001314+0.00013888i,0.00038972-5.8459e-05i,0.0008198-0.00017483i,0.0010902+0.0002866i,0.0011833+0.00019164i,0.0012104+0.00015454i,0.00059045-0.00068691i,-0.00023548-0.0016152i,-0.0011168-0.0012911i,-0.0017142-0.00049221i,-0.0013558-0.00086764i,-0.0008968-0.001267i,-0.00015746-0.00088909i,0.00027677-0.00050915i
0.0022022-0.00073047i,0.0019295+0.0006158i,-8.0593e-05+0.00021553i,-0.00097505-0.00092979i,-0.00065554-0.0010059i,-0.000106-0.00095653i,-0.00014183+0.00019568i,-0.00031574+0.001658i,-0.00019819+0.0016323i,-0.00048314+0.0013472i,-0.00085127+0.00092001i,-0.0012794+0.00029903i,-0.00091523+0.0004262i,-0.00087764+0.0006658i,-0.00066785-0.00024057i,-0.00018725-0.00073533i,-0.0004506-0.00010289i,-0.00066931+0.00020435i,-0.00084217+0.00045102i,-0.0006738+0.00056529i,-0.00048207+0.0002763i,-0.00042107-0.00036987i,0.00055135-0.00035354i
-4.8031e-05+0.0017788i,0.00055852+0.0014796i,0.001186+0.0005196i,0.0020732-0.00037984i,0.0019-0.0013307i,0.001023-0.0012348i,0.0013103-0.0002574i,0.0016021+0.00030485i,0.0010527+0.00065436i,0.00057437+0.00026437i,0.00059914+2.6226e-05i,0.00053448+0.00039961i,0.00019338+0.00054462i,-0.00028233-0.00040342i,1.6506e-06-0.00049005i,0.000568+0.00021525i,0.00019312-0.00012344i,0.00036397-0.00043472i,0.00023359-0.00057422i,-0.00024306-0.00051207i,-0.00031988-0.00073265i,-0.00011398-0.0008561i,0.00038491-0.00065166i
0.0015254-0.0025174i,0.0011946-0.0030957i,0.0002447-0.0043103i,-0.0013128-0.0037592i,-0.0020355-0.0021515i,-0.00094138-0.0012387i,-0.00031776-0.00059095i,-0.00050632+0.00024332i,-1.2264e-05+0.00044986i,0.00054158-4.8924e-05i,0.00021678-5.0509e-05i,-1.6952e-05+0.00096076i,0.00041771+0.0016448i,0.00023015+0.0012381i,-4.5997e-06+0.00025672i,0.00063266-0.00051052i,0.0010507-0.00010334i,0.0003662-8.2406e-06i,-0.00028224-0.0004258i,0.00015267+7.1405e-05i,-0.00013685+0.00020924i,-0.0010262-6.1582e-05i,-0.0009677-0.00059794i
0.0030989-0.00027405i,0.0031408+2.3733e-05i,0.0028419-0.00087178i,0.0014873-0.0018844i,0.00025144-0.0018757i,-0.00061844-0.00064583i,-6.4683e-05+0.00014947i,-9.4346e-05+0.00067546i,-0.00025482+0.001021i,-0.00013377+0.00061752i,0.00013686-0.00024728i,0.00027966-0.00039422i,0.00031818+0.00061839i,0.00071397+0.0010699i,0.001194+0.00097776i,0.001298+0.00090117i,0.00038801-0.00010282i,-0.00033784-0.00029266i,-0.00076247+9.5426e-05i,-0.00096278-0.00042979i,-0.00029101-0.00058915i,0.00042124-0.00026151i,1.7671e-05+0.00016994i
0.00018828-0.0013247i,0.00014321-0.00054699i,-0.00058843-5.5016e-05i,-0.0012097+0.00014012i,-0.0014727+1.2653e-05i,-0.0014134+0.00032984i,-0.00061074+0.00033806i,0.00021791+0.00050647i,0.00071319+0.00055784i,0.00016626+0.0011448i,-4.9596e-05+0.0017431i,0.00029458+0.0012384i,0.00063508+0.00091477i,0.00077413+0.00052572i,0.0011257-7.9137e-05i,0.0011054-0.00069422i,0.00026929-0.0013058i,-0.00043647-0.00090069i,-0.00077397+0.00050002i,0.00027089+0.00065307i,0.00037845+0.00035358i,-8.1541e-05+0.00044153i,0.00048977+4.9833e-05i
0.001903-0.0017532i,0.0022625-0.0023711i,0.00059591-0.002677i,-0.0014299-0.0034066i,-0.0017455-0.0027418i,-0.001333-0.00087963i,-0.00049778-0.00054183i,6.1948e-05-0.00075529i,0.00030448-2.7806e-06i,-0.00071088+0.00066475i,-0.0017348+0.00051755i,-0.0012382+0.00013037i,-0.00048254+0.00068175i,-0.00011202+0.0011935i,0.00011119+0.00051704i,-0.00015861-0.0007153i,-0.00024125-0.00092298i,0.00022872-0.0014029i,0.00060313-0.00085164i,4.8356e-05+6.2691e-05i,0.00021208-0.00026131i,0.00020816-0.00017403i,0.00021749-0.00028622i
-0.00065481-0.0013932i,-0.00027364-0.0017162i,-0.00091527-0.0015337i,-0.0016094-0.00092767i,-0.0013465+5.4112e-05i,-0.001106+0.0005566i,-0.00080279-0.00034367i,-0.00014276-0.00085121i,0.00056452+1.5486e-05i,0.0012035+0.00047911i,0.0011772+0.0007136i,0.00046634+0.00066617i,-0.00013425+0.0004086i,0.00040288+0.00074837i,0.0010813+0.00093978i,0.00083124+0.00016802i,0.00010438-0.00090418i,-0.00040456-0.001288i,-0.00089377-0.0015113i,-0.0013615-0.00090194i,-0.0010054+0.00024224i,-0.00026025+0.00028074i,0.00051919-1.5451e-06i
0.00018915-0.00089556i,-2.0409e-05+0.0006237i,0.0006562+0.00027458i,0.0015408-0.00059615i,0.00095792-0.0012401i,0.00018665-0.0016851i,-0.00025305-0.0015499i,-0.00074842-0.0012812i,-0.00046923-0.00030148i,0.00050079+0.0007822i,0.0016708+0.00056925i,0.0017203+9.4868e-05i,0.00083416+0.00051887i,0.0005861+0.00015853i,-7.2517e-05-0.00016135i,-0.0010714-0.00056441i,-0.0015775-0.00056804i,-0.0012911-0.00019834i,-0.00053454+5.1611e-05i,-0.00060203-0.00039807i,-0.00062204-0.00092209i,-0.0005759-0.00081962i,-0.00021341-0.0010011i
-0.00060023-7.1467e-05i,0.0004398+4.1356e-05i,-0.00031963+0.00010111i,-0.0014192+0.00027608i,-0.00058808+0.00063898i,0.00024871-0.00012586i,0.00071887-0.0006757i,0.0013566-0.00022382i,0.00098709+0.00016118i,0.00057627+0.00044308i,0.00040879+0.00036403i,0.00025375+0.00062177i,0.00065907+0.00016543i,0.00091048-0.00038733i,7.9759e-05-0.00081301i,0.00029882-0.0015842i,0.00089558-0.001211i,-0.00022963-0.0009565i,-0.0014928-0.00091876i,-0.00092583-5.8217e-05i,-0.0004018+0.0009456i,-0.00012761+0.00081925i,0.00035094+2.5124e-05i
0.00010861+0.000202i,0.00027325+0.0012663i,-0.00094663+0.0019571i,-0.00067006+0.001041i,0.00058341+0.0006318i,0.0014089+0.00028374i,0.00067943-0.00013661i,-0.00011906-0.00021095i,0.00023669+0.0010702i,0.00063227+0.0014559i,0.0012021+0.00067366i,0.00082359+0.00082621i,5.0027e-05+0.00084562i,1.0575e-05-1.2792e-06i,7.5256e-06-0.00045543i,0.00032203-0.00059716i,0.00032401-0.00097497i,-6.3358e-05-0.001088i,-7.928e-05-0.00072602i,0.00028458-0.00046354i,0.00086397-0.00045307i,0.00095953+0.0002309i,0.00028774+0.00081414i
-0.00046798+0.0006106i,0.00028657+6.1275e-05i,0.00058686-0.00024539i,-0.00062539+0.00064007i,-0.0015883+0.00034051i,-0.00094138-0.0008495i,-0.00058255-0.00028208i,-0.00039823+0.00017307i,0.00040438-0.0005927i,0.00068829+7.9958e-05i,0.00049314+0.0005143i,0.00032367-0.00013648i,0.0013831-0.00038852i,0.002256+0.0003919i,0.0013256+0.00032475i,0.00058485-0.00087911i,0.00034154-0.0013833i,0.00038536-0.0014012i,0.00022744-0.00091097i,-0.00026343+0.00013202i,-0.00062967+0.00040934i,-0.00059794-0.00013385i,-0.0002154-0.00030253i
-0.0032152+0.0021413i,-0.0021479+0.0024312i,-0.00028315+0.0034531i,0.0011094+0.0035403i,0.0015038+0.0028086i,0.0015529+0.00082908i,0.0016118-0.00084157i,0.00067722-0.00076177i,0.00073805+0.00021287i,0.00095784+0.00070254i,0.00075121+0.0005255i,0.00080431-0.00011895i,0.0003957-0.001392i,0.00030166-0.0015439i,0.00012871-0.00054899i,0.00034547-0.00043454i,0.00025418-0.00057673i,-0.00012663-0.00067282i,8.4812e-05-0.00091729i,9.4381e-06-0.0005248i,0.00061657-0.00052864i,0.00099984-1.3226e-06i,0.00084234+0.00048936i
0.0012907+0.001561i,0.00082696+0.0012545i,0.00082898+0.00081391i,0.001185+0.00051212i,0.0016662-0.00041621i,0.00085153-0.0013227i,0.00010659-0.0003702i,8.1534e-05+0.00046783i,0.00049107+0.0012954i,0.00077944+0.0016201i,0.00064119+0.00052903i,5.6618e-05-1.9719e-05i,-0.00078782+0.0004037i,-0.00074279+0.00070806i,-0.00011417+0.00017095i,0.00011268-0.00017095i,2.3704e-05-0.00034642i,0.00011801-0.00099149i,0.00011632-0.00064903i,-0.00027628-0.00014784i,0.00017283-0.00041396i,0.00087649-0.0007254i,0.00047733-0.00014876i
0.00087223-0.001989i,0.0014501-0.0012404i,0.0010735-0.00050395i,-0.00028135-0.00097468i,-0.0017166-0.0016147i,-0.00066205-0.0012333i,0.00031971-0.0011672i,-0.00047095-0.0010306i,-0.00026691-0.00015168i,0.00045279+0.00014257i,0.00059765-0.00024807i,0.00041705+0.00068108i,0.00031187+0.0016551i,0.0002102+0.0010791i,-0.00016231-0.0004071i,5.3496e-05-0.0012589i,0.00042273-0.00049953i,-3.6486e-05-0.00043753i,-0.0007863-0.00049544i,-0.00078747+0.00031495i,-0.0005431+0.00017034i,-0.00030958-0.0001149i,-0.00030675+0.0003682i
-0.00095894-0.00070982i,-0.0008771-0.00084997i,-0.00090609-0.00058189i,0.00012686-6.1582e-05i,0.0016612+0.0002348i,0.0012074+0.00014232i,0.00018953-0.00085354i,0.00023843-0.00043423i,0.00086869+0.00088472i,0.00071431+0.0012194i,0.00037868+0.0011035i,0.00011495+0.0013894i,-0.00042719+0.0014463i,0.00068948+0.00064608i,0.0015733-0.00011867i,0.00096716-0.00084095i,-2.2902e-05-0.00078047i,-0.00058829-0.00079793i,-0.0006561-0.0010667i,-0.00056386-0.00070009i,-0.00010099-0.00037093i,5.9106e-05-0.0005294i,0.0003466-0.0010248i
-0.00022884-0.0010854i,-0.00029213-0.0004482i,-0.00050104-0.0003863i,-0.0005175-0.00063948i,-0.0011103-0.00086744i,-0.0020235-0.00052738i,-0.0012317+0.00022238i,-0.00010879+0.00021511i,0.00053177-0.0002115i,0.00034129-8.0054e-05i,0.00029679+0.00048081i,0.00046005+0.00080246i,-0.00022207+0.00023281i,8.9683e-05-7.6253e-05i,0.0010316+0.00015926i,0.00095709+4.9382e-05i,0.00067125-0.00010715i,0.00032485-0.0009379i,-5.559e-05-0.0021179i,0.00027557-0.0016803i,4.4902e-05-0.00081608i,8.9373e-05-0.00014512i,0.00078851+0.00028352i
0.00075935+0.0011268i,0.0014147+0.00024462i,0.0026493-0.00095191i,0.0023847-0.0013046i,0.0012593-0.0017019i,0.00071686-0.0016663i,0.00065372-0.00165i,0.00078903-0.00061681i,0.0015201+7.3609e-05i,0.0014353+0.00033934i,0.00081974+0.00068653i,0.00041624+0.00067133i,0.00030065+0.00068349i,0.00087795+4.2184e-05i,0.00116-0.00012899i,0.00064791-0.00048455i,0.00011528-0.00054207i,-0.0007712-0.00017017i,-0.00076057+0.0002036i,-0.00075406+0.00074498i,-0.00064727+0.0004844i,6.3386e-05-4.6429e-05i,0.00013332+0.00014305i
0.00072286-0.0010546i,0.0002133-0.001311i,-0.00082502-0.0013284i,-0.0010229-0.00033522i,-0.0011712-0.00040462i,-0.0011219-0.0003675i,0.00013065+0.00016661i,0.00090575+0.00049895i,0.00084224+0.00098277i,0.00073206+0.00026859i,0.00016328-0.00039513i,-0.00096338-0.00045275i,-0.00085026-0.00013166i,-0.00052648+0.0003191i,-0.00043979+6.0672e-05i,-0.00011586-0.00058337i,-0.00042783-0.00016978i,-0.00031117+0.0003426i,-0.00025372+7.2511e-05i,-0.00017362-0.00064637i,0.0001013-0.00064651i,-0.00019994+0.00018617i,-0.00046498+0.00016288i
0.000259-0.00035312i,0.001081+0.00045553i,0.00082997-0.00038463i,0.00016182-0.0016314i,-0.00019376-0.0024598i,-0.0001115-0.0020781i,0.00028765-0.0010699i,0.00083276-0.00023225i,0.0003954+0.00052148i,9.2276e-06+0.00070467i,-0.00017519+0.00088592i,-0.00028795+0.0013515i,0.00027767+0.0010371i,0.00068858+0.00048745i,0.00062351-0.00042821i,0.00082487-0.0010953i,0.00091581-0.001259i,-9.4425e-05-0.0014461i,-0.00065749-0.0013684i,-0.00015957-0.0010177i,0.00047275-0.000514i,0.00018089-0.0008866i,-0.00044247-0.0010157i
-0.00088453+0.0017413i,-9.8883e-05+0.0016686i,0.00042675+0.0014331i,0.00091258+0.0015084i,0.0012532+0.0012626i,0.00087454+0.00024649i,0.0010282-0.00077407i,0.0011349-0.00077057i,0.00042801+0.00021842i,0.00017902+0.00080078i,0.00071779+6.3734e-05i,0.00062865-0.00039162i,1.243e-05-0.00030353i,-0.00024451-0.00059882i,-0.00036551-0.0010967i,-0.00057256-0.0012419i,-0.0011901-0.00091807i,-0.0010207-0.00063193i,-0.00022093-0.0008414i,0.00010304-0.00079316i,0.00063714-0.00030108i,0.00027909-3.8855e-06i,-0.000175+0.00044799i
0.00011945-0.0021777i,-0.00087259-0.0014429i,-0.0007945-0.0011015i,-0.00031257-0.0011579i,0.000349-0.00031571i,0.00074887+0.0003369i,0.00030944+0.00028525i,3.3628e-05+0.0007217i,0.00060453+0.00095314i,0.00071171+0.00055214i,4.0614e-05+0.00073696i,-0.0001932+0.00075913i,0.00024468+5.4532e-05i,0.000765-0.0005625i,0.00094339-0.00041063i,0.00034257-0.00030161i,-0.00044858-0.00025884i,-0.0005608-0.00019916i,-0.00051301+0.0001346i,-0.00018863+0.00018138i,0.00033906-0.0004124i,0.00050706-0.00045955i,0.00020409-0.0011499i
-0.00029557+0.00043782i,-0.00041999+0.001053i,5.8782e-05+0.00045375i,-0.00011133-0.00081799i,4.5764e-05-0.0006789i,3.4811e-05-0.0002854i,-0.00035872-0.00077562i,-0.00037191-0.00078239i,0.00045719-0.00076009i,0.0012127-0.00025751i,0.0008425+0.00026737i,0.00074666+0.00024061i,0.0012055+0.00021763i,0.001327-0.00018445i,0.00068943-0.00077244i,0.00032829-0.00039818i,0.00043953-6.5523e-05i,-0.0001806-0.00025941i,-0.00069222-0.00035878i,-0.00038489-0.00055121i,0.00075392-0.0007661i,0.0012154-0.00025617i,0.00073277-1.0511e-05i
0.00012914-0.0017717i,-6.4565e-05-0.0014528i,-0.00025959-0.0010476i,0.00074957+0.00010422i,0.00030787+0.0011254i,-0.00020651+0.00064159i,0.00032847+0.00022454i,0.0010123+0.00049278i,0.00087485+0.0010876i,0.00034546+0.0015798i,9.1179e-05+0.0011279i,0.00028282-0.00014627i,0.00063432+0.00031874i,0.0014614+0.0011003i,0.0011293+0.00013947i,0.00021273+0.00011659i,0.00030172-0.00031787i,6.7198e-05-0.00046981i,-0.00050146+0.00075978i,-0.00036822+0.00036456i,-0.00014622-0.00069519i,0.00022501-0.00042986i,9.5684e-05+0.00021966i
0.00094944+0.0016322i,0.0013496+0.0024579i,0.0014135+0.0021287i,0.00077581+0.00021515i,0.00093433-0.0010775i,0.00081026-0.00092451i,-0.00024607-0.00084707i,-0.00066153-0.00053989i,0.00024983-7.137e-05i,0.00087013-0.00021951i,0.001023-0.0003326i,0.00092561+6.6826e-05i,0.00086421-0.00014828i,0.0004296-0.0002861i,-0.00021967-0.00055772i,3.0349e-06-0.00046805i,0.00010008+3.1267e-05i,-0.00048598-0.00027325i,-0.00045269-0.00026615i,-0.00050817+0.00023449i,-0.00057851+0.00027799i,-0.00028919+0.0002977i,-0.00036736+3.6101e-05i
-0.00014728+0.00083963i,-0.00056003+0.0002662i,-0.00043128+8.1666e-05i,0.00017907-0.00062453i,0.00089277-0.0013658i,0.00057288-0.0016974i,-7.3704e-05-0.0013425i,0.00015381-0.00033562i,2.0041e-05+0.00074723i,6.3427e-05+0.0010592i,0.00044284+0.00035486i,0.00058007-0.00034676i,0.0012217+0.00030885i,0.0012513+0.00065932i,0.0002359+0.00017321i,-0.00081309-0.00059752i,-0.00093259-0.00084868i,-0.0004452-0.00075599i,-0.00039929-0.00053192i,-7.5338e-05-0.00010953i,0.00043925-0.00017757i,0.00012832-4.4591e-05i,-0.00036773+0.00032858i
0.00084886-0.0010629i,0.0010246-0.0016177i,0.001709-0.0015843i,0.0013442-0.0005492i,-0.00019307+0.00036408i,-0.00090243+0.00030521i,-4.301e-05-0.00025263i,0.00068583-0.00026864i,0.00083022-0.00012562i,0.0010919-0.00055654i,0.00065004-0.00012371i,0.00020599+0.0011008i,0.00092516+0.0017532i,0.00067756+0.0012817i,-0.00025051+0.00079854i,-9.9456e-05+0.00068725i,0.00020138-2.0519e-05i,2.847e-05-0.00015492i,-0.0002336-7.8399e-05i,-0.00026522-0.00022123i,-0.00033608-0.00079708i,-0.00018202-0.0013356i,0.00023258-0.00060077i
