-0.00025386-0.00087067i,-0.00018512-0.0013675i,-0.0012762-0.0014834i,-0.002546-0.00029588i,-0.0027443+0.00089129i,-0.0023219+0.001657i,-0.00095006+0.0025103i,0.00065054+0.0021391i,0.00058475+0.00065237i,0.00027933-0.00012154i,0.00013098-0.00054765i,4.3974e-05-0.0014435i,7.7883e-05-0.0015876i,0.00048155-0.00073553i,0.00092537-4.652e-06i,0.00041997+0.00012271i,-0.00014682+0.00033129i,-7.2471e-05+0.00034684i,-5.0266e-06-0.00010166i,-0.00058937-0.00080846i,-0.00075495-0.00080593i,-4.9613e-05-0.00026121i,-0.0002881+0.00069511i
0.00088175+0.00069895i,0.00045704+0.00060989i,-0.00012992-0.00056726i,-0.00052493-0.00091652i,-0.00075394-0.00045854i,-0.001328+5.9538e-06i,-0.0015406+0.0005385i,-0.0011168+0.0010499i,-0.00089677+0.00057405i,-0.00071611-0.00026908i,-0.00039593-0.00057738i,-0.00047952-0.00026351i,-0.00050872-6.0951e-05i,-0.00033735+0.00012103i,0.00043478+0.00012722i,0.00044337+0.00029884i,0.00045685-0.00012644i,0.001086-0.0011136i,0.001277-0.00065798i,0.00098005+6.6634e-05i,0.00054198-0.00013734i,-0.0003981-0.00027515i,-0.0010812-0.00068569i
-0.00098111+0.0004488i,-0.00037881+0.00090281i,0.00016872+0.00094104i,0.00043448-4.9503e-05i,-0.00055328-0.00036994i,-0.0022766-9.4631e-05i,-0.0020893+0.00022886i,-0.0015586+1.5418e-05i,-0.00082351-0.00036737i,0.00028558-0.00047651i,0.00054391-0.00033387i,-0.0002167-0.00035132i,-0.0010693-0.00044705i,-0.00061478-6.0191e-05i,0.00015603+4.9025e-05i,0.00038785+0.00049884i,0.00025925+0.00025202i,-2.3077e-05+0.00036985i,-0.0002737+0.00054859i,-0.00018207-2.9821e-05i,1.4393e-05-3.3976e-06i,-0.00021045+0.00030713i,-0.0007608+0.00021469i
0.00054052-0.00069231i,0.00066348-0.00064373i,4.9981e-05-0.00090453i,-6.5893e-05-0.00026079i,-0.00028059-0.00043033i,-0.00071247-0.00017529i,-0.00028484+0.00049198i,0.00024554-6.2359e-05i,0.00071544-0.00046532i,0.00059349-0.00014715i,0.00020306+0.00016795i,-0.00036042-0.00018286i,-0.0012275-0.00084792i,-0.00074467-0.00027976i,0.00020112+1.7199e-05i,0.00033876-0.00057284i,0.00096186-0.00075505i,0.00064136-1.108e-05i,-7.7281e-05+0.00032917i,0.00028669-0.00021232i,0.00085642-0.00062614i,0.00081993-0.00058541i,0.00015005-0.00013784i
-0.001964-0.00092667i,-0.0023205+0.00027696i,-0.0019735+0.0011297i,-0.0019692+0.00067603i,-0.0018376-0.00018538i,-0.0011478+0.00019327i,-0.0011409+0.00091199i,-0.00094916+0.00087706i,-2.5451e-05-9.668e-06i,0.00016827-0.00016256i,0.00022664-0.00022198i,0.00070055-0.00048128i,0.00081505-0.00032151i,-0.00018395-0.00023226i,-0.0010064-0.00028269i,-0.00069565-0.00058187i,-0.00057115-0.00065124i,-0.00088267-0.00016776i,-0.00032754-6.4756e-05i,-4.4879e-08-0.0001026i,-0.00014089+0.00030058i,9.3601e-05+0.00098314i,6.8489e-05+0.00064138i
0.0015747-0.00049992i,0.0020594-0.00057073i,0.0023118-0.00051284i,0.0014462-0.00072671i,-1.6369e-05+6.4817e-06i,-0.00071205+0.001418i,-0.00038429+0.0014971i,0.00052354+0.00099585i,0.00064478+0.00087797i,1.4941e-05-0.00027647i,-0.00068136-0.0012068i,-0.00036356-0.001186i,-2.6209e-05-0.00084096i,-0.00011086-0.000618i,0.00040673+1.1313e-05i,-5.0307e-05-0.00019916i,-0.00019257-0.0004386i,0.00024627+0.00048922i,0.00026117+0.00062998i,0.00064504-0.00027958i,3.2233e-06-0.00054921i,-0.00049575+0.00043612i,-2.9314e-05+0.00061378i
0.00041363-0.00079699i,0.00015826-0.0012327i,-0.00064112-0.00078723i,-0.0014821+0.00022456i,-0.0019242+0.00010943i,-0.0019371+0.00071865i,-0.00076041+0.0014803i,0.0010186+0.00094444i,0.0016142+0.00045795i,0.00074808+0.00020041i,0.00010721+0.0004496i,0.00070026+0.0008902i,0.0010574+0.00031317i,-5.8707e-05-0.00018634i,-0.00057012+0.00085572i,-0.00047021+0.001219i,-0.00012397+0.00025963i,0.0010416-7.527e-05i,0.00073369+0.00015263i,-0.00016057-0.00013789i,-0.00024191-0.00059569i,0.00028785-0.00058418i,0.0010736-0.00043077i
-0.0011502+9.5127e-06i,-0.0011864+0.00012641i,-0.00048215-0.00016615i,9.67e-06-0.0010609i,-0.00046546+0.00027688i,-0.0010951+0.0014043i,-0.00074674+0.00060201i,-0.00077803+0.00095527i,-0.00010037+0.0015119i,0.00061972+0.0010997i,5.1964e-05+9.2687e-05i,0.00036401-0.00011081i,0.00028114-0.00040242i,-0.0005532-0.00093841i,-0.00055561-0.0011983i,-0.00028908-0.0010099i,0.00020545+5.0465e-05i,0.00081302+0.00060409i,0.00060375+0.00049929i,0.00053417-3.9486e-05i,0.00037196-0.00061726i,-0.00036715+8.3667e-05i,-0.0003205+0.00077142i
0.00072269-0.0011644i,0.00084809-0.00079118i,0.00068918-0.00061887i,0.00079282-0.0006418i,6.532e-05-0.0010021i,-0.00077239+9.0267e-06i,-0.00083905+0.0015318i,-0.00073454+0.001944i,-0.00067444+0.0013175i,-0.00020607+0.00034161i,0.00061591+9.1496e-05i,0.00073807-0.00025348i,0.00063887+0.00010061i,0.00039738+0.00085926i,-3.4929e-05+0.00052399i,-0.00016174+0.00027658i,-0.00036351+6.4209e-05i,-1.832e-05-0.00018106i,-0.00016302+0.00015703i,-0.00037326-3.2803e-05i,-0.00026097+5.7457e-05i,-0.00011106+0.0001005i,-4.9085e-05-0.00038858i
-0.0012926+0.00093405i,-0.0010502+0.00072359i,-0.00085691+0.00097148i,-0.0008921+0.0017556i,-0.0013009+0.0022879i,-0.0014612+0.0016669i,-0.0010975+0.00061752i,-0.00061455+0.00055711i,-0.00014721+0.00066142i,0.00024065+0.0002539i,0.00039979-6.2342e-06i,0.00031988-0.00011072i,0.00028481-0.00032842i,0.00077667-0.00057224i,-4.198e-06-0.00061271i,-0.0001609-0.00027328i,-0.00021047+0.00072555i,-6.6595e-05+0.00091556i,0.00034675+5.6245e-05i,7.9346e-05+0.0001418i,0.00013669-0.00021263i,0.0003883-0.00053332i,0.0005827+5.6732e-05i
0.0010823+0.00016433i,0.00079704+0.00035719i,0.00047411+0.00078135i,0.00017639+0.00087105i,-0.00072687+0.00063042i,-0.0015597+0.00093118i,-0.0017675+0.0018093i,-0.0011445+0.0019729i,-0.00030984+0.00082361i,0.00022296-0.00087751i,-0.00049405-0.0013172i,-0.0005876-0.00048425i,0.00059541+0.00023052i,2.6734e-05+0.00019705i,-0.00093288+0.00020298i,-0.00062262+0.00037687i,-0.00020964+0.0004478i,-0.00013027+0.00079382i,-0.00011388+0.00094489i,-2.4547e-05+0.00026949i,-2.1094e-05-0.00044436i,-0.00014652-0.00022889i,-0.00033568+0.00029591i
-0.00070611+0.00073303i,-0.00049267-0.00018009i,-0.00038577-0.001165i,0.00022657-0.0015886i,5.2695e-05-0.00017i,-0.00040655+0.00029641i,-0.00013895+0.00097623i,-0.00024124+0.00094466i,-0.00041487-0.00011351i,0.00035001-0.00040979i,0.00062661-0.00048716i,0.00020064-0.00061583i,-0.00012765-0.00080879i,-0.00057526-0.0011976i,-0.00039522-0.0012669i,-0.00026251-0.0005269i,-0.00029007-9.5841e-05i,-0.00042126+0.00035491i,-0.00050952+0.00060724i,0.00019797+0.00029374i,-3.632e-05-3.2052e-05i,-0.00051563+4.9583e-05i,-0.00040859+5.0848e-08i
0.0010435-0.0024023i,0.0016218-0.0019995i,0.00029541-0.0012244i,-0.0015524-0.00057946i,-0.0024625+0.00028535i,-0.0027357+0.00040505i,-0.0019947+0.000257i,-0.00093675+0.0001495i,-0.00014031+0.00012498i,0.00039787+0.00027943i,0.00033693-5.4795e-05i,0.00052982-0.00063928i,0.00070124-0.00098646i,0.00054457-0.00025901i,0.00047385+0.00024669i,-0.00043438-0.00037752i,-0.00095106+5.6265e-06i,-0.0009208+0.00027964i,-0.0003364-0.0007459i,-3.4669e-05-0.00051849i,-0.00012701+0.00090892i,0.00017277+0.000851i,0.00017581+7.3921e-05i
0.00046615-0.0010843i,0.00043681-0.0015117i,0.00029814-0.0011833i,0.00032012-0.00078915i,-0.00021697-0.00023067i,-0.0010516+0.0010811i,-0.00075802+0.0017447i,0.00077966+0.0015142i,0.00088045+0.0012253i,-0.00013369+0.00044419i,-0.00012985-0.00019667i,0.00032+0.00014648i,-1.5902e-05+0.00095925i,-0.00089676+0.0010884i,-0.00088282+0.00069007i,-0.00077966+0.00085376i,-0.00085531+0.00023012i,-0.0010873-3.1952e-05i,-0.0012141+0.00073882i,-0.0011262+0.0004916i,-0.0011135-0.0002214i,-0.00076349+0.00027752i,-0.000483+0.001033i
-0.0010661+0.001587i,0.00022486+0.0013972i,0.0016571+0.0022175i,0.0014928+0.0015296i,0.00020023+0.00057963i,-0.0012529+0.0004607i,-0.0016064+0.0011222i,-0.0011742+0.00088133i,-0.0012303+0.00048171i,-6.9546e-05+0.0002761i,0.0013967-0.0002572i,0.0012975+1.443e-05i,0.00075005+0.00064866i,0.00044038+0.00063319i,0.00036936+4.7154e-05i,0.00033047-0.00045362i,0.00062452-0.00019076i,8.8929e-05-5.9348e-05i,-0.00072748-8.2651e-05i,-0.00023913+0.00070357i,9.3835e-05+0.001106i,-0.00046375-6.7491e-06i,-0.0013549-0.00080133i
0.0010659-0.0015925i,0.00031944-0.0020319i,0.00063622-0.0030747i,0.00019671-0.0018084i,-0.0011869-0.00015517i,-0.0010267+0.0006928i,-0.00066065+0.0011677i,-0.00034914+0.00065476i,0.00035229-0.00098578i,0.00056577-0.0010518i,0.0011369+0.00035528i,0.0018775+0.0001207i,0.0008222+0.0001711i,-9.7311e-05+0.00069599i,0.00057214+0.00015337i,0.00072396-0.00056964i,0.0003261-0.00084558i,-1.2907e-05+8.693e-06i,0.00089582+0.00041353i,0.00079289-0.00014722i,-9.4832e-05-0.00090708i,0.00064481-0.00094333i,0.00081909+9.6023e-05i
0.00053884-0.0003297i,0.00037729+0.00082284i,-0.0005206+0.001603i,-0.0008592+0.0019814i,-0.00074876+0.00086038i,-0.0010306+0.00070726i,-0.0012349+0.0013856i,-0.0010197+0.0008395i,-0.0001937+0.00020051i,9.3866e-05+0.00021137i,-0.00051177+0.00026669i,-0.00056508+0.00011546i,-0.00012963-0.00020561i,-0.00062977-0.00016298i,-0.00092548+6.2402e-05i,-0.00024812-4.8941e-05i,-0.00045667+1.3636e-05i,-0.00092377+0.00017588i,-5.2621e-05+0.00019949i,3.6628e-05+5.7528e-05i,-0.00044978-0.0004923i,-0.00066907-0.00087768i,-0.00098614-0.00056768i
-0.00056918+0.00061749i,-0.00032094+0.0012269i,0.00021777+0.0012481i,0.00056369+0.00055211i,0.00038157+0.00052986i,-3.1213e-05+0.00042616i,-0.00084768-0.0001046i,-0.0016579+2.7863e-05i,-0.0012169+0.0007341i,-0.00042062+0.00046286i,-0.00028788-0.00065165i,-8.5718e-05-0.0013213i,-1.3896e-05-0.0011358i,0.00035366-0.00086777i,0.00086529-0.00067391i,0.00085756-0.00032923i,0.0010441-6.2341e-05i,0.00046538+0.00030579i,-0.00038902+0.00051047i,0.00018166+0.00054601i,0.00034877+0.00062968i,-0.00016706+8.1018e-05i,-2.3116e-05+0.0004885i
-2.2129e-05-0.00093363i,0.00052211-0.00034162i,-3.067e-05-0.00042435i,-0.00032871-0.00012462i,-0.0003762+0.00015949i,-0.00056635+0.00053883i,-0.000557+0.00082925i,-0.00040899+0.0004944i,-7.714e-05+0.0004164i,0.00056342+0.00066903i,0.00094818+0.00039739i,0.00072022-0.00023216i,8.2642e-05+0.00012343i,-0.00050992+0.00015144i,-9.7185e-05-0.00016696i,0.00062828+7.6068e-05i,0.00024941-0.00010231i,-0.00081382-0.00096534i,-0.00042607-0.00092728i,0.00023094-0.00028934i,6.0347e-05+0.00043495i,-0.00050037+0.000785i,-0.00053425+0.00038605i
-0.0017472-0.00047474i,-0.00148-0.00039354i,-0.0015685+7.0763e-05i,-0.0016977+0.00014861i,-0.0017895+0.00070335i,-0.00089238+0.0010387i,-0.00048691+0.0004036i,-0.00032379-2.9095e-05i,0.00061819-0.00013322i,0.0010019-0.00042579i,0.00044713-0.00074046i,0.00055756-0.00074703i,0.00025018-0.00081708i,5.7665e-05-0.00056348i,0.00088666+5.6414e-05i,0.0010217+0.00018287i,0.00033156+7.5934e-06i,-0.00022878-0.00026572i,-0.00038114-0.00078625i,-0.00040386-0.00060167i,-0.00031829+0.0001419i,-0.00030884+0.00029514i,0.00014881+0.00054003i
0.00088234-0.00066249i,0.00067884-0.0013621i,9.6741e-05-0.0015417i,-0.00061112-0.00031325i,-0.0016328+0.00024717i,-0.0015004+0.00039679i,-0.0011968+0.0010733i,-0.0010257+0.00071895i,-0.00039345+9.2163e-05i,-0.00056177+0.00024233i,-0.00072195+0.00041606i,-5.8598e-05-0.00038743i,1.7388e-05-0.00020961i,-6.2141e-06+0.00054503i,0.0001308-0.00014907i,0.00010661-0.00047343i,0.00021688-0.00013275i,1.3078e-05+0.00014909i,0.00049859+9.26e-05i,0.00035093-0.00061049i,-0.00019831-0.0006018i,-0.00045994-0.00033435i,-0.0005781-0.00028109i
0.00098856-0.00014349i,0.0014978+0.00035645i,0.0018526+0.00040469i,0.0011744-0.00055285i,-0.000322-0.001085i,-0.00088129+4.8557e-05i,-0.00089211+0.0012249i,-0.00092364+0.0012555i,4.405e-05+0.00041386i,0.00010501-0.00058651i,-0.00040224-0.00030582i,-0.0001654+1.9807e-05i,-0.00043636-0.00040484i,-0.0007227-0.00037183i,-0.00047311-8.2987e-05i,-0.00027366-0.00031919i,-0.00051951-0.00048838i,-0.00083937-0.00058179i,-0.00054275-0.00038516i,0.00013621-0.00011301i,0.00060912+0.00012008i,0.00015843+0.00022791i,-8.578e-05-8.5474e-06i
0.0017258-0.0012103i,0.0014866-0.0021234i,0.0022369-0.0023797i,0.0012836-0.0022942i,-5.4258e-05-0.0011192i,-0.0016494+0.00082157i,-0.0028814+0.0022978i,-0.0015039+0.0020859i,0.00074182+0.00073502i,0.00077637+0.00030623i,-0.00019867-0.00027405i,0.00021223-0.00058425i,1.3125e-05-0.00021612i,-0.00097448+0.00054337i,-0.00095502+0.00092186i,0.00046659+0.00041616i,0.0011185-0.00023219i,0.00069192-0.00027622i,0.000449+0.00028582i,-0.00024505-0.00021633i,-0.00073627-0.0004185i,-0.00018643+0.0002997i,0.00039168+0.00043206i
-0.00040676+0.00054667i,-0.0012413+0.0016484i,-0.0016065+0.0020007i,-0.001069+0.0016077i,-4.738e-05+0.0013768i,-0.00015302+0.0016176i,-0.001146+0.0014866i,-0.0011214+0.00055682i,-0.00079194-5.3362e-06i,-0.00026666-5.6461e-05i,0.00045358-0.00014088i,0.00094404-0.00015001i,0.00016748-6.4276e-05i,-0.00065487+0.00028874i,-0.00059086+0.00060874i,-0.00030075+0.00059318i,-0.00064416-0.00016851i,-0.0010081-0.00045149i,-0.00023602+5.293e-05i,0.00010888+0.00049339i,-0.00013808+0.0003218i,-0.00064217-0.0003544i,-0.0012053-0.0010222i
-0.0020621+0.00030261i,-0.0011227+0.00045701i,-0.0002288+0.00023175i,0.00034886-0.00031988i,-0.00010155-0.00065577i,-0.0011895-0.00056772i,-0.000946+0.0003252i,-0.00064964+0.00096842i,-0.00067045+0.00067005i,7.752e-05-0.0001976i,0.00055002-0.00053574i,0.00047834-0.0002449i,0.00043383-0.000169i,0.00019323-0.00032925i,0.00020211-0.00072185i,0.00062074-0.00094827i,0.00021526-0.00028718i,8.0635e-05+7.3456e-05i,0.00051996+0.00024437i,0.00047444-0.0002008i,3.9297e-06-0.00071925i,0.00022829-0.00075938i,-3.2963e-05-0.00070504i
-0.00016784-0.0011282i,-0.0001097-0.0011499i,-0.00022153-0.0012085i,-0.00088834-0.00013099i,-0.0019706+0.00016183i,-0.0024676+0.00044233i,-0.00098542+0.00075003i,0.00013282+0.00073693i,-0.00032384+0.00072139i,-0.00081341+0.00046358i,0.00024903+0.00037557i,0.0012849+0.00056115i,0.00085464+0.000273i,0.00029164+0.00014093i,-0.00017104+0.00036978i,-0.00017652+0.00014771i,0.00066949-0.00029566i,0.00053084+0.00017845i,-0.00010952-8.6409e-05i,-4.5585e-05-0.00010111i,-0.0010822+0.00055304i,-0.0017518+0.00084625i,-0.0010707+0.00043232i
8.1653e-05-9.6969e-05i,-0.0011563+0.00031423i,-0.0020773+0.00014114i,-0.0017027+0.00081925i,-0.00075099+0.0013145i,0.00011307+0.0012323i,-0.00023957+0.0010952i,-0.00068449+0.00066101i,-0.00082154+0.00044601i,-0.00048491-9.7845e-05i,0.00041786-4.4333e-05i,0.00094453-0.00013941i,0.0010483-0.00086481i,0.0010959-0.00059184i,0.00054794-0.00054414i,0.00014557+0.00015923i,-0.00021658+0.00010984i,-7.1455e-05-0.0003545i,9.6547e-05+0.00024834i,-0.00034716+7.1423e-05i,-0.00059583-0.00044002i,1.6845e-05-0.0002902i,8.2027e-05+1.1017e-05i
-5.463e-05+0.00010928i,0.00014024+0.00032871i,0.00018005+0.00091349i,-0.00026472+1.1188e-05i,-0.0013398-0.00092446i,-0.0019787-0.00028987i,-0.0015053+0.00032163i,-0.0015137+0.0008032i,-0.0011635+0.0011505i,-0.00032888+0.00046946i,-0.00045396-0.00047504i,-0.00043611-0.0013063i,0.00018426-0.0010421i,1.7884e-05+1.8678e-05i,0.0001767+0.00047694i,0.00055496+0.00038739i,-0.00021029+0.00018134i,-0.00039238-0.00040052i,0.00049537+0.00014342i,0.00030556+0.00056545i,-0.00021226+0.00016847i,4.1228e-05-0.00028686i,0.00033103-0.00023957i
0.00072555+0.0011409i,0.00086269+0.0019836i,0.00024963+0.0011289i,-0.00058137-0.00057378i,-0.0013477-0.00091719i,-0.0025256+9.5033e-05i,-0.0024482+0.00099282i,-0.0010977+0.0004911i,-0.00023374-0.00033548i,0.00025468-0.0002076i,0.00039316-0.00020514i,-0.00024626-0.00017338i,-0.00057307-0.00034356i,-0.00043523-0.00013303i,-0.0010364+0.00051987i,-0.0013629+0.00037075i,-0.00045736-0.00033105i,-0.00025608-9.9014e-05i,-0.00048814+0.0001748i,-0.00026005-7.0336e-05i,-0.00050919-0.00017519i,-0.00027153-0.00030104i,0.0004887-0.00051164i
-0.0016202+0.0027445i,-0.0007237+0.0025959i,0.00023799+0.0019331i,5.3512e-06+0.00096086i,-0.00025552-0.00014741i,-0.00032799+0.00048942i,-0.00033284+0.0015038i,-9.3099e-05+0.0013844i,-0.00046035+0.00071207i,-0.0004997+0.00011513i,0.00022773-0.00018354i,0.0011904-0.00020064i,0.000949-6.4352e-05i,-0.00050994+0.00049681i,-0.001212+0.00088808i,-0.0011017+0.00075219i,-0.000683+0.00037905i,0.00023419+0.00013377i,0.0010575+0.0002754i,0.0012401+0.00011439i,4.0899e-05+6.1457e-05i,-0.00085384+0.00042384i,-0.00042939+0.00057736i
-0.0009985+0.00060779i,-0.00099039+0.0014166i,-0.00041083+0.0014208i,-0.00011961+0.0012251i,-0.0010557+0.0011939i,-0.0017043+0.00068195i,-0.0013682+0.00040655i,-0.00032945+0.00055423i,7.5536e-05+0.00012379i,-0.00032523-0.00032112i,-0.00038105-0.00072678i,0.00065551-0.0011883i,0.0012328-0.00085902i,0.00028337-0.00029695i,-0.00029261-0.00022147i,-5.3268e-05-0.00039388i,3.5772e-05-4.5494e-05i,-8.4629e-06+0.00020275i,0.00018178+0.00049848i,0.00052462+0.00086386i,0.00029664+0.00055821i,-0.00021919+6.4985e-05i,1.9807e-05+0.00013096i
0.00031211-0.00024868i,0.00055663-0.0016168i,-0.0004867-0.0017897i,-0.00082087-0.00074351i,-0.00055537-0.00024044i,-0.00075703-1.6776e-05i,-0.00082255+0.00025667i,-0.00072392+0.00030119i,-0.00011887+0.00053319i,0.00055145+0.00013763i,-0.00011083+0.00019942i,-0.00057407+0.00018369i,3.4669e-05-0.00031323i,0.00033252-0.00065769i,2.4458e-05-0.00021183i,2.5744e-05+0.00017005i,0.00014154-0.00049582i,-0.00045973-0.00088193i,-0.0003748-0.00075157i,0.0011327-0.00070003i,0.0011885-0.00027047i,-0.00041352-0.00011198i,-0.00080106-0.00015274i
