-0.0023738+0.0010363i,-0.0017312+0.0013989i,-0.0025903+0.0020639i,-0.0018417+0.0022221i,-0.0008161+0.0023444i,-0.00073051+0.0016255i,-0.00046686+0.00099177i,0.00055269+0.00039808i,0.000775-0.00097772i,0.00078928-0.0014503i,0.0013875-0.00059156i,0.0011489+0.00018091i,0.00031339+0.00029063i,0.00062786+0.00072739i,0.00092215+0.0011874i,0.00016869+0.00027327i,0.00013361-9.7456e-05i,-2.1063e-05-0.00014692i,-7.9518e-06+0.00011643i,0.00020402+0.00037i,0.00014119-4.2672e-05i,-5.8868e-05-0.00061974i,0.00014518-0.00051715i
-0.00041926+0.00056127i,-0.00091799+0.00093457i,-0.00089811+0.00087121i,-0.00079565+0.00054982i,0.00019675+0.00050779i,7.9671e-05+0.00047978i,-0.00064384-3.3319e-07i,-0.00067181-0.00059426i,-0.001202-0.0010457i,-0.00063569-0.00065671i,-0.00013841-0.00039167i,3.0568e-05-0.00044175i,0.00027936-0.0005555i,0.00028394-0.00085114i,3.5972e-05-0.00084383i,-0.00034404-5.771e-05i,-0.00074769-2.2424e-05i,-0.00090038-0.0003687i,-0.00035399-0.00014871i,0.00018175-5.767e-05i,-0.00014181-0.00010543i,-7.0263e-05+7.6012e-05i,0.00030836+0.00027859i
0.0022508+0.00032385i,0.0017354+0.0012611i,0.0023588+0.0001477i,0.0020921-0.0015301i,0.001535-0.001598i,0.0014357-0.0011932i,0.00067116-0.00027048i,-0.00031677-0.00021096i,-0.00019821-0.0011845i,-0.00082586-0.0017642i,-0.0015626-0.001798i,-0.0013393-0.0011819i,-0.00099695-6.0102e-05i,-0.00084196+0.00064811i,-0.00075106+0.00060856i,-0.00028972+5.4422e-05i,0.00012827-0.00056103i,0.0008597-0.00047496i,0.00094707+0.00024139i,-2.2173e-05+0.0004164i,-0.0005759+0.00024645i,-0.00092717+5.8795e-05i,-0.0011714-0.00047673i
0.00064077-0.00067095i,0.00019062-0.00023889i,-0.0013677+0.0006809i,-0.0013111+0.00082211i,-7.3526e-05+0.0010217i,0.00065512+0.00054298i,0.0010822+0.00017087i,0.00027988+0.0007468i,-0.00022546+0.00054069i,-0.00055115-0.00013215i,-9.2962e-05-0.00055016i,0.00044095-0.00056311i,-0.0003501+0.00028008i,-0.00027915+0.0005111i,-0.00013856-0.00022861i,-0.00073188-0.00083299i,-0.0010061-0.0011608i,-3.0133e-05-0.00095361i,0.0010543+0.00047303i,0.00032846+0.0008042i,-0.00068453-0.00032105i,-0.00045328-0.00071236i,0.00019003-0.0002967i
0.0026835-0.0017169i,0.0018462-0.0025324i,0.0021224-0.0035313i,0.0016187-0.0020856i,0.00023882-0.00077147i,8.0387e-05-0.0002416i,3.3309e-05-0.00016761i,-0.00074576-0.00080676i,-0.0011229-0.0010536i,-0.00078862-0.0010753i,-0.00037121-0.00094115i,-0.00046356-0.0006365i,-0.00097539-0.00053899i,-0.00065745-0.00041253i,-0.00025585+0.00049501i,3.0099e-05+0.00092795i,0.00030974+0.00024535i,0.00080923-0.00028058i,0.0012658-0.00056388i,0.00038724+0.00013201i,-0.00060988+0.00023933i,-0.00025756-0.00024567i,0.00049391+0.00012737i
0.0023626-0.00022046i,0.0030506-0.0010812i,0.0027114-0.00087155i,0.0013311-0.00053541i,-0.00045382-0.00086689i,-0.00071772-0.00064324i,-0.00044771+0.00022363i,-0.00095403+0.00013244i,-0.00089825-0.00073426i,-0.00058202-0.00045679i,-0.00023456-0.00022965i,-0.00043158-0.00033303i,-0.00064463-0.0002921i,0.00042058-0.00093562i,0.00088563-0.00036644i,0.00072255+0.00018425i,0.0011266-0.000215i,0.00063661-0.00030103i,-0.00032517+0.00029775i,-0.00034999+8.2661e-07i,7.9429e-05-0.001086i,0.0002253-0.00093251i,-0.00027814-0.00080192i
-0.0013604+4.6773e-06i,-0.00051676+0.00078731i,-0.0013506+0.00011241i,-0.0016189+0.00039375i,-0.0011065+0.0011807i,-0.00069201+0.0012057i,4.6429e-05+0.00028024i,-0.0004036-0.0011097i,-0.001264-0.0010973i,-0.0014246-0.00031711i,-0.00089571+4.4494e-05i,8.9289e-05-9.1628e-05i,0.00042253-0.00031573i,0.00041396-0.00015651i,0.0010071-5.2917e-06i,0.0011479-0.00020179i,0.00053848+0.00014813i,0.00016751+0.00076762i,0.00025468+0.00062175i,0.0009843+7.5689e-05i,0.00074137+0.00040429i,-0.00025573+0.0010281i,-0.00024296+0.00045428i
-0.0010326-0.00037859i,-0.0018123-0.00036923i,-0.001891+0.00021002i,-0.0012001+0.00065463i,0.0002484+0.00028382i,0.00052813+0.00010467i,4.9362e-05+0.00026102i,0.0001305-0.00025985i,-0.00021657-0.00075256i,-4.6878e-05-0.0012508i,0.00067933-0.0010907i,0.0011119-0.00062009i,0.00035289-0.00044489i,-0.00032251+0.00012323i,0.00015456-4.4835e-05i,0.00080832-0.001024i,0.00019359-0.0011203i,-0.00098895+0.00010245i,-0.00096303+0.0010617i,3.4735e-05+0.0011705i,0.0004156+8.428e-05i,0.00051622-0.00035865i,0.00070079+0.00015741i
-0.0007277-0.00041486i,-0.0011575-0.00096755i,-0.0015706-5.123e-05i,-0.0016431+0.00016308i,-0.00096935+9.3786e-05i,-0.00029119+0.0004223i,-0.00031179+0.00030867i,-0.00021806-0.00047298i,5.3528e-05-0.0015611i,-0.00032436-0.0014086i,-0.00049259-0.00013131i,-0.00029138+0.0007763i,-0.00045961+0.00053306i,-0.00034236-3.5961e-05i,-3.2888e-05-2.6393e-06i,-0.00012293-6.6618e-07i,-0.00048746-0.0006363i,-0.00068726-0.00036868i,-0.00028725+0.00027759i,0.00029043+1.8969e-05i,0.00055306-0.00023941i,0.00044777-0.00037798i,-0.0001222-0.00055342i
0.001241-0.0011359i,0.0012453-0.00032889i,0.00087411-0.00068298i,0.00077871-9.6681e-05i,3.3275e-05+0.00019608i,-0.00067897+0.00018123i,-0.0010583+0.00046896i,-0.00089298+0.00011031i,-0.00080205-0.0010474i,-0.00085793-0.001746i,-0.00052256-0.0012323i,0.00015854-0.0011378i,0.00022884-0.0015153i,0.0001766-0.0012347i,0.00013926-0.00016414i,0.00044069+0.00020021i,0.00060685+0.00030373i,-6.4717e-06+0.00017478i,0.00012785-7.2864e-05i,0.00023097-0.00040866i,-0.00011135-6.7391e-05i,-0.00030031+0.00047011i,0.00032212+4.7951e-05i
0.0027288+0.0016255i,0.0030431+0.0018453i,0.0022177+0.0018032i,0.00043628+0.001298i,-7.3441e-05-0.00022542i,0.0001129-0.0011847i,-0.00025378-0.00055598i,-0.00024794-0.00054377i,-0.00038486-0.0012533i,-0.00072213-0.0016489i,-0.00028018-0.0014809i,-3.9512e-05-0.0012379i,-0.0002753-0.0008946i,-0.00040848-0.00095016i,-0.00036809-0.00051048i,-0.00064997-6.9762e-05i,-0.00036368-5.5036e-05i,-0.00011305+0.00032297i,4.3268e-06-0.00016144i,0.00013666-0.00041955i,0.00074595+0.00027247i,0.00056828+0.0005436i,-5.0031e-06-0.00015725i
-0.0015692+0.0015814i,-0.0011845+0.0016833i,-0.0020929+0.0013216i,-0.002255+0.0011411i,-0.00041485+0.00091742i,0.00056853+0.00027412i,-0.00015764-0.00045067i,0.00013351-0.0012513i,0.00043874-0.0011832i,0.00013529+8.5113e-05i,3.3686e-05+0.00053093i,4.1085e-05-0.00031951i,-0.00037945-0.00074754i,-0.00067574-0.00043825i,0.00018103-5.6223e-05i,0.00086457+0.00029741i,0.0011372+0.00022104i,0.0012171-4.0495e-05i,0.00024565+0.00043519i,-0.00015643+0.00032525i,-1.3456e-05-0.00046854i,-0.00070529-0.00074675i,-0.00048619-0.0008313i
-0.0013313-0.00043475i,-0.0014705+0.0006953i,-0.0016047+0.001111i,-0.00096302+0.0014051i,-0.00035773+0.0014367i,-0.0002501+0.001266i,-0.00045393+0.0010113i,-0.00037752+0.00014013i,-0.00037062-0.0014754i,-0.00027609-0.001893i,0.00034515-0.00075123i,0.00039588+5.0784e-05i,-0.00012413+0.00084754i,-0.00011212+0.00098414i,0.00026997+0.00070881i,0.00054898+0.00063736i,0.00047033+0.00024519i,-5.6011e-05+0.00060865i,-0.00054841+0.00079277i,-0.00023124+0.00083303i,0.00025744+0.0010279i,0.00026096+0.00088894i,-9.4458e-05+0.0002358i
-0.0010661-0.00083137i,-0.0011857-0.0013024i,-0.002023-0.00077101i,-0.0017735+0.00025173i,-0.00041059+0.0014585i,-0.00050534+0.00066079i,-0.00089027-0.001301i,-0.0007777-0.0013958i,-0.0005893-0.00078933i,-7.4949e-05-7.8477e-05i,0.00037202-0.00026024i,0.0011307-0.00024693i,0.00095949+0.00099132i,0.00064146+0.00084221i,0.00080218-0.00028775i,0.00013339-0.0010156i,-0.00021603-0.0007009i,0.00010294+0.00054045i,0.00043734+0.00089745i,0.00054788+0.00065407i,-0.00015461+0.00022882i,-0.00094529-0.00051239i,-0.0005315-0.00037366i
0.0010098+2.8512e-05i,0.0011602+0.00099239i,-9.7822e-05+0.0011703i,-0.00097957+0.00095316i,-0.00048571+0.0016149i,-7.5327e-05+0.00084593i,0.00028176-0.00032457i,-6.4406e-05-0.00060239i,-0.00081632-0.00027531i,-0.00031305-7.3681e-05i,2.5337e-05-0.0002518i,-0.00071573+9.3936e-06i,-0.00086048+0.00060364i,-0.00043404+0.00094759i,-0.00061327-5.4669e-05i,-0.00051269-0.00041767i,2.9768e-05+0.000267i,0.00036179+0.00079724i,-0.00033361+0.00053533i,-0.0001675+0.00016987i,0.00010704+0.0001671i,-0.00013976+0.00010559i,0.00020794+6.1124e-05i
-0.00032859-6.9932e-05i,-0.001147-0.00069857i,-0.00035964-0.00029685i,0.00057835-0.00014687i,-0.00016678-0.00086173i,-0.0012965-0.00057426i,-0.001318+2.6323e-05i,-0.00025718-0.00015266i,1.9221e-05-0.0009325i,-0.00036541-0.001211i,9.5966e-05-0.00077987i,0.00073576-6.5995e-05i,0.00095609+0.00034335i,0.00032711-0.00019023i,0.00041123-0.00062965i,0.0004582-0.00042321i,0.0003147-4.2493e-05i,0.00084934+0.00056761i,0.0011391+0.00056878i,0.00034191-0.00019827i,5.1014e-05-0.00052787i,0.0001604-0.00015799i,0.00021849-0.00034636i
-0.00048794+3.015e-05i,0.00079184+0.00036477i,0.001278+0.0013845i,0.00094076+0.0008194i,0.000183+0.00065775i,-0.0003443+0.00066694i,-0.00022319+0.00016714i,-8.5531e-05+0.00026467i,-5.8674e-05-1.0856e-05i,0.000195-0.0009455i,0.00072313-0.0014862i,0.00055171-0.0013323i,-0.00019212-0.0012147i,-0.00065822-0.0010894i,-0.00019032-0.00066419i,0.0003452-0.0001893i,0.00086448-0.00052783i,0.00098025-0.00060479i,0.00039052+9.3062e-06i,0.00017898+0.00032542i,0.00013108+7.8593e-05i,-0.00035318-3.2882e-05i,-0.00049233-0.00020496i
-0.0022304-0.00025369i,-0.001298+0.00041701i,-0.0019443+0.0010824i,-0.0020095+0.0012537i,-0.00099866+0.0013295i,0.00013665+0.00097689i,0.00042772-0.00048359i,-0.00073904-0.0015339i,-0.0014422-0.0014136i,-0.00079227-0.0011477i,-0.00029115-0.00055071i,-0.0001964-0.00014752i,0.00041741+2.408e-05i,0.00045278+0.00054198i,7.4222e-05+6.446e-06i,-0.00023019-0.00012067i,-0.00011474+0.00069093i,-7.861e-05+0.0005224i,-0.00025466-0.00018943i,-0.00052704-0.00072933i,-0.00049087-0.00076462i,-0.00030443-0.00031179i,-0.00035733+0.00010828i
0.0004713-0.00057411i,0.00040973-0.00073783i,-0.00078162-0.00056229i,-0.00091925-0.00070053i,-0.0006784-0.00067626i,-0.00037288-0.00063661i,9.2686e-05-0.0011927i,7.7899e-05-0.0017442i,0.00012943-0.0018298i,-8.2518e-05-0.0014139i,-0.00010095-0.00087303i,0.00050525-0.00086049i,0.00073242-0.00054331i,0.0004168-3.5997e-06i,3.1102e-05-0.0002012i,-3.1739e-05-0.00066794i,0.00020142-0.0010188i,-0.00018877-0.00045481i,-0.00023416+0.00041437i,0.00043052+0.00079422i,-5.4868e-05+0.00099393i,-0.00045627+0.00029723i,-0.00048327-6.3057e-05i
-0.0006343-9.3938e-06i,3.2979e-05+3.5131e-05i,6.1165e-05+0.00061198i,-8.8868e-05+0.00097232i,0.00021356+0.00013187i,0.00025883-0.00055888i,0.0003931-0.00071367i,1.3579e-05-0.00087443i,-0.00082748-0.00075167i,-0.0010538-0.0007013i,-0.001089-0.00063055i,-0.00068682-0.0011016i,-0.00024123-0.0012268i,-4.4124e-05-0.00034742i,0.00051398+0.00042191i,0.00045591+0.00030437i,5.5983e-05-0.00023287i,0.00032471-0.00017752i,0.00033403+0.00015052i,-4.3256e-05+0.00080148i,-0.00047205+0.0012455i,-0.00063631+0.0010528i,-0.00024648+0.00055545i
-0.00056705+0.0011562i,-0.0016419+0.0011313i,-0.0015928+0.0024495i,-0.00062554+0.0020376i,0.00026521+0.0010258i,0.00053333-0.00058447i,0.0002051-0.0016593i,-8.7655e-05-0.0009102i,0.00012488-0.00060975i,0.00050286-0.00057719i,8.7209e-05-0.00024605i,-0.00013956-0.00053685i,0.00028497-0.00094336i,0.00083689-0.0010442i,0.00048751-0.001012i,-4.3095e-05-0.0010027i,-0.00016046-0.00021358i,-0.00016813+0.00061878i,0.00026568+0.00043719i,0.00050534+0.00013563i,0.00041185+0.00010239i,0.00028429-0.00019153i,-0.00016795-0.00033527i
0.0016368-0.00061259i,0.0018368-0.0014533i,0.0017356-0.0011181i,0.00078152-0.00075322i,0.00044725+8.3144e-05i,0.00057864+0.00080678i,0.00030386-0.00013141i,-0.00038035-0.001525i,-0.00066517-0.0022478i,9.4745e-05-0.001624i,0.00069872-0.0014114i,0.00039757-0.001598i,-5.5708e-05-0.0003424i,0.0001729+0.00028213i,0.00058465+5.3915e-05i,-9.5654e-06-0.00037626i,0.00019599-0.00089996i,0.00067531-0.00065649i,0.00063936-4.95e-05i,0.00066014-0.00023295i,0.00055681+9.7681e-05i,0.0006664+0.00050834i,0.00083286+1.7905e-06i
-0.00099282-0.0017083i,-0.0010968-0.0016624i,-0.00080985-0.001221i,-0.00047082+0.00039772i,-0.00065564+0.0010418i,-0.00048099+0.00075718i,0.00018046+0.0001186i,0.00076893-0.00075399i,-0.00026608-0.00048765i,-0.0011995-0.00012775i,-0.00058797-0.00016219i,-0.00014387-0.00094822i,0.00062416-0.00093908i,0.00013224-0.00010706i,-0.00048895-0.0007543i,0.00012041-0.00084833i,0.00027599-0.00019235i,0.0001614+0.00071469i,0.00027207+0.001193i,0.00027289+0.00023248i,-0.00035002-0.00059235i,-0.00047632-0.00081899i,-0.00019948-0.00024084i
0.0012567-0.0010071i,0.0012385-0.0010692i,0.0002498-0.0013138i,-0.00085921-0.00044719i,-0.0015592-0.00017009i,-0.00090076-0.00046596i,0.00025999-0.00056782i,0.00034046-0.00078935i,-0.00023634-0.0010695i,-0.00078332-0.00055473i,-0.00046528+0.00028837i,0.00017083+0.00013011i,0.00052121-0.00043814i,0.00045198+0.00013217i,0.00019804+0.00083011i,-1.2538e-05+9.0192e-05i,0.00013534-0.0010895i,0.00011056-0.0010724i,0.00033104-0.0013221i,0.00049683-0.0010519i,0.00059622-0.00056324i,7.8711e-05-0.00038002i,-0.00064128-0.00042827i
0.00020255-0.00011874i,-0.00039671-0.0013619i,-0.00096999-0.0013937i,-0.00025102-0.0010332i,-0.00032933-0.0008434i,-0.0010204-0.00037932i,-0.0011767-4.4005e-05i,-0.0010963-0.00063621i,-0.00037629-0.0013309i,3.9148e-05-0.001578i,-0.00013105-0.0015117i,1.88e-05-0.00083837i,-0.00036737-0.00043499i,-0.0002667+6.5458e-05i,1.8758e-05+0.0001195i,0.00044651-0.00014096i,0.00085139+0.00022782i,0.001056+0.00059131i,0.0011557+0.0005012i,0.00072945+0.00029449i,0.00019728+8.2122e-05i,-0.00056597-0.00014715i,-0.00078548-0.00038766i
0.0028071+0.00099378i,0.002027+0.00048974i,0.0018519+0.0015008i,0.0023436+0.00115i,0.0022109+0.00031744i,0.00083827+0.0001677i,-0.00019566-1.3171e-05i,1.628e-05-0.00044083i,0.00036243-0.0011245i,0.00062772-0.0013262i,0.00041998-0.00070244i,-0.00036417-6.3614e-05i,-0.00062208+0.00058085i,-0.00056723+0.00025996i,-9.0013e-05+6.4135e-06i,5.2333e-05+0.0006549i,0.00071247-0.00010321i,0.0006857-0.0009515i,-0.00015161-0.000419i,-0.00065885+0.00047109i,-0.00095072+0.00079572i,-0.00063034+4.4782e-05i,0.00013881-0.00023396i
-0.0010765+0.00098861i,-0.0014723+0.00073059i,-0.0016421+0.0018041i,-0.00059522+0.003066i,0.00069648+0.0030044i,0.0011624+0.0017029i,0.00076348+0.00081597i,2.9392e-05-0.00043343i,0.00010967-0.0010384i,-2.4794e-05-0.00091538i,0.00024331-0.00024481i,0.0010094+0.00036034i,0.000812-0.00050192i,0.00037874-0.00042656i,0.00065422-9.8172e-05i,0.00034074-4.9275e-05i,-9.7316e-05-0.00028892i,0.00042521+0.00047286i,0.00036758+0.0010937i,0.0010649+0.0005629i,0.0013075+0.00040705i,0.00028938+0.00010593i,-6.9359e-05-0.00082375i
-0.00063925-0.00054217i,-0.00026852-0.00021846i,3.5488e-06-0.00050346i,-0.000209+0.00017329i,-0.001037+0.0012413i,-0.0011938+0.00073933i,-0.00095241-0.00011609i,-0.0010937-0.0002284i,-0.001227+6.0973e-07i,-0.00090644-0.00050931i,-0.00019907-0.00066524i,0.00061143-0.00047298i,0.00026572-0.00028075i,-0.00028497-0.00011758i,-0.00038552-0.00036536i,-0.00011936+0.00034032i,0.00044896+0.00083401i,0.00031561+0.00069357i,0.00023865+0.00049498i,0.00020778-2.8391e-05i,-3.3206e-05-5.777e-05i,-9.0016e-05+0.00031842i,-0.00013952+0.00040612i
-0.001455+0.00056969i,-0.0011348+0.00015215i,-0.0018153+0.00090786i,-0.0020496+0.0012075i,-0.00084837+0.0011037i,0.00043217+0.00056115i,0.00070286+1.4579e-05i,0.0005176-0.00085546i,2.1505e-05-0.001469i,3.9121e-05-0.00066572i,0.0004973-3.8453e-05i,0.00071109-0.00061631i,0.00060903-0.00042095i,0.00015208-0.00041127i,2.9798e-05-0.00090594i,0.00035361-0.0007521i,8.9613e-05-0.00049779i,-0.00059236+0.00017785i,-0.00064135+0.00034684i,-0.0002712-0.00010549i,0.0001003-0.0001016i,0.00032404+4.9122e-05i,0.00032222+0.00043251i
-0.0015915-0.0002745i,-0.0011886-0.00066915i,-0.001249+4.1483e-05i,-0.0021092+0.00038348i,-0.0016783+0.00074117i,-0.00086191+0.0011604i,-0.00086923+0.00073948i,-0.00084342-0.00016003i,-0.0011209-0.00090604i,-0.00097985-0.00082804i,-0.0005601-0.00065604i,-0.00096279-0.00038785i,-0.00096663-2.0219e-05i,-0.00057937-0.00013321i,-0.00055043-0.00039697i,-0.00033627-0.00076111i,-0.00013703-0.00056304i,0.00028263+0.00028841i,-6.6436e-05+0.00057434i,-8.7633e-05+2.3437e-05i,0.00035017-0.00027982i,0.00012208-0.00046308i,-0.00042982-0.00031399i
-0.00014832-0.00076325i,0.00034653-0.0015225i,0.00049702-0.0010776i,0.00033968-0.0011348i,0.00099083-0.00131i,0.0011002-0.00025606i,0.00043616+0.00072757i,-0.00017287+0.00020833i,-0.00061079-0.0014817i,-0.00072207-0.0017061i,-0.00056665-0.00052901i,-0.00032411-0.00023013i,-0.00084499-0.00048837i,-0.0012862-0.00056965i,-0.00058144-0.0006044i,0.00023812-0.00040223i,0.00047512-0.00018814i,0.00038395-0.00058522i,0.00042354-0.0004846i,0.00068552+3.495e-05i,0.00092193+0.00021251i,0.00051543+0.00018732i,0.00043924+0.0001276i
-0.0015477+0.00087231i,-0.0018625+0.00094678i,-0.0023251+0.0013198i,-0.001476+0.0016527i,-0.00012537+0.0012125i,0.00029605+0.00041301i,0.00057821-0.00015811i,0.00062136-0.0011634i,0.0007027-0.001855i,0.001186-0.0014891i,0.0015643-5.857e-05i,0.0012447+0.0006172i,0.00016646-2.7124e-05i,-0.00043732-0.00076977i,-0.00051913-0.0012849i,-0.00046143-0.0011598i,-0.00068468-0.00056825i,-0.00089745-0.00052504i,-0.00023675-0.00063766i,0.00035947-0.00057648i,0.0010667+0.00020834i,0.0015718+0.00037395i,0.0014775-0.00014047i
