0.0016295-0.00060595i,0.0013721-0.0023641i,-0.00039981-0.0021859i,-0.001773-0.0016935i,-0.0021808-7.6302e-05i,-0.00175+0.0015708i,-0.0011065+0.0017485i,-0.00016405+0.0013042i,0.0012961+0.00020332i,0.0013486-0.00041283i,0.00027526-0.00079446i,4.6408e-05-0.0010062i,-0.00010956-0.00050078i,-0.00015301+0.00027096i,-6.0371e-05+0.00059157i,-0.00039687+0.00033797i,0.00038793+0.00042182i,0.000818+0.00081257i,-8.5023e-05+0.00043725i,-0.00050293-4.347e-05i,-0.00053602-0.00016878i,-0.00049833-0.00011994i,-0.00051734+0.00034868i
-7.5649e-05-0.00026615i,-0.00088005-0.00094511i,-0.0015124-0.0012889i,-0.0020402-0.0016761i,-0.0023384-0.0016598i,-0.0018291-0.0011764i,-0.0012267-0.00063281i,-0.00073294-0.00017921i,0.000642+0.00045106i,0.00053065+0.0002851i,3.3915e-05+9.4271e-05i,1.314e-05+0.00014354i,-0.00027852+0.00017236i,-0.00028069+0.00049633i,-0.00072282-9.8376e-05i,-0.0010434+8.7112e-06i,-0.00040751-0.00018757i,0.0002169-0.00052655i,0.00010838+8.4013e-05i,-8.7025e-05-0.00035531i,0.0004639-0.00057989i,0.00059019+0.00016608i,0.00021486-0.00023549i
0.001709-0.0018599i,0.001582-0.0025468i,0.00054523-0.0016903i,-0.0010961-0.00039514i,-0.0019527+0.00043332i,-0.0014185+0.00060596i,-0.00077972+0.00022692i,-0.00069603+5.2993e-05i,-6.1895e-06-0.00051566i,0.00012248-0.00084921i,-0.0003402+0.00041658i,-0.00025641+0.001837i,-0.000666+0.001063i,-0.0009247+0.00062332i,-0.00073955+0.00095972i,-0.00013366+0.00054083i,0.00019849+0.00048426i,-0.00034562+0.0007788i,4.2899e-05+0.00083743i,0.00066499+0.00035711i,0.00015712-0.00020177i,8.4363e-07-9.7774e-05i,0.00028832+0.0010651i
-0.0010213-0.0016239i,-0.00039844-0.00057148i,-0.00053674-0.00025495i,-0.00021427-0.00029224i,0.00040513-0.0010545i,0.00044534-0.0018274i,6.0224e-05-0.0015236i,8.9675e-05-0.00076316i,-0.00020656-7.9656e-05i,-0.00030703-1.8046e-05i,0.00017465+0.00016932i,0.0003725+0.00033273i,0.00073967+0.00016877i,0.0013921-0.0002407i,0.0010932-1.8772e-05i,0.00031929+6.7772e-05i,0.00010476-0.0001254i,-0.00061934+1.4066e-05i,-0.00093926-6.4894e-05i,-0.00057173-0.00011299i,-0.00069624-0.00059266i,-0.00016666-0.00061769i,-0.00032106-5.7025e-05i
0.00083053+0.0005388i,0.00090373-0.00028505i,0.00038766-0.00038428i,-0.00057906+0.00014918i,-0.001091-8.7763e-06i,-0.00095344-0.00073435i,-0.0011333-0.00074629i,-0.00090476+0.00016735i,-0.00075779+0.00030798i,-0.00060937+0.00018715i,-0.0010151+0.00027417i,-0.0015214+0.00017124i,-0.00099214-0.0004431i,-0.00019826-0.00058509i,5.4336e-05-4.4462e-05i,9.0348e-05+0.00076259i,4.5891e-05+0.0010212i,-0.00024314+0.00050649i,-0.00066372+8.6115e-05i,-0.00059527-0.00027893i,-3.1562e-05-0.00043202i,-0.00032972-0.00044249i,-0.00025946-0.00042407i
0.00082748-0.00026926i,0.00046937+0.00043777i,0.00032321-0.00011847i,-0.00016019-0.00058279i,-0.0011471-0.00019535i,-0.0017263-0.00077402i,-0.0014719-0.0011598i,-0.00027307-0.00024534i,0.00070224-0.00024418i,0.0004965-0.00033193i,0.00016978+0.00021273i,0.00046441+8.581e-05i,0.00047703+0.00020443i,0.00013278+0.00043333i,-0.00017761-6.0614e-05i,0.00012093+0.00010045i,0.00076491+0.00028245i,0.0010229+0.00031225i,0.0011485+0.00089932i,0.0014311+0.00081653i,0.00078481+0.0001302i,0.0003308-0.00042235i,0.00027974+0.00020182i
0.00077656+0.0017857i,0.0018609+0.0020809i,0.0022406+0.0016985i,0.00052086+0.00080207i,-0.00047681-0.0006718i,-0.00011735-0.0020288i,-0.00012349-0.0019351i,-0.00067024-0.0013097i,-0.00048902-0.00095874i,0.0002005-0.00026579i,1.4423e-05+0.00017456i,-0.00048783-0.00056365i,0.00028121-0.00059187i,6.3823e-06+0.00038892i,-0.00087187+0.00026551i,-0.00089056+0.000306i,1.0349e-06-1.6194e-05i,0.00090713-6.3391e-05i,0.0010162-0.00024864i,0.00055194-0.00045881i,0.00018747-8.8195e-05i,0.00011913-0.00049314i,-0.0001358-0.000123i
-0.0022928+0.0001366i,-0.0012939+0.0014067i,-0.00044247+0.0016955i,0.00051538+0.00096034i,0.000591+0.00025146i,0.00042189-0.00015792i,0.00033534+0.00018827i,0.00023119+0.00063556i,0.00013249+0.00048976i,-0.00013849-5.0574e-05i,-0.00054533-0.00012683i,-0.00011971+0.00033035i,0.00096649+0.00063738i,0.0011594-0.00018726i,0.0012252-0.00024275i,0.0010099-0.00016337i,0.00052787-1.9021e-05i,0.00040016+0.00075513i,0.000707+9.0394e-05i,0.00039309-0.00095757i,0.00010036-0.00041367i,0.00016369+0.00036266i,0.00010024+0.00079841i
-0.00024942-0.00056579i,-0.0011957+0.0004868i,-0.0015815+0.00034554i,-0.0017134+0.00015454i,-0.0016335+1.1058e-05i,-0.0015505+6.884e-05i,-0.0016408+0.00059582i,-0.00053279+0.00088287i,-0.00013065+0.00055042i,-0.0008251+8.6696e-05i,-0.0006302+0.00013642i,0.00011292+0.00066079i,0.00038871+0.00081474i,0.00098579+0.00041453i,0.001462+0.0005061i,0.0008799+0.00063666i,-4.5844e-05+0.00057237i,-1.9392e-05+0.00027993i,0.00039106+0.00054725i,0.00034058+0.00038322i,0.00025035+0.00020084i,4.9098e-05+0.00046909i,3.0777e-05+0.00031186i
5.7682e-05-0.0019666i,-0.00089968-0.0015049i,-0.0021433-0.0010933i,-0.002065-0.0017824i,-0.0011237-0.0018082i,-0.0002359-0.00070115i,-1.3801e-05-0.00032192i,-0.00026285-0.00042227i,-0.00059537-0.00021892i,-0.00038836-2.3286e-05i,0.00062351+0.00056503i,0.0013685+0.00072923i,0.0013822+0.00019357i,0.00069718+0.00045699i,0.00015709+0.0011791i,0.00050328+0.0013902i,0.00047682+0.0011853i,0.00020201+0.0011821i,0.00014967+0.0008974i,0.00016171+0.00030675i,0.000619+6.1691e-05i,0.0010278+0.00040428i,0.00042785+0.00026749i
0.0011492+0.00027656i,0.00084956+0.00012312i,0.00015809+0.00012542i,-0.00093497+0.00017992i,-0.0012849-0.0001527i,-0.0011854-0.0010634i,-0.0011373-0.0011498i,-0.00067476-0.0004844i,-0.00015685-0.00036444i,-0.00052078-0.00059316i,-0.00099307+6.118e-05i,-0.00070644+0.00095642i,-0.00036917+0.0011987i,-0.00097502+0.0014132i,-0.00092977+0.00092198i,0.00058207+0.00055967i,0.00079282+0.00066331i,2.3698e-05+0.00081418i,0.00041887+0.00093743i,0.0017171+0.0016826i,0.0012232+0.0017296i,-0.00047365+0.00075018i,-0.00056596-0.00027671i
