-0.00033248-0.0006829i,0.00070517-0.00092633i,-0.00048155-0.00044195i,-0.00090634+0.00051199i,-0.0011003+0.00079766i,-0.0022334+7.0101e-05i,-0.0024488+0.00041789i,-0.0013232+0.00094862i,0.00057214+0.00050488i,0.0013087+0.00072173i,0.00059098+0.00098112i,-3.4374e-05+0.00010216i,-0.00014749-0.00099574i,-0.00013248-0.0015214i,-0.00043933-0.00087744i,-0.00092196-3.706e-05i,-0.00028163+0.00013535i,9.3933e-05+0.00083332i,-0.00022676+0.0011473i,-5.0863e-05+0.00037003i,0.00046892+0.00031682i,-0.00011472+0.00035197i,-0.00060261+0.0001569i
0.0032038+0.00062701i,0.001922+0.00011733i,0.0012186-0.0010435i,0.00073568-0.0019117i,-0.00031363-0.0016622i,-0.00021856-0.00064851i,0.00019424-0.00018287i,-0.00031913-0.00065431i,0.00063809-0.0013356i,0.00069686-0.0013788i,-0.00031453-0.00091838i,-0.00069712-0.00011231i,-0.00081543+0.00068115i,-0.00064113+0.00052494i,-0.00057001-0.0006292i,0.00027244-0.0011327i,6.0509e-05-0.00049347i,-0.00061923+7.3174e-05i,-0.00057741+0.00045619i,-0.00032203+0.0006842i,-6.1726e-05+0.00010907i,-4.0705e-05-0.00044824i,-0.00016247-0.00046845i
-0.0015399-0.0011949i,-0.00022914-0.00057456i,0.00027051+0.00054639i,0.00034945+0.001169i,0.00029602+0.00020754i,0.00017924-0.00083363i,0.0010108-0.00028172i,0.00074709+0.00033737i,-0.00039693+6.1372e-05i,-0.0009207-1.3578e-05i,-0.00088394+5.7248e-05i,-0.00020926+0.00030637i,0.00050294+0.0003332i,0.00026215-2.9444e-06i,0.00016235-0.00049526i,8.5524e-05-0.00023982i,0.00032504-0.00026805i,0.00041899-3.2032e-05i,0.000132+0.00031174i,0.0001245+1.048e-05i,-0.00015678+0.00031347i,-0.00053462+0.00033138i,-0.00074297-0.00014148i
-0.0014834-5.4776e-05i,-0.00099633-0.00040238i,-6.2227e-07+0.00033802i,0.001777+8.8773e-05i,0.0018089-0.0004059i,0.0014729-0.00077091i,0.00094191-0.00097i,0.00015655-0.00022647i,0.00061921-0.00023823i,0.00090707-0.0003153i,0.00042595+0.00031427i,0.00027629+0.000654i,0.00012673+0.00014912i,0.00018965-0.00092011i,0.00027651-0.00048103i,0.00017619-4.1663e-05i,3.2889e-05-0.00028509i,-0.0001938-1.0078e-05i,-0.0001287-0.0004505i,0.00023672-0.00097829i,0.00039242-0.00057631i,-3.8362e-05-0.00039556i,-0.00061924+1.4399e-05i
0.00076461+0.00027326i,-2.725e-05+0.00026078i,0.00017255-0.00018928i,0.00036799-0.00054855i,6.8628e-05-0.0018845i,-0.00035654-0.0020724i,-0.0010541-0.0014638i,-7.4336e-05-0.00053549i,0.00061303+0.00028669i,-0.00043274-4.2076e-05i,-0.0012692-0.00024501i,-0.001222-0.00022539i,-0.00051861-0.00050833i,6.6889e-05-0.00077737i,-1.3993e-05-0.00073876i,-6.0714e-05-0.00038238i,-0.00025397-0.00025938i,0.00017636-0.00035822i,0.0008621-4.4119e-05i,0.00040508+0.00051706i,-0.00039815+0.00053416i,-0.00076289-0.00013435i,-0.00044832-0.00080388i
0.00040747+0.00094381i,0.00091421+0.0015978i,0.00082759+0.00089251i,0.00056993-0.00086517i,0.0006855-0.0012538i,-0.00052899-0.0015552i,-0.00086003-0.00090531i,-9.9957e-05-0.00011503i,0.00010851-0.00060153i,0.00014073-0.00081259i,0.00038049-0.00039576i,-0.00020459-0.00055907i,-0.00023117-0.00043029i,0.00044509+0.00032493i,0.00019552-1.1387e-05i,-0.00024666-0.00019139i,-0.00054237-7.453e-06i,-0.00054924-0.00011374i,-0.00069526+0.00016501i,-0.0011597-0.00040311i,-0.00079004-0.0010052i,-0.00041279-0.00015771i,-0.00060922+0.0010492i
0.0021058-0.0011274i,0.0019668-0.0013053i,0.0013025-0.0021636i,0.00099294-0.0030216i,0.0004634-0.0031733i,5.3408e-05-0.0017011i,-5.0422e-05-0.0013033i,-0.00015448-0.0017955i,-0.00023888-0.0011699i,0.00013582-0.00085822i,-0.00019802-0.0005913i,-0.00081001-0.0003707i,-0.0011151+0.00028712i,-0.0012333+0.00043179i,-0.0012721-0.00017624i,-0.00096849-0.0003825i,-0.00029665+0.0004157i,6.0646e-06+0.00041626i,-3.4413e-05-0.00026628i,-4.2614e-05+0.00019025i,-0.00081078+0.00063319i,-0.00062807+0.00078869i,0.00030825+0.00084824i
-0.0016197+0.00062475i,-0.0014416+0.0011828i,-0.0013295+0.00097407i,-0.00052072+0.0012123i,0.00080832+0.0007412i,0.0010107-0.0010256i,-0.00012548-0.0013248i,-0.0012404+2.9691e-05i,-0.00095981+0.00057674i,-0.00040903+0.00051196i,-2.8332e-05+0.00047042i,0.00036668+0.00042132i,0.00045621+0.00054523i,0.00016148+0.00022716i,-3.6588e-05-0.00024261i,-0.00023529-0.00026927i,0.00037624-0.00034219i,0.0011637-0.00066384i,0.00037612-0.00043128i,-0.00031939-6.5094e-05i,-0.00015811+0.00050617i,-0.00025974+0.00036849i,-0.0004059-0.00044984i
-0.001404-0.00061413i,-0.0010211-0.00035129i,-0.00083907+0.00029606i,0.00021728+0.000287i,0.00063511-0.00051203i,0.00027018-0.00084527i,-0.00019906-0.00018643i,-0.00055834-0.00027579i,-0.00053117-0.00026266i,-0.00020656-0.00013123i,-0.00062572-6.0211e-05i,-0.00085223-0.00041571i,-0.00010897-0.00053634i,-0.00016105-1.6382e-05i,-0.0004358-8.7415e-05i,8.2377e-06-0.00049252i,0.00045184-5.5355e-05i,6.9103e-05+0.00037555i,-0.00056319+0.0001266i,-9.3157e-05-0.00014039i,0.00018339+0.00012565i,-0.00026612-0.00050352i,-0.00056459-0.0012517i
0.00059929+0.0001563i,0.00070146-0.00013538i,0.0003033-0.0016993i,-4.1443e-05-0.0029258i,-0.0003344-0.0025466i,-0.00090562-0.0011112i,-0.0014021+4.9136e-05i,-0.0010707+0.00092789i,-7.7038e-05-2.6165e-05i,-3.127e-05-0.0016128i,-0.00044276-0.0013875i,-0.00059005-0.0004928i,-0.00027044+0.00011024i,-0.00022604+3.7241e-06i,2.3267e-05+0.00033458i,0.00033946+0.00052862i,0.00031135-0.00028774i,0.00068164-0.00079494i,0.00098727+0.00016717i,0.0009133+0.0012845i,0.00064839+0.0012406i,0.00034911+0.00024868i,0.00023709+0.00049558i
-0.00076386-9.7126e-05i,-0.00066351+1.5082e-05i,-0.00030301+0.00065406i,0.00074378+0.00021836i,0.0010318-0.00027265i,0.00098004-0.00077776i,0.00067585-0.00057265i,0.00036978+0.00026195i,0.00059049+0.00084992i,0.00058079+0.00075388i,7.725e-05+0.00037517i,-0.00046941+0.00022446i,-0.0010281+0.00011098i,-0.00070709-0.00072581i,0.00039744-0.0010111i,0.00033139+0.00045356i,-0.00030234+0.0010358i,-0.00067943+0.00053269i,-0.0009577+0.00018553i,-0.00051585-0.00030424i,-0.0001177-0.00043164i,0.00023086-0.0005916i,0.00052784-0.00045338i
0.0013133-0.00049272i,0.00090155-0.0014322i,0.0009404-0.0026079i,0.0016849-0.0025762i,0.0016431-0.0023106i,0.00060386-0.0018779i,0.00015872-0.0010824i,-9.5755e-05-0.0007597i,-7.8685e-05-0.0011493i,-0.00032583-0.0012147i,-0.00099407-9.0277e-05i,-0.00052088+0.00049258i,0.0001105+0.00021948i,-9.6575e-05+0.00021792i,-0.00016045+0.00032284i,-0.00010637+0.00044734i,1.0438e-05+0.00034661i,0.0002198-2.4179e-05i,3.8256e-05+0.00035801i,0.00033573-0.00053662i,0.0015343-0.00083456i,0.0015656-0.00057247i,0.00067313-0.00076668i
-0.0012854-0.00056113i,-0.0010152+0.00082825i,-0.00036417+0.0017581i,0.001005+0.0013483i,0.0013667-8.3216e-05i,0.00054566-0.0012109i,0.00054294-0.00078713i,0.00060944-0.00053183i,0.00043634-0.0012736i,0.00023306-0.000787i,0.00010447-0.00013248i,0.00041885-0.00040123i,1.0725e-05-0.00013674i,-5.6996e-05+6.7907e-05i,0.00066433-0.00058794i,0.00031156-0.0011513i,0.00025917-0.00064304i,0.00082962+0.00023284i,0.0006642+0.00034173i,0.0005505-0.00019047i,0.00058083-1.0732e-05i,-6.0207e-05+0.00080081i,-0.00021176+0.00012302i
0.0015433-0.0016071i,0.00012002-0.002848i,-0.00027855-0.0032986i,-0.00050565-0.0018883i,-0.00025462-0.0015219i,0.00029249-0.0010405i,-0.00053261+6.2085e-05i,-0.00087165+0.0003492i,9.1685e-05-0.00016262i,8.3519e-05-0.00063355i,-0.00052184-0.00024005i,-0.00080683+0.00032121i,-0.00073082-2.4359e-05i,-0.00081997-0.00022624i,-0.0013529-2.3839e-05i,-0.00082123-0.00022573i,-0.00011487-0.00016307i,-0.00015069+0.00014681i,0.00025912+2.089e-05i,6.9282e-07+0.00016043i,-0.00051431+0.00018424i,-0.0010649+0.00053199i,-0.00081759+0.00080258i
0.00030384-0.00016054i,0.00019832-0.00015019i,5.7964e-05+5.1908e-05i,0.00042764-0.0012487i,0.00057735-0.0022847i,0.00032776-0.0018481i,0.00016956-0.00079869i,0.00077418-0.00039236i,0.00096253-0.00027859i,0.00049601-0.00085064i,0.00028057-0.00089521i,-0.00033179-0.00074192i,0.0003848-0.00091293i,0.0011443-0.00029264i,0.00064253+0.00034217i,0.00029694+0.000986i,-7.9139e-05+0.00090218i,-0.00019972+0.00016934i,-0.00031321+4.2423e-06i,-0.00082738-0.00056332i,-0.00078955-0.00073613i,-0.00040813-0.0002579i,-7.6136e-05-0.00036046i
-0.0014967+0.0013287i,5.7845e-05+0.0016103i,0.00096465+0.001051i,0.0010609+0.000731i,0.00089292+0.00026598i,0.00043344-0.00023119i,8.9669e-05-0.00077254i,0.00020904-0.00030079i,-0.00035838+0.00021152i,-0.00074598+5.1876e-05i,-0.00032221-0.00025419i,8.3676e-05-0.00054647i,0.00020506-0.00053904i,0.00039296+0.00028677i,0.00032719+0.00048257i,-0.00015933+4.5579e-05i,-0.0004862-0.00035963i,-0.00039144-0.00092278i,-0.00018205-0.0007872i,0.00021641+6.5695e-05i,0.00023288+0.0008924i,-0.00044491+0.0012113i,-0.00085186+0.00059973i
0.00069021-0.00051948i,0.00022463-0.0012051i,-0.0001105-0.0010438i,0.00051449-0.001249i,0.0010869-0.0012698i,0.0011811-0.00089683i,0.00060059-0.00057503i,0.00088567-0.00033809i,0.0012324-0.00055931i,0.00010054-0.00073991i,-0.00075949+3.5457e-06i,-0.00039961+0.00069695i,0.00033911+0.00058849i,0.00051756-0.00032547i,0.00037425-0.0010241i,0.00032202-0.00042669i,0.00016493+0.00013605i,-1.6704e-06-0.00057253i,-0.00012471-0.0010098i,7.2068e-05-0.00051617i,0.00051377+2.9992e-05i,0.00054966-0.00026701i,0.00042219-0.00025696i
0.00024829+0.00055721i,0.00036559+0.0010571i,-0.00038169+0.0010475i,-0.00066263-0.00021146i,0.00069866-0.0016207i,0.0010836-0.0015248i,0.00018477-0.00061684i,-4.47e-05-0.00016337i,0.00044293+0.0002042i,0.00053863+0.00017652i,-0.00056063+5.6229e-05i,-0.00089914+0.00012091i,-0.0007042+4.5479e-05i,-0.00065096-0.00031377i,0.00016371-0.0002767i,0.0005249+0.00030574i,-7.5633e-05+0.00068046i,0.00039783-0.00012901i,0.00015364-0.00084905i,0.00017847-0.00025875i,0.0010088+0.00028292i,0.00017202+0.00022882i,-0.00069524-0.00010739i
0.00059212+0.00095459i,0.00068968+0.00048417i,0.001157-0.00060431i,0.0011818-0.0018426i,0.00022382-0.0021095i,-0.00066152-0.0010462i,-0.0011729-9.7723e-05i,-0.0010417+0.00088389i,-0.00041891+0.0010881i,-0.00021351+0.00021886i,-0.00049608-0.00026834i,7.5705e-05-5.2537e-05i,0.00041263+0.00053278i,0.00053758+0.00085114i,0.00068471+0.0011801i,0.00090502+0.0010315i,0.0005714+0.00018898i,-5.6914e-05-0.00094949i,-0.00020242-0.001179i,-0.00043556-0.00076379i,8.3594e-05-0.00049915i,0.00030507-0.00057906i,0.00055661-0.0012386i
0.002247+0.00081023i,0.0018154+7.4999e-05i,0.0018336-0.0012011i,0.0020544-0.0011507i,0.0011116-0.0011522i,-0.00015406-0.0015502i,-0.00036885-0.00079292i,-0.00035204+0.00085126i,-0.00017556+0.00096517i,0.00022949-5.6586e-05i,0.00044219-0.00029893i,0.00014306-0.00016873i,-6.2385e-05+0.00024675i,-7.456e-05+0.0002552i,-0.00017614-0.00038115i,0.00039785-0.00032703i,0.00093354-1.3242e-06i,-0.00022711-0.00056683i,-0.00065465-0.00054832i,-0.00070206+0.00070131i,-0.00074152+0.0010759i,-0.00033076+0.0006386i,-7.1778e-05+0.00044252i
0.0035497+0.00026768i,0.0030039+0.00020748i,0.0020926+0.00057209i,0.0015999-0.0001642i,0.0016363-0.0014744i,0.00021438-0.00088886i,-0.0011121+0.00055077i,-0.00091578+0.00012693i,6.9075e-07-0.00063526i,-2.9831e-05-0.00088201i,-0.00040654-0.0012374i,-0.00050164-0.00068408i,-0.00040385+0.0002832i,9.5443e-05+0.00064i,0.00019353+0.00040283i,2.0017e-06-0.00014802i,0.000202-7.3708e-05i,0.00050452+0.00051801i,0.00059899+0.00064379i,0.00083606+0.00044773i,0.00057986+0.00050702i,-0.00018804+0.00029937i,0.00025658+0.0001586i
0.0010464-0.0014855i,0.00069856-0.0017028i,0.00037624-0.0021396i,-0.00039022-0.0025095i,-0.0015492-0.0023395i,-0.0013022-0.0011969i,0.00013155-0.00022369i,0.00029308+0.00039421i,4.7814e-05+0.00083359i,-0.00011715+0.00035148i,-0.00064125-0.00099142i,-0.00063014-0.00074339i,-0.00030553+0.00013943i,0.00046965+0.0004339i,0.00040287+0.00013572i,-0.00012364-0.00017734i,-9.3047e-05+0.0006273i,0.00018487+0.001247i,0.00068306+0.00042101i,0.00014306-0.00085064i,-9.0746e-05-0.00054261i,0.00020651+0.00028259i,0.00050246+0.00020668i
0.00054699-3.1206e-05i,0.0006191+0.0003519i,-3.7304e-05-0.0003775i,-0.0004368-0.00071168i,-0.00060197-0.00065267i,2.5025e-05-0.00029176i,0.0013254+0.00017858i,0.00075052+0.0002317i,0.00032893-0.00033221i,0.00050362-0.00084575i,0.00076076+0.00020522i,-3.3179e-05+0.0012381i,-0.00087303+0.00051472i,-0.00057679-0.00019716i,2.0272e-05+0.00017676i,0.00051432+0.00039109i,0.00022298-3.1878e-05i,0.00065069+0.00035389i,0.00044686+0.00054181i,0.00048733-0.00011387i,0.00092046-0.00040845i,0.00051391-0.0005916i,0.00017409-0.00014012i
0.0022204+0.00032388i,0.0017574-0.00074416i,0.001294-0.002558i,0.00032241-0.0025799i,-0.00071987-0.0013514i,-0.00019754-0.00061633i,0.00027542-0.00027034i,-9.0552e-05-0.00010469i,-0.00067038-0.0003966i,-0.00048031-0.00071431i,-6.0638e-05-0.00072534i,0.0004427-0.00056618i,0.00024159-0.00011832i,-0.00042708-0.00029295i,0.0002726-0.00053689i,0.00033864-0.00054901i,-0.00063114-0.00042975i,-0.00066563-0.00044592i,-0.00030691-0.00070386i,9.23e-05-0.00055518i,0.00079764-0.00085266i,9.3884e-05-0.0010033i,-0.0008472-0.00031261i
-0.00057073+1.2282e-05i,-0.0006187-1.3353e-06i,1.3436e-05-8.0137e-05i,0.00020136+8.7315e-05i,9.613e-05-0.00036062i,-0.00039253-0.00066452i,-0.00054601+0.00015207i,-1.3836e-05+0.00015966i,-0.0001879+0.0002521i,-0.00042471+6.8058e-05i,5.39e-05-0.00046618i,0.00019968-0.00044023i,-0.00049388-0.00042603i,-0.00051813-0.0003069i,-0.00017717-0.00024257i,8.4009e-05+0.00016221i,-0.00026784+0.00032739i,-0.00044697-0.00031618i,0.00030694-0.00041895i,0.00036954+0.00051995i,-0.00054186+0.00045514i,-0.00079186-0.00030809i,-0.00021186-4.3925e-05i
-9.7343e-05+0.002036i,0.00032324+0.0015917i,0.0007867+0.00066387i,0.0014314-0.00046889i,0.0017019-0.00093266i,0.0015401-0.00098194i,0.00077541-0.00031884i,-0.000326+0.00094002i,-0.00089571+0.00084056i,-0.00020134-8.2872e-05i,0.0011262-0.0011013i,0.0015998-0.0019295i,0.00049046-0.0020333i,0.0002599-0.0013855i,0.00081296+0.0003454i,0.00099725+0.0015174i,0.0010151+0.00059483i,0.00017106+2.5971e-05i,0.0003461-0.00037764i,0.00095966-0.00058769i,0.00043521-0.00017643i,0.00010665+5.3207e-05i,-0.00011436+0.00032549i
0.0014327-0.0024581i,0.0013921-0.0029593i,0.0011372-0.0039199i,-0.00036557-0.003935i,-0.0015584-0.0023792i,-0.0018289-0.00092513i,-0.0011812-0.00067498i,-6.9928e-05-0.00038234i,0.0005056+0.00017049i,0.00028463-0.00032534i,-0.00070311-0.00073709i,-0.0008609-0.00051429i,-0.00037085-0.00034539i,-9.4832e-05-0.0001925i,-0.00037357-0.00015905i,-0.00055949-0.00042557i,0.00024712-0.00090346i,0.00053256-0.00083534i,0.00031464-0.00015325i,0.00021607-8.3396e-05i,-0.00011101+0.00013573i,0.00036321+0.0006962i,0.00084896+0.00083116i
0.00037524+0.00079896i,0.00090358+0.0010242i,0.0011288+0.001074i,0.001044+0.0012949i,0.00095297+0.0004665i,0.00033807-0.00026572i,-0.00059085-0.00015987i,-0.00089763+0.00018064i,-0.00036988+7.6478e-05i,-4.9837e-05-0.00043558i,-0.00033748-0.0008531i,-0.00060056-0.00097283i,-0.00051164-0.00088936i,0.00018134-0.00045618i,0.00067198-0.00018503i,0.00030653-7.124e-05i,-0.00010831-0.00060023i,0.0001182-0.00067342i,0.00031211+0.00039182i,0.00015274+0.0011086i,0.00043911+0.00064517i,0.00015388-0.00024272i,-0.00089766-6.5696e-05i
0.00099826-0.00064975i,0.00087857-0.0011112i,-9.4592e-05-0.0010863i,-0.00077776-0.0013683i,-0.00068485-0.0017042i,7.0086e-05-0.0018184i,-3.4016e-05-0.0013446i,-0.00037488-0.00025399i,0.00018874-0.00036972i,0.00039815-0.00091952i,-0.00026739-0.00081116i,-0.00063121-5.1185e-05i,-0.00056857+0.00084213i,-0.00024274+0.00091717i,0.00021929+0.00054743i,-0.00044621+0.00028189i,-0.00066019+0.00042391i,0.00015186+0.00055332i,0.0001613+0.00040603i,0.00041393-5.8882e-05i,0.00059645-0.00057378i,0.00015532-0.00043843i,-0.00045733+6.5962e-05i
-5.4043e-05+0.0025982i,0.00054706+0.0022643i,0.001465+0.0010793i,0.0020715-0.00060548i,0.0018812-0.001663i,0.00042404-0.0011703i,-0.0004607-0.00037918i,-0.00018965+0.00042554i,-0.00022661+0.00064532i,-0.00078351-0.00036077i,-0.0010418-0.0012747i,-0.0013212-0.00058664i,-0.00045033-6.4915e-05i,-4.0582e-05+0.00025487i,0.00011415+0.0011754i,0.00019772+0.00098538i,-0.00013942+0.00026849i,-0.0003906+4.0202e-05i,-0.00071679+5.4784e-05i,-0.00074276+0.00022514i,-0.00015843+5.3258e-05i,0.00030174+0.00038156i,-9.2009e-05+0.00020501i
0.0003767-0.0007624i,0.0001522-0.00024063i,-0.00062506+0.00046735i,1.7269e-05-0.00095357i,0.00082537-0.0027963i,0.00020568-0.0028407i,-0.00091178-0.0014791i,-0.001305-0.0005346i,-0.00027393-0.00036857i,0.00043439-0.00024186i,-0.00044553-0.00013587i,-0.0012535+0.0001349i,-0.0011924+0.00032684i,-0.00035574+0.00017135i,0.0001865-0.00029613i,0.00044605-0.00046831i,0.00095851-0.00040046i,0.0010468-0.00034988i,0.00023768-1.0558e-05i,8.622e-05+0.00024502i,0.00041019+0.00037276i,-0.00046621+0.0001012i,-0.00047262-0.00022449i
-0.00081368+0.00037073i,-0.0018348-9.3359e-05i,-0.0012537-0.0014977i,-0.00015714-0.0018789i,-0.00058343-0.0012024i,-0.0016766-0.00075397i,-0.0012927-0.00075206i,-0.00066991-0.00074726i,-0.00013317-0.00090265i,0.00041451-0.00064496i,0.00028093-3.5503e-05i,0.00035078+0.00048405i,0.00016269+0.0005176i,0.00019057+0.00043388i,-0.00025077+0.00084137i,-0.00065234+0.00056383i,-3.2932e-05-6.4226e-05i,0.00051998+4.1588e-05i,-7.0402e-05+0.00015857i,-0.0010024-0.00024755i,1.7923e-05-0.00019626i,0.00043933-0.00030978i,-0.00019154-0.00033413i
