-0.00076227+0.00078649i,-0.00012531+0.00059062i,-0.00029081+0.00028582i,0.00043293-0.00044882i,0.0024308-0.0012981i,0.0035246-0.0012879i,0.0029533-0.001254i,0.0015277-0.0013729i,0.00039068-0.0019981i,-0.00024974-0.001651i,-0.0010766+0.00052073i,-0.0009552+0.0013877i,-0.00055432+0.00041835i,-0.00010723-0.00028548i,-5.2011e-05-0.00048172i,-0.00053313-0.00043173i,-0.00039838-0.00042158i,-0.00045618-0.00019367i,-0.00031605+4.6631e-05i,-0.00073739-0.00061645i,-0.00081111-0.00053344i,-0.00053321+0.00037061i,-0.00086237-0.00012634i
0.0013362-0.00084635i,0.0020395-0.0006075i,0.0016676-0.00090818i,0.00096779-0.0012037i,0.0011815-0.0011965i,0.0010843-0.001383i,0.0012233-0.00063948i,0.00097611-0.00011876i,0.00088354-0.00061314i,0.0007341-0.001327i,-9.1376e-05-0.0021465i,-5.2276e-05-0.0020923i,0.0006732-0.00034051i,0.00096632+0.00052983i,0.00025342-0.00014522i,0.00027595-0.00028722i,0.00065478+0.00069015i,0.00098543+0.0007802i,0.0010619+0.00027692i,0.0002634-5.9082e-06i,-8.5225e-05-0.00013014i,0.0003984-5.83e-05i,0.00023717-0.00090738i
-0.00066012+0.00052825i,-0.00048474+0.00099445i,0.0012403+0.0014067i,0.0031154+0.00054818i,0.0035523-0.0011145i,0.003177-0.0011993i,0.0022963-0.00035042i,0.0024384+0.00021168i,0.0025117+5.9898e-05i,0.0013896-0.00051778i,0.00099049-0.00037905i,0.00069304-0.00010793i,0.00055001+0.00025748i,0.00068975+7.694e-05i,0.00010321+0.00014974i,0.00063269+0.00092389i,0.00056468+0.00059492i,-0.00011029-0.00024643i,0.00013737-4.4538e-05i,0.00076971+0.00023201i,0.0010831-0.00019613i,0.00093872-0.00032232i,0.00025464-0.00033085i
0.00054782-0.0011854i,0.00080933-0.001828i,0.0011119-0.0018764i,0.0021477-0.0018563i,0.0030588-0.00221i,0.0020958-0.0023744i,0.00098908-0.002132i,0.001103-0.001997i,0.00013799-0.0023851i,-0.0015359-0.0020576i,-0.0019092-0.0010174i,-0.0019204-0.0005831i,-0.0012799-0.00029369i,-0.0006678-0.00035304i,-0.0002916-0.00064819i,-0.00042355-0.00018743i,-0.00037704+0.00047785i,-0.00021924+0.0002048i,0.00049923-0.00065478i,0.0011825-0.00072222i,0.00072056-0.00048253i,0.00016683-0.00084796i,0.00027652-0.0002667i
0.00015621-0.0001254i,0.00014477+0.00016255i,0.00020564+0.00087459i,0.0014039+0.00089114i,0.0021727-0.001107i,0.0017291-0.0013054i,0.0004553-0.0002387i,0.00017305-4.2869e-05i,0.00068516-0.00053535i,0.00075956-0.00020703i,6.9905e-05+0.00055188i,-0.00019332+0.0017005i,-0.00028301+0.0016201i,-0.00026143-0.00023897i,-0.00036031-0.00094911i,-0.00078706-0.00050998i,-0.00089748-0.00045418i,-0.00095344-0.00068551i,-0.00095564-0.00043097i,2.1735e-05+4.9404e-05i,0.00063641+0.00053891i,0.00073965+0.00028702i,0.0010839-0.00019654i
5.0788e-05+0.0020876i,0.00033661+7.8307e-05i,0.0013112-0.00082409i,0.0022237-0.0018631i,0.0034106-0.0032914i,0.0025783-0.0040795i,0.00035452-0.0026576i,-0.00065471-0.00067976i,-0.0005788-0.00053252i,0.00042439-0.00060994i,0.00042148+0.00068349i,-0.00037697+0.0011733i,-0.00092094+0.00051597i,-0.0011433-0.00030029i,-0.00061073-0.00019185i,-0.00046715-6.0359e-05i,-0.00079589-0.00028762i,-0.0011524-0.00033677i,-0.00058662-9.1672e-05i,-0.00025561-0.00024025i,8.3669e-05-3.0072e-05i,0.00089572+6.1618e-05i,0.00065179-0.00039656i
-0.00027737-0.0012499i,0.00024336-0.00081159i,0.00049238-0.00049105i,0.0016482-0.0008153i,0.0022486-0.0011523i,0.0016168-0.0016514i,0.00052961-0.0012114i,0.00037013-0.00043522i,0.00032062-1.3214e-05i,-7.8777e-05+8.6611e-05i,0.00022659+0.00016443i,1.4238e-05+2.4413e-05i,0.00069102-0.0011871i,0.001646-0.0016208i,0.00034386-0.0005302i,-0.00047514+3.1154e-05i,0.00045036-0.00053745i,0.001027-0.00017278i,0.00058292+0.0005256i,0.00019266+0.00044206i,-0.00019544+0.00014937i,-0.00033515+0.00040131i,-0.00027088+0.00027783i
-0.00074904-0.0011473i,-0.0013059-0.0015491i,-0.001144-0.0015309i,5.3646e-05-0.001918i,0.0010746-0.0014807i,0.0017758-0.00068296i,0.0016703-0.00030628i,0.0004632-3.979e-05i,0.00020029-0.00053885i,0.00049811-0.0010123i,0.00038668-0.0016698i,-0.00020645-0.0018067i,-0.00067924-0.00096634i,-0.00026207-0.00066831i,2.3306e-05-0.00012175i,-6.4194e-05+0.00016164i,0.00010841+6.6089e-05i,0.00030282+0.00027782i,0.00045265-0.00013736i,0.00096774-0.00030614i,0.00079681+0.00015713i,0.00012012+0.00032492i,-0.00061466+0.0008774i
0.0008772+0.0007868i,0.00054099+0.00055194i,0.0014479-0.00031456i,0.0022886-0.0017935i,0.0024064-0.0021469i,0.0021172-0.0027226i,0.0017224-0.0018129i,0.0014897-0.00014085i,0.001957-0.00019133i,0.0017996-0.00074865i,0.00060705-0.00099122i,5.8943e-06-0.00073153i,0.00029105-0.00043106i,0.0011854-0.00016899i,0.0010357-6.8762e-05i,1.4761e-05-0.00051554i,-0.00015303-0.0010435i,-0.00037474-0.00064287i,-0.00045979-0.00053137i,-0.00034254-3.0409e-05i,-0.00017899+0.00021296i,7.501e-05-0.00043778i,0.00034765-0.00061716i
0.00090656+0.0014718i,0.00046737+0.0005907i,0.00047036-0.00050142i,0.00095947-0.0015441i,0.0017643-0.0033249i,0.0015244-0.003654i,0.0013647-0.0021417i,0.001363-0.0014164i,0.00059418-0.0014379i,0.00051077-0.00016047i,0.00023937+0.00033727i,-0.00015421+0.00053841i,-0.00028935+0.0013369i,-2.6918e-05+0.00079222i,0.00055218+0.00084266i,-0.0001944+0.0013154i,-0.00073404+0.00011621i,-0.0010747-0.00026836i,-0.0011906+0.00025394i,-0.00037361+0.00025535i,0.0004373+5.3839e-05i,0.0010896-0.00037768i,0.0007241-0.00073006i
0.0027664-0.001463i,0.0029458-0.00057361i,0.0023339-0.0011792i,0.0016855-0.0015468i,0.0014563-0.0017472i,0.00059659-0.0011068i,0.00039352-0.00026968i,0.00017496-0.0004376i,-0.00010028-0.00068644i,8.0592e-05-1.2157e-05i,0.00024088+0.00031403i,0.00082445+0.00026938i,0.0007851+0.00082549i,0.00020145+0.00065391i,0.0003029-9.2267e-06i,0.00021103+0.00046017i,-0.00025555+0.001001i,-0.00047167+0.0011721i,6.2705e-05+0.00033725i,0.00035021-8.2196e-05i,-0.00035631-3.4684e-05i,0.00014124+0.00023777i,0.00050693+0.00066788i
-0.0015487-0.0011907i,-0.0011524-0.00077913i,-0.00041321-0.00069644i,0.00029997-0.0012513i,0.0017253-0.00098388i,0.002238-0.00075608i,0.0015064-0.0012244i,0.0010813-0.0013084i,0.00070824-0.0014761i,-2.9742e-05-0.001405i,8.1476e-05-0.00095399i,0.00087003-0.00039648i,0.00034586-0.00056869i,0.00026557-0.00077937i,0.00062145-0.00060736i,0.00040159-0.00075363i,4.6671e-05-0.00092891i,0.00032982-0.00029926i,0.00015901+0.00061972i,-0.00027393+0.0007105i,-0.00017643+0.00020414i,0.00042317+0.00022118i,0.00013399+0.00022503i
0.00063502+0.00073067i,0.00056589+0.00023317i,0.0015219-0.00051366i,0.0031174-0.0021195i,0.0036264-0.0030078i,0.0023943-0.0021931i,0.0012747-0.00028938i,0.0014141+0.00075175i,0.00080929+0.00052872i,0.0006922+0.00012085i,0.00023604-0.00034802i,-0.00030158-0.00059522i,0.00021025-0.00043945i,0.00040222+0.00011043i,9.6799e-05+0.00026639i,0.00019387-0.00013095i,0.0010227+0.00020263i,0.00080387+0.00095501i,-4.104e-05+0.00044042i,-0.00078161+2.063e-05i,-0.0010068+0.00037843i,-0.00073802-5.5684e-05i,-0.00048248-0.00086801i
5.1312e-05-0.00017966i,0.0002044-0.00085771i,0.0006188-0.00095689i,0.0011053-0.0014968i,0.0019054-0.0016439i,0.0030629-0.0012364i,0.003413-0.00041704i,0.0027903+0.0009063i,0.0021504+0.00085717i,0.00085365-3.599e-05i,-0.00071494-0.00045654i,-0.00094761-0.00074436i,-0.00042095-0.00078714i,0.00028027-0.00041719i,0.00056862-0.00053558i,0.00034473-0.00085411i,0.00010625-0.00067709i,0.00046179-0.00013941i,0.0013086-0.00041606i,0.0011743-0.00030794i,0.00097819-6.1742e-05i,0.00073414+0.00044327i,8.2466e-05+0.0011242i
0.0011082-0.00028023i,0.0011116-0.00025292i,0.00090101-0.0018649i,0.0021841-0.0034062i,0.003254-0.0040753i,0.0029156-0.0040267i,0.0032065-0.0023503i,0.0026528-0.0011761i,0.00083482-0.0012539i,0.0004354-0.0015307i,-0.00044395-0.00034062i,-0.0016242+0.00091042i,-0.0015335+0.00066082i,-0.0011203+0.00027277i,-0.00068625+7.4106e-05i,-0.0002914+0.00012506i,-0.00031512-0.00020011i,-0.00015698-0.0011992i,0.0003512-0.0017063i,0.00049976-0.00082258i,0.0002435-0.00023116i,0.00047022+0.00021764i,0.00066676+0.00043087i
0.00016768+0.0010366i,0.00023793+0.00081349i,0.00048888-0.0010527i,0.0013192-0.0021642i,0.0019073-0.0031406i,0.0014292-0.0029981i,-9.2715e-05-0.0017985i,-0.00075043-0.0022755i,0.0004964-0.0028526i,0.00071387-0.0020077i,0.00027586-0.0004588i,-7.9033e-05-4.2629e-07i,0.00025326+0.00030084i,0.00075193+0.00077442i,0.00054523+0.00025818i,-0.00043859-0.00042771i,-0.0020308+4.2478e-05i,-0.0013564+0.00050939i,-0.00048687-5.1532e-05i,-0.00054474-0.00043923i,-0.00068459-7.6163e-05i,-0.00046384-0.00021933i,0.00062775-0.00067704i
