0.0023603+0.00020516i,0.0024871-0.0015475i,0.0016996-0.001781i,4.9086e-06-0.00092663i,-0.001197+0.00051876i,-0.0009441+0.0023581i,-0.00060862+0.0029217i,-0.00079698+0.0018891i,-2.9442e-05+0.0015069i,0.0012088+0.0010789i,0.00054595+0.00029708i,-0.00013136+7.7856e-05i,-0.00013438+0.00018836i,-0.00028682+0.0013167i,-6.6226e-06+0.0015417i,0.00034269+0.00046419i,0.00028055-0.00018658i,0.00063066-1.8989e-05i,0.00097349-5.3748e-05i,0.00074966+0.0001384i,0.00044123+0.00014507i,0.00013672+2.7659e-05i,3.8297e-05-6.3083e-05i
-0.00046037+0.00080637i,-0.0012308-0.00027505i,-0.0011301-0.00027681i,-0.00095152-0.00013086i,0.00015512-0.00071667i,0.0012489-6.1829e-05i,4.2096e-05+0.00023193i,-0.0011181-0.00059099i,-0.00098656-0.00067641i,-0.00052471-0.00021201i,-0.00032142-8.7787e-05i,-0.00025471-0.00098801i,2.8049e-05-0.0014004i,-3.0484e-05-0.0010085i,-0.00031633-0.00032427i,-0.00017315+0.00044192i,0.0001725+0.00055102i,0.00023119+0.00020454i,-0.00041417-3.4581e-06i,-0.0008459+7.8556e-05i,-0.0007434-0.0001047i,-0.00040789-0.00064834i,-9.8211e-05-0.00034586i
0.00031578-0.00098811i,0.00043596-0.00053082i,0.0013778-0.00018371i,0.0015306-6.3843e-05i,0.00057714+0.00041946i,0.00044702+0.0008375i,0.0005634+0.0011181i,0.0002786+0.0011806i,1.1809e-05+0.00082893i,-4.8365e-05+0.00049135i,0.0001985+0.00069059i,-0.00035322-0.00010108i,-0.00039429-0.00010199i,-2.6524e-05+0.001011i,-7.7529e-05+0.00064416i,-0.00035857+0.00056036i,0.0001998+0.00043817i,0.00020245+0.00025449i,-0.00027834-0.00059258i,-8.0479e-05-0.00095571i,-0.00014187-0.00025813i,-0.0002927+0.00047699i,3.0464e-06+0.00033843i
-0.00035105-0.0017281i,-0.00078403-0.0023409i,-0.0013174-0.0011321i,-0.0011714-0.00073391i,-0.00045007-0.00073631i,-0.00035189+0.00029553i,-9.9867e-05+0.00053355i,0.00037915+0.00029503i,0.00057819-0.00011975i,0.00059605-0.00017016i,0.00022951+0.00062647i,0.00033535+0.00013841i,0.00057647-0.0001919i,-6.0461e-06-1.5397e-05i,-0.00057984-0.0006174i,0.00013099-0.0005013i,-0.00010612-0.00030618i,-0.0009245-0.00050274i,-0.00036683-0.00060324i,0.00063406-0.00019463i,-7.0256e-05+0.0001083i,-0.00081154+0.0003602i,-0.00027298-0.00012314i
0.00089621-0.0017847i,0.0015737-0.00082084i,0.00076381-0.0007365i,-0.00013477-0.0010323i,-0.00062503-0.0015371i,-0.00024812-0.0014061i,0.00050691-0.00045404i,0.00020895+0.00021688i,5.349e-05+0.00049843i,0.00016223+0.00041765i,-0.00018417+2.5242e-05i,-0.00047427+0.00082462i,0.00035708+0.00099555i,0.00070289+0.00054113i,-0.00029479+0.0005259i,-0.00080333+0.00054219i,-0.0008768-0.00037902i,-0.00065035-0.00045495i,-0.0003698+5.2876e-05i,-0.00040119-0.00015305i,-0.00044043-0.00026947i,-0.00080259-0.001017i,-0.00058732-0.00054966i
0.00017838-0.00074415i,5.2614e-05-0.0023568i,0.00070142-0.0026198i,0.00049267-0.001311i,-9.4527e-06+8.4984e-05i,0.00031896+0.00049893i,0.00031286+0.00075801i,-4.0489e-05+0.0013739i,-0.00065517+0.0016583i,-0.00052053+0.0010668i,-0.00048856-0.00020973i,-0.0008068-0.00069825i,-0.00076291+0.00047817i,-0.00093777+0.00080916i,-0.00066193+0.00052331i,-0.00011578+0.00026583i,0.00013787+0.0003976i,-0.00045644+0.00029631i,3.4797e-05-0.00011617i,0.00076147+0.00032202i,-0.0002951+0.00078155i,-0.0009936-5.0272e-05i,-0.00061334-0.00087952i
0.0017575+0.00098567i,0.0012557+0.0016038i,0.0013166+0.00039663i,-0.00020791-0.00014115i,-0.0013525+0.0003205i,-0.0005031+0.0012335i,0.00016381+0.0017802i,9.1499e-05+0.0011539i,6.1559e-05+0.00050263i,-0.00021565+0.00067746i,-0.00066449+0.00045582i,-0.00053941+0.00025962i,0.00022276+0.00088178i,0.00076225+0.0004818i,0.00075648-0.00013909i,0.00030507+5.6921e-06i,0.00035986-0.0011115i,0.00092502-0.0014376i,0.00095482-0.00018836i,0.00098802+0.00057133i,0.00030227+0.00042611i,-0.00084575+0.00065375i,-0.00022264+0.00033365i
-0.00093552-0.0011318i,-0.0014196-0.00015168i,-0.0015933-9.489e-05i,-0.0017005-0.00073114i,-0.00023845-0.0008871i,0.00051646-0.00025782i,0.00017846+0.00020956i,0.0002939+0.00053318i,-5.8408e-05+0.0005263i,-1.8531e-05-0.00015105i,0.00017887-0.00036238i,-5.1207e-05-0.00038011i,-1.6864e-05-0.00033639i,0.00016511-0.00026154i,-0.0002794-2.654e-05i,-0.00051759-0.00019416i,-0.0001984-0.00058778i,0.0006063-0.00021757i,0.00081196-0.00027568i,0.00023298+6.6912e-05i,-0.00013471+0.00088206i,-1.003e-06+0.00011854i,0.00022506-0.00025259i
-0.00046715+0.002015i,-0.00026819+0.0011535i,0.00059194+0.0004155i,0.0016644-0.00037922i,0.0012872-0.001107i,-9.6873e-05-0.00080867i,-0.00023749+7.4384e-05i,0.00041207+0.00054885i,0.0009728+0.00032889i,0.00059514+0.00052905i,-0.00023445+0.0006544i,-0.00043717-0.00021477i,-0.00044329-0.0013145i,-0.00052323-0.0010008i,-0.0004691-7.7751e-05i,9.2519e-05+0.00011812i,-0.00033583+8.0595e-05i,-0.00027189+7.8671e-05i,0.00029029+0.00074012i,0.00056573+0.0010068i,0.00084917+0.00059895i,-0.00014276+0.00046618i,-0.00079892+0.00011013i
0.00071156-0.0016432i,0.00095703-0.0032823i,0.00090842-0.0024124i,-6.3376e-05-0.0015307i,-0.00016673-0.0011515i,-0.00031281-0.00058556i,-0.0010253-8.0663e-05i,-0.001191+0.00020822i,-0.00039742+2.2329e-05i,-8.6723e-05+0.00033779i,-0.00016225+0.00074943i,-0.0002223+0.00097635i,-0.00030971+0.0008523i,-0.00012385+0.00027691i,0.00014427-9.3968e-05i,0.00064141+0.00015421i,0.00056298+0.00013244i,0.00032415+9.4415e-06i,0.00078461-0.00042265i,0.00068996-0.0006535i,0.00030416-0.00059938i,0.00064521-0.00043307i,0.0005603-0.00020081i
7.9766e-05+0.00025981i,0.00076519+0.0016246i,0.00078199+0.0011738i,0.0010213+0.00082273i,0.0013024+0.00161i,0.0014508+0.0012112i,0.00098428+0.00059325i,-0.00011645+0.00017345i,-0.00083791+0.00021455i,-0.0010715+0.00084415i,-0.00043081+0.00073073i,-0.00014862+0.00035723i,-0.00039718+0.00043218i,-0.00023461+0.00092656i,0.00045634+0.00043927i,0.00061359-0.00010979i,0.00017215+7.6544e-05i,0.0003888-0.00016042i,0.00046253-0.00032988i,-0.0003991+0.00030551i,-0.0007002+0.0011079i,-0.00091242+0.0012268i,-0.0011596+0.00065849i
0.001048-0.00041619i,0.00084797-0.00098585i,8.7724e-07-0.0012232i,-0.00022377-0.0011297i,0.00040531-0.00068783i,0.00091203-0.00032564i,0.00052047+5.0422e-05i,4.9959e-05+0.0002733i,-0.00015455-0.00027994i,-0.00030859-0.00031373i,0.00028444-0.00028499i,0.0013157-0.00035736i,0.00075036+1.3271e-05i,2.3819e-05+0.00014949i,0.00054483+0.00045124i,0.00050775+0.00068563i,-0.00022684-0.00041938i,0.0001883-0.001032i,0.00016293-0.00080832i,-0.00027865-0.00035532i,0.00014913-0.00033666i,0.0003595-0.00010807i,-0.00020999+0.00036343i
-0.0014088+0.001991i,-0.0010262+0.0028012i,-0.00048236+0.0027316i,0.00011562+0.0008899i,3.1938e-05-0.0004504i,0.00075019-0.00029007i,0.00014754-0.00062165i,-0.00058567-0.00035924i,-0.00038381+0.00050848i,0.00030644+3.6872e-05i,0.0012883-0.00034308i,0.00094932-0.00074407i,0.00026208-0.0010749i,-0.00017072-0.0011468i,-0.00049304-0.0010604i,-0.00091007-0.00079506i,-0.0006712-0.00057733i,-0.00012022-0.00058583i,0.00065687-0.00060226i,0.00096804+0.000283i,0.00062914+0.0010761i,0.0002075+0.00091081i,-0.00089656+0.00071505i
-0.00058279-0.0017787i,0.00027458-0.0010767i,6.6887e-05-0.00049779i,-0.0002351+0.00049047i,-6.4091e-06+0.0016102i,-9.8722e-05+0.00070817i,-0.00041904-0.00076498i,-0.0011561-0.0011323i,-0.00084981-0.00079935i,0.00010158+4.4762e-05i,0.0007109+0.00014226i,0.00063083-0.00021547i,0.00022104-0.00015874i,0.00036529-0.00026255i,0.0009642-0.00037407i,0.00042786-0.0001845i,-0.00023526+0.00032904i,-1.103e-05-3.3994e-05i,7.2763e-05-0.00076296i,0.00029352-0.00038975i,0.00074679+0.00035461i,0.00053368-0.00047324i,0.0003681-0.00098931i
0.00080017+0.0015797i,0.0010062+0.0013469i,0.0020882+0.0014895i,0.001869+0.00035485i,0.0011043-0.0010169i,0.00025141-0.0011343i,-0.0011658-0.00047522i,-0.0017374+0.00030404i,-0.0011759+0.00049628i,5.9114e-05+0.00036104i,0.00091349-5.1844e-06i,0.00085117-0.0010009i,0.0006676-0.0008778i,0.00017277-0.00029952i,-0.0005038-9.8813e-05i,-0.0005603+0.0004394i,-0.00063319+0.00078053i,-0.00091155+0.00045416i,-0.00069933+9.7422e-05i,-0.00036115+0.00038945i,9.5163e-05+0.0012003i,0.00071603+0.001059i,0.00069031+3.8965e-05i
-0.00093569+0.0015718i,0.00043585+0.00091068i,0.0011751+0.00027202i,0.00077321+0.00033048i,-7.7373e-05+0.00070134i,1.2761e-06+0.00046907i,0.00087999-9.4355e-05i,0.00062228-0.0001836i,-0.00019136+0.0002402i,0.00031545+0.00081844i,0.00038578+0.0019206i,-0.00039501+0.0012369i,-0.00045291+0.0003523i,-0.00057894+0.00018177i,-0.00094734-0.00014247i,-0.00076603-0.00020219i,-0.00093625+0.00038084i,-0.00036379+0.00047677i,-0.00014848-0.00024427i,-0.00070488-0.00010098i,-0.00042409+0.00012292i,-1.1941e-05-4.4641e-05i,0.00011417+0.00045916i
0.00026408-0.0004723i,-0.00048342+6.5529e-05i,-0.00063533+0.00072964i,-0.00090217+0.00043188i,-0.00084476-0.00023015i,-0.00083333-0.00071367i,-0.00071576-0.00067937i,-4.1618e-05+0.00045329i,0.00030814+0.0013673i,-5.9275e-05+0.0002913i,-0.00055088-0.00034056i,-0.00055317+0.00055485i,-0.00079773+0.001032i,-0.0014064+0.00054876i,-0.00088107+0.0001763i,-0.00044157-0.00026679i,-0.00027647-0.00073087i,-7.5295e-05-0.00018478i,0.00070396-0.0001798i,0.00098176+0.00018902i,0.0001867+0.00092024i,-0.00051402+0.00082459i,-0.00090339+0.00048686i
-0.0017456-0.00018081i,-0.0010576-0.00067383i,-0.00051925-0.0012257i,-0.00092605-0.00059428i,-0.00032174+0.00013325i,0.00096976-0.00020041i,0.0003917+0.00019487i,-0.00068074+0.00043529i,-0.0011031+0.00034247i,-0.0005927-7.0073e-05i,-4.4134e-05-0.00080982i,0.00011151-0.0010326i,-3.4308e-05-0.0009087i,-0.00098139-0.00030371i,-0.0011739+0.00019703i,0.00014204-0.00033091i,0.00055182-0.00026791i,-0.00034693+0.00021277i,-0.00031006+2.6975e-05i,9.6047e-05-7.9055e-05i,-0.00056178+0.00013354i,-0.00081871+0.00029276i,-0.00039171+0.000113i
0.00010956-0.00020833i,-0.00028247-0.00039453i,-5.3419e-05-0.00064277i,0.0011184-0.00059039i,0.0015233-0.00027683i,0.0008985+6.9857e-05i,2.0296e-05+0.00050691i,-0.00038881+0.00099493i,-8.9035e-06+0.0009566i,0.00066506+0.00081604i,0.00038676+0.00081761i,4.3201e-05+0.00037566i,-1.4287e-05+0.00024157i,0.00053465+0.00027432i,0.0011827-4.283e-05i,0.00060619-0.00046368i,0.00099268-0.00045825i,0.00073204-7.9022e-06i,-0.00041967+0.00082775i,-0.00060756+0.0011985i,1.1924e-06+0.0006574i,3.3946e-05+6.548e-06i,-0.00029225+0.00040219i
0.00041436-0.00025659i,-5.5638e-05-0.00084471i,-0.00038135-0.0013329i,-0.0015286-0.0012052i,-0.0012971-0.00048122i,-0.00060359+0.00057221i,-0.00015638+6.0614e-05i,0.00010449-0.00070356i,-0.00013728-0.00074578i,-0.00042238-0.00028726i,0.00018239+0.00042804i,0.00042376+4.787e-05i,0.00021833-0.00019272i,0.00040449-7.0093e-05i,-5.6881e-05-9.2913e-05i,-0.00022574-0.00010914i,-0.00017147-0.00027851i,-0.00067047-0.00020941i,0.00032051+0.00028591i,0.0013556+0.0003399i,0.00057213+5.0324e-05i,-0.00034291-0.00037781i,-0.00057091-9.7524e-06i
-0.00015437-0.00053532i,0.00072045-0.0002111i,0.001018+0.00074869i,0.0011327+0.00020502i,0.0010199-0.00030665i,0.00073047-0.00046603i,0.00033533-0.0006837i,-0.00049791-0.00015571i,-0.0010539+1.766e-05i,-0.00083844-0.00017943i,-0.00049943-0.00091947i,0.00019868-0.0011361i,0.00022356-0.00059524i,-0.00034117-0.0010381i,0.00021386-0.0013603i,0.00069452-0.00030712i,0.0006468+0.00043408i,0.00051848-0.00034666i,0.00070879-0.00065348i,9.2509e-05+0.0004939i,-0.00053447+0.0012834i,-0.00038198+0.0011817i,0.00011361+0.00045296i
-0.00083576-0.00064136i,-0.00039666-0.00040485i,-0.00021122-0.00045378i,-0.0006907-0.00028028i,-0.00064291+0.00030413i,-0.000144+7.5146e-05i,0.00027523-0.00012127i,0.00046481+0.00058701i,6.3375e-05+0.00049395i,-7.9555e-05+0.00051662i,0.00089049+0.00089384i,0.0010227+0.00035902i,0.00066818-0.00045325i,0.0011724-0.00019672i,0.00062591+3.6646e-05i,-0.00015658-0.00025507i,-0.00019468-0.00013689i,-0.00014547+0.00015004i,-1.1341e-05+0.00018598i,0.00030919+0.00080399i,0.00065429+0.00063814i,0.00020192+6.6697e-06i,-0.00030828+0.00020983i
-9.4691e-05+0.002393i,-0.00073845+0.0023887i,-0.0012338+0.0014447i,-0.00038353+0.00076358i,0.0011594+3.3243e-05i,0.0017152-0.00042095i,0.00084951-0.00028006i,0.0004812-0.00047959i,-0.00038757-0.0003551i,-0.00048859+0.00031674i,2.4656e-05+0.00021657i,-3.9812e-05-0.00033387i,-0.00010003-0.00046102i,0.00029695-0.00056331i,0.00041115-0.00074911i,-8.317e-06-0.0007199i,0.0001018+0.000221i,0.00027688+0.00091651i,0.00043901+0.0010235i,0.00023694+0.00086755i,-0.00030963+0.0003299i,-0.00083626+0.00013428i,-0.00067862+0.00012067i
-0.0023327+0.0021238i,-0.0013757+0.0022802i,0.001295+0.0018816i,0.0023565+0.00057762i,0.0013915-0.00068037i,0.00022216-0.00080415i,-0.0003357-0.0004469i,-0.0001555+0.00011745i,-3.3918e-05+0.00085453i,0.00033677-5.334e-05i,0.0011329-0.0011059i,0.0011108-0.0013812i,0.0004951-0.0015678i,-0.00033585-0.0014122i,-3.0935e-05-0.00091252i,0.00050536-0.00051215i,-0.00044103-0.0012393i,-0.00056689-0.00097235i,-0.00042324-6.1785e-05i,-0.00073583+0.00035343i,-0.00051855+0.00075197i,4.0651e-05+0.00029306i,0.00069421-0.00086573i
-0.00096459+0.00015539i,-0.0014757-0.00072703i,-0.0013124-0.0012782i,-0.00046303+3.3312e-05i,-0.00039006+0.00015777i,-0.0010083+0.00043276i,-0.00073211+0.0010086i,0.00045032+0.00046326i,0.00044035-0.00012761i,-0.0003446-0.00014104i,-0.00020414+5.3221e-05i,0.0001092-0.00036032i,0.00033615-0.00098293i,0.00017835-0.00098181i,-0.00018067-2.6109e-05i,-0.00015057+0.00012591i,-0.00030113-3.3532e-05i,-0.00010537-0.00034232i,-2.0869e-05-0.00088615i,-0.00025688-0.0002244i,8.1926e-05-0.0001628i,0.00034967-0.00069995i,0.00029406-0.00037849i
-0.00056738-0.0015098i,5.1357e-06-0.0017011i,0.00013729-0.0008539i,0.00030901+0.00040909i,0.00034324+0.00032268i,0.00070174-0.00015027i,0.0007945+0.00070541i,0.00021858+0.00082569i,-0.00035898-0.00014375i,-7.7505e-05-0.00032466i,0.00068065+0.00079733i,0.00082113+0.0013167i,0.00088194+0.00036922i,0.0007202-0.00021138i,0.00040855-0.00029567i,-0.00046208-0.00081575i,-0.00077651-0.00085626i,0.00018527-0.00036966i,0.00041246-0.00084051i,0.00068759-0.00108i,0.00011886-0.00073763i,-0.001416-0.00037314i,-0.0015295-0.00019352i
-4.1258e-05+0.00067979i,0.001082-0.00055786i,0.0016118-0.00032024i,0.0015674-0.0003714i,0.001315-0.00033181i,0.0009702+0.00052845i,0.00054662+0.00092775i,0.00028749+0.00027473i,-4.914e-06+0.00011798i,0.00047456+0.00060721i,0.00048011+0.00011723i,-8.5102e-05+0.00014895i,-0.00031096-0.00026459i,-0.00025137-0.0011218i,3.8457e-06-0.00065823i,-0.00037549+0.00015579i,-0.00085965+0.000303i,-0.00013368-0.00062982i,0.00018931-0.00089072i,-0.0005174-0.00031087i,-0.00042512+0.00014049i,0.00069819+0.00016578i,0.00031266+0.00023006i
-0.00064573+0.00013476i,-0.0015919+0.00078719i,-0.0016092+0.00027847i,-0.0015482-0.00036002i,-0.0013648-0.0006843i,-0.00027603-0.0004901i,0.00084098+0.0003822i,0.00070664+0.00023715i,0.00020421-0.00038344i,-6.0007e-05-0.00059279i,-0.00023843-0.00048598i,0.0001324-0.00013932i,0.00065875+0.00026231i,0.0007702+4.9148e-05i,0.00064286+2.6275e-05i,0.00027239-0.00015196i,0.00045821-0.00077818i,0.00067229-0.00078275i,0.00082293-0.00065262i,0.00024541-0.00040794i,-0.00049966-0.00054938i,-0.0002052-0.00065786i,-0.00032549-0.00038127i
-0.0018887-0.0011176i,-0.0013037-0.0012819i,-0.00069981-0.0013043i,-0.00041106-0.001127i,-0.00017157-0.00051843i,-4.8571e-05-0.00065915i,-6.0821e-05-0.001037i,-0.00016526-0.00099977i,-0.00023184-0.00014016i,-6.7287e-05+0.00018058i,-0.00020414+0.00055058i,0.00022412+0.00074757i,0.00095659+0.00024164i,0.00087051-0.00027563i,0.0010146-0.00066542i,0.00064435-0.00022899i,-0.00013458+0.00031384i,-0.00049561+0.00094977i,-0.00056896+0.00079774i,-0.00059881-0.0004729i,-0.0011073-0.001116i,-0.0013978-0.00037545i,-0.00081482+0.00040114i
-3.5976e-05-0.00035925i,-0.0011381-0.00010305i,-0.00099259+0.00039653i,-0.00083746+0.0015747i,-0.00080745+0.0015771i,-9.331e-06+0.00077102i,0.00052602-3.5709e-05i,-0.00025357-0.00026488i,-0.00040063-2.2521e-05i,0.00041852+0.00048108i,0.00025949+0.00066603i,0.00012298+0.00032905i,0.00022702-4.6219e-05i,-0.00049669-0.00055201i,-0.00050291-0.00041432i,0.00020241+9.9524e-05i,-0.00031062+8.7345e-05i,-0.00023657-0.00010518i,0.00021015+0.00019852i,1.0456e-05-4.1526e-05i,-0.0004285-0.00030058i,-0.0006252-5.8563e-05i,-0.00054309+0.00046934i
0.0008973+0.00096849i,0.001501+0.00033488i,0.0015421+0.00025302i,0.0013557-0.00022723i,0.0016477-0.00038859i,0.0010865-0.00018406i,0.00053586-0.00066061i,0.00044313-0.00070771i,0.00058263+0.00054055i,5.2886e-06+0.0014621i,-0.00060249+0.0012799i,-0.00080702+0.00042961i,-0.0010872-0.00011118i,-0.00058912-0.00017045i,0.00022477-4.7136e-05i,0.00067851-0.00032812i,0.00041909-0.00034048i,-0.00016314-0.0004737i,1.8883e-05+3.5498e-07i,-0.00069857+0.0011784i,-0.0012426+0.0010136i,-0.00087162+6.0489e-05i,-0.00054349-0.00036382i
0.002545-0.00011635i,0.0018002-8.6514e-05i,0.0011001-0.00099213i,-0.00034588-0.0020168i,-0.0011856-0.0017161i,-0.00080218-0.00029774i,-3.8515e-05+0.00095639i,0.00024417+0.00052961i,-0.00024847-0.00013505i,-0.00040204+0.00011681i,-0.00023512+5.5635e-05i,-0.00028441+0.0001487i,-0.00042406+0.00092614i,-0.00062674+0.0007552i,-0.00081926+0.00091598i,-0.00065265+0.0011844i,5.3981e-05+0.00013012i,0.00052895-5.0481e-05i,-0.00037309+0.00068169i,-0.00074603+0.00032625i,-0.0001865-0.00021327i,-0.00037118-0.00029424i,-0.0007702-0.0011402i
