-0.0030849-0.00039319i,-0.0028007+0.0013138i,-0.0031572+0.0023121i,-0.0026353+0.0023934i,-0.00046298+0.0024182i,0.00042377+0.0023939i,9.4292e-05+0.0016738i,0.00091493+0.00098372i,0.00155+0.0014944i,0.0018496+0.00167i,0.0017317+0.00036501i,0.001111-0.0011663i,0.00015752-0.0014151i,-0.00028531-0.00079207i,-0.00024876-0.00016944i,-2.6143e-05+0.00051075i,0.00054672+0.0007502i,0.00056412+0.00045573i,0.00075597+6.295e-05i,0.0011004-0.00017817i,0.0011572-0.00023689i,0.00063116-0.00039573i,-3.2486e-05-0.00022777i
0.0020029+0.0007672i,0.0034776+0.0010674i,0.0035712+0.0011275i,0.0023191+0.00051348i,0.00094052-0.00029503i,0.00023868-0.00091291i,0.00042074-0.0012484i,0.00075452-0.0010798i,0.0006719-0.00068686i,0.00043452-0.00048419i,0.00069297-0.00052649i,0.0012169-0.00087615i,0.00027849-0.00031341i,-0.0005841+0.00033206i,-5.7082e-05+0.00064682i,-0.0008153+0.0010265i,-0.0016995+0.00043759i,-0.00075732-0.00026808i,3.9498e-05+6.6751e-05i,1.8673e-05+0.00048028i,3.4275e-05+0.00061016i,-8.7643e-05+0.00025792i,-0.00017714+0.00033188i
-3.8381e-05+0.0013901i,0.00011338+0.00083407i,0.000458-5.1833e-05i,-8.1496e-05-0.00036214i,-0.00026186-0.00032719i,0.00041646-9.5361e-05i,0.00064066+0.00046775i,0.00029346-7.9586e-05i,-0.00035243-0.00078902i,-0.00073788+3.8477e-05i,-4.6948e-05-0.00036402i,0.00035166-0.00082407i,5.5203e-05-0.00033693i,-0.00038257-0.00027758i,-0.0003362-0.00032129i,0.00020458-0.00040845i,-3.1933e-05-0.00057475i,-0.00017692+0.00011995i,0.00057326+0.00018796i,0.00087418+0.00027835i,0.00091641+0.00081675i,0.0016303+0.0010603i,0.0010672+0.0013332i
-0.00176-0.0014924i,-0.0030052-0.0025818i,-0.0036214-0.0017734i,-0.0026395-0.0011593i,-0.00098671-0.0014635i,-0.00014192-0.00094257i,-6.6243e-05-0.00065359i,0.00054897-0.0010695i,0.0004602-0.0015862i,-4.3096e-05-0.0010581i,0.00058621-0.0003839i,0.00057976-0.00042611i,0.00026428-0.00055055i,0.00064681-0.00031137i,0.0006647+0.00016203i,0.00044153+0.00027123i,0.00032385+0.00021656i,-6.5353e-06+3.6561e-05i,-0.00030161+0.00038341i,-0.0011562+0.00069577i,-0.00080057+0.00041953i,-0.00037398+0.00037548i,-0.00094947+0.00046154i
-7.8993e-06+0.00053164i,0.00015012+0.0019466i,0.00021284+0.0021856i,0.00056292+0.0016207i,6.4318e-05+0.00097557i,-0.00014083-0.00034705i,0.00095726-0.0011967i,0.0013607-0.0016232i,0.0003882-0.0012198i,0.00040099-0.00081522i,0.001007-0.00071797i,0.00095262-0.00036748i,3.4956e-06-0.00029598i,-0.00042901-2.3884e-06i,-0.00015256-3.8753e-05i,9.2743e-06+6.0836e-05i,-0.000213+0.0005002i,-0.0004438+0.0010201i,-0.00046818+0.00096874i,-0.00067625+0.00042402i,-0.00068679+0.00085448i,-0.00041184+0.00061014i,-0.00023094+7.3582e-05i
5.8377e-05+0.0013263i,8.6446e-05+0.00071257i,0.00032339-0.00054203i,0.00099895-0.0018221i,0.0012966-0.0014901i,0.00083286-0.0012575i,0.00041548-0.0017397i,0.00081513-0.0017269i,0.0014757-0.0010719i,0.0010425-0.00066176i,0.00062681-0.00071133i,0.00016787-0.00093502i,-0.00026498-0.00081227i,5.4302e-05-0.00032738i,0.00013358-0.00031043i,0.00029101-0.00036435i,-0.00011355+0.0002118i,-0.00032058-6.974e-05i,0.00012473-0.00053009i,0.00049715-8.4208e-05i,0.00083939+0.00041373i,0.0010064+0.00041303i,0.0011295+0.00022985i
0.00029435-0.00035343i,0.00095421+0.00043716i,0.0014066+0.00048654i,0.00072618+0.00082601i,-0.00015683+0.00058924i,-0.00025457-0.00027625i,9.9955e-05-0.00091338i,0.00051516-0.0011632i,0.00066852-0.00059865i,0.00035132+1.2853e-05i,-0.00037416+0.00037645i,-0.00063392+0.00072089i,0.0005711+0.00058954i,0.00079543-0.00058143i,0.00037411-0.0013208i,1.39e-05-7.8295e-05i,-0.00034752+0.00076872i,2.8948e-05+0.00074033i,-0.00017479+0.00088673i,-0.0005881+0.00073032i,0.00029183+0.00067258i,0.00052558+0.00090377i,-0.00016805+0.00092686i
0.0014216-0.0010833i,0.00083661-0.0018006i,0.00028721-0.002281i,-0.00082266-0.001038i,-0.0012887-0.00085673i,-0.00054279-0.00024923i,-0.0001375+0.00092167i,2.5693e-05-4.4872e-05i,-8.4872e-05-0.001058i,-0.00015976-0.0003193i,6.3039e-05+0.00013755i,-0.00069839+0.0004301i,-0.0013348+0.00090968i,-0.00059135+0.00061904i,4.8544e-05+3.8772e-05i,0.00033135-0.00064114i,-9.2559e-06-0.0003631i,-0.00062649+0.00027565i,-0.00069033+0.00057987i,-0.00069411+0.00065186i,-0.00037363+0.00068637i,0.00016532+0.00067174i,0.00055473+0.00068401i
0.0021163+0.00026123i,0.001926-0.0019322i,0.0019957-0.002715i,0.0018047-0.0015995i,0.00033832-0.00086291i,-0.00043244-0.0013324i,0.00020944-0.0017184i,0.001143-0.001673i,0.0010777-0.0020446i,0.00015506-0.0016218i,9.1023e-05-0.00089835i,1.3136e-05-0.0011387i,3.2981e-05-0.0005271i,7.8995e-05+0.00079724i,0.00011923+0.0010061i,0.00087698+0.000374i,0.00087738+0.00068888i,0.0002366+0.0011402i,-0.00024538+6.9214e-05i,-0.00056577+0.00045665i,-0.00042256+0.00090484i,0.00039177+0.00026524i,8.2536e-05-0.00047504i
0.00033634+0.00053236i,2.0843e-05+0.00077909i,-0.00054138+0.00075182i,-0.00043305-0.00041727i,2.2571e-05-0.00090211i,0.00093225-0.00091223i,0.00072997-0.0010224i,0.00080661-0.00049911i,0.0011411-0.00016034i,0.00092506-0.00019463i,0.00057071-0.00012151i,4.8997e-05-0.00043946i,0.00015319-0.00043129i,-3.8316e-05-0.00037144i,-0.00029991-0.00010465i,0.00011771+0.00071139i,0.00051824+0.00050935i,0.00064163+0.00012083i,0.00038694+0.00044396i,0.00034508+0.00029797i,1.5938e-05+5.1178e-05i,-0.00018589+0.00049891i,-0.00012566+0.00071495i
-0.00021861+4.8306e-05i,-0.0001668-0.0010699i,0.0013372-0.00032558i,0.0017545-0.00023161i,0.00090279-0.0015483i,0.00061691-0.00097808i,0.00081871+0.00078024i,0.0011162+0.00084555i,0.00072995+2.517e-06i,0.00017106-0.00034715i,0.00056775-0.00042591i,0.00089134-4.1993e-06i,0.00069907+0.00056136i,0.00033863+0.00081254i,0.00056094+0.00087596i,0.0010517+0.00022626i,0.0010025-0.00042297i,0.00033338-0.00025048i,-8.4453e-05+0.00039833i,7.4765e-05+0.00033015i,0.00019256+4.2402e-05i,-0.00033034+5.1575e-05i,-0.00074274-4.6913e-05i
3.9081e-05-7.337e-05i,-0.00095972-0.00030618i,-0.00098314+0.00025698i,-0.0011717+0.00073971i,-0.00030817+0.00026865i,0.0014095-0.00096705i,0.0018524-0.001195i,0.0013708-0.000481i,0.0003863-0.00048124i,0.00047086-0.00092309i,0.00052345-0.0011471i,-0.00019941-0.00056088i,-0.00073517+0.00013902i,-0.00062363+0.00046813i,-1.9461e-06+0.00057652i,6.3611e-05+0.00011595i,-0.0001162+0.00013225i,-4.2852e-05+0.00068756i,0.00019411+0.0009973i,0.0003508+0.00094109i,-1.4264e-05+0.0010351i,-0.00025347+0.00067301i,-0.00034141+0.00060587i
-0.0011182-0.00077248i,-0.0010446-0.00037706i,-0.0015788-0.00033658i,-0.0019-0.00060283i,-0.0015485-0.00022419i,-0.00054356+0.00018847i,2.0578e-05-0.00079474i,-0.00014261-0.0013763i,-0.000233-0.00070677i,0.0002522+0.00018852i,0.00050735-0.00011569i,-0.00026122-0.00072938i,-0.00091338-0.00076048i,-0.00066896-0.00065359i,-0.00016853-0.00058886i,0.00010109-6.5407e-05i,-0.00019451+0.00027919i,-0.00080393+0.00013655i,-0.0010261+0.00049105i,-0.00048182+0.00038324i,-0.00030418+6.3881e-05i,-0.00055393+0.00030295i,-0.00094949+9.7331e-05i
0.0016768-9.832e-05i,-0.00029915-0.00028643i,-0.00063783-0.00055872i,-0.00025411-0.00069293i,-0.0003164-0.00072657i,-0.00082553-0.00028286i,-0.00030043-0.00024442i,0.0017501-0.00088284i,0.0024175-0.00068025i,0.0010084-0.00049921i,-0.00019566-0.00084918i,-0.00018393-0.00075363i,0.00017031-0.00040515i,0.00015091+0.00064614i,0.00048564+0.00099437i,0.00057872+1.5293e-05i,0.00024316-0.00044708i,-6.214e-05+0.00019214i,-0.00047424+0.0011197i,1.3536e-06+0.0011565i,0.00050975+0.0007475i,0.00052143+0.00058611i,0.00051961+0.00021795i
0.0013003-0.001714i,0.0010484-0.0029487i,0.0015737-0.0029025i,0.0011114-0.0026965i,-0.00011041-0.0023203i,-0.0014246-0.00028699i,-0.00066722+0.00031728i,0.00082435-0.0002229i,0.0014225-0.00070138i,0.0013672-0.0012569i,0.00085698-0.001097i,0.00034521-0.00010235i,0.00055212+0.00071195i,0.00097832+0.0001273i,0.00065415-0.00072601i,-6.7371e-05-0.00079986i,-4.0137e-05-0.00062082i,8.6318e-05-0.00052835i,-0.00018671-0.00012139i,0.00022946+0.00029929i,0.00016025+0.00059031i,-0.00031386+0.00089257i,-0.00015112+0.00066663i
9.184e-05+0.0005184i,0.0006025+0.00073349i,0.00096188+0.001348i,0.0011956+0.0013248i,0.0015839+0.00059729i,0.0018073-0.00058631i,0.0013109-0.00077694i,0.00082901-0.00092234i,0.00079051-0.00058137i,0.00049968+2.1752e-05i,6.961e-05-0.00013926i,-0.00015508+0.00029518i,-2.1953e-05+0.00017414i,0.0003632+0.000171i,0.0011081+0.00046616i,0.0011874+0.00049483i,-3.3191e-05+0.00029654i,3.1122e-05+0.0002521i,-1.745e-05+0.00047505i,-0.00041508+0.0008768i,-0.00025588+0.0006893i,5.5188e-06-0.00031297i,0.00045216-0.00079794i
-0.0024964+0.0015922i,-0.0020545+0.0034718i,-0.00097766+0.0049755i,-0.00027809+0.0043835i,0.00056112+0.0033954i,0.0012794+0.001807i,0.0011317-0.0010427i,0.0002533-0.0018023i,-0.00028363+4.3856e-05i,0.00051284+0.00099624i,0.001161+0.00082658i,0.00073861+0.00066668i,0.00057802+0.00044055i,5.6076e-05-0.00026372i,-0.00065537-0.00033392i,-0.0005956+0.00027082i,-2.5868e-05+0.00025952i,0.00030764-0.00024665i,0.00068762-0.00025848i,0.0002942+0.00012687i,-0.00033115+0.00017424i,-0.00069066+0.00025989i,-0.00044077+0.0008447i
0.00078368+0.00016616i,-0.00055236-0.00052323i,0.00039067-0.00069858i,0.0014031-0.00098856i,0.00074087-0.0013262i,0.00021933-0.00098108i,0.00015125-0.00086985i,0.00081856-0.00082772i,0.0013684-0.00094129i,0.0010652-0.00075307i,0.00018591-0.00011753i,-7.8732e-05+0.00073459i,0.00014213+0.00095279i,-0.0001617+0.00044912i,-0.00042764+0.00011702i,0.00018244+0.00032101i,0.0011161+0.00052702i,0.00084236+0.00069157i,-6.8572e-05+2.8492e-05i,0.00061423-0.00031662i,0.0012057-0.00011166i,0.00089846-0.0001391i,0.00089552-2.9238e-05i
0.0014172+0.00056077i,0.00054012-0.00020366i,0.00076532-0.0016003i,0.001075-0.0023087i,0.00021444-0.001206i,-0.00035223-0.00075221i,0.0006057-0.0010943i,0.00088151-0.0010119i,0.0016317-0.00055223i,0.0018588-0.0006998i,0.0010977-0.00096835i,0.00094568-0.00032703i,0.00042582+0.00024426i,-0.00015293+0.00022505i,0.00025366+0.00027962i,-0.00024845+0.00043809i,-0.00079387-0.00010009i,-0.00045827-0.00029944i,-0.00022637-0.00021197i,4.8303e-05-8.0001e-05i,0.00088567+0.00028297i,0.00098782+0.00030222i,0.00046184+0.00048859i
0.00088843-0.00058141i,0.00070517+0.0004105i,0.0010215+0.00069436i,0.00087194+0.00014654i,-0.00047198-0.00050041i,-9.422e-05-0.00052985i,0.001193-8.5701e-05i,0.0014912-0.00056453i,0.0010724-0.00074318i,-7.4779e-05-0.00034538i,-0.00024175-0.0007778i,0.00029577-0.00059491i,-0.00041688+8.4587e-05i,-0.00096006-5.826e-05i,-0.0003669+5.7699e-05i,0.00071974-0.00020458i,0.00093005+9.9776e-06i,0.00022439+0.00027226i,-0.00061169-0.00038875i,-0.00085271+3.0533e-05i,-0.00032821+0.0004959i,0.00026092+0.00075235i,0.00015603+0.0014722i
-0.0018842+0.00012085i,-0.00096155+0.00028847i,-0.00067878+0.00078186i,-0.00040014+0.0015491i,-0.00040476+0.0017989i,0.00097613+0.00031971i,0.0028197-0.00091154i,0.0022249-0.00095318i,0.00067887-0.00043246i,-1.7019e-05-0.00043889i,0.00030816-0.0011265i,0.00090305-0.0010745i,0.00030002-0.00060287i,-0.00036968-0.0014154i,-0.00061572-0.001421i,-0.00060525-0.00025686i,0.00012745-0.00034999i,0.00092992-0.00042504i,0.0010755-0.0002848i,0.00081079-0.00041019i,0.0005257-0.0009109i,0.00049144-0.00068599i,0.00053284-0.00013428i
5.8386e-05-0.0019725i,0.00049045-0.0012023i,-0.00030389-0.0016637i,-0.0012883-0.0023765i,-0.0010324-0.0016256i,-0.00064409-6.4321e-05i,0.00015315-3.5837e-05i,0.0014359-0.00065375i,0.00091233-0.00029271i,0.00024339+0.00016231i,0.00019167+1.6363e-05i,1.7847e-05-0.00018394i,6.663e-05+0.00052949i,-0.00011523+0.00067345i,-0.00080951-0.0004272i,-0.0009238-0.00076315i,-0.0011363+3.9377e-05i,-0.0015922+9.5656e-05i,-0.00076835+2.6914e-05i,0.00045078+0.00033262i,0.00040604+0.00023186i,0.00032853-0.00025971i,0.0002841+0.0002283i
0.0016994+0.0014353i,0.0019901+0.00058701i,0.0019891+0.00023465i,0.0014993-0.00067056i,0.00098207-0.0014666i,1.6061e-05-0.00097415i,8.6627e-05-0.00096639i,0.00059726-0.00075318i,0.00048342-0.00035194i,0.001049-0.0006982i,0.0010641-0.00036948i,0.00080184-0.00010233i,0.00091217+2.3915e-05i,8.9767e-05+0.00069339i,-0.00070364+0.00084047i,-0.00081866+0.00087432i,0.00013401+0.00074898i,0.00065116+0.00086195i,-0.00018395+0.00024566i,-0.00085894-0.00056318i,-0.00019285-0.00014456i,0.00019665+0.00020602i,-0.00026661+0.00024457i
1.008e-05+0.000948i,0.001261+0.0017669i,3.2675e-06+0.0012059i,-0.00077873+5.3887e-06i,-5.3881e-06-0.00090813i,0.00052385-0.00089896i,0.00062206-0.00082975i,0.00036923-0.0018831i,-0.00022249-0.0015693i,-0.00020184-0.00023914i,-0.00011807-0.00032846i,-0.00010049-0.00070638i,0.00025269-0.00066239i,-1.088e-05-0.00049333i,-0.00075752-7.3253e-05i,-0.00045324+0.00015839i,0.00025978+0.00056803i,-0.00039482+9.2097e-05i,-0.00050077-7.5962e-07i,0.00033688+0.00072119i,0.00033199+0.00036514i,1.2926e-05-0.00046592i,-0.00019209+9.1085e-05i
-0.0011579-0.00098379i,-0.0002822-0.001888i,0.00013741-0.0019013i,0.00051976-0.00095666i,0.00054648+0.00026933i,0.00034112+0.00033666i,0.0006234-0.00014302i,0.00029549-0.0009978i,-0.00039933-0.0013368i,-0.00050417-0.00043543i,-0.00035771-0.00017409i,0.00055275-0.00068395i,0.00079775-0.00074098i,-0.00018931-0.00077045i,-0.00094521-0.00025629i,-0.00049941+0.0007529i,-1.5244e-05+0.00078722i,-0.00033457-9.1764e-05i,-0.00097871-0.00032713i,-0.00095886-0.00016426i,0.00017302-1.4474e-05i,0.00032508+0.00035847i,-6.9671e-05+0.00033459i
-0.0011265-0.00091626i,-0.0011287+7.1495e-05i,-0.0019198+0.0015843i,-0.0024757+0.0017518i,-0.0014295+0.00055609i,4.6666e-05+0.00067i,0.00064253+0.00044304i,0.0011378-0.00067116i,0.0013004-0.00032521i,0.00072436+0.00062418i,0.00035859+0.00057675i,6.7891e-05-2.0979e-05i,-0.00045384-0.00063224i,-0.00072914-0.0005919i,-0.0011132-0.00040611i,-0.00072564+0.00039395i,0.00011403+0.0010416i,0.00062958+0.00091596i,0.00033816+0.0001431i,0.00046816-8.8855e-05i,0.0008741+0.00014536i,0.00034233-5.2621e-05i,-6.0458e-05-0.00046422i
0.00093722+4.8589e-05i,0.0017556-0.0021518i,0.0016329-0.0033065i,0.0012597-0.0023918i,0.0010028-0.0013995i,0.001378-0.00085884i,0.0018764-0.00010082i,0.00099445-0.00029282i,-0.00036032-0.00094287i,-0.00098231+8.8179e-05i,-0.00082951+0.00064419i,0.00033503+0.00026569i,0.0010141+0.00015511i,0.00041879-0.00029222i,-3.0739e-05-0.00065075i,0.00012621+2.528e-05i,0.00047764+0.00074635i,-0.00021781+0.00035675i,-0.00015606+1.2244e-05i,8.5706e-05+0.00024111i,-0.00027352+0.00070687i,-0.00017408+0.00056973i,-0.00057315-2.508e-05i
-0.00090587+0.0010102i,0.00021511+0.001205i,0.00030075+0.00084841i,0.00024985+0.00028689i,0.00088396-7.5913e-05i,0.00089089-0.00031634i,0.00065585-0.0009957i,0.00042623-0.0018539i,0.00020953-0.0017949i,0.00014205-0.0017134i,-6.4868e-05-0.0018789i,3.9998e-05-0.0013838i,-0.0002538-0.00029553i,-0.0008453+0.00030835i,-4.2936e-05+0.0004382i,3.5453e-05+0.00096582i,-0.00054133+0.00060383i,-0.00058671-0.00011781i,-0.0011028+0.00021935i,-0.00068857+0.00040864i,-0.00010359-0.00012002i,0.00017494-0.00064268i,0.00045028-0.0004749i
-0.00074183-0.00024876i,-0.00094035-0.0004965i,-0.0004482-0.00085421i,0.00029505-0.00068355i,0.00011737-0.00077698i,0.00021263-0.0010092i,0.00093577-0.00077404i,0.00038555-0.00090469i,-0.00054447-0.00083841i,-0.0002209-0.0010815i,0.00036006-0.00098452i,0.00051179-0.00038869i,0.00027895-0.00047416i,7.3655e-05-9.024e-05i,-5.3193e-05+0.00020118i,-2.7321e-05+0.00051517i,-6.4511e-05+0.00095531i,2.5731e-05+0.00044643i,0.00085817-3.0863e-05i,0.00077925-0.00012301i,0.00020435-0.00051826i,-0.00052474-0.00030043i,-0.001026+0.00020549i
-0.00075563+0.00035484i,-0.0015864+0.00028297i,-0.0022374-0.00015795i,-0.0024479-0.00037672i,-0.0016618+4.0693e-05i,-0.00058772+0.00037907i,0.00020474-0.00042544i,0.00050402-0.0015244i,0.00043742-0.00078033i,0.00028856+0.00074327i,0.00045297+0.00061799i,2.4821e-05+3.2416e-05i,-0.000607-9.3048e-05i,-0.000318+0.0001825i,-0.00078586+0.0005585i,-0.0014509+0.00087934i,-0.0013988+0.00052367i,-0.0011165+0.00020014i,-0.00088807+9.997e-05i,-0.0010729-0.00014162i,-0.00066857+0.00038373i,-0.00038249+0.00085026i,-0.00065787+0.00017626i
0.0020971-0.00048122i,0.0040787-0.0014262i,0.00497-0.0026397i,0.0038453-0.0021332i,0.0010821-0.001369i,8.397e-06-0.0011995i,0.0008839-0.00092136i,0.001295-0.00074235i,0.00069908-0.000164i,-0.0001425-8.5073e-05i,-6.8109e-05-0.0003039i,-0.00038565-0.00055087i,-0.00065413-0.00063557i,-0.00068758-0.00014214i,-0.0006445-0.00016072i,-4.0752e-05-0.00028794i,0.00056301+9.2678e-05i,0.00043078-7.4051e-05i,-8.9651e-05-0.00019859i,-0.00021786-0.00036177i,-0.00032811+0.00024733i,-0.00025074+0.00099931i,0.00083039+0.00077528i
