-0.0012541+0.00064764i,-0.0005798-0.00046715i,-0.00066035-0.00092991i,-0.0013247+0.00023688i,-0.0016126+0.0014233i,-0.0010332+0.0016594i,-0.00082423+0.0021473i,-0.00075119+0.0022566i,0.00014228+0.0017477i,0.0011687+0.00093166i,0.0014688+0.00030796i,0.0011915+0.00019993i,0.00087264+6.3563e-05i,0.0002681-0.00012604i,1.5612e-05-0.00023143i,0.00034831-0.00013668i,0.00019832+0.00031472i,-0.00024854+0.00078584i,-0.00032603+0.00077223i,-0.00042433+0.00018815i,-0.00036791+0.00025006i,-0.00019417+0.00066337i,-0.00012766+0.0011685i
-0.00018898-0.00056805i,-0.00037926+0.00013019i,-0.0011234-0.00062545i,-0.0010153-0.00062167i,-0.0009922+0.00013536i,-0.0011259+0.00050871i,-0.00086935+0.0003233i,-0.00045274-0.00017992i,-0.0003992-0.0010183i,-0.00025752-0.00083762i,0.00015717+0.00066286i,0.00030876+0.0015589i,-6.8125e-05+0.00080054i,0.00038757+0.00021367i,0.0010071+0.00041129i,0.00080006+0.00081621i,0.00030801+0.00035723i,0.00074757-0.00021579i,0.00082785-0.00055577i,2.5569e-05-0.00063903i,-0.0003828-0.00038056i,-3.9132e-05+0.00011279i,0.00036961+0.0007934i
-0.00083215-9.4775e-05i,-5.0913e-05-3.0263e-05i,7.7689e-05+0.0010037i,-3.1575e-05+0.0012814i,-1.9199e-05+0.0006943i,-0.00013575-0.000242i,-0.00049367-0.00088801i,4.2619e-05-0.0004928i,0.0010121+0.0001314i,0.00046717+0.00039878i,-0.000399+0.00026488i,-0.00022689-0.00052758i,-9.0175e-05-0.00073439i,0.00018363-1.8932e-05i,0.00042132+0.00048194i,0.00049867+0.00070502i,0.00034598+0.00042244i,-0.00070092-8.3582e-05i,-0.00061203-2.3413e-05i,0.00032203+7.1373e-07i,0.00017427+0.00010779i,-7.7107e-05+0.00063002i,0.00033422+0.00085318i
-0.0017386-0.0010187i,-0.0017711-0.0013846i,-0.0020774-0.0014074i,-0.0014208-4.9681e-05i,-0.00072078+0.0018746i,-0.00090583+0.0013116i,-0.00040973+0.00013313i,0.00033099-0.00029666i,0.00032036-0.0004229i,2.0533e-05+0.0002793i,8.2482e-05+5.3261e-05i,0.00053168-0.0002563i,0.00023627-0.00026474i,0.00010322+0.00042255i,0.00036193+0.0012787i,0.00029487+0.0011498i,-0.00013197+0.00029827i,-0.00021304-0.00054048i,0.00015278-0.00057226i,0.00020668-0.00049117i,-0.00016192-0.0010311i,-0.00055475-0.00078812i,4.6106e-06+0.00028369i
0.0005186-0.0013213i,0.00038441-0.0011166i,0.00059105-5.2479e-05i,0.00027156+0.00041544i,-0.00056437-1.4907e-05i,-0.000918+0.00056275i,-0.0010726+0.001169i,-0.00039939+0.00041652i,0.00017052+9.0747e-06i,-0.00010284-0.00021988i,0.00013423-8.4802e-05i,0.00045024+0.00034936i,0.00031078+0.00031451i,-7.464e-05-0.00016589i,0.00028247-0.00014714i,0.00032462+0.00066056i,-0.00021625+0.00036213i,0.00020068-0.00033037i,0.00085863+0.00038465i,0.00060077+8.2335e-05i,0.00025762-0.00066323i,-0.00064611-0.00025972i,-0.0012853+0.00042579i
-0.00089246+0.0012515i,-0.0018425+0.001673i,-0.0022084+0.0023615i,-0.00128+0.0022964i,-0.0004325+0.0011066i,1.0932e-05-0.00024743i,-0.00061699-0.00036298i,-0.0011143+0.00031582i,-0.00071312+0.0008459i,-0.00054447+0.00060954i,0.0003574-0.00021542i,0.0010612-0.00028092i,0.0012074+6.6071e-05i,0.00036158-0.00023618i,-0.00076468-0.00091177i,-0.00035167-0.0013085i,-9.0259e-05-0.00076604i,8.3635e-06-0.00074623i,8.1296e-05-0.00087271i,-0.00024721-0.00061095i,0.00012743-9.6168e-05i,0.0010403+0.00092757i,0.00083962+0.001191i
0.001202-0.00099214i,-0.00041863-0.00081238i,-0.00068805-0.00047459i,9.0817e-05+0.00010297i,-0.0002389+0.0010446i,-0.00096623+0.0013272i,-0.0008533+0.0009925i,-0.00051591+0.0009753i,-1.4171e-06+0.00073806i,0.00069906+9.6713e-05i,0.00036237+0.00031362i,0.00020167+0.00090991i,0.00057022+0.00048353i,0.000384+0.00038543i,8.0323e-05+0.0006437i,-0.00018653+0.0011102i,-0.00059697+0.0012301i,-0.00081681+0.00025091i,-0.00064104-0.00017989i,-0.00024117-0.00015414i,0.00028682-0.00032619i,0.00060501+6.83e-05i,0.00014721-0.00038429i
0.0012124-0.00069269i,0.0010832-0.0010777i,0.00084435-0.0010722i,0.0002072-0.00052615i,-0.00052772+0.00023079i,-0.00088081+0.00088315i,-0.0015976+0.00054957i,-0.0012623+0.00040803i,-0.00076859+0.00035334i,-0.0010339-0.00074902i,-0.00094933-0.0011483i,-0.0012177-0.00080595i,-0.0015471-0.0010016i,-0.0012955-0.00042198i,-0.00077544+0.00075178i,-0.00029193+0.00029068i,-0.00016517-0.00049374i,-0.00055903+0.00046103i,-0.00052408+0.00077116i,0.00070984+0.00021876i,0.00064848+0.00016097i,0.00050855+0.00032536i,0.00027987-2.9968e-05i
-0.00012318+0.0019978i,0.00071492+0.0034311i,0.00084751+0.0035598i,0.00019878+0.0021933i,-0.00028847+0.00045944i,-0.00087149-0.00076662i,-0.001577-0.00050688i,-0.0016887+4.4316e-05i,-0.0011921+0.00095056i,-0.00057538+0.00081088i,-4.2389e-05-0.00034181i,0.00042176-0.00099998i,0.00090984-0.001336i,0.0008955-0.00063225i,8.2947e-05-0.00019507i,-5.7826e-05-0.00075226i,-0.0003376-0.00045671i,5.3538e-05-6.3812e-05i,0.00059029-0.00038516i,0.00018084-0.0006037i,-7.191e-05-0.00080265i,-6.1223e-05-0.0004892i,6.4823e-05-0.00040582i
-0.00082056-0.00077722i,-0.00028213+0.00035771i,0.0010967+0.00071933i,0.0011873+0.00074653i,-0.00012997+0.0011643i,-0.00059712+0.00085045i,-0.00035962+0.00078589i,-0.00010626+0.00054642i,-0.00011475+0.00059651i,-0.00021921+0.00053857i,0.00027694+0.0001999i,0.00039326-0.000152i,0.0002697-0.00028152i,-0.00015606-0.00030351i,-0.00015823-0.00013675i,-1.9964e-05+0.00038425i,-0.00026197+0.00043977i,-0.00019698-7.9298e-05i,0.00031405-0.00020043i,0.00021294-0.00011812i,-9.4634e-05-0.00011182i,-7.8104e-05-0.00036956i,-0.00038689-0.00050937i
-0.0014516-0.00023928i,-0.00014947+0.00043381i,0.00034056+0.0014649i,0.0010185+0.0015957i,0.0016768+0.00091495i,0.0007358+0.00069871i,-0.00056351+0.00028365i,-0.0010926-0.00054252i,-0.00048906-0.00061113i,6.5777e-05-0.00014432i,0.00042922-0.00019581i,0.0005263-0.00076281i,0.00013987-4.6664e-05i,0.00094534+0.00099185i,0.0019869+0.0010295i,0.0014238+0.00095786i,0.00012099+0.0010217i,-0.000585+0.00077434i,-0.00075933+0.00062041i,-0.00089519+0.00036945i,-0.00044397-4.7993e-05i,0.00034588-0.00013942i,0.00053954-0.00036109i
