0.0024385-0.00028286i,0.0031907-0.00069231i,0.0021526-0.0023551i,5.7887e-05-0.002623i,-0.002636-0.00077879i,-0.0034361+0.00098022i,-0.0013933+0.00073906i,2.8509e-05+0.0012161i,0.00070314+0.00086322i,0.00079824-0.00029304i,0.0002055-0.00035503i,1.2859e-05-4.6832e-05i,0.00094997+0.00023584i,0.0012883+0.00066761i,-0.00011613+0.0007894i,-0.00072553+0.0005091i,-0.00026357+0.00035468i,0.00013208+5.8371e-06i,0.00015597+0.00010718i,5.7458e-05+0.00010359i,0.00014531-0.0001889i,0.0005399-0.00046214i,0.00018531-0.0005091i
0.00082043-0.0024801i,0.0010991-0.0014231i,-0.00054-0.00057312i,-0.0012184-0.00053477i,-0.0010214+0.00041188i,-0.00064464+0.0013135i,0.0006767+0.0008532i,0.00064849+0.0001436i,-0.0004913-0.00023591i,-0.0011865-5.5803e-05i,-0.00029904+0.00066741i,8.06e-05+0.00083387i,-0.00022823+0.00020678i,0.00023715+0.0003739i,0.00037125+0.00083749i,0.0003907+0.00017145i,0.00042556-0.0004758i,0.00017035-6.7961e-05i,0.00012138+0.00077734i,-9.2002e-06+0.00054139i,-9.8147e-05-0.00018715i,-0.00011061-0.00020221i,0.00030068-0.00022746i
0.0004708-0.00049231i,0.00026923-0.00037315i,0.00015149-0.00064552i,5.5374e-05-0.00012582i,0.0012377+0.00072126i,0.0014721+0.00046148i,0.00095796-0.00086187i,0.00069812-0.0010374i,0.00081506-0.00046721i,0.00056649+0.00028886i,0.00019665+0.00017472i,-2.0699e-05-0.00034024i,0.00042755-0.0010479i,0.0010567-0.00093852i,0.00082737-0.00045153i,3.7657e-05-0.0011583i,3.9625e-05-0.00084266i,0.00053097-2.1629e-05i,-5.0673e-05+0.00012985i,0.00051408-4.3212e-05i,0.0010585-2.0754e-05i,0.00038544+0.0003659i,-0.00011521+0.00040574i
7.6144e-05+0.00090957i,0.00038385+0.00054916i,0.0011033+0.00012715i,0.00084526-0.00011657i,0.0010536-0.00053407i,0.0010304-0.0007276i,0.00097074-0.00034045i,3.8023e-05-0.00024584i,-0.00055841+9.6994e-05i,4.5281e-06+0.00034955i,0.0004106+3.5564e-05i,0.00054409-0.00018895i,0.0006623-0.00055589i,0.00078483-0.00085397i,0.0010384-0.00047536i,0.00068414-8.4979e-06i,0.00033784+4.2709e-05i,4.2789e-05+0.00025303i,-9.878e-05-0.00010509i,0.00052056-0.00018394i,0.00024205-2.1732e-05i,0.000182+5.2269e-05i,0.00030656+5.0415e-05i
-0.00061533-0.00031371i,-0.0005454-5.4084e-05i,0.00020542-0.00048548i,0.00055493-9.8997e-05i,0.00067285+0.0010399i,0.0011489+0.00065417i,0.0005225+2.2333e-05i,-0.00012031+0.00026037i,-0.00019418-0.00011065i,-0.00048078-0.00012913i,-0.00011718-0.00012758i,0.00063066-9.8623e-06i,0.00063724-5.2701e-06i,0.00015175-5.5641e-05i,-0.00016669-0.00017343i,0.00062556-0.00059088i,8.4688e-05-0.00079339i,-0.00051612-0.00024567i,0.00031376+0.00046804i,0.00070159+0.00044245i,0.00027605-0.0003656i,3.1566e-06-5.3652e-05i,-0.00013483+0.00024912i
-0.00031721+0.00027789i,-0.00037952-0.00020927i,0.00049912-0.00085079i,0.0012295-0.00067057i,0.0013278+6.4929e-05i,0.0012812-0.00027456i,0.00070766-0.00042103i,0.00037457+9.3282e-05i,-0.00016782-0.00017349i,-0.00065644-0.00063671i,-0.00061856-7.9224e-05i,-0.00026679+0.00056152i,0.00048488+0.00046148i,0.0005809-0.0001373i,0.00045731-0.00065579i,0.00064019-0.0007176i,0.00083598-0.0008501i,0.00040825-0.00075281i,-0.00031335+4.1517e-05i,-0.00043076+0.00087664i,-0.00030933+0.00068029i,-0.00044825-0.00014567i,-0.00021598-0.00035052i
0.0015609+0.0011412i,0.0016488+0.0010248i,0.0023291+0.00066591i,0.0028869+0.00068817i,0.0019619+0.001155i,0.00091907+0.00082869i,6.1973e-05+0.00028187i,-0.00089708+0.00013712i,-0.00053447+0.00075289i,-1.4409e-05+0.00048414i,-0.00019166+0.00013453i,1.4513e-05+0.0011161i,4.6393e-05+0.0010577i,-0.00063009-0.00015695i,-0.00070188-0.00077012i,0.00020384-0.00025102i,0.00028883-0.00029957i,-0.00085743-0.00028839i,-0.00114+0.00057104i,-0.00025986+0.00077337i,0.00011003+0.00047861i,0.00024025+0.00047515i,0.00041569-4.4936e-05i
-0.00077609-0.00012914i,-0.00039385+0.00012288i,0.00046324+0.00088208i,0.00050005+0.0015176i,0.00073285+0.0010487i,0.0013409-1.1316e-05i,0.00084547+0.00013107i,0.00010234-0.00027672i,-0.00030453-0.00064141i,0.00018379-9.9012e-05i,0.00090444+0.00039418i,0.00079144+0.00066401i,0.00065106+0.00084892i,0.00068343+0.0015271i,0.00050998+0.001299i,-0.00013627+5.3133e-05i,-0.00032121-0.00046891i,8.247e-05-0.0004742i,-0.00040281+9.1506e-05i,-0.00042805+0.00046116i,0.00022173+0.00025431i,0.00041081-0.0001725i,0.00067838-0.00029176i
-0.0020479-0.00021756i,-0.0023885+0.00040916i,-0.00076812-0.00069958i,-3.6421e-05-0.00044338i,-3.1023e-05+0.0005147i,0.00069336+0.00089839i,0.00045038+0.00099129i,-0.00020493+0.00078183i,-0.0001476+0.00045441i,-0.00019263+0.00030285i,-0.00037595+0.00051173i,-0.00035483+0.00019i,-0.00035609+0.00040025i,-2.342e-05+0.00025449i,0.00076324-7.0301e-05i,0.00081304+2.0437e-05i,-0.00039702-3.8338e-05i,-0.0011412-0.00018767i,-0.00096556-0.00027897i,-0.00044667-0.00066862i,0.0004392-0.00058665i,0.00047042-0.00040246i,3.8149e-05-0.00056709i
0.0005149-0.0014972i,0.0014814-0.0011835i,0.0010204-0.00096797i,-0.00021215-0.00052111i,-0.00061272+0.00034557i,-0.00049182+0.0004515i,0.00022061-7.4176e-05i,0.0001067+0.00014654i,-0.00028837+0.00033974i,-0.001007+0.00022095i,-0.0010307+0.00029177i,-0.00022347-0.00017922i,0.00054669-0.00075018i,0.0012194-0.0010482i,0.00070826-0.00083973i,3.2981e-05-0.00017232i,0.00036737+0.00051951i,0.00027916+0.00022147i,-0.00055026-3.7552e-05i,-0.00065286+0.0004673i,-5.4587e-06+0.0007643i,-0.00015666+0.00098521i,-0.00054897+0.00053733i
7.3017e-05-0.0007307i,0.00034934-0.00089093i,0.00022996-0.00045688i,0.00059855+0.00017352i,-4.8538e-05+0.00071436i,-0.00029431+0.00019662i,0.00050681-6.681e-05i,0.00078996+0.00036773i,0.00014766+0.0013221i,-0.00021378+0.0011884i,0.00020131+0.00035122i,0.00065623-7.0244e-05i,0.00090676-9.7233e-06i,0.00098933+0.00042749i,0.00091652+0.00047425i,0.00041495+0.00020672i,0.00040197-0.00020404i,0.00079297+0.00010076i,0.00082685+0.00066557i,0.00023671+0.00012963i,0.00019214-0.00011099i,-9.9459e-05+0.00049671i,-0.00032157+0.00067523i
-0.0002109-0.000846i,-5.7007e-05-0.001046i,0.00069213-0.00019874i,0.0012751+0.00084321i,0.0010115+0.00081347i,0.00031732+0.0013729i,0.00014217+0.0011995i,0.00046121+0.000437i,0.00082168+0.00021585i,0.00055524-2.1408e-06i,-0.00013295+0.00045227i,-0.00051842+0.00064825i,0.00019318+0.0010361i,0.00010944+0.00099863i,-0.00043878+0.00057943i,-0.00054886+5.1483e-05i,-0.0010302-0.00028311i,-0.00038943+4.9274e-05i,0.00085544-2.2521e-05i,0.00094697-0.00022536i,0.00025588-0.00022069i,0.00056866-0.00018161i,0.00074362-0.00022449i
0.002807+0.00020541i,0.0023341-4.0066e-05i,0.0019323-0.00015381i,0.0016734-6.2192e-05i,0.00080662-0.0005584i,8.324e-06-0.00063026i,-0.0002368-0.00059248i,0.00018448-0.00054237i,0.0004026-9.527e-05i,-0.0001967+5.2728e-06i,-7.0333e-05-0.00039519i,-0.00088441+8.1823e-05i,-0.0013934+0.00025853i,-0.00099757+0.00029544i,-0.00022033+5.7623e-05i,0.00020647-4.9374e-05i,9.1261e-05+0.00015653i,0.00032672-0.00012827i,0.00081261-0.00051891i,0.00048732-0.00040261i,0.00046097+0.00029273i,0.00070691+0.00092325i,-0.00014206+0.00062205i
0.00071373-4.6878e-06i,0.00099294-0.00041717i,0.00058217-0.0015757i,-0.0004055-0.00098059i,-0.00087844-0.00046964i,-0.00032457-0.00067868i,3.8765e-05-0.0011859i,2.4234e-05-0.00088823i,-0.00014158-1.7842e-05i,2.8554e-05+0.00021635i,-7.96e-05-5.6281e-05i,-0.00043066+9.6423e-05i,-0.00056623+0.00054806i,-0.00027167+0.0004279i,0.00081718+0.00047896i,0.00062005+0.00043724i,-0.00013236-0.0004049i,-4.8058e-05-0.00089072i,-0.000152-0.0004694i,-0.00012019-0.00029213i,-0.00021519-0.00035571i,-0.00028531-0.00044484i,7.4e-05-0.00024627i
0.0010553+0.00063112i,0.0013586+0.0010261i,0.0010895+0.0004109i,0.001318-0.00075332i,0.0013714-0.00038141i,0.00034621+0.00058006i,4.9288e-05+0.00040412i,0.0001298-0.00015408i,-0.0001335-0.00055344i,-0.0004361-0.00041371i,-0.0005212+0.00096413i,-0.00033922+0.001215i,0.00057572+1.3153e-05i,0.0017013+9.3798e-05i,0.0010319+0.00029048i,-3.0962e-06-1.5564e-05i,0.00025525-0.00013387i,0.00054213-9.8044e-05i,0.00032575+0.00019647i,-5.6761e-05+9.6219e-06i,-0.0002937-7.0552e-05i,-0.0005466+0.00029998i,-0.00039336+0.00030623i
-0.00033511-0.0010253i,-0.00070925-0.0013965i,-0.00013463-0.00018184i,-0.00041073-0.00016593i,-9.7701e-05-0.00077786i,0.00032746-0.00070379i,0.00067947-0.00028942i,0.00087465+0.00067315i,0.00033051+0.00065041i,-0.00038735-0.00016249i,-0.00043181-0.00016365i,-0.00049906+0.00018535i,-0.00026889+0.00033472i,0.00025572+0.00035277i,0.0001354-0.00012726i,-0.00039383+0.00012941i,-0.0010021+0.00012702i,-0.0012595-0.00060671i,-0.0018217-0.0003375i,-0.0015674-0.0002669i,-0.00045212-0.00016736i,-9.1203e-05+4.9819e-06i,-0.0003202+0.00033642i
0.0027977+0.0022917i,0.0025807+0.0013804i,0.0030769+0.0007231i,0.0038567-0.0004238i,0.0029878-0.0014386i,0.0013563-0.00038021i,0.00045864+0.00028356i,-0.00071627-0.00010862i,-0.00054577+0.00019332i,0.00049033+3.0608e-05i,0.00036732-0.0012425i,-9.2613e-05-0.001348i,-0.00034625-0.00085846i,-0.00034065+0.00020084i,-0.00045686+0.00040909i,-0.00018634-0.00038033i,0.00072365-0.00080061i,0.0012003-0.00073909i,0.001156-0.00054007i,0.0013122-7.4728e-05i,0.00071446-0.00012357i,0.00037421-0.00052546i,0.00063319+0.00053867i
1.8731e-05+0.00043821i,2.8269e-05+0.0012019i,0.001559+0.0012598i,0.0022437+0.0014679i,0.0012832+0.0017952i,0.00098556+0.00091116i,0.0012913-0.0004744i,0.00088083-0.00079997i,-5.8885e-05-0.00037583i,-0.00074923-0.00041734i,-0.00034329-0.00067578i,0.00038229-0.00053458i,0.0002758+0.00014721i,5.5246e-05+0.00091286i,3.1953e-05+0.00073376i,0.00017011+0.00063046i,0.00053621+0.00057101i,0.00067022+0.00012505i,0.00012649+0.00029422i,-0.00054114+0.00048815i,-0.0010419+9.5508e-05i,-0.00041872+0.00023532i,-1.0119e-05+0.00093726i
0.0011713-0.00077597i,0.0014907-0.0010824i,-0.00023506-0.0023564i,-0.0014738-0.0017138i,-0.0010417-0.00049779i,0.00052469-0.0001924i,0.00082683+0.00026697i,-0.00013163+0.00033545i,-0.00050747-0.00022289i,-0.00052284-9.4016e-05i,-0.00064765-0.00023794i,-0.00083366+0.00015852i,-2.2748e-05+0.00091284i,0.00061864+0.0011227i,0.00012344+0.00027941i,0.00020273-0.00091633i,0.00036776-0.00093066i,-0.00030987-0.00019819i,-0.00027242+0.00022621i,-9.6478e-05-9.7005e-05i,4.4506e-05-0.00035931i,0.0007092-0.00037783i,0.0010667-0.00039077i
0.0015755+0.0019748i,0.0017251+0.0020746i,0.0020457+0.0021906i,0.003041+0.0015598i,0.0032405+0.00019955i,0.0022225-0.0004248i,0.0017022+7.2058e-05i,0.0015466-0.00016902i,0.00090267-0.00065851i,0.00060085-0.00070323i,0.00063577-0.00052501i,0.00061554-0.00050367i,3.5726e-05-6.2872e-05i,-0.0005527+0.00033624i,-0.00043621+0.00044577i,-0.00028301+0.00040917i,-0.00066728-0.00025615i,-0.00074042-0.00010743i,-0.00025603+0.00044243i,0.00049643+0.00046829i,0.0002245+0.00020173i,-0.00026225-0.00041719i,-0.00057001-0.0008649i
-0.0032447+0.0022796i,-0.0034514+0.0011213i,-0.0021515+0.0019412i,0.00026213+0.0020665i,0.0021238+0.0011486i,0.0013912+0.00026727i,-0.00032947+9.1655e-05i,-0.00032313+0.00038597i,8.4296e-06+0.00026541i,-5.2031e-05+8.4e-05i,0.00014708-0.00039496i,-4.1331e-05-0.00056509i,0.0001896-0.00034362i,0.00042341-0.00043083i,2.1393e-05-8.6948e-05i,4.2251e-05+0.00021737i,0.0010142+0.00016007i,0.00070383+9.1838e-05i,-0.00030143-0.00028139i,-0.00081524+0.00070937i,-0.00081251+0.0016236i,-0.00063106+0.0011387i,-0.00064477+0.00087632i
0.00027034+0.0003127i,0.00075745-0.00052679i,0.0014804+5e-06i,0.00089426+0.00072099i,0.00086891+0.00048633i,0.0014457-2.2325e-05i,0.00094424+0.00018438i,0.00011873+0.00063829i,-0.00037998+0.00066247i,-0.00032556+0.00078133i,-0.00029126-3.5651e-05i,-0.00033013-0.00041203i,0.00014107+0.00015181i,-0.00027323+6.45e-05i,-0.00055073-0.00021369i,-0.0004718-0.00045754i,0.00023633-0.00042298i,0.0013051+0.0001073i,0.00082252+0.00029574i,-0.00024463+0.0002481i,-0.00021824+0.00063026i,0.0002207+9.3608e-05i,0.000162+0.00011798i
-0.00079283+0.0038116i,0.00053892+0.003995i,0.0025802+0.0038291i,0.0041893+0.0027007i,0.0045403+0.0016656i,0.0030273+0.00078508i,0.001334+0.00031425i,0.00058743+0.00014491i,0.00042808+7.4204e-05i,0.00040824+0.00071709i,-0.00047349+0.0015011i,-0.0010623+0.0010771i,-0.00092651+0.00032199i,-0.00045178-0.00049417i,-0.00037103-0.00056573i,-0.00071665-3.7802e-05i,-0.00034874-0.00040538i,0.00052584-0.00054124i,0.0004566-0.00055882i,-0.00022006-0.00081707i,-0.0001983-2.231e-05i,0.00026343+0.00075721i,0.00051383+0.00034684i
0.0029481+0.00010811i,0.0027293+0.0010597i,0.0027744+0.00067694i,0.0020608-0.00073404i,0.00084016-0.0017798i,0.00043135-0.0014027i,0.00039262-3.2968e-05i,3.6456e-05+0.00032315i,0.0001626+0.00027689i,-2.9652e-05-0.00062749i,-0.00058293-0.00042929i,-0.00059197+0.00055047i,-0.00071515+9.1935e-05i,-0.0012207-0.00053651i,-0.00074361-0.00099197i,0.00053997-0.00095113i,0.0012302+0.0001073i,0.0011258+0.00022531i,0.00050089+0.00033646i,0.00015906+0.00042918i,7.1176e-05+0.00057214i,0.00029396+0.00055378i,7.0219e-05+0.00025584i
0.00086516+3.064e-05i,0.0020251+0.00076518i,0.0024202+0.0011017i,0.0022916+0.00053742i,0.0012616-0.00045189i,0.00055556-0.00019917i,0.00043632-0.00019214i,0.00029875-0.00085409i,6.387e-06-0.00033073i,-0.0002862+0.00033734i,-0.0007003+0.00038558i,-0.00055996+0.00021355i,0.00031986+0.00033339i,0.00048619+0.0011107i,0.00036564+0.0011298i,0.0001879+0.0011726i,-0.00035458+0.00074441i,-0.00046933-0.00053024i,-0.00038995-0.00065712i,-0.00036382-0.00010434i,-0.00014938+0.00040306i,0.00042851+0.00037244i,0.00058716+0.000272i
0.0016876-0.00055481i,0.0014807+0.00018455i,0.0020208-0.001363i,0.0020866-0.0024788i,0.00089519-0.0015496i,-0.00017057-0.00024995i,-3.0287e-05-0.00016984i,-0.00012484-0.00068921i,0.00042882-0.00087841i,0.00048052-0.0012618i,-1.8654e-05-0.0003069i,-0.00064848-7.8394e-05i,-0.00021352-0.00046891i,-0.00032511-0.00034247i,-0.00099828-0.0008415i,-0.00026285-0.00086684i,0.0006371-0.0006394i,0.00022989-0.00037335i,0.00011324+0.00011915i,0.00025551-2.3788e-05i,5.3257e-05-0.00066546i,-1.0856e-05-0.00022567i,-0.00016983+0.00044046i
-0.00095852+0.0016011i,-0.0013206+0.0015838i,-0.00074499+0.0015377i,0.00038712+0.00087646i,0.0007193+0.00044775i,0.00073064-0.00021717i,-0.00025726-0.00028119i,-0.00055529+0.00045604i,0.00070049+0.0015687i,0.0011348+0.0014237i,0.00041729+9.7031e-05i,-4.4529e-05-0.00017905i,-0.00016644-0.00057253i,-0.00042445-0.00068138i,-0.00034793-4.4253e-05i,0.00037404+0.00019646i,0.00027326+0.00067764i,-0.00020063+0.0010972i,-0.00022344+0.001414i,-0.00040217+0.0011134i,5.0263e-05+1.1441e-05i,0.0003082-5.7947e-05i,0.00086959+0.00058225i
6.9596e-05+0.0018747i,0.00033441+0.0019927i,-2.3003e-05+0.0011969i,0.00069546+0.00066432i,0.0013884+0.00026043i,0.00070913-0.00024156i,0.00022716-3.9e-06i,1.4288e-05-0.0002698i,-9.9853e-05-0.0010517i,0.0004128-0.0006229i,0.00051022-0.00018379i,0.00020807+0.00020364i,0.00050513+0.00065693i,0.00047941+0.00064777i,-0.00025214+9.3574e-05i,-0.00052826-9.0042e-07i,-0.00063543+0.00072109i,-0.00060307+0.00074125i,-0.00038832-0.00064945i,-0.00015603-0.00072436i,5.7991e-07+0.0002248i,-0.00047835+0.00038232i,-3.1821e-05-6.2729e-05i
