-0.0020266-5.0024e-06i,-0.0015891+9.0534e-06i,-0.0014525+0.00017302i,-0.00019872+0.0016759i,0.00079881+0.0027981i,0.00021625+0.0026738i,-0.00034376+0.0018061i,0.00011643+0.00066656i,0.00018314+0.00052541i,0.00030046+0.00034821i,0.0016284-0.00067338i,0.0018648-0.0015456i,0.0011319-0.0017065i,0.00078508-0.0014925i,0.00054593-0.001568i,7.9998e-05-0.0011454i,-0.00036924-0.00040205i,-0.00068554+0.00022777i,-0.00061905-7.3402e-06i,-0.00053775-0.0002637i,-0.00077656+0.00034102i,-0.0010166+0.0006732i,-0.00099474-0.00023324i
-0.00047518+0.001816i,-0.00058267+0.00099935i,0.00036558+0.0017497i,0.00090517+0.0013549i,-0.00013307+0.00028412i,-0.00091415-8.8331e-05i,-0.00096767-0.0003856i,-0.0009002-0.00073804i,-4.3569e-05-0.00033672i,0.0002031+0.00032915i,-0.00051515+7.1437e-05i,-0.00036633-0.0008959i,0.00039387-0.00073191i,5.6747e-05-0.00035194i,-0.00080121-0.00090657i,-0.00031724-0.00090895i,-0.00038343-5.8659e-05i,-0.00064395+0.00036465i,-8.122e-05+0.00011266i,0.00028546-1.9468e-05i,6.4794e-05+0.00032862i,0.00044529+0.0011084i,-0.00015269+0.00050346i
-0.00052374-0.00082053i,-0.00024378-7.0157e-05i,0.00067204-0.0002363i,0.00039077-0.0010777i,-1.7381e-05-0.00044446i,-0.00079176+0.0005948i,-0.0010878+0.00023245i,-0.0003398-0.00069298i,-0.00038452-0.00020387i,-0.00052597+2.3091e-05i,-0.00013223-0.00068442i,-0.00041713-0.0012328i,-0.00014835-0.00016565i,-0.00019181+0.00051718i,-0.00059167+0.00017655i,0.00032372+0.00073791i,0.00067759+0.00096031i,0.00063092+0.00059911i,0.00099197+0.00061099i,0.00098457+0.00028025i,0.00065169+3.8644e-05i,4.4173e-05-0.00013309i,-0.00021223-0.00057464i
-0.00060355+0.00071548i,-0.00015944+0.0020338i,0.0010818+0.0018833i,0.0019882+0.0012798i,0.00042078+0.00057966i,-0.0011665+0.00012114i,-0.0012465-2.1423e-05i,-0.00040786-0.00023123i,-7.6646e-05+0.00021846i,0.00014402+0.00017962i,0.00064227-0.0003897i,0.00043528-0.0010396i,0.00022602-0.0012299i,-6.9717e-05-0.00017853i,-0.0002704+0.00047489i,0.00034632+0.00043887i,8.7946e-05+0.000414i,-0.0005314+0.00038264i,-0.00060728-0.00022079i,-0.00062138-0.00062565i,-0.00039236-0.00063962i,-7.3366e-08-0.00038042i,0.00027888-0.00013392i
-0.0011091+0.00030499i,-0.001281+7.4383e-05i,-0.00092861+0.00068883i,-0.00052242+0.0012345i,-0.00053062+0.00081213i,-0.00016488+0.00034307i,8.4247e-05+0.00063092i,-0.00021549+0.00042239i,-0.00023404-0.0001146i,-0.00047274+0.00028603i,-0.001148+0.00047141i,-0.00071089-0.00032231i,0.00039279-0.00056302i,0.00070657+0.0001134i,0.00040079+0.0006406i,0.00052287+0.00070901i,0.00036273+0.00055419i,-9.4129e-05+0.00059065i,-0.00048929+0.0005254i,0.00028307+0.00057221i,0.00093957+0.00014547i,0.00038435-0.00029442i,-2.8824e-05-8.4105e-05i
0.0017552+0.00055807i,0.0020607+0.00012648i,0.0015479-0.00015553i,0.00059251-9.1589e-05i,0.00032288+0.0001037i,-0.00058068+0.00011294i,-0.0012012+0.00024556i,-0.0010433-7.7337e-05i,-0.00059061-0.00068716i,-0.00034349-0.0010876i,-0.00024259-0.0014764i,-0.00058513-0.00065558i,-0.00083296+0.0005713i,-0.00023279+0.00041756i,0.00069229-0.00021245i,0.00046803+4.242e-05i,-0.00047801+0.00043045i,-0.00077184+0.00084796i,-0.00082904+0.00061399i,0.00017386-0.00037593i,0.00098616-0.00016019i,0.00070208+0.00027109i,-3.4842e-06-2.6519e-05i
6.203e-05+0.00075203i,-0.00030273+0.0015166i,-0.00048215+0.00035394i,0.00027841-0.00077261i,0.00054112-0.0007357i,0.00011943-0.00013587i,-6.4385e-05+0.00059109i,-7.5054e-05+0.00081994i,-0.0003379+0.00074235i,-0.00017329+0.00046291i,-0.00032142+0.00035909i,-0.00041741-0.00019748i,0.00017346-0.00040329i,0.00082488-0.00015005i,0.00036035-0.00014466i,-0.00063733-0.00012229i,-0.00059809+6.8369e-05i,-0.00036189+5.9232e-05i,-0.00050807+0.0001281i,-0.00079009+0.0002558i,-0.00066386+0.00047991i,-0.00027638+0.00088012i,-0.00046626+0.0013094i
-0.00012529-0.00012783i,0.0004689+0.00045287i,0.00067655+0.0010474i,1.8399e-05+0.00092379i,-0.00041346+0.00014443i,-0.00020145-0.0005015i,-0.00063239-0.00047803i,-0.00098424+5.2501e-05i,-0.0001642+0.00021228i,-0.00027424+9.3659e-05i,-0.00082219+0.00028097i,-1.9591e-05+0.00045864i,0.00022516+0.00062493i,-0.0004255+0.00043449i,-0.00091394-2.7415e-05i,-0.00037868+5.3235e-05i,0.00041342-0.00019043i,0.0006124-0.0010547i,0.00067117-0.00099111i,5.5923e-05+0.00024512i,-0.00069814+0.00061857i,-0.00049078-0.00056042i,0.00014584-0.00094999i
-0.0007739-0.00059134i,-0.0015476-0.00096838i,-0.0015578-0.0013127i,-0.00073161-0.00064157i,-0.00043228+0.00014673i,-0.00039622+9.1883e-05i,0.00030227-0.00029525i,0.00080752-0.00088684i,0.00027246-0.00062413i,-3.9895e-05+5.0307e-05i,-0.0003208+0.00023793i,-0.00022197+0.00033839i,0.00075476+0.00045181i,0.0012055+0.00014949i,0.00083295+0.00067752i,0.00021396+0.00061806i,-3.3832e-05-0.00012178i,-0.00011372-0.0005603i,4.685e-05-0.00052972i,4.8406e-06-0.00079525i,-0.00017035-0.00016589i,9.6587e-05+0.0004214i,0.00061453+0.00044079i
0.00016425+0.0014967i,-0.00015529+0.0016987i,0.00014951+0.0014128i,0.00058792+0.00074686i,0.00046062-0.00041288i,0.0001865-0.00098322i,0.00052687-0.0011079i,0.00021006-0.00059442i,-0.00012689-0.00044527i,-0.00019422-0.00014662i,0.00015977+0.00041661i,0.00025266+0.00072413i,-0.00051501-1.1131e-05i,-0.00082744-0.0011841i,-0.00046102-0.00041371i,2.521e-05+0.00093273i,0.00050614+0.00071216i,0.00051332+0.00049048i,0.00024964+0.0012417i,-6.6239e-05+0.0011006i,-0.00065305+0.00046327i,-0.00050388+8.5749e-05i,-0.00011182-0.0002368i
0.00068794-0.0013623i,-0.00047901-0.0012549i,-0.0024467+0.0003907i,-0.0026262+0.0008747i,-0.0018104+0.00040455i,-0.0012075-0.00032007i,-0.00077135-0.00034677i,-0.00072919+0.00044383i,-0.00030325+0.0003611i,0.00028103+1.5512e-05i,0.00067782-8.6062e-05i,0.00047884+3.2473e-05i,0.00049055-0.00010633i,0.0010224-0.00018319i,0.0012283+0.00011979i,0.00021372+0.00089318i,-0.00067438+0.00095229i,-0.00035081+0.00064936i,0.00055974+0.0002817i,0.00055946-0.00025606i,0.00028408-0.0005419i,0.0012061-0.00039303i,0.0010473+0.00032746i
-0.00048567-0.00021877i,-0.00069791+0.00087752i,-0.00074015+0.0011838i,4.4327e-05+0.00057851i,-1.4232e-05+0.0010015i,-0.0010377+0.0012349i,-0.00089127+0.00054698i,-0.00094101+5.2978e-05i,-0.0016678-0.00028637i,-0.00091548-0.00037707i,-0.00010476-5.8833e-05i,0.0010691+0.00075013i,0.0014065+0.0011774i,0.00038487+0.00072348i,1.1221e-05+8.5395e-05i,0.000386+0.00012101i,0.00065525+0.00075222i,0.00058395+0.00069596i,0.00017805-0.00011322i,6.9822e-06-0.00029659i,4.6464e-05+0.00016234i,8.0882e-05+0.00044292i,0.0003155+1.1493e-05i
0.0004489+0.00056111i,0.00022539+0.0009647i,0.00030281+0.0013639i,0.0011008+0.00070823i,0.0010763-0.00034847i,0.00080463-0.00093498i,0.00039614-0.0011812i,-0.00065505-0.0011148i,-0.0011074-0.00066086i,-0.00074652-9.0948e-05i,-0.0004099+8.3568e-05i,-0.00055014+0.00039423i,-0.00019361+0.00020175i,8.7055e-05+0.00011569i,-0.00041806+0.00054703i,-1.1181e-05+0.0003903i,0.0002854+0.00021622i,6.058e-05+0.00055935i,0.0001153+0.0012845i,0.00039912+0.00095077i,0.00050254+0.00047769i,-0.0002184-2.787e-05i,-0.00064403-0.0007083i
0.0018648-0.00015499i,0.001366+0.00020643i,0.0003809-8.4153e-05i,-0.00069653-0.00056811i,-0.00085533-0.00050806i,-0.00021223+0.00047007i,-0.00064448+0.00061084i,-0.00041699-0.00067752i,0.00040183-0.0010893i,-4.2668e-06-0.00073679i,2.4512e-06+0.00016205i,0.00023186+0.0010288i,1.1573e-05+0.00062924i,-0.00046629+0.00036669i,-0.00054524+0.0012773i,0.00027196+0.0011689i,0.00023751+0.00021477i,-0.00057713-7.9464e-05i,0.0001292-0.00021856i,0.0012002-0.00056001i,0.0011509-0.00058211i,0.00048328+4.7104e-05i,0.00014581-0.00016438i
0.00093515+2.7686e-05i,0.00038521-1.0437e-05i,0.00013913-0.00042728i,-0.00070494-0.00037908i,-0.0011847-0.00017658i,-0.0015786+0.0004687i,-0.0011893+0.00093235i,2.5564e-05+5.3777e-05i,0.00052142-0.00098162i,0.0002506-0.00038948i,-1.4149e-05+0.00039353i,-0.00039892+0.0012522i,-0.00095331+0.0013509i,-0.00010881+3.0855e-05i,0.00054495-0.00066043i,6.7287e-05+0.00039135i,0.00037725+0.00081355i,0.0010645+0.00025172i,0.00073373+0.00058417i,0.000288+0.00038474i,0.00034809-0.00032682i,0.00050461-0.0004769i,0.00045075+4.3016e-05i
0.0009905+0.00049727i,0.0014998+0.00025438i,0.00074961+0.00051521i,0.0011298-7.67e-05i,0.0019478-0.00023395i,0.00162+0.00030261i,0.00014612-0.00021604i,-0.0012456-0.00077093i,-0.00213-9.1168e-05i,-0.0019499+0.00039373i,-0.00059279+0.0003462i,0.00027778+0.00012272i,0.00016581-0.00026084i,-0.00011608-0.00047051i,0.00059454-0.00043733i,0.0003883-0.0011156i,-0.00021157-0.0008036i,-7.2441e-05+2.3942e-05i,-0.00025284-0.00029731i,-5.4287e-05-0.00035282i,0.00014395-0.00017222i,0.00042211-0.00023107i,0.00072274-0.00010936i
-0.00023671-0.00040279i,-7.7225e-05+0.00028807i,0.00030429+0.00062676i,9.7244e-05+0.00094895i,-0.00032261+0.00036177i,-0.00029059-0.000115i,-0.00078047+0.0005974i,-0.00057783+0.00065389i,-0.00043474+0.00012343i,-0.0003115-0.0001165i,0.00032099-0.00043852i,0.00060538-0.00052582i,0.00029585+6.3298e-05i,0.00024888+0.00043674i,0.00026941-0.00027882i,7.1072e-05-0.00017891i,-5.4282e-05+0.00028602i,-0.00045009+7.7843e-05i,-0.00074761-0.00033175i,-0.00039199-0.00019476i,-7.6438e-05+4.9699e-05i,0.00017773-0.00051642i,-5.7692e-06-0.00062258i
-0.0015357-0.00053819i,-0.00084707-1.3273e-05i,-0.00074772+0.001301i,-0.00069281+0.0010191i,9.5813e-05+0.00059813i,-1.3995e-06+0.00090451i,0.00032278-9.5847e-05i,0.00085606-0.00093196i,-2.9575e-05-0.00092664i,-0.00055607-0.00025808i,-0.00087766+0.00015253i,-0.00049857+4.6431e-05i,0.00030704-0.00021422i,0.00017841-0.00042739i,-2.5566e-05-0.00073377i,-3.1515e-05-0.00065156i,-0.00029063-0.00045543i,-7.0037e-06-0.0002678i,0.00050893+6.1396e-05i,0.00062014+0.00030547i,-8.7968e-05+0.00011513i,-0.00022564-3.4421e-05i,0.00068879-0.00026618i
-4.7398e-05-0.00073154i,0.00025688-0.00023415i,0.00085482-0.00029948i,-8.6295e-05-7.2825e-05i,-0.0013105-7.6143e-05i,-0.0010933-0.00018377i,-0.00075071-0.00054063i,-0.00079976-0.00090187i,-0.00065199-0.00048938i,-9.3565e-05-1.4014e-05i,0.00081732+0.00042773i,0.00093403+0.00062338i,0.00058224-0.00024091i,0.00051017-6.2886e-05i,-0.00037483+0.00065853i,-0.0012096+0.00061885i,-0.00081101+0.00016037i,-0.00021348-0.00085397i,0.00034119-0.00053985i,0.00052448+0.00066422i,0.00030165+0.0011905i,0.00075882+0.00095619i,0.0010715-6.6552e-05i
0.00018543+0.00055348i,-8.389e-06-0.00022935i,0.00020271-0.00045737i,6.4043e-05-3.6123e-05i,-0.0002915+0.00079164i,-0.00029284+0.00047691i,-0.00015961-0.00028232i,-0.00015057-0.00038377i,-6.8213e-05-0.00018636i,0.00019378+0.00010055i,0.0005133+0.00012113i,0.00030542+0.00032804i,-9.7808e-05+0.00099285i,-0.00019876+0.00089757i,-9.9959e-05+0.00054636i,-0.00041583-0.00012585i,-0.00045125-0.00028797i,0.00026427+9.1182e-05i,0.0012231+0.0003979i,0.0010574-4.807e-05i,0.00014213-0.00034049i,0.00040392+0.00038588i,0.00049093+0.00050717i
-0.00062848-0.001347i,-0.000845-0.0016966i,-0.00069047-0.0010507i,-0.0005916-0.00016264i,-0.0011702+0.00028633i,-0.0013833+0.00063331i,-0.00077612+0.00045389i,0.00060723+4.401e-05i,0.0011814+0.00015066i,-5.8202e-05+0.00011639i,-0.001304-0.00020024i,-0.00073641+3.328e-05i,0.00028412+0.00048166i,0.00019123+0.00025905i,0.00013696+0.00012937i,0.00062112+0.00073325i,0.0007167+0.0010134i,0.00016446+0.001015i,-0.00012349+0.00083441i,-0.0001682-1.4053e-05i,0.00038177-0.00039058i,0.00035593-0.00028614i,0.00012521-0.0003605i
-0.00087166+0.00026759i,-0.0011319-0.00051549i,-0.00070726+0.00028666i,0.00030951+0.00093767i,0.0002867+0.00029494i,0.00025911-0.00031695i,0.00051495-0.0004081i,0.00066907-0.00036256i,0.00049855-0.00017208i,0.00073598+0.00046175i,0.0010454+0.00068616i,0.0010041+0.00037283i,0.0005933+0.00026653i,0.00043204-1.0165e-05i,0.00024735-5.5866e-05i,-0.00042962-9.2037e-05i,-0.00047553-0.00060521i,-0.00021318-0.0010441i,-0.00080855-0.00025545i,-0.0010143+7.4903e-05i,-0.00032093-0.00095449i,0.00030004-0.0011418i,0.00037575-0.00069081i
