-0.001402+0.00088868i,-0.0017511+0.00047064i,-0.0033028+0.00069953i,-0.0030849+0.00090921i,-0.0022982+0.0012438i,-0.0014966+0.0016081i,-0.00041605+0.0011892i,0.00026483+0.0012501i,0.0010368+0.00092716i,0.0013498-0.00021716i,0.0015115-4.4068e-05i,0.0011147+0.00030773i,0.00043784+0.00020444i,0.00022965-0.00036852i,-0.00022224-0.00075285i,-0.00038939-0.00014894i,-5.8961e-05+0.00034729i,0.00026695+0.00044052i,5.0677e-05+0.00027285i,-0.00029253-9.2577e-05i,-0.00023644-0.00017179i,0.00045057+4.3855e-05i,0.00024179-0.00035245i
-0.00089796+0.0013229i,0.00054846+0.0015892i,0.00056653+0.0028836i,-2.6351e-05+0.0028631i,-0.00036716+0.0016157i,-0.00024006+0.0010415i,0.00023278+0.00080593i,0.00075948+0.00061973i,0.00069172+0.00024438i,0.0005127-0.00026197i,0.00091302-0.00053978i,0.0014231-0.00065745i,0.0014719-0.0010338i,0.00094831-0.00054298i,-2.8613e-05+8.6248e-05i,0.00017449+0.00056698i,-2.4955e-05+0.00096114i,-0.0012257+0.00077554i,-0.0015451+0.00020321i,-0.00045551-0.00043417i,0.00038481-6.9826e-05i,5.7661e-05+0.00048324i,-0.00019651+0.00059274i
0.0002358+0.0007758i,-0.00022868+0.00031869i,-0.00069146-0.00010117i,-0.0006085-0.00010014i,-0.00051435-0.00043487i,0.00024129-0.0004485i,0.00090173-0.00034542i,0.0012394-0.00024339i,0.0011372+0.00014761i,0.0005818+0.00043819i,-5.614e-06+0.00080257i,-2.253e-05+0.00026886i,0.00050793-0.00052117i,0.00025122-3.3528e-05i,0.00011787+0.00034058i,0.00071673-5.7861e-05i,6.8085e-05-0.00033524i,-0.00016334-0.00081637i,0.00027283-0.0001812i,0.00030748+0.00042731i,0.00053908-0.00048518i,0.0010977-0.00055588i,0.00059073+4.7555e-05i
-0.00072692-8.2246e-06i,-0.00063749-0.00022843i,-0.00040625-0.00036522i,-0.00016503-0.00020929i,-0.00049747-0.00029845i,-0.00039895-0.00034282i,0.00030117-0.00041562i,0.00070193-0.00050618i,0.00094379-0.00012455i,0.00046056+0.00010435i,0.00058396+0.00023068i,0.00099703-0.00023685i,0.00047174-0.00032546i,-0.00036411+0.00011912i,-0.00022314+2.9066e-05i,0.00058144-3.2912e-05i,0.00051551+0.00060711i,-8.0807e-05+0.00077442i,-0.00027788+0.00063826i,0.00030885+0.00048917i,0.00043434-0.00077127i,-0.00039605-0.0010448i,-0.00015018-0.00049761i
0.00045383-0.0002373i,0.00020054-0.0008344i,0.00056545-0.00071808i,0.00055115-0.00075036i,5.4654e-05-0.00080524i,-0.00025197+0.001129i,-3.1769e-05+0.0020023i,0.00029971+0.00090173i,0.00031395+0.00028735i,0.00061656+0.00012385i,0.0010594+0.00039277i,0.00056977+0.00054487i,0.00024717-0.00013324i,0.00065357-0.00081491i,0.00091495-0.00075891i,0.00085551-0.00033929i,0.0005665-0.00021476i,9.0234e-05+0.0003706i,-0.00043321+0.00076847i,0.00027224+1.5242e-05i,0.00039779-0.00071843i,-0.00036031-0.0011826i,-0.00050629-0.00092711i
0.00070628-0.00064651i,0.00023792-0.00078841i,-0.00064377-0.0011089i,-0.0012186-0.0012518i,-0.0015865-0.0014511i,-0.00088669-0.0010039i,-6.4506e-05+0.00022791i,0.00071975+0.0006924i,0.00083344+0.00071703i,-4.52e-05+0.00023213i,-0.00051579-0.00045003i,-0.00020612-0.00060328i,-4.9744e-05-0.0011372i,-0.0003028-0.0010469i,-0.00041036-0.00068009i,0.00014414-0.00062214i,0.00024548+0.00014677i,0.00010628+0.00090166i,0.00034316+0.00060883i,0.00030315+3.0232e-05i,9.1457e-05-1.3928e-05i,-0.00056997+0.00010345i,-0.00060158-0.00010603i
0.00017478-0.0014908i,-2.1182e-05-0.0017831i,-0.00040813-0.0032299i,-0.0011535-0.0029358i,-0.00018315-0.0014837i,0.00036727-0.00052541i,0.00030455-0.00061165i,0.00033896-0.00058227i,0.00041124-0.00041691i,0.0010127+6.1425e-05i,0.00091687+0.00059543i,-7.9863e-05+0.0010506i,0.00038943+0.00092477i,0.0011972+0.00053756i,0.00034166+0.00022093i,-0.00031368+0.00032275i,-0.00030345+5.7674e-05i,-0.00024147-0.00074451i,-0.00023447-0.001088i,-6.4125e-05-8.9402e-05i,-0.00027445+0.00048392i,-0.00041385+0.00052872i,-0.00044116+0.0006577i
-0.00023648-0.00037107i,0.00042973-0.00059621i,0.00044446-0.0013459i,-0.00082858-0.0010043i,-0.0015302-0.00021312i,-0.0015178-0.00029151i,-0.00072148-0.00028788i,0.00053016+0.00028101i,0.00099702+0.0010443i,0.00066749+0.00091568i,0.00028488+0.00019449i,0.00046768+0.00044207i,0.00085178+0.00067844i,0.00080707+0.00011729i,0.00042679+0.00016354i,0.00044393+0.00014001i,0.00081886+0.00022737i,0.00032972+0.00046484i,-0.00037461+0.00028377i,-0.00023793+0.00024733i,-6.6246e-06+0.00026184i,0.00028083-0.00024455i,4.7955e-06-0.0003157i
-0.0014435+0.00055307i,-0.00025064+0.00086089i,-0.00017736+0.0020412i,-0.00027634+0.0027902i,0.00015404+0.0022225i,0.00061675+0.001091i,0.00032449+0.00033115i,0.00030847+0.0004674i,0.00018068+0.00081554i,-0.00040362+0.00081311i,-0.0001673+0.0012706i,0.00027252+0.00098243i,0.00024409+0.00014411i,0.00019062-0.00026862i,-0.00016389-0.00022297i,-0.00014407-0.00018609i,0.00023375+0.00058416i,0.00062218+0.00086004i,0.00050311+0.00014118i,-0.00037943+0.00046084i,-0.00037489+0.0010703i,-2.9904e-05+0.00014948i,-0.0002108-0.00029557i
0.00072486+0.0019032i,0.00036821+0.0011019i,0.00088216+0.0014675i,0.0014468+0.00068143i,0.0015259-0.0013842i,0.00052219-0.001337i,-0.00024483-0.00062512i,0.00019548-0.00059323i,0.0012819-0.00096251i,0.0010938-0.00020609i,0.00030368+0.00075755i,-3.2276e-05+0.00048895i,-0.00040173+0.00017876i,-0.00035765-0.00075806i,-0.00059496-0.00088548i,-0.00083782+0.00023105i,-6.1614e-05+0.001056i,-0.00034861+0.0010393i,-0.00065915+0.00052499i,-0.00034758-6.2797e-05i,0.00060395-0.00044319i,0.0010602-0.00055473i,0.00066557-0.00037662i
0.0016588+0.0005204i,0.0014995+5.6923e-05i,0.00093854-0.00052731i,0.00020218-0.00093785i,-0.00021109-0.00064381i,-0.000145-0.00043388i,0.00011286-0.00020707i,0.00021667-4.3961e-05i,0.00050328+0.00036373i,0.00084169+0.00011871i,0.00036672-0.0010975i,-0.0004249-0.0011971i,-0.000581-0.00071696i,-0.00038347-0.00055718i,-8.0603e-05-0.00083079i,0.00027199-0.00079759i,0.00039176+0.00018276i,-0.00022129+0.0006299i,-0.00043533+0.00032014i,-0.00023068-1.4915e-05i,-2.7614e-05-0.00067718i,0.00021836-0.00047251i,9.5055e-05-0.00034896i
0.00061567-0.00093655i,0.00047907-0.0011846i,0.00089214-0.0012582i,0.00013742-0.0020226i,-0.00015734-0.0017372i,0.00076243-0.00037426i,0.0011722+0.00052796i,0.00099943+0.00078779i,-0.00014396-0.00010491i,-0.00014194+0.0001124i,0.00062933+0.0013369i,0.00030036+0.0011466i,0.00028927+0.00054138i,0.00040938+0.00018475i,5.686e-05+0.00020048i,-6.641e-05+0.00018339i,0.00023289+0.00046516i,0.0002141+0.00078165i,0.00019885+0.00062305i,0.00076744+0.00033769i,0.00066676+0.0013012i,9.9221e-05+0.0015078i,0.0001246+0.00070561i
-0.00093601-0.00082132i,-0.0010744-0.0013399i,-0.0010517-0.00052909i,-0.001129+0.0002961i,-0.0011477+0.00037451i,-0.00082475+0.00012353i,-0.00035768-0.00027829i,-2.375e-05-0.00027806i,0.0004713+0.0002172i,-9.3229e-06+0.00053764i,-0.00069743+0.00061686i,-0.00041556+0.00067654i,0.00021748+0.0012829i,0.00080093+0.0013892i,0.0013137+0.00056209i,0.0012716-0.0001182i,-0.00019017+0.00061277i,-0.00034684+0.0008439i,0.00051274+0.0007164i,0.0007383+0.00083606i,0.00049718+0.00050572i,-7.9626e-05+9.1645e-05i,-0.00058029+3.4577e-06i
-0.0017327-0.00056118i,-0.00096134-0.00012284i,-0.0015466+0.00033017i,-0.0011982-0.00078801i,-0.00051303-0.0012553i,-0.0005927-0.0012228i,-0.00029833-0.0017786i,-9.8684e-05-0.0013038i,0.00062288-0.00017936i,0.00094838+0.00066055i,0.00072375+0.001195i,0.00044173+0.00094699i,0.00069875+0.00032182i,0.00083372-4.0748e-05i,0.00025483-0.00077488i,-0.00020944-0.00040066i,-3.6562e-05+0.00020464i,0.00065135+0.00042221i,0.0005343+0.00088323i,5.9527e-05+0.00068125i,-0.00065073+0.0011731i,-0.0010761+0.00051709i,-0.00028564-0.00042265i
-0.0016266+0.0012577i,-0.0012366+0.0013726i,-0.0012581+0.0017601i,-0.00092129+0.0018659i,-0.00023224+0.0012613i,0.00056415-0.00016421i,0.00091507-0.00055359i,0.0011178-0.0002729i,0.0015743+0.00021239i,0.0012551+0.0012099i,0.00067801+0.0013107i,0.00044043+0.00042387i,-0.00020999+6.0007e-05i,-0.00060923+0.00010315i,-0.000631+0.00015931i,-0.00091832+0.00037491i,-0.0014478+8.5604e-05i,-0.0017566-0.00061617i,-0.00092469+0.00016954i,-0.00033325+0.00081468i,-0.00013525-0.00028351i,0.00058874-0.00048029i,0.00047641+0.00030124i
0.001952+0.0011701i,0.0023217+0.00046079i,0.0013343-0.00057932i,-9.0032e-05-0.00066495i,-0.00067788-0.00094069i,-0.00040688-0.00050134i,-7.2645e-06+0.00039178i,0.00062602+8.0076e-05i,0.0011646-0.00011591i,0.0010808-0.00015163i,0.00077148-0.0002542i,0.00056677-0.00013743i,0.00066155-0.00053508i,0.00063936-0.00050829i,0.0003118+0.00037333i,0.00065617+0.0007017i,0.0011574+0.0010409i,0.001053+0.001111i,0.00020479+0.00035469i,-0.00050585-0.00049029i,-0.00025224-0.0008764i,0.00034882-0.00031197i,0.00030601+0.0007475i
-0.0013045+0.00035286i,-0.0021165+0.0010626i,-0.0026213+0.0012993i,-0.00217+0.0011099i,-0.0015384+0.00067126i,-0.00095623+0.00027085i,-1.7221e-05+0.00034174i,0.00089137+0.00043261i,0.00077516+0.00040515i,0.0010024+0.00079363i,0.0012319+0.00075468i,0.00093216-0.0003591i,0.00085354-0.00041516i,0.0006816-0.00039i,0.00090917-0.0005255i,0.0012578-0.00036666i,0.00092949+0.00027433i,0.00018501+0.0011656i,-0.00043312+0.00070832i,-9.6842e-06+1.8345e-05i,0.00020121-0.00047981i,-0.00040711-0.0008612i,-0.0004422-0.00047133i
0.00093267-0.0013021i,0.00015425-0.0021637i,-0.00019259-0.003579i,-0.00062949-0.00318i,-0.00095944-0.0013851i,-0.0014395+4.5731e-05i,-0.00064011+3.1568e-05i,0.00059782+0.00011719i,0.0015234+6.4601e-05i,0.00076695+0.00040345i,5.8257e-05+0.0015922i,0.00027726+0.0015078i,0.00031122+0.00094953i,2.0236e-05+0.00068331i,0.00048482+0.00010414i,0.00059888-5.9209e-05i,-2.0623e-05+0.00021715i,-0.00023985+4.5613e-05i,-0.00017574+0.0003463i,0.00070362+0.0006372i,0.00090703-0.0003927i,0.00085127-0.000952i,0.00087059-0.00065043i
-0.00074176-0.00091292i,-0.0001177-0.0010603i,1.8245e-05-0.00093378i,2.1576e-05-0.00033948i,-9.4049e-05+9.1569e-05i,-0.00037174+0.00025346i,0.00012631+0.00024283i,0.00077438-2.7445e-05i,0.00064214+8.3419e-06i,0.00060049-0.00026267i,0.00080107-0.00019515i,0.001413-0.00053889i,0.0015592-0.0013327i,0.0008587-0.0012348i,0.00040808-0.00028746i,0.00059692+7.2204e-05i,0.00082289+2.2612e-05i,0.00049987+0.00023859i,0.00029925-8.97e-05i,0.00023653+0.00059927i,-0.00054813+0.00041196i,-0.00083307-0.00047288i,-0.00067023-0.00035257i
-0.0015606-0.00080586i,-0.0014996+0.00017351i,-0.0029711+0.00036747i,-0.0025449+0.00082929i,-0.001795+0.0014842i,-0.001435+0.0010887i,7.0908e-05+0.00044286i,0.00081516+0.00046224i,0.00075719+0.00046129i,0.0014279+0.00054412i,0.0013258+0.0010074i,-1.7853e-05+0.00055008i,-0.00057704-3.5395e-05i,-9.0226e-05-5.339e-05i,0.00035863+0.00031432i,0.00085085+0.00088883i,0.0013255+0.00025226i,0.0011278-0.00066295i,0.00031827-6.1326e-05i,-0.00087369+0.00070623i,-0.00059222+0.00012793i,0.00070827-0.00030448i,0.00030262-7.7025e-05i
0.00073206-0.0007344i,0.0013614+7.5225e-05i,0.00083654+0.00045036i,0.00065646+2.8277e-05i,-0.00010312-0.000477i,-0.00022938-0.0008593i,0.00041019-0.00037974i,0.00055541+0.00033561i,0.00013862-7.0878e-05i,0.00040204-0.00063214i,0.00062309-0.00039538i,0.00064912-0.00015277i,0.00064798-0.0007667i,-3.5203e-05-0.00099428i,0.00051432+0.00025021i,0.00092877+0.0013238i,-0.000128+0.00085184i,-0.0013374+6.4937e-05i,-0.000439-5.8428e-05i,0.00062064+0.00013998i,7.7855e-05-0.00079373i,-0.00036077-0.001419i,-3.6681e-05-0.0011455i
0.0015018+0.0012417i,0.0013366+0.00087441i,0.0015124+0.0004855i,0.0016802-0.00040765i,0.0011888-0.0010984i,-0.00014733-0.00087337i,-0.00027872-0.00035994i,0.00022185-0.00022655i,0.0004473-0.00019619i,0.00083902+0.00047549i,0.00077199+9.9008e-06i,0.00015326-0.00082609i,0.00021665-0.00082953i,0.00071315-0.00045626i,0.00024223-0.00032755i,0.00068194-0.00043243i,0.0010019+0.00031096i,-0.00015195+0.00088202i,-0.00038829+0.00026942i,0.00069406-0.00027015i,0.00072331-0.00077115i,-0.00054504-0.00093558i,-0.0012543-0.000635i
0.0012222+0.0013375i,0.00085139+0.0011544i,0.001346+5.6336e-05i,0.00061379-0.0001435i,-0.00073056+0.00013387i,-0.0008204+0.00012904i,-0.00030692+0.00052238i,-0.00071616+0.00076079i,-0.0010547+0.00064175i,0.00049095+0.00063977i,0.0014802+0.00039721i,0.00043223+3.8441e-05i,-0.00048519+0.00043816i,-0.00030201+0.00029283i,0.00063597-0.00030705i,0.0004436-0.0004144i,-0.00046051-0.00040946i,-0.00025025-0.00022378i,0.00058948-4.1792e-05i,0.00064337-9.1963e-05i,2.8451e-05-0.00050057i,-0.00038337-0.00066564i,-0.00097573-0.00090991i
0.00093404+0.00036628i,0.0011594-0.00059267i,0.0013017-0.001544i,0.00093739-0.0023431i,4.9664e-05-0.0026882i,-0.0011072-0.0012261i,-0.0009825-0.00027363i,0.00019522-0.00024672i,0.0011745-0.00035818i,0.00085041-1.4167e-05i,0.00027458-0.00052909i,0.00026109-0.00039748i,0.0007345-2.7282e-05i,0.00059459-5.6465e-05i,7.2298e-06+0.00031261i,0.00019637+0.0005375i,0.00077432+0.0010981i,9.9573e-05+0.0010259i,-0.00085824-9.7285e-05i,-0.00047845-0.00029452i,0.00027331+0.00038033i,-7.3635e-05+0.0010377i,-0.00051794+0.00062321i
0.00036886+0.00093775i,0.0003108+0.0010919i,0.00023865+0.0002324i,-0.00028256-0.0005959i,-4.2885e-05-0.00089869i,0.00053377-0.00081166i,0.00062709+3.6927e-05i,0.00041081+0.00059617i,0.00034315+0.00048825i,0.00025859+0.00041905i,-2.8262e-05+0.00013303i,0.00051717+4.2659e-05i,0.0009241+0.00067679i,0.00017183+0.0010156i,-0.00043192-4.0905e-05i,0.00012806-0.00014149i,0.00013925+0.00065737i,-0.00027053+0.00031435i,-8.9577e-05-2.0004e-05i,0.0003539+0.00063075i,0.00014208+0.00062161i,1.2714e-05-0.0003988i,-0.00023244-0.0005656i
0.0001868-0.00013679i,4.3775e-05+0.0010835i,0.00040085+0.0016385i,-0.00041959+0.0010026i,-0.0013672+0.00047745i,-0.0013198+0.00023055i,-0.00093912+0.00086914i,4.2719e-05+0.0010768i,0.00082542+0.00036839i,0.00092544+0.00027541i,0.00055985+0.0006007i,-4.5395e-05+0.00082998i,-0.00071319+0.00072062i,-0.00059302+0.00044257i,1.3867e-05+0.00025788i,0.00047572+0.00043498i,0.00095961+0.00056409i,0.00047926+0.0007438i,-0.00059557+0.00058227i,-0.00012299-9.7292e-05i,0.00022555-0.00028879i,0.00044622-7.737e-05i,0.00027885-1.9396e-06i
-0.0017935-0.00017689i,-0.0026789-4.5017e-05i,-0.0031639-0.00010996i,-0.0019786+0.00026255i,-0.0012881+2.3635e-05i,-0.00051383-0.0001741i,0.0002319-0.00034613i,0.00038676+0.00015961i,0.00042258+0.00029512i,0.00019039+5.3365e-06i,3.2855e-05+0.00078263i,0.00030247+0.0010952i,0.00075591+0.0008399i,0.00077919+0.00019874i,0.00060656-0.00044882i,0.0011084-0.00063462i,0.0012939-0.0010134i,0.0009938-0.00073409i,-9.409e-05-0.00052128i,-0.00095463-0.00061633i,-0.00030646-0.00032236i,0.00019554-3.0027e-05i,-7.256e-05-0.00035338i
-0.00070416+0.0013776i,0.00072185+0.001343i,0.0010437+0.0016992i,0.0014358+0.0020096i,0.0011164+0.0018207i,0.00050563+0.00078908i,0.00055813+0.00079733i,0.0014098+0.00092776i,0.001718+0.00072989i,0.00030476+0.00044381i,-0.00057007+1.3367e-05i,0.00034182+0.00038672i,0.00067681+0.0003456i,0.00030663-0.00053849i,0.00078579-0.00027222i,0.00052344+0.00053219i,-0.00024992+0.00085632i,-0.00048621+0.00060475i,-6.9521e-05+0.00048421i,0.00066917+0.0006378i,0.00063272+0.00087872i,-0.00029152+0.0014681i,-0.00062119+0.00015621i
-0.00082246-0.00080816i,-0.0013275-0.0016071i,-0.0019193-0.0021663i,-0.001496-0.0010321i,-0.0010813-0.00024631i,2.0922e-05-0.00042085i,0.00092302-0.00068063i,0.00087215-0.00072259i,0.0009963-0.00032371i,0.00062301+0.00077642i,0.00054849+0.0014416i,5.1291e-05+0.00060888i,-0.00013913+0.0001059i,0.00033408+0.00019743i,0.00077796+0.00036187i,0.0016336+0.0011372i,0.00093366+0.0012045i,-8.5486e-05+0.00018005i,-0.00017195-0.00066015i,-0.00014001-0.00064274i,-0.00028655+0.0001534i,-0.0011232+0.00047585i,-0.0011477+0.00023506i
-0.00053197+0.0011428i,0.0007761+0.0014109i,0.0013556+0.0013062i,0.0010691+0.00030157i,0.0013037+1.1482e-05i,0.0013382+0.00055831i,0.00037665+0.00083986i,0.00049019+0.00083373i,0.00087206+0.00014384i,0.0003677-9.4389e-06i,-7.2594e-05+0.00031233i,0.00045884-4.4097e-05i,0.0011049-0.00010708i,0.00084942+0.0002219i,0.00084165+0.00034597i,0.00093732+0.00045711i,0.0010236+0.00023894i,0.0002969+0.00067198i,-0.00020093+0.00067438i,0.00049494+0.00066227i,0.00069287+0.00079352i,-0.00018629+0.00031252i,-0.00073405-0.00046745i
-0.00095495-0.0027427i,-0.00048048-0.0015606i,-0.0017383-0.0013206i,-0.0030153-0.00075492i,-0.0033266-0.00015233i,-0.0025898+0.00011199i,-0.0014023+0.00066539i,5.9784e-05+0.0004311i,0.001585-0.00010233i,0.0021668+0.0002524i,0.0013316+0.0016701i,0.00043793+0.001803i,0.00041236+0.0014948i,0.00012655+0.00063315i,0.00024823-0.00050725i,0.00074227-0.00034033i,0.00054799+0.00038169i,-0.00051819+0.00057261i,-0.00083038-0.00015143i,-0.00029736-0.00049876i,-0.0001417-0.00029385i,-1.4133e-05-7.4627e-05i,0.00025101+2.4758e-05i
-0.00079224+0.00095822i,-0.00030778+0.0007168i,0.00070388+0.00047801i,0.0020973-0.00036165i,0.001552-0.0010347i,-0.00027819-0.00040003i,-0.00072188-0.00023365i,-0.00065663-0.00046137i,-0.0001641-9.8845e-05i,0.00060282+0.0001715i,0.00056163+0.00019704i,0.0003185+5.3347e-05i,-0.00012355-0.00017953i,0.00023331+3.2872e-05i,0.00044012+0.00060932i,2.4263e-05+0.00073012i,-0.00033239+0.00075888i,-0.00068321+0.0011618i,-0.00048852+0.0012694i,0.00023957+6.5502e-05i,0.00012667-0.00096449i,1.727e-05-0.0006716i,0.00026765+0.00015177i
