-0.0014867+0.0014676i,-0.0021501+0.0020364i,-0.0033314+0.0014202i,-0.0024989+0.00024282i,-0.002104+1.2736e-05i,-0.0022208+0.00039083i,-0.0014018+0.0013643i,-0.00061519+0.0018863i,0.00027011+0.0011073i,0.0012885+7.6925e-05i,0.0010332-0.00066335i,0.00035347-0.00076355i,0.00039955-0.00060979i,0.0007593-0.00073431i,0.00023466-0.0011432i,-0.00041594-0.00099459i,-0.00053977-0.00048533i,-0.0014692-0.00074105i,-0.0014852-0.00076427i,-0.0005907-0.00011464i,-1.7818e-05+0.00029668i,0.00012791+0.0003569i,0.00049302+0.0012957i
-7.9975e-05+0.00079995i,-0.00017154+0.0022525i,-0.00063881+0.0028725i,-0.00020193+0.0019461i,0.00093817+0.0013776i,0.0015758+0.0015561i,0.0012065+0.0016206i,0.00057217+0.0016512i,0.00021243+0.0008655i,-0.00011326-0.00064399i,0.00034534-0.0010697i,0.0012369-0.00026207i,0.0011756+0.0009414i,0.00048897+0.00063376i,-0.00039094-0.00064977i,-0.00085219-0.00084474i,-0.00085428-0.00015949i,-0.00092881-8.3071e-05i,-0.00087209-0.0007518i,-0.0003947-0.00070552i,-0.00028437-0.00024648i,-0.00040702+2.1889e-05i,0.00012272+0.00049119i
-0.0012356-0.0020392i,-0.0015039-0.0014973i,-0.0018585-0.002508i,-0.001746-0.0020655i,-0.0016331-0.00023258i,-0.00069112+0.00042149i,-0.00015488+0.00095033i,0.00015388+0.0011918i,0.0010034+0.0007825i,0.00050624+0.00045608i,-4.0752e-05+0.00041991i,0.00058894+0.0005382i,0.00031171+0.00049432i,-0.00043243+1.986e-05i,-0.0011095+0.0005431i,-0.001311+0.00073629i,-0.00075937+0.00015215i,-0.00088252-0.0005721i,-0.001144-0.00068068i,-0.00038292-0.00069266i,-7.0061e-06-0.00065369i,0.0004074+0.00012605i,0.00084353+0.00099545i
0.00013646-0.00066041i,-0.00033056-0.00045476i,-0.00054191+0.00051503i,-0.00066185+0.0002233i,-5.1975e-05-0.00047095i,7.3159e-05-0.00029366i,-0.00020311+4.4357e-05i,0.00023873-0.00020039i,0.00073875+4.4272e-05i,0.00046632+0.00039491i,-1.5384e-05-8.8132e-05i,0.00018041-0.00073187i,0.00040494-0.0012684i,0.00039797-0.00072105i,-5.5729e-05+0.00013062i,-0.0003275+0.00013046i,-0.00022226+0.00032549i,7.9211e-05+6.4155e-05i,0.00077286+0.00062959i,0.00085423+0.00096707i,0.00034929+0.00030713i,0.00055698-0.00024046i,0.00062745-0.0003469i
0.0014847-1.487e-06i,0.000839+0.0014403i,0.00096534+0.0016359i,0.0010234+0.00052293i,0.00051783+0.0002482i,0.00014427+0.00012596i,0.0002347-5.3153e-06i,-4.6216e-05+0.00070996i,-0.00017182+0.00099546i,0.00067544+0.00049619i,0.0012226-0.0003262i,0.00049145-0.00044577i,-0.00059867-0.00041124i,-0.0008996-0.00098199i,-0.00044902-0.00080803i,-0.00031924+0.00040901i,-0.00053464+0.00064927i,-0.00045692-9.5775e-05i,-0.0010872-0.00031744i,-0.0010855+6.1017e-05i,-0.00073706+0.00015497i,-1.7779e-05-1.6172e-05i,0.00043659-0.00038695i
-0.00017935+0.00030097i,0.001165-0.0018361i,0.00089975-0.002403i,-0.00033238-0.0012022i,-0.00054198-0.00048468i,-0.00023557-3.8831e-05i,0.00012822+0.00043512i,0.00025201+0.0010982i,-4.5716e-05+0.00056231i,5.9904e-05-0.00093328i,0.00027598-0.0010624i,0.00019362-0.00092429i,3.1529e-05-0.0012591i,-0.00019656-0.0007299i,-0.00030843+0.00014567i,-0.00010894+0.00044024i,-0.00079185-1.3025e-05i,-0.0010338-0.00016941i,-0.00043651+0.00010722i,-0.00018024+0.00047072i,-1.5593e-05+0.0013754i,0.00053001+0.0013361i,0.00060807+0.00067127i
0.0010469+0.0003285i,0.00064338+0.00083427i,0.00045973+0.001175i,0.00022147+0.0012518i,0.00020787+0.0013349i,0.00010868+0.0014788i,-0.00016757+0.0018236i,-1.7724e-05+0.001678i,6.8267e-05+0.00058041i,0.00066831+1.0108e-05i,0.00098851+5.0815e-05i,0.00090659-2.7907e-06i,0.00033337-4.0324e-05i,-4.5259e-05-1.5911e-05i,0.00029233-4.3549e-05i,0.0001654-0.00051994i,-0.00045117-0.00098269i,-0.001053-0.00042833i,-0.00088744+0.00049211i,-0.0011466+0.00097236i,-0.0011259+0.00057453i,-4.7061e-05-0.00026235i,0.00063014+8.7262e-05i
0.00032187-0.00015855i,-0.0012381+0.00082113i,-0.00068579+0.00091404i,0.00019626+6.9184e-05i,-0.00036381-0.00050979i,-0.00045587-0.00023507i,0.00013596+0.00096182i,0.00033683+0.000966i,0.00028891+8.3184e-05i,0.00034424-0.00062186i,-0.00013565-0.00045395i,-0.0012029+3.0093e-05i,-0.00071743-0.00020691i,-0.00049711-0.00072292i,-0.00040191-0.00089357i,-2.4724e-05+1.5199e-05i,-0.00011816+0.00056486i,-0.00022289+0.00067856i,-0.00021786-4.2747e-05i,-0.00057506-0.00053865i,-0.00035272+3.3621e-05i,0.00049463-0.00019828i,0.00075811-0.00079425i
0.0025817+0.00057105i,0.0020968-0.00052793i,0.0020732-0.0023489i,0.0025287-0.0022817i,0.001782-0.0010989i,0.00044817-2.0943e-05i,-0.00013984+0.00036414i,-0.00028888-0.00021343i,7.309e-05-0.00052042i,0.00017983-0.00089284i,-0.00023051-0.0019557i,-0.00025595-0.0023872i,0.00018814-0.0020361i,-0.00029018-0.0013451i,-0.0003251-0.0010953i,-0.00025503-0.00060602i,-0.00098748+0.0002515i,-0.0010447-5.5144e-05i,-0.00018449-0.00076141i,0.00080077-0.001165i,0.00077263-0.00091532i,-0.00020124+0.00018578i,-0.0012982+0.00018263i
0.00010221+0.0014587i,0.0013376+0.0019738i,0.0011433+0.0024024i,0.00057203+0.0016798i,0.00038685+0.00086458i,0.00087496+0.00031164i,0.0013277+0.00023914i,0.0011904+0.00024205i,0.00089076+8.5213e-05i,0.00075449+7.5816e-05i,0.00097961-0.00032308i,0.0017224-0.00018343i,0.0010127+0.00030314i,-0.00051569-0.00034882i,-0.00091244-0.00072945i,-0.00024275+2.7976e-05i,0.0001593-0.00016361i,-0.00010107-0.00077708i,-2.5219e-05-0.00041357i,0.00016227+0.00046171i,0.00026771+0.00052678i,9.3065e-05+0.00037204i,-0.00037087+0.00030645i
-0.00033073+0.001127i,-0.00087711+0.00043951i,-0.0010199-0.00012921i,-0.0012222-0.00022091i,-0.00058248-0.00035967i,0.00030638+0.00047183i,-6.3802e-05+0.0010563i,-0.0009726+0.00065582i,-0.00058345+0.00062252i,0.0010543+0.00017886i,0.0011415-0.00045699i,-8.905e-05-0.0002545i,-0.00067525-0.00055658i,-0.0004821-0.00090466i,-4.8854e-05-0.00016058i,-0.00032725+0.00010922i,-0.0006453-0.00035803i,-0.00072004-5.6221e-05i,-0.00046425-0.00010394i,0.00011749-5.8253e-05i,0.00019847+0.00051448i,0.00018441+0.00052526i,0.00061538+0.00053591i
-0.00070245+0.00042781i,-0.0010673+0.0013087i,-0.0006421+0.002092i,-5.9291e-05+0.0010608i,0.00049268+0.00018426i,0.0012647+0.00053714i,0.00072889+0.0014438i,-0.00016612+0.0016602i,-0.00013108+0.00096904i,0.00018755+0.00027621i,0.00079868-0.00023715i,0.0010832+8.5988e-05i,0.00061282+1.661e-05i,-0.00023413-0.00033705i,-0.00012697-0.00049404i,0.00049363+0.00038284i,-0.00037131+0.0011688i,-0.0015695+0.00069867i,-0.0017293-0.0003728i,-0.0010973-0.00064017i,-0.00044164-0.00045689i,-0.00015303-0.00030198i,-0.00018365-0.00012599i
-0.0013791+0.00099697i,-0.00041729+0.00037899i,5.6989e-05+0.0012478i,-0.00042065+0.0020378i,3.2979e-05+0.00077602i,0.00069404-0.00025332i,0.00013576-0.00010459i,-8.0813e-05+0.00058197i,-9.2263e-05+0.00058606i,-0.0007845+6.9766e-05i,-0.00076593+0.00033981i,-0.00022477+0.00040835i,-0.00021815-0.00061811i,-0.00049421-0.00058143i,-0.0007546+0.00019502i,-0.00085681+0.00038425i,-0.00077275-3.0818e-05i,-0.00037341+1.8557e-05i,5.2947e-05+0.00012526i,-0.00028564-0.00015631i,-0.00047509+2.5532e-06i,0.00010301+0.00015231i,0.00048132-2.4754e-05i
0.00013344+0.0018172i,0.00099551+0.0016353i,0.001656+0.0021795i,0.0012645+0.00058477i,0.0011511-0.0005235i,0.0010309+0.00015118i,0.00014501+0.00049523i,0.00033108+0.00048i,0.0010649+0.00017653i,0.0013739+9.3533e-05i,0.0011547-0.00035483i,0.00034421-0.00084669i,-0.00058385-0.0011099i,-0.00048136-0.0009625i,0.00019564+6.7708e-05i,-0.00058579+4.2312e-05i,-0.0014733-0.00081581i,-0.00038641-0.00049204i,0.00057973+0.00024937i,0.00028767+0.00044233i,-9.5854e-05+0.00034367i,-0.00030551+5.2005e-05i,-0.00035955-0.0002632i
-0.0026827-0.00055755i,-0.002155+0.00012347i,-0.0019241+0.00058581i,-0.0012724+0.0013898i,-0.00090979+0.0018316i,-0.00021466+0.0018173i,0.00062087+0.0017185i,0.00058498+0.0010069i,-8.2817e-05-0.00052124i,0.00018777-0.0014631i,0.00011576-0.0013251i,0.00012112-0.00071917i,0.00089396-5.1253e-05i,0.00059108+0.00043479i,0.00023258-0.0004684i,0.00016803-0.00073651i,-0.00017874-0.00052767i,-0.00051715-0.0015675i,-0.00059355-0.0013681i,-2.8457e-05+0.00019099i,8.3765e-05+0.00064692i,-9.4243e-05+0.00012541i,0.0002576+0.00017635i
-0.00014017-0.0010512i,-0.00098137-0.0011717i,-0.0017951-0.00020548i,-0.0019437-0.0002304i,-0.0015838-0.00051878i,-0.00082825-0.00032983i,2.5291e-05-2.1904e-05i,0.00039137-1.7601e-05i,0.00013568-0.00043689i,-0.00038639-4.3026e-06i,-7.4253e-05+6.7087e-05i,0.00042853-0.00056443i,-0.00029929-0.00024216i,-0.00064764+0.0003158i,-0.00075589-6.1732e-05i,-0.00033439-0.00031786i,0.0001385-0.00043319i,9.7025e-05-0.00037554i,-7.6845e-05-0.00045098i,0.00073448-0.00086135i,0.0012495-0.00073912i,0.00021771+0.00010666i,-0.00055713+0.00035535i
0.0028844+0.00016322i,0.0025404-0.00046908i,0.0020065-0.00083156i,0.0016854-0.0006314i,0.0013314+4.872e-05i,0.00028352+0.0011234i,1.2473e-05+0.0016706i,2.5488e-05+0.0015164i,0.00017369+0.0010683i,0.00050489-9.2534e-06i,0.00023485-0.00077806i,-0.00046128-0.000541i,-0.00031257-0.00075702i,0.00024362-0.0012246i,0.00037479-0.00044447i,0.00028209+0.00017948i,-2.4625e-05-0.00045484i,-0.00073718-0.00030098i,-0.0011097+0.00063785i,-0.00041648+0.00089313i,-6.3014e-05+0.00031316i,-0.00015226-0.00032875i,-0.00034991-7.728e-05i
-0.001014+0.00078213i,-0.00087664+0.0020409i,-0.0019696+0.0018676i,-0.0014824+0.00087177i,-0.00035683+0.0010907i,9.382e-06+0.0014216i,0.00083203+0.00085098i,0.00076467+0.00079076i,0.00041751+0.00047894i,0.00041548+0.0002398i,0.0002166+0.00070193i,-0.00024102+0.00059827i,-0.00043194+0.0004249i,-0.000693-0.00014453i,-0.00079747-0.00054016i,-0.00063845-0.00019377i,-0.0011495-0.00022085i,-0.0012475-1.6788e-05i,-0.0005756+0.00032039i,-0.00010545+7.3522e-05i,-0.00033529+9.4927e-05i,-0.00041803+0.00044484i,-4.5323e-05+0.00014335i
-0.00062607-0.0011531i,-0.00095682-0.00011708i,0.00031596+7.8053e-05i,-0.00032437-0.0010811i,-0.00040375-0.00029561i,0.00026558+0.00127i,-0.00017507+0.0007798i,-0.00071678-0.00028485i,-0.00038238-0.00061835i,-0.00056903-0.00015585i,-0.00091457-0.00039834i,-0.00026578-0.00056371i,0.00014183+0.00012528i,-6.4872e-05+0.00065945i,0.00031145+0.00051853i,0.00053141+0.00080601i,-0.00015615+0.00097496i,-0.0012772+0.00021904i,-0.0016325+8.9532e-05i,-0.0012226+0.00024749i,-0.000529+0.00042389i,-6.6887e-05+0.00027781i,0.00029848-8.5361e-05i
0.0010632-0.00071707i,0.00083849-0.0014438i,0.00015323-0.00095113i,0.00016267-0.00078624i,0.00073028-0.00031717i,0.00042888+0.00086314i,0.00041147+0.00092628i,0.00048027+3.7824e-05i,0.00074322+0.00016029i,0.0010256-0.00017309i,0.00085671-0.00089464i,0.00079323-0.00037434i,0.00028314+0.00014899i,-0.00025453-3.9374e-05i,0.0002684+5.0623e-05i,0.00089554+0.00019241i,0.00033468-0.00057059i,-0.00046846-0.00093166i,-0.00035304-0.00062762i,-4.2313e-05+2.8486e-05i,-0.0001691+0.00060504i,-0.00050626+0.00052531i,-0.00025944-0.00050734i
-0.00059615+0.0018151i,0.00082109+0.00068245i,0.0016792+0.00043054i,0.0010118+4.6162e-06i,0.00053683-0.00011968i,0.0013087+4.8455e-06i,0.00086462+0.00025959i,0.0002207-0.00023077i,0.00067125-0.00024488i,0.0010175-0.00019387i,0.00083762-0.00039635i,0.00021871-0.00054703i,-0.00018864-0.0011823i,-0.0001015-0.0013833i,0.00022705-0.00065297i,-0.00031565-2.9012e-05i,-0.00078863-0.00040209i,-0.0008521-0.00077744i,-0.001099-9.5904e-05i,-0.00097879+0.00034239i,-0.00056035+0.00055124i,-7.9175e-06+0.00043101i,0.00036344-0.00012679i
-0.0014275-0.00080565i,-0.0021208+0.0003689i,-0.0022398+6.0648e-06i,-0.00086589-0.00053344i,0.00039872-0.00018945i,0.00091836+0.0010277i,0.00078366+0.0010787i,0.00064814+0.00056845i,0.00064386+0.00034648i,0.001171+0.00017309i,0.0019071+0.00010235i,0.001333+0.0001192i,0.00053991+0.00015746i,0.00010304+6.5432e-05i,-0.00029167+0.00037569i,-0.00058999+0.00055176i,-0.00055001+8.3015e-05i,6.8403e-05-0.00032457i,0.00021022-0.00048524i,0.00027687-0.00075843i,0.0005952-0.00042547i,0.0006453+0.00062162i,-5.7867e-05+0.00049456i
-0.00039294-0.00027107i,-0.0013616-0.00011689i,-0.0015408+0.00087272i,-0.0014565+0.00099298i,-0.00096892+0.0010993i,1.4812e-05+0.0012932i,0.00059364+0.00098036i,0.00045591+0.00098753i,0.00022484+0.00060205i,0.00046563-4.5276e-05i,0.00064063-0.00026572i,0.00051125-0.00032449i,0.0006039-0.00016758i,0.00024581+0.00030615i,-0.0004318+0.00054651i,-0.00051888-7.5473e-05i,-0.00083296-0.00086088i,-0.00058229-0.00057602i,0.00020803-1.7044e-05i,0.00037351+0.00030082i,-0.00014759+6.2936e-05i,-0.00026419-1.2893e-05i,0.00025291-7.3934e-05i
0.0013195+0.0012772i,0.0019114+0.00012211i,0.0034141-0.00026071i,0.0024488-0.0005175i,0.00067398-0.0011395i,-5.7403e-06-0.00046254i,-3.5538e-05+0.00050991i,0.0007128+0.00042849i,0.0010606+0.00041878i,0.0006217+0.00031432i,3.0988e-05-0.00032813i,-0.00050619-0.0011392i,-0.0012366-0.0017561i,-0.00045156-0.0017267i,-0.00015538-0.0006191i,-0.00064042-0.00024835i,-0.00014516-0.00044824i,2.1963e-05+0.00011874i,-0.00036826+0.00063413i,-0.00030173+0.0002856i,-6.8307e-05+8.4056e-05i,0.00014265+0.00054536i,0.00020737+0.00067464i
0.00031458-0.0001097i,0.00029539-1.0698e-05i,0.0012111+0.0015813i,5.9994e-05+0.0023175i,-0.00063637+0.0018122i,0.00014955+0.0015147i,0.00059251+0.00092252i,0.00026463+0.00010643i,-0.00042515+0.00043254i,-0.00036558+0.00053845i,0.000458-0.00033814i,0.0015842-0.000435i,0.001484-0.00019763i,0.00087658-0.00040036i,0.00032959-0.00012966i,0.00021849+0.00014372i,-0.00058131-0.00064006i,-0.0013442-0.000599i,-0.00053707-8.0344e-05i,0.00064956-5.8376e-05i,0.00064054+0.00022721i,-9.9513e-05+8.4064e-05i,-4.6571e-05+0.00011698i
0.0022937+0.0015093i,0.0012386+0.00057246i,0.0014648+0.00031158i,0.000633+0.00028018i,-0.00070787-0.00036731i,-0.00046451-0.00028336i,-0.00051513+0.0011847i,0.00015556+0.00059838i,0.0010648-0.00048643i,0.0012913-0.00067746i,0.00078969-0.00091476i,-0.00010147-0.00061906i,-0.00017622-0.00066264i,0.0002156-0.00015332i,-0.00023673-5.0732e-05i,-0.00039052-0.00048401i,-3.6783e-05-0.00052284i,-0.00028159-0.00060936i,-0.00055035-0.00056742i,-4.6204e-05-0.00054553i,0.00037254-8.2324e-05i,-0.00010398+0.00033746i,-0.00058914+0.00057413i
0.00058682+0.00094538i,0.0011482-0.00065527i,0.001586-0.0015737i,0.0008197-0.0013725i,0.00015446-0.00028885i,-0.00050805+0.00031699i,-0.0008401+0.00023308i,-0.00092876+0.00017745i,-0.00070968+6.4666e-05i,0.0002748-0.00021331i,0.0012425-0.00015584i,0.0011013-0.0003992i,0.00037676-0.00031288i,-0.00015231-0.00046639i,-0.00010562-0.00072644i,3.6149e-05-0.00011014i,-0.00017816-0.00017093i,-0.00084804-0.00034379i,-0.00066038-2.0216e-05i,0.00023342+0.00039133i,9.7377e-05+0.00026929i,-0.00048863-8.1299e-05i,-0.00024485-0.00014452i
0.000878-0.0015108i,0.0017677-0.0017603i,0.0023593-0.00116i,0.00072881-0.0010446i,8.0368e-05-0.00041516i,0.0002824-0.00019247i,0.00013625-0.00052738i,0.0006103-0.00026838i,0.00083114-0.00025542i,0.00063756-0.00036179i,0.00072263-7.2172e-05i,0.00032425+0.00018859i,-0.00034295-9.844e-05i,-0.00063262-0.00015135i,-0.00023675+0.0003636i,-0.00057987+0.00030601i,-0.0012392-8.44e-05i,-0.0010541-0.00031863i,-0.0004751-7.4968e-05i,-0.00023005+0.00046128i,0.0002307+0.00043748i,0.00035261+0.00046557i,-0.00011751+0.00054944i
-0.00015033+4.766e-05i,0.00044297+0.00044418i,-0.00058727+0.00097225i,-0.0014682+0.00087008i,-0.0013547+0.00058627i,-0.00055602+0.00056328i,0.00011761+0.00053458i,0.00075639+0.00025094i,0.00058944+0.00017451i,0.00068185+9.5598e-05i,0.00088905+7.1388e-05i,0.0010256+0.00021554i,0.0010497+0.0004844i,0.00023084+0.00021794i,-0.00051231-0.00056625i,-0.00086206-0.00058507i,-0.0002792-0.0006347i,-0.00010024-0.00097062i,-0.00063495-0.00023186i,-0.00064923-7.141e-05i,-1.8425e-05-0.00030524i,0.00074051+0.00029001i,0.00054785+0.00053869i
-0.0023205+0.0016531i,-0.0011493+0.0017518i,-0.0005402+0.0024651i,-0.00041474+0.0014408i,1.2521e-05+0.0010327i,-0.00015891+0.0010709i,0.00023581+0.00027021i,0.00023979+0.00035895i,-0.00012623+0.0010025i,0.00016171+0.00026916i,0.00056114-0.00015142i,0.00029769-0.00010929i,4.1915e-05-0.00062992i,-0.00015505-0.0011989i,0.00021269-0.0010831i,-0.00010012-0.00057651i,-0.00075482-0.00045144i,-0.0011013-0.00066779i,-0.00036646-0.00061577i,0.0007451-9.2641e-07i,0.00080378+0.00039315i,0.00052154+0.00057283i,0.00027585+0.00041557i
-0.0022279-0.00070202i,-0.002657+0.00011813i,-0.00098499+0.00026453i,-0.00036042+0.000397i,-0.00029268+0.0022594i,0.00074852+0.0023891i,0.0013944+0.001283i,0.00086019+0.0011832i,-9.3859e-05+0.0010666i,0.00012313+0.00041501i,0.0010847+0.00018015i,0.00067742+0.0002958i,7.5224e-05-0.00013232i,0.000352-0.00012293i,0.00049295-0.00018135i,-0.0001458-0.00043203i,-0.00060552-0.00065451i,-0.00066203-0.00063672i,-0.0010769-0.0003058i,-0.00085748-0.00028958i,-0.00058483-0.00037348i,-6.5248e-05-1.3371e-05i,0.00023186+0.00025855i
-0.00018336-0.0013918i,-2.9544e-05-0.0011998i,-0.0011534-0.0015263i,-0.0017577-0.0017561i,-0.00091627-0.00039672i,4.2326e-05+0.00089337i,0.00056968+0.0011834i,0.00049706+0.00052466i,-0.00016532-0.00070615i,0.00023868-0.00093294i,0.00031323-0.00046021i,0.00012032+0.00038911i,-0.00021341+0.00024401i,-0.00062129-0.00030785i,-0.00058215+4.2401e-05i,-0.0010916-0.00023858i,-0.0018244-0.000876i,-0.0017828-0.00095661i,-0.001094-0.00058402i,-0.00091021-9.7537e-05i,-0.00056566+0.00025242i,-0.0003065+0.00043971i,-0.00031063+0.00076838i
