0.0032281-0.00099093i,0.0032078-0.00079715i,-0.00047051+0.0011262i,-0.0059412+0.0053784i,-0.0042408+0.0065399i,0.0037591+0.0013613i,0.010942-0.0042743i,0.011332-0.0044672i,0.0066846+0.0020189i,0.0024159+0.0089703i,-4.7118e-05+0.010099i,-0.0012096+0.0065095i,0.00049845+0.0027785i,0.0022621-0.00056328i,0.0027504-0.003291i,0.003164-0.0045986i,0.00157-0.0032895i,-0.00088484-0.0018322i,-0.00073465-0.001193i,1.9356e-05-0.00048762i,-0.00062545-0.00058643i,8.3171e-05-0.0005439i,0.0002443-0.00011082i
-0.00021007+0.00061604i,-0.0025218+0.0010058i,-0.0052818-0.0006134i,-0.0092078-0.0055157i,-0.008932-0.0061713i,0.00047885-0.00025033i,0.00757+0.0072577i,0.0074694+0.011377i,0.0048918+0.011755i,0.0054454+0.010733i,0.0071797+0.008255i,0.004934+0.0044504i,0.0013673+0.0013992i,0.00012514-0.00053622i,-0.00027073-0.0013209i,-0.00016203-0.0022292i,0.00094566-0.0030728i,0.0010084-0.0027347i,-0.0001523-0.0012736i,-0.00086004-0.00034577i,-0.0013169-0.00065906i,-0.0010946-0.0014539i,-0.00066639-0.001539i
-0.00014365+0.00070956i,0.00095866-0.00068142i,0.00297-0.0026131i,0.0068606-0.0045985i,0.0082721-0.0049173i,0.0040189+0.0040135i,-0.0036402+0.012513i,-0.0081694+0.011307i,-0.0054369+0.0048156i,0.00038086-0.00076351i,0.0037361-0.0027014i,0.002566-0.0025321i,-0.00053824-0.0010996i,-0.0026003+0.0015102i,-0.0039215+0.0028723i,-0.0034206+0.0029125i,-0.00029461+0.0033162i,0.0018317+0.0031653i,0.00166+0.0012428i,0.00025964-0.0011702i,-0.00036678-0.00079437i,0.0001649+0.00033639i,0.0007017+0.00094187i
0.0017903-0.0014749i,0.00088167-0.00057978i,0.0013969-0.0013068i,0.0015129+0.0012623i,0.0009739+0.0060074i,-0.0063236+0.0067946i,-0.014125+0.0019109i,-0.013743-0.0049017i,-0.009567-0.0096113i,-0.0070765-0.011376i,-0.0062039-0.0092302i,-0.0036143-0.0052989i,-0.0010303-0.0027565i,-0.00088225-0.00096029i,-0.00073951+0.0005487i,-0.00065584+0.00089686i,-0.0019784+0.00092619i,-0.0023875+0.00105i,-0.0015921-8.7082e-05i,-0.00077353-0.00033036i,-0.00050162+0.00091722i,-0.00093617+0.0020603i,-0.0018625+0.0019186i
0.00027892-0.0016685i,-0.0013064-0.0015094i,-0.00013491+0.00019136i,-0.00018118+0.0024755i,-0.0071653+0.0040906i,-0.011925-0.0014355i,-0.0095154-0.010996i,-0.0044659-0.014693i,-0.0031434-0.012541i,-0.0074523-0.0072713i,-0.0098156-0.0018216i,-0.0056339+0.001485i,-0.00034378+0.0015047i,0.000217+0.00038807i,-0.00060844+0.00058571i,0.00074881-6.2197e-05i,0.00092488-0.00064645i,-0.00046056+3.9582e-05i,-0.0006113-0.00046836i,4.0935e-05-0.00037044i,7.8442e-06+0.00079264i,7.0603e-05+0.0012281i,0.00035041+0.00012497i
0.0025646+0.00094412i,0.0030189+0.001549i,-0.0024563+0.0036023i,-0.0094819+0.0030096i,-0.012681-0.0082055i,-0.0073081-0.018191i,0.0028074-0.015771i,0.0071828-0.0063356i,0.0044607+0.00016262i,-0.0020061+0.0044877i,-0.0057586+0.0083751i,-0.0034449+0.0074637i,-0.00047151+0.0032335i,0.00022293+0.00065076i,0.0011477-0.00045817i,0.00099854-0.0022277i,-0.0003425-0.0051098i,-0.00057541-0.0053882i,-0.00092332-0.003099i,-0.0016156-0.00099206i,-0.0012962+0.00048878i,-0.0009635+0.001409i,-0.0008793+0.0010376i
0.0018582-0.0008882i,0.00019121-0.0015696i,-0.0018599-0.0072049i,-0.0017094-0.014775i,0.0081466-0.016199i,0.016431-0.012264i,0.012118-0.0012762i,0.0046302+0.0091669i,0.0032415+0.012646i,0.004438+0.011255i,0.0051036+0.00792i,0.0039222+0.0047677i,0.00115+0.0041749i,-5.1235e-05+0.0048689i,0.00085739+0.0039526i,0.0024243+0.0011351i,0.0031902-0.0014708i,0.0027086-0.0022474i,0.0010621-0.0025807i,-0.00029728-0.0021802i,-0.00034412-0.0014801i,0.00065896-0.0014554i,0.0018651-0.00063266i
-0.0019068-0.0019857i,-0.0024472-0.0021164i,0.0014469+0.00048706i,0.0097815+0.003789i,0.014776+0.0088189i,0.013771+0.01369i,0.0046408+0.012294i,-0.0044428+0.0088271i,-0.0033446+0.0080984i,0.0055812+0.0054428i,0.010035-0.00072003i,0.0067717-0.0037824i,0.0023398-0.00092072i,0.0010325+0.0025469i,0.0013988+0.0019676i,0.00026761+0.00056652i,-0.0012085+0.0010241i,-0.00047114+0.0016128i,0.00062861+0.0015284i,0.0010989+0.001621i,0.0012533+0.0011159i,0.0008995+0.00085323i,2.2313e-05+0.0016973i
0.00069355+0.00047082i,0.0029293-0.00097204i,0.0024245-2.7273e-05i,0.00045207+0.0051683i,-0.001368+0.011683i,-0.0072585+0.015336i,-0.010533+0.0080234i,-0.0088086-0.0036343i,-0.0065388-0.0085986i,-0.0014022-0.010315i,0.0033238-0.010872i,0.0028776-0.00761i,0.0013788-0.001227i,0.002022+0.0023943i,0.002779+0.0020902i,0.0017468+0.0020094i,0.0005632+0.0027691i,-9.542e-06+0.0031564i,0.00015085+0.0026615i,0.00023932+0.0011492i,-7.5416e-05+0.00032423i,-0.0009377-0.00028955i,-0.0011917-0.001032i
0.00061149+0.0028653i,0.00027137+0.0032682i,0.0007201+0.0032491i,-0.0039016+0.0028494i,-0.015501+0.0021627i,-0.022479-0.0051927i,-0.014664-0.010012i,-0.0026231-0.011039i,-0.00060821-0.01397i,-0.0068976-0.014776i,-0.011288-0.010867i,-0.0079552-0.0051165i,-0.0018689-0.0028306i,0.00068216-0.003624i,0.00096139-0.0037762i,0.00069012-0.0023716i,-0.0008409-0.0018153i,-0.0019346-0.0018933i,-0.0014835-0.00083043i,-0.00082251+0.0010031i,-0.00066169+0.0014691i,-0.00026677+0.00094605i,-0.00042087+0.00062771i
-0.0022623-0.00019015i,-0.0047272-0.0022593i,-0.0056835-0.0026923i,-0.0049774-0.0078049i,-0.0053002-0.019274i,-0.0012787-0.021672i,0.0028876-0.010656i,0.0043316-0.0023755i,0.0024613-0.003743i,-0.0070496-0.0047317i,-0.01482-0.0008442i,-0.010857+0.0011918i,-0.0019224-0.0016783i,0.0029574-0.0047057i,0.0027561-0.0048451i,0.0017687-0.0043099i,0.0020391-0.00563i,0.0014777-0.0068275i,-0.00027504-0.0059781i,-0.0015638-0.0037022i,-0.00075683-0.00065288i,-0.00032708-0.00024391i,-0.0003339-0.0017748i
0.0014966-0.00037091i,0.0057395-0.0022515i,0.0066737-0.0031582i,0.0082829-0.0021054i,0.014876-0.0037663i,0.013277-0.0037401i,0.0021413-0.00052322i,-0.0058824+0.0045143i,-0.0057043+0.0095789i,-0.0049725+0.012615i,-0.0045853+0.014095i,-0.0001304+0.011028i,0.0017235+0.0043735i,-0.0013811+0.00024285i,-0.0034267-0.00105i,-0.0022217-0.0016139i,8.907e-05-0.0011111i,0.0015665-0.00022244i,0.0017196-0.00090904i,0.0013335-0.0015977i,0.00071087-0.00045043i,4.9307e-05+0.0014378i,-2.6684e-05+0.0022066i
0.0017687+6.8247e-07i,-0.0010736+0.0026821i,-0.0018371+0.00033159i,-0.0005561-0.0028429i,0.0026746+0.0019008i,0.0040998+0.0027456i,-0.0018411-0.0015304i,-0.0087609+0.0010504i,-0.0091241+0.010653i,-0.0024686+0.016986i,0.0045804+0.016647i,0.0045544+0.012906i,-0.0008227+0.0090983i,-0.0029536+0.0068668i,-0.0017301+0.0054629i,-0.0013059+0.0036541i,-0.0015162+0.0022945i,-0.0015234+0.0018421i,-0.0013662+0.0022009i,-0.00025277+0.0020875i,0.00075537+0.00089512i,7.0477e-05-0.00035409i,-0.00095405-0.00067633i
-0.0017788+0.00065373i,-0.0016579-0.0011657i,0.0014351+0.001892i,0.004374+0.0085037i,-0.00011057+0.0090111i,-0.0028921+0.0053078i,0.00067516-0.00081366i,-0.00022197-0.0034698i,-0.0029723+0.00050188i,0.0019731+0.0043217i,0.0075799+0.0026592i,0.0041319-0.00058691i,-0.0028503+0.00076245i,-0.005353+0.0047357i,-0.0045703+0.0052811i,-0.0041839+0.0041947i,-0.0036761+0.0032923i,-0.0026146+0.0022407i,-0.0014799+0.0014973i,-0.00037611+0.00097778i,0.00050736+0.00066382i,0.00091026-0.00016294i,0.0011008-9.5781e-05i
0.00093209-0.0013509i,0.0016911-0.0023556i,-0.0043581-0.0037601i,-0.01365-0.0042689i,-0.010873-0.0049412i,-0.00067508-0.0019714i,0.0074659+0.0031381i,0.009556+0.00078487i,0.0074651-0.0059788i,0.0063087-0.010417i,0.0064034-0.013245i,0.0047608-0.012286i,0.0030766-0.0057988i,0.0037493-0.00033417i,0.0052598+0.0011019i,0.0045257+0.00086419i,0.0014762-0.0012904i,-0.00088878-0.0032127i,-0.0017996-0.0022855i,-0.0016217-0.00060219i,-0.0008765+0.00044693i,-0.00073311+0.0010099i,-0.00073998+0.0010628i
-0.00011998-0.00044457i,0.00094314+0.0015208i,0.0068038-0.00061647i,0.012536-0.0055708i,0.0089686+0.0015384i,0.00087249+0.01216i,-0.0044216+0.015117i,-8.5335e-05+0.0090585i,0.0072918-0.0031269i,0.0066051-0.01186i,0.0020025-0.012133i,0.0025774-0.0070376i,0.0060236-0.0029082i,0.0070803-0.0016498i,0.0049366-0.00051445i,0.0026859-0.00039505i,0.0024083-0.0012933i,0.0027411-0.00248i,0.0014288-0.0031757i,-0.00030052-0.0021285i,-0.0004217-0.00057298i,4.9667e-05+0.00037663i,3.2404e-05+0.00063055i
-1.1768e-05+0.0031502i,-0.0031776+0.0036685i,-0.0067149+0.0068744i,-0.0074787+0.0092446i,-0.013207+0.0012782i,-0.023532-0.0069635i,-0.025562-0.0068916i,-0.014805-0.003519i,-0.0028833-0.0033817i,-0.0030041-0.0052103i,-0.0089686-0.0011746i,-0.0065295+0.0052677i,0.0017022+0.0047619i,0.0053907-0.00036756i,0.0050453-0.0034855i,0.00305-0.0037708i,0.00012795-0.0023871i,-0.0016358-0.000941i,-0.0015516-7.2639e-05i,-0.00098478-6.4284e-05i,-0.0010112+0.00010269i,-0.0020185+0.0016401i,-0.0021278+0.0014909i
-0.00094012-0.0024915i,-0.0004641-0.0047011i,0.00046005-0.0094502i,0.00010769-0.011216i,0.0015787-0.013442i,-0.00010459-0.023646i,-0.003251-0.028387i,-0.0060217-0.018853i,-0.0085034-0.0056091i,-0.011702+0.0012027i,-0.013192+0.0040484i,-0.010958+0.0052481i,-0.0073663+0.0031118i,-0.0046913+0.00066166i,-0.0031452-0.00060395i,-0.0025772-0.00085045i,-0.0016878-0.00056647i,-0.00069969-1.3671e-05i,-0.00095452+0.0002219i,-0.0015554+7.6621e-06i,-0.0017885+0.00038412i,-0.00082204-0.00046657i,0.00016205-0.0018863i
