-0.0012806+0.00098689i,-0.0015403-0.00017073i,-0.0020998-0.00050137i,-0.0017837-0.00074159i,-0.0017254-0.00013266i,-0.0017205+0.00072008i,-0.00046959+0.00093505i,0.00094993+0.0013142i,0.0017517+0.0016908i,0.0013951+0.00077742i,0.00041671-0.00030023i,0.00024865+1.1689e-05i,0.00026316-0.00031117i,8.5764e-06-0.00055881i,0.00019333-0.00010642i,0.00037145+0.00094115i,-0.0001374+0.0019528i,-0.00027941+0.0015124i,-0.00037918+0.00052614i,-0.00077271-2.0238e-05i,-0.00029777-0.00048529i,-0.00027659-0.0006862i,-0.00079293-0.00042284i
0.0012845-0.00010073i,0.0013151-0.00069002i,0.00054054-0.001919i,0.00075937-0.0024208i,0.00062544-0.0014604i,-0.00031209-0.00021177i,-0.00019676-1.4536e-06i,0.00070737-3.108e-05i,0.0011085+0.00036241i,0.00072498-9.8445e-05i,-0.00030944-5.2528e-05i,-0.00035505+0.00052402i,0.00028522+0.00091034i,-6.8513e-05+0.0017163i,-0.00014487+0.0010954i,0.00019246-1.2578e-05i,-8.2715e-05+0.00033044i,-0.00071664+0.00047458i,-0.00093912-0.00012354i,-0.00058854-0.00039226i,-0.00035136-0.0003912i,-0.00024792-0.00092759i,-0.00037701-0.00091919i
-0.00076355+0.00057043i,-0.00075236+0.0010398i,-0.0012397+0.00047831i,-0.0014045-0.00037227i,-0.00085303-0.00010431i,-8.2403e-05-0.00024937i,0.00034863-0.00062263i,-5.1161e-05+0.00025842i,-0.0001593+0.00060876i,-8.7699e-05-8.221e-05i,-0.00063431+0.00025637i,-0.00070508+0.00016723i,-0.00016314+0.00010974i,-0.00044009+6.5723e-05i,-0.0011756+0.00020741i,-0.00092368+0.00060863i,-0.00059484+0.00059413i,-0.00047533-7.6195e-05i,-0.00039139-0.0002847i,-9.4996e-05-7.8442e-05i,4.6875e-05-0.0008246i,-5.6167e-05-0.0011868i,9.8019e-05-0.00021891i
5.9774e-05-0.00019103i,2.877e-05-0.0011666i,-0.00017797-0.00050597i,-0.00081851+0.00034567i,-0.00075098+0.0014675i,-0.00070815+0.0014213i,-0.00057775+0.00033871i,-0.0001895+0.00047193i,-0.00032107+0.00022081i,0.00077594+0.0002827i,0.00068746+0.00081503i,-0.00058927+0.00075663i,-0.00035741+0.00095746i,-0.00014676+0.0014565i,-0.00051817+0.0013072i,-0.0004212+0.0011356i,-2.4851e-06+0.0012116i,0.00011122+0.00070492i,-0.00013959+0.00020031i,-0.0003079+4.0553e-05i,-0.00018084+0.00070666i,0.00013165+0.00033616i,0.0015534-0.00078931i
0.001612-0.00061516i,0.00036334-0.00096223i,-0.0011061-0.0014466i,-0.0012002-0.0021435i,-0.0010604-0.0018056i,-0.00095809-0.00049007i,3.4448e-05-0.00041205i,0.00036874-0.00052081i,0.00012129+2.4467e-07i,-1.5984e-05-0.00029845i,0.00011329-0.00031029i,7.8356e-05+7.8437e-05i,-0.0003653+0.00020331i,-0.00042121+1.6479e-05i,-0.00062394+7.6829e-05i,-0.0011572+0.00025608i,-0.0010469+0.00038007i,-0.00093837+0.00012871i,-0.00079133-0.0003761i,-0.00076036-0.00019831i,-0.0005804+0.00013926i,0.00041885-0.00016785i,0.00039741-0.00066814i
0.00019206+0.0016583i,0.00074518+0.0013317i,0.0012147+0.0019698i,0.0010726+0.0021932i,0.0007673+0.0016871i,0.00044444+0.00040258i,0.00077862-0.00041959i,0.00041777-0.000818i,0.00020428-0.0007607i,0.00097465+0.00044947i,0.00060435+0.00095138i,-0.00055969+0.00070079i,-0.00086566+0.00046735i,5.1076e-05-1.1377e-05i,0.00038354-0.00012303i,5.9393e-05+0.0004339i,-0.00042212+0.00088513i,-0.00035361+0.00076249i,0.00024466+0.00028815i,0.0007436-0.00048356i,0.00068163-0.00071959i,0.00042263-6.1159e-05i,0.00035152-0.00012051i
0.0028044-0.0010473i,0.0023481-0.0013446i,0.0019389-0.0022616i,0.00072445-0.0019435i,0.000198-0.0020182i,0.00012829-0.001623i,0.00026232-0.00034367i,0.00081973+0.00010621i,0.0010226-0.0002519i,0.00014976-0.00022233i,-0.00036683+0.00062326i,-8.8201e-05+0.00096917i,-0.00049987+0.0014685i,-0.00052272+0.00084485i,-0.00038881-0.00016284i,-0.00049843+0.00051028i,-0.00029898+0.00054839i,4.183e-05-5.017e-05i,0.00066892-0.00056218i,0.0012866-0.0012702i,0.00079685-0.0012156i,9.2534e-05-0.00024789i,0.00014767+0.00051628i
-0.00017383+0.0012622i,3.9252e-05+0.0012616i,0.0017346+0.00080308i,0.0027798-0.00020982i,0.0022817-0.00031027i,0.00128-0.00026915i,0.0009924-0.00049355i,-9.6067e-05-0.00061614i,-0.00044371-0.00011329i,0.00086669-2.8313e-05i,0.00098441-9.475e-05i,-3.2845e-06+2.6276e-05i,0.00019803-0.00019033i,0.00025153-0.00026442i,0.00013253-0.00010844i,0.00015014+0.00070432i,8.7139e-06+0.00086609i,0.00037759+0.00013087i,0.00055528+0.00027571i,-0.00035382+0.001242i,-0.0010206+0.00052158i,-0.00089505-0.00019007i,-0.00016243-9.0663e-05i
-0.0027859+0.00066035i,-0.0035369+0.00058131i,-0.0030633+0.0019566i,-0.0018687+0.0032952i,-0.001215+0.0031228i,-0.00063242+0.0017145i,0.000239+0.00019588i,-0.00067192-0.00022013i,-0.0015832+0.00031379i,-0.0013448+0.0005998i,-0.00089068+0.00021088i,0.00041944+0.00037966i,0.00086644+0.00035739i,0.00065987+8.8587e-06i,0.00022335+0.00023452i,-0.00035575+0.00044601i,0.00019586+0.0011494i,0.00068403+0.00093132i,0.00013798+0.00060853i,-7.3405e-05+0.00042349i,0.00074954-0.00061364i,0.0013334-0.00030533i,0.00079735-5.0982e-05i
-0.0015018-0.00066707i,-0.0011613-0.00051588i,-0.0021895-0.00091583i,-0.0031376-6.7211e-05i,-0.0027821+0.00073357i,-0.0015022+0.00048991i,-0.00028006+0.00039589i,0.00052398+0.00062344i,0.00076773+0.00086211i,0.00014954+0.0012569i,-0.00068456+0.0013219i,-0.00098804+0.0013567i,-0.00060868+0.001186i,9.153e-05+0.00087878i,0.00033428+0.001254i,-0.00016266+0.0016654i,-7.4177e-05+0.00092897i,0.00030268+0.00040121i,0.00023526+0.00052146i,0.00030463+0.00072073i,0.0009761+0.00010483i,0.0010154-0.00024644i,-0.00032513+0.00062153i
-0.00040487-4.3286e-05i,-0.00029069+0.00034802i,-0.00057118+7.4687e-05i,0.00024676-0.00033802i,0.00077158-0.00042436i,0.0003469-0.00065184i,-5.5951e-05-0.00086893i,-0.00011033-0.00042453i,-0.0001197+0.00014211i,-0.00049337-0.00015766i,-0.0013685-0.00040652i,-0.0017737-0.00011995i,-0.0012768+0.00023778i,-0.0003269-0.00022204i,-2.2514e-05-0.0005954i,-0.00053186+0.00030306i,-0.0010581-0.00017191i,-0.00072839-0.0009722i,-0.00033215-8.5801e-05i,-0.00082665+0.00052854i,-0.00088602+0.00036226i,-0.00059076-5.4295e-05i,-0.00037823-0.00056978i
-0.0010152+0.0019885i,-0.0012343+0.0028586i,0.000506+0.0034952i,0.0022524+0.003042i,0.0018628+0.001654i,0.00064427+0.00042851i,-0.00021321-0.00019749i,-0.00023073-0.00058186i,0.00079052+0.00012658i,0.001127+0.00097825i,0.00016756+0.00075678i,-0.0001358+0.00035542i,0.0004673+0.00069116i,0.00057552+0.00082488i,0.00033582+0.00082934i,0.0001266+0.00045287i,-0.00023529-6.3234e-05i,-0.0010738-0.0002384i,-0.0005155+0.00013011i,0.00064261+0.00014514i,0.00087793-0.00018917i,0.0007499-9.0043e-05i,0.00045762+0.00020803i
-0.00050578-0.0024374i,-0.00038579-0.0027309i,-0.00084894-0.0031945i,-0.0013011-0.0031892i,-0.0007491-0.0020502i,0.00058794-0.00054295i,0.00077688+0.00065094i,0.00038599+0.00079954i,0.00020029+0.0005094i,-4.5464e-05+0.0010671i,-0.00073014+0.00095629i,-0.001456+0.00036511i,-0.0011594+0.00041007i,-0.00048351-9.5638e-05i,-0.00071255-0.00023183i,-0.00049009+0.00082603i,5.527e-05+0.00096328i,5.4194e-05+0.00048795i,-0.00076023+0.00032637i,-0.0011624-0.00045695i,-0.00024388-0.00051898i,0.0002808+1.202e-05i,-1.1227e-05-6.5667e-05i
0.00082544+0.001084i,0.0011109-0.00014547i,0.0019742-0.00050392i,0.00085719-0.0014697i,0.00030487-0.0020011i,0.0005555-0.00072388i,0.0011476+0.00091488i,0.0010364+0.00074349i,0.00025641-0.00018418i,0.00028564+6.7714e-05i,-0.00055512+0.00091648i,-0.0014412+0.00079708i,-0.00074469+0.00059621i,-0.0001387+0.00035206i,0.00066322-0.00042428i,0.0010136-0.00056699i,0.00043478-8.1969e-05i,1.1392e-05-0.00058617i,8.2696e-05-0.0012601i,-0.00075118-0.0012087i,-0.0010092-0.00099463i,-0.00016068-0.00070298i,0.00034873-0.00068019i
0.00095277-0.0016301i,-7.2655e-05-0.001104i,-0.0015016-0.0005645i,-0.0022205-0.0013397i,-0.0014195-0.0015543i,-0.00027111-0.00074331i,0.00044902-0.00055972i,0.00065492+3.1244e-05i,0.0006657+0.00055797i,0.00026111+0.00021273i,-0.00033816+0.00079382i,-0.0007182+0.00083313i,-0.00087645+0.00037646i,-0.00075141+0.00094059i,-0.0015551+0.00086581i,-0.0020932+0.0014263i,-0.0011262+0.0020061i,9.4324e-06+0.0015647i,-0.00015639+0.00072159i,-0.00071092-0.00026892i,-0.00011762-0.00026887i,0.00013031-0.00014784i,-0.00019025-0.00074627i
-0.0019738-0.00026964i,-0.0023128+0.00022559i,-0.0030532+0.00046574i,-0.0026805+0.00017679i,-0.0021482-2.7815e-05i,-0.0012125-9.2064e-05i,-0.00021779-7.9854e-05i,0.00019136+0.00030993i,0.00059178+0.00061108i,0.00017297+0.00097239i,-0.0011673+0.00055675i,-0.0018958+0.00064174i,-0.0006275+0.00090006i,-0.00011342+0.00089578i,3.7335e-05+0.00066898i,0.00042441+0.00012618i,0.0005191-0.00017143i,0.00057224-0.00078336i,0.00025596-0.0012844i,-0.00025722-0.00054589i,-0.00024883+0.00019143i,6.0988e-05-0.00020731i,-0.00020856-0.0012567i
0.0022429+0.0008312i,0.002362+0.0013246i,0.0031908+0.00061266i,0.0036075-0.00014267i,0.0024275+3.7011e-05i,0.00069326+0.00043069i,-0.00070548+0.00087716i,-0.0010073+0.00014994i,-0.00062496-0.00022759i,0.00020337-0.00013697i,0.00044399+0.00013082i,-0.00015211+0.00056851i,-0.00071045+0.00048862i,-0.0010457+0.00017929i,-0.0010033+0.00025903i,-0.00048381+0.00020187i,-0.00044756+0.00017242i,-0.00024684-0.00020983i,0.00093491-0.00028492i,0.00064057+0.00027778i,3.8104e-05+0.00019297i,-0.00017508-0.00027011i,-0.0011536-0.00058702i
-0.0007624+0.00085363i,-0.0016768+0.0015906i,-0.0023987+0.0019136i,-0.0021067+0.0034943i,-0.0020843+0.0034098i,-0.0010235+0.0013322i,0.00010162-0.00023024i,0.0002117-0.00017236i,-0.00038563+0.00064627i,-0.00072505+0.001003i,-0.00044109+3.1958e-05i,-0.00025415-0.00014208i,0.00027407+0.00056409i,0.00050174+0.0014316i,0.00018875+0.0013466i,0.00052719+0.00090952i,0.0006745+0.00047459i,0.00044263-0.00042704i,0.00018907-2.1375e-05i,-0.00072953+0.0011745i,-0.00091379+0.0012364i,-0.00046482+0.00097368i,-5.0078e-06+0.00086782i
0.00057563-0.0017219i,-0.00028245-0.0016228i,9.0727e-05-0.0013333i,1.8608e-05-0.0010651i,-0.00080934+1.6344e-05i,9.5761e-05+0.00038301i,0.00061109+0.00019388i,0.00054507+2.9147e-05i,0.00046266-0.00037513i,-0.00039183+0.00014248i,-0.0015021+0.0011032i,-0.0015354+0.00099112i,-0.00024965-0.00010441i,3.744e-05-0.0003007i,-0.00049068+0.00078407i,0.00025405+0.0014135i,0.00043182+0.001766i,-0.0004131+0.0015429i,-0.00046883+0.00072819i,-0.00047304-0.00015767i,0.00011849-0.00012784i,0.000825+0.00011144i,0.00077274-0.00012375i
-0.0017176+0.0028355i,-0.00071996+0.0026368i,0.00016762+0.0030658i,0.00061169+0.0027824i,0.00062464+0.0015366i,0.001411-0.00039934i,0.0019059-0.0012996i,0.001058-0.0002546i,0.00041524+0.0012293i,-0.00026837+0.0017862i,-0.00017431+0.00094775i,-0.00011222-0.00010476i,0.00022771-7.0702e-05i,0.00062018+0.00047467i,-4.7492e-05-5.3123e-05i,-0.00037178+7.3526e-06i,-0.00043736+0.00075861i,-3.3546e-05+0.00056338i,-6.9212e-05-0.00032636i,-0.00067978-0.00046177i,-0.0009582-0.00034325i,-0.00034378-0.00054481i,0.00027478-0.00039659i
0.00078488-0.00084884i,0.00069292-0.0008202i,0.00066037-0.0020393i,0.0010343-0.0030478i,0.0013312-0.0020577i,0.0010084-0.0013715i,0.00053672-0.00075552i,0.00015893-0.00039996i,7.8777e-05-0.0012317i,-0.00026235-0.0010759i,-0.00072747-0.00026559i,-0.00067701+2.6329e-05i,-0.00050142+0.0003325i,-0.00023912-0.00017971i,-0.00032093-0.00026878i,-0.00077204+0.00026173i,-0.0005092+0.00011589i,0.00017206-9.9974e-05i,0.00051641-3.3498e-05i,6.6592e-05+5.0582e-05i,-0.00032212-0.0001391i,2.9817e-05-0.00036045i,0.00038477-0.00048572i
0.00060954+0.002353i,0.001068+0.0028703i,0.0010584+0.0024459i,0.00049047+0.0020585i,0.00042499+0.00082949i,0.0003429-0.00032149i,0.00026391-0.00016706i,0.00030523+0.00038237i,0.00045219+0.00059517i,0.00035736+0.00025841i,0.00043379+0.00057239i,0.00027401+0.00096752i,-0.00014371+0.00054225i,2.9857e-05+0.00011168i,-0.00076495+0.00075598i,-0.00066464+0.00099149i,0.00016064+0.00086047i,-0.00030111+0.00057094i,-0.00021736+0.0003551i,-0.00013011+0.00030088i,6.7692e-05+0.00021808i,0.00043502+0.00053357i,-9.9308e-05+0.00015531i
0.0014037-0.00090351i,0.0010814-0.0011849i,0.00043542-0.0018857i,-7.5797e-05-0.0022215i,-0.000638-0.0015359i,-0.0015289-0.00069186i,-0.0016681-0.00090066i,-0.00026375-0.00069686i,0.0010654+0.00013036i,0.00050739+0.00048379i,-0.0010459+0.00045693i,-0.0014158+0.00053818i,-0.0010289+0.00080223i,-0.00084713+0.0002023i,-0.00075667-0.00017103i,-0.00043841-9.6678e-05i,-0.00013446+0.00035068i,4.1872e-05+0.00025365i,0.00036354-0.00010761i,-0.00021376-0.00022048i,-0.00036829-0.00065781i,-5.5324e-05-0.00077789i,-0.00052486-0.00024766i
-0.00083127-3.3073e-05i,-0.00060394+0.00011725i,-0.00040421+0.00079518i,-0.00015072+0.00031666i,-0.00036716+0.00023934i,0.00017761+0.00052743i,0.00080414+0.00067002i,0.00056773+0.00074281i,0.00042652+0.0010145i,0.00069203+0.001461i,0.0005424+0.0012259i,0.00043171+0.0011116i,0.00067801+0.00090142i,0.00053453+0.00056803i,0.00061149+0.0006121i,0.00073934+0.00067443i,0.00072699+2.9724e-05i,0.00039196-0.00037791i,-0.00020173+0.00019401i,0.00014982+0.00032876i,0.00051848-0.00024666i,0.00039934-0.00039616i,5.593e-05-0.00033985i
0.00070796+0.0014724i,0.0015607+0.00069569i,0.0034624+0.00033823i,0.0032948+0.00017656i,0.0022466+0.00057355i,0.0017518+0.00074843i,0.0010602+0.00035821i,0.00076896+0.00051299i,-0.00026999+0.00087654i,-0.0011051+0.00074795i,-0.00078943+0.0006184i,-0.00039157+0.00058832i,-0.00024812+0.00080657i,-0.00024093+0.0010391i,-0.00043954+0.00078319i,-0.00072903+3.6696e-05i,-0.00079883+8.0299e-05i,-0.00022402+0.00045231i,-0.00012398+0.00049595i,-0.00094606+0.0001647i,-0.00082034+4.1518e-05i,-0.00013989+0.00038401i,6.5337e-05+0.00075306i
-0.0029394+3.5342e-05i,-0.0035678+0.00076706i,-0.0039945+0.0014287i,-0.002365+0.0016239i,-9.9261e-05+0.0016349i,0.00078692+0.00073923i,0.00066805-0.00019836i,0.00028653-0.00026735i,-2.5679e-05+2.013e-05i,0.00022548+8.6713e-05i,-0.00060758+0.00030512i,-0.0016947+0.0010117i,-0.0014574+0.0012284i,-0.00068039+0.00081031i,-0.00020711+0.00049346i,0.00025677+0.0010815i,0.00046924+0.0018417i,-0.00022638+0.0011596i,-0.00042727+0.00017332i,-0.00010916+0.00040563i,-6.2001e-05+0.00051011i,0.00035044+0.00018172i,0.00066549+0.00015047i
-0.0009655+0.00070736i,-0.00074488+0.0012764i,-0.0013474+0.0032964i,-0.00099332+0.0031188i,0.00017202+0.0015326i,0.0011122+0.00060998i,0.00066822+0.00011219i,7.6023e-05+0.0006345i,0.00024018+0.0013105i,6.5059e-05+0.0009613i,7.7767e-06+0.00048561i,-0.00036467+0.00080961i,-0.00046171+0.0007818i,8.4945e-05+0.00072076i,-0.00012477+0.00084423i,-0.00097329+0.0010613i,-0.0014591+0.0011426i,-0.001683+0.00061659i,-0.0010687+0.00052961i,-0.00049318+0.00038119i,-0.00037323+0.0004261i,-0.00060363+0.00035238i,-0.0010743+0.00010784i
0.00035705-0.0020558i,-0.0018021-0.0024087i,-0.001833-0.0020141i,-0.0016392-0.0010591i,-0.001007-0.0011127i,0.00058542-0.00082236i,0.0011269+0.00023496i,0.00056109+0.00074997i,0.0001295+0.00068151i,-0.00032149+0.0005824i,-0.00028465+0.00053785i,-0.00031226+0.00093474i,-0.00065854+0.001126i,-0.00061039+0.00047732i,-0.00033081-3.316e-05i,-0.00034192+0.00040916i,-6.8403e-06+0.00042395i,-5.1107e-05-0.00029453i,-0.00056907-0.00068477i,-0.0010551+0.00011992i,-0.001049+0.00018991i,-0.0005646-0.00064994i,-0.00053337-0.00036167i
6.0119e-05-0.0011496i,-6.1006e-05-0.001343i,-0.00059017-0.0014729i,-0.0008044-0.00085425i,3.2271e-05+0.00076768i,-0.00082676+0.0012942i,-0.0005237+0.00031089i,7.702e-05-0.00056107i,2.7365e-05-0.0011434i,0.00011867-0.0013583i,7.3475e-05-0.00020335i,-0.00065555+0.0008919i,-0.0011118+0.00091788i,-0.0013601+8.2389e-05i,-0.00088545-0.00020898i,0.00051582+0.00054528i,0.00040173+0.00086675i,-0.00040579-0.0003157i,-0.00038278-0.00039547i,0.00010696+8.2468e-06i,-5.9021e-05-0.00037574i,-0.00021957-0.00030627i,-0.00049425+0.00019721i
-0.0028065-4.826e-05i,-0.0017949+0.00069623i,-0.001483+0.0012309i,-0.0011757+0.0024067i,-0.0006778+0.0020903i,0.00013428+0.00058232i,0.00058512+0.0001104i,0.00078593+0.0005319i,0.00036199+0.00054505i,-0.00023809+5.284e-05i,-0.00036578+0.00072839i,-9.0446e-05+0.0018268i,0.00039884+0.0015052i,-0.0002952+0.00089497i,-0.0010247+0.00064694i,-0.00040882+0.00044534i,8.7946e-05+0.00026963i,0.00063883-7.6659e-05i,0.00059398-7.4154e-06i,-0.00021434+0.00034802i,-0.00018445+0.00034676i,-0.00041593-0.00012698i,-0.0008875-0.00091981i
0.00058722+0.0010854i,0.00032133+0.00028079i,-0.00076558-0.00033158i,-0.00091806-0.00024755i,0.00060866-0.00053864i,0.0011747+0.00023867i,0.0002404+0.00077362i,1.8661e-05+0.00078075i,0.00032694+0.00093009i,-0.00012763+0.00057819i,-0.00080424+0.00022853i,-0.00056356+0.00061026i,-0.00036837+0.0010407i,-0.00070147+0.0011938i,-0.0012511+0.0011708i,-0.00061026+0.00079556i,0.00025519-0.00020676i,0.00022559-0.00031337i,0.00058323-6.7055e-05i,0.00047084-0.00012579i,0.00033714+0.00027086i,7.3515e-07-0.00025742i,0.00013499-0.00079725i
-0.00064142+0.00083758i,1.7451e-07+0.0013337i,9.4782e-05+0.0013035i,0.00076442+0.00072904i,0.0013242+0.00084496i,0.0009054+0.00011779i,0.00064648-0.00029777i,0.0005316-0.00034662i,0.00048254+0.00024302i,0.00055245+0.0010441i,0.00061405+0.00066115i,0.00058197-0.00014968i,0.00090762-0.00051364i,0.00055748-0.00075376i,-0.00037416-5.2937e-05i,-0.00022402+0.00062185i,0.00060755+0.001015i,9.1798e-05+0.0012464i,-0.0007758+0.00068767i,-0.00036645+0.00016665i,-6.9924e-05-9.5652e-05i,-0.00076502-0.00017361i,-0.00060188+0.00014654i
