0.00075783+0.00169i,0.00073354+0.0016659i,-0.00029388+0.00068488i,-0.00098714-9.1163e-05i,-0.0015779+0.00076218i,-0.0015237+0.00063514i,-0.0007519+0.00018909i,-0.00064317+0.00061139i,0.00037247+0.00047352i,0.0017514+3.4734e-05i,0.0014953-0.00085719i,0.00058252-0.0017505i,-0.00015707-0.0010339i,-0.00046717-0.00063659i,-0.00070427-0.0011467i,-0.00081316-0.0012211i,-0.00062143-0.00086713i,-0.00047087-0.00013094i,0.00010222-0.00011388i,0.00042005+0.00015061i,-3.7432e-05+0.00027314i,-0.00063245-0.00027382i,-0.0010292-0.0002662i
5.3796e-05+0.00041047i,-0.00014933+0.0014344i,-0.00057272+0.0017009i,-0.00060534+0.0014626i,0.00024249+0.0016572i,0.00050876+0.0011865i,0.00032809+0.00023012i,-0.00037778-5.9943e-06i,-0.00069486-0.00012424i,-0.00038804+0.00020008i,-0.00062038+0.00026098i,-0.00054981+0.00050021i,-0.00012828+0.0010047i,8.9791e-05+0.00087534i,-5.6217e-05+0.0005i,-0.00053608-0.0001213i,-0.00042916-0.0001209i,-0.00053262-0.00011178i,-0.00053686-0.0007524i,-1.9753e-05-0.0010346i,0.00010962-0.00061512i,-0.00020829+0.0002362i,-0.00016366-0.00014441i
-0.00051617+0.00048145i,-0.00096485+0.0003375i,-0.00094384+0.00010688i,-0.00051178+0.00043159i,2.1802e-05+0.00076286i,0.00037659+0.00070799i,-0.00048762+0.00092276i,-0.00078352+0.00080099i,-0.00047+0.00068094i,-0.00011884+0.00025793i,0.00063679-0.00045958i,0.00032024-0.00010925i,-0.00033761+0.00035269i,8.1639e-05+0.00039597i,0.00025914+8.5244e-05i,-0.00014455-0.00075374i,0.00017341-0.0014604i,-0.00030365-0.0010952i,-0.0013378-0.0003468i,-0.00094924-0.00038417i,0.00029243-0.00031799i,0.00056928-0.00048353i,0.0004779-0.00069562i
-0.0016979-0.0003472i,-0.0018416+0.00014062i,-0.00097088+0.00056018i,-0.00051979+0.00037638i,-0.00069202+0.00050585i,-0.00033172+0.00018321i,0.00024712-0.0005074i,0.00064441-0.00034623i,0.0012643+0.00020406i,0.0015778+0.00052438i,0.00078348-5.3559e-05i,9.3205e-05-0.00012556i,-0.00011023+0.00037428i,0.00026465+0.00018705i,-0.00015469-0.00017052i,-0.0011051-0.00056177i,-0.00078716-0.0008018i,0.0004309-0.00048593i,0.00046753-0.00034i,-8.8222e-05-0.00037555i,0.0002986-0.0004261i,0.00048693-0.00019704i,0.00031588-4.9716e-05i
0.00010643-0.00023661i,-0.00011207-0.00049901i,0.00020656-0.00060345i,0.00030421-0.00053009i,0.00033113-0.00030479i,0.00061141-0.00018781i,0.00075809+0.00073962i,0.00032237+0.0012259i,0.00032561+0.0011579i,0.00015112+0.001652i,-0.00014936+0.0013691i,-0.00017646+0.00038872i,-0.00042597-0.00022249i,0.00011646-0.00071871i,0.00074425-0.0010278i,0.00049592-0.00048824i,8.5686e-05-0.00022424i,-4.4191e-05-0.00068918i,-3.36e-05-0.00050472i,-0.00029557+5.7584e-05i,-6.9278e-06+0.00055778i,0.00026503+0.0010463i,-0.00030969+0.00027991i
-0.00073155+0.00061482i,-0.00056082+0.0012392i,-0.00033682+0.00023398i,0.00010424-0.00092655i,0.00038363-0.0012757i,0.00032248-0.0013106i,-0.00030683-1.2075e-05i,-0.00016772+0.001111i,0.00011216+0.00016342i,6.1988e-05-0.00079523i,-5.9722e-05-0.00055646i,0.00014945-0.00044558i,0.0005043-0.00090279i,-0.00038461-0.0010848i,-0.00097091-0.00080101i,-0.00056206+1.3143e-05i,-0.00049112+0.00049992i,-0.0004696+0.00029629i,3.134e-05+0.00025293i,0.00023876+0.00032707i,-0.00034336+0.00051291i,-0.00080659+0.00015312i,-0.00070799-0.00068944i
-0.00066111+0.002959i,-0.00043166+0.0021784i,0.0015376+0.0015793i,0.0024994+0.0014299i,0.0022855+9.8739e-06i,0.0012213-0.001403i,-0.00033756-0.00074535i,-0.00058865+0.00051756i,-0.00033278+0.001452i,0.00029007+0.00079755i,0.00071153-0.00032163i,-0.0003064-0.00018338i,-0.00067885+0.0001597i,-0.00039452+0.00031219i,-0.00080222-4.0502e-06i,-0.00053858-0.00042749i,0.00041239-0.00014116i,0.00080339+0.00035475i,-0.00040031+0.00036189i,-0.00065682-5.7914e-05i,0.00016971+0.00059546i,0.00017327+0.00039394i,-0.00040416+7.9984e-06i
-0.00043309+0.001121i,1.8833e-05+0.0015856i,-0.00041499+0.0011037i,-0.00055992+2.9755e-05i,-0.00027858+0.00010748i,-1.8834e-05+0.00051714i,0.00046065+0.00069518i,0.00095276+0.00094377i,0.00049253+0.00045313i,0.00037356+1.1843e-05i,0.00041369-0.00023183i,-3.9258e-05-0.00059288i,0.00023001-0.00037302i,0.00068601-0.00020076i,0.00056234+0.00034281i,0.0003242+0.00046768i,0.00023169+0.00062197i,0.00052019+0.00060725i,0.00050047-0.00035598i,4.2186e-05-0.00056488i,0.00013332-4.6605e-06i,8.0009e-05+0.00061873i,-0.00049446+0.00083721i
-0.001106+0.00010541i,-0.0012538-0.00034465i,-0.0014859-0.00059591i,-0.0019976-0.00076709i,-0.0012349-0.0010624i,-0.00038207-0.0011461i,-0.00075972-0.00063557i,-0.00085505-0.00030977i,-0.0003555+0.00074596i,-0.00016286+0.0013481i,-0.00013039+0.00082097i,-0.00057994+0.00017884i,-0.00064459-0.00034876i,0.00015897+9.8161e-05i,0.00055986+0.00016834i,0.00026417-0.00056668i,0.00046679-0.0005631i,0.00041834-0.00018443i,-0.0002793-0.00013782i,-0.00017478-0.00036937i,2.9727e-05-0.00036264i,-0.00013364-0.00015624i,-5.0616e-05-0.00015106i
-0.00085107-9.4238e-05i,-0.00060871+0.00081539i,-0.00026206+0.0010086i,-0.00051275+0.00029061i,-0.00055567+0.00085797i,-0.00036848+0.0011799i,-0.00052608+0.00053377i,0.0002432+0.00076448i,0.0013722+0.0007322i,0.00076212+0.00042002i,0.00010885+0.00066458i,0.00030723+0.00073391i,7.9658e-05+0.00026169i,-0.00026115+3.8603e-05i,-0.00055196-0.00066208i,-0.0007983-0.0010017i,-0.00072187-8.3423e-05i,3.7241e-05+0.00024509i,0.00058709+2.6636e-05i,-0.00047297+0.00025993i,-0.0015458+3.5082e-05i,-0.0010638-0.00043243i,-0.00032837-0.00055674i
0.00031647+0.00056789i,0.00017003+0.00091398i,-5.0697e-05+0.0010059i,-0.00050859+0.00053588i,-0.00051022-0.00072668i,-0.0006488-0.00049767i,-0.00054401+0.00010619i,-6.5339e-06+0.00032591i,5.2889e-05+0.0010879i,0.00042891+0.000958i,0.00092258+0.000457i,0.00035797+0.00044169i,-8.0489e-05-7.947e-05i,0.00031377+7.5319e-05i,0.00033902+0.00049948i,-0.00035225+0.00026671i,-0.00042516+0.0011604i,-0.0004735+0.0015201i,-0.00032206+0.00021651i,-0.00019771-0.00096387i,7.222e-05-0.00047383i,-0.00013981-5.9292e-05i,-0.00040622-0.00028999i
-0.00023158-0.0023078i,-0.00037475-0.00096684i,-0.00048661-8.0585e-05i,-0.00056836+1.5687e-05i,-0.00089509+0.00037497i,-0.00085461+0.00045643i,-0.0011022-0.00040453i,-0.0003786-0.00025066i,0.00042627+0.00047807i,0.00054087+0.00043768i,-7.71e-06+6.7873e-05i,-0.00011461-0.00015106i,-4.8077e-05-0.00032821i,-0.00077237+7.0325e-05i,-0.00091484-0.00035181i,-0.00063039-0.0007467i,-0.0011073-0.00023379i,-0.0011306-0.00021711i,-0.00028951-0.00035156i,0.00025107-0.00077537i,0.00030274-0.00070095i,5.0878e-06-4.9543e-05i,0.00038096+4.9772e-05i
-0.00054361+0.00065273i,-0.0010554+0.0017009i,-0.00075105+0.0017837i,0.00030216+0.0012649i,0.0011169+4.7468e-05i,0.00083887-0.00075997i,0.00064885-0.00068245i,-7.2151e-05+0.00038057i,-0.00050107+0.000925i,-0.00027111+0.00099508i,-5.2906e-05+0.00056043i,0.00041313+0.00020249i,9.7991e-05-0.00085655i,0.00019949-0.0014969i,0.00024066-0.00062203i,-0.00069572-0.00043139i,-0.001442-0.0003408i,-0.0013822+0.00026082i,-0.00065952+0.00043697i,-0.00067146-0.00022479i,7.9773e-05-0.00053768i,0.00063834-0.00041454i,-0.00020048-0.00046388i
-0.00094286+0.00032876i,-0.0010004+0.0011163i,-0.0017483+0.0011498i,-0.0015781+0.00058454i,-0.00090211+0.0001388i,-0.00043809-1.4895e-05i,-0.00019563+0.00015961i,3.8577e-05+0.00071024i,-0.00013731+0.00067857i,-0.00061421-0.00023424i,-0.00081158-0.00074378i,-0.00067898-0.00062683i,-0.00010711-2.0088e-05i,0.00024237+0.00055432i,-0.00027338+0.00058924i,-0.00045052+0.00025257i,-0.00013566-0.00036346i,-0.00034887-0.00034203i,-0.00052533-0.00062756i,-0.00082483-0.00061389i,-0.0010255-1.1113e-05i,-0.00066985+8.18e-05i,-0.00035697-0.00033207i
-0.00053381+3.2781e-05i,0.00034303+0.00052933i,0.00075728+0.00013691i,0.00041174+2.3004e-05i,0.0006707+0.00070477i,0.0010825+0.00076872i,0.00077671+0.00016593i,-0.0001352+0.00048519i,-0.00094343+0.00097382i,-0.0012686+0.00065925i,-0.00077257+0.00056709i,-0.00039881+0.00053733i,-0.00018479-0.00021449i,1.3199e-05-0.00054283i,9.4887e-05-0.00025842i,0.000298-0.00053997i,0.00050565-0.00037119i,0.00064555+3.4268e-05i,0.00038624-3.684e-05i,-0.00017234+0.00029538i,-0.00036139+0.00051265i,0.00021587+0.00033184i,0.00029354+0.00020397i
0.0015655-0.00073065i,0.0018413-0.0010166i,0.0019404-0.0015756i,0.00074347-0.001013i,-0.00051741-0.00093i,-0.0012443-0.00095337i,-0.00084932-1.1897e-05i,-0.00037887+0.00078664i,0.0002106+0.0012119i,0.00018317+0.001164i,-1.19e-05+7.3731e-05i,0.00058725-0.00026184i,0.00072322-0.00041006i,0.0004972-3.1418e-05i,0.0006772+0.00021013i,-0.00025442+4.669e-05i,-0.0012573+0.00042045i,-0.00095966+0.0010021i,-0.00046129+0.0013671i,0.00020493+0.00064187i,0.00046857+0.0004382i,0.00014378+0.00039691i,0.00027945+0.00048201i
2.5329e-05+0.00058126i,-0.00058141+0.0014291i,-0.00087464+0.0016905i,-0.0015558+0.0011824i,-0.0013228+0.00040529i,-0.00033487+0.0005246i,0.00011672+0.0007886i,-0.00062699+0.00024309i,-0.0007978-0.00050701i,-0.00022022-0.00028025i,0.00016726-0.00016868i,0.00053765-0.00012026i,0.00026698+0.0011252i,9.9376e-05+0.0014392i,-0.00012568+0.00034046i,-0.00042118-0.00011974i,-0.00055536-0.0001535i,-2.6209e-05+6.3626e-05i,0.00047089-9.8115e-07i,-3.1366e-05-0.00018272i,-0.00060938-5.8324e-05i,-0.00066238-6.7048e-05i,-0.00019181-0.0001445i
-0.00036554-5.3012e-05i,-7.1995e-06-0.0010194i,0.00011077-0.0012188i,-0.0003166-0.00043432i,-0.00056532-6.0914e-05i,-0.00076793+0.00017701i,-0.00078533+5.3197e-05i,-0.00023062-0.00038544i,0.0002578-0.00030147i,0.00055892-0.00018278i,3.3978e-05+5.1333e-05i,-0.0001757+0.0006398i,0.00087066+0.00037126i,0.0011731-0.00032262i,0.00072156-0.00023826i,0.0011169+8.8492e-07i,0.0014499+0.00058279i,0.00060278+0.00078586i,0.00011849-0.00028655i,0.0004792-0.00048565i,0.0010132+0.00020211i,0.00023426-2.3387e-05i,-0.0002602-0.00061018i
-0.00078494+0.00032108i,-0.00094701+0.00092461i,-0.00096764+0.0014322i,-0.00030328+0.00091745i,-4.8015e-05+0.00095446i,1.7955e-05+0.00092452i,-0.00034567+0.00046219i,-0.0011755+0.00039636i,-0.00028581+0.00043101i,0.0007096+0.00075433i,0.00032275+0.00035452i,-0.00054114-0.00047136i,-0.0011054-0.0010242i,-0.00099151-0.0012448i,-0.00072644-0.0010063i,5.8469e-06-0.00064203i,-7.1313e-05-0.00021151i,-0.00035899+1.7171e-05i,0.00049716-0.00048512i,0.00094023-0.00028418i,0.00048511+9.603e-05i,0.00048709+0.00017496i,0.00036844+0.00035975i
-0.00074449-0.00041911i,-0.00076281-0.00036022i,-0.00091591+0.00056998i,-0.00069583+0.0003871i,4.7044e-05-0.00060176i,0.00011252-0.00085045i,-5.8284e-06+5.1036e-05i,0.00021901+0.00047283i,-2.7884e-05+0.00016961i,-0.0003565+0.00040967i,0.00016698+0.00058116i,0.00073046-9.5062e-05i,-0.00071493-0.00029544i,-0.0012202-0.00020859i,-0.00073599-0.00050183i,-0.00047457-0.00057683i,-5.5243e-05-0.00011386i,0.00032752+5.6134e-05i,0.00047532+0.00022182i,0.00025892+0.00035551i,0.00029861+4.6013e-05i,0.00088834+0.00013389i,0.00061114+0.00013728i
0.00043244-0.0013454i,-0.00085944-0.0012213i,-0.0013612-0.002012i,-0.00061282-0.0015211i,-0.00043047+0.00017197i,-0.0013127+0.00068708i,-0.0010154+0.00015482i,-0.00028025+0.00023458i,-0.00014894+0.00096926i,0.00018922+0.0012078i,4.5199e-05+0.00096372i,-0.00017207+0.0010904i,0.0002184+0.00032355i,0.0011401-0.00056426i,0.00048035-0.00061679i,-0.00041261-0.00052307i,0.00022914-0.00044009i,0.0003744-7.9668e-05i,0.00010929-1.2365e-06i,0.00018381-0.00016841i,-8.7961e-05+7.5065e-05i,0.00034045+0.00041751i,0.00084634-3.9933e-06i
0.0002576+0.0010163i,0.00097285+0.0014731i,0.0015717+0.0024141i,0.0018991+0.0017167i,0.0015513+0.0004667i,0.00069039+0.00020949i,0.0001838+0.00037559i,-6.1562e-05+0.00044996i,-0.00032133+0.00058602i,-8.159e-05+0.00059384i,-0.00024385+0.00053458i,-0.00095375+0.00045742i,-0.0012976+0.00030769i,-0.0011026-0.00013533i,-0.00034512-0.00057642i,-0.00014859-0.00059486i,0.00042435-0.0003644i,0.0011752-0.00024447i,0.00049793+5.5905e-05i,-0.00012779+0.0003002i,-0.00032001+0.00048398i,-0.0010345+0.00066505i,-0.0014325+0.00030818i
0.00050983+0.001077i,-0.00020879+0.00015329i,-0.00020171-5.2536e-05i,6.8987e-06-0.00012158i,8.8484e-05-7.3668e-05i,0.00047493+0.00026068i,0.0008018+0.0003523i,0.00050348+0.00068132i,0.00016667+0.00047047i,0.00019666+0.00033574i,-0.00029781+0.00092105i,-0.00065791+0.00082841i,-0.00023011+0.0006873i,6.3681e-05+0.00042259i,-9.3131e-05+1.9189e-06i,0.00049874-0.00047348i,0.00046883-1.1457e-05i,-5.5089e-05+0.00022774i,0.00026652-0.00047314i,0.00081132-0.0010543i,0.00099453-0.00077734i,0.00079947-0.00033361i,0.00049766-3.1782e-05i
-0.00076524+0.0015174i,-0.00016552+0.0017046i,-0.00027976+0.0018192i,-0.00070837+0.00044347i,-0.00016537-0.00028252i,0.00053072-0.00021018i,0.00042307+4.5386e-05i,-0.0006659+0.00051645i,-0.00061687+0.0010391i,0.00043647+0.00056603i,0.00053639+0.00035902i,0.00063767+0.00029278i,0.00016027-8.2846e-05i,-0.00071028-0.00020741i,-0.00078827-0.00084848i,-0.0010643-0.00098415i,-0.00096385-0.00016755i,-0.00054425+0.00050107i,-0.00081427+0.00048445i,-0.00046195+0.00016705i,0.00049434-0.000102i,0.0010899+0.00011298i,0.000547+0.00041602i
0.00027767+0.000332i,-0.00083839+0.001041i,-0.00025897+0.00086632i,0.00013719+0.00067383i,0.00013989-0.00012262i,0.00066129+0.00010333i,0.00077375+0.00071625i,0.00031386+0.00042327i,9.8335e-05-0.00027441i,-0.00016126-0.0010912i,-0.00025251-0.0010624i,0.00013295-0.00040809i,0.00059287+0.00022223i,0.0001848+0.00025368i,-0.00071238+0.00043767i,-0.00053494+0.00047366i,0.00053368-0.00025833i,0.00038362-0.0010838i,-0.00011499-0.0014602i,-5.3099e-05-0.00090159i,0.00042547+0.00025798i,0.00031388+0.0011982i,0.00019557+0.00054438i
0.00012668-7.2233e-05i,-0.0010433-0.00043153i,-0.001668-0.00077318i,-0.0012738+0.00013794i,-0.00041488+0.00091458i,0.00021579+0.00066446i,0.00045526+0.00077389i,-1.1045e-06+0.0011858i,-0.00023655+0.00039012i,3.3768e-05-0.00044948i,-0.0002887-0.00013564i,-5.8045e-05+0.00081395i,6.6023e-05+0.0013629i,-0.00041546+0.00029858i,-0.00032651-0.0011105i,-0.00017142-0.0011344i,-0.00082188-0.00050439i,-0.00083124-0.00034445i,0.00017018-0.00030269i,0.0006355+7.5822e-05i,0.00098391-0.0001188i,0.00081401-0.00063701i,-0.00026925-0.00075683i
-0.00039605-0.00088816i,0.00025287-0.0010105i,0.00085145-0.0013938i,0.00045019-0.0013429i,-0.00097357-0.0010814i,-0.001043-0.00048327i,-0.00042543+0.00030072i,-0.00010185+0.00069285i,9.8911e-05+0.0011707i,-0.00019032+0.0010287i,-0.00040335+0.00025394i,-0.00045872-8.9337e-05i,-0.0013729-2.4423e-05i,-0.0016025+3.0077e-06i,-0.0010752-0.0001619i,-0.00082758+0.00014294i,-0.00049574+0.00031401i,-0.00020141-0.00029933i,-7.6235e-05-0.00075516i,-0.00011297-0.0007057i,0.00070965-9.4529e-05i,0.0011071+7.5077e-05i,0.00053549-0.00036435i
-0.00023945-0.00066958i,-0.00030982+0.0012674i,0.0002069+0.0015669i,0.00085526+0.00026032i,0.00046728+0.0003087i,-0.00047367+0.00072242i,-0.00046193+0.00042446i,0.00023402+0.00073862i,-4.2287e-05+0.00076255i,-0.00010496+1.0044e-05i,-0.00012466-0.00030707i,-0.00070567-0.00032345i,-0.00087318-0.00022763i,-0.00083021-5.7532e-05i,-0.00021181+0.00019795i,0.00014967-0.00047599i,0.00011213-0.00025437i,3.5251e-05+0.00033952i,-0.00059488-0.00056308i,-0.00041592-0.0010184i,0.00043451-0.00052658i,0.00065542-0.00065951i,0.00055639-0.0010488i
0.00092322+0.0014492i,0.001766+0.00063742i,0.001343+0.0008823i,0.0010661+0.00096123i,0.00050202+0.00024514i,-0.00041082-0.00036094i,-0.00022547+7.8026e-06i,0.00021358+0.00091644i,-0.00011325+0.0010583i,-0.0003257+0.00051477i,5.5655e-05-7.2934e-05i,-0.00021107-8.7671e-05i,-0.0010974-0.00012968i,-0.001114-0.0001678i,-0.00074621-0.00019939i,-0.00027566+0.00022547i,-0.0001534+0.0005669i,0.00031241+0.0006674i,0.00061131+0.00055766i,-8.7751e-05+0.00026738i,-0.00054231+0.00088376i,-0.00013894+0.0010514i,0.00015648+0.0001528i
9.2171e-07+0.0009715i,-0.0015986+0.0011914i,-0.0013073+0.00056974i,-0.00046584+7.0101e-05i,0.00012405-0.00011372i,4.9326e-05-0.00015581i,0.00016005-0.00026855i,0.00022805-0.00030879i,-0.00048904+0.00010961i,-0.00011643+5.0379e-05i,0.0006409-0.00040032i,0.00068223-0.00024464i,-0.00010311-1.6319e-05i,-0.00036811-5.3319e-05i,-0.00011125-2.0876e-05i,-0.00048915+0.00049145i,-0.00064791+0.00025709i,7.6431e-05+0.00024011i,4.2531e-05+0.00026171i,-0.00043716-0.0002574i,0.0002227-0.00071771i,0.00096527-0.00015662i,0.00010003-6.0899e-05i
-0.00084989-0.00028585i,-0.00060974+0.00059742i,-4.8428e-07+0.0006904i,-9.4463e-05+0.00067473i,-0.00062372+0.0008956i,-0.00048577+0.00071953i,4.5025e-05-0.00037559i,6.7567e-05-0.00022184i,-0.00024368+0.00054317i,-2.8344e-05+0.00072147i,3.6663e-05+0.00037712i,-0.00055944+4.5299e-05i,-0.0010499-0.00016627i,-0.00058082-0.00080428i,-0.00043391-0.00078563i,-0.00064489-0.00025886i,-0.00021483-0.00033013i,0.00012566-0.00034941i,-0.00043795-0.00037284i,-0.00045594-0.00068149i,8.9391e-05-0.00040012i,-9.3312e-05-7.1081e-06i,-3.4892e-05-4.1613e-05i
0.00073318-0.00088491i,-0.00045372-4.1205e-05i,-0.00061637-0.00043349i,-0.0019144-0.0014483i,-0.002708-0.0018995i,-0.0013636-0.00066447i,-0.00027918+0.00073426i,0.00083121+0.0013121i,0.00060839+0.0010282i,-0.00036061+0.00052178i,-0.00067396+0.00013831i,-0.00024675-0.00027818i,0.00029375-0.0007912i,0.0002857-0.00080556i,0.00089008-9.7552e-05i,0.00075965+0.00093193i,-0.00010052+0.00054934i,2.0711e-05-0.00035182i,0.00086943+4.3774e-05i,0.00083774-0.00015917i,-0.00028136-0.00058461i,-0.00072978-0.00076448i,-0.00087494-0.00098559i
