-2.3573e-05-0.0010412i,-0.00060705-0.002024i,-0.0017952-0.0019023i,-0.0019899-0.0013272i,-0.0020539-9.8519e-05i,-0.0010356+0.0014827i,0.00056695+0.0012595i,0.0015386+0.0015156i,0.001355+0.0010842i,0.00094289-8.1633e-05i,0.00050542-0.0003769i,-0.00055666-0.00071806i,-0.00068375-0.0011708i,0.00012444-0.0013297i,0.0002878-0.0010909i,-3.2565e-05-0.000578i,-0.00052139+0.00036686i,-0.00051424+0.00038374i,-0.00038922-0.00015368i,-0.00085371-6.1593e-05i,-0.00097283+0.00024076i,-0.00027641+0.00057065i,-1.6808e-05+0.00048453i
0.00072361+0.0011478i,0.00033157+0.0015831i,0.00079643+0.00092758i,0.00095378+0.00012132i,-0.00027983-6.4254e-05i,-0.0019624+0.00083982i,-0.001822+0.0012042i,-0.00063374+0.00055045i,-0.0001785+0.00031198i,6.5978e-05+0.00020037i,-0.00021877+0.00070387i,-0.0010331+0.00088394i,-0.0013774+0.00052619i,-0.0013579+0.00043965i,-0.0012428+0.00013388i,-0.00043339+0.00025814i,0.0003539+0.00041242i,-0.000517+0.00061779i,-0.0011498+0.00057985i,-0.0010016+0.0002696i,-0.0003966-0.00011989i,0.00024426-3.021e-05i,0.00019724+5.1276e-05i
0.00024314-0.00033996i,0.00093016-0.00044956i,0.0010282+0.00048934i,0.00016643+0.0010254i,-0.00060565+0.00044933i,-8.6692e-05-0.0006859i,0.00036495-0.0015723i,0.00031997-0.0010197i,0.00058264+0.00043423i,0.00016351+0.00023893i,0.00019173-0.0003882i,9.0943e-05+8.7742e-05i,-0.00092496+0.00046852i,-0.00075566+0.00040493i,1.6892e-05+0.00044296i,-0.00021769+0.00039909i,-0.00036132-4.4657e-05i,-0.00047179-0.00043517i,-0.00031464-0.00011409i,0.00027127+0.00056689i,0.00019922+0.00065164i,0.00043489+0.0003808i,0.0001334+0.0005057i
-0.0010456+0.0017664i,-0.00097955+0.001898i,-0.00060953+0.0016772i,-0.00026974+0.00046744i,-6.2879e-05-0.00087957i,0.00018562-0.0016685i,0.0008707-0.00062165i,0.00080503+0.0009556i,-8.9391e-05+0.00044019i,-0.00027086-0.00057627i,0.00025018-0.00046276i,-0.00026925-0.00028252i,-0.00064826-0.00011387i,5.7787e-05-6.9691e-05i,0.00062162-0.00041467i,0.00082951-0.00061643i,0.0012905-0.00051366i,0.0012146-0.00013223i,0.00018632+0.00039844i,-0.00048259+0.00019269i,-0.00048558+0.00013392i,-0.00070664+0.0003753i,-0.00051881+0.00030997i
7.525e-05+0.00076536i,0.00065132+0.0010451i,0.00037564+0.00051999i,0.00071343+0.00019903i,0.0004151+0.00016624i,-0.00058996-6.3563e-05i,-0.00059146+5.9999e-06i,-7.2191e-05-5.9102e-05i,0.00041315+0.00038856i,0.00026429+0.00028836i,8.639e-05+2.7101e-05i,0.00012879+0.00027445i,-4.1868e-05+0.00014618i,-0.00051272+0.0008135i,-0.0012463+0.001482i,-0.00072826+0.00055255i,-0.0002727+0.00020445i,-0.00055931+0.00047425i,-0.00046735+0.00082786i,-0.00046076+0.00049067i,-0.00024224-2.2778e-05i,0.00015839+0.00035272i,0.00064063+0.00034446i
0.00024608+0.00065919i,0.00083547+7.1728e-05i,0.00020084-0.0014618i,-0.0011251-0.0023479i,-0.0021988-0.0013505i,-0.0018696-0.00046759i,-0.00036899+0.00028037i,-0.00011698+0.00055593i,2.7799e-05+5.1753e-05i,0.0006161+1.0084e-05i,8.4302e-05-2.2171e-05i,2.5933e-05+6.3302e-05i,0.000155+0.00040631i,-0.00012764+0.00062763i,-8.6431e-05+0.0006685i,-0.00025318+0.00028711i,-0.00028216+0.00025729i,-0.00033112+0.0006917i,-0.00071781+0.00063236i,-0.00033819-0.00058533i,-0.00017589-0.0014491i,-0.00084814-0.0008854i,-0.00067529+0.00011303i
-3.1885e-06-0.00061974i,0.00027196+0.00081776i,0.0002575+0.0011884i,-0.00027766+0.00067501i,-0.00090604+0.00025147i,-0.00013177+0.00046491i,-9.439e-05+0.00092149i,-0.00087549+0.00098049i,-0.0002277+0.00066626i,0.00051959+0.00037103i,0.00016594+0.00072558i,-0.00096387+0.0013212i,-0.0011918+0.00043133i,-0.00038835-0.00078344i,0.00026338-0.00065277i,0.00020416-0.00054062i,-0.00029804-0.00067523i,-0.00030859-0.00073057i,-2.4823e-05-0.00020399i,0.00022718-0.00054799i,0.00025102-0.00012056i,0.00025555+0.00040748i,0.00031595-0.00024344i
0.0015437+0.00029463i,0.002271+0.0011273i,0.001074+0.00081538i,1.7768e-05+0.0015047i,-0.00034544+0.0019745i,-0.00037728+0.0016906i,0.00012204+0.00072042i,0.00017347-0.00033904i,-4.0681e-05-0.00048817i,-0.00013126-0.00027242i,-0.00045568+0.00046249i,-6.4211e-06+0.00074117i,0.0003945+0.00069046i,0.00017884+0.00065521i,0.00024803+0.00035267i,0.00067369+0.00024101i,0.00098333-0.00061091i,0.00088614-0.00041939i,0.00080442+0.00093499i,0.00098474+0.0010164i,0.00062014+0.00030064i,0.00039113-0.00017405i,0.00057309-0.00033311i
0.00051432+0.0020944i,0.0016402+0.0010399i,0.0028012+0.00058368i,0.0015807-0.00036627i,7.727e-05-0.00060728i,0.00010809-0.0010305i,0.00010316-0.00052117i,-0.00040118+0.00056492i,-0.0002369+0.0011762i,-0.00026488+0.00088095i,-4.1933e-05+2.8961e-05i,5.7491e-05-0.0004904i,-0.00014713-0.00082493i,-0.0003509-0.00054412i,-0.0009434-0.00033519i,-0.0010781-0.00024446i,-0.00062047-0.00020575i,-0.00014994-0.00059452i,-8.2976e-05+0.00027307i,0.00024792+0.0008789i,0.00029801+0.0013548i,-0.00043496+0.0013632i,-0.00028811+0.0011527i
0.0031843+0.0016477i,0.0031242+0.0011388i,0.0023674-0.00032792i,0.00080556-0.00088239i,-0.0011025-0.00052703i,-0.0016998-6.4645e-05i,-0.00059123+0.00070183i,0.00067272+0.0014246i,0.00014579+0.0010339i,-0.00012804+0.00025785i,-0.00010862-0.00061096i,-0.00069412-0.00059466i,-0.0011678-0.00046971i,-0.0012791+6.7999e-05i,-0.0011796-0.00027139i,-0.00049214-0.0010182i,-0.00028899-0.00097582i,-0.00051253-0.00059259i,-0.00081532-1.5301e-05i,-0.0011827+0.00056842i,-0.00074151+0.0011575i,0.00020689+0.0011682i,0.00065051+0.00022852i
-0.00054423+0.00065053i,3.3438e-06+0.0021361i,0.000434+0.0029393i,0.00054937+0.0019625i,0.00036051+0.00033566i,0.00024403-8.7001e-05i,0.00051752+0.00071156i,0.00064446+0.0013841i,0.0010697+0.0014801i,0.00081163+0.0005498i,0.00023656-0.00021515i,-0.00062571-0.00049111i,-0.00099459-0.00013027i,-0.00060182+0.00018476i,-0.00066572-0.00014506i,-0.00082331-0.00062667i,-0.00012213-0.00073238i,0.00044246-0.00039623i,0.00020444-0.00023299i,0.00055568-0.00061698i,0.00065662-0.001227i,0.0012322-0.00094566i,0.00145-0.00046914i
-0.00036229+0.0016746i,-0.00023243+0.0012767i,-0.00027302+0.0014288i,4.4405e-05+0.00062547i,0.00045357-0.00049235i,0.0001454-0.00090057i,0.00016971-0.00025943i,0.00059288+0.00082608i,0.00046312+0.00057154i,0.00037308-0.00017952i,0.00021123-0.00054241i,0.00013787-0.0012107i,-8.6769e-05-0.0015285i,-0.00064045-0.00096415i,-0.00076469-0.0010439i,-0.00062654-0.0011713i,-0.00028612-0.00064378i,0.00015547-0.00010646i,-5.2244e-05+7.001e-05i,-0.00049986-0.00034274i,-0.00047839-0.00075445i,-0.00032901-0.00083214i,-0.00076574-0.00091144i
-0.00063854-8.1565e-05i,0.00051455+0.00012798i,0.0011757+0.00038276i,8.4763e-05+0.0011568i,-0.00075997+0.0017612i,-0.00013018+0.0016004i,0.00022927+0.00038319i,0.00022821-8.9813e-05i,0.00029509+0.00040249i,0.00018179-0.00028315i,0.00039466-0.00056832i,0.00038299+5.5768e-06i,0.00014251-0.00015429i,0.00054124-0.00024651i,0.0012987-0.00030382i,0.0010587-0.00044188i,0.00052874-0.00040807i,0.00052016-0.00031507i,0.00059107-0.00044726i,0.00042555-0.00088408i,-9.7161e-05-0.00014746i,-0.00025316+0.00085244i,0.00055112+0.00068996i
-0.0013074+0.001925i,-0.00080078+0.00079786i,-0.00077319+0.0013544i,-0.0003038+0.0014638i,0.0005175+0.00067692i,0.0008975-0.00025883i,0.00027181-0.00013895i,-0.0005281+0.00048971i,-0.00025351+0.00036763i,0.00021371-0.00020103i,-0.00012075-0.0008261i,-0.00095329-0.00040413i,-0.001117+0.00025673i,-0.00016212-0.00054672i,0.00087234-0.00092882i,0.00087409-0.00055355i,0.00064595-5.915e-06i,0.00022291+0.00027133i,0.0003835-3.8274e-05i,0.00084983+0.00012459i,0.0004125+0.0007773i,0.00032264+0.00057529i,0.00048294-0.00031262i
0.00098842+0.00059652i,0.0020161+0.0020529i,0.0025888+0.0024226i,0.0019688+0.00019058i,0.000793-0.00080072i,-0.00040871+0.0010757i,-0.0011243+0.0009588i,-0.00082001-1.4972e-05i,-0.00031647-0.00034257i,-3.4238e-05-0.00066837i,-0.00011548-0.00026493i,-0.00051492+0.00095566i,-0.00041704+0.00070248i,-0.00052055-0.00018804i,-0.00071402-0.00014952i,-0.0001527+0.0002302i,-0.00029837+0.0001113i,-0.0006864-0.00010646i,-0.00067164+0.00042039i,-0.00087141-7.8745e-05i,-0.00049716-0.00087767i,-0.00025894-0.00044768i,-0.00011034+5.6769e-05i
-0.0017823-0.00092612i,-0.0017894-0.00035738i,-0.0012217-0.00026127i,-0.0012924-0.00052207i,-0.0011566-0.00042949i,0.00042686-0.00034068i,0.00075287-9.0557e-05i,-0.00040666+1.4353e-05i,-0.0010783+1.6905e-05i,-0.00070072-0.00012911i,-0.00037684-0.00080223i,-0.00068656-0.0004017i,-0.0010483+0.00037516i,1.7229e-05+0.00012161i,0.00051902-0.00012192i,-0.00034115-0.00041213i,-0.00074595-0.00052468i,-0.00062483+0.00032505i,-5.7636e-05+0.00081768i,0.00036594+0.00024425i,0.00014337-4.4965e-05i,-0.00024653+0.00078729i,-0.00083993+0.0014419i
-0.00075063+0.0006871i,-0.00027486+0.0005311i,0.00085871+0.0010047i,0.0012278+0.0010789i,0.00057786+0.00056007i,0.00067709+0.00052024i,0.0006538-6.4107e-07i,4.6368e-05-0.00013739i,0.00030946+0.00056885i,0.00088458+0.00032181i,0.00084047+5.7327e-05i,0.00074876-0.00023973i,0.00017938-0.00071333i,-0.00036618-0.0012045i,-0.00036181-0.00098802i,-0.0003289-0.00019514i,4.7181e-05-0.00014651i,6.5554e-05-0.00045341i,0.00014671-0.0005244i,0.00055231-0.00042601i,0.00054923-0.00036489i,0.00020939+0.00040913i,-0.00014918+0.0009726i
-0.0012792+0.00146i,-0.00067103+0.0016969i,0.00028876+0.0019515i,0.00087865+0.0010218i,0.00053132+4.4085e-05i,-0.00050664-0.00067828i,-0.00075645-0.00068898i,-0.00062547-5.6333e-05i,-9.8368e-05+0.0002339i,0.00040563+0.00035738i,0.00063411+0.00046139i,1.8064e-05+0.0001456i,-0.00070555-0.00025996i,-0.00032398-0.00058525i,0.00036538-0.0003872i,0.0002972+2.0678e-05i,-7.3096e-05-0.00040092i,-0.00037643-0.0002185i,-0.00044159+0.00035574i,-0.00026938-0.00023397i,1.654e-05-0.00037877i,-0.0001794+0.00031005i,4.4541e-07+0.001049i
0.00030382+0.00028416i,-2.4932e-05-0.00042947i,0.00028773+0.00084222i,0.00071667+0.0022916i,0.00052459+0.0014703i,-0.00011354+0.0003228i,-0.00043042-0.00044865i,-7.7094e-05-0.0004421i,-0.00029189+1.9885e-05i,-0.00072508-0.0002564i,-0.00027367-0.00036301i,0.00040772-2.6381e-05i,0.00028355+0.00054601i,-0.00037218+0.00068157i,-0.0005977+0.00030406i,-0.00056087-0.00014444i,-0.00021411-0.00050926i,-0.00033523-5.6025e-05i,-0.00038136+0.00030147i,0.00020456+0.00054208i,-7.0719e-06+0.00063682i,-0.00038546+0.00087644i,-0.00010718+0.00095304i
0.00042005+0.00080127i,0.00057108+0.0012739i,4.3447e-05+0.0021998i,-0.00055924+0.0011964i,-0.00080019+0.00018987i,-0.0010249+0.00065548i,-0.0013427+0.00061441i,-0.00091027-0.00023232i,-0.00070018-0.00036441i,2.7586e-05+0.00018056i,0.0006317+0.00058432i,0.00052243-6.4906e-05i,0.00074979-3.2975e-05i,0.00066645+9.5446e-05i,0.00045922-0.00059311i,0.00054132-2.8428e-05i,-9.1e-05+0.0004252i,-0.00035137+0.00052297i,-0.00058411+0.00059935i,-0.0007479+0.00015443i,-0.00069485-3.3671e-05i,-0.00097645+0.00022646i,-0.0011516-2.8862e-05i
0.00079507+0.00029164i,0.0014766+0.00012057i,0.0013119-4.3117e-05i,-0.00010069+0.00018781i,-0.0011121+0.00026145i,-0.001275+0.00058549i,-0.00027228-0.00010353i,0.00070928-0.00076445i,0.00050967-0.00060154i,0.00059297-0.00018084i,0.00036786+0.00037966i,0.00019059+0.0002249i,0.00042841-0.00036142i,0.00046854-0.00062307i,0.00023494-0.00029695i,-0.00052786+0.00034153i,-0.00029141+0.00020839i,0.00074482+0.00049474i,0.00088377+0.00083144i,0.00013106+0.00049701i,-0.0007159+0.00031657i,-0.00048476+0.00023955i,9.4498e-05+0.00035763i
0.00021673+0.0028566i,0.00011928+0.0027921i,0.00042049+0.001652i,0.0003415+0.00056043i,-0.00032522+0.00040097i,-0.00075504+0.00014236i,-0.00057253-0.00027635i,-0.00050618-0.001037i,-0.00098729-0.0017176i,-0.00065916-0.0012843i,0.00037176+7.053e-05i,0.00010802+0.00038376i,-0.001207-0.00029249i,-0.0019309-1.4351e-05i,-0.0013291+0.0010661i,-0.00010146+0.0010613i,-6.5823e-05+0.00011209i,-0.00020043+7.462e-05i,0.00053439+0.00059148i,0.00048984+0.00027387i,-0.0003709+0.00031243i,-0.0010443+0.00027796i,-0.00103+3.0543e-05i
-0.00049283-0.0016748i,-0.0010745-0.0015164i,-0.0020321-0.00060385i,-0.0016338+0.00028347i,-0.000917+0.00013884i,-0.00098937-1.0165e-05i,-0.00018801+5.4796e-05i,0.00012896+0.00014723i,-0.00033603-0.00035549i,-0.00010452-0.00074835i,0.00050353-0.00043709i,0.00048509-0.00070667i,8.4459e-05-0.00070335i,-0.00017115-9.1007e-05i,3.8921e-05-0.00018927i,0.00041719-0.0003452i,-0.00039624+0.00024248i,-0.00075208+0.0002841i,-9.2e-05+0.0002613i,-0.0003194+9.5729e-05i,-0.00074311-0.00012961i,-0.00051971-0.00011733i,-0.00040869+0.0001361i
-0.0015507-0.0021452i,-0.00094767-0.0010712i,-0.0003768+0.00049324i,-0.00048955+0.0011428i,-0.00022293+0.00098658i,0.00053829+0.00098333i,0.0013294+0.00045874i,0.0014517-0.00054397i,0.00056894-0.00027675i,-0.00029274+0.00086492i,-0.00099573+0.0012984i,-0.00043954+0.0014015i,7.4377e-05+0.0012876i,0.00074583+0.0005888i,0.0012411-0.00022384i,0.00057425-0.00090631i,0.00011434-0.00077634i,-0.00024216-0.00073926i,-9.775e-05-0.00056758i,0.00031246+0.00017909i,0.00058429-0.00035626i,0.00054213-0.00062517i,0.00062995-0.00019383i
0.002379-0.0019782i,0.0012533-0.0010923i,0.0003254-0.00169i,-0.00044239-0.00096003i,-0.0011854+0.0012792i,-0.00098811+0.0017145i,-0.0012059+0.00068163i,-0.0011271-4.9087e-05i,-0.00029148-9.301e-05i,-0.00017708+0.00086419i,-0.00057068+0.00091603i,-0.00096132+0.00023973i,-0.00092725+0.00039407i,-0.00051726+0.00031571i,0.00012503+0.0012712i,0.00066545+0.00094843i,0.00061772-0.0004742i,0.00027293-0.00060214i,0.0011037-0.00071524i,0.0012673-0.00070325i,0.00025825-0.0010538i,-0.00059846-0.0013176i,-4.4764e-05-0.00062271i
0.0011309+0.00092943i,0.0012396+0.00077312i,0.0003218-0.00081903i,-0.0003333-0.0017088i,-0.00063032-0.00066948i,-0.00068954+6.3584e-05i,6.3983e-05-0.00016583i,0.00044556+0.00025601i,0.00020522+0.00073502i,-0.00023762+0.00038997i,-0.00086315-3.1189e-05i,-0.0013987+5.6679e-05i,-0.0014773-0.00034713i,-0.00083421-0.00031635i,-0.00055037-0.00021298i,-0.00071263-1.1376e-05i,-0.00068763-0.00012346i,-0.00073906-0.00019772i,-0.00018197+9.5329e-05i,0.00095761-0.00021147i,0.00075699-0.00026594i,0.00026052-1.6547e-05i,8.3907e-06+9.1705e-05i
