-0.0013885+0.00058001i,-0.00063159+0.00034993i,-0.0017094+0.0020936i,-0.0016928+0.0024686i,-0.0012802+0.0021169i,-0.0015018+0.0017954i,-0.00063046+0.0018268i,0.00076273+0.0025558i,0.00173+0.0018257i,0.0019692+0.00093896i,0.0011509-1.4482e-06i,0.00052988-0.0004171i,0.00014626+2.3748e-05i,-0.00078924+0.00010799i,-0.00040658-0.00033422i,0.00057601-0.00022882i,0.00086232-0.00044375i,0.0011422-0.00056146i,0.0010693-0.00043028i,0.00038733-8.5117e-05i,-2.3097e-05+0.00011695i,-0.00021152-1.835e-05i,-0.00057716+0.00049461i
-0.0006517-0.00024535i,-0.0014897-0.0014821i,-0.001322-0.001838i,-0.00046379-0.001044i,2.4019e-05+0.00036079i,-0.00056358+0.00041479i,-0.00040997+0.00016303i,-0.00054267+5.738e-05i,-0.00095176-0.00026151i,-0.00075909-3.6721e-05i,8.5014e-05-2.2307e-05i,0.00072584-0.00013905i,8.6164e-05-0.00033854i,-0.00010692+8.7602e-05i,0.00016378+1.8115e-05i,0.0004676-0.00040111i,0.00058749+7.4043e-05i,7.8338e-05-3.4326e-05i,-0.00039637+0.00047608i,8.0413e-05+0.00055148i,0.00082717-0.00032548i,0.00026271-0.00019296i,-0.00080172+1.9345e-05i
0.00049128-0.0012877i,0.00050072-0.00045279i,-0.00077985-0.00019602i,-0.0023482+7.7569e-05i,-0.0020832+3.979e-05i,-0.00086847-0.00017595i,0.00016379+0.00042369i,0.00036773+0.00024608i,-2.0132e-06+0.00038755i,2.4021e-06+0.0014223i,0.0005097+0.0011471i,0.00071065+9.3635e-05i,0.00037217-2.6663e-05i,-0.00047372+0.00025952i,-0.00023612-6.3789e-06i,0.00039842+0.00043775i,0.00034384+0.00034306i,0.00014642-0.00097911i,0.00044925-0.00027176i,0.00024464+0.00088025i,0.0001424+0.00037809i,0.00022675+0.00055214i,0.00030877+0.00086562i
-0.0011517-0.0018486i,-0.0011124+3.09e-05i,-0.0013898+0.0016265i,-0.0010457+0.0019758i,-0.00035282+0.0012467i,0.00043774+5.2622e-05i,-3.676e-05-0.00030423i,3.0948e-06+0.00013953i,0.00027108+0.00064174i,-0.00047171+0.00082741i,-0.0010879+0.00083246i,-0.00096914+0.00057258i,-9.2487e-05-1.7509e-05i,0.00010138+0.00030661i,-0.00046971+0.00072411i,-0.00020627+0.0007353i,0.00047997+0.00074469i,0.00012278+0.00031738i,0.00013533-0.00021509i,-0.00019181-8.4221e-05i,-0.0007763-0.00016841i,-0.00034116-0.00022298i,0.00019226-0.0003712i
-0.00062645+0.00064439i,-0.00095941+0.001891i,-0.0013183+0.0019178i,-0.0013741+0.00013956i,-0.00030197-0.00070817i,-0.00026748+7.5408e-05i,-0.00052206+0.00078103i,-0.00038696+0.00086926i,-0.00041727+0.0010036i,3.0607e-05+0.00099467i,0.00049389+0.0006906i,0.00050212+0.00044471i,0.00020102+9.1891e-05i,-0.00056053-0.00062306i,-0.00024897-0.00059812i,0.00064877+0.00015773i,0.00068305+0.00054837i,0.00027074+0.0004198i,-0.00069753-0.00041451i,-0.0011252-3.1474e-05i,-0.00062637+0.00021898i,-0.00044304-0.00091771i,-0.00037735-0.00085545i
0.0010868+0.001187i,0.000873+0.0010747i,0.0011189+0.0007402i,0.00060923-0.00016307i,0.0001912-0.00027044i,1.7446e-06-0.00042378i,1.3545e-05-0.00089728i,0.00051459-0.00029949i,0.00044582+0.00045801i,0.00023916+0.00046727i,0.00040747+0.00035483i,-9.1558e-05+0.00063587i,-0.00077123+0.00053425i,-0.00076653+0.00057564i,-1.473e-05+0.00055296i,0.001013-0.0002097i,0.0010789-0.00050957i,0.00037829-0.00024106i,-9.075e-05-0.00055161i,-0.00026802-0.00039782i,-0.00060787+0.00017298i,-0.00068508+5.6736e-05i,0.00010288-0.00060619i
0.00082812-0.00016098i,-0.00035911+0.00040709i,-8.7453e-05+0.00084039i,0.0008034+0.001221i,0.0010863+0.0012561i,0.00058262+7.173e-05i,-0.0001096-0.00011674i,-0.00046384+0.00054007i,-0.00118+0.00046658i,-0.00044734+0.00030947i,0.00021433+0.00069899i,0.00034748+0.00080791i,0.00011645+0.00038323i,-0.00049531+0.00028018i,-0.00044973+0.00069095i,-0.00013269+0.00072029i,0.00015798+0.0004996i,0.00033107+0.00035622i,0.00039877-0.00044964i,0.00034897-0.00096667i,0.00028572-0.00062513i,0.00029783-0.00023617i,-4.0468e-05+0.00046146i
-0.00040551-0.0012682i,0.00019915-0.00061342i,-3.4562e-05+0.0010373i,0.00017011+0.0010071i,0.0005637+0.00081453i,0.00052116+0.00083076i,0.00039888+0.00077959i,0.00036491+0.00025338i,0.00014976-0.00030578i,0.00037206-0.00046865i,0.00029938-0.00033802i,-0.00027444+3.3647e-05i,-0.00070233-0.00024647i,-0.00094304-0.00070083i,-0.0014194-0.0002037i,-0.0010518+0.0003328i,-0.00018057+0.00044525i,0.00041656+0.00066446i,0.00035009+0.00074843i,3.4306e-05+0.00086151i,0.00010326+0.00096923i,0.00043717+4.3952e-06i,0.00043368-0.00076176i
-0.00032332+0.00036248i,-0.00036154+0.0013813i,-0.0012922+0.0025625i,-0.00051867+0.0030209i,0.0007074+0.0023994i,0.00083656+0.00039756i,0.00012552-0.00050641i,-0.0001328-0.00031746i,0.00022063+0.00023165i,-0.00020528+0.0010296i,-0.00094072+0.00093973i,-0.00049906-0.00053301i,-0.00055207-0.00088793i,-0.00052887-0.00022384i,0.00033134-8.8061e-05i,0.00035816-0.00069203i,-7.4338e-05-0.0011008i,0.00017126-0.00039277i,0.0005207+0.00021955i,0.0003609-0.00020219i,-0.00014414-0.00032628i,-0.00035694-0.00013022i,0.00025009-2.0874e-05i
-0.0001475-0.002369i,-0.0013408-0.0011689i,-0.00058735-0.00020224i,0.00039851+0.00038817i,0.00014402+0.0011845i,0.00022736+0.0014139i,0.00038601+0.0010194i,0.00021927+0.0011606i,5.2411e-05+0.0012542i,0.00013779+0.00082659i,0.00028962+0.00038335i,0.00029412+0.00026071i,0.0006138+0.00056339i,0.00055231+0.00041007i,0.00039308+7.3837e-05i,0.00016475-0.00039076i,0.00036947-0.00017951i,0.0005003+0.00051943i,0.00018776+0.00042472i,4.8674e-05+1.2974e-05i,-0.00058609-0.00064328i,-0.0011452-0.00058989i,-0.0011038-0.00022781i
0.00046288-0.001036i,-9.0711e-05-0.00020631i,-0.00072174+0.00067844i,-0.00090575+0.00038233i,-0.00077346-0.00080444i,-0.00067066-0.0006258i,-0.00061375+0.0001211i,-0.00027158+0.00017792i,0.00034756+0.00055615i,0.00024277+0.00077686i,-0.00052119+0.00024377i,-0.00055567-0.00019903i,-0.00010381+1.1814e-05i,9.3708e-06+0.0002389i,-2.008e-05+0.00058188i,0.00017878+0.0010803i,0.0011498+0.00080471i,0.001322+0.00023764i,0.00084837+0.00018753i,0.00027002+0.00010509i,7.3941e-05-0.00051728i,-7.3157e-05-0.0010074i,-0.00018015-0.00041748i
6.81e-05+0.0010911i,-0.00034748+0.0018537i,-0.00029426+0.0019256i,-0.00074137+0.0011835i,-0.00055855+4.6136e-05i,-0.00084198-0.00039315i,-0.00081142+3.582e-06i,-9.8728e-05+4.4079e-05i,-0.00023677+0.00075575i,-0.00056855+0.0008533i,-0.00020309-0.00030245i,0.00049665-0.00029463i,0.00089986-0.00012942i,0.00078773-0.00037611i,-4.664e-05+0.00027925i,-0.00093765+0.00077985i,-0.0016266+0.00033476i,-0.0012938-0.00022992i,-0.00025031-0.00011021i,-0.00040389-0.00034105i,-0.0003171-0.00093008i,0.00047787-0.00055342i,0.00088023+0.00016621i
0.001161+0.00012584i,0.0012847+0.0008591i,0.0024023+0.0010136i,0.0028272+0.0007268i,0.0020188+0.00066938i,0.00043018-0.00013324i,-0.00036987-0.00075308i,1.1735e-05+0.00039775i,0.0004571+0.0009898i,0.0012445+0.00013002i,0.0013961-0.00014607i,0.00098377-0.0001898i,0.00039245+7.2607e-05i,-0.00032376+0.00041555i,-4.4198e-05+0.00086964i,-0.0001469+0.0011372i,-5.6855e-05+0.00021891i,0.0002368+0.00014672i,0.00031678+4.8975e-05i,0.00076944-0.0007979i,0.00050938-0.00072086i,0.00045185-0.00038159i,0.00041565-0.00034119i
-0.00095233+0.0042915i,0.00030135+0.0028347i,0.0028736+0.0022183i,0.0044605+0.0022204i,0.0037058+0.0010854i,0.0014775-0.00019785i,-0.00049496-0.00025867i,-0.00074955+0.00048556i,1.3868e-05+0.0012368i,-0.00060519+0.00068954i,-0.00091887-6.3116e-05i,-0.00035388-0.00032503i,-0.0005898-0.00070593i,-0.0007648-0.00049549i,-0.00042102+0.0002421i,-0.00014177+0.00090965i,-0.00038609+0.00096063i,-0.0006433+0.00023492i,-0.00044887+0.00010867i,-6.2922e-05-8.434e-05i,0.00067496-0.00055222i,0.00095586-0.00057461i,0.00082023-8.3662e-05i
-0.0011915+0.0010786i,-0.00053003+0.00074399i,-1.5334e-05+0.0016769i,3.5664e-05+0.0024448i,5.8869e-05+0.0014021i,0.00061049-3.1509e-05i,0.00017543-1.3024e-05i,-9.6226e-05-0.00029614i,-4.8176e-06-0.00055336i,0.000279-0.00013883i,0.00015218+0.00012563i,-0.00020914-0.00019989i,-0.00057456-0.00051576i,-0.00052778-0.0003309i,0.00020912+0.0001793i,0.00064307+0.00076209i,6.3277e-05+0.00087364i,-0.00056273+0.00019814i,-0.00024209-0.00060619i,0.00040418-0.00026968i,0.00080621+1.864e-05i,0.00073101-0.00018376i,0.0007041-0.00050006i
-0.00059183+0.0025729i,-0.00069015+0.0036872i,-0.00052485+0.0045139i,0.00021692+0.0023743i,0.0011125+0.00074483i,0.00090496+6.3795e-05i,7.2054e-05-0.00017118i,-0.00075093+0.00036771i,-0.00023138+0.00027507i,0.00024936+0.00026194i,0.00038958+0.00083397i,0.00073778+0.0010487i,0.00032403+0.0011461i,0.00026788+0.00061685i,-0.00010749-6.8522e-05i,-8.0349e-05-0.00015449i,-5.4825e-05-5.5589e-05i,-0.00035289-0.00024504i,-0.00012955-0.00017863i,6.3104e-05+3.0713e-05i,0.00010373+0.00028578i,1.7041e-05+0.00064475i,0.00020179+0.00057844i
0.00023793+0.0010234i,0.00092151+0.0012573i,0.0011487+0.0017384i,0.00080573+0.0011713i,0.00070834-0.00025739i,0.00066929-0.00036309i,4.6591e-05+0.00077846i,-0.00040857+0.0017593i,9.472e-05+0.0016284i,0.00034838+0.0011203i,-0.00043318+0.00087852i,-0.00094155+0.001168i,-0.00044598+0.00091679i,8.5796e-05+0.00031728i,0.00032928+0.00035788i,0.00018484+0.0005332i,-0.00016906+0.00051639i,-2.8875e-05+2.8385e-05i,0.00033032-0.00071291i,0.0006026-0.00034472i,0.00097079-0.00026867i,0.00080276-0.00035381i,0.00039019-0.00040384i
1.5947e-05-0.0024242i,-0.00026911-0.00069444i,-0.00081146+0.00022358i,-0.0010371-0.00010115i,-0.00058747-0.00019669i,-0.00057384-0.0001189i,-0.00049301+0.00016174i,0.00015561+0.00044878i,0.00043114+0.00068676i,-0.00049471+0.00049609i,-0.00081218+0.0003738i,0.00026036+0.00014767i,0.0010911+6.5746e-05i,0.00054289+0.00041484i,0.00012762+0.00062769i,0.00044174-0.00039624i,1.1806e-05-0.00074871i,6.4055e-05-5.9237e-05i,0.00019033-0.00034085i,-0.00043695-0.0012248i,-0.00057528-0.0012966i,-0.00024374-0.00023074i,-0.00062223+0.00038836i
0.00099054-0.0012154i,0.0014074-0.00087521i,0.0012641-0.0010132i,9.6748e-05-0.0013313i,-0.001032-0.0011295i,-0.00047101-1.4831e-05i,0.00043036+0.00088935i,0.00028087+0.00091732i,-0.00020437+0.00038416i,-0.00042737+0.00035795i,-0.00028375+0.0008691i,0.00045606+0.00076017i,1.4469e-05-0.00016058i,-0.0002606-0.00016688i,0.00037188+0.00036537i,0.00072454+9.0186e-05i,0.00081278+0.00013538i,0.00059988+0.0001929i,0.00021367-0.0007399i,0.0007241-0.00076421i,0.0012935-0.00029944i,0.0010591+0.00016692i,0.0006135+0.00080724i
0.00073828-7.8513e-05i,0.00022676-0.00098617i,-0.00085234-7.9526e-05i,-0.0014925+0.00035967i,-0.00041984+0.00022771i,0.00022236-2.8118e-05i,0.00020657+0.0004218i,0.00021931+0.0010118i,9.5526e-07+0.00092949i,9.3471e-05+0.00039405i,-6.9311e-05-6.8912e-05i,-0.00078331-0.00039825i,-0.00093606-0.00084445i,-0.00037811-0.00066375i,0.00043098-0.00056357i,0.00059162-0.00094892i,0.0002607-0.00084978i,-0.00014884-0.0010991i,0.00013065-0.00060989i,0.0013956+0.00028882i,0.00068909+0.00067479i,-0.00080038+0.00028393i,-0.0004823-0.0001049i
0.00021142-0.00021036i,0.00019669+0.00093342i,0.00027158+0.00089916i,0.00075435+0.001007i,0.00020435+0.00087445i,-0.0003746-7.3186e-05i,-0.0001416-3.4445e-05i,0.00026697+0.00063091i,9.6054e-05+0.00035209i,6.3957e-05+0.00036707i,0.0003947+0.0011684i,0.00057014+0.00062512i,0.00044482-0.00035967i,0.00037659-0.00082746i,0.0002109-0.00094027i,6.6223e-05-0.00047603i,-0.00020968-9.1791e-05i,-0.0007913+0.00033162i,-0.000879+0.00072024i,0.00045+0.00058116i,0.0003867+0.00038672i,-0.00054874-0.0004618i,-0.00059953-0.0016197i
-0.0011577+0.0014114i,-0.0012803+0.00058877i,1.9738e-05+0.0014616i,0.00066708+0.0011863i,0.00067789-2.4848e-05i,-0.00031255-0.00024691i,-0.00092379+3.1568e-05i,-0.00020147-0.00057061i,0.00055899-0.00013669i,0.00057461+0.00092873i,-0.00029133+0.0006902i,-0.00074052+0.00022243i,-0.00061825+0.00020404i,-0.00040202-0.00052906i,-0.00012207-0.00054205i,0.00013534+0.00012359i,0.0003815+3.6172e-05i,0.00081247-3.2363e-05i,0.00099462+0.00054353i,-2.2765e-05+0.00011879i,5.7021e-05-0.00046582i,0.00048427-1.7313e-05i,0.00012027-0.00011529i
0.0016678-0.0011276i,0.0012384-0.0012153i,0.00016732-0.0016227i,-0.0010369-0.0014984i,-0.0020728-0.00060102i,-0.0023622+8.2949e-05i,-0.00089981+0.00020675i,0.00018723+0.00074008i,-0.00015323+0.00097378i,-0.00076447+0.0011554i,-0.00066969+0.001337i,-0.00028259+0.00090467i,0.00027595+0.00039057i,0.00044231-1.5406e-05i,2.228e-05-0.00064812i,9.0113e-05-0.0002756i,0.00026613+0.00021227i,-7.3385e-05+7.5021e-05i,-3.9676e-05+0.00020351i,0.00029838-0.0003105i,0.000594-0.00050341i,8.1505e-05-7.0928e-05i,-0.0002648-0.00035809i
-0.00087288+0.00036731i,-0.0013224+0.0011698i,-0.0018549+0.00039364i,-0.0012302+0.00017291i,-0.00017469+0.00062822i,0.00038583+0.00084508i,0.00032836+0.00059582i,0.00035965+0.00020567i,0.00042366+5.1092e-05i,-0.00024485+0.00030803i,-0.00044146+0.00045682i,-2.1409e-05+0.00026425i,0.00051851+0.00030439i,0.00096161+0.00014142i,0.00016593-0.00031584i,-0.00078645+1.0524e-05i,-0.00038352+0.00012033i,0.00011424+0.00019875i,-0.00030733+0.00028839i,-0.00026071+0.0001226i,5.8406e-05+0.00014371i,-0.00046598-5.1072e-05i,-0.0002095-0.00017351i
-0.00040392-0.00055486i,-0.00077593-0.00030886i,-0.0016601+0.0007709i,-0.0013117+0.00097046i,-0.00010372+0.00059528i,-6.3341e-05+0.00064614i,-0.00014416+0.00078893i,-0.0005454+0.00016429i,-0.00054414-0.00024499i,0.00025536+0.00073531i,0.00036637+0.0011451i,9.4082e-05+0.00016392i,0.00010373+7.036e-05i,0.00052652+0.00026617i,0.00040994+0.00040517i,-5.4144e-05+0.00037643i,4.1573e-05-0.00023112i,-0.00011038+2.103e-05i,0.0006449+0.00085088i,0.0013759+0.0012469i,0.00056092+0.0013147i,-0.00033864+0.00076419i,0.00011238+0.00048017i
-0.00056359+0.0026996i,0.00013619+0.0018814i,0.00027079+0.0011751i,0.0011235+5.5802e-05i,0.001725+6.8494e-05i,0.0007631-0.00032234i,-0.00045107-0.00045736i,-0.00077783+0.0003155i,0.00028776+0.0012019i,0.0012535+0.0010536i,0.0010199+0.00014781i,0.00062423+5.9608e-05i,1.6832e-06+8.0645e-05i,-0.00054875+7.305e-05i,-0.00027199+0.00086788i,-0.00059247+0.00071718i,-0.00056775-0.00064892i,0.00022316-0.0011006i,0.00066996-0.00052863i,0.00084075-2.8248e-05i,0.0012057+0.00024172i,0.0010964+0.00036141i,0.00043935+0.00022265i
0.00025695+0.00022935i,-7.9551e-05+0.00021905i,0.00061753+0.0015453i,0.0013134+0.002219i,0.0013487+0.0016278i,0.0012361+0.00044378i,0.00049841+6.5263e-05i,-0.00057035+0.0006113i,-0.00092804+0.0018089i,-0.00028033+0.0013676i,0.00012439-0.00040797i,-0.00031561-0.0012124i,-0.0010037-0.0004151i,-0.0013117+0.00039585i,-0.00053629+0.00015138i,0.00032755+5.3081e-05i,-0.00012921-5.1557e-07i,-0.00052819+0.00020828i,-0.00081357-0.00056818i,-0.0012098-0.0012203i,-0.00075786-0.0008407i,0.00032701-0.00016064i,0.00033916+0.0006174i
-0.00078841-0.0013262i,-0.00096607-0.0013724i,-0.0011819-0.0022415i,-0.00092088-0.0011716i,-0.00041153-3.2046e-05i,-0.00027214+0.00054088i,-0.00036136+0.0011297i,-0.00034627+0.0010906i,-0.00010689+1.6208e-05i,9.3144e-05-0.00029135i,9.2265e-05+7.2009e-05i,0.00028294-0.00011811i,0.00016144-0.00022041i,-0.00034847-0.00043485i,0.00020574-0.00056499i,0.00077483-0.00010728i,0.00083381+0.00019515i,0.0013079-0.0006795i,0.00034267-0.00066763i,-0.0008255+0.00017388i,-0.00079231+0.00043164i,-0.00096084+0.00015179i,-0.0010892+3.8351e-05i
0.00020821-0.00020243i,-0.00070913+0.00068787i,-0.00020357+0.00066227i,0.00013+0.00056495i,-0.0010053+0.0010908i,-0.0015193+0.0011744i,-0.00051378+0.0010361i,0.00017053+0.00052833i,-0.00063037+0.00023255i,-0.00097607+0.00068902i,-0.00020016+0.00043283i,-0.00014987-0.00089168i,-0.0002966-0.00083111i,-6.5538e-05+0.00071856i,-0.00013289+0.00090096i,-0.00019056+0.00060852i,-0.0004522+0.00065305i,-0.0004252+0.0007499i,-4.9473e-05+0.00070217i,0.00030949+0.00017214i,0.00082641-0.00019468i,0.00018941-0.00022833i,-0.00070046-0.00011167i
0.0011127-0.00020969i,0.0014742+0.00033725i,0.0012262+0.00030721i,0.00042989+0.00025342i,6.3157e-06+0.00024929i,8.1041e-05+9.474e-05i,0.00010086+0.00065035i,0.00044594+0.0013875i,0.00077805+0.00025729i,0.00025697-0.00076457i,-1.4186e-05+0.00021937i,0.0005218+0.00085237i,0.00053952+0.00095762i,0.00039241+0.00046542i,0.00078216+0.00012268i,0.0005892+7.2037e-05i,0.00024062-0.00027249i,-0.00046091-0.00010233i,-0.00054717+3.8097e-05i,0.00032602+0.00039026i,0.001067+0.00073233i,0.00073891+0.00060693i,-0.00049224+0.00083783i
0.0005881-0.0019886i,-0.00085548-0.0012874i,-0.0023698-0.00098688i,-0.0017793-0.00052598i,-0.00073207+0.00038834i,-0.00042715+0.0011514i,-0.00075899+0.0010876i,-0.0003494+3.3449e-05i,0.0003912-0.00050117i,0.00049076-0.00038071i,0.00045963+7.3223e-06i,0.0007613+5.1021e-05i,0.00097041+0.00052784i,0.00036112+0.0005474i,-0.0002612+0.00034944i,-0.0006619+0.00033136i,-0.00031382+0.0003515i,0.00043034+0.00020524i,0.00073345-0.00013293i,0.0012704+0.00087563i,0.00038366+0.0012287i,-0.00068801+0.00015285i,-0.00015987+0.0001375i
-0.0011586+0.00091412i,-0.00011539+0.00096787i,0.00057601+0.0010462i,-0.00023333+0.00069923i,0.00013364+3.1434e-05i,0.0010286-5.885e-05i,0.001181-7.0939e-05i,0.0016548+0.00062086i,0.0012593+0.0012056i,0.00060704+0.00079714i,0.00017566+0.0005868i,0.00039114+0.00074081i,0.00030814+0.00046305i,-0.00020551+0.00022912i,0.00066572+0.00039i,0.00083873-4.8201e-05i,0.00058673-0.00046428i,0.00080275-0.00015865i,0.00085225+0.00077364i,0.00051295+0.00054873i,-0.00013172-0.00019463i,0.0001724-0.00070838i,0.00099431-0.00059449i
