0.00067603+0.00030333i,0.0017552-0.0016298i,0.0013601-0.0017432i,0.00019504-0.00015051i,-0.00070827+0.00017967i,-0.00066576-0.00032153i,9.6407e-05+0.00011403i,0.00016936+0.00031566i,-7.2642e-05-0.00026199i,0.00010288-0.00053931i,-0.00047954-0.00036649i,-0.00059702-4.3607e-05i,-0.00081155+0.00054563i,-0.0013611-3.2473e-05i,-0.00076351-0.00033018i,7.8393e-05+0.00084319i,0.00071156+0.001256i,0.00045631+0.0010051i,-0.00049036+0.00081692i,-0.00063564-2.2226e-05i,2.9955e-06-0.00058739i,0.00095489-0.00056052i,0.00079006-0.00025678i
-0.00041658-0.00013087i,0.00019016-0.0013527i,0.0013722-0.0021868i,0.00094667-0.0018988i,-0.0003079-0.00080598i,-0.00046536-0.00056133i,-0.00010841+0.00054159i,0.00024784+0.00040311i,0.00091759-0.00047228i,0.00053653-0.00021046i,-0.00011149-2.6979e-05i,0.00016241-0.00025392i,0.00045722-0.00062026i,0.00027295-0.00026059i,0.00077649+0.00045883i,0.00093684+0.00083521i,0.00024889+0.00060592i,0.00044362+0.00057249i,0.00055543+0.00079148i,0.00024259+0.00060767i,-2.9419e-05+0.00015842i,-0.000497+0.00014188i,-0.00015702+4.6489e-05i
0.0018817+0.0018555i,0.0016557+0.0016033i,0.00085633+0.0012304i,0.00039358+0.00042807i,0.00014701+0.00028763i,0.00040614-0.00064176i,0.00024875-0.00067833i,-0.00012935-4.2305e-05i,-0.00011382+0.00045811i,-0.00022471+0.001159i,-0.00060425+0.00096056i,-0.00083604+0.0004338i,0.0003609+0.0004357i,0.00074814+0.00071697i,0.00028411+5.1416e-05i,0.00068387+6.9999e-05i,0.00033368+0.00047615i,0.0001574+0.00011132i,0.00031631-6.7439e-05i,0.00034972+0.00028415i,0.00028722+0.00089393i,0.00031661+0.0012405i,0.00022514+0.00080521i
-0.00047392+0.0010724i,8.5422e-05-0.00033569i,5.9402e-05-0.00055489i,0.0004883-0.00016079i,0.00042113-0.00075194i,-0.00054195-0.00082367i,8.3248e-05-0.00033593i,0.00089269+2.4367e-05i,0.00019279+0.00032532i,-0.00063975-1.6917e-05i,-0.00091918+0.00020439i,-0.00081284+0.00057347i,-0.00075359+0.00097468i,-0.00027004+0.00081592i,-0.000157-0.00062354i,-0.00045502-0.00062838i,-0.00019206-0.00016304i,1.0232e-05-0.00030815i,0.00023452+0.00027862i,0.00016013+0.00073634i,-3.4151e-05+3.5674e-05i,0.00065727-0.00089985i,0.001331-0.00071254i
-0.00058882-0.00034395i,-0.00038698-0.00028984i,4.0636e-05-0.0005342i,-0.00044431+0.0002618i,-0.0010757+0.0012846i,-0.00049235+0.0010565i,0.00044647+0.00050636i,0.00059214+0.00047255i,0.00027442-0.00051282i,0.00051328-0.00068213i,0.00011431+0.00085258i,-0.00040158+0.0010894i,-0.00045148+0.00052602i,-0.00041426+0.00015671i,0.00010862-0.00044052i,0.00030095+9.5837e-05i,0.0001728+0.00065935i,-0.00011819+0.00033084i,-0.0008359+0.00027703i,-0.00037671+0.00046167i,0.00031822+0.00076573i,-0.00066568+0.00076113i,-0.0014283+0.00073912i
0.00061165-0.0012123i,-0.00087333-0.0014525i,-0.0020692-0.0015925i,-0.0016655-0.00094608i,-0.0008594+2.4248e-05i,-0.00024089+0.00085246i,0.00012546+0.00044789i,0.00031147-0.00023118i,0.00022497-0.00028806i,0.00032254-0.0001128i,0.0001283+0.00045179i,-2.6421e-05+0.00052617i,0.00011749+4.163e-05i,3.6204e-06-0.00026837i,-0.00031351+0.00045224i,-0.00036994+0.0010672i,5.6933e-05+0.00036724i,0.00028131-0.00016733i,0.00059347-0.00050759i,0.00085161-0.00057819i,0.0005242-0.0003335i,0.00082702-0.0003671i,0.0012847+0.00025675i
-0.0005723-0.0017745i,-0.00017466-0.00066172i,8.2642e-05-0.00090976i,0.00051266-0.00054438i,-0.00055457+0.0010866i,-0.0010826+0.0014161i,-0.00063534+7.4049e-05i,0.00010362-0.00066561i,0.00069285-0.00049218i,0.00074914+0.00010824i,0.00031296+1.1269e-05i,0.00029358-0.00074694i,9.2144e-05-0.00027213i,-8.9537e-06+2.4851e-05i,0.0001139+0.000139i,0.00028523-4.9847e-05i,-0.0001881-0.00044384i,-0.0006846-0.00018625i,-0.00049338-0.00045301i,-0.00034367-0.00090204i,-0.00037544-0.00045845i,-7.9297e-05+0.00016066i,0.00072895+0.00094652i
0.00014058+0.00036614i,0.00021006+0.00063867i,0.00017677+0.00085575i,0.00011964+0.00065008i,-2.4468e-06+0.00091209i,-0.00029278+0.00075514i,-0.00032069+0.00014739i,6.8523e-05+0.00020086i,0.00015837-0.00044877i,-4.364e-05-0.0016512i,-0.0006673-0.0012941i,-0.00078232-0.00071421i,-0.00071304-0.00017776i,-0.00019204+0.00010558i,0.00059133+4.4024e-05i,0.00042919+0.00027106i,6.518e-05+0.00027464i,0.00022336+0.0007806i,-0.00042293+0.00091661i,-0.00040121+0.00026627i,0.00040637-0.00028316i,0.00061123-0.00018868i,2.1676e-05-5.0895e-05i
0.0003046-0.0015534i,0.00026718-0.0014208i,0.00054174-0.0023465i,1.6472e-05-0.0022017i,-0.00069411-0.0011425i,0.00010767-8.8826e-05i,0.0010808+0.00096011i,0.00092142+0.0010903i,0.00090319+0.00052752i,0.00075333-0.00014084i,-0.00020106-0.00028183i,-0.0010608+0.00020888i,-0.0012473+0.00054224i,-0.00089683+0.00028055i,-0.00056147+0.00083322i,-0.00033265+0.0010484i,-0.00036319+0.00067421i,-0.00030609+0.00079848i,-7.7201e-05+0.00062192i,0.00017345+0.00048908i,0.00024253+0.001123i,0.00071996+0.0014571i,0.00033978+0.00099305i
0.0026584+6.7666e-05i,0.0018609+0.00078038i,0.0003056+0.0014819i,-0.00017951+0.0019418i,-0.000161+0.0020557i,-7.6281e-05+0.0014406i,0.00039846+0.00066904i,0.0004281+0.00036035i,-9.3777e-05+0.00054796i,-0.00015965+0.00055651i,-0.00024697+0.00010857i,2.1248e-05-0.00024819i,0.00057452-0.00018117i,0.00052342-0.00038775i,0.00089193-0.00072728i,0.00080881-0.00033929i,0.00010158+3.5774e-05i,0.00041909+0.00034184i,0.00037202+0.00047867i,-9.3801e-05-0.00014026i,-0.0007116+0.00016106i,-0.0010159+0.00072998i,0.00026415+0.00011906i
