-0.0040457+5.9036e-05i,-0.0029585-0.00046393i,-0.0018908+0.00015908i,-0.001234+0.001178i,-0.00073077+0.0017438i,0.00098082+0.0010318i,0.0014256+0.00095521i,0.00033108+0.0012592i,0.00068382+0.0012066i,0.0015102+0.00031879i,0.0013122-0.00039775i,0.00049256-0.0013784i,-5.2884e-05-0.0020402i,0.00013462-0.0013121i,3.7606e-05-0.00016385i,-0.00027431+0.00040722i,-0.00015122+0.00076793i,-0.00035414+0.00084823i,-0.00028205+0.00029268i,0.00067051+0.00083292i,0.00064398+0.0012144i,-8.0768e-05+0.00066417i,-0.00038176+8.2378e-05i
0.00094744+0.0019818i,0.0018905+0.00085346i,0.002457-0.0006575i,0.0025331-0.0014435i,0.0016372-0.0019515i,0.00030364-0.0018269i,-0.00032464-0.0010739i,-0.00030127-0.00018799i,6.6852e-05+2.8243e-05i,0.0002818+2.4868e-05i,-0.0003236+0.00026423i,0.00016064-0.00046248i,0.00042734-0.00069126i,-0.00052037+0.00014973i,-0.00057842+0.00044172i,-0.00011992+0.0001921i,-1.3145e-05-0.00013289i,-0.00019612-7.0044e-05i,-0.00010946-0.00033707i,0.00035882-0.00077788i,0.00048879-0.00025243i,0.00012734+0.00030403i,3.3213e-05+0.00074555i
0.00043035-0.00019098i,0.00030384+0.00037359i,0.00098921+0.00060022i,0.00060575-0.00017865i,0.00016382-0.00075226i,-8.1096e-05-0.00090135i,-0.00036726-0.0016974i,-0.00054959-0.0010706i,0.00045065+0.00020434i,0.00051749+0.00027433i,0.00012388+0.0002499i,0.00017107+0.00035601i,0.00014516-2.8167e-05i,-0.00025182-0.00011001i,-0.00030457+2.0713e-05i,0.00027322-0.00030125i,0.00044065-0.0003393i,-3.6234e-05-0.00023619i,-0.00097119-6.1577e-05i,-0.00057193-0.00042571i,0.00062429-0.00054796i,0.00093444-5.0163e-05i,0.0006232+0.00035463i
-0.00089245+0.0001092i,-0.0011162-3.7706e-05i,-0.00074542-0.001242i,-0.0010044-0.0015485i,-0.00092428-0.0015381i,0.00020474-0.0015842i,0.00031659-0.0009177i,9.8907e-07-0.0007408i,0.00021209-0.00024282i,-4.5837e-05+0.00082654i,-0.00086087+0.00015999i,-0.0007935-0.00086848i,-0.00017993-9.2582e-05i,-2.7274e-05+8.0242e-05i,-0.00028777-0.00045049i,-0.00049855-0.00055478i,-0.00042069-0.00027576i,-0.00044934+0.00022061i,0.00019446-0.00028656i,0.00052215-0.00015581i,0.0001206+0.00035887i,-0.00058286+0.00013162i,-0.00045399-0.00049314i
0.001137-0.00059458i,0.00097984-0.0017042i,0.0017928-0.0033718i,0.0012173-0.0034442i,0.00053033-0.0028859i,0.00056302-0.0017865i,0.00020097-5.9498e-05i,-0.00065937+0.00056706i,-0.00032928+0.00078306i,6.9073e-05+0.00041584i,-0.00024859-4.1735e-05i,-0.00068772+7.5512e-05i,-0.00051095+0.00012841i,0.00086006+0.00037858i,0.0018311+0.00050095i,0.00098392-0.00012928i,-0.00049639-0.00058983i,-0.00069398-0.00022172i,0.00020929+0.00012957i,0.0004905+4.5804e-05i,6.001e-06+2.0778e-05i,-0.00035528+0.00024386i,-0.00011115+0.00096494i
0.00014458-0.0003262i,0.00077531-0.0014444i,0.00030066-0.001835i,0.00069577-0.0015655i,0.00093681-0.0014305i,0.00083443-0.0011906i,0.00028153-0.00031459i,3.4956e-05+0.00037558i,0.00017589+0.00087309i,7.3925e-05+0.00056774i,0.00048202-0.00010535i,0.00077867-9.439e-05i,0.00039198+2.3595e-05i,-0.0001402+0.00010325i,-0.00014515+0.00018105i,0.00015249+0.00011053i,0.00033841+0.00014977i,2.4981e-06+0.0002718i,1.0934e-06+4.8347e-05i,0.00060003-8.5959e-05i,0.00058505-0.0005001i,0.0010317-0.00074331i,0.0011113-6.3708e-05i
-7.9044e-05-0.0019001i,0.00028007-0.0018434i,0.00031887-0.0016625i,0.00030726-0.0014759i,0.00035736-0.0010712i,0.00067738-0.00053963i,0.0012489-0.00029221i,0.0012574-0.00060211i,0.00066436-0.00054728i,0.00066079+0.00015853i,0.0012886+0.00056387i,0.0011576+0.00014853i,0.00048466-9.5379e-05i,-5.4713e-05-0.00017241i,-6.7301e-05-0.00036388i,6.4825e-05+8.0354e-05i,4.4819e-05-5.4765e-05i,0.00049194-0.0003622i,0.00048113-0.00030356i,-0.00022241-0.00022554i,-0.00085404-0.00055039i,-0.00080103-0.0010681i,0.00012759-0.00025995i
0.00022267-0.0011589i,-0.00079169-0.0020134i,-0.0013007-0.0024863i,-0.001368-0.0018478i,-0.0020303-8.3908e-05i,-0.0010964-0.00018107i,-0.00012396-0.00089136i,-0.00046822-0.00062054i,-0.00015784-0.000144i,0.00058351-0.00011833i,4.8994e-05-0.00043257i,-0.00027234-0.00069308i,-0.00036718-0.0003479i,-0.00064301+0.00050498i,-0.00029216+0.0011772i,-6.6047e-05+0.00085237i,0.00021252+0.00019574i,-0.0002343+0.00067657i,-0.00066958+0.0014317i,-0.00034301+0.00081255i,-0.00071213-0.0001131i,-0.00063247-0.00020752i,0.00023148-0.00040204i
0.0010154+0.0020821i,0.0023608+0.0012567i,0.0039916+0.00040866i,0.0040396-0.0011011i,0.0027487-0.001437i,0.0012109-0.0015489i,0.0003461-0.0013749i,0.00039321-0.00035099i,0.00079964-1.9224e-05i,0.00031053-0.00030179i,-0.00046253-0.00045185i,-0.00079801-0.00056491i,-0.00072073-0.00023912i,-0.00075151+4.0551e-05i,-0.00076015+3.4267e-05i,-0.00027788+0.00018539i,0.00012735+3.936e-06i,1.1897e-05-0.00073977i,-0.00023665-0.00042409i,0.00012467-9.1062e-05i,0.00016601-0.00015125i,-0.00011699-6.6352e-05i,-9.3461e-05+0.0004703i
-0.00082855+0.00019993i,-0.0001752-0.000642i,-0.00056872-0.0010598i,-0.00045859-0.0013495i,6.3056e-05-0.0010365i,0.00060428-0.00039156i,0.00088254-0.00074171i,0.00036913-0.00087225i,0.00020827-6.9924e-05i,0.00034007+0.00013517i,0.0004154-8.5543e-05i,-8.4326e-06-0.00020552i,-0.00022871+2.1506e-05i,2.74e-06-0.00039723i,5.5337e-08-0.00096496i,0.00010371-0.00065758i,0.00061951+0.000644i,0.00067686+0.0010065i,0.00015632+0.00066828i,-0.00042042+0.0005009i,-0.00012666+0.00025835i,0.00061315+0.00010333i,0.00038296-1.1433e-05i
-0.0011187-0.0011033i,-0.0004034-0.00028907i,-0.00020442-0.00028393i,-0.00061354-0.00016792i,9.5194e-05-2.2354e-05i,0.00096723-0.00055415i,0.0010984-0.0016087i,0.00066402-0.0019083i,0.000531-0.00073771i,0.00066218+9.0075e-05i,0.00057065+0.00031011i,0.0006801+0.0003055i,-8.0185e-05+0.00014561i,-0.0003475+2.0057e-05i,0.00013377-5.7157e-05i,0.00024136-0.00014275i,0.00010907+8.9086e-05i,-0.00021613+0.00066131i,-0.00027479+0.00041678i,-0.00033198+0.00026005i,-0.00066189+0.00045617i,-0.00070069-2.0788e-05i,4.8848e-05+0.00034763i
0.0018487+0.00099317i,0.0022516-0.00031603i,0.0026283-0.0020347i,0.0018193-0.0027101i,0.00068983-0.0038297i,-0.00013449-0.0029354i,-0.00022394-0.0010178i,0.00040039-0.00014201i,0.00085705+0.0004531i,0.00065336-9.3431e-05i,-0.00014137-0.00076943i,-0.00058407-0.00093106i,-0.00055281-0.00076256i,-0.00042378+0.00034214i,-0.00018315+0.00098065i,5.4653e-05+0.0012399i,0.0003958+0.00077256i,0.00012356-0.00044835i,-0.00046433-0.00048992i,0.00012599+0.00026458i,0.00047517+0.00061765i,-0.00062453+0.00045623i,-0.0010201+7.0928e-05i
-0.00090151-0.0021231i,-0.00070181-0.0017352i,-0.00061248-0.0018035i,4.4584e-05-0.0018292i,0.00041656-0.0003764i,0.00072036+0.00024274i,0.0010529-0.00052428i,0.00055982-0.00051535i,0.00039853+0.00024067i,0.00045047+0.00041504i,0.00019336-0.00066523i,0.00062457-0.00062851i,0.0011515+0.00060754i,0.00054754+0.00033425i,0.00028623-0.00015101i,-0.00060131+0.00022454i,-0.0011627+0.00019309i,-0.00091534+0.000494i,-0.00081456+0.00046335i,-0.00057066+8.4723e-05i,-0.00055946+0.00072692i,-0.00044172+0.00044961i,-0.00054272-8.965e-05i
-0.0012618-0.0018855i,-0.0016606-0.0021696i,-0.0021603-0.0022535i,-0.0022383-0.0014664i,-0.0012981+0.00010456i,0.00044131+0.00060732i,0.0013303+0.00010426i,0.0011271-0.00020555i,0.00087391+0.00018909i,0.0002939+6.8682e-05i,0.00056247+0.00069815i,0.00088834+0.00077266i,0.00062743+0.00046568i,0.00093848+0.00075102i,0.00052043+0.00019824i,-0.00048895-0.00016753i,-0.00036093+0.00024645i,5.3412e-06+0.00059135i,0.00032529+0.00053025i,-0.00034206-3.9689e-05i,-0.00050948-0.00012963i,0.00025441+0.00068016i,-0.00010091+0.00065349i
0.00018951+0.00027187i,0.00086427+9.8391e-05i,0.00085297-0.00081969i,0.00054568-0.0018614i,0.00047288-0.002514i,0.0012902-0.0020449i,0.00098259-0.0010707i,-0.00015643-0.00039213i,-0.00079754+0.00039344i,0.0002655+0.0013777i,0.0013453+0.0011515i,0.00090873+0.00073612i,-0.00029108+0.00035616i,-0.00079919-0.00015607i,0.00049934-0.00041963i,0.00085743-0.00020061i,9.9054e-06+0.00060084i,1.8079e-05+0.00084352i,0.00046388+0.00051891i,-0.00068646+0.0003253i,-0.0010243-0.00020937i,-0.00042506+0.00029322i,-0.0001201+0.00020571i
0.00059711+0.0012738i,0.0012532-0.00028837i,0.00086306-0.0020894i,0.00082123-0.0032443i,0.0014534-0.0032108i,0.001882-0.0019619i,0.0019588-0.001153i,0.0007893-0.00033745i,-7.646e-05+0.00047755i,0.00011782+0.0006114i,0.0002977+0.00037739i,-6.802e-05+0.00023866i,-0.00051187-0.00045101i,-0.00033968-0.00096827i,0.00027679-0.00066094i,0.00039436-0.00036577i,0.00022768-8.6374e-05i,-0.00025713+0.00035054i,-0.00037773+0.00069921i,0.0003465+1.5969e-05i,0.00094147-0.0006459i,0.00053669-0.00066655i,-0.00039411-0.00052275i
0.0013813+0.001419i,0.0025351+8.7596e-05i,0.0029046-0.0016993i,0.0015757-0.0013436i,5.2677e-05-0.00077348i,0.00039578-0.00093999i,0.00017857-0.00046723i,-0.00013497-0.00055869i,4.6002e-05-0.001099i,-0.00031923-0.00069729i,-0.000426-0.00024341i,-0.00078991+3.3527e-05i,-0.00073205-5.1231e-05i,-0.00093478-0.00020112i,-0.00065506-0.00013674i,0.00040863+0.00016265i,-5.3565e-05+0.0011575i,-0.0002893+0.0012217i,0.00029092+0.0005737i,0.00026693+0.0010295i,-3.4881e-05+0.0012407i,-0.0003119+0.00048239i,-0.00021774-0.00076049i
0.00078331+0.0020473i,0.0010478-9.7821e-05i,0.0027295-0.00070756i,0.0028448-0.0003603i,0.0012572-0.0013454i,5.1375e-05-0.0021215i,-0.00024775-0.0013973i,2.7208e-05-7.1158e-05i,0.00024985+0.0013167i,0.00068332+0.0017075i,0.00037554+0.00076774i,-0.00034329-0.00040509i,-0.00072787-0.00012873i,-0.00054247+0.00047073i,0.00019681-0.00021693i,0.00054853-6.0975e-05i,0.00026323+0.00044892i,0.0001999+0.00023833i,-0.0001285+0.00098595i,-0.00066318+0.00043975i,-0.00044017-0.00069782i,-0.00012507-0.00028016i,2.4086e-05+0.00033323i
-0.00016058+0.00082633i,0.0010182+0.0020801i,0.0013176+0.0012934i,0.00093823-0.00030999i,0.00024001-0.0013316i,0.0002562-0.00070489i,0.00024644-0.00049364i,0.00077942-0.00087378i,0.0017177-0.00040161i,0.0013393+0.00014121i,0.00036681+0.00059317i,2.2918e-05+0.00054854i,7.6268e-05-4.3744e-05i,0.00034746-0.00028511i,0.00035517-9.292e-05i,-0.00023412+4.1272e-05i,-0.00070212-0.00017375i,-0.00046998-0.0001421i,0.00043721-0.0003445i,0.00065958-0.00039932i,0.00051701-8.0964e-05i,0.001082+0.00018066i,0.00076359+0.00076392i
-0.00052595+0.0020334i,0.0004074+0.0016986i,0.00028065+0.0014777i,0.00078964+0.00080451i,0.0028548-0.00025475i,0.0028795-0.0013093i,0.0013303-0.0018434i,0.00096945-0.0012766i,0.00089087-0.00012114i,0.00069107+0.00056427i,0.00061369+0.0005887i,0.00047715+0.00030695i,0.00072059-0.00026025i,0.00062767+4.6425e-06i,0.00015314+0.00072693i,-2.3339e-05+0.00035205i,0.00013642-6.8347e-05i,0.00071386-0.00035818i,0.0007284-0.0011827i,0.00016739-0.00077652i,-0.00021816+1.423e-05i,-0.00023106-0.00026886i,-0.00063794-0.00031936i
0.0024395-0.00025636i,0.0015756-0.00096082i,0.0021666-0.0021192i,0.0018772-0.0032061i,0.0012301-0.0037184i,0.00094364-0.0027758i,0.00089974-0.0012306i,0.0015748+3.6204e-05i,0.0018753+0.00032978i,0.001921+0.00020918i,0.0009465+0.00041842i,2.1419e-05+0.00089315i,-1.1293e-05+0.00064356i,0.00030171+0.00054695i,0.00051635+0.00050353i,0.00054809-6.3496e-05i,0.00060173-4.9284e-05i,-0.00024457+0.00053362i,-0.0014313+0.0004369i,-0.00066867-0.00041832i,-0.00014009-0.00054279i,-0.0011611-0.00023793i,-0.0011762-0.00038427i
-0.0007728+0.0018305i,0.00085063+0.0005931i,0.0019516+1.5439e-05i,0.0011937-0.00046871i,0.0011218-0.0014758i,0.0011869-0.0015144i,0.00046527-0.00020466i,-7.807e-05-1.1757e-05i,0.00048819+8.0845e-05i,0.00069325+0.00030211i,0.000192-0.000557i,0.00032515-0.00095152i,0.00011671-0.00051102i,-0.00063463-0.00014115i,-0.00051305+0.00030307i,0.00028503+0.00010055i,0.00036663-0.00043185i,0.00036734-1.8639e-05i,-0.00016296+0.00043023i,-0.0007284-8.5633e-05i,-0.00058059-0.00036577i,-0.00011456-0.00030105i,-3.4126e-05-0.0004547i
-0.0025382-0.00022502i,-0.00038933+5.8925e-05i,0.00022994+0.0012748i,0.00055543+0.002132i,0.0015173+0.0014459i,0.001624-0.00073274i,0.0014325-0.0017951i,0.0011354-0.00083306i,0.00048883+0.00013669i,0.00042281+0.00032919i,0.00043653+0.00082126i,0.00054062+0.00022733i,3.3433e-05-0.00079884i,-0.00081912-0.00021276i,-0.00074752+9.9222e-05i,-0.00047555+0.00035313i,-0.00045458+0.0010804i,-0.00025422+0.0010727i,-0.00031144+0.0007186i,-0.00039513+0.00034098i,3.0478e-05-0.00021352i,3.3996e-05-0.00051057i,-4.956e-05-0.00047867i
-0.00027112-7.7901e-05i,0.00024306-0.00019266i,-0.00066379-0.0014776i,-0.00033418-0.001682i,0.0013877-0.00091989i,0.0016012-0.00057078i,0.00093767-0.00093384i,0.00067075-0.0014056i,0.00064491-0.00044551i,0.00030134+0.00011823i,0.00044581-0.00011476i,0.00089231-0.00048476i,0.00026234-0.00082195i,-0.00012933-0.00073449i,-0.00048453-0.00075236i,-0.00050785-0.00051073i,-0.00010695-0.00050829i,-0.00027068-0.00036465i,-0.00051377+5.7288e-05i,-0.00037319+0.00014147i,-0.00012467+0.00057176i,0.00032983+0.00040799i,0.00028274+0.00023353i
-0.00028521+5.4437e-05i,-0.00015185+0.00018778i,-0.00010948-0.00082956i,0.00054589-0.0011556i,0.00084346-0.00059685i,0.0010286-2.9716e-05i,0.0015367+0.00092783i,0.00053925+0.0016116i,-1.0991e-05+0.0014094i,0.00063236+0.0013062i,0.00051892+0.0006064i,-3.2556e-05-0.00086762i,-0.00037432-0.0011704i,-0.00043229-0.00070313i,-0.00041579-0.00015792i,-0.00090102+0.00039297i,-0.00056701+6.9555e-05i,0.00013711-0.00045613i,-0.00026556-0.0001572i,-0.0010706+0.0001874i,-0.00059442-0.00015423i,-0.00010736-0.0003726i,0.00010388-0.00081358i
0.00060243+2.8894e-05i,0.0019429+0.0004209i,0.0015964+0.00040358i,0.00021004+0.00039949i,-0.00092936-0.00080886i,-0.00051421-0.002103i,0.00041601-0.0019801i,0.00073981-0.00035663i,0.00038615+0.00062207i,0.00014962+0.00030293i,1.2338e-05+0.00048525i,0.00010716+0.00063448i,-0.00011681+0.00067559i,-6.4208e-05+0.0010538i,-0.00051764+0.00066203i,-0.0011575+0.00056304i,-0.00053177+0.00027092i,1.9691e-05-0.00065455i,-0.00018605-0.00024968i,-0.00068041+0.00020966i,-1.943e-05-0.00026906i,0.00038179-0.00038678i,8.7713e-05-0.00025355i
-0.0015525-0.00024204i,-0.0014962-0.0014933i,-0.00032664-0.00067605i,0.0010075+0.00014482i,0.001347-0.00044706i,0.0012849-0.00070521i,0.0014123-0.00091375i,0.00058218-0.00040512i,-0.0002751+0.00071921i,0.00037968+0.0010427i,0.0013601+0.00055726i,0.00075805-0.00013075i,-0.00033175-0.00035316i,-0.00054192-5.6814e-05i,-0.00050894+0.00064217i,0.00056314+0.00085211i,0.0003459+0.00030945i,-0.00064559+0.00011471i,-0.00046933-7.4933e-05i,-0.00066287-0.00017685i,-0.00034318+3.3311e-08i,0.00038259-0.00051287i,-7.7846e-05-0.00090724i
-0.0010546-0.00059672i,-0.00059707+0.00083842i,-0.00067272+0.0011052i,0.00012024+0.00053598i,0.0013322+0.0001719i,0.001628-0.00073645i,0.0010292-0.001403i,0.00026227-0.001196i,0.00021624-0.00062825i,0.00041607-0.00047632i,0.00043651-0.00024168i,0.00025702+0.00011817i,-0.00015223+0.00013524i,0.00029214+5.6794e-05i,0.00015288+0.00036268i,-0.0011317+0.00039356i,-0.0011659+0.00021156i,-0.0005212+0.00010719i,-0.00021462-0.00046331i,-3.4983e-05-0.0008627i,-0.00028012-0.00021344i,-0.00035616-0.00010925i,-0.00035036-0.00052024i
0.00028143-0.00065391i,0.0015442-0.0018456i,0.0017032-0.0013543i,0.00088839-0.0010137i,0.0002285-0.0015266i,-0.00027647-0.0016379i,-1.9413e-05-0.0016108i,0.00021636-0.00087328i,-9.3091e-05+0.00014113i,9.8705e-05+0.00048287i,0.00044118+0.0011822i,0.00045424+0.0012104i,-0.00012096+0.00088131i,-0.00037383+0.00082672i,-9.0636e-05+0.00072127i,7.7519e-06+0.00070591i,0.00032682+8.534e-05i,0.0002207+7.9923e-05i,-9.1662e-05-0.00055842i,1.7306e-05-0.0010587i,-0.0004608-0.00052384i,-0.00049247+0.00021089i,-0.00074087+0.0006957i
0.0006941-0.00034251i,0.0012142-0.001103i,0.0022178-0.0020295i,0.0022394-0.0028001i,0.0018492-0.0028179i,0.0012804-0.0020885i,0.00086323-0.0011633i,0.00027782-0.00040479i,-2.6834e-05+0.00017569i,0.00031147+3.6453e-05i,0.00081674-0.00041666i,0.00068686-0.00037772i,0.000214-0.00043492i,-0.00018179-2.7256e-05i,-0.0008119-0.0004186i,-0.0005473+3.3558e-06i,-0.0002267+0.00031345i,-0.0002535-0.0002265i,-0.00023535-0.00013736i,-4.5361e-05-0.00019918i,0.00018763+0.00038976i,-9.0276e-05+0.00037786i,-0.00052418-0.0001243i
0.0010409+0.0019582i,0.0022709+0.0010366i,0.0026903+2.0241e-05i,0.0024691-0.0016234i,0.0015063-0.0022791i,-0.00027123-0.0019142i,-0.00032401-0.0015149i,0.00028974+0.00027158i,0.00016195+0.0015451i,-3.8022e-05+0.0010533i,0.00036911-5.8289e-05i,0.00073974-0.0010514i,-0.00015611-0.00081229i,-0.00082105+0.00026164i,-0.00054163+0.00080308i,0.00021864+0.00050381i,0.00055288+0.0010238i,-0.00012186+0.0010328i,-0.00037645-0.00016109i,1.3823e-05-0.00030549i,0.00033573+0.00019401i,0.00025636+0.00063564i,-0.00027891+0.00038152i
-0.0019048+0.0015798i,-0.0017663+0.0016505i,-0.00048344+0.0018637i,0.0017492+0.0012938i,0.0030515+0.00068147i,0.0030244-0.00078121i,0.0014793-0.0017205i,0.00049933-0.0014245i,0.00078788-0.00030926i,0.00010658+0.00030841i,-0.00045488+0.00032462i,-0.00010572+0.00067737i,-3.3022e-05+0.00029139i,0.00031972-0.00037962i,0.00058712-0.00071577i,0.00030804-0.0007678i,0.00030129-0.0008459i,-0.00013199-0.00087775i,-0.00063527-0.0004014i,-0.00018084-0.00074354i,0.00028938-0.0012425i,0.00030685-0.0011258i,9.2647e-05-0.00097221i
0.00020656+9.634e-05i,0.0012647+4.6604e-05i,0.0019453-0.00078092i,0.0021822-0.0019787i,0.0022883-0.0021116i,0.0018241-0.0016278i,0.00088893-0.00077171i,0.00012267-0.00035739i,0.00027527+1.8821e-06i,0.00055764+0.00098868i,9.9895e-05+0.00057893i,-0.00034043-0.00071134i,0.00015629-0.00071008i,0.00043589-0.00054147i,0.00027432-0.00027182i,4.7779e-05-0.00010977i,-0.0002516-0.00024354i,-0.0003316-0.00029988i,-0.00070833-0.00040916i,-0.00062173-0.00041046i,0.00045942-0.00018234i,0.0006506+0.0003072i,0.00023382+4.4864e-05i
