-0.0027376+0.00060649i,-0.0013038+0.00044392i,-0.0020133+0.0010116i,-0.0015972+0.0011801i,-0.00090007+0.0016636i,-0.00026293+0.0013357i,-0.00064806+0.00093379i,-0.00090103+0.0013084i,0.00037234+0.0013622i,0.00087223+0.00058442i,0.00089997-0.00076693i,0.0015434-0.00091071i,0.0012771-0.00043904i,0.00015484-0.00019908i,-0.00094729+1.601e-05i,-0.0017034-0.00018469i,-0.0014081-0.00037283i,-0.00029506-0.0006372i,0.00045889-0.00043895i,8.7045e-05-4.0624e-05i,-0.00036535-0.00033888i,-0.00029608-0.0010168i,-0.00028167-0.00057646i
-0.0026549-0.00050988i,-0.0029157-6.3001e-05i,-0.0027223+0.001397i,-0.0015447+0.0019295i,3.7758e-06+0.0026324i,0.00025296+0.001816i,-0.00045162+0.00066949i,-0.00087394+0.00076975i,-0.00049215+0.00063396i,-0.00010637+0.00024776i,7.8164e-05+7.2063e-05i,0.00026648-0.00073373i,0.00034659-0.0012649i,0.00015971-0.0010458i,-4.6359e-05-0.00078209i,-0.00019779-0.00060632i,-0.00011721-0.00023108i,-0.00024379+0.00029158i,-0.00021484-9.0889e-06i,-0.00037597-0.0010212i,-0.00066604-0.0005457i,-0.00016891-8.9662e-05i,0.00043383-0.00015702i
0.0013482-0.00072775i,0.00017694-0.0021313i,1.0323e-06-0.0029618i,-0.00047045-0.0020598i,-0.00081332-0.00086513i,4.381e-05+0.00015956i,0.00021747+0.0004292i,0.0002191-0.00019329i,0.0002478-0.000633i,0.00013394-0.00080883i,0.00015247-0.00037753i,-0.00052948+0.00033875i,-0.00037326+0.00037323i,-0.00038859-0.00043937i,-0.00073193-0.00066037i,-0.0005056-0.00022659i,9.4078e-05-0.00040201i,0.00033833-0.00097979i,-0.00013529-0.0006953i,-0.00037155+0.00017699i,-7.5739e-05+0.00061472i,-0.0001903+0.00025618i,-0.00044757+0.00044661i
-0.00070878-0.00051901i,-0.0021084+0.00071158i,-0.0025618+0.00079416i,-0.00070488+0.00062773i,0.0014001+0.00042447i,0.001373+0.00046713i,0.00038058+0.00061868i,0.0001483+0.00066089i,0.00028185+0.00071581i,-1.2435e-05+0.00010209i,-0.00031006-0.0010373i,-0.00056781-0.0012948i,-0.00057151-0.00069661i,-0.00027-0.00046571i,-2.8621e-05-0.00056218i,8.3529e-05-0.00099576i,0.00029396-0.0012223i,0.00035887-0.00026414i,0.00044673+0.00060265i,0.00039851+0.00063432i,-0.0002943+0.0007232i,-0.00080243+0.0004493i,-0.00079762-0.00023711i
0.00092064-0.0011306i,0.00050791-0.0006569i,-1.9828e-05-0.00043461i,-0.00037823+5.2484e-06i,-0.00032475+0.00018572i,0.0001786+0.00050137i,0.00023674+7.9102e-05i,-0.00022397-0.00058727i,-0.00048985-0.00070631i,0.00027003-0.00056535i,0.00018127+0.00012425i,-0.00036549+0.00026437i,-0.00024842-0.00062618i,-0.00025515-0.00050958i,4.1846e-05+0.00031975i,0.00045328+0.00083536i,0.00069943+0.00049772i,0.00062317+0.00065769i,-0.00039121+0.0011797i,-0.00061177+0.0013724i,-8.4301e-07+0.0011047i,0.0005673+0.00029429i,0.00015623-0.00024863i
0.0007246+0.00049994i,0.00095859-0.00080893i,0.00085997-0.0011946i,0.0012372-0.0013051i,0.0016828-0.0017592i,0.0014537-0.0018748i,0.00091269-0.0013733i,-2.066e-05-0.00053984i,-0.00055725-8.6357e-05i,-0.00046609+0.000239i,-0.00075467+0.00011214i,-0.00033705-0.00027226i,-0.00026376-0.00018152i,-0.00040112-0.00071893i,-8.7175e-06-0.00081252i,-6.2353e-05-0.00011068i,-3.0635e-05-0.00021569i,0.00024625-0.00075976i,0.00027995-0.00016627i,0.00022373+5.457e-05i,6.763e-05-0.00016426i,-5.2283e-06+3.3648e-07i,-0.00042745-0.00019953i
-0.00092223+0.0011947i,-0.00075227+0.00207i,-0.0005606+0.0028027i,-3.2545e-05+0.0026055i,0.00053837+0.0014796i,0.0005256+3.7871e-05i,-0.00017518-0.00013592i,-0.00015229+0.0003483i,0.00041992+0.00013583i,0.00068252-0.00052001i,0.00046301-0.00013732i,0.00038714+0.00067792i,0.00089488+0.00031349i,0.00077906-0.00025459i,0.00026147-0.00012363i,-0.00074621+0.00020303i,-0.0012254+0.0005427i,-0.00034277+0.00036258i,0.00055502+0.00028817i,0.00042161+0.0001876i,-0.00026355-9.543e-05i,-0.00015596-0.00021024i,7.9456e-05-0.00090296i
0.0014712-0.0013216i,0.00065493-0.0026995i,-0.00042769-0.0030994i,-0.0005235-0.0018761i,-0.00054835+0.00055753i,-0.00039579+0.0015795i,0.00079345+0.00035153i,0.001372-0.0004526i,0.00095852-0.00047504i,0.00040465-0.00030421i,-0.00022715+8.1505e-05i,-9.5211e-05+0.00013489i,0.00011525+0.00030169i,-0.00014115+0.0001118i,8.0023e-05-0.00010252i,0.00039088-5.1827e-05i,0.00017791-0.00070385i,-0.00027753-0.0014741i,-0.00078665-0.00043889i,-0.0010167+0.0010478i,-0.000505+0.0011048i,-2.9672e-05+0.00078762i,-3.4424e-05+0.0004467i
0.00028184+0.0010441i,-0.00012356+5.9365e-05i,0.00072452-0.00038934i,0.0012264-0.00030935i,0.00017557-2.0689e-05i,5.7435e-05-0.00076228i,0.00083621-0.0014672i,0.0011102-0.00098852i,0.00094804-0.00029688i,0.00051841-0.00028302i,-7.4993e-05-0.00063755i,-0.00026799-0.00083914i,-0.00017313-0.0011154i,-0.00025892-0.00056242i,0.00041804+0.000278i,0.00053438-0.00026719i,8.9321e-05-0.001266i,-0.000152-0.00084608i,-0.00066302+0.00036649i,-0.00091531+0.00073451i,-0.00054142+0.00025158i,8.2127e-05-0.0001423i,0.00050244-0.0006891i
0.00061983-0.00064191i,0.001034-0.0014931i,0.00011547-0.0016964i,-0.00077363-0.0013022i,-0.00078528-0.00071961i,-0.00061356-0.00022674i,-0.00089744+5.9021e-05i,-0.00050539+0.00025347i,0.00043186+0.00085134i,0.00063408+0.00053495i,0.00049388+2.5292e-06i,0.00012702-1.0653e-05i,-5.8882e-05+0.00035577i,0.00025874+0.00046411i,0.0005945-0.00040801i,0.0001845-0.00042204i,-0.00027935-0.000177i,0.00024668-0.00058428i,0.00055198-0.00021206i,0.00013055+0.00038116i,7.1345e-05+0.00022685i,7.5007e-05-0.00040792i,-0.00018109-0.00081659i
-0.00093925-0.00067839i,-0.0010708-0.0010071i,-0.0008667-0.00024997i,-0.00016333+0.00048331i,0.0007485+0.00029887i,0.0011592+0.00027411i,0.0010042+5.211e-05i,0.00065582-0.00020499i,0.00026323-0.00032058i,-0.00034015-0.00063411i,-0.00011408-0.00062355i,0.00024348-0.00064455i,-2.2924e-05-0.00072553i,-0.00033038-0.00027468i,-0.00054325+0.00048801i,-0.0010887+0.00074086i,-0.001351+4.45e-05i,-0.00040128-0.00023744i,0.00076069+0.00014519i,0.00061505+0.0011736i,8.0857e-05+0.0012552i,-0.00013536+0.00057009i,-9.2867e-05+1.3923e-07i
-0.0011894-9.8284e-05i,-0.0012359+5.2911e-05i,-0.0016254+0.00069061i,-0.0016103+0.0011647i,-0.0005007+0.0013869i,0.00022252+0.00093009i,0.00013919+4.8679e-05i,0.00042682-0.00026795i,0.00028571+0.00014352i,-0.00010682+0.00042996i,-0.00044506-9.7699e-05i,0.00030308+0.00010102i,0.0011463+0.00013159i,0.00052461+0.00049131i,-0.00039261+0.00089179i,-0.00058642+0.00038692i,-0.00079716+0.00011676i,-0.00022371+3.5284e-05i,0.00019819+0.00047139i,-0.00010982+0.00060335i,-0.00010751+2.9548e-05i,-0.00033715-0.00046013i,-0.00020484-0.00050937i
0.0019738+0.00033449i,0.0015818-0.00022367i,0.0010461-0.00095808i,0.00044195-0.0017613i,0.00046198-0.0019685i,0.00016091-0.0014471i,-0.00037254-0.0013026i,5.1391e-05-0.0012802i,0.00041995-0.00084811i,0.00033241-0.00088473i,-0.00027386-0.00051389i,-0.00066564+0.00035458i,-0.00031805+0.00020112i,6.0749e-05+0.00015781i,7.0229e-05+0.00039018i,-0.00019809-0.00044939i,-0.00029821-0.00038575i,8.525e-05+0.00034131i,0.00013604+0.00067716i,-0.00054253+0.00044086i,-0.00093395+0.00037111i,3.3581e-05+0.00060775i,0.00036868+0.00011479i
-9.8186e-05+0.00017931i,-0.0011279+0.00039398i,-0.0014719-0.0003354i,-0.00080688+4.8026e-05i,1.2352e-05-0.00011822i,0.0010576-0.0003905i,0.00062208-0.00051963i,-0.00020525-0.0004029i,-0.00017894+0.00043652i,0.00017742+9.8277e-05i,0.00078946-0.00049547i,0.00089717-0.00041739i,0.00028325-0.00015717i,-0.00034282+0.000232i,-0.0002983+4.609e-05i,1.1897e-05-0.00041143i,0.00049529-0.00010438i,0.00014642-2.3477e-05i,-0.00092339+8.5219e-05i,-0.00047349+0.0002562i,0.00085871+0.00032086i,0.0004218+0.00042529i,9.881e-05+0.00019981i
0.001847-0.00073498i,0.00078994-0.0012949i,0.0003081-0.00080638i,0.0001639+0.00035858i,-0.00011465+0.00049385i,-0.00072066+0.00061339i,-0.00053802+0.00053923i,-1.7122e-05-0.00038384i,-5.1017e-05-0.00066056i,-0.00052655-0.00081791i,-0.00058573-0.00076232i,-0.00068311-0.00037472i,-0.00095735-0.000615i,-0.00049506-0.00044433i,-0.00034939+0.00026737i,-0.00040376+0.00061659i,-0.00047805+0.00055777i,1.6866e-05+0.00078267i,4.1313e-05+0.00017638i,-0.00017781-0.00067425i,0.00056031-1.4332e-05i,0.0003529+0.0002934i,0.00020009-0.00017299i
-0.00046617+0.0013388i,-0.0010903+0.00053504i,-0.00097409+0.00093465i,0.00063782+0.00078869i,0.0014557+0.0008096i,0.00084835-0.00015485i,0.00024863-0.0012849i,0.00022166-0.00044599i,0.00076793+0.00052395i,0.00049713+0.00030132i,-0.00050066+6.211e-06i,-0.00058367+0.00057671i,-8.8045e-05+0.00013171i,0.00051384-0.0012512i,0.00062275-0.0013955i,0.00024579-1.8315e-06i,-0.00061636+0.000688i,-0.00064584+0.00053184i,5.3513e-05+0.00096491i,0.00045417+0.00073952i,8.4531e-05+0.0004014i,-0.00091315+0.00055463i,-0.00092735+0.0002087i
6.627e-05+0.00034052i,0.0010238-0.00071606i,0.00051431-0.0011121i,-0.00037-0.00076146i,0.00025054-7.3441e-05i,0.0013923-6.9589e-05i,0.00088936+0.00032315i,0.00077241+0.0012075i,0.00056759+0.0009046i,-0.00013522-0.00077367i,9.6997e-05-0.0014021i,0.0004351-0.00082267i,0.00019289+0.00080046i,-0.0001769+0.00080897i,-0.00063314+0.0003146i,-0.00048252+0.00046022i,9.1449e-05+8.8577e-05i,-0.00034054-0.00064003i,-0.00041111-0.0011399i,0.00034081-0.00014563i,-7.9204e-05-0.00012771i,0.00033108-0.0008417i,0.00057626-0.00038783i
0.00026105-0.00071321i,0.00025468-0.0013424i,-0.00014818-0.00079964i,-0.00032771+0.0011071i,2.5216e-05+0.0015236i,6.9617e-05+0.00052266i,-0.0004084+0.00019405i,-0.00064693+4.9217e-05i,-0.00081783+0.0001775i,-0.00084273+0.00058628i,-0.0011748-6.3754e-05i,-0.0012531-0.00054589i,-0.00078888-0.00047732i,0.00023847+4.7023e-05i,0.00092404+0.00018242i,0.0004661+0.00027692i,0.00013274+0.00027974i,0.00075639-0.00018599i,0.0010167+7.5049e-05i,0.00022938+0.00010098i,0.00014878-0.00038265i,-0.00035369-0.00042841i,-0.0010328+8.6134e-05i
-0.0011368+0.001793i,-0.0001221+0.0011025i,9.4842e-05+0.0019577i,0.00020135+0.0019443i,0.0015081+0.0010215i,0.0018271-8.5836e-05i,0.0004512-0.00074286i,-0.0001144-0.00034585i,0.00018297-0.00065322i,3.4301e-05-0.00084042i,7.5305e-05-0.00052337i,0.00018956-0.00028038i,0.00010354-0.00014847i,0.00015576+7.3595e-05i,0.00020779+0.00047256i,0.0005977+0.00049741i,0.0012433+0.00032624i,0.00075353+0.00035682i,8.4683e-05+0.00076099i,-0.00044067+0.0010051i,-0.0004002+0.00049455i,-0.00021761-6.1103e-05i,-0.00032416-0.00033424i
-0.00066807-0.00037115i,-0.0010439-0.00072888i,-0.00078643-0.00028618i,0.00033151+0.0003764i,0.0010501+0.00023051i,0.0011078+0.00020759i,0.00017394-0.00020585i,-0.0003728-0.00070359i,-0.00044021-0.00089611i,-0.00084863-0.00039108i,-0.00040098+0.00031783i,0.00038068+0.00039864i,0.00021247-0.00011518i,-0.0008472-0.00048387i,-0.00075849-0.00043941i,0.00019285+7.4941e-06i,0.00030947-6.5365e-05i,0.0002056-0.00046499i,-0.00043832-0.00025296i,-0.00040919-0.00029979i,-2.5106e-05-0.00057137i,0.00015219-0.00087359i,0.00020067-0.00069313i
-0.00091495+0.00023764i,-0.0012763-0.00049211i,-0.00017899-0.0010181i,5.1376e-05-9.5555e-05i,-0.00012476+0.00031373i,-0.00015069-0.0002609i,-0.00064311-0.0015812i,-0.00035901-0.001446i,0.00069954-0.00036356i,0.001016-0.00010062i,0.0014605+0.00041117i,0.0013404+0.00071401i,0.00036247+4.7315e-05i,-0.00021857-0.0008746i,-0.00010501-0.00083659i,5.5103e-05-0.00027793i,8.5313e-05-0.00020973i,-0.00037503-0.00022782i,-0.000183-0.00024703i,0.00050072-0.00029216i,0.00081126-3.6954e-05i,0.00089551+0.00013858i,0.0007427-6.0239e-05i
0.0010436-0.00092634i,0.0011152-0.0003679i,0.0012973-0.00040135i,0.0017301-0.00061314i,0.0015244+0.00033303i,0.0012727+0.00087268i,0.00043999-0.00017598i,-7.8615e-06-0.00082335i,0.0004423-0.00053878i,0.00076882-0.00014143i,-0.00013088+0.00028205i,-0.00067018+0.00011699i,0.0004263+0.00022392i,0.001044+0.00065652i,0.00063659+0.0010745i,0.00026155+0.00051338i,0.00029423+9.9179e-05i,0.00060368+6.2067e-05i,0.00016978+0.00026335i,0.0003484+0.00013349i,0.00077345-7.2165e-05i,0.00016963+0.00013742i,1.009e-05+0.0002783i
-0.0018271+0.00078006i,-0.0013369-3.9769e-05i,0.00020873+0.0002434i,0.0018574+0.00062102i,0.0021842-0.00034032i,0.00098038-0.00058628i,0.00015577-0.00095399i,-0.00024438-0.0014471i,0.00020031-0.00040103i,0.00077568+0.00077726i,0.00031738+0.00063625i,7.5747e-05-0.00041926i,0.0002752-0.0013472i,0.00014282-0.0011423i,-0.00019893-0.00078507i,-0.00011655-0.00054467i,-1.9031e-05-0.0005089i,-0.00029539+0.000317i,-0.0002187+0.00065411i,0.0001114+6.1845e-05i,0.0002108-8.3933e-06i,-7.6799e-05+0.0001264i,-0.00041569-0.00031974i
-0.00077742+0.0016087i,-0.00075454+0.00099439i,-0.0011335+0.0011654i,-0.0011217+0.0012705i,-0.00077374+0.0011091i,-0.00049025+0.00072257i,-0.00014077-0.00061617i,-0.0003135-0.0012465i,-0.0006946-0.00061043i,-0.00029509+0.00028321i,0.00012811-0.00036333i,0.00027356-0.00077033i,-0.00057982-1.3542e-05i,-0.001191+0.00048667i,-0.0004145+0.00060456i,-9.2672e-05-0.00015335i,-7.7881e-05-0.00039627i,0.00041476+0.00099443i,0.00032125+0.0012675i,0.00033462+0.00030693i,0.00067672-0.00029251i,0.001354-0.00049563i,0.0011707-0.00083102i
0.0011649-0.00079424i,0.00093664-0.0013684i,0.00084875-0.0015865i,0.00099126-0.0017075i,0.00055316-0.0014083i,1.3854e-05-0.00060641i,-0.00029471-0.00016247i,-0.00044269-0.00030249i,-0.00044021-0.00084988i,3.4358e-05-0.0015355i,0.00033447-0.0011881i,-0.00021266+0.0005284i,-0.00028876+0.00093747i,-0.0001459+0.00073294i,-0.000213+0.00046509i,-0.00043679+0.00019655i,-8.9779e-05+0.00014772i,-0.00014799-8.0072e-05i,-0.0005449-0.00030214i,-0.00013616+0.00015665i,0.00042819+0.00058505i,0.00027409-0.0004043i,0.00035007-0.0012739i
0.00066696-0.0010658i,-0.00027178+6.5475e-05i,-0.00095057+0.00027467i,-0.00079261+1.7932e-05i,-0.00082814+0.00051705i,-0.00020016+0.00038953i,0.0006514+4.3805e-05i,0.00063118-0.00045112i,0.00076853-2.7314e-05i,0.00087124+0.00077671i,0.00034665+0.00057306i,0.00026694+0.00041633i,0.00017143+0.00039962i,-0.00016017+0.00030381i,-0.00016524+0.00020781i,-0.0002867-0.00042374i,-0.00051074-0.00084602i,-0.00038053-9.8054e-05i,9.7154e-06+0.0002023i,0.00074802-5.4317e-05i,0.00093095+5.265e-05i,-1.7385e-06+6.5758e-05i,-0.0009769-0.00019165i
2.5801e-05+0.0010071i,5.9262e-05-0.00052828i,-0.0010804-0.0011947i,-0.00089254-0.00028145i,0.00039849-0.00045233i,0.00132-0.0011326i,0.0011938-0.00087858i,0.00064647-0.00086857i,0.00034902-0.00046111i,-1.8217e-05+0.00022312i,-0.00072997-0.00014494i,-0.00062596-0.00054352i,-0.00014689-0.00059563i,3.9509e-05-0.00033174i,-0.00038526-0.00039375i,-0.00014559-0.00028937i,0.00043066-0.00010911i,0.00032849-2.4635e-05i,-0.00055135-0.00034958i,-0.0011864+0.00016408i,-0.00046522+0.00052695i,0.0003449-0.00031305i,0.00019003-0.00054756i
0.0010936-0.00079559i,-0.00017905-0.0011607i,-0.00085446-0.0012021i,-0.00022182-0.0012117i,0.00078886-0.00138i,0.00074609-0.0016821i,-0.00027694-0.0015795i,-0.00040712-0.001191i,0.0001029-0.0007287i,-0.00011343-0.00038059i,-0.00027906-0.00020097i,9.6664e-05+1.0038e-05i,1.9873e-05-0.000239i,-0.00020963-2.1021e-05i,-3.2762e-05+0.00032943i,0.00064446+0.00014967i,0.00063724+0.00034296i,0.00026781+0.00074635i,0.00057236+0.0010419i,2.1209e-05+0.00082536i,-0.00056575-0.00011256i,0.00028145-0.00074732i,0.00063163-0.00048793i
0.0011559-0.0020077i,0.0018167-0.00028495i,0.00056934+0.0003477i,-0.0013213+0.00047825i,-0.001094+0.00059262i,-0.00074294+9.3046e-05i,-0.00086271-0.00053027i,-0.00012552-0.00031017i,-0.0004281+0.00018492i,-0.00085434+0.00026452i,-0.00050402+0.00026744i,-0.00078249+0.00035987i,-0.00051523+9.8531e-05i,0.0001001-8.4206e-05i,0.00065016+0.00068497i,0.00080307+0.00062789i,0.00050177-0.00024115i,-0.00019295-0.00030853i,-0.00031457-0.00015018i,9.6142e-05-6.806e-05i,0.00037863+0.00067505i,-3.764e-05+0.0014152i,0.00022928+0.001258i
-0.00035778-3.4912e-05i,-0.0013271-0.00020024i,-0.00098214-1.6167e-05i,2.4157e-06-0.00067403i,0.00058655-0.0011299i,0.00046881-0.00039873i,0.0010784-0.0001181i,0.0013498+0.00036095i,0.0010471+0.0010095i,0.00077065+0.00048742i,5.5664e-05-0.00035984i,-2.5331e-05-0.00014979i,-5.3007e-05+0.00031671i,1.4206e-05+3.1051e-05i,-3.071e-06-0.00031624i,-0.00053541+3.3699e-05i,-0.0008649+4.4731e-05i,-0.0010408-0.00036218i,-0.00087949-0.00047874i,-0.00061861-0.00036618i,-0.00064256-0.00040318i,-0.00057651-0.00069588i,0.00038849-0.00093853i
-0.0015385+0.0013824i,-0.0012023+0.0023222i,-0.0019705+0.0024461i,-0.0012039+0.0026621i,0.00062113+0.0020632i,0.00098028+2.757e-05i,0.0002786-0.00051488i,0.00066426-0.00066315i,0.0012976-0.00057416i,0.0006453+0.00014654i,-5.5988e-05-7.4953e-06i,-3.1843e-05-8.8608e-05i,-6.8028e-05+0.00022653i,-0.00026159+6.1293e-05i,-4.7658e-05-0.00031371i,-0.00025281-0.00012289i,-0.00055547-4.6153e-05i,-0.00064177-0.00043747i,-0.00013192-0.00073622i,0.00046348-0.00060152i,0.00039321-0.00036817i,-7.967e-05-0.00022597i,-0.0001485-0.00016243i
0.0008827-0.0018969i,-6.8617e-05-0.0019146i,-0.00048717-0.0018233i,-0.00065312-0.00074179i,-0.0011284+7.042e-05i,-0.00041341+0.00063345i,7.5647e-05+0.00068391i,0.00041218+0.00028506i,0.00010276-0.00064214i,-0.00073475-0.00076671i,-0.00067616-0.00058735i,-0.00054629-0.0011896i,-0.00020795-0.001139i,0.00031895-0.00091227i,0.00033091-0.00064319i,7.3445e-05-0.00010076i,0.00048595-0.00021572i,0.00038587-0.00049252i,0.00025694-0.00050627i,0.00049397+0.00015576i,4.1761e-05+0.00033344i,-0.00028091-0.00043968i,-0.00054352-0.00031913i
