4.8959e-05+0.00026527i,0.0007531+0.00029365i,0.0012661-0.0016616i,0.00032025-0.0025453i,-0.00098519-0.0011758i,-0.0015356+0.00035719i,-0.00082552+0.001485i,0.00013222+0.0017782i,0.0007166+0.00086682i,0.00084792-0.0001044i,0.0005007+7.763e-05i,-5.7324e-05+0.00076927i,3.9986e-05+0.00069091i,-8.7086e-05+0.00053741i,-0.00067639+0.00034958i,-0.0010793+0.00012997i,-0.00093049-6.4812e-05i,-0.00046141-2.3962e-05i,0.00024308-3.7937e-05i,0.00018521+0.00012864i,0.00021816+0.00035384i,0.00040761+0.00024691i,3.7831e-05+0.00034475i
-0.00039512+0.0011542i,0.00027262+9.2252e-05i,-1.4171e-05-0.00045676i,0.00012428+0.00050661i,0.00071145+0.00095674i,0.00056297+0.0013804i,-0.00043276+0.0012395i,-0.00097093+5.3613e-05i,-0.00042366-5.463e-05i,1.3555e-05-0.00018787i,0.00047409-0.00060996i,0.00063769+0.00073136i,-2.9694e-05+0.0011249i,-0.00051608-0.0003909i,-0.0005687-0.00084546i,-0.00037892-0.00043898i,-0.00052715-0.00063599i,-0.00083698-0.00041903i,-0.00050335-0.00023448i,8.2625e-05-0.00078129i,0.00043121-0.00038199i,0.0003192+1.6138e-06i,0.0001779-0.00031818i
0.00057231+0.00091584i,0.0012367+0.0010829i,0.0013216+0.00016013i,-0.00067835-0.00025989i,-0.0013325+0.00056029i,-0.0010197+0.0016117i,-0.0011826+0.0012351i,-0.00053751+0.00089715i,-0.00066799+0.00060401i,-0.00048639-0.00015056i,-6.3421e-05-0.0004807i,-0.00058738-8.0108e-05i,-9.7853e-05-4.1007e-05i,0.00036156-0.00080645i,0.00011907-0.00080369i,-0.00022515+0.00010105i,-0.00087166+0.00059775i,-0.00096192-7.7877e-06i,-0.00057724-0.00032026i,9.7301e-05+0.00019114i,0.00051134+2.8235e-05i,4.8522e-05-0.00029109i,-0.00034852-0.00068524i
-0.0002068-0.00014528i,0.00029871+0.00033535i,-0.00014626+0.001022i,-0.00064221+0.0011755i,-0.00090988+0.00097786i,-0.00078782+0.00098143i,-0.00014925+0.0018981i,0.00044342+0.0014644i,0.00032207+0.00024665i,-0.00034121+0.0001343i,-0.00019498+0.00055928i,0.00063782+0.0007036i,0.0013045+0.00016923i,0.001479-0.00017174i,0.0006309-0.00061245i,0.00015193-0.00018006i,9.6201e-05+0.00023347i,0.0001123-0.00011053i,0.00032219-0.00067407i,0.00058609-0.00072993i,0.00052163+0.0001139i,0.00034414+0.00025508i,7.7365e-05+1.5657e-05i
0.00089738-4.7928e-05i,0.00013298-0.00028758i,0.00070688-0.00084394i,0.0011018-0.00096113i,0.0004189-0.00070103i,-0.00051176+2.4959e-05i,0.00011919+0.00081461i,0.00042936+0.00092846i,0.00010543+0.00090761i,7.3237e-05+0.00058813i,-0.00048022+0.00030637i,-0.00017887-0.00032724i,0.00018703-0.00052952i,0.00019818-0.00056893i,0.00039569-0.00062631i,0.00010079-0.00071695i,-0.00011778-0.00064453i,0.00043243-0.00018214i,0.00070711+0.00043158i,0.00065558+0.00068838i,0.00038645+0.00048457i,-3.5085e-05+0.00045957i,8.9214e-06+3.4251e-05i
-0.0010766+4.6258e-05i,-0.00047462+0.00027157i,0.00083532+0.00023733i,0.00064294+0.00018213i,-0.0008537+0.00082975i,-0.0021203+0.0012301i,-0.0019088+0.0011025i,-0.00095036+0.00079598i,-0.00050804+0.00017085i,-9.8399e-05+0.0002969i,4.2073e-06+0.00057454i,-0.0006855+0.00057679i,-0.00063729+0.00056381i,-0.00021785+0.00035061i,-0.00028881-0.00069663i,5.9352e-05-0.0012302i,0.00059938-0.00075393i,0.00037995-0.00056174i,0.00048836-0.000496i,0.00087763+0.00010612i,0.0010874-0.00025561i,0.0010496-0.00046553i,0.00026332+0.00026406i
-0.00075075-0.00016414i,-0.00018325-0.00015431i,0.00038649+0.00061432i,0.00020334+0.00041722i,-0.00046668+0.00043468i,-0.00066904+0.0009791i,-0.00068938+0.00064033i,-0.00076704+0.0002703i,-0.00078251+0.00048106i,0.00020584+0.0010309i,0.00081725+0.0011772i,0.00034046+0.00045466i,-0.00022333+0.00079044i,-0.00088565+0.00069768i,-0.00057123-0.00033449i,4.4874e-05-0.00027978i,-0.00025093+9.8467e-05i,-0.00063356+0.00024871i,-0.00044274+9.8228e-05i,-2.3136e-05+0.00024052i,-0.00051415+0.00046487i,-0.00053149+0.00029921i,-0.00021637+0.00019821i
-0.00014442-0.0014237i,-0.00022413-0.0014081i,-0.00017289-0.00090413i,0.00022807-6.9286e-05i,-0.00018875-0.00021407i,-0.00082176-0.00030732i,-0.00048049+0.00052164i,-0.00014179+0.0008958i,-0.00019257+0.00097709i,0.00028771+0.00039078i,0.0010513-0.00048633i,0.000713-0.00077603i,0.00037037-0.00036284i,-1.9883e-05-0.00014847i,-0.00061095-0.00025521i,-0.00077016-0.00034295i,-0.00032648-0.00074198i,0.00054781-0.0011045i,0.00032676-0.00065449i,-0.00054174+3.639e-05i,-0.00050356+0.00054107i,0.00034205+0.00092881i,0.00091328+2.3621e-05i
0.0011596+0.0012148i,0.0014021+0.0011421i,0.0018293+0.00066809i,0.00080686+0.0010372i,-0.00058274+0.0012372i,-0.00033689+0.00080026i,-7.389e-05+0.00072483i,-0.00024819+0.00027321i,-0.0006332+0.00015015i,-0.0001166+0.0004528i,1.4327e-05+0.00015141i,-0.00055568-0.00030488i,-0.00054529-0.00026878i,-0.00061687-0.00034846i,-8.7192e-05-0.00046993i,0.00061138-8.7378e-05i,0.00085364+0.00030074i,0.00097763+0.00035535i,0.00049326+0.00013144i,-0.0004105+0.00044774i,-0.00017529+0.000341i,0.00052114-0.00051654i,0.001113-0.0011612i
-0.00095088-5.2034e-05i,-0.00068318+0.00032343i,-0.0011662-0.00011357i,-0.0010375+0.0011666i,-0.00026136+0.0020448i,0.0002191+0.0021145i,-7.7416e-05+0.0013671i,-0.00035054+4.4206e-05i,-0.00085531-0.00023039i,-0.0013311-5.1293e-05i,-0.00055826+0.00011053i,2.3596e-05+0.00025961i,0.00060211-0.00019944i,0.00047131+0.00029059i,-0.00022276+0.00036994i,-0.00018175-0.00093642i,-0.00056048-0.0011071i,-0.00076611-0.00038757i,-0.00050109-0.00023296i,0.00019229+2.4471e-05i,0.00043621+0.00075666i,-0.00013067+0.00077436i,-0.00043337-0.00032783i
-0.00066362+0.0010647i,0.00051564+0.00033554i,0.0012389-0.00014753i,0.00086899-0.0013821i,5.7877e-05-0.0015952i,-0.0001694-0.00053564i,-0.00097872-9.2444e-05i,-0.0014996-0.00070279i,-0.0008274-0.00047766i,-0.00065043+1.3053e-05i,-0.0003553+0.00056081i,1.5981e-05+0.00063021i,0.00011616-0.0003241i,0.0005023-0.00056215i,0.00033105-0.00042961i,-0.0006861-0.00034393i,-0.00084932-0.00040692i,-0.0012435-0.00040338i,-0.0010026-0.00058213i,-0.00018642-0.00072404i,0.00012208+9.3612e-05i,-0.00036833+0.00080244i,-0.0003368+0.00057276i
-0.00089588-0.00012478i,-0.00066022+0.0010047i,-0.00046436+0.0014135i,-0.00054968+0.00078107i,-0.00051912+0.00039952i,-0.0006212-0.00024769i,-0.00066271-0.00042641i,-0.00048647+0.00016997i,-0.00060122+0.00040538i,-0.00040789+0.00038891i,-0.00017248+8.6189e-05i,1.2965e-05-0.00015578i,0.00045903+0.00082909i,0.00020186+0.0010257i,0.00028526+7.3428e-05i,0.00086757-0.00015218i,0.00051991-0.00030238i,-0.00028343-0.00036433i,-0.00017814-0.00060967i,-0.00032968-0.00073255i,-0.00040545-0.00069201i,0.00051097+3.2269e-05i,0.00028213+0.00026944i
-0.0013756+0.00044423i,-0.00061921+0.00094624i,-0.00082942+0.0024466i,-0.0014081+0.0027933i,-0.00094423+0.001923i,-0.0004254+0.0018281i,-0.00070035+0.0015264i,-0.0007787+0.00078351i,-0.00094214+0.00035485i,-0.00044833-0.00014235i,-0.00045215-7.4657e-05i,-0.00088968+0.00012102i,-0.0012768+0.00014198i,-0.00080123+3.8508e-05i,-0.00068047-0.0003334i,-0.00071739-0.00072287i,0.00023389-0.00079858i,0.00035382-0.00088845i,-0.00050175-0.00087276i,-1.1423e-05-2.9483e-05i,0.00012878+0.00024705i,8.7638e-05+0.00015168i,1.8293e-05+0.00011987i
0.00027594-0.00046339i,-0.00029511-0.0011456i,-0.00012123-0.00124i,3.517e-05-0.002214i,-0.00012083-0.0015856i,-0.0010819-0.00066883i,-0.0016365+0.00026964i,-0.0013785+0.0010713i,-0.00033371+0.00015869i,0.00044546-0.00084908i,0.00010724-0.0011358i,-0.0001875-0.0012242i,0.00017536-0.00087215i,3.0735e-05-0.00074168i,0.00014853-0.00073579i,0.00019264-0.0001071i,1.9467e-06+0.000217i,0.00017617-0.000367i,5.3715e-05-0.00066348i,-0.00015747+0.00011738i,-0.0001444+0.00044271i,9.3319e-05+0.00014823i,4.1982e-05-0.00027436i
0.0010961+0.00015878i,0.0017734-0.00020201i,0.0012966+0.00037602i,0.00017644+0.00071496i,-0.00026556+0.0010933i,6.0258e-05+0.0013566i,0.00017752+0.00099475i,-0.00026162+0.00052032i,-0.00071028-0.00014655i,-0.00042492-9.7451e-05i,0.00022153+0.00011847i,-0.0002596-0.00061272i,-0.00078275-0.00050455i,8.2478e-05-0.00023497i,0.00032114-0.00083065i,-0.00042307-0.0011867i,-0.00061356-0.00040815i,-0.00066427-9.0022e-05i,-0.00047934-0.00040613i,-0.00023362+0.00048029i,0.00048865+0.001274i,0.0005597+0.001078i,8.439e-06+0.00060867i
0.00015887-0.00053875i,0.00076473+6.3903e-05i,0.00026177+0.00061937i,-0.0012661+0.0013525i,-0.0017537+0.0016265i,-0.0012867+0.00079208i,-0.00097872+0.00018437i,-0.00038665-0.00025997i,-0.00013675-0.00092538i,0.00023043-0.00050071i,0.00044294-0.00027416i,-4.3913e-05-0.00051125i,-0.00017182-0.00038664i,0.00017074-0.00029803i,0.00048668-0.00067016i,2.4626e-05-0.00029931i,-0.00056888-0.00010412i,-0.00056009+0.00034751i,0.00019823+0.0010013i,0.00055608+0.00078538i,0.00036573+2.8237e-05i,-0.00032025-0.00026177i,-0.00082487-0.00037455i
-0.00049834-0.00023286i,0.00066303-0.00034335i,0.00040472+0.00027715i,5.7469e-05+0.00097281i,0.00011297+0.0012402i,9.8384e-05+0.0015255i,-0.00048709+0.0016598i,-0.0010774+0.0012155i,-0.00091237+0.0014308i,-0.00078976+0.0010881i,-0.00038901+0.00016956i,-0.00031947-0.00061122i,0.00029574-0.00091949i,0.00080563-0.00048331i,-2.803e-05+3.405e-05i,-0.00084311-7.7171e-05i,-0.00067405-0.00059729i,4.2386e-05-0.00043031i,0.00038851-4.9717e-06i,4.7829e-05+7.9386e-05i,-1.1257e-05+0.00034021i,9.0373e-05+0.00029701i,0.00039222-0.00015238i
0.0012407-0.00050743i,-0.00064904-0.00063685i,-0.0010976-0.0015144i,-0.00040388-0.00099478i,-0.00034127+0.00015147i,-0.00050375+0.00071113i,-0.00044941+0.00069088i,-0.00017396+0.00033969i,-0.0003586+1.2695e-05i,-0.00064795+0.00016405i,-0.00015634+0.00072098i,-9.6294e-05-0.00020476i,0.00022478-0.00046829i,0.00049544-0.00020605i,-5.4903e-05-0.00035257i,0.00027293-0.0002997i,0.00090012-0.00044307i,0.000382-0.00047665i,-9.5567e-05-6.5e-05i,0.00036558-0.00051968i,0.00081321-0.00062361i,0.00028607-0.00018328i,0.0004131-5.391e-05i
0.00023373-0.0015378i,0.00013222-0.00030699i,-0.00092027+0.0006681i,-0.001937+0.0011257i,-0.0021702+0.0020023i,-0.001087+0.0024835i,-0.00013422+0.0013724i,-0.00057258+0.00075737i,-0.00053335+0.00081607i,-0.00053935+0.00082451i,-0.00015608+0.00027541i,-3.1305e-05-0.00052834i,-0.00011141-0.00056683i,1.1906e-05-0.00069571i,-0.00028022-0.0012343i,7.4491e-05-0.00096186i,0.00048228-5.6638e-05i,0.000521-0.00044706i,0.00037672+0.00010999i,-0.00029174+0.0009491i,-0.00015692+0.00026069i,0.00097401-0.0003327i,0.00050622-0.00035444i
5.441e-05-0.00050894i,0.00050808+1.1227e-05i,0.0017618+9.9215e-05i,0.0018449-0.00020954i,0.0009192+0.0003872i,0.00023565+0.00058945i,0.00016488+5.2601e-05i,-0.00026862+0.00016738i,-0.00070285+0.00025115i,-0.00047332+0.00042124i,-0.00047895+0.00057828i,6.7866e-05+0.00070475i,0.0010824+0.00023333i,0.00058224-0.00039929i,-5.1651e-05-0.0003412i,0.00053664-0.00066633i,0.0012498-0.000989i,0.0010558-0.00072206i,0.00024171-0.0001684i,0.00043561+9.3693e-05i,-0.00011669-0.00059239i,-0.00084002-0.0010117i,-0.00035804-0.00012571i
-0.00020907+0.00075073i,-0.00099297+0.000533i,-0.0011279+0.00013582i,-0.00091491+0.00029522i,-0.0010132+0.00079489i,-0.0013264+0.00081485i,-0.0013119+0.00089398i,-0.0012315+0.0010164i,-0.00070531+0.00039904i,-9.0759e-05+0.00020629i,0.00064071+0.00049129i,0.0004245-0.00011672i,-0.0006559-0.00078507i,-6.3119e-05-0.00082424i,0.00021833-0.00035181i,-0.00040981-0.00035779i,-0.00041214-0.00068132i,-0.001067-0.00050353i,-0.0008086+0.00017027i,-8.7058e-06+0.00034872i,-0.00011352-5.5399e-05i,-0.00019262+0.00083304i,0.00057279+0.00097292i
0.00088708+0.00012427i,0.00083033-0.00013399i,-0.0005294+9.0067e-05i,-0.00052135+0.00022336i,-0.00049229+0.0002118i,-0.00034527+0.0003801i,-0.00073602+0.00010602i,-0.0011984+0.00027048i,-0.00077372+0.00012229i,-0.0004683-0.00021125i,-0.00025915-0.00030269i,7.7805e-05-0.00041158i,0.00026391-0.00089154i,0.00021847-0.00063492i,0.00032886+0.00011498i,0.00020911-3.3891e-05i,0.00052694-0.0004768i,0.00080828-0.00055342i,0.00015793+0.00011098i,0.00054691-0.000391i,0.00044115-0.00081804i,0.00016518-9.6548e-05i,0.0010478+0.00055407i
-3.4395e-05+0.0010537i,0.00014228+0.00029947i,0.00063338-0.000866i,0.00084066-0.00029422i,0.00014795+0.00034949i,-0.0012563+0.0014093i,-0.0015218+0.0015275i,-0.00070738+0.00051489i,-0.00013002-0.00068108i,-0.00022997-0.00063088i,-0.00025284-0.00049378i,-0.00024915-0.00036731i,-0.00011787+0.00020361i,-8.4323e-05+0.00055882i,-2.2991e-05+0.00029402i,0.00041712+8.5651e-05i,0.00044245+2.8617e-05i,-0.00028046+0.00020171i,-0.0008443+0.0001383i,-0.00018834+0.00011635i,0.00014677-8.9754e-05i,-6.0556e-06-0.00017337i,-7.5095e-06+0.00033754i
-0.00078529+0.0011778i,-0.0013613+0.0010439i,-0.0014528+0.00051795i,-0.0011011+0.00078227i,-0.00044206+0.0013899i,-0.00016101+0.0020792i,0.00026575+0.0015377i,0.00025958+0.00018033i,-0.00043958+3.3177e-05i,-0.00073551+0.00050876i,2.1433e-07+0.00018475i,0.00039712-0.00027457i,0.00040991-0.00041794i,0.00071014-5.0259e-05i,0.00038948-0.00021725i,-0.00050674-0.0010029i,-0.00050856-0.0011248i,0.00015762-0.00040599i,0.00019267+1.8945e-05i,-0.00022097+6.4959e-06i,0.00040659+0.00079048i,0.0010851+0.00095287i,0.00013507+0.00034714i
0.00030594+0.00055571i,0.00017452+0.00070229i,-0.00012598+0.00092484i,-0.00089544+0.0011669i,-0.0019157+0.0011694i,-0.0019855+0.00013261i,-0.001349+1.27e-05i,-0.00074868+0.00036973i,-0.00026981+8.6691e-05i,-0.00044515+0.00045706i,4.0809e-05+0.00039618i,-0.00024026-0.00010568i,-0.0005291+0.00016074i,-0.00032605-0.00025324i,-0.00026061-0.00068048i,8.1515e-05+0.00010975i,-1.5582e-05+0.00019895i,-0.00027686-0.00038624i,-0.00032489-0.00050473i,0.00040761-0.00055199i,0.00088224+1.5953e-05i,0.00075686+0.00021481i,0.00059089+0.00055949i
-0.00083216+0.00044687i,-0.00083026-0.00018592i,-0.00039897-0.00087968i,-6.9069e-05-0.00068897i,-0.00081108-0.00031508i,-0.00094714-6.3763e-05i,-0.00021093+0.00030738i,-0.0006779+0.00076988i,-0.0008259+0.00026684i,-0.00030101+0.0003231i,-0.00032411+0.00029364i,2.9631e-05+0.00032208i,0.00068665+0.00043967i,0.00077747+0.00022444i,0.00012119+2.5602e-05i,-0.00052889-9.5753e-05i,-0.00078876+4.4143e-05i,-0.00052686-7.5627e-05i,-0.00038414-5.1942e-05i,-0.0002261-0.00049163i,-0.00021859-0.00044831i,0.00054149+0.00047448i,0.0010668+0.00054691i
-7.3996e-05+0.00079835i,-8.1676e-05+0.00091297i,6.8186e-05-0.00022364i,-0.00054338-7.6384e-05i,-0.0011843+0.00030579i,-0.0013493+0.00047416i,-0.0012383+0.0006749i,-0.0014944+0.00072937i,-0.001332+0.00089798i,0.00020576+0.00088387i,0.00075933+0.0011536i,9.722e-05+0.00031155i,-0.00028657-0.00051265i,-0.00014781-8.9421e-05i,0.00026514+0.00030509i,-0.00034196-0.00016941i,-0.00065625-0.00078488i,-0.00045583-0.0011195i,-0.00051802-0.0013504i,-0.00033214+0.00011741i,0.00016819+0.00073425i,-1.3927e-05+0.00024231i,-0.00021233+0.00077506i
-0.00044665+0.00054929i,-0.00052595+0.0007728i,-0.0007854+0.00021416i,-0.0016993-0.00019023i,-0.0024764-0.00010331i,-0.0022803+0.00076221i,-0.0011516+0.00099374i,-0.0006788+0.00014447i,-0.00038775-0.00072595i,0.00042181-0.00010442i,0.00073749+0.0006815i,0.00028903-7.9324e-05i,-7.6811e-05-0.00072225i,0.00066955-0.00017942i,0.00075019-1.1345e-05i,-7.2512e-05-0.00037992i,-0.00067177-0.00020114i,-0.00088189-2.085e-05i,-0.00080777-0.00041572i,-0.00032465-0.00018196i,-0.00047338+0.00025041i,-0.00040772-1.788e-05i,4.1519e-05-0.00047878i
0.0014771-0.00041761i,0.0018229+4.1952e-05i,0.002728-0.00098484i,0.0026824-0.00074123i,0.0010011+0.00091779i,-0.0011576+0.0016041i,-0.0013552+0.00098932i,-0.00048544+0.00081636i,-0.00044973+0.00038869i,-0.0011211+4.0526e-05i,-0.00078001+0.00022449i,0.00064296+2.1301e-05i,0.0010743+0.00021338i,0.00047843+0.0010639i,-8.8924e-05+0.0010257i,0.00051774+0.00048876i,0.00055461+0.00029569i,-7.219e-05-0.00013754i,0.00046544-0.00017428i,-1.725e-06+0.00031973i,-0.00043848+2.7465e-05i,0.00058224+1.6441e-06i,0.001182+0.00054624i
-0.0010277-6.8599e-05i,-0.0011419+0.00038001i,-0.00036056+0.00045556i,-0.00065387+0.00089943i,-0.0011075+0.0014675i,-0.00027128+0.0015595i,-0.00014923+0.0013037i,-0.00082865+0.0012132i,-0.00086153+0.00092107i,-0.00086278+0.00015804i,-0.0007387-0.00047294i,-0.00069378-0.00079906i,-0.00027428-0.00024595i,-0.00024817+0.00054248i,-0.00059295+0.00080923i,-0.00028725+0.00082971i,-9.3028e-05+0.00030689i,-0.00043835-0.00026695i,-0.00082757-0.0004922i,-0.00054939-3.2901e-05i,-0.00066448+6.079e-05i,-5.5182e-05-0.00057929i,0.00024497-0.00041437i
0.00090504+0.00010315i,-3.0478e-05-0.00097941i,0.00028628-0.0010547i,0.00051256-0.00090841i,-0.0006313-0.00074804i,-0.0021555+6.7335e-05i,-0.001982+0.0014885i,-0.0015164+0.001512i,-0.00052784+0.00071991i,-0.00017759+0.00020386i,-8.4011e-05-0.00020564i,0.00024039+0.00030705i,0.00028396-8.3736e-05i,0.00020694-0.00090814i,0.00048775-0.00086362i,0.00067292-8.2116e-05i,0.00024337-0.00010066i,0.0008442-8.4008e-05i,0.0010738+0.0007542i,0.00011901+0.00071254i,-7.2039e-05+0.00023448i,0.0007395+0.00014539i,0.00085269-0.0002939i
8.5279e-05+0.00043585i,6.0307e-05-0.00026446i,0.00035666+0.0003983i,-0.00017829+0.00085564i,-0.0015617+0.00058232i,-0.0023741+0.0011218i,-0.002359+0.0014736i,-0.0010843+0.001511i,3.4901e-05+0.00069044i,-8.7578e-05+0.00053258i,-0.00035985+0.00027206i,-0.00012359-0.00014342i,6.4565e-05+0.00026947i,-0.00046865+0.00067113i,-0.00075005+0.00050713i,-0.00070773+0.00018575i,-0.00026371+1.5951e-05i,0.00057658-0.00033564i,0.00038355-0.00018628i,0.00031743+0.00023613i,0.00063367+0.00054375i,0.00045045+0.00092909i,-6.2381e-05+0.00097165i
