-0.001774+0.0011397i,-0.0018208+0.0016221i,-0.00050787+0.0023201i,0.0013627+0.0022319i,0.0024302+0.00096556i,0.0015502+9.7658e-05i,0.00042682+0.00055373i,0.00063594+0.00043565i,0.0013743-5.9172e-05i,0.0015875-0.00047202i,0.0009019-0.00079246i,-0.00030186-3.8961e-05i,-0.00084173+0.00060423i,-0.00046054+0.00031355i,-0.00027647+6.8561e-05i,-0.00077706-7.1144e-06i,-0.0004342-0.00082871i,0.0003037-0.00073119i,-7.9106e-05+0.00045415i,-0.00026506+0.0006085i,0.00016753+0.00017608i,-0.00023881+0.00043932i,-0.00072244+0.00095519i
-0.0080898-0.0048079i,-0.0063072-0.0039609i,-0.0028666+0.0015551i,-0.0019569+0.0071428i,-0.0029127+0.0086616i,-0.0032339+0.008258i,-0.0016246+0.0066616i,-0.00050756+0.0047273i,-0.001057+0.0036823i,-0.00070912+0.0022734i,0.00030602+0.00062616i,0.0007755-0.00036762i,0.0010227-0.00037579i,0.0004888-0.0003514i,-0.0004624-0.00034245i,-0.00078764+0.00067817i,-0.00015637+0.00083662i,0.00054035+0.00055645i,9.8307e-05+0.00062217i,-4.1407e-05+0.00033272i,0.00043673-1.2588e-05i,0.00090184-0.00060563i,0.00072217-0.00079526i
-0.0010322+0.007507i,-0.0026552+0.0057815i,-0.0003896+0.0025473i,0.0038826+0.0023233i,0.0064897+0.0047068i,0.0073848+0.0047083i,0.0074882+0.0019133i,0.0068171+0.00077584i,0.0058184+0.00076571i,0.0031673-0.00040021i,0.00075877-0.0011957i,0.00037335-0.00057659i,0.00047352+0.00029225i,-2.7938e-05+0.00052131i,0.00057329+0.00057872i,0.0017397+0.0012779i,0.0012206+0.0016076i,0.0012177+0.0013317i,0.0013799+0.00098811i,0.00056072+0.00035699i,0.00010638+0.00017033i,-0.00026198-0.00064602i,-0.00025418-0.00078824i
0.0046872+0.0043381i,0.00026048+0.0062996i,-0.0024583+0.0050043i,5.4438e-05+0.0023663i,0.0033717-0.0017902i,0.0048355-0.0059166i,0.0032193-0.0061489i,0.00239-0.0056295i,0.0018619-0.0054905i,0.00023799-0.0033953i,-0.00074894-0.0011936i,-0.0011446-0.00033178i,-0.0017545+0.000119i,-0.0012991+0.0003637i,0.00088412+0.00057666i,0.002194+0.00041729i,0.0027676-0.00026135i,0.0020848-0.0008325i,0.0004259-0.00084032i,-0.00037925-6.3291e-07i,4.4734e-05-1.0634e-05i,0.00026155-0.00027943i,-0.0005012-0.00021513i
0.0067746-0.0041573i,0.0072377-0.0023383i,0.0033564+0.0021395i,-0.00035463+0.0027001i,-0.0033295-0.001098i,-0.0061132-0.0033449i,-0.0051919-0.0026405i,-0.0032365-0.0029136i,-0.0029732-0.0028267i,-0.0016581-0.0013617i,-0.00029183-0.000927i,-0.00020898-0.0003084i,-0.00028755+0.0015518i,8.4244e-05+0.0019558i,0.00014064+0.00034234i,0.00066939-0.00082381i,0.0010902-0.001863i,0.00098849-0.0020942i,0.00081797-0.00085669i,4.0721e-05+0.000137i,-1.0896e-05+9.2119e-05i,0.00037783-0.00034348i,0.00019301-0.00056134i
-0.0084636-0.0071465i,-0.0067219-0.0062415i,-0.0030491+0.00065182i,-0.0014942+0.0083465i,-0.0017211+0.010704i,-0.0013297+0.0096178i,-0.000217+0.0064356i,-0.00020012+0.002996i,-0.0013448+0.0024713i,-0.0013897+0.0023734i,-0.00026965+0.0015413i,0.00065206+0.0011557i,0.0011633+0.0010325i,0.0012398+0.00039161i,0.0003939-0.00016333i,-0.0011332-0.00046123i,-0.0020777-0.00061036i,-0.0016888-0.00038673i,-0.00077416-9.2799e-05i,0.00047609-0.00043396i,0.00090483-0.0010228i,0.00049419-0.001388i,-0.00026454-0.0014467i
-0.012159+0.0061146i,-0.011212+0.0042511i,-0.00506+0.002695i,0.0023272+0.0045729i,0.0085703+0.0062622i,0.0094633+0.0029429i,0.0068968-0.00062748i,0.0048-0.00038028i,0.0039601+0.001155i,0.0027718+0.0017946i,0.0013932+0.0013748i,0.00094358+0.00053761i,0.00088398-0.00041265i,0.00063584-0.00045245i,0.00036403+0.00096735i,-0.00079078+0.0026514i,-0.0015315+0.0030529i,-0.00051527+0.0015867i,0.00022402+0.00052527i,0.00059093+0.0003694i,0.00053345+0.00070299i,-0.00049817+0.00096841i,-0.0010594+0.00029011i
0.0035+0.0094044i,-0.00070567+0.010926i,-0.0029469+0.0075263i,-0.00022636+0.0029513i,0.0034845-0.0013559i,0.0029528-0.0048254i,0.00048133-0.0051103i,0.0011228-0.0034146i,0.0026394-0.0030931i,0.0027211-0.002601i,0.00239-0.00062584i,0.00069379+0.00053484i,-0.00092276-0.00026714i,-0.00047288-0.00048141i,0.00059099+0.00066386i,0.0014661+0.00079947i,0.002529+0.00055375i,0.0026897+0.00052193i,0.0018751+0.00053877i,0.0011051+0.00035547i,0.0013682+0.00060419i,0.00088687+0.0012606i,-0.00029672+0.00091865i
0.010761-0.0020035i,0.0088112+0.0029431i,0.0014323+0.0067712i,-0.003618+0.005133i,-0.0059256+0.0019216i,-0.0063327+0.00099381i,-0.0044639+0.00069123i,-0.0028864-0.001096i,-0.002277-0.0027216i,-0.001805-0.0026946i,-0.0017394-0.0024496i,-0.0021045-0.0018064i,-0.0020935-0.0002727i,-0.001152+0.00057667i,0.00013654+0.00030206i,0.0013734-0.00065429i,0.0020584-0.0018334i,0.0015958-0.0018495i,0.00064157-0.00050515i,0.00050261-0.00023261i,0.0011121-0.00011145i,0.0013664-0.00016592i,0.00068684-0.00029035i
-0.00053012-0.012425i,0.0019772-0.011216i,0.0024384-0.0028583i,0.0013909+0.0054248i,0.00062963+0.0090327i,0.0016592+0.0082266i,0.002348+0.0054417i,0.00051528+0.0026015i,-0.0022988+0.0014378i,-0.0036149+0.0010313i,-0.002413+0.00092738i,-0.00034719+0.0013362i,0.00085728+0.001981i,0.0011314+0.00084971i,0.00011462-0.0010612i,-0.0015283-0.0018591i,-0.0021658-0.002438i,-0.0017109-0.0018933i,-0.00087105-0.00056057i,0.00025874-0.00035287i,0.00028077-0.0010329i,-0.00048313-0.00092931i,-0.00044327+0.00011617i
-0.012964+0.0019612i,-0.012665-0.0021755i,-0.0052681-0.00011501i,0.0037116+0.0051967i,0.0081685+0.0047995i,0.0076567-0.00048153i,0.0048706-0.0027274i,0.003702-0.00057566i,0.0031972+0.0022901i,0.0015161+0.0032508i,0.00115+0.0028404i,0.0015602+0.0018491i,0.0014334+0.0015143i,0.00089687+0.0008136i,-5.2512e-05+0.00040993i,-0.00090514+0.0013638i,-0.0014392+0.0025677i,-0.0010563+0.0025517i,3.0454e-06+0.001123i,0.00034685+0.00011478i,-0.00021505-0.00032779i,-0.00032139-0.00054261i,0.00010369-0.00059269i
-0.003125+0.017948i,-0.0067243+0.017319i,-0.005669+0.010898i,-0.00056197+0.0041279i,0.0026219-0.0006981i,0.0010101-0.0042806i,-0.00059685-0.0045043i,0.0012342-0.0025046i,0.0034395-0.00091181i,0.0047084-0.00052796i,0.0040508-0.00078859i,0.0018758-0.00093451i,0.00025749-0.0014237i,-0.00041495-0.0017433i,-6.0936e-05-0.00096056i,0.00079559+0.00049103i,0.0014047+0.0014551i,0.0017966+0.0012713i,0.0014997+0.00075517i,0.0010357+0.0003714i,0.00066194+0.00086011i,0.00023869+0.00084738i,0.00090044+0.00027535i
0.011192+0.002755i,0.010577+0.0085851i,0.0037986+0.010083i,-0.0019314+0.0073614i,-0.0021756+0.0046321i,-0.0017999+0.0028085i,-0.0018012+0.0012489i,-0.00095788-0.0012485i,-0.00097865-0.0039265i,-0.00064345-0.0040706i,-0.00045251-0.0024217i,-0.00028982-0.0018862i,-0.0010687-0.00050133i,-0.0014716+0.00047815i,0.00014488+0.00010978i,0.0015347-5.7087e-05i,0.0016388-0.00081789i,0.0016536-0.0013363i,0.0013893-0.0012067i,0.0010842-0.00064273i,0.00086097-0.00065433i,0.0010215-0.00099613i,0.00082521-0.00023981i
0.0060477-0.011889i,0.0075531-0.00875i,0.0061177-0.0006222i,0.0028411+0.0051586i,0.001534+0.0048273i,0.0028117+0.00224i,0.0022143+0.00072109i,8.5055e-05+0.00020703i,-0.0011638-9.9271e-05i,-0.0024323+0.00013156i,-0.0028434+0.00049754i,-0.0029802+0.00029599i,-0.0024157+0.00064249i,-0.001211+0.00069876i,-0.00070293-0.00027068i,-0.0013338-0.0017408i,-0.0014735-0.0020921i,-0.00039726-0.00094242i,0.00039849-0.00058578i,0.00083371-0.00095081i,0.00082612-0.0005491i,8.1046e-05-0.00024205i,-0.00055457-0.0011051i
-0.0095222-0.011443i,-0.0081632-0.013992i,-0.0034059-0.0091707i,-7.5935e-05-0.00090154i,0.0013134+0.00096442i,0.001049-0.0019396i,0.0012693-0.0021138i,0.0020654+0.00032909i,0.0013509+0.0026774i,-3.6648e-05+0.0033823i,-0.00080566+0.002323i,-0.00046438+0.0017796i,0.00015705+0.0017135i,0.00059569+0.00066967i,-0.00022414+0.00048705i,-0.0013779+0.0014475i,-0.0011803+0.0019877i,-0.00056076+0.0018963i,-0.0001999+0.00114i,-0.00040735-0.00047104i,-0.0002579-0.0013963i,-0.0003366-0.00028217i,-0.00095346+0.00064201i
-0.0098602+0.013538i,-0.013789+0.013837i,-0.010653+0.011046i,-0.0026079+0.0079925i,0.0016643+0.004317i,0.00060521+0.0017847i,0.00068841+0.0003931i,0.0024809-0.0012078i,0.003531-0.0015459i,0.0042684-0.0004164i,0.0038048-2.6455e-05i,0.0027332-8.511e-05i,0.0018204-0.00040754i,0.00034271-0.0011151i,-0.00053088-0.00044181i,-0.00059651+0.0012515i,0.00013437+0.0020298i,0.00067996+0.0018007i,0.00033148+0.00062921i,0.00034457-0.0005554i,0.00010562-0.00071325i,-0.00033226-2.473e-05i,-0.00028058+0.00048829i
0.014406+0.013188i,0.0086359+0.014969i,0.0032671+0.010897i,0.00223+0.0051773i,0.0035142+0.0016079i,0.0036183+0.0018623i,0.0027615+0.0018419i,0.0026288-0.00049136i,0.0022765-0.0024164i,0.0017626-0.0035933i,0.0014144-0.0038898i,0.00040209-0.0030507i,-0.00054565-0.0011827i,-0.00080032-9.3601e-05i,-0.00028167+0.0002013i,0.0012271+0.00024162i,0.0023701-0.00038883i,0.0018806-0.00047154i,0.00088762-0.00025317i,0.00064579-0.00059768i,0.00084254-0.0013286i,0.0010117-0.0011585i,0.0011658-0.00065586i
