-2.1995e-05+0.00069047i,-0.00055004-2.303e-05i,-0.0012947+0.00038898i,-0.0010083+0.00098196i,-0.0014839+0.0013167i,-0.0017847+0.001614i,-0.00050232+0.0012255i,0.00073271+0.00061227i,0.00064028+0.00096057i,0.00081682+0.00048536i,0.00066956-0.00078609i,0.00039323-0.0009512i,0.00041134-0.00012578i,0.00026997-4.0714e-05i,0.00072717-0.00052046i,0.00066846+0.00029772i,0.00053301+0.0012737i,0.00048373+0.00072577i,-0.00088216-0.00044201i,-0.0014281-0.00061483i,-0.00087605+0.00036807i,-0.00066055+0.00056398i,-0.0002555+0.0005964i
-0.00092456+0.0023002i,-0.001255+0.0016495i,0.00021972+0.00080534i,0.00093024+0.00085567i,0.00069597+0.0014127i,0.00087471+0.0010241i,-7.3597e-05+0.00060619i,-0.0011425+0.0007601i,-0.00080495-0.00013937i,0.00026908-0.0010044i,0.00061662-0.0009933i,0.00088896-0.00089748i,0.00068348-0.0003503i,-0.00048907-0.00042395i,-0.00069007-0.00091646i,4.6686e-05-0.00037739i,0.0009724+0.00049271i,0.001278+0.00046114i,0.00036666-0.00020897i,-6.565e-05-0.00061674i,0.00019836-0.00065282i,0.00016986-0.00048147i,5.878e-05+6.0833e-05i
-0.00092935-0.00044963i,8.4198e-05+0.00022157i,0.00060001+0.00028828i,0.00021288+7.5549e-05i,-9.5794e-05+6.1446e-06i,-0.00024136+0.00020027i,-0.00035462+0.0006633i,-0.00035635+0.00049896i,-0.00021629+0.00021654i,-0.00060587+0.00026408i,-0.0007144-0.00013304i,-0.00015307+5.4163e-05i,0.00036384+0.0013271i,0.00081784+0.0016071i,0.0014541+0.0013175i,0.0013651+0.00030633i,0.00072393-0.0002653i,0.00030771-0.00033183i,-0.00028495-0.00089951i,-0.00081389-0.00059221i,-0.00031897+0.00012926i,0.00041527+0.00025959i,0.00015417+0.00017325i
-1.0049e-05-0.0020734i,-0.00067784-0.0015214i,-0.0011618-0.00053968i,-0.0017556-0.00041556i,-0.0015346-0.00015199i,-0.00014305+3.6839e-05i,0.00073997+3.9925e-05i,0.00034274-0.00011752i,-0.00035485+0.00018707i,-0.00028738+0.00068568i,0.00031148+0.0010297i,0.00028487+0.0012855i,-0.00016997+0.00057652i,-0.00018419+0.00062714i,0.00050041+0.00085019i,0.00060335+0.00065231i,0.0005503+0.001238i,0.00012061+0.0010702i,-0.00018878+0.00052101i,0.00045649+0.00020469i,0.00057109+0.00013778i,9.4792e-05-2.9359e-05i,-0.00013368-7.6347e-05i
-0.00081195+0.00034845i,-0.00098324+0.0011862i,-0.0012499+0.0014382i,-0.00079617+0.0018476i,2.58e-05+0.001679i,0.00026901+0.00040729i,-0.00020019+0.00010057i,-0.00072291-0.00020059i,-5.3981e-05-0.0003677i,0.00079983+0.00046695i,0.00063441+0.00037013i,7.786e-05-0.00036522i,-0.00052755-0.00067961i,-8.7303e-05-0.0014804i,0.00083642-0.0013928i,0.00092227-0.00071222i,7.8898e-06-0.00010219i,-9.6508e-05+0.00027344i,0.00012197-0.00012305i,-0.00058391-0.00083163i,-0.0014244-0.00053561i,-0.00159+0.00023778i,-0.000784+0.0002428i
0.00015918+0.0005245i,0.00023653+0.0012946i,0.00046023+0.00088731i,0.00015473-4.2161e-05i,3.205e-05-0.00015177i,0.00022159-0.00056218i,0.00054807-0.00085702i,0.00084187-0.00072628i,0.0012707-0.00020359i,0.00078695+0.00032844i,-0.00047874+0.00022116i,-0.00087884-0.00047382i,-0.0003337-0.00034749i,-1.5002e-06-0.00063317i,-0.00014619-0.0013023i,-0.00066322-0.00084478i,-0.0010192-0.00025909i,-0.00065844-0.00011484i,-0.00021251-0.0003051i,-0.00019638-0.00060318i,-0.0009584-0.0011943i,-0.0010649-0.0014922i,-0.00025743-0.00036211i
-0.0020879-0.0011834i,-0.0019842-0.00039636i,-0.0020473+0.0003912i,-0.0017579+0.00083195i,-0.001684+0.00040757i,-0.0012285+0.00023296i,-0.00029599+1.8783e-06i,-0.00016177-0.00052809i,-0.00012962-0.00026544i,0.00020747-0.0002593i,3.2587e-05-0.00022294i,-0.00049785+0.00011073i,-0.0008471+3.2209e-05i,-0.00037413-0.0002169i,0.00064304-0.000555i,0.0008496-0.00065706i,0.00063833-0.0007467i,9.3508e-05-0.00081209i,-0.00043028-0.00046852i,-0.00049346-8.3437e-05i,0.00042154+0.00036863i,0.0012499+0.00074151i,0.0011688+0.00035745i
-0.00043595+0.00088582i,0.00097531+0.00071189i,0.001404+0.00089439i,0.00050461+0.00058305i,-0.00021392+0.00034157i,0.00044336-0.00057775i,0.0006173-0.00085478i,0.00029941-7.1731e-06i,-3.8654e-05+0.00038012i,-0.0002577-1.0575e-05i,0.0004179-0.00017368i,0.00048428-0.00017053i,-0.00019726-0.00032325i,8.417e-05-0.00062981i,-5.5203e-05-0.00021799i,-0.0004936+0.00043886i,-0.00067877+0.00011985i,5.392e-05+0.00015605i,0.0003146+0.00027734i,-0.00028914+0.00010059i,-0.0002913+0.00078199i,-0.00031723+0.00059897i,0.0002985-0.00015683i
-0.00061408+0.0010025i,-0.00018107+0.00015873i,-0.0007723+0.00040885i,-0.0010653+0.00053247i,-0.00064766-0.00027559i,0.00014472-0.00051058i,0.00084746-0.00019027i,0.00071882-0.0010603i,0.00062219-0.0012804i,0.0006306+0.00051353i,0.00051287+0.0014i,0.00036596+0.0011209i,5.3862e-05+0.00068443i,0.00024897+0.00012543i,0.0004695-8.173e-05i,0.00042143-7.9843e-05i,0.00075347+0.00021774i,0.00040504+8.0657e-05i,-4.2514e-05+0.00020377i,-0.000273+0.00056555i,-0.00019915+0.00048342i,0.00038907+0.00031028i,0.00049926+0.00068207i
0.0013677+0.00020582i,0.0018985-0.001044i,0.0013941-0.00079864i,0.00026573-0.00044294i,-0.00027604-0.00060712i,-0.0012126-0.00091684i,-0.0012175-0.0010389i,-0.0010313-0.00012048i,-0.001652+5.4861e-05i,-0.0011978-0.00065743i,-5.7839e-05-0.00086928i,-9.9876e-05-0.00029824i,-0.00058875-0.00030268i,-0.00072604-0.0006995i,-0.00062119-0.00068744i,9.0716e-05-0.00036818i,0.00041384-0.00063161i,-8.6968e-05-0.0017237i,-4.4343e-05-0.0015964i,0.00027629-0.00091598i,0.00025905-0.0001592i,-5.2467e-06+0.0006282i,-0.00043234-6.4323e-05i
-0.00035691+0.0025069i,-0.00027278+0.0016422i,-4.9599e-05+0.0014352i,0.00085278+0.0013089i,0.00090847+0.00098645i,-0.00031386+0.00041645i,-0.00025162-0.00035309i,-0.00090302-0.00057316i,-0.0010919+0.00019072i,-1.8563e-05+0.00023997i,0.00085236-0.00012444i,0.00048868-0.00015393i,-0.0007878-0.00055852i,-0.00097815-0.001304i,-0.00015051-0.0012911i,0.00086558-0.00059644i,0.00043074-0.00058092i,0.00039517-0.0009836i,0.00020108+0.00011926i,-0.00041572+0.00086205i,-0.00076472+0.00014157i,-0.0012654-0.00058881i,-0.000668-0.00067561i
-0.00010973+0.0006361i,0.00014295+6.4798e-06i,0.00057877+0.00033492i,0.00034778+7.8324e-05i,-0.00022792-0.00025155i,-0.00031073-0.00064849i,-0.00035267-0.00087356i,-0.00019709-0.00030304i,-4.0418e-05+0.00020611i,-0.00029628+6.8566e-06i,-9.8681e-05-0.00040034i,-0.00010452-0.00051143i,-0.00014169-0.00012602i,0.00014296+3.9395e-05i,0.00052565+0.00047975i,0.00046236+0.00060426i,4.4466e-05+0.00019288i,0.0003964+2.471e-05i,0.00075831+0.00015842i,0.00033575+0.00014435i,-0.00032701-8.2551e-05i,-0.00036799-0.00047466i,5.9767e-05-0.00074414i
0.0015577+0.0015344i,0.0020094+0.00058201i,0.003102+0.00056825i,0.0022498-0.00027373i,0.00023852-0.00105i,-0.00046523-0.0003378i,-0.00042535+0.00041454i,-0.00084006+0.00031379i,-0.0015508-0.00019304i,-0.0010327-0.000899i,-0.00039737-0.00099767i,-0.00050666-0.00064474i,-0.00018303-0.00027612i,0.00031559-0.00012617i,5.9245e-05-0.00051503i,2.0934e-05-0.00049831i,0.00042248-0.00053056i,0.00060614-0.00069603i,1.5797e-05-0.00044659i,-0.00063241-0.00040189i,-0.00060044-0.00040449i,-3.7411e-05+9.539e-06i,0.00015141+0.00014782i
0.00031516-0.00065204i,-0.00085072-0.0012025i,-0.001857-0.0016i,-0.0017501-0.0012562i,-0.0010587-9.4541e-05i,-0.00033383+0.00093575i,0.00053261+0.0010407i,0.00090318+0.00048693i,0.00015785-0.00050174i,-0.00065198-0.00099998i,-0.00031479-2.1056e-05i,-0.0002101+0.00060117i,-0.00044075+0.00012386i,3.9783e-06+0.00026947i,-0.00010641+0.00082452i,-0.00053401+0.00070877i,-0.00038091-6.8056e-05i,0.00034319+0.00024205i,0.0010062+0.00044353i,0.00063191+0.00015123i,9.8699e-05+0.0002034i,0.0002661+6.1125e-05i,-0.00026056+0.00035647i
0.0014251+0.00082076i,0.00049325+0.0010506i,0.00074498+0.00067816i,0.0018189+0.00014577i,0.0015456+0.00065178i,0.00073355+0.0009519i,8.4549e-06+0.00023665i,-0.0002485-0.00043619i,0.00015176+0.00078171i,0.00060027+0.0011141i,0.00022589+0.0001834i,-0.00035337-0.00036542i,-0.00077902-0.00067185i,-0.0004489+8.6066e-05i,-0.00010971+0.00024293i,0.00028805-9.1829e-05i,0.00079546-0.00010755i,0.00042264-0.0003827i,-0.00065299+0.00019115i,-0.0013065+0.00087764i,-0.00036959+0.00073996i,0.00031291+0.00034323i,1.101e-05+0.00076147i
-0.0012818-0.0011586i,-0.0010246-0.00082236i,-0.00069402+0.00066757i,-0.0007898+0.0013732i,-0.00026227+0.0004805i,-3.8138e-05-0.00069863i,-9.9009e-05-0.00062082i,0.00020887-0.00016994i,-0.00010458-1.6439e-05i,0.00019654-0.00017678i,0.00091723+9.6245e-05i,0.00045356+0.0008368i,0.00016633+0.00032931i,0.000576-0.00060122i,0.00047521-0.00059734i,-0.00018089-0.00065728i,-0.00089192-0.00098351i,-0.00073841-0.0009636i,0.0004873-0.00043487i,0.00021693-0.0002979i,-0.00065116+5.979e-05i,-0.00040792+0.00069252i,0.00021947+0.0015738i
0.0010214-0.0014943i,0.00071761-0.0018937i,0.00083812-0.0016087i,0.0004031-0.001225i,9.2112e-05-5.0941e-05i,3.309e-05+0.00098837i,0.00059396+0.0011024i,0.0010971+0.00060577i,0.001038+0.0003041i,0.00031705+0.00019247i,-0.00030695+3.8165e-05i,-0.00025345-0.00012101i,-0.00028548-0.00051652i,6.5516e-05+1.2534e-05i,0.00041838-4.8069e-05i,0.00028301-0.00018931i,-0.00029457-7.1943e-05i,-0.00073215-0.0004367i,9.3557e-05-0.00058903i,0.0006892-0.00066116i,0.00058422-0.00064016i,0.0006453-0.00058936i,0.0005949-0.00098785i
0.00027099+8.7064e-05i,0.00071314+0.00014863i,0.00044541-0.0002505i,-0.00014048+0.00018677i,-0.00022214+0.00031635i,-0.00054792+0.000467i,6.7998e-05+0.0002576i,0.0001649-2.177e-05i,-0.00086514-4.4998e-05i,-0.00098592-0.00055407i,-0.00018295-0.0007233i,-0.0001131+0.0001291i,-0.00022628+1.4578e-05i,0.00036761-3.8039e-05i,0.00094626-1.982e-06i,0.00063474-0.00069221i,-0.00017211-0.0013404i,3.4967e-05-0.0010547i,0.00029795-0.00025875i,-0.00023561+7.2575e-05i,-0.00049751-5.5066e-05i,-0.00023425-0.00025842i,-0.00035465-0.00028199i
-0.00077302+0.00042701i,-0.0017167+0.00020622i,-0.0014779-0.00015889i,-0.00081652-0.00053113i,0.00064134-0.00042646i,0.001672-0.0004904i,0.0011417-0.00066754i,8.8737e-05-0.00061526i,0.00057123-0.00068695i,0.0010077-0.00077258i,0.00048855-0.0010755i,-0.00013304-0.0010412i,5.4855e-05-0.001485i,0.00040283-0.0010982i,-0.00044233-0.00097156i,-0.00066991-0.0012172i,-0.00045924-0.00092656i,-0.00030732-0.00083007i,-0.00038565-0.00048771i,-0.00033397+0.00015551i,9.8847e-05+0.00031404i,0.00069992-3.5171e-05i,0.00097739-0.0002871i
