-0.0014418+0.00021747i,-0.00099048+0.00055i,-0.0010592-3.5732e-05i,-0.00057592-0.0008784i,-0.00091047-0.00037897i,-0.00068737+0.00035224i,4.7578e-05+0.00025391i,-0.0001045-0.00029737i,-0.00040773-7.7299e-05i,-0.00033818+0.00053286i,0.0001372+0.00013787i,0.00019393-0.00048316i,6.5876e-05-0.00097549i,0.00013025-0.0011555i,5.7711e-05-0.00042275i,2.258e-05+0.00044417i,0.0001173+6.7538e-05i,-4.7525e-05-0.00060463i,0.00035133-7.5051e-05i,0.000539+0.00028854i,0.00045678+0.00024426i,0.00029123-0.00034472i,-0.00034785-0.00049679i
0.0011974+0.0020861i,0.0010205+0.0022366i,0.00056228+0.0017566i,-1.3262e-05-0.00047998i,0.00017029-0.0014551i,0.00060218-0.00074934i,0.00054718+0.0001575i,-0.00032229+0.00087656i,-0.0006105+0.0011502i,-0.000368+6.1825e-05i,-0.00016153-0.0013229i,-0.00028339-0.0011711i,-0.00046433+0.00020144i,-0.00066132+0.00091369i,-0.00040454+0.00066407i,-0.00020814+0.00048763i,-0.00031902-0.00013504i,-0.00038699-0.00025766i,-0.00013922+9.0641e-05i,-0.00020216+0.00047997i,-0.00061842-0.00018362i,-0.00023275-0.00075636i,0.00036226+0.00016572i
-0.00087547+0.0012983i,-0.00086015+0.0011975i,-0.00056631+0.0014222i,-0.00018607+0.000935i,0.00096595+0.00017485i,0.0013301-0.00021094i,0.00076892-0.00037315i,-0.00013298-0.000434i,-0.00052957-0.00043958i,6.8518e-05-0.00022946i,-0.00082911-0.00016544i,-0.0011271-0.00015918i,-3.7291e-06-0.00039365i,-0.00023907-0.00023982i,-0.0010037+0.0002831i,-0.0010043+3.0484e-05i,0.00049677-0.00011974i,0.0015385-0.0007344i,0.00099084-0.00067352i,0.00044501+0.00038176i,9.6822e-05+0.00021085i,-9.6388e-05-0.00037586i,-5.9022e-05-0.00021329i
0.00071031-0.0012973i,-0.00024454-0.00072546i,-0.0013513-0.00053687i,-0.0010133-0.00084996i,-0.00032546-0.00026006i,0.00018356+0.0011556i,0.00021874+0.0013454i,0.00032189+1.7033e-05i,0.00012346-0.00088285i,-0.00015049-0.0010076i,5.7939e-05-0.0011301i,6.4329e-05-0.00069957i,-0.00014665-0.0001207i,-0.0002272-0.00019914i,0.00012487-0.00020935i,0.00013282-0.00034953i,-8.3379e-05-0.00065027i,-8.7082e-05-0.0011132i,0.00040959-0.0012837i,0.00029202-0.0010234i,-2.725e-05-0.00084773i,0.00037883-0.0010307i,0.00076542-0.0011108i
0.0013641+0.00030251i,0.0012572-0.00095262i,0.001202-0.0012613i,0.00057952-0.0011228i,-0.00047839-0.00023265i,-0.00036558+0.0010934i,-9.9246e-05+0.0010269i,-0.00020532-0.00055584i,-8.684e-05-0.001201i,0.00035949-0.0010174i,-0.00056864-0.0011027i,-0.001163-0.00060353i,-0.00057481+0.00033491i,-0.00048887+0.00075633i,-5.2783e-06+0.00049037i,0.00081219-0.00036425i,0.00088237-0.000678i,0.00079998-0.00034119i,0.0010146-3.1964e-05i,0.00099348-0.0003877i,0.00095038+0.00017892i,0.00064797+0.0011128i,-7.3088e-05+0.00086788i
0.00050476-0.00094823i,5.2892e-05-0.00091806i,-0.0011588-0.0010808i,-0.0015812-0.00072367i,-0.0011481+7.9774e-06i,-0.00037493+0.00061409i,8.3031e-05+0.00010544i,0.00072198-0.00019278i,-1.5597e-06+0.00037489i,-0.0018557+0.00036196i,-0.0012168+0.00044071i,0.00011509+0.00061893i,1.4181e-05+0.00065519i,0.00020936+0.0010231i,0.00026631+0.0013462i,-0.00074154+0.0013909i,-0.00061448+0.00022689i,-2.6171e-05-0.00070595i,0.00024652-0.00074525i,0.00058462-0.00094489i,0.0006826-0.00058334i,0.00042783-3.6116e-05i,0.00043286-0.00056312i
-0.00057626-0.00052715i,-0.00097758-0.00077907i,-0.00098172-0.0013283i,5.4908e-05-0.0018315i,0.00043013-0.0011035i,-0.00042347-0.00054642i,-0.00025065-0.00063152i,-0.0001833-0.00068671i,-0.00052838-0.00094392i,-0.0005492-0.00077493i,-0.00059948-0.00025615i,-0.000498-0.00014586i,-8.255e-06-0.00024366i,-4.9144e-05-0.00047113i,0.0003126-0.00078617i,3.3172e-05-0.00082057i,-0.00077948-0.00099141i,-0.00089644-0.0012687i,-0.00011515-0.0011089i,-7.4304e-05-0.00017121i,-0.00065824-0.0001962i,-0.00084375-0.00071892i,-0.00076134-0.00083132i
-0.00069494-0.0012226i,-0.00089725-0.0014657i,-0.0012104-0.00085408i,-0.00089351-6.9258e-07i,-0.00024543+0.0004827i,0.00054908+0.0012535i,0.0010082+0.0015744i,0.00070509+0.00065954i,-0.00027202-0.00036167i,-0.00076574-0.00038986i,-0.00040116+0.00013913i,6.2606e-05+0.00020004i,0.00027408+2.7198e-05i,0.00013742+0.00014546i,0.0001254+0.00013178i,0.00029431-0.0002833i,-0.00011747-6.7159e-05i,-0.00072406+0.00046753i,-0.00070312+0.00065303i,4.1093e-05+0.00043563i,0.00029626-0.00071935i,-0.00033665-0.001026i,-0.00085925+1.1099e-05i
0.0011755-0.00013423i,0.00026398+0.0009287i,0.0001867+0.00032022i,1.3668e-05-0.0005337i,-0.00062999-0.00036793i,-0.00096629+0.00016337i,-0.0012055+0.00054109i,-0.0011807+0.0002918i,-0.00044037-0.00059496i,0.00060952-0.0009058i,0.00072641-0.00023758i,-0.00025585+0.00043213i,-0.0010759+0.0011555i,-0.0016196+0.0013269i,-0.001174+0.00029752i,-0.00016433-0.00016822i,0.00024218+0.00049735i,-0.00017351+0.00077146i,0.00023858-0.00037414i,0.00046365-0.00066821i,0.00010878-6.7878e-05i,0.00066734-0.00021932i,0.00070262-0.0002876i
-0.0015782+0.0015957i,-0.0013382+0.0021547i,0.00057141+0.0022071i,0.0023156+0.0011194i,0.002008+0.00068786i,0.00044806+5.5676e-05i,-0.00039192-0.00074091i,-0.0004533-0.00068188i,-0.00065245-0.00069616i,-0.00080599-0.0014293i,0.00010926-0.0012338i,0.0001018-0.00034051i,-0.00042764-0.00011704i,-1.9401e-05+4.884e-05i,1.6441e-05+0.00073678i,-0.00021542+0.00049136i,-8.4674e-05+0.0001647i,-0.00016755+0.00022821i,-4.3713e-05-0.00061416i,0.00029862-0.00076104i,-0.00037699-7.9725e-05i,-0.00075474-0.00011819i,-0.00058047-1.6936e-05i
3.2216e-05-0.00087409i,-0.00024743-0.00055058i,-0.00057869-7.0321e-05i,-0.00026696-0.00032348i,0.0001406-0.00035619i,-0.00052231+7.9248e-05i,-0.00034617+0.00039465i,0.00029902+0.00073374i,-0.00017743+0.00042785i,-0.0009854-9.5126e-06i,-0.0013158-6.9489e-05i,-0.0014263-0.00024688i,-0.0012176+8.2333e-05i,-0.00090773+0.00077386i,-0.00037549+0.00097293i,0.00062822-8.2161e-05i,0.00077554-0.00094843i,0.00052531-0.00052564i,0.00019348+0.00025498i,-0.00056343+0.00037965i,-0.0001725+0.00028552i,0.00012492+0.00079801i,2.9082e-05+0.0012082i
-0.00017945-0.00035366i,-0.00059119-0.00062091i,0.00059155-0.00086415i,0.0014345-0.00069044i,-0.00032176+4.7131e-05i,-0.00085026+0.00056753i,-0.00013724+4.1025e-05i,1.3059e-06-0.00085417i,-0.00064269-0.00097337i,-0.00095382-0.00020942i,-0.00064066+6.2967e-05i,-0.0012116+0.00016492i,-0.0015693+0.00060585i,-0.0010095+6.8686e-05i,-0.00035201-0.0011348i,0.0001146-0.001411i,0.00019934-0.00070358i,0.00021128+7.7128e-05i,-0.0001076-1.1864e-06i,-0.00077637-0.00055111i,-0.00070588-0.00057412i,-9.0167e-05-6.4367e-05i,7.7356e-05-0.00017015i
0.00079027+0.00014966i,0.00071087+0.0011815i,0.00041759+0.00084917i,-0.00037466+0.00089688i,-0.00059256+6.8538e-05i,0.00045614-0.0002791i,0.0007732+0.00031383i,4.3546e-05+0.0005424i,-0.0013123+9.4079e-05i,-0.0016583-0.00029819i,-0.00067228-0.0002766i,-0.00037012-0.00018946i,-0.00046353+0.0002462i,-0.00015155+0.00017019i,-0.00028824+3.5311e-05i,-0.00087708+2.2068e-05i,-0.00099275-0.00013218i,-0.00038745-2.2001e-05i,5.9773e-05-0.00025816i,-4.2017e-05-0.0002957i,-0.00010503+0.00042207i,0.0002893+0.0007764i,0.00023485+0.00075685i
0.00056502-5.7953e-05i,-0.00014073-0.00058533i,6.5573e-05-0.00095715i,0.00054777-0.0013648i,-0.00027718-0.0016217i,-0.00081504-6.7583e-05i,-0.00028195+0.0012354i,-0.00023508+0.0004613i,-0.0010228-0.00052487i,-0.0015099-0.0011075i,-0.0011653-0.00066197i,-0.0003618+0.00016539i,0.00016881+8.2204e-05i,0.00042314-0.00025515i,0.00075084-0.00022101i,0.00060014+0.00058999i,3.9314e-05+0.00085066i,0.000252+0.00016375i,0.00066815-0.00027821i,0.00060277-0.00044601i,-0.00014003-0.00024167i,-0.0010128-0.00030955i,-0.00090841-0.00086297i
-0.00097482+7.095e-06i,-0.00104-0.00072973i,-0.00056888-0.00050725i,-0.00056969+3.1638e-05i,-0.00019356+8.2275e-05i,-0.00011257-0.00039961i,-6.383e-05-0.0011247i,-0.00032372-0.0011191i,-0.00058455-0.0014781i,-0.0011102-0.0008631i,-0.001238+0.00023736i,-0.00043527+0.00028356i,0.00015967+0.00023389i,0.00072532+0.00029358i,0.0011676-0.00016208i,0.00098194-0.0008655i,0.00075686-0.00092535i,0.00066745-0.00042733i,-0.00021971-0.00040328i,-0.0011934-6.1867e-07i,-0.0010814+0.00098491i,-0.0005599+0.00071029i,0.0005957-3.9399e-05i
0.00098726+0.00015014i,0.0017924-2.297e-05i,0.0019771+0.00021245i,0.0015287+3.066e-05i,0.001077-0.0011387i,0.00065262-0.00086802i,-0.00037616+0.00012697i,-5.7977e-05+0.00058984i,0.00010436-1.4239e-05i,-0.00028668-0.00050899i,0.00012351-0.00055633i,0.00056809-0.00055584i,0.00064383+0.00037539i,0.00037193+0.00037611i,2.7344e-05-0.00057971i,0.0003424-0.00056785i,0.00094493-0.00038112i,0.0011868-9.5792e-05i,0.00056902-0.00011707i,-1.1035e-05-0.00038162i,-0.00021207+8.6857e-05i,-0.00073817+0.00023128i,-0.00036785-0.00012458i
-0.00098422-2.4414e-05i,-0.001009+0.00085944i,-0.0015307+0.0016888i,-0.00073551+0.0007501i,-0.00043951-0.00047455i,-0.0003535-0.00027242i,-2.8948e-05-3.6741e-05i,-0.00029959-0.00041151i,-0.00069045-0.00016392i,-0.00058642+0.00067333i,-0.00011441+0.00058668i,-0.0001032+0.00044395i,-0.00046202+0.0012824i,-0.00036196+0.00096167i,-0.00029413-3.6499e-05i,-0.00053328-0.00043969i,-0.00022635-0.0001203i,-0.00044796+0.00047741i,-0.00065828-2.3949e-06i,0.00050917-0.0004194i,0.00087185-3.362e-05i,7.4089e-05-0.00046369i,-0.00041363-0.0010982i
-0.0015412-7.8729e-05i,-0.0022479-0.0003029i,-0.001816-0.00074105i,-0.0006703-0.0006585i,9.9788e-05+7.2056e-06i,0.00078233-5.3333e-05i,0.00072446-0.00055275i,-0.00038404-0.001093i,-0.0010045-0.00076341i,-0.0010218+1.2513e-05i,-0.00090385-0.00018271i,-0.00084094-0.00063451i,-0.00031751-0.00036981i,-7.2522e-06-9.8228e-05i,0.00021762+0.00023622i,-0.00059016+1.5357e-06i,-0.00079009-7.0026e-05i,-0.00057954+0.00046255i,-9.2138e-05+0.00010538i,-0.00038822-0.00031114i,-0.00027668-0.00060659i,-0.00013114-0.00066394i,-0.00060904+6.947e-05i
-0.00067105-0.00063002i,-0.00061812+0.00023866i,-0.00044553+0.00024416i,-0.00011509+0.0004566i,-0.00019749+0.00063945i,0.00072607+0.00056254i,0.00098247+0.00020719i,-9.7645e-05+0.00013185i,-0.00088924-0.00098651i,-0.00014356-0.0015802i,0.00047297-0.00076388i,0.00051761-0.00082444i,-6.0733e-05-0.0010883i,3.7183e-05-0.00063136i,0.00032959+0.00060308i,8.704e-05+0.00056195i,0.00038291-0.00059112i,0.0010161-0.00021207i,0.001245+0.00084874i,0.00097227+0.0010248i,0.00040946+0.00060434i,0.00038431+0.00020206i,0.00085789+0.00037128i
0.0013017-0.0007818i,0.00060974-0.00038104i,0.00024548-0.0007383i,0.00024951-0.00082792i,0.00032731-0.0003056i,-8.0621e-05+0.0010681i,-0.00058874+0.0010942i,-0.00051308-0.0002948i,-7.8189e-05-0.00096518i,-0.00024212-0.00096962i,-0.00024338-0.00053594i,-8.9891e-05-0.0003679i,-0.00010727+2.7178e-05i,-3.6213e-05+0.00054438i,3.1757e-05+0.00097917i,-0.00035491+0.00096394i,-0.0006949+0.00021766i,-0.0002228-0.00037603i,-2.6589e-05-1.2915e-05i,0.00024185+0.00027215i,0.00012682-0.00016143i,-0.00081708+1.2256e-05i,-0.00084347+0.00040878i
0.0013515+0.0010531i,0.0020387+0.0011939i,0.0019286+0.00077593i,0.0017721-4.3576e-05i,0.0011089-0.0010968i,-2.4537e-05-0.0018043i,-0.00015314-0.0010067i,-0.00040181-3.5714e-05i,-0.00016241+0.00061339i,-7.1132e-05+0.0003706i,-0.0004137-0.00046274i,-0.0010816-0.00036766i,-0.0013495-1.7872e-05i,-0.00072184+0.00037602i,-0.00055684+0.00052978i,-0.00078023+0.00033981i,-0.00042527-0.00030727i,0.00028622-0.00069712i,-3.4485e-05-0.00026917i,-0.00043228+0.00024472i,-0.00050505+0.00088713i,-0.00019468+0.00058013i,0.0001628+0.00019529i
-0.00058229-0.00029317i,-0.0013475-0.00031169i,-0.0011605-0.00038329i,-0.00024336-0.00029584i,0.00060747+0.00021124i,0.00047071+0.0010929i,0.00049241+0.00058664i,0.00094779-0.00032439i,0.00013384-0.00038062i,-0.00091898-0.00059638i,-0.0008675-0.00086216i,-1.2386e-05-0.00035252i,-0.00032262-8.7199e-05i,-0.0010341-0.00039021i,-0.0010245+9.193e-05i,-0.001346+7.0341e-05i,-0.0010943-0.00013587i,-0.0004207+0.00066003i,0.00041206+0.0011841i,0.0011258+0.00075695i,0.0001431+3.082e-06i,-0.00012944+8.6138e-05i,0.00033948+0.00062748i
0.00067796-0.00041876i,3.7125e-05-0.0008772i,-0.0013283-0.0015527i,-0.00080467-0.0021868i,-0.00041481-0.0019234i,-0.0015084-0.00067133i,-0.001329+0.00034216i,-0.0003747+0.00069383i,-0.00021013-0.00026709i,-0.00048832-0.00071954i,-0.00077674-0.00051722i,-0.00068294-0.00028145i,-0.00021185-0.00031345i,0.00020514-0.00041491i,0.00021084-5.3579e-05i,0.00081149-0.00016121i,0.0010745-0.00017395i,0.0010237-0.00029367i,0.00050284-5.2662e-05i,-0.00034716+7.8672e-05i,-0.00066706-0.0002053i,-0.00045743-0.00023078i,-8.507e-05+0.00013842i
-0.0012823+0.00084694i,1.1347e-05+0.0011387i,0.00078665+0.0023831i,0.00043424+0.00221i,0.00048303+0.0013745i,0.00081603+0.00037409i,-0.00013581-0.00092827i,-0.001338-0.00086672i,-0.0016347-0.00028112i,-0.0011935-4.3849e-05i,-0.00072503+1.1599e-05i,-0.00021418+8.5664e-05i,0.00027542+8.0518e-05i,7.8999e-05+0.00017615i,-0.00054948+0.00015588i,-0.0007562-0.00037443i,-0.00022257-0.00016572i,0.00010393+0.00060725i,0.00014221+0.00037229i,0.00039232+0.00030186i,0.0002297+0.0003018i,-9.6356e-05-0.00072377i,-5.2027e-05-0.0010203i
-0.0015097-7.4092e-05i,-0.0011966-0.00042539i,-0.0013029+0.00021151i,-0.0010275+0.00051303i,0.00015124+0.0003188i,0.00023822+0.00057014i,-0.00024118+0.00057047i,-0.00081375-3.023e-06i,-0.0014228-1.5827e-05i,-0.0012194+0.00019871i,-0.0006795+4.6709e-06i,0.00031163-0.00046227i,0.00074031-0.00010463i,9.8505e-05+0.0005393i,-0.00038991-7.2178e-06i,-0.00011886-6.6467e-05i,-0.00019463-0.0003686i,-0.00047309-0.00052242i,-0.00099747+0.00018494i,-0.00053778+0.00078125i,0.00029349+0.0007333i,2.4108e-05+4.8992e-06i,8.5475e-05-0.00035072i
-0.00069204-0.00045203i,-0.0017788-1.2111e-05i,-0.0014468-0.00025673i,-0.00064003-0.00082209i,-0.00063336-0.00068306i,-0.00041748-0.0003429i,7.5301e-06+0.00051057i,0.00023785+0.00043497i,0.00076533-0.00042588i,0.00054178-0.0010079i,-0.0010084-0.00097772i,-0.0014398-0.00024958i,-0.00027742+0.00062217i,0.00049383+0.00050574i,0.00080568-0.00024946i,0.0008844-0.00033243i,0.00029539-0.00054343i,-0.00011442-0.00076037i,4.53e-05-0.00070303i,0.00079556-0.00040055i,0.00077912-0.00027423i,1.106e-05-0.00074277i,-0.00029921-0.0009524i
