-0.0032627+0.00024933i,-0.0030308+0.0020611i,-0.0033708+0.0034606i,-0.0025498+0.0032164i,-0.0012583+0.0022792i,-0.00066304+0.0013556i,-0.00010948+0.001164i,0.00029954+0.0022364i,3.2766e-05+0.0026652i,-0.00015053+0.0014748i,0.00024473-0.00063506i,0.00092902-0.0017117i,0.00048078-0.001962i,0.00017681-0.0018817i,0.00022271-0.00088018i,-0.0002935-1.2819e-05i,-0.00084915+6.4214e-05i,-0.00101-0.00042992i,-0.00017477-8.892e-05i,4.3163e-05+0.00039697i,-0.00056602+0.00046028i,-0.00079068+6.4173e-05i,-0.00050561-0.00071272i
-0.0011462-0.0003175i,-0.00085643-0.00039803i,-0.00055374+0.0010813i,0.00010769+0.0016258i,0.00080042+0.0014748i,0.00085939+0.0011111i,0.00072409+0.00063605i,0.00060713+0.0015504i,0.00078415+0.0018353i,0.00050009+0.00093952i,-0.00025789+0.0003117i,-0.0010008+0.0002599i,-0.00082533+0.00039897i,0.00018857+0.00070191i,0.00051483+0.00038084i,0.00023071+3.3099e-05i,-0.00033485-0.00048584i,-0.00049119-0.00066037i,-4.0939e-05+0.00015313i,0.00056055+0.00069976i,0.00032646+0.00086597i,-0.00030116+0.00092097i,-1.2035e-05+0.00047776i
0.0011092+0.00068949i,0.0016448-0.001245i,0.0017534-0.0015359i,0.0018718-0.00099981i,0.00089852-0.0019746i,-0.00048421-0.0022541i,-0.00060952-0.00055667i,5.8049e-05+0.00078434i,0.00078416+0.00043758i,0.00030411-0.00021605i,-0.00057895-0.00021978i,-0.00079706+0.00020226i,-0.00045736+0.0001505i,-0.0004464-0.0002536i,-0.00031487-0.00077442i,-8.6029e-05-0.00091755i,-0.00063992-0.001026i,-0.00075027-0.00074305i,-0.00052935-0.00016052i,0.00026151-8.1614e-05i,0.00089897-6.3474e-05i,0.00083388+0.00022793i,0.0005642-0.00013814i
0.0002826-0.0015192i,-0.00052081-0.0015105i,-0.00045773-0.001737i,-0.00027628-0.0012023i,-0.00020364-0.00046554i,-0.00011801-0.00012936i,0.00016674+5.2195e-05i,0.00027248-0.00047955i,0.00052928-0.00075268i,-0.00012367-0.00020295i,-0.00079452+0.00056624i,-0.00026368+0.00065215i,-5.1052e-05+0.0005338i,0.00022286+9.3313e-05i,0.00057312+0.00010449i,0.00054414+0.00051434i,0.00056315+0.0002854i,0.00032554-3.2524e-05i,0.00019957-0.00041325i,0.00060225-0.00088114i,0.00054337-0.00054364i,0.00015676+0.00031341i,-0.00032808+0.00036554i
0.00045778+7.4739e-05i,0.00020652+0.00070424i,0.00055547+0.0001257i,0.00039426-0.001255i,-0.00058831-0.0012127i,-0.0013751-0.00074454i,-0.0011336-0.00026822i,-0.00023741+7.0827e-05i,1.0694e-05+0.00054825i,-7.2519e-05+0.001131i,-8.7869e-05+0.00085054i,-0.00048041+0.00014571i,-0.00029671-0.00013851i,0.00030902-3.268e-05i,-0.00031746-0.0003602i,-0.00092857-0.0017588i,-0.00054106-0.0012084i,3.1323e-05-0.00031902i,0.00054178-0.00029222i,0.00025743+0.00010216i,3.1849e-05+0.00062343i,0.00071899+0.00058936i,0.00090985+4.9146e-05i
0.0027693-0.00049449i,0.0040773-0.000641i,0.0038905-0.00087532i,0.0019349-0.0010081i,-5.5713e-05-0.0013713i,-0.00056243-0.00094046i,-0.00019206-0.00070846i,0.00030421-0.00061434i,0.00049073-0.00024766i,0.00011437-7.046e-05i,-0.00040135-4.0457e-05i,-2.6781e-05-0.00013313i,0.0004244-0.00021721i,-0.00029704+7.4569e-05i,-0.00093176+0.00015752i,-0.0008055-1.3263e-06i,-0.00037413-0.00026034i,0.00034772-0.00032489i,0.0010055-0.00010431i,0.0010766+0.00039709i,0.00086968+0.00058745i,0.00076792+6.5639e-05i,0.00040534+2.093e-05i
-0.0012023-0.0018984i,-0.0017101-0.00088176i,-0.0014667+0.0007791i,-0.0018561+0.002334i,-0.0018416+0.0025626i,-0.0005873+0.0012737i,9.73e-05+0.0006303i,-9.0162e-05+0.00040582i,0.0005102-0.00045442i,0.0012776-0.00039385i,0.00080149+7.3381e-05i,0.0005618-0.00053789i,0.00090574-0.00093385i,0.00051623-0.0005794i,0.00025691-0.00061213i,0.00086136-0.00066843i,0.00087093-0.00079949i,-8.1474e-05-0.0010382i,-0.00011682-0.00054731i,0.00071675+0.00020142i,0.0011565+0.00021698i,0.0012119-0.0001579i,0.00043248-0.00049499i
0.00078844+0.0019605i,0.00062686+0.0013225i,0.0030477+0.00050325i,0.0040844-0.00026703i,0.0025608-0.0012669i,0.0002123-0.0013314i,-0.00027466-0.00053548i,0.00055057-0.00021072i,0.00098663+8.7161e-05i,0.0013255+0.00065584i,0.00027364+0.00043526i,-0.00071031+0.00039222i,-0.00042544+0.00077195i,-2.6455e-06+1.4405e-05i,-0.00033391-0.00048565i,-0.0008739-3.5075e-05i,-0.001009+0.00032077i,4.2086e-05+0.0005492i,0.0006639+0.00041186i,0.0005255+8.1125e-05i,0.00051698-0.00040219i,0.00050404+9.9769e-05i,0.00031844+0.00027682i
0.0012759-0.00017472i,0.0018485-0.0014251i,0.00069913-0.0014578i,-0.00027487-0.0004782i,-0.00014713-0.00045197i,-0.00011599-0.0001489i,0.00025873+0.0011113i,0.00032592+0.0010465i,0.00048437+0.00052131i,0.00077635+0.001075i,0.00010709+0.0014589i,-0.00034115+0.00057434i,9.0154e-05+3.6171e-06i,0.00054755+0.00042326i,0.00060014+0.00027434i,0.00070527-1.2228e-05i,0.00046027+0.0001648i,-0.00022746+0.00038228i,-0.00051081+0.00061272i,-0.00056624+0.00034434i,-0.0005367-0.00031071i,-0.00030584-0.00033486i,6.725e-05+0.00017487i
-0.00095443-0.00022738i,-0.0010555+0.00039363i,-0.00089522-0.0001936i,-0.00081654-0.00048126i,-0.00071273-0.00059165i,-0.00076751+0.00033894i,-0.00067996+0.00092814i,-0.0004201+0.00095582i,-0.00087042+0.00098421i,-0.00059269+0.00039771i,0.00042981+5.9834e-05i,0.00059089+0.00012108i,6.7166e-06+8.4323e-05i,7.9324e-05-0.00031111i,-6.1656e-05-5.9724e-05i,-0.00074838-7.2502e-05i,-0.00049353-3.3599e-05i,0.00033107+0.00042206i,0.00042665+0.00029616i,0.00029723+0.00034242i,0.0007088+0.00016994i,0.00077581-0.00047121i,2.8446e-05-0.00072706i
-0.00012152+0.0027684i,0.0016816+0.0023912i,0.0030765+0.0016417i,0.0037754+0.00046482i,0.0029156-0.00027318i,0.00098505-0.0005613i,-7.0583e-05-0.00041284i,-0.00010556+0.00043346i,0.00011699+0.00078602i,0.00041442+0.00074063i,0.00057682+0.00058417i,7.6369e-05+0.00016912i,-0.00061608-3.1395e-05i,-0.00034609+0.00038505i,0.00035031+0.00051487i,0.00023705+0.00046947i,-0.00013388+0.00017449i,-0.00025442+1.687e-05i,0.00063239-5.4693e-05i,0.0011232-0.00019533i,0.00042681-0.00033809i,0.00029997-0.00030328i,0.00021498-0.00073555i
-0.0011413+0.00068567i,-0.00063202+0.00049077i,-0.00060602+0.00012737i,-0.00060109+7.917e-05i,-2.0361e-05+0.00076378i,-0.00043942+0.0011692i,-0.00051517+0.0010639i,-0.00024586+0.00073524i,0.00033129+0.00033975i,0.0012079+0.00019109i,0.0010422+4.1198e-05i,0.0012833-0.00054229i,0.0012984-0.0005541i,0.00022572-0.00059978i,-0.00040424-0.00073121i,-0.00019446-0.00059115i,-0.00013301+0.00017803i,-0.0005863-0.00031362i,-0.00036996-0.00081637i,0.00057127-0.00029335i,0.00067243-5.2973e-06i,0.00019018-0.00038477i,0.00053914-0.00051439i
0.0016046+0.0002447i,0.0023163+0.00017382i,0.0024482+0.00026569i,0.0025767-0.0002378i,0.0018838-0.0011313i,0.00013277-0.0013495i,-0.0011814-0.0012618i,-0.00045184-0.00092631i,0.00078556-0.00022858i,0.0013905-0.00056381i,0.0010269-0.001245i,-2.7117e-05-0.0010143i,0.00034385-0.00058784i,0.0012014+0.00022088i,0.00048958+0.00015259i,-0.0002339-0.00033849i,-0.00076832+0.00030509i,-1.1689e-05+8.3928e-05i,2.858e-05+0.00010266i,-0.00040768-1.8754e-06i,-0.00014061-0.00049695i,-6.2216e-05+0.00015559i,4.0393e-05+0.00070245i
-0.00024002+0.00034887i,0.00092167+0.00077124i,0.0014316+0.0010851i,0.0020694+0.0013027i,0.0016651+0.00067326i,0.0010489-0.000577i,0.00064281-0.00080264i,0.00024034-0.00050888i,0.00051911+0.00053331i,0.00071988+0.0012785i,0.00057949+0.00072465i,0.00048414-4.4391e-05i,-6.1215e-05-0.00053059i,0.00033394-0.00069222i,0.00033074-0.00019741i,-0.00070967-0.00039088i,-0.00076797-0.00036582i,8.8644e-05+0.00016926i,0.00091957+0.00053956i,0.0011947+0.0012746i,0.0010731+0.001428i,0.00082174+0.00071743i,0.00085224+0.00038348i
-0.0008131-0.00028069i,-0.00050732-0.00032486i,-0.0010612-0.001396i,-0.0014673-0.0015572i,-0.00079593-0.00075363i,-0.00084223+0.00010712i,-0.0013959+0.00061464i,-0.00045104+0.0004198i,0.00053331-0.00070252i,0.00087849-0.001295i,0.0010356-0.00076408i,0.001209-2.7845e-05i,0.00073567+0.00019995i,0.00015707-0.00014486i,0.00043055-7.754e-05i,0.00033047-0.00014868i,-0.00060138+0.0001932i,-0.001347+0.00064028i,-0.00054162+0.0011931i,0.00048388+0.0013073i,0.00011749+0.0010402i,3.5802e-05+0.00068341i,0.00057177+0.00057655i
-0.002115+0.00010492i,-0.0014788+0.0014959i,-0.00040215+0.0017121i,0.00076932+0.0012606i,0.0011334+0.00068433i,0.00044356+0.00044184i,-2.0687e-05-0.000256i,6.5735e-05+0.00030352i,0.0003033+0.00039047i,0.00077878-0.00010703i,0.0010119+4.605e-05i,0.00053618+0.00032537i,0.00056887+3.6821e-05i,0.00057853-0.00040302i,0.00032292+6.6541e-05i,0.00021894+0.00060861i,-0.00018692+0.00056055i,-0.00022574+0.00041267i,-6.3243e-05+6.7888e-05i,0.00021961+0.00022241i,0.00040509+0.00063335i,0.00016797+0.00044677i,6.2713e-05+0.00010998i
0.0007231-4.6093e-05i,0.0011779-0.00043124i,0.0010756-0.0001044i,0.0004551-0.0011533i,-0.00068792-0.0026252i,-0.0013428-0.0021038i,-0.001194-0.00062847i,-0.00037218+0.00021597i,0.00053927+0.00044976i,0.00067744+0.00014864i,4.7644e-05+1.6371e-06i,-0.00094964+0.0002001i,-0.00075589+0.00082606i,-0.00049335+0.00056283i,-0.00081383-0.00087531i,-0.00048926-0.0019087i,0.00018988-0.0012963i,0.00033691-0.00036954i,0.00021483+0.00038328i,0.00027563+0.00072953i,-0.00019936+0.00037482i,-0.00091513-2.1958e-05i,-0.0010302-0.00031677i
-0.0011776-0.0010838i,-0.0020016-0.0014086i,-0.0018613-0.00067672i,-0.00046771-0.00045042i,0.00032666-0.00036432i,-0.0011471-5.3273e-05i,-0.0012343+0.0007853i,-0.0003024+0.001012i,-3.5322e-05+0.00064661i,0.00041594+0.00032803i,0.00072765+0.0003684i,0.00018296+0.00091054i,0.0003331+0.00073468i,0.001038-0.0001964i,0.00088944-0.0007373i,7.5711e-05-0.0006887i,-0.00065293-0.00051068i,-9.1633e-05-0.00050751i,0.00083938-0.00034812i,0.00027825-0.00019708i,-0.00017876-0.00037839i,0.00086357-6.9606e-05i,0.0015257-1.3093e-06i
0.00073616-0.00043681i,0.0015362-0.00082606i,0.0020911-7.8688e-06i,0.0027194-0.00046125i,0.0026204-0.0012841i,0.0010718-0.0012829i,0.00027184-8.8702e-05i,0.00071149+0.00058618i,0.0013436+0.00097151i,0.0010843+0.0011316i,0.00060891+0.00049021i,0.00041639-0.00034474i,0.00034242-0.000818i,-4.429e-05-0.00070846i,-6.0946e-05+0.00029029i,0.00024614+0.00055364i,0.00013866-0.00044208i,0.00042405-0.00064064i,0.0010816-0.00027557i,0.0014693-0.00036463i,0.0010359-0.00022069i,-0.00027756+9.2567e-05i,-0.00053118+0.00016198i
0.00033483-0.0012459i,0.00010944-0.00030043i,-0.00044846+0.00055174i,-0.00076424-2.5422e-05i,-0.00027693-0.0011481i,-0.00051485-0.0012467i,-0.0011443-0.00053472i,-0.00099647+0.00013264i,-0.00046421+0.00017259i,-0.00062163-9.2505e-05i,-0.0004908-6.9647e-05i,0.00027553-0.00013166i,0.00084922-3.8253e-05i,0.00052157+0.00016306i,0.00053256-2.3328e-05i,0.00053758-0.00035808i,0.00011681+0.0001259i,0.00033176+3.6286e-05i,0.00061284-0.00084014i,0.00043137-0.00049237i,0.00026472+5.0714e-05i,-0.00017288-9.7306e-05i,-0.00047567-0.00052625i
-0.00029738-0.00016363i,-0.00016054+0.0013021i,0.00026551+0.0014024i,-0.0002945+0.0013619i,-0.00064147+0.00077218i,-0.00060832-0.00024555i,-0.00054814-0.00034342i,-0.00049699+0.00010265i,0.00056189-0.00015018i,0.0010132-0.00070009i,-1.64e-05-0.00037125i,-0.00015804+0.00016054i,0.0001516+0.00032336i,0.00026976+0.00046309i,0.00017419+0.0001129i,-5.1009e-06+0.00034937i,-0.000442+0.00073655i,-0.0010896+0.00078497i,-0.00081433+0.00066315i,0.0003675+0.00030299i,0.00031689-0.00012345i,-0.00042684+2.084e-05i,-0.00034755+0.00030708i
-0.0025759-0.0004729i,-0.0021926-0.0002181i,-0.0017499+0.00098906i,-0.00086065+0.0010654i,0.00024271+0.00032308i,0.00050951+0.00010254i,0.00039378+0.00014274i,0.00037017+0.00024664i,0.00017082+0.00049338i,-0.00051126+0.00035246i,-0.00060905+0.0003039i,-0.00027669+0.00060183i,7.2313e-05+0.00046077i,0.00022773-5.3209e-05i,-3.2405e-05+1.7482e-05i,-0.00069884+0.00021993i,-0.0011016+0.00022407i,-0.00084792-0.00013352i,-0.00082545-0.00027118i,-0.00066055-0.00018231i,-0.00015765-8.9823e-06i,0.00046049+0.00011101i,0.00082142+0.00023903i
0.00010726-0.00040139i,-0.0002639-0.00042979i,0.00016789+0.0001717i,0.00077502+0.00095963i,0.0012104+0.0002419i,0.00085702+0.0002598i,8.5743e-05+0.00085787i,0.00045706+0.00066981i,0.001419+0.00046518i,0.0010891+0.00027177i,0.0004039+6.9406e-06i,0.00035773+0.00010066i,0.00030889+6.0002e-05i,-0.00033068-3.1808e-05i,-0.00039631+0.00017868i,0.00032763-0.00035325i,0.0003457-0.00079157i,-0.000146-0.0006837i,0.00014609-0.00014513i,0.00027045+0.00097397i,7.0121e-05+0.00073861i,-0.00048777+0.00050331i,-0.00078775+0.00084945i
-0.00027535+0.00014798i,-0.00024372+0.00026799i,-0.0007038+0.0011366i,-0.00027922+0.00019506i,0.00073566-0.00075604i,0.00059696-0.00064774i,0.00010817-0.00090171i,0.0007035-0.00051796i,0.0012924+0.00023258i,0.00039307-0.00022907i,-0.0003481-0.00045565i,-0.00025877+0.00037731i,0.00028481+0.00072123i,0.00030938+0.00030983i,-0.0001304-1.1666e-05i,-7.7037e-05-0.00061822i,-0.00055515-0.0011828i,-0.00014535-0.00092332i,0.00087328-0.00043411i,0.00043513-0.00030057i,-2.002e-05-2.7129e-05i,-0.00016242+0.00039111i,0.00044014+0.00038141i
0.0002108+0.00085496i,0.00034626+0.00084546i,0.0014625+0.00076518i,0.0020652-2.8316e-05i,0.001636-0.00097478i,0.00035029-0.0004553i,-0.00069711-2.8318e-05i,6.5397e-06+0.0004934i,0.00047187+0.00085648i,0.00078445+0.00023511i,0.00084999+0.00064773i,0.00050896+0.0013397i,1.5264e-05+0.00081602i,-0.00031946+2.8893e-05i,-0.00047205-0.00048686i,3.1728e-05-0.00028999i,0.00071631+0.00022913i,0.00013284-0.00019237i,-7.758e-06-0.0004806i,0.00023542+0.00039195i,-0.00015675+0.00043426i,-0.00075008+0.00015409i,-0.00092007+0.00021972i
-0.001221+0.0002855i,-0.00088829+0.00086343i,-0.0021529+0.00098697i,-0.0024131+7.1572e-05i,-0.00037794-0.00010596i,3.5207e-05+0.00018697i,-0.0008861+0.00034336i,-0.00056956+0.00071907i,0.0007884+0.00066954i,0.0011309+0.00060678i,0.00036015+0.00044738i,-0.00043235+1.5898e-05i,-0.00046349-0.00049601i,0.00015785-0.0018975i,0.00035841-0.0019614i,-3.394e-05-0.00091931i,-0.00053929-0.00032034i,7.6174e-05+4.3494e-06i,0.001194+0.00020548i,0.001658+0.00085497i,0.0013533+0.00092936i,0.0007965+2.1753e-05i,0.00084861-0.00029711i
0.0016745-0.00043207i,0.00097401-0.0010005i,0.0010906-0.00075051i,0.0012134-0.0002906i,0.00097729-0.00071245i,0.00081476-8.6133e-05i,0.00064962+0.00078519i,0.00080028+0.00094835i,0.00079497+0.00022495i,0.0013298-0.00013562i,0.0011617+0.00014583i,0.00043046+0.00014511i,0.00054652-0.00018687i,0.00052877-0.00033408i,0.00010976-0.00081324i,-1.8207e-05-0.0012323i,4.0089e-05-0.00029157i,0.00023962+0.00024448i,0.00060236-8.6602e-05i,0.0010298-0.00026086i,0.00090412-0.00033114i,0.000294-0.00014576i,0.00025864+0.00056972i
0.00033551-0.00054922i,-0.00036632-0.00088354i,-0.00067208-0.00086467i,-0.0014795+9.567e-05i,-0.001533+0.0013392i,-0.0012915+0.0014002i,-0.00084712+0.00064637i,-0.00014555+0.00074072i,-0.00041305+0.00020995i,-0.00058619-0.00036054i,-0.00029575-0.00014916i,4.6515e-05+0.00019831i,0.0005787+3.4892e-05i,0.0011595-0.00050002i,0.00099975-3.9987e-05i,-0.00033672+0.00056573i,-0.00048061-0.00011915i,-0.00015441-0.00052002i,-0.00033897-0.00065503i,4.1372e-05-0.00051665i,0.00033873-0.00026605i,0.0009649-5.697e-05i,0.0014462-0.00020341i
-0.00030806-0.0018474i,-0.00085072-0.0016838i,-0.0012268-0.0019848i,-0.0011601-0.0016204i,-0.0015093-0.001463i,-0.0013985-0.0018745i,-0.00051243-0.00081743i,0.00045974-0.00042849i,0.00099044-0.0006392i,0.00032106-0.00017944i,-0.00035295+5.0959e-05i,-0.00044792-3.9363e-05i,-5.3175e-05+3.3688e-05i,0.0010994-0.0009905i,0.0010206-0.0017146i,0.00018823-0.0012009i,0.00041516-0.00063741i,0.00035444-2.4086e-05i,-0.00041186-0.00018729i,-0.00049673-0.00016185i,-0.00033114-0.00014786i,0.00011989-0.00017524i,0.00044039+0.00066426i
0.00079111-0.00059207i,0.00073569+0.00017279i,0.00095932-1.7481e-05i,0.0007702+0.00035383i,0.00025416-0.00020144i,-0.00071083-0.00025657i,-0.001219-6.4845e-05i,-0.00011041-0.00011173i,0.00086904+4.2598e-05i,0.00084686+0.00072016i,-3.0553e-06+0.0011599i,-0.00086148+0.00062804i,-0.00058743-0.00011859i,8.0115e-05-6.4374e-05i,0.00030252-0.00029056i,7.5412e-05-0.00053645i,-0.00016469+6.8301e-05i,0.00012994+0.0005283i,0.0011611+0.00064848i,0.0015147+0.00061603i,0.0012562-0.0001191i,0.0010647-0.00024798i,0.00027835+0.00017685i
-0.0015737-0.0021379i,-0.0022326-0.00022375i,-0.0018906+0.00057103i,-0.0010954-0.00058975i,-0.00061947-0.00096365i,0.00029838-0.00020333i,0.00053228+0.00026218i,0.00012339+0.00056395i,0.00012027+0.00071753i,-0.0002337+3.7596e-05i,-0.00029384-0.00058307i,0.00010988+3.2486e-05i,-0.0003928+0.00062217i,-0.00083012+0.00086152i,-0.00032733+0.00019019i,0.00015458-0.00024095i,0.00031891+0.00031165i,0.00040175-0.00019227i,0.0011327-0.00060897i,0.0018727-8.0094e-06i,0.001563+0.00037815i,0.00041137+0.00023977i,7.375e-05+0.00026518i
0.00096577+0.0011143i,0.0015882+0.0017552i,0.0017621+0.00092838i,0.0022498-0.0003192i,0.0023619-0.00030195i,0.0013443+0.00016708i,0.00072671+0.0010975i,0.00023797+0.0016525i,7.7219e-05+0.00078872i,0.00071102-0.00016123i,0.0007786+7.5478e-05i,0.00047506+0.00023032i,0.0001869-0.0002516i,-0.00025258-0.00060379i,0.00010513-0.00068523i,0.00041103-0.00064989i,0.00027953-0.00035553i,0.00024415+0.00016702i,0.00011919-0.00049681i,-0.00014098-0.00085986i,-0.00024955+0.00011255i,5.695e-05+0.00057885i,0.00091+0.00089579i
