1.8501e-05-0.0010171i,-0.00059494-0.00070937i,-0.00076329+0.0010237i,-0.00053613+0.0013272i,-0.00024738+0.0017339i,-0.00039909+0.0016072i,-0.00038283+0.00077131i,0.00048884+0.0013331i,0.0013519+0.0011238i,0.0016933-0.00017154i,0.0010582-0.00077827i,-0.00021973-0.00072194i,-5.3654e-05-0.00037622i,0.00033724+0.00046238i,-0.00021884+0.00082714i,-0.00030905+0.00038246i,-0.00035194-0.00022426i,-0.00062974-0.00037307i,0.00039374-0.00012349i,0.00090368+0.00014126i,-0.00016605+0.00025146i,-0.0004283-0.00012235i,-0.00018744+1.0758e-05i
0.00011027-0.00090259i,-0.00057204-0.00053399i,-0.0023706+0.00094257i,-0.0020924+0.0024368i,-0.00034949+0.0035528i,-5.1032e-08+0.0036687i,-0.00054523+0.0013181i,-0.00064997-0.00044388i,-0.00025781-0.00064306i,0.00018416-0.00016399i,0.00065684+0.00052933i,0.00055436+0.00034152i,0.00077777-4.484e-06i,0.00062706+0.00031676i,-0.00035381+0.00077791i,-4.6764e-05+0.00054641i,0.0012716+0.00017283i,0.001168+6.2845e-05i,0.00043876+8.1637e-05i,0.00014108+0.00022325i,0.00017761+0.00028689i,0.00043402+8.0743e-05i,0.00024399-0.00033268i
0.00099151-0.00038842i,0.0009067-0.00093161i,0.00085178-0.001054i,0.001206-0.00072963i,0.00092129+0.0015394i,0.0012798+0.0031793i,0.0010556+0.0027925i,0.00028524+0.0014856i,8.4969e-05+0.00089964i,-1.4116e-06+0.0012844i,-0.00041844+0.00063972i,-0.00033962+9.4589e-05i,0.00019873+4.5222e-05i,-0.00015538+0.00029947i,-0.00054916+0.0010558i,-0.00012496+0.0014413i,-0.00018382+0.0012787i,-0.00051116+0.00088921i,-0.00026852+0.00051964i,-9.3081e-06+0.00023565i,-0.00040967+0.00017896i,-0.00049515+0.00033278i,3.6211e-05+0.00017629i
0.0032381-0.00052374i,0.0012171-0.0013742i,-0.00081612-0.0021769i,-0.001375-0.0012632i,-0.0010481+0.00083787i,0.0001922+0.0023714i,0.0012006+0.0024535i,0.0015024+0.0015235i,0.0013491+0.00071517i,0.0004689+0.00010457i,0.00033742-0.00053737i,0.0001517-0.00031161i,-0.00032565+6.6137e-05i,-0.00047021+0.00059305i,-0.00097217+0.0010004i,-0.00076633+0.00084517i,0.00012777+0.00086832i,0.0001549+0.0014804i,0.00018114+0.0016336i,-0.00027354+0.0005056i,-0.00069854-3.7321e-05i,-0.00065344+0.00014445i,0.00018495+0.00014132i
0.00019757+0.0016248i,6.7125e-05+0.00034882i,2.1093e-05+0.00024028i,0.00021727+8.759e-05i,0.00062452-8.6924e-05i,0.0011471+0.00039145i,0.00078246+0.00053435i,-0.00025443+0.00025501i,-0.00032041-0.00012185i,0.00059468-0.00047961i,0.00051006-0.00046958i,-3.7437e-05-9.3934e-05i,-0.00037528-3.2604e-05i,-0.00077914-0.00052549i,-0.00095351-0.0010189i,-0.00091757-0.00070024i,-0.00023352+0.00031306i,-0.00012105+0.00073596i,-0.00024678+0.00057649i,0.00037637+9.0928e-06i,0.00037069-0.00091585i,0.00027498-0.00073763i,0.00011322+6.7591e-05i
-0.00059848+0.0013424i,-0.00028775+0.0010153i,0.00068269+0.0013338i,0.0011878+0.00045843i,0.00046724-0.00040028i,-0.0012678+0.00029049i,-0.0015835+0.00013812i,-0.00090973-0.00024223i,-0.00053128+0.00036365i,0.00031019+0.00065567i,0.0012681+0.00026155i,0.00066643-8.5533e-05i,-0.00032012+0.00061068i,-0.00040071+0.00068571i,-0.00040119-8.2309e-05i,-0.0010942-0.00042082i,-0.00098522+6.2513e-06i,-0.00012803+0.00090734i,0.00029179+0.00036849i,0.00057944-0.00064387i,0.0001045-0.00084981i,-0.00051043-0.00052608i,-0.00040572+0.00087236i
0.0030778+0.00053949i,0.0034445+0.00016595i,0.0021425-0.00064582i,5.8381e-05-0.0010404i,-0.0012505-0.00021621i,-0.0016487+0.00079687i,-0.0011796+0.00056983i,-0.00063185+0.00044202i,-0.00035261+0.00080163i,0.00014646+0.0010662i,0.00093848+0.0011866i,0.0010734+0.00046103i,0.00067252-0.0005581i,0.00026869-7.968e-05i,-0.00064069+0.00091454i,-0.0010795+0.00093582i,-0.00093835+0.00072335i,-0.00072359+0.00062806i,-0.00042538+0.00027362i,-0.00041588+5.2085e-06i,-1.2045e-05-0.00023978i,0.00013638-0.0001608i,-3.1796e-06+0.00019156i
0.000144-0.0011223i,-0.00051599-0.001151i,-0.0009502-0.0006999i,-0.00059825+0.0005429i,-0.00021841+0.0025217i,-0.0004966+0.0025824i,-0.0011922+0.00187i,-0.00084963+0.0008195i,5.4133e-05-0.00020616i,2.1202e-05+0.00010603i,-0.0002781+0.00014369i,0.00012119-8.5046e-05i,0.00056454+1.2323e-05i,9.1763e-05+0.00044817i,-0.00070308+0.0008085i,-0.00045086+0.00030533i,6.1659e-05+0.00029198i,6.1698e-05+0.00070334i,0.000565+0.0010731i,0.000842+0.00087204i,0.00046467+0.00029337i,0.00036748-8.8149e-05i,-0.00017365+0.00022808i
-0.00054318+0.00013189i,-0.00098553+0.00021102i,-0.00031307+0.00051253i,0.00067949+0.00075446i,0.0016604+0.0021943i,0.0023181+0.0033179i,0.0016471+0.0027578i,0.00066273+0.0012636i,0.00043096-9.4875e-05i,0.00060947-0.00036664i,0.00045578-0.00033091i,-0.00025245-0.00057543i,-0.00045837-0.00045607i,0.00031829-2.3401e-05i,0.0006295+0.00049371i,0.00061888+0.00094393i,0.00087596+0.00089549i,0.00068811+0.00019956i,-0.00015677-0.00075875i,-0.00089885-0.00028189i,-0.00064805+0.00018075i,6.415e-05+0.00017766i,0.0004988+3.7672e-05i
0.0012281+4.9662e-05i,5.6925e-05-0.00072673i,-0.0010176-0.0010034i,-0.00018817-0.0011991i,0.0010942-0.00048813i,0.0013742+0.0014519i,0.0015324+0.0020971i,0.0019227+0.0014696i,0.00088401+0.00072459i,-0.00070949-0.00010944i,-0.0012029-0.00063029i,-0.00079657-0.00068287i,-0.0004016+0.00020063i,-0.000136+0.00043395i,-0.00027902+0.00025971i,3.3714e-05+0.00037862i,0.0003946+0.00033821i,-0.00038038+0.00012187i,-0.00061809+0.00016097i,0.00052562+0.00041523i,0.00061672+0.00029333i,-0.00085349+0.00043663i,-0.00046424+0.0002492i
-0.00043715+0.00096044i,-4.6446e-05+0.0015483i,0.0011072+0.0013343i,0.0009764+0.0013173i,-0.00029569+0.0002679i,-0.00070137-0.0006748i,-0.000197-0.001412i,0.00037372-0.0013579i,0.00063842+0.00029791i,0.00051653+0.00056672i,0.00025418-0.00013215i,0.00023777-0.00040703i,-0.00022259-0.00080109i,-0.00046483-0.00036712i,-0.00051535+0.00011031i,-0.00072895+9.0284e-05i,-0.00064567-0.00030983i,-0.00048759-0.00094575i,0.0002937-0.00092916i,0.00024436-0.00046572i,-0.00051764-0.00024431i,0.00020458-6.3132e-06i,0.0012601+0.00048096i
0.00078721+0.0029086i,0.00070101+0.0026556i,0.0020947+0.0023932i,0.0025852+0.0014359i,0.001333-0.00099238i,-0.00049195-0.0021114i,-0.0012695-0.0010783i,-0.0011398-0.00029234i,-0.00018966-0.00038193i,0.0012294-0.00060196i,0.0015503-0.00096291i,0.0010386-0.001109i,0.00043395-0.0001817i,-3.5857e-06+7.7023e-05i,-8.0055e-05-0.0001376i,-0.00022945-0.00042485i,-0.00025636-0.0011095i,0.00019556-0.00054211i,0.00084457+0.00047323i,0.0005574+0.00037756i,-3.2796e-05+0.00031644i,-0.00013164+0.00081752i,3.1159e-06+0.00071952i
-0.00073752+0.00013305i,-0.001886-0.00018081i,-0.0025893+0.00020723i,-0.0025326+0.0010199i,-0.001503+0.0018765i,-0.00084925+0.0028525i,-0.0010916+0.0022417i,-0.00098829+0.00083313i,-0.00043963+0.0002356i,0.0010479+1.2224e-05i,0.0020872+0.00049634i,0.0010207+0.00062546i,0.00020718+0.0001847i,0.00015146+0.00058561i,0.0004633+0.00032928i,-0.00018343+0.00054435i,-0.00086856+0.0013012i,-0.00077699+0.0012893i,-0.00034373+0.00080338i,0.00047698+0.0005661i,0.00033383+0.00098977i,-0.00027174+0.00087711i,-0.00045704+0.00026242i
0.0014953+0.00097465i,0.0019982-6.5623e-05i,0.0022097+0.00014518i,0.0018986+0.0014221i,0.0013164+0.0018373i,0.00031829+0.0020129i,-0.00039284+0.0019661i,-0.00046197+0.00094569i,-9.6471e-05+0.00016802i,-8.1157e-05-0.00014935i,6.7508e-05-0.0008735i,-0.00025906-0.00077196i,-0.0007773+2.5995e-05i,-0.0011274+0.00058463i,-0.00095039+0.0011033i,-0.0004375+0.0010647i,-0.00017269+0.00065877i,0.00019246+0.0010824i,7.8173e-05+0.0015743i,0.00022168+4.558e-05i,8.6508e-05-0.0013046i,-0.00054766-0.00051293i,-0.00071166-7.0022e-05i
-0.0023086+0.0022803i,-0.00088414+0.0031195i,0.00068618+0.0027576i,0.0020494+0.0015337i,0.0028348+0.0017639i,0.003129+0.0019522i,0.0022462+0.0012848i,0.00039919+0.00038233i,-0.00047548+0.00020386i,-0.0001236+0.00042294i,0.00077397+0.00034445i,0.00077142+0.00036198i,0.00037087-9.1864e-05i,0.00018339-0.00047433i,-0.00085871-0.0010662i,-0.0011034-0.0011206i,-0.001042-9.6255e-05i,-0.0011003+0.0010108i,-0.0003347+0.0012266i,5.4188e-05+0.00067546i,0.00066093-0.00010489i,0.00065618-0.00019694i,-0.00018882-0.00036472i
0.0013446-0.00010579i,0.0021907-0.0012339i,0.0017291-0.0018311i,-3.3959e-05-0.0015339i,-0.0012869-0.00070469i,-0.00054744-0.00024454i,2.4702e-05-0.00015231i,0.00012583-7.476e-05i,2.8658e-05+0.00016666i,0.00046412+0.00027459i,0.00062184+0.00016203i,0.00029149+0.00018628i,-0.00032354+0.00063572i,-0.00066918+0.0013744i,-7.4282e-05+0.001268i,1.5439e-05+0.00089119i,-0.00023218+0.00060179i,-0.00021086+0.00048331i,-0.0003931+0.00061374i,-0.0001174+9.6385e-05i,-0.00012585-0.00029056i,-0.00049709-0.00023829i,-8.6408e-05+0.00045705i
0.00056003+0.0006071i,0.00047533+0.00051575i,0.00055608+0.00088637i,0.00098803+0.00022339i,5.8595e-05-0.00044312i,-0.0012925-0.00084633i,-0.0011198-0.00085933i,-0.00048925-0.001426i,0.00042849-0.0014255i,0.0005793-0.00037595i,0.00062588-0.00041263i,0.00012151-0.00026936i,-0.00060564+0.0012274i,-0.00086029+0.0012119i,-0.00016183+0.00052208i,-8.1676e-05+0.00072393i,-0.00042365+0.00038912i,-0.00018286+0.0002021i,0.0003539+0.0004102i,-0.00030811+0.00011116i,-0.0013002-0.00041545i,-0.0011953-0.00064476i,-0.00059828-0.00066826i
-4.5576e-05+0.0016903i,-0.00050175+0.00079813i,-0.0012415+0.0013074i,-0.001074+0.0016659i,-0.0012303+0.0016103i,-0.0024355+0.0020304i,-0.0029976+0.0030364i,-0.0022554+0.0024437i,-0.0007078+0.0006742i,0.00092438-0.00017197i,0.0016504-0.0004007i,0.0014618-0.0004073i,0.00084954-0.00038758i,0.0002756-0.00036414i,-0.0007502-0.00013012i,-0.00094705+0.00063729i,-0.00014979+0.0010171i,-0.00039245+0.00061444i,-0.00011196-0.00020398i,0.00068049+0.00021804i,0.00061333+0.00073794i,0.00044196+0.00015506i,-0.00017331-0.00056272i
0.0014904-0.00078808i,0.001944-0.00034926i,0.0034101-0.00092519i,0.002288-0.00086681i,0.00095528+0.0010892i,0.00089668+0.003126i,0.00087225+0.0030756i,-0.00010085+0.0015796i,-0.00061167+0.00012486i,-0.00041314-0.00010729i,-0.00027355-4.6357e-05i,-0.00033495+0.00013363i,-0.0002906+0.00022276i,-0.00060437+0.00027382i,-0.00071582+0.00032284i,-0.00047642+0.000585i,-0.00037698+0.00036667i,-0.00026603+0.000162i,-0.00019627+1.1916e-05i,0.00050442-9.9881e-05i,0.00064213+0.00022839i,0.00049421-0.00021184i,0.00052501-0.00038641i
-0.00040716-0.00080428i,-0.0001776-0.00041964i,-0.00064017+0.00086489i,-0.0010694+0.0022161i,-5.3419e-05+0.0025427i,0.00078915+0.00207i,0.00086298+0.0014891i,0.00031137+0.0012857i,-0.00014585+0.0010121i,0.00043956+0.00012i,0.00066931-0.00085598i,0.0003883-0.00090424i,-0.00015704-0.00038538i,-5.6809e-05+0.00032325i,0.00046724+0.0008477i,0.00045399+0.00047299i,0.00058952-0.00059929i,0.00029012-0.00059091i,-0.0003194+1.6463e-05i,1.3887e-05+0.0004014i,4.64e-06+0.00046058i,-0.00061911+9.1475e-05i,-0.00046745+0.00031855i
0.0006916+0.0024616i,0.0020487+0.002541i,0.0024842+0.0016841i,0.0021383+0.0010724i,0.0014662+0.00028646i,0.00099794-3.4888e-05i,0.00065792+0.00042123i,0.0006917+0.00024272i,0.00027177+2.6538e-05i,1.9919e-06-0.00027693i,0.00051279-0.00053284i,0.00018892-0.00098995i,-0.00016346-0.00037169i,-0.00019238-4.0568e-05i,-0.00062989-0.00022677i,-0.00035169+0.00012413i,0.00041194-0.00024057i,0.00055152-3.0081e-05i,0.00035541+0.00074148i,0.00030106+0.00067505i,0.00035505-0.00011175i,0.00015241-0.00022218i,-0.00021862-0.00037145i
-0.00095027+0.0018306i,-0.0011047+0.0017551i,-0.0019859+0.0013263i,-0.0017283+0.00040231i,-0.00042826-5.0441e-05i,-0.0001812-2.6312e-06i,-0.00037604+0.00011948i,-0.0004866+4.0449e-05i,-0.00022712+0.00025719i,0.00014566+0.0011698i,0.00057836+0.00086794i,0.00045208-0.00022664i,0.00011972-2.8482e-05i,1.3158e-05+0.00027957i,-4.3951e-05-0.00033235i,0.00014391+1.6161e-05i,0.00026784+0.00029449i,0.00037602+7.3314e-05i,7.2292e-05-0.00049898i,1.7632e-05-0.00038932i,8.0333e-05+0.00033476i,-7.0405e-05+0.00088937i,-2.7855e-05+0.0008023i
0.00010647-0.00013083i,0.00064246-0.0003053i,0.0010706-1.4171e-05i,-6.7379e-05+0.0011642i,-0.0015629+0.0023408i,-0.0018163+0.002539i,-0.0015592+0.0015068i,-0.0011425+0.00033367i,-0.00067789-0.00048798i,-0.00018771-0.00022853i,-0.00016327-0.00074585i,-0.00064279-0.00085578i,-0.00034593-0.00083159i,0.00037695-0.0011283i,0.00069134-0.00038002i,-9.5805e-05-0.00055367i,-0.00086558-0.00037197i,-0.00073836+0.00047088i,0.00011193+0.00050658i,0.00030209-0.00037179i,3.8401e-05-3.662e-05i,0.00044615+0.00050638i,0.00028286-0.0003854i
0.0015618-6.7618e-05i,0.00056029-0.0014442i,-0.00021294-0.001917i,-0.0010575-0.00057315i,-0.0016399+0.00058081i,-0.0022265+0.0020144i,-0.0022178+0.0028487i,-0.0022513+0.001793i,-0.0011613+0.00074764i,8.0537e-05+0.00029402i,-0.00038307+0.00030888i,-0.00062682+0.00098254i,-0.00070449+0.00093622i,-0.00089477+0.0010384i,-0.00055513+0.0011799i,0.00011446+0.0010024i,5.0309e-05+0.00083733i,0.00051467-9.7883e-06i,0.0013073-0.00044496i,0.00086773-0.00036067i,-2.6434e-05-7.1105e-05i,-0.00050276-0.0004415i,-0.00036054-0.00085573i
-6.231e-05-0.0033209i,-0.00026243-0.0026695i,-0.00071139-0.00021465i,-0.0012795+0.00062653i,-0.00016914+0.0015004i,0.0013676+0.0032428i,0.0013042+0.0030713i,0.00029033+0.0019148i,-9.4943e-05+0.00096862i,0.00030694+0.00094515i,0.00039169+0.00085741i,0.00017585+5.5505e-05i,0.00033859+0.0001394i,0.00091332+0.001562i,0.00063133+0.0016752i,0.00015282+0.0009271i,0.00014099+0.00029781i,0.00021732-0.00048i,0.00032702-0.00065463i,0.00043651-0.00082037i,1.1949e-05-0.001038i,0.00024844-0.00058959i,0.00074845+0.00012897i
0.0011148-0.00025792i,0.0008885-9.3679e-05i,0.00079101-0.00064258i,0.0014015-0.0001058i,0.001188+0.00094584i,0.0017095+0.0017808i,0.0021849+0.0021265i,0.0020697+0.0012859i,0.0015378+0.0012363i,0.0011191+0.0011413i,0.0012662+0.0010799i,0.001156+0.00065719i,0.0011588+0.00017617i,0.0010436+0.00044275i,0.00024312+0.00045171i,-0.00022772+0.00026609i,0.00040972+0.00018634i,0.00032438+0.00057887i,-0.00070877+0.00095782i,-0.00074386+0.00051165i,-0.00039341-0.00034795i,-0.00027603-0.00097099i,-0.00039985-0.00049119i
-0.00040591+0.00067086i,-0.0018705+0.0011202i,-0.0022846+0.0016777i,-0.00097898+0.00095501i,0.0011198-0.00010943i,0.00109-0.0013698i,-0.00066796-0.0015277i,-0.0011079-0.0010232i,8.0189e-05-0.0010645i,0.00066401-0.00032752i,0.00048503+0.00021014i,0.00049435-0.0002512i,0.00033607-0.0006465i,0.00054236-0.00040829i,0.00038404+0.00030381i,-0.0006193+3.9028e-05i,-0.00083483-0.00052524i,-0.00030416+7.0635e-05i,0.00020709+0.0005638i,0.00016385+0.00035675i,-0.00044125-0.00012388i,-0.0011705-0.00030016i,-0.0011717-0.00024474i
0.001127+6.6146e-05i,0.00070346-0.00094216i,0.0017028-0.0016948i,0.00089098-0.0016199i,-0.0010832-0.0010621i,-0.0021801-0.00077574i,-0.0020966-0.00082398i,-0.0014656-0.0005856i,-0.00047318-0.00015021i,0.00099255-0.00067108i,0.00081354-0.0012333i,0.00017356-0.0013497i,0.00042386-0.00076171i,0.00022941-0.00016871i,-0.00019821-2.5782e-05i,-0.00039377+0.00029301i,-0.00016934+0.0005508i,-0.000349+0.0011416i,-0.00015099+0.00088003i,0.00058811+0.00013655i,0.00067053-0.00026003i,0.0010297-8.7234e-05i,0.0008939+0.00018396i
0.0016876-0.0020031i,-0.00014922-0.0021238i,-0.00093415-0.00046281i,-0.0020725+0.00072191i,-0.0027392+0.0011961i,-0.0024816+0.0021763i,-0.0023167+0.0028388i,-0.0022224+0.0022431i,-0.0018532+0.0010636i,-0.0011258+5.2432e-05i,-0.00043344-0.00027338i,-0.0004109-0.00021425i,0.00024979+0.00022302i,0.00022246+0.0011383i,-0.00096296+0.0011273i,-0.00055062+0.00022503i,0.00021545-0.00033325i,0.00024028+0.00025991i,7.8181e-05+0.00042109i,-0.00024175+3.4087e-05i,1.6288e-05-0.00011451i,0.00087925-0.00017493i,0.0014138-0.00040076i
0.0018665+0.00073322i,0.002455+0.0014197i,0.0023428-0.0001334i,0.00092079-0.00066426i,-0.0005637+0.0012911i,-0.00088172+0.0029135i,-0.00063653+0.0038659i,6.8212e-06+0.0039441i,0.00039081+0.0029332i,9.6023e-05+0.00093967i,0.00016327-0.00026639i,0.00050551-0.00050998i,0.00058792+0.00065638i,1.1006e-05+0.00087351i,-0.00088+0.00048819i,-0.0011833+0.0011768i,-0.0013225+0.0015442i,-0.0012059+0.001041i,-0.00074193+0.00017766i,-0.00059676-0.00050572i,-5.4501e-05-0.00033635i,0.00042547+0.00035606i,0.00043088+0.0002991i
-0.00065672+0.0002978i,-0.00015942-0.0005732i,-0.00051315-0.00097724i,0.0001753-0.0004103i,0.00064356+0.001421i,0.0010534+0.0027477i,0.0023776+0.0023528i,0.0029293+0.0013574i,0.0024371+0.0014518i,0.0017165+0.0010773i,0.00020389+0.00057284i,-0.00068087+0.00025751i,-0.00069395+0.00018572i,-0.00022474+0.00085331i,0.00087023+0.0017527i,0.0010026+0.0024005i,2.9886e-05+0.0006912i,-0.00037071-0.00040979i,0.00026093-7.4784e-05i,0.00023873+0.00022264i,-0.00012299-0.00028229i,-0.00019064-0.0003962i,0.00027522+0.00045141i
