-7.3284e-05-0.0003496i,0.00027399-0.00076315i,-0.00032464-0.0020356i,-0.0015562-0.0024651i,-0.0016403-0.0007323i,-0.0019669+0.0012411i,-0.00183+0.00074363i,-0.00055022+0.0010754i,0.00017287+0.0021502i,0.00081558+0.0011249i,0.0007264+3.2406e-05i,0.00017886-0.00029515i,5.0809e-05-0.00023123i,-0.00031531-1.0997e-05i,0.00033995-0.00015113i,0.0010377-0.00014904i,0.0007416+0.00048613i,0.00062316+0.00051033i,0.00097757+0.00011492i,0.0014938+0.00026652i,0.0014009+0.00013474i,0.00050953-3.4294e-05i,1.0505e-05-0.00036164i
0.00022442-2.9644e-05i,-0.0006209-0.00052621i,-0.0011403-0.00032246i,-0.0010153+5.3472e-05i,-0.00082997+0.00016902i,-0.00024282-0.00059042i,-0.00080616-0.0010153i,-0.0014507-5.0793e-05i,-0.00075647+0.00095842i,9.2368e-05+0.00084011i,0.00067441+0.00026654i,0.0002632-6.6903e-05i,1.2476e-05+0.00025086i,0.00057097+0.00022048i,0.00050278+0.00049997i,-5.723e-05+0.00086242i,-0.00057937+0.0011615i,-0.00020214+0.0016384i,0.00051122+0.0010826i,0.000901+1.1132e-05i,0.00054509-0.00076394i,0.0003529-0.00072086i,0.00021781+0.00015272i
-0.0021403-0.00040242i,-0.002386-0.00040376i,-0.0011308-8.7e-05i,9.3055e-06+0.00053024i,0.00066018+0.00023282i,0.00092395-0.00078564i,0.00044004-0.00085721i,0.00024288-2.3847e-05i,0.0006533+0.00075028i,0.00045776+0.00033809i,0.00034946+0.0001276i,0.00064054+0.00023929i,0.00097578-0.00057556i,0.0012969-0.00064953i,0.0012841+3.2444e-05i,0.0010517+0.00050645i,-8.1707e-05+0.00026932i,-0.000574+0.00027961i,-0.00014393+0.00014389i,-0.00016872-0.00036022i,9.9201e-05-0.00049205i,-5.2969e-05-2.2139e-06i,-0.00057172+0.00047494i
-0.0019811-0.00091351i,-0.0019565-0.001531i,-0.0016587-0.0020664i,-0.0013628-0.00055005i,-0.00092968+0.00070049i,-0.00042723-0.00027086i,-0.00040061-0.001008i,-0.0004735-0.00056364i,0.0005602+0.00042777i,0.0008215+0.0010285i,0.00056813+0.0011208i,-0.00012814+0.00046178i,-0.00053818+0.00037978i,-0.00045188+0.0004976i,-0.00026927+7.0351e-05i,0.00014492+0.0006744i,0.00052571+0.0011303i,0.00024803+0.00098942i,7.8011e-05+0.0006017i,0.00018507+7.2783e-06i,0.00057691-0.00023446i,0.00066278-7.4559e-05i,-0.00037676-0.00041324i
-0.0010602-0.0012857i,-0.0011526-0.00044368i,-0.0015917+0.0007962i,-0.00066641+0.0014964i,-0.00020674+0.0010498i,0.00017422+0.00025892i,0.00045445-0.00054132i,-0.00038974-0.00020565i,-0.00039724+0.0014557i,0.00037658+0.0018582i,0.0002286+0.00019529i,-0.00014939-0.00078858i,-0.0002678-0.00064522i,0.00048077+1.3931e-05i,0.00053348+0.0002277i,0.00015963-0.00038858i,0.0007042-0.00030376i,0.0011853+0.00085831i,0.0011958+0.0010917i,0.001077+0.0010713i,0.00029176+0.00063492i,0.00021534-0.00033207i,0.00088976-0.0011169i
-0.00026572-0.0030134i,-0.00032488-0.0017466i,-0.00036332-0.00071519i,-0.0001111-0.00033196i,-0.00029001+0.0005621i,-0.0011677+0.0010523i,-0.0010836+0.00059414i,-0.00082965+0.00036474i,-0.00064947+0.00052825i,-0.00056695-0.00013812i,-0.00045106-0.00069713i,0.00018082-6.2628e-05i,0.00031953+0.00048959i,0.00045526+0.00068182i,0.00061773+0.00085506i,0.00023733+0.00091178i,0.00065938+0.00055084i,0.0013391-0.00012986i,0.00092693-9.1084e-05i,0.0006081-0.0001254i,0.00051246-0.001232i,4.1001e-05-0.0012461i,-0.00017828-0.00091127i
-0.00042643+0.00021395i,-0.0010711-0.00060745i,-0.0017838-0.00095198i,-0.0020726+9.6942e-06i,-0.0014947+0.0010345i,-0.00093476+0.00070889i,-0.0014069-0.00032983i,-0.0015223-0.00031947i,-0.0011168+0.00032844i,-0.00051043+0.00043594i,0.00033998-7.4661e-05i,0.00036482-0.0006447i,-0.00015304-0.00010233i,4.158e-05+0.00042933i,0.00040199+0.00066432i,0.00031059+0.0010748i,0.0003803+0.0013468i,0.00036971+0.0013164i,0.00047111+0.00090841i,0.00030221+0.00048591i,0.00023759+0.00057522i,0.0007986+0.00015761i,0.00051468-0.00025876i
-0.00033593-0.00041537i,-0.0019139-6.5907e-05i,-0.0022924-0.00027642i,-0.0016636+0.00026089i,-0.00027461+0.00047654i,0.00054662+0.0004568i,0.00026997+0.00041314i,-0.00016057+0.00044959i,-0.00035426+0.00090081i,1.0126e-05+0.00041761i,0.00020202-0.00041859i,0.00037653-0.00015982i,0.001368+0.00025588i,0.0014805+0.00031795i,-6.5628e-07+0.0001094i,7.7849e-06-0.00036848i,0.00057863+0.00031514i,0.00036623+0.0011093i,4.3048e-05+0.00089957i,0.00011277+0.00080831i,-1.9566e-05+0.00067455i,-9.5193e-05-6.6468e-06i,0.00027007+7.2084e-05i
-9.4794e-05-0.0021871i,-0.00026406-0.0017311i,0.00050582-0.0015422i,0.00073335-0.00066405i,-1.5066e-05-6.5459e-05i,-8.1137e-05-0.00063295i,-0.00022424-5.0321e-06i,-0.00039435+0.00097325i,-0.0001066+0.0015913i,6.0049e-05+0.00093737i,-0.00013439+0.00043014i,7.9919e-05+0.00034702i,0.0011581+1.7239e-05i,0.0013751-6.8005e-05i,8.2279e-05+3.3641e-05i,-0.00044251+0.00037147i,-6.3002e-05+0.00062097i,-0.00047486+0.0011679i,-0.00076246+0.0011582i,-9.0464e-06+0.00028195i,0.00031194-0.00024971i,-9.2542e-05-0.00034513i,-0.00093021-0.00040579i
-0.0012962-0.00054834i,-0.0020075-0.0013096i,-0.001747-0.00090337i,-0.0013103+0.0001936i,-0.00027488+0.0006829i,0.0009036+0.0006561i,0.00026899+0.00060402i,-0.00065136+0.0011144i,-0.00064489+0.00098644i,0.00039799+0.00034268i,0.00046006+0.00031091i,-0.00050222+0.00064376i,-0.00063592+0.00051556i,-0.00020382-2.7213e-05i,1.4548e-05+3.0565e-05i,0.00073486-6.6052e-05i,0.0010032-0.00046277i,0.00028752-0.00067092i,0.00030925-0.00060869i,0.00089203-0.00036185i,0.00094188-0.00019604i,0.00050855+9.6407e-07i,-0.00010445-0.000874i
0.00088855-0.0013655i,-0.00035165-0.00086879i,-0.0015522-0.00042793i,-0.0017858-1.9411e-05i,-0.0013864+0.00051456i,-0.00085757+0.00068778i,-2.725e-05+0.00051901i,0.00012114+0.00075856i,-0.00061529+0.00033844i,0.00039062-0.0002363i,0.0010183+0.00025567i,6.5839e-05+0.0001769i,-6.3258e-05-0.00023745i,-0.00029748+0.00012144i,-0.00078141+0.00033076i,-0.00031454+0.00011073i,6.5367e-05+0.00030429i,-0.000123+0.00045153i,-0.00039115-0.00013436i,-5.5138e-05-0.0002446i,0.0010248-0.00059452i,0.00070943-0.00063321i,-0.00055859-0.00020909i
