-7.3284e-05-0.0003496i,0.00027399-0.00076315i,-0.00032464-0.0020356i,-0.0015562-0.0024651i,-0.0016403-0.0007323i,-0.0019669+0.0012411i,-0.00183+0.00074363i,-0.00055022+0.0010754i,0.00017287+0.0021502i,0.00081558+0.0011249i,0.0007264+3.2406e-05i,0.00017886-0.00029515i,5.0809e-05-0.00023123i,-0.00031531-1.0997e-05i,0.00033995-0.00015113i,0.0010377-0.00014904i,0.0007416+0.00048613i,0.00062316+0.00051033i,0.00097757+0.00011492i,0.0014938+0.00026652i,0.0014009+0.00013474i,0.00050953-3.4294e-05i,1.0505e-05-0.00036164i
-0.00089287-0.0024921i,-0.0014921-0.0023594i,-0.0015558-0.0011012i,-0.0015315-0.00022339i,-0.00054931-0.00036271i,0.00048007-0.00020663i,-0.00025109+0.00081317i,-0.0014336+0.0017199i,-0.001913+0.0015314i,-0.00075505+0.00094232i,0.00080268+0.00064034i,0.00090146+0.00056683i,0.00084489+0.00055119i,0.000782+0.00013849i,-0.00015387-0.00034055i,-0.00041955+0.00025875i,-0.00022397+0.0010342i,-0.00015426+0.0015738i,1.0228e-05+0.001201i,0.00050367+0.00020006i,0.00037952-0.00068886i,-0.00027296-0.0012853i,-0.00040361-0.0013199i
0.0006177-0.0010051i,0.00065457-0.0016711i,0.0014433-0.0028583i,0.001394-0.0024514i,0.00038626-0.0018212i,8.2053e-05-0.0003229i,0.00012281+0.0011278i,-0.00026878+0.0015795i,-0.00022811+0.0015956i,0.00029198+0.0012384i,0.00032568+0.0011218i,9.8597e-05+0.00060283i,-0.00033096+0.00077834i,0.00011006+0.00064555i,0.00037029-0.0002819i,0.00031434+0.00034245i,0.00015279+0.0012371i,0.00032077+0.00082433i,0.0002486+0.00069989i,-0.00021211+0.00036189i,-7.6799e-05-0.00026035i,2.3782e-06-0.0002692i,-0.00033604+0.00032392i
-0.00062267+0.00031471i,-0.00067967-0.00067099i,-6.0738e-05-0.00091556i,-0.00018956+3.9179e-05i,-0.00043479+0.00043405i,0.00026082+0.0001171i,0.00067972-0.00015518i,-0.0002363+0.0010588i,-0.00047701+0.0020821i,0.00049884+0.0018348i,0.00098909+0.00098215i,0.00085728+0.00013406i,0.00042767-0.00044494i,-0.00076037-0.00054444i,-0.00092636+0.00019989i,0.00037104+0.0001666i,0.00068012+0.0001912i,-6.8305e-05+0.00031504i,0.0001714-0.00026657i,0.0011406+0.00052149i,0.0016801+0.0013399i,0.0014017+0.00057094i,0.00045098+0.00024135i
-0.00029141-0.0017319i,-0.0013307-0.0016901i,-0.0017699-0.0010149i,-0.0018345+0.00050118i,-0.0011292+0.001254i,-0.00063252+0.00099276i,-0.00068385+0.00034133i,-0.00021019+8.961e-05i,-9.5525e-05+0.0002893i,0.00015926-0.0001942i,0.00026087+5.9332e-05i,-0.00012929+8.9772e-05i,-0.0001954-0.0001215i,-0.00024241-9.3584e-05i,-4.5162e-05+0.00071921i,0.00042185+0.0015352i,0.00061539+0.00082842i,0.00052528+0.00032865i,0.00068643+0.00061853i,0.00064963+0.00071582i,0.00068308+0.00022327i,0.00062931+0.00053707i,-4.3226e-05-3.5257e-07i
-0.0012268+0.00017051i,-0.0014608-0.00085473i,-0.00064213-0.00077008i,0.00038196-0.00038295i,0.00041666-0.00059205i,4.5719e-06-0.00082553i,-0.00028711-0.000281i,-0.00086203-0.00040733i,-0.0017955-0.00024346i,-0.0012083+0.00047142i,-0.0001934+0.00047496i,0.00028576+0.00074179i,0.00089932+0.0010412i,0.0010245+0.0012654i,0.00037728+0.00087299i,-7.3069e-05+0.00069264i,-0.00063863+0.001304i,-0.00028223+0.00091625i,0.00051943+0.0001772i,0.00040275+0.00018812i,0.00039904+0.0001493i,-2.8086e-05-0.00041293i,-0.00047899-0.00031398i
0.00073425-0.0017722i,6.8584e-06-0.00098325i,-0.00082051-0.00096976i,-0.0019456-0.0010698i,-0.0016599-0.00021189i,-0.00035678+0.00022217i,-0.00044515-0.00038839i,-0.0010078-0.00037867i,-0.0016291+0.00099755i,-0.0016465+0.0011314i,-0.00047819+0.0006512i,0.00072749+0.00053958i,0.00089162+0.0009206i,3.5111e-05+0.00077318i,-5.6521e-05+3.3092e-05i,0.00065272+4.7375e-07i,0.00041428+0.00083785i,-0.00034168+0.0017784i,-0.00021683+0.00099677i,0.00046308-2.6914e-05i,0.00030202+0.00049189i,-0.00063237+0.00027438i,-0.00060707-0.00070344i
0.00061457-0.0018143i,0.00049397-0.0022509i,0.0013232-0.0033052i,0.00074998-0.003034i,-0.0006255-0.00097556i,-0.001096-3.4212e-05i,-0.001629-0.00012918i,-0.0015391+0.0007834i,-0.00065088+0.0025775i,0.00040514+0.002534i,0.00083578+0.0019749i,0.00020794+0.0012281i,-0.00058615+0.00068205i,-0.00016794+0.00059744i,0.00057376+0.00056601i,0.00021758+0.00077989i,0.00017785+0.0008673i,2.8555e-05+0.00047053i,-0.00044714+8.3827e-05i,-1.581e-05+0.0005561i,0.00019796+7.9053e-05i,-0.00015041-0.00066067i,-0.00063036-0.00052076i
-0.00037629-0.0017938i,-0.00027845-0.0019704i,-0.00088831-0.0021789i,-0.0012913-0.00085262i,-0.001142+0.0012623i,0.00047281+0.0020066i,0.00066453+0.0006121i,-0.00034376-0.00067291i,-0.00015473-0.00046796i,0.00032925+0.00050059i,0.00088633+0.00079188i,0.0012689+0.00053031i,0.00050384+0.00020265i,-0.00033199+0.00048208i,-0.00095538+0.00097113i,-0.00055515+0.0012101i,0.00025565+0.001399i,0.00065123+0.0019147i,0.00056598+0.0014524i,0.0011313+0.00045456i,0.00087575+3.2982e-05i,-6.6066e-05-0.00017608i,-0.00053695-0.00014768i
-0.0011876-0.00039441i,-0.0012056-9.0513e-05i,-0.0010666+0.0010479i,-0.00018198+0.0013586i,0.00044491+0.00080659i,0.00028358+0.00076508i,1.0844e-05+0.00076063i,-0.00094776+0.00050267i,-0.0020506+0.00046932i,-0.001699+0.0006918i,-0.00031394+0.00035592i,0.00045469-0.00032693i,0.00053395-0.0002016i,0.00031639+0.00043359i,0.0001004+0.0011863i,0.00024633+0.00072242i,0.00052356+0.00063554i,0.00075687+0.00099606i,0.00062205-6.1614e-05i,0.00023006+0.00013726i,8.2891e-05+0.00041875i,0.00043547-0.00034633i,0.00066349-0.00055186i
-0.00039597-0.0009992i,-0.00011962-0.0016954i,-8.7119e-05-0.0010887i,-0.00040108-0.00059231i,-0.00092232-0.0007584i,-0.001252-0.0010606i,-0.00076069-0.0010269i,-0.0014613+0.00011746i,-0.0019677+0.0014416i,-0.00072051+0.0013623i,-0.00020224+0.00079335i,-0.00048672+0.00013219i,-9.8444e-06-0.00038815i,-0.00011528+0.00015717i,-0.00058552+0.00093615i,1.9248e-05+0.00057636i,0.0007063-2.1907e-05i,0.00076044+0.0005423i,-3.0442e-05+0.00034476i,-0.00012149-0.0010646i,0.0010769-0.0016597i,0.0014373-0.00066225i,0.00067971+0.00032232i
-0.00079376-0.00051642i,-0.0011932-0.0011311i,-0.00088135-0.00073457i,-3.0399e-05-0.00040235i,0.0013777+0.00022305i,0.0012867+0.0012485i,-0.00049066+0.001367i,-0.0012088+0.0012591i,-0.0014028+0.001203i,-0.0010409+0.0011731i,-0.00059005+0.0014352i,-0.00057909+0.0012416i,-0.00064201+0.00079794i,-0.0010201+0.00071919i,-0.00012237+0.00062963i,0.00086118+0.00073657i,0.00035995+0.00069219i,-0.00030275+0.00017351i,-0.0009719-0.00035315i,-0.00083701-0.00032661i,-0.00039705-0.00033679i,0.00058891-0.00054447i,0.00080773-0.00037742i
-0.00031925-0.0011661i,-0.0013845-0.0030288i,-0.0017097-0.0024066i,-0.0025623-0.0009473i,-0.0029675-0.00061236i,-0.0016263-0.00013812i,-0.00098867+0.00042266i,-0.00089256+0.00040193i,-0.00048831+0.00083381i,0.00041153+0.0017969i,0.0010873+0.0021587i,0.00076507+0.0019881i,0.00049479+0.0013097i,0.00064945+0.00023133i,0.00029498-0.00025711i,-0.00027993+0.00038238i,-0.00017993+0.0011951i,0.00032104+0.00067501i,0.00020341+6.7798e-05i,0.00026132-2.7611e-05i,0.00044919+0.00027014i,-0.00051105+7.9396e-05i,-0.00037549-0.00023984i
-0.0010626-0.00045368i,-0.0012921-0.002289i,-0.00083282-0.0026214i,-0.00096239-0.00067786i,-0.0005825+0.0011826i,4.997e-05+0.00039i,0.00021857-0.00081704i,-6.7525e-05-0.00081604i,-3.0532e-05-0.00011656i,0.00056325+0.000474i,0.0010778+0.00034668i,0.0013918-7.0288e-05i,0.00051785-2.1019e-05i,-4.4723e-05-0.00015688i,0.00032329+0.00022891i,0.00010217+0.0010545i,-0.00044411+0.00064466i,-0.00045227+0.00020604i,-0.00074206+0.00064594i,-0.00078754+0.00099149i,-6.336e-05+0.00027022i,0.0005426-0.00030514i,0.0010048-0.00057794i
0.00010868-0.00085437i,0.00040365-0.0013754i,0.00050195-0.00178i,0.00079977-0.00076569i,-0.0001537+0.00031577i,-0.0011642-0.00027652i,-0.0011223-0.00089231i,-0.0011925-0.00070592i,-0.00094475-5.3697e-05i,5.5363e-05+8.219e-05i,0.00027915-0.00041966i,0.0005975-0.00048722i,0.0010265-8.8653e-05i,0.00056477+0.000152i,-4.0057e-05+0.00057714i,-0.00050602+0.00065753i,-0.0005118+0.0011064i,-0.00021547+0.0010425i,-0.00012123-0.0002492i,0.00018401-0.00021368i,0.00024126+0.00050225i,-7.4674e-05+0.00035004i,5.2372e-05+0.00011358i
-0.0022091-0.0023747i,-0.0015615-0.0017182i,-0.00091725-0.00021059i,-0.00061837+0.00046404i,-0.00029398+0.001298i,0.0015425+0.0011861i,0.002197+0.00056038i,0.00062764+0.00053131i,-0.00056875+0.00092632i,-0.00071183+0.00060128i,-0.00054343-0.00048462i,-0.00057612-0.0010771i,-0.00011558-0.00036347i,0.00039734+0.00073591i,0.00016184+0.00052302i,-0.00015897+0.0003256i,4.5307e-05+0.00069985i,-0.00042324+0.0010084i,-0.0002429+0.0007581i,0.00068791+0.00026062i,0.0006712-0.00028908i,0.00036312+6.1569e-05i,0.00010326+0.00068313i
-0.0012734-0.0026074i,-0.0010335-0.0034874i,-0.0011502-0.0024722i,-0.00072482-0.001011i,0.00050112+6.9444e-05i,0.0012499+0.00074175i,0.0013646+0.00087585i,0.00053125+0.00058613i,-0.00048931+0.0016941i,-0.00078934+0.0024948i,-0.0008938+0.0017436i,-0.0008695+0.0013111i,-0.00046661+0.00083717i,0.00036829+0.00022087i,0.00023976+0.0001868i,-0.00040264+0.0005536i,-0.00042096+4.099e-05i,-7.7963e-05-0.0006003i,4.7875e-06-0.00010002i,0.00025935+0.00023251i,9.6619e-05+0.00025258i,-0.00018033-0.0004291i,0.00034041-0.0012378i
-0.0014427-0.0018657i,-0.0018577-0.002371i,-0.0028423-0.001657i,-0.0023865-0.0001695i,-0.001126+0.0010545i,-0.00060163+0.0010003i,-0.00077958+0.00052076i,-0.0016328-0.00018528i,-0.0011599-9.62e-05i,0.00032248+0.00070703i,0.0010116+0.0012659i,0.0011939+0.0012315i,0.00043532+0.00061081i,-0.00065918+0.00062871i,-0.001278+0.00096322i,-0.00079173+0.00096206i,3.4161e-05+0.0011401i,-4.6547e-05+0.00092268i,-0.00057687+0.00079123i,-0.00053985+0.00049961i,0.00038128+0.00083241i,0.00022651+0.00092751i,0.00018052+0.00065247i
-0.0011217-0.0023692i,-0.0010368-0.0035341i,-0.00053185-0.0018935i,-0.00061341-0.00068938i,-0.00033008+0.00010528i,-0.00078752+0.00046328i,-0.0016548-0.00033183i,-0.0022099-0.00088647i,-0.0018257-0.00090503i,-0.00060502-0.00076614i,0.00032311-0.00076557i,0.00091758-0.00045603i,0.00068847+0.00021843i,0.00039902+0.0011297i,-0.00018386+0.0016787i,-0.0012618+0.0010975i,-0.0010682+0.00047946i,-0.00034792+0.00012358i,0.00028139+0.00040043i,0.00035585+0.00072428i,-0.00029643-0.00020943i,-0.00038489-0.00031357i,0.00027822+0.00021131i
-0.00021091-0.0005139i,-0.00056556-0.0017624i,-0.0011481-0.0015943i,-0.00065771-0.00057054i,8.8395e-05+0.00068991i,0.00020326+0.00047047i,-0.00073714-0.00037026i,-0.0019711+3.1765e-05i,-0.0020058+0.0010579i,-0.0013393+0.0014282i,2.9743e-05+0.00067996i,0.0010658-0.00026995i,2.4107e-05-0.00050701i,-0.00035561+8.6318e-05i,-0.00017899+0.00057525i,-0.00077649+0.00063423i,-0.00057007+0.00036698i,1.7922e-05+0.00038845i,0.00010937+0.00053905i,-0.00023254+2.4973e-05i,-0.0004781+8.024e-06i,0.00016093+0.00069526i,0.00032082+0.00089868i
-0.0010575-0.0016852i,-0.0007524-0.0034999i,-0.00020957-0.0026971i,-0.00052879+9.9919e-05i,-0.00025228+0.0015572i,7.2966e-05+0.00028888i,-0.00047267-0.00078236i,-0.00082868-0.00018747i,-0.00066524+0.0011406i,-0.00069515+0.0015151i,-0.00088539+0.00077899i,-0.00083623-0.0001116i,-0.00023908-0.00029607i,2.9102e-05+0.00039286i,0.00041454+0.0012385i,0.00066576+0.0011227i,-3.2516e-05+0.00097589i,-0.0011845+0.0012653i,-0.0011128+0.0001495i,0.00034859-0.00027706i,0.00097096-0.00015545i,0.0002216-0.00056756i,-0.00022836-0.00037944i
-0.002049-0.0018895i,-0.0021429-0.0033024i,-0.0025539-0.0022425i,-0.0021464-0.00079247i,-0.0010395-0.0004783i,9.2068e-05+0.00020037i,0.00044887+0.00011625i,-7.7911e-05-0.00057027i,9.7546e-05+0.00034749i,0.0014284+0.0017804i,0.001598+0.0017937i,0.0010751+0.0012874i,0.00084502+0.00058304i,0.00062455-6.7021e-05i,0.00038891+0.00036142i,5.4354e-05+0.0011784i,0.00062963+0.0010942i,0.0012377+0.00099563i,0.0011629+0.0007752i,0.00061884+0.00051582i,-0.00044136+0.00016082i,0.00062083-5.206e-05i,0.0016105+0.00032848i
-0.0018566-0.0034397i,-0.0013106-0.0036575i,-0.0017023-0.0025593i,-0.00049766-0.00052199i,0.00062309+0.00099398i,0.00072038-0.00011696i,-0.00023079-0.0011937i,-0.0015158-0.0015581i,-0.0009568-0.0012936i,0.0015992+0.00032475i,0.0025246+0.0010613i,0.0024823+0.00032187i,0.0019273+5.6035e-06i,0.00067248+0.00013771i,8.5893e-05-3.9171e-05i,0.0001578+0.00022184i,0.00066491+0.001265i,0.00059319+0.001356i,0.00053713+0.00063427i,0.00088664+0.00013936i,0.0009776-0.00049719i,0.00031264-0.00077765i,-0.00040813-0.0011594i
-0.00048498-0.0026897i,-0.00044305-0.0030074i,-0.0011328-0.001997i,-0.0016863-0.000526i,-0.0012214+0.0010402i,-0.0005629+0.00087535i,-0.00068793-0.00027233i,-0.002037-0.00068994i,-0.0019757-0.00082795i,-8.8695e-05-0.0011005i,0.0017086-0.0011174i,0.0021402-0.00033148i,0.0010058+0.00050962i,-0.00023399+0.00093707i,-0.00056843+0.00096299i,-0.00025818+0.00080254i,6.7072e-05-0.00013433i,7.44e-05+0.00015741i,7.6912e-05+0.00085449i,0.00018837+0.0003991i,-5.6641e-06+0.00012718i,7.0902e-05+0.0001745i,-0.00034225+0.00016015i
-0.00032011-0.00071172i,-0.0014029-0.0016183i,-0.0012277-0.0021918i,-0.00094031-0.0014633i,-0.00036527-0.00012767i,0.00058092+0.00024975i,0.0004621-0.00017632i,-0.00087136+0.00022736i,-0.0021705+0.001774i,-0.0023465+0.0021604i,-0.0007799+0.0007237i,-1.2146e-05-0.00029744i,-0.00062742+0.00030296i,-0.00034134+0.001591i,0.00020896+0.001934i,4.3823e-05+0.0014269i,0.00010306+0.0012527i,0.00042416+0.0010975i,0.00052954+0.00016i,0.00032881-0.00019421i,0.00045628+0.00033616i,0.00073836+4.4176e-05i,0.00075664-0.00081159i
-0.0023656-0.0023613i,-0.0025536-0.002289i,-0.0031523-0.00131i,-0.0019729+0.0001797i,-2.4817e-05+0.00059903i,0.0004889+0.00019956i,3.5678e-05-0.00014104i,-0.00022903+0.00053828i,-0.00014693+0.0025062i,0.00028515+0.0039146i,8.4749e-05+0.0031104i,-0.00031236+0.001885i,-0.00059325+0.0017009i,-0.0011185+0.0014295i,-0.00062016+0.0010515i,-0.00054325+0.00076372i,-0.00062707+0.00052577i,-0.00013115+0.00079953i,0.00037107+0.0010831i,0.00047527+0.00095486i,4.2981e-05+0.00031355i,9.3656e-05-0.00014932i,-0.00046058-0.00065835i
6.1555e-05-0.00092216i,-0.00024761-0.0019798i,-0.0013945-0.0015262i,-0.0026891-0.0002801i,-0.0018819+0.00085819i,3.5004e-05+0.00076951i,0.00037591+7.422e-05i,0.0002661-6.6395e-05i,0.00065197+0.00049189i,0.0012914+0.0013608i,0.001481+0.0022409i,0.0011733+0.0026259i,0.0006056+0.0019356i,0.0003434+0.0012099i,0.00028026+0.0005094i,-6.0934e-05+0.00022563i,-0.00022293+0.00031696i,-0.00061678+0.00035255i,-5.6877e-05-0.00018854i,0.00075382-0.00070534i,0.00090713-0.00037405i,0.0015103-0.00042861i,0.0017273-0.0005592i
0.00047739-0.002855i,-0.00052276-0.0026088i,-0.0007462-0.0032288i,-0.0014049-0.0026968i,-0.0022761+9.537e-05i,-0.0017318+0.0012347i,-0.00076997-0.00053001i,-0.0010457-0.0019619i,-0.001206-0.0018845i,0.00010546-0.00079588i,0.0013111-0.00056502i,0.001638-0.00051665i,0.0015564-0.00020297i,0.00099053+0.00021187i,0.00028428+0.0004305i,-0.00061623+0.00019055i,-0.00075804+0.00027506i,2.3576e-05+0.00056222i,-4.9742e-05+0.00053044i,-8.6196e-05+0.00038324i,0.00012932-0.0001349i,0.00086181-0.00043375i,0.00095866-0.00047395i
3.9202e-05-0.0022489i,7.9011e-05-0.0025694i,0.0006155-0.0017002i,0.00021606-0.0005354i,-0.00016592+0.00022692i,0.00027467+0.00039086i,-0.0005782+0.00069208i,-0.0024783+0.00010929i,-0.0032229-0.00085263i,-0.0016363-0.000905i,-0.00014101-0.00092207i,0.00034693-0.0011394i,0.00064956-0.00079626i,0.00070449-4.3058e-05i,0.00047071+0.0006919i,5.0782e-05+0.0012027i,0.00012003+0.00094603i,8.6552e-05+0.001091i,-0.00059248+0.00065459i,-0.00046174+0.00012727i,-0.00024981-2.0391e-05i,0.00024938+1.0711e-05i,0.00044843+0.00063992i
0.00067737-0.0013055i,0.00012569-0.0021196i,-3.699e-05-0.0025046i,-0.0003475-0.0015753i,0.00029064-0.0005461i,0.00085081-0.00024119i,-0.00019413-4.6153e-05i,-0.0017469+0.0018495i,-0.0024445+0.0035327i,-0.0021465+0.0025531i,-0.0013242+0.00012309i,-0.00063515-0.00082774i,0.00068239-0.00029447i,0.00093646-3.9131e-05i,0.00010699+0.00049622i,-0.00083955+0.00096091i,-0.00070125+0.00046444i,-0.00036135+2.0793e-05i,-0.00018439-0.00010234i,0.00015943-0.00024441i,0.00018804-0.00025327i,-0.00010316-4.4618e-05i,-0.00079986+0.00030015i
-0.0008272-0.0024251i,-0.00080669-0.0036545i,-0.00062731-0.002639i,-0.0010309-0.0012273i,-3.491e-06-0.00053937i,0.0014181-0.00050731i,0.00041299-0.00067583i,-0.00037719+0.00046955i,0.00061673+0.0027609i,0.0012888+0.0039452i,0.0010261+0.0035488i,-6.7701e-06+0.0022539i,-0.00087048+0.00091604i,-0.0015771+0.00066831i,-0.0015692+0.00093518i,-0.0011648+0.0012954i,-0.00074372+0.0014676i,-0.00088545+0.0013229i,-0.00066735+0.00077894i,0.00039703+0.00017012i,0.0008905+8.7383e-05i,0.00041665-4.4079e-05i,8.6474e-05+0.00018211i
-0.00043438-0.00085879i,-0.0010075-0.0010875i,-0.0006728-0.00015844i,0.00025631+0.00091683i,0.0007039+0.00051331i,0.00042998-0.00044328i,0.00025718-0.00083165i,0.00062007-0.00046239i,0.0021934+0.00023852i,0.0038172+0.00059473i,0.002444+0.0012388i,0.0012129+0.0017726i,0.0012634+0.0016955i,0.00015942+0.0017824i,-0.00075712+0.002061i,-0.00090263+0.0017946i,-0.00072302+0.0012555i,0.00057061+0.00058818i,0.0014929+0.00047001i,0.00094602-0.00015219i,0.0007878-0.000412i,0.00072545+0.00014058i,0.00046604-0.00033241i
-0.001971-0.0018866i,-0.0011004-0.0024173i,-0.00038774-0.0032163i,-0.00018743-0.0017985i,-0.00034051+0.00037128i,-0.00029587+0.00095155i,-0.00097267-2.2278e-05i,-0.0013249-0.0023488i,-0.00045772-0.0029562i,0.00074481-0.002304i,0.0010477-0.00062009i,0.00085798+0.0012858i,0.0011861+0.0011457i,0.00091302+0.00088693i,-0.00039941+0.0013855i,-0.00021811+0.00063276i,0.00064437+2.6022e-05i,0.00060114+0.00047391i,0.00073464+0.00013577i,0.0011851+0.00033625i,0.00037473+0.00064205i,-2.7116e-05+5.8291e-05i,0.00038548-0.00054356i
0.00025252-0.0014219i,-0.00077219-0.0014033i,-0.00046172-0.0014907i,-0.0005935-0.0011486i,-0.001208-0.00054328i,-0.00025357+0.00013168i,-9.2124e-05+2.8088e-05i,-0.0021183-0.00031256i,-0.0040648-0.00039365i,-0.0042952-0.00053033i,-0.0029349-0.00090121i,-0.00020653-0.001189i,0.0013319-0.0010634i,0.00091931-0.0013327i,0.00065329-0.00057895i,0.00037969+0.00088881i,-0.00020416+0.0017013i,-0.00033794+0.001674i,0.00017099+0.00035061i,-8.0667e-05-0.00049182i,0.00011308-0.00034467i,0.00075468-0.00024566i,0.0011265+0.00030351i
-0.0013798-0.0022179i,-0.0015091-0.0026168i,-0.00085685-0.0019099i,-0.0007902-0.0012939i,-0.00023435-0.0014526i,0.00049728-0.0010288i,-0.00014025+3.9884e-05i,-0.0020935+0.001828i,-0.0017669+0.0035225i,-0.00054954+0.0038201i,-4.4199e-05+0.0023022i,-0.00023676-0.00012336i,-0.0010342-0.0015116i,-0.0016531-0.0018141i,-0.00142-0.0005583i,-0.00049641+0.001452i,-0.0002986+0.001634i,-0.00044657+0.0009668i,-0.00023899+0.00072586i,0.00019447+0.0003172i,0.00039601+5.3372e-05i,9.2273e-05-0.00067288i,-0.00064788-0.00089964i
-0.00089718-0.0019772i,-0.0010004-0.0034279i,-0.0010272-0.003955i,-0.0008675-0.0022967i,-0.00023684-0.00082735i,0.00070458-0.00031047i,0.0010151+0.00023252i,0.00085014+0.0011005i,0.001052+0.0026345i,0.0012279+0.0027054i,0.0010105+0.0010665i,0.00023534-0.00036029i,-0.00028154-0.00025398i,-0.00099399+0.00034759i,-0.0015433+0.00079853i,-0.00064913+0.00095852i,-0.00037677+0.0009119i,-2.9615e-05+0.0010096i,0.00065178+0.0010175i,0.00062401+2.9896e-05i,0.00039231-0.0005955i,0.00065886-0.0007263i,0.0010628-0.00060712i
-0.0027262-0.003074i,-0.0012466-0.0032135i,-5.3061e-05-0.0013505i,0.0003007+0.00026648i,8.5005e-05+0.0012459i,0.00049514+0.00043327i,0.0011845-0.0019374i,0.0016958-0.0028226i,0.0022774-0.0018755i,0.0029338-0.0007241i,0.0027595+0.00031596i,0.0013268+0.001006i,-0.00055453+0.0010919i,-0.0011011+0.00075049i,-0.00050137+0.001056i,0.00021213+0.00080406i,0.00050346+0.00084582i,0.0012779+0.001541i,0.0010318+0.00096007i,0.0003447-0.00028117i,0.00019009-0.0012382i,2.6766e-06-0.0008052i,-9.9924e-05+0.00015603i
-0.00097866-0.0018787i,-0.0011772-0.0010334i,-0.0018695-0.0010735i,-0.0016879+3.9272e-05i,-0.00050991+0.00051103i,-0.00069946-0.00080399i,-0.0005918-0.0021275i,-0.00061359-0.0025997i,-0.0015578-0.002747i,-0.0012829-0.0020956i,-0.00023099-0.00032859i,0.0010894+0.0010107i,0.0021408+0.0024784i,0.0017863+0.0023162i,0.0010507+0.0012029i,0.00079117+0.0011394i,0.00084603+0.00049128i,0.00060532+0.00013498i,0.0001582+0.00078879i,0.00036471+0.00043955i,0.00045656-4.2397e-05i,0.00032808-0.00046083i,0.00011284-0.0010662i
0.0014625-0.00077246i,-0.00042691-0.0026723i,-0.0013545-0.0032337i,-0.0015991-0.0030172i,-0.0014309-0.0013466i,-0.0018599-0.00048916i,-0.0027359-0.00029888i,-0.0041633+0.00071408i,-0.0045708+0.001013i,-0.0028478+0.0011293i,-0.00064031+0.0013928i,0.00014623+0.0013166i,0.0016513+0.00057895i,0.0024742+0.00081938i,0.0014189+0.0009106i,-1.805e-05+0.00047575i,-0.00065951+0.00075088i,-0.00067994+0.00096481i,-0.0012473+0.00067122i,-0.00056311-8.9416e-05i,0.000626-0.00018481i,-0.00011195-0.000214i,-0.0010067-0.0010075i
-0.00081212-0.002348i,-0.00093214-0.0040193i,-0.0010615-0.0031571i,-0.00090768-0.001004i,0.0001255+0.00068712i,0.00087788+0.0011683i,-0.00020809+0.001426i,-0.0012612+0.0027988i,-0.0018476+0.0049776i,-0.001447+0.0050836i,-0.00027151+0.003653i,0.0011888+0.0020146i,0.00076464+0.00024324i,-0.00040774-2.8715e-05i,-0.00047653+0.0010292i,-0.00011811+0.0016705i,-0.00010458+0.0012669i,-2.4508e-05+0.0010491i,9.2076e-05+0.0010973i,0.00026309+0.0007493i,0.00039616+0.00084904i,0.00045982+0.00083746i,4.3384e-05+0.0011285i
-0.0002492-0.0036857i,-0.00027971-0.0025307i,-0.001019-0.0020367i,-0.0010856-0.00091633i,-0.00024237-0.00047521i,0.00057924-0.00030264i,0.0011965-0.00019493i,0.0021178+0.0011073i,0.0026225+0.0028996i,0.0023564+0.0029442i,0.0023298+0.001248i,0.0010737-0.00050704i,-0.00015741-0.002044i,7.4045e-05-0.0019026i,-0.00071888-0.00057168i,-0.0015603+0.00018798i,-0.0013238+0.00074709i,-0.00036122+0.00075742i,0.00017151+0.00034293i,0.00038316+0.00020482i,0.0010335-0.00011648i,0.0012968+0.00010693i,0.00078672+0.00029826i
0.0010189-0.0012015i,0.00077223-0.002347i,-0.00028239-0.0020376i,-0.0006737-0.00054102i,-0.00041369+0.0010774i,0.00057683+0.0012886i,0.0009893-0.0010666i,0.0011738-0.0024427i,0.0012279-0.0018052i,0.0015968-0.0019511i,0.001617-0.001961i,8.7362e-05-0.0011462i,-0.0015509+0.0001114i,-0.0016858+0.00080122i,-0.0008635+0.00059487i,0.00028049+0.00054673i,0.00045514+0.00085872i,0.00028901+0.0013662i,0.00089974+0.00096513i,0.0010026+0.00014071i,0.00067408+0.000253i,0.00064912+0.00016444i,0.00077659-0.00021222i
-5.5615e-05-0.00098205i,-0.00012131-0.0014611i,0.00017634-0.0012812i,0.00073481+0.00013343i,0.00065981+0.00044575i,-0.00027219+0.00031059i,-0.0016214-0.00077753i,-0.003251-0.002171i,-0.0036632-0.0028482i,-0.0021516-0.0022739i,-0.0013517-0.00097454i,-0.00081973+0.00089936i,0.00061624+0.0028209i,0.001049+0.0034384i,0.00093507+0.0022757i,0.00068824+0.0015914i,0.00012026+0.001176i,0.0001847+0.00021886i,-0.00032027+0.00051465i,-5.9651e-05-0.00025517i,0.0004591-0.0010055i,0.0005005-0.00017724i,0.00081282+0.00030331i
0.00010569-0.00080618i,-0.00066473-0.0017817i,-0.00071881-0.0024845i,-0.00043173-0.0018386i,-0.00095811-0.0010224i,-0.0015098+0.00032242i,-0.0024065+0.0012053i,-0.0041925+0.0012632i,-0.0059187+0.00089075i,-0.0050192+0.00093596i,-0.0020562+0.0020495i,0.00031897+0.0026722i,0.0019976+0.0015525i,0.0021802+0.00071672i,0.0011211+0.00083913i,-0.00023444+0.001425i,-0.00034215+0.0019235i,0.00032297+0.0020639i,0.00029138+0.00090946i,-0.00083994+0.00021182i,-0.0010212-0.00012748i,-0.00082518-0.00032104i,-0.0012402-7.877e-05i
