-0.0010316-0.00016145i,-0.0010879-0.0013291i,-0.0028369-0.0017181i,-0.0028289-3.6501e-05i,-0.0013755+0.0018943i,-0.00021713+0.0021456i,0.00077048+0.0020477i,0.0010797+0.0013777i,0.0013752+0.00029i,0.0012884-0.00049147i,0.0010037-0.00095505i,0.0008436-0.00057772i,0.00044489+3.9612e-05i,-1.7274e-05+0.0010151i,8.9147e-05+0.00050347i,-1.9389e-05-0.00019814i,-0.00038519+0.00014635i,-0.00032385-0.00027476i,-0.00011054-0.00087379i,-2.1542e-05-0.00071579i,-0.00018164+0.00029127i,-0.00042338+0.00054297i,-0.00048532+0.00029861i
0.00059341+0.00046703i,0.00065266+0.00088089i,0.00048585+0.0019069i,0.00057014+0.001326i,0.0013212+7.3745e-05i,0.00073342+0.00041278i,3.6545e-06+0.00051819i,9.1302e-05+0.0002585i,0.00010011+0.00026017i,3.7415e-05-7.9353e-05i,-0.00035883+0.00026275i,-9.9708e-05+0.00054607i,0.00012129+0.00035882i,-0.00010239+0.00056348i,0.00039849+0.00028173i,0.00018859-5.7631e-05i,8.1566e-05+0.00047628i,0.00011035+0.00083175i,0.00024997+0.00061539i,0.00028121+0.00037528i,0.0006701-0.00036611i,0.00091527-0.00051422i,-0.00012069+8.8643e-05i
-0.00033815+0.00048146i,-0.00024996+0.00082606i,-0.00032889-0.00013687i,0.00010693-0.00061288i,0.00036156-0.00022643i,0.00057751+6.085e-05i,0.00040998+0.00030889i,0.00045847+0.00011052i,5.9346e-05-0.00017397i,3.3265e-05-0.00031619i,-0.00010665-0.0010713i,-0.00032418-0.0007743i,9.7998e-06-0.00025944i,0.00049656-1.4148e-05i,9.4985e-05+0.00040923i,0.00015795+0.0005121i,0.00037882-1.0062e-05i,0.0001367-0.0001353i,9.1035e-05-9.7512e-05i,0.00012128+1.33e-05i,0.00015929+0.00077486i,-6.163e-05+0.0011908i,-0.00062295+0.00092887i
-0.0025331-0.00026166i,-0.0020946-0.00025595i,-0.0013566-0.00031658i,9.4997e-05+0.00044761i,0.0010602+0.00068084i,0.0013997+0.00051833i,0.0013362+0.00062264i,0.0013216-7.9929e-05i,0.0014944-0.00064435i,0.00059539-0.00112i,-0.00061346-0.001308i,-0.00062854-0.0011396i,-0.00018896-0.00070917i,-0.0002056-0.0003702i,-0.00028728-0.00071839i,0.00015542-0.00062946i,0.00063373+0.00047983i,0.0002639+0.00095772i,-0.00029608-0.00063373i,-0.00068535-0.0016125i,-0.0006275-0.0010639i,-0.00037363-0.00054213i,-0.00014642-0.00040709i
-0.0008495-0.0016346i,-0.0019063-0.0013483i,-0.0022272-0.000726i,-0.00157-0.00039629i,-0.00010652-0.00011933i,0.00092002-0.00028019i,0.0010684-0.00029415i,0.00064288-0.00072651i,0.00069379-0.00090195i,0.0008201-0.00053966i,0.0012611+0.00025329i,0.0014452+0.00067253i,0.00058247+0.00049041i,0.00028698+0.00082535i,-9.3341e-05+0.00084298i,-0.0006993+0.00012731i,-0.00074963+0.00040899i,-0.00088648+0.00047837i,-0.001025-0.00036673i,-0.00019471-0.00015175i,0.00031549+0.00014847i,-0.00011394-4.0771e-05i,-0.00045731+0.00014674i
0.00025276+2.7245e-05i,0.00055668-0.00068741i,0.0004418-0.0003885i,0.0010359+3.8412e-05i,0.0011116+0.00035335i,0.00084657-0.0001341i,0.0011428-0.00099196i,0.0011872-0.00091287i,0.00067305-0.00046675i,0.00023622+0.00023391i,0.00049427+0.00090931i,0.00085712+0.00074131i,0.0009936+0.00048724i,0.0012864+0.00029405i,0.00094849-0.00037612i,0.00010683-0.00099794i,0.00021352-0.00046764i,0.00017812+0.00046871i,0.00027458+0.00032431i,0.00082397-0.00017007i,0.00092944-0.00012896i,0.00020603+0.00044053i,-0.0010191+0.00049793i
0.00088485+0.0021085i,0.00069027+0.0012551i,0.0012922+0.0007694i,0.0018687-0.00080287i,0.0016013-0.0014842i,0.00062438-0.00045494i,0.00049315+6.1575e-05i,0.00064087+0.0001731i,0.0010154-1.066e-05i,0.0016021-0.00075088i,0.0010967-0.00093718i,0.00023591+0.0002693i,-0.00040111+0.00096199i,-0.00028461+0.00031067i,-0.00072229+3.5902e-05i,-0.00073341+0.00075282i,3.0029e-05+0.00056353i,-4.3637e-05+5.8796e-05i,-0.00025334-0.00021225i,-0.00067489-0.00033418i,-0.00061328-0.00053271i,-2.3402e-05-0.0016158i,-0.0002898-0.0021045i
0.00043635-0.00021452i,-0.0009611+0.00027779i,-0.00095224+0.00082863i,-0.00030858+0.00093626i,4.448e-05+0.00085246i,0.00032557+0.00053432i,0.00088561+5.0994e-05i,0.0014654-4.8946e-05i,0.0012729+1.1365e-05i,0.0010902-0.00057955i,0.00051275-0.00061047i,-8.634e-05+0.00033561i,0.00031968-3.0486e-05i,0.00085424-0.00040778i,0.00065505+0.00039906i,0.00030514+7.8254e-05i,-0.00016707-0.0005189i,-0.00034182-0.00022657i,-0.00061634+0.00013033i,-0.00040836+0.00014059i,0.00013708-0.00041464i,0.00019024+0.000177i,-4.8178e-05+0.00079125i
-0.0011306+0.00070495i,0.00016188+0.00053639i,0.00070457+0.00017773i,0.0010577-0.00049974i,0.0010108-0.00025398i,0.00035224-0.0010828i,-7.7972e-05-0.0014152i,0.00046523-0.00049169i,0.00026405+0.00038667i,-0.00012332+0.00055303i,-0.0001493+0.00046698i,-0.00035796+0.0010976i,-0.00011775+0.00031483i,-6.8496e-05-0.0011321i,-8.0979e-05-0.0010302i,-0.00038125+0.0001307i,-0.00077226+0.0009397i,-0.00083744+9.3278e-05i,-0.00066461-0.0005417i,-0.00026047-0.00037951i,-5.695e-05-0.00016444i,0.00017333+0.00029538i,-0.00010864+4.8591e-06i
0.00089488+0.00062139i,0.00096703-0.00017898i,0.00090965-0.00028879i,0.00070264-5.961e-05i,0.00010405-0.00015008i,0.00089139-0.00052843i,0.0011449+0.00013028i,0.00059186+0.00085359i,0.00088676+0.00045623i,0.00068412+0.0001163i,0.00049316-0.0002436i,0.00085791-0.0005795i,0.00053778-0.00048913i,0.00026037-0.00012996i,0.00015935+0.00063109i,-2.2785e-05+0.00070968i,-0.0001273-0.00027839i,-0.00019046-0.00048937i,-0.00037106+0.00052892i,-0.0004998+0.00047961i,-5.5152e-05-4.066e-05i,0.00036427+0.00016048i,-0.00025254-0.0004138i
-0.00067138-0.00099799i,-0.0012679+7.2538e-05i,-0.00078554+0.0011301i,4.9164e-05+0.0016884i,0.0005478+0.001476i,0.00032967+0.00092291i,0.0003559+2.9335e-05i,0.00031585-0.00082482i,0.00033219-0.00075662i,-0.00018017-0.00056887i,-0.00039493-0.00051848i,-0.00011792-0.00032395i,-0.0001603-0.0007406i,-9.9809e-05-0.0006083i,0.00011825+8.3938e-05i,0.00090049+0.00043281i,0.0010134+0.001083i,0.00099934+0.00044693i,0.0011015-0.00020324i,4.4037e-05+0.00040357i,-0.00064617+0.00029493i,-0.00036417+0.00044839i,-9.834e-08-2.0344e-05i
