-0.0029471+0.002019i,-0.00094887+0.0028323i,-0.00018174+0.0028875i,-8.2551e-05+0.0016702i,-0.00059151+0.0012807i,-0.00069471+0.00023433i,-0.00011046-0.00059181i,0.00073444-5.8522e-05i,0.00094273+2.5317e-05i,0.0006804-0.00059849i,0.0012399-0.00040375i,0.00094517-0.0004035i,0.000119-0.00067946i,-1.7354e-05-0.00077049i,-0.0002127-0.00057483i,-0.00073641+7.1075e-05i,-0.00098397+0.00015901i,-0.00067411-0.00035701i,-0.00057194-0.00075798i,-0.00065169-0.00065794i,-0.00054002+0.00057909i,-0.00090309+0.00061071i,-0.00036186-0.00035206i
-0.0021989+2.8023e-05i,-0.00068209-0.00015084i,0.0002686+0.00055245i,0.00040638+0.00099266i,0.00012053+0.0011582i,-4.2217e-05+0.00034214i,-0.000333-0.00088798i,-0.00037621-0.0012773i,0.00035093-0.00063607i,-6.9876e-05+0.00022114i,-0.00054489+0.00055641i,1.3666e-05+0.0002021i,0.00044519-0.00085887i,0.00078691-0.0017049i,0.0012336-0.00085337i,0.0007936-7.4443e-05i,-3.8986e-05+0.00015992i,-0.00010962+0.00016043i,-0.00014089-2.0307e-05i,-0.00041103+0.00023695i,-0.00021026+0.00025386i,0.00012265-0.00057381i,0.00023459-0.0005513i
0.0020906+0.0010525i,0.0020086+0.0015626i,0.0019978+0.00042533i,0.0017211-0.00072164i,0.00043241-0.00075019i,-0.00043923-0.00022359i,-0.00075754-3.5264e-05i,-0.0005082+0.00063414i,0.00027556+0.0011685i,3.5003e-05+0.00047974i,-0.0006426-0.00023031i,-0.0013281-0.00038445i,-0.0011008-0.00049192i,-0.00087204-9.5112e-05i,-0.00068516+0.0006695i,-1.0098e-05+0.00083165i,-0.00032333+0.0008551i,-0.0010181-9.158e-05i,-0.0004552-0.00045082i,0.00041875+0.00052318i,-0.00055413+0.0012552i,-0.00057242+0.0007076i,0.00020795-0.00030042i
-2.9081e-05+0.0012159i,0.00096084+0.0024793i,0.00054919+0.0026278i,-0.00025616+0.0018768i,-0.00067843+0.00043771i,-0.000885-0.00046412i,-0.00080299-0.0011025i,-0.00031721-0.00088787i,0.00028857+0.00047741i,-1.2009e-05+0.00027217i,-0.00052058-0.0004553i,-0.00061774+2.6264e-06i,-0.00036567+0.00037001i,-0.00016027+0.00039889i,-0.0008249-1.8673e-05i,-0.0010077-0.00036254i,-0.00037449-3.8566e-05i,-8.519e-05-0.00013362i,0.00020564-0.00041036i,0.0010306+4.4642e-05i,0.00078553+0.00075255i,2.9901e-05+0.00055389i,-0.00026891-0.00012396i
-0.0006236-0.00052468i,-0.0018466+0.00022564i,-0.0019874+0.0012474i,-0.0016846+0.0014268i,-0.00072934+0.00068003i,-0.00026356+1.1617e-05i,-0.00064594-0.0002213i,-0.00077877-2.9969e-05i,-0.00011487-0.00026499i,0.0002255-0.00043392i,0.00017449-0.00016893i,0.00018735+0.00015114i,0.00025767+0.00026983i,-0.00014547+0.00076158i,-0.00085704+0.00046318i,-0.00075265-8.8402e-05i,0.00022485-2.0333e-05i,6.6143e-05+0.00012383i,-0.00043163+5.44e-07i,0.00030183-0.00025879i,0.00080892-0.0011333i,0.00038412-0.0015226i,2.1831e-06-0.00058599i
5.2301e-05+0.00037575i,0.00073674+2.2703e-05i,0.00073593-0.00042033i,0.00018105-0.0011568i,-0.00060917-0.0011802i,-0.0010557-0.0012596i,-0.0013881-0.001452i,-0.0013808-0.0011452i,-0.00018817-0.00025803i,0.00064937+0.00022759i,0.00078266-0.00017871i,0.0002035-0.00018979i,-0.00072629-0.00012239i,-0.0003846+0.00036065i,-0.0011362+0.0011273i,-0.0016616+0.00041431i,-0.00047892-0.0001051i,0.00019823-0.00010381i,0.0011167-0.0001723i,0.0011635+0.00047752i,-0.00011175+0.00042399i,-0.00010781-8.2e-05i,0.00020937-5.4463e-05i
0.00068856-0.0011435i,0.0010785-0.0013588i,0.00049795-0.0017207i,0.00031047-0.0010599i,-2.3229e-05-0.00010498i,-0.00087568-0.0004223i,-0.0011911-0.00054543i,-0.00068354-0.00015823i,2.8369e-05+0.00057881i,0.00019357+0.00078036i,0.00030188+0.00033613i,0.00026092+0.00026061i,0.000388+0.00018059i,2.2683e-05+0.0001382i,-0.00063086+0.00031848i,-0.0010201+0.00036848i,-0.0016018+0.00019018i,-0.001567+0.00021514i,-0.0017359+3.3366e-05i,-0.0012496-0.00034563i,0.0002708+0.00014097i,0.00080416+3.7751e-05i,6.573e-05-0.00050369i
-0.00017727+0.00065488i,0.001116+0.00054061i,0.002271+0.00056928i,0.0014494+0.0005914i,-0.00012467+0.000132i,-0.00046871-0.00097254i,-0.00059975-0.00068396i,-0.0010531+0.0001882i,-0.00087308+0.00022059i,-0.00046001+0.00067858i,-0.00018402+0.00074627i,0.00022581+2.8595e-05i,-0.00025792-0.00035966i,-0.00077697-0.00034399i,-0.00075213+0.00030124i,-0.00017536+0.00045917i,0.00011672+0.00036364i,-0.00047982+4.2286e-05i,-0.00050793-0.00060101i,-0.00030957-0.00072954i,-2.9014e-05+0.00038122i,0.00089658+0.0014389i,0.00078955+0.00093738i
-0.00094862+0.00020519i,-0.00063748+0.00048734i,-0.0003637+9.5179e-05i,-0.00046504+0.00046987i,-0.00064419+0.00062839i,-0.00044363-0.00031966i,-0.00040324-0.0010103i,0.00052493-0.00062702i,0.0013916+0.00030085i,0.00086081+0.00094828i,-7.0572e-05+0.00074721i,-0.00053041+0.00052373i,-0.00064946+0.00075428i,-0.00065853-0.00012732i,-0.00077561+0.00015775i,-0.0012581+0.00048605i,-0.0015984+0.00043104i,-0.0014601+0.00093432i,-0.00064007+0.00058168i,-0.00031779+0.00029689i,-0.0004087+0.00043011i,-0.00064864+0.00031803i,-0.00045587+0.00022722i
-0.0007099+0.0021421i,0.00062699+0.0031018i,0.0012477+0.0024432i,0.00077802+0.0013131i,0.0009486+0.00019738i,0.00070174-0.00025014i,-0.00037444-0.00022657i,-0.00043189-0.00037224i,-0.0005314-0.00017005i,-0.00034051+0.00026008i,-8.5718e-05+0.00042221i,-0.00017994-0.00024551i,-0.00014503-0.00049155i,-0.00093298-0.00032939i,-0.00099039-0.0007061i,2.9693e-05+0.00017538i,0.00040977+0.00055733i,0.00060101+0.00040469i,0.00080839-3.3665e-05i,0.00026837-0.00055062i,-0.00025589-0.00013283i,-0.00025144+0.00034835i,-1.4472e-05+0.0010969i
-0.0013496+0.001914i,-0.0016026+0.0020902i,-0.0017199+0.00086477i,-0.0010261+0.00043966i,-4.7222e-05+6.3836e-05i,3.8744e-05-0.00028495i,-0.00037137-0.00042989i,-0.00033515-5.267e-06i,-0.00014013+0.0005451i,-0.00021547+0.00053939i,4.0331e-05+0.0005769i,0.00029953+0.00067487i,0.00023057+0.00035616i,0.00021018-0.0001159i,0.00035037+0.00010128i,0.00025791-2.399e-05i,0.00044244-8.4226e-06i,0.00025248-0.00010744i,8.6388e-05-0.00063317i,7.3554e-05-0.00068402i,-4.1603e-05+0.0001948i,-0.00011253+0.00067326i,-8.2001e-05+0.00067667i
-0.00048688+2.9617e-05i,-0.00063631+0.00051611i,-0.00086594+0.001217i,-0.00079069+0.0013211i,-0.00067539+1.5374e-05i,-0.00084102-0.0006456i,-0.00081596-0.00039515i,-0.00059647+0.00035802i,-0.00023272+0.00096202i,0.00028612+0.00075866i,-0.00011312+0.00041577i,-0.00012583+8.5123e-05i,-0.00055467-2.6521e-05i,-0.00066206-9.5229e-05i,-0.00033246-0.00034516i,-0.00017916+8.2395e-06i,0.00072596+0.00030013i,0.00067707-0.00015438i,0.00062872-0.00038652i,0.00069354-0.0002844i,0.00011548+0.000194i,-0.00044878+0.00013445i,-5.5989e-05-0.00034538i
0.0010627-0.0018458i,0.00061793-0.003396i,-9.0491e-05-0.0036379i,-0.0013178-0.0019864i,-0.0019271-0.00047512i,-0.0012979-0.00011032i,-0.00047753-0.00020656i,0.00013572+0.00057542i,-0.00018691+0.00069973i,-0.00020183+0.00013652i,0.0001998+0.00010829i,-0.00052763+8.3907e-05i,-0.00073232+0.001097i,0.00018478+0.0017444i,1.8722e-05+0.00032722i,-0.00098045-0.00061315i,-0.00070769-0.00067473i,-0.0005975+2.0955e-05i,-0.00041538+0.00016333i,0.00053097-0.00031007i,0.00061578-0.00042539i,-0.00030743-0.0003695i,-0.00094041-0.0002339i
0.001719-0.0006308i,0.001856-7.5958e-07i,0.00141+0.00014071i,0.0005336-6.7046e-06i,-0.00040894+0.00042842i,-0.0011979+0.00017826i,-0.0010852-0.00018484i,-0.00070226+0.00038441i,7.3608e-05+0.00050884i,0.00063237+0.00012468i,4.123e-05+3.0621e-05i,-0.00038473+0.00096843i,-0.00029071+0.0010007i,-0.0002772-0.00034339i,-0.0003532-0.00033196i,-0.0001015-1.6869e-05i,0.00012387-0.00077952i,0.00047784-0.00056345i,0.00037525+0.00023895i,0.00070514-1.1181e-05i,0.00092426-0.00052909i,3.743e-05-7.0016e-05i,-0.00041102+0.00044929i
0.00012273+0.0010708i,0.00010776+0.0019912i,0.00051002+0.0015579i,0.00049235+0.0005868i,0.00055822-0.00051703i,-0.0001997-0.00078875i,-0.0010814+0.00011975i,-0.00099875+0.00098418i,-0.0004132+0.00073017i,-4.8132e-05+9.4525e-05i,0.0001701+0.00017221i,3.4813e-05+0.00093208i,0.00033088+0.00074358i,0.00080819-6.0667e-06i,0.00047484+4.7996e-05i,-3.6009e-05-0.00020135i,-0.00045587-0.00026797i,-0.00057371+3.4215e-05i,6.2967e-06-6.9288e-05i,-6.0156e-06+2.4574e-05i,-7.0654e-05-0.00017175i,4.8708e-05-0.00063934i,-0.00045769-0.00077828i
