-0.0021652+6.3467e-05i,-0.0014759+0.00012119i,-0.0030269+5.3401e-05i,-0.0040656+0.00038295i,-0.0028497+0.0010257i,-0.0021438+0.00098322i,-0.001986+0.00057861i,-0.00059219+0.00088026i,0.001351+0.0011899i,0.0017598+0.00036797i,0.0014104-0.00056975i,0.00082908-0.00096999i,0.00032939-0.00078245i,-0.0004252-0.00058184i,-0.00098224-0.00037965i,-0.00079122-0.00063796i,-0.00071644-0.0011977i,-0.00070031-0.00073765i,-0.00027867-0.00048223i,3.0454e-06-0.00072103i,0.00025668+0.00019432i,0.00015511+0.0010813i,-0.00041257+0.001098i
0.00057784-0.0037301i,0.0021391-0.0035458i,0.0022057-0.0029976i,0.00081413-0.0014553i,-0.00084506-0.0001357i,-0.001392+0.00051537i,-0.0013998+0.001057i,-0.0011541+0.0007655i,-0.00021563-8.2953e-06i,0.00048117-0.00022141i,-0.00029508-3.3699e-06i,-0.00053922-9.7125e-05i,0.00028331+0.00035226i,-0.00064046+0.00069387i,-0.0016328+0.00022067i,-0.00089342+0.00030888i,-0.00044547+0.00030229i,-0.00076753+0.00063316i,-0.0010575+0.001173i,-0.00093479+0.00077876i,-0.00048119-0.00018799i,0.00027971-0.00062643i,0.00058371-0.00026702i
0.0003025-0.00050082i,-0.00042288-0.00053528i,0.00019651-0.0015377i,0.00058989-0.0023985i,0.00062403-0.0015776i,0.0013906-0.0010378i,0.0011452-0.00070858i,-0.00055849-0.00030299i,-0.000789-0.00014616i,8.3148e-05+8.4684e-05i,-9.8409e-05-2.5759e-05i,-0.00059387-4.7831e-05i,-0.00056185+5.7861e-05i,-0.00016395-0.00038598i,1.438e-05-0.00031337i,0.00022586-0.00017875i,0.0004085-0.00018435i,0.00070696-0.00014677i,0.00084761-0.00056648i,0.00040947-0.00024967i,-0.00027178+0.00053874i,-0.00010797+0.00062503i,0.00020166+0.00040805i
0.00030428-0.0012751i,-0.0012706-0.0016781i,-0.002907-0.0017332i,-0.0030528-0.0022033i,-0.0017181-0.0021277i,-0.0008322-0.00042432i,-0.0014182-8.0317e-05i,-0.0015789+0.00056026i,-0.0013785+0.001065i,-0.001136+0.00010438i,-0.00019106-0.00011698i,0.00049496+0.00025692i,-4.5996e-05-3.7376e-05i,-5.9593e-05-0.00037914i,2.1534e-05-2.4747e-05i,-0.00054934+0.00036762i,-0.00048005-0.00026229i,-0.00070079-0.00059986i,-0.00092701-0.00013224i,-8.8528e-05-2.1536e-05i,3.0983e-05+0.00015089i,1.264e-06-0.00031507i,0.00035861-0.0008759i
0.00011109-0.0013979i,0.0017196-0.0010378i,-0.00011609+0.0017248i,-0.0029267+0.0040926i,-0.0031965+0.0039149i,-0.0013605+0.0020379i,-9.0681e-06+0.00097527i,0.0002324+0.0012107i,0.00015348+0.00033189i,-0.00054864-0.00063842i,0.00022931-0.00029463i,0.0012918+0.00042449i,0.0010671+0.00065262i,-0.00017274+0.00064899i,-0.00035762+0.00051588i,0.00095587-1.8856e-05i,0.0010602-0.00057218i,0.00014146-0.00078048i,-0.0003239-0.0004937i,-0.00036262-0.00027078i,-0.00017795-0.00054837i,0.00026594-0.00055207i,0.00057493-0.00074901i
0.0015259-0.00052048i,0.0029251-0.00079253i,0.003791-0.00027794i,0.0029345-0.00046014i,0.0015205-0.00029638i,0.00043052-0.00051993i,-0.00065747-0.00072386i,-0.00063356-0.00020425i,0.00062046+0.00038707i,0.00054128+0.00025015i,0.00024919-0.00036538i,0.00064923+6.1456e-05i,0.00051938+0.00082577i,4.695e-05+0.00081341i,0.00028232+9.6905e-05i,-0.00032239+0.00040791i,-0.00082208+0.0010556i,-0.0011793+0.00027955i,-0.0015037-0.00074145i,-0.00040907-0.00063302i,-1.0674e-05-0.00058467i,-0.00039023-0.00066927i,-0.00010386-0.00024143i
0.0014509-0.0006491i,0.0013018-0.0016859i,0.00090219-0.0038621i,0.00048343-0.0043389i,0.00044527-0.0030753i,0.00058667-0.0017722i,0.00055672-0.00076988i,0.00023233-1.4597e-05i,7.3156e-05-0.00013051i,-0.00012711-0.00031197i,-0.00068757+4.4658e-05i,-0.0017718-0.00013691i,-0.001418-0.0005462i,-0.00088418-0.00058536i,-0.00029938-0.00052924i,-0.00030268-0.00014722i,-0.00014371-2.5795e-05i,0.00050924-9.099e-05i,-8.5021e-05-0.00036773i,-0.00024+1.8575e-05i,0.00026152+0.00020045i,0.00047314-0.00023872i,0.00030077+0.00030135i
0.002612-0.00042616i,0.00073497-0.0023703i,-0.0019676-0.0032642i,-0.0030205-0.0030563i,-0.0020098-0.0017352i,-0.0012366-0.00029116i,-0.00096386+0.00062976i,-0.00076758+0.0011037i,-0.00071185+0.00085153i,0.00020311-0.0002347i,0.00073276-0.0008126i,8.5977e-05-1.5236e-05i,0.00012429-0.00016407i,0.00057901-0.00080233i,-0.00016789-0.00040062i,-0.00049737+6.9335e-05i,-0.00025739+0.0004513i,-0.0007211+0.00036671i,-0.0004876-0.00030141i,0.00023325-0.00085675i,-0.00027559-0.00061864i,-0.00048173-0.00018978i,-0.00032464-0.00049696i
-0.001329-0.00060885i,-0.0014615+0.0011639i,-0.0017604+0.0022136i,-0.0018066+0.0020979i,-0.0017889+0.00063146i,-0.0011997+0.00011956i,-0.00011136+0.00080488i,0.00030362+0.0013719i,0.00066187+0.001266i,0.00025503+0.00026797i,0.00032383-0.00041517i,7.1913e-05-0.00018327i,-5.2661e-05-0.00034489i,7.3063e-05-0.0012148i,-8.1067e-05-0.0014502i,-0.0003714-0.0011938i,-0.00059615-0.00027432i,-0.00076722+0.00023786i,-0.00017452-0.0001852i,0.00032894-0.00054554i,5.882e-05-0.00011952i,-0.00066978+0.00071545i,-0.0012233+0.00050478i
0.0029817+0.0010035i,0.0040463-2.7107e-06i,0.0041995-0.00060241i,0.0017316-0.00046865i,-0.00033266-0.0003117i,-0.00049626-6.3824e-05i,-0.00039889+0.00010863i,-0.00036431+0.00026343i,1.6505e-05+0.00094783i,0.00055743+0.00071154i,0.001106-0.00065118i,0.00047592-0.00079204i,-0.00025082-0.00011695i,-0.0003253-4.3652e-05i,9.5891e-05-0.00071129i,0.00019855-0.00046998i,-0.00037712-0.00032178i,-0.00048487-0.00022065i,-0.00054985+0.00011891i,-0.00070043+5.4065e-05i,-0.00029679+0.00053406i,-0.00056349+0.0010941i,5.0992e-05+0.0010952i
0.00043322-0.0017168i,-7.6341e-05-0.0027258i,0.00076504-0.0021845i,0.001181-0.00074855i,0.00089371-0.0010024i,0.00032923-0.00098729i,-0.00054381+0.00011356i,-0.0010977+0.00032427i,-0.00083798+0.00011107i,0.00015649-5.4751e-05i,0.00072876-0.00013442i,0.00020938-0.0005189i,-0.00081281-0.00027752i,-0.00053009+0.00061185i,0.00047976+0.00074139i,0.00043488-1.9695e-05i,0.00040257-0.00070813i,0.00054208-0.00078744i,0.00040906-0.00017769i,-0.00025355+0.00084793i,-0.00070774+0.0011126i,-0.00055634+0.00014253i,-0.00041581-0.00095418i
0.00078581-0.0032426i,-0.00039664-0.0039407i,-0.0025238-0.0045008i,-0.0028063-0.0040504i,-0.0023997-0.0018899i,-0.0021365-0.00086342i,-0.0014265-0.00089329i,-0.00049894-0.00061485i,0.00019595-0.0005955i,-0.00012961-0.00061625i,-0.00062035-0.00015082i,-0.00016199+0.00026488i,-0.00066241+7.7262e-06i,-0.0010823-0.00050945i,-0.00085583-0.00063108i,-0.0011302+0.00030669i,-0.00086291+0.0010336i,-0.00026043+0.0013651i,-0.00038746+0.00073355i,-0.00040417-0.00031482i,-3.4657e-05-0.00035218i,0.00058832+0.00023519i,0.00072606+0.00068829i
0.00058195+0.00013869i,-0.00092843+0.000511i,-0.0026636+0.00068961i,-0.0035436+0.0002468i,-0.0029076-0.00012278i,-0.0020867+8.3507e-05i,-0.002008+0.00073451i,-0.0013304+0.001289i,0.00015552+0.00065212i,0.0016398-8.303e-05i,0.00093816-0.00044002i,-0.00027655-0.00089014i,-0.00013343-0.00066692i,-4.5043e-05+2.5029e-05i,0.00040851+4.662e-05i,0.00028948+0.00055814i,-0.00040243+0.00063071i,-0.00075906+0.00038915i,-0.00094507+0.00057781i,-0.00066035+0.00037622i,-0.00054252+0.00021269i,-0.00065879+0.00074641i,-0.00064675+0.00063434i
0.0031417-0.0036417i,0.0021313-0.0031917i,0.00038417-0.0020205i,-0.0017034-9.7648e-05i,-0.002593+0.00044545i,-0.0026432+0.00036334i,-0.0018026+0.0014536i,-0.00056882+0.0010908i,0.00013945-0.00050046i,1.2327e-05-0.0012578i,-6.2712e-05-0.0010934i,-0.0002421-9.8958e-05i,-0.00012706+0.0012676i,-0.00044665+0.0011961i,-0.00058043+7.5243e-05i,-0.0003109-0.00056443i,-0.00042685-0.00080699i,-0.00017-0.00067464i,-0.00069161-0.00018823i,-0.0013836+0.00089929i,-0.00061629+0.00071381i,0.00035819+0.00014621i,-2.4045e-05+0.0006066i
4.7118e-05-0.00066267i,0.00059998-0.0015004i,0.0019188-0.00077148i,0.0024469+0.00051499i,0.0023517+0.00068671i,0.0016282+0.00096569i,0.00045626+0.00080304i,-0.00062814+0.00017161i,-0.00044867+0.00024822i,0.0002294+0.00033054i,0.00034442-0.00020784i,0.0001177-0.00055825i,0.00034648-0.00085323i,0.00016736-0.0016401i,0.00027617-0.00087085i,0.00060428-0.00032576i,0.0002206-0.00040997i,-9.8932e-05+0.00021145i,-0.00012789+0.0004954i,-0.00075233-0.00023494i,-0.00062013-0.00062415i,0.00031387-0.0004598i,0.00071767-7.8419e-06i
-0.00027065-0.0019589i,-4.1961e-05-0.0035444i,0.00034307-0.0043762i,0.00011122-0.0038273i,0.0001948-0.0024411i,0.00027351-0.0010615i,0.00050302-0.00044854i,-3.1113e-05-0.00030153i,-0.00068912-0.00032794i,-0.00033004-0.00016189i,0.00052776-0.0005442i,0.00025744-0.0010219i,-0.00027497-0.00067833i,-0.00013351-6.371e-05i,0.00016669-0.00032356i,0.00012225-0.00069042i,-0.00065347-0.0010023i,-0.00093564-0.00086252i,-0.0010111-8.0852e-05i,-0.00030064+1.1021e-05i,0.00012503-0.00057457i,0.0004688-0.00014372i,0.00065652-0.00012876i
0.0002685-0.0014436i,-0.0014672-0.0022695i,-0.004046-0.0033392i,-0.0044782-0.0033016i,-0.0031212-0.0026839i,-0.002375-0.0025647i,-0.0013366-0.0015834i,4.738e-05-0.00045185i,0.00034545+0.0002421i,8.0198e-05-0.00024917i,0.00024892-0.0014716i,1.4118e-05-0.0011111i,-0.00045737-7.4775e-05i,-0.00067957-0.00030847i,-0.00032198-0.00067955i,0.00021717-0.00058794i,4.3206e-05+0.00023555i,-5.2252e-05+0.00104i,-0.00066035+0.00095402i,-0.00039909+0.00034211i,0.00025512+6.9734e-05i,0.00014547-0.00066407i,0.00013833-0.00097813i
0.0023299-0.00015859i,0.001758+0.00012698i,-0.0008684+0.0010016i,-0.0037171+0.001451i,-0.0041946+0.0013664i,-0.0040017+0.0010461i,-0.003077+0.00060407i,-0.0017266+0.0004301i,-0.00014432+0.0001909i,0.00086108-0.00041502i,-3.985e-05-0.00028977i,-0.0010424+0.00011571i,-0.0012375+0.00020009i,-0.001004-0.00015478i,-0.00047966-0.00075744i,0.00041697-0.00091616i,0.00027108-0.00010961i,7.0907e-06+0.00020225i,0.00012577+6.1742e-07i,-6.9246e-05-0.00068501i,-0.00019803-0.00038163i,-0.00022771+0.00011819i,0.00028131-0.00051762i
0.0010986-0.0024957i,0.0025748-0.0013724i,0.0039824+0.00069734i,0.0031009+0.0030746i,0.00084817+0.0039009i,-0.0010637+0.0031404i,-0.0017094+0.0019698i,-0.00053815+0.0011611i,0.00023152+0.00010377i,-0.00044224-0.0010766i,-0.00085024-0.0010809i,-0.00038615-8.699e-05i,6.8489e-05-9.3891e-05i,-3.6765e-05+4.6227e-05i,-0.00027653+0.000549i,-0.00013775+0.00017612i,-0.00034725-9.6168e-05i,-0.00048601-0.00063897i,-0.00040838-0.00049409i,-0.00076306-0.00013441i,-0.00051762-0.00034341i,0.00043169-0.00017957i,0.0010004-0.00045489i
0.00011216-0.004167i,-9.0096e-05-0.0057044i,0.00048216-0.0067857i,0.0015844-0.0047274i,0.0015269-0.0012958i,0.0010033+0.00052512i,0.00010627+0.0012955i,-0.00068458+0.0006934i,-2.7852e-05-0.00041208i,0.00027533-0.00048848i,-0.00053871+0.00022012i,0.000182+0.00067855i,0.00018831+0.0007791i,-0.00058333+0.0005983i,-0.00078997+0.00028702i,2.7773e-05-0.00025272i,0.00086383-0.00053973i,0.00062936-0.00048882i,0.00031131-0.00033648i,0.00010885-0.00023108i,-0.00045748+0.0007285i,-0.0011606+0.0016909i,-0.0005978+0.0010322i
0.00043455+0.0005122i,-0.0012077-0.00066828i,-0.0026524-0.0026314i,-0.0027138-0.0042628i,-0.00093851-0.003741i,0.00067086-0.0024334i,0.00049427-0.0010596i,-0.00029617+0.00014305i,-0.00053718+9.7754e-05i,0.00015101-2.8136e-05i,0.00065243+3.8574e-05i,0.00034449-0.00016605i,-0.00010065+4.1663e-05i,-3.4027e-05-0.00016916i,0.00046652-4.9544e-06i,0.00046135+0.00043829i,0.00012537+0.00012118i,0.00033532+0.00036461i,-0.00012225+0.0006085i,-0.00024571-0.00047899i,0.00020162-0.00058817i,0.00021911+0.00062136i,-0.00013817+0.00097072i
0.0019188+0.0028921i,0.0011871+0.003268i,-0.00077003+0.0027148i,-0.0021961+0.00084064i,-0.0013854-0.00035894i,-0.00079841-0.001683i,-0.0015028-0.0024737i,-0.0011444-0.0013041i,-0.00036689-0.00054227i,4.5586e-05-0.00013907i,0.00039266-2.1825e-05i,0.00010629+0.00052444i,-0.00105+0.00081786i,-0.001788+0.0002102i,-0.0013642-0.00035537i,-0.001171-0.00018919i,-0.00055217+0.0001645i,0.00029467-0.00038235i,-3.0124e-05-0.0008266i,-0.00013415-3.0339e-05i,0.00017392+0.00055184i,-4.9574e-05+0.00062705i,0.00017504+0.00060716i
0.0016672-0.00042921i,0.0029201-0.00076213i,0.0032731-1.4817e-05i,0.00087991+0.0016374i,-0.00076692+0.0016879i,-0.0015432+0.0003159i,-0.0021729-0.00023946i,-0.0017807-0.00040138i,-0.00084843-0.00015303i,-7.3009e-05+5.2749e-05i,-0.00016143+0.00020229i,-0.00089001+4.6291e-05i,-0.00074954-0.00041167i,-0.0012174-0.0009893i,-0.0010761-0.00092643i,-0.0002334-0.00044184i,-0.00056706-0.00040748i,-0.00054647-0.00031967i,0.00039076+0.0010238i,0.00047678+0.0015635i,0.00056298+0.00019966i,0.00060037-0.00042318i,0.00037633-0.00019643i
-0.00055801-0.00026359i,0.0017337-0.00093755i,0.0037943-0.0017799i,0.0033833-0.00048217i,0.001911+0.0010968i,0.00038783+0.0016933i,-0.0010941+0.0017196i,-0.0013756+0.001015i,-0.00082365-5.541e-05i,0.00017408-5.0658e-05i,1.5724e-05+0.00061105i,-0.00054738+0.00080082i,-3.6379e-05+0.00032621i,0.00013898+9.3019e-06i,-0.00028775+3.0439e-05i,0.00027819-0.00049513i,0.00056767-0.00050183i,-0.00014555+0.00033662i,-0.00052317+7.6835e-05i,-0.0002121-0.00025439i,0.00075911-0.00012944i,0.0011303+0.00040392i,0.00041888+0.0005147i
0.0033675-0.0013365i,0.0020805-0.0032605i,0.00076821-0.005997i,-0.00048402-0.0063595i,-0.00015148-0.0031934i,0.00095958-0.00026009i,0.0012968+0.00083137i,0.00062161+0.00099224i,0.00010334+0.001271i,-0.00010556+0.00050226i,0.0001325-0.0010554i,0.00040404-0.00063187i,4.9245e-05-7.4451e-05i,-0.00024964-0.00020375i,-0.00023925-0.00010953i,-0.00025812-0.00051325i,2.6239e-05-0.00034498i,9.3838e-05+0.00015172i,-0.00051574-7.7073e-05i,-0.0005722-0.00028952i,-0.00041567+8.4657e-05i,-0.00020329+0.00032924i,0.00048608-0.00054388i
-0.0016874-0.0020622i,-0.0026928-0.0016279i,-0.0044813-0.0011445i,-0.0054739-0.0010884i,-0.0034056-0.00094496i,-0.00055775-0.0006367i,0.00035034-0.00051914i,-0.00023578+0.00030103i,-0.00042208+0.00055176i,0.00034132+0.00020434i,0.0010876+0.0006575i,0.00091885+0.00025884i,0.00058593-0.0001695i,0.00041666-0.00011521i,1.2482e-05+0.0001695i,-0.00068918+0.00084124i,-0.00060255+0.00047792i,0.00013736+0.00017099i,0.00023038+0.00028597i,0.00016391-0.00012345i,-7.084e-05+7.1596e-05i,-0.00058672+1.5845e-05i,-0.00039675-0.00019462i
0.00087926+0.0012633i,0.0018096+0.001838i,0.00092166+0.0035321i,-0.00048184+0.0036948i,-0.00087901+0.0020174i,-0.00045362-0.00065154i,-0.00055464-0.0019538i,-0.00083493-0.0010901i,3.9411e-05+0.0001271i,0.0004055+0.00048624i,-7.7886e-05-0.00026217i,4.2165e-05-0.0012263i,0.00058124-0.0012058i,0.00068247-0.0010049i,0.00053744+5.5689e-06i,0.00045057+0.00074025i,0.00021334+0.0007028i,-0.00028841+0.000814i,-0.00021682+0.00012941i,-0.00027351-3.2434e-05i,-0.00080688-0.00027385i,-0.00076997-0.00080734i,-0.00033874-0.00053836i
-3.2665e-05-0.0018905i,0.002252-0.0013152i,0.0021804-0.00023297i,0.0012768+0.00074407i,0.00071866+0.0019459i,-0.0010773+0.0022806i,-0.0019378+0.0013488i,-0.0010316+0.0004929i,-0.00049794+1.8957e-05i,-0.0011666-2.403e-05i,-0.00073259+0.00030083i,4.8348e-05-0.00019455i,0.00025144-0.00091296i,0.0004872-0.00072958i,3.4973e-05+0.00033201i,-8.288e-05-0.00012112i,-0.00052086-0.00093804i,-0.00056692-0.00016148i,-0.00055604+0.00026373i,-0.00076953-8.5955e-05i,-1.6946e-05+0.00041119i,0.00038539+0.00019394i,0.00016512+0.00018227i
0.0024274-0.004173i,0.0018746-0.0067136i,0.002273-0.0074013i,0.0018613-0.0053429i,0.00018421-0.0025839i,-0.00046233-0.00074039i,-0.00052641-0.00065552i,-0.00085588-0.00014429i,-0.00074416+9.2498e-05i,0.00011896-7.1455e-05i,0.0004773+0.00017511i,-0.00010822-0.00016247i,-0.00043577-0.00033605i,-0.00055471-5.8564e-05i,7.7674e-05-1.9842e-05i,0.00035161+0.00019592i,8.2389e-05+0.00038278i,-0.00037934+0.00018498i,-0.0004632-1.6216e-05i,-0.00046962+0.00037024i,-0.00054424+0.0006418i,-0.00045251+0.00030079i,-0.00055745-0.0003018i
-0.00035467+0.00085848i,-0.00040557-0.00067492i,-0.0013534-0.00282i,-0.0018976-0.0043099i,-0.00037967-0.0035849i,0.0010428-0.0015817i,0.00046494-0.0007195i,-0.00015669-0.00028066i,0.00058964-7.8243e-05i,0.0010803-0.00050052i,0.00047233-0.00049135i,-7.3567e-05-0.00052498i,-0.00032452+6.1051e-06i,-0.00012651+0.000568i,-0.00060901+0.000259i,-0.00042579-0.00069032i,-6.0105e-05-0.00077857i,-0.00099988-0.00024164i,-0.00063214+0.00017636i,-7.0733e-05+0.00057356i,-0.00048649+0.0013546i,-7.3411e-07+0.0013524i,0.00043119+6.4853e-05i
0.00067416+0.0003923i,0.0001954+0.0010311i,-0.0002841+0.0012152i,-0.0015077+0.0012871i,-0.0022163+0.00041957i,-0.0013067-4.1981e-05i,-0.0010161+0.00076434i,-0.0013141+0.0011158i,0.00016569+0.0005888i,0.0012356+0.00016423i,0.00043742-0.00016871i,-0.00025263-0.00041414i,0.00015364-0.00067212i,0.00018546-0.00056609i,-9.0305e-05+0.00023688i,-0.00054441+0.00058937i,-0.00080468-6.8839e-05i,-0.00036562-0.0006784i,0.00031455-4.4311e-05i,0.00030859+0.00097662i,-0.00011655+0.00088998i,0.0003876+0.00033555i,-2.4772e-05+0.00032916i
0.00013615-0.0020405i,0.0011818-0.0019922i,0.0011341+0.0011752i,0.000148+0.0033359i,-0.00032259+0.0027537i,-0.00097691+0.0012757i,-0.0011982-0.00028347i,-0.00053798-0.00064748i,0.00044706+0.00017851i,0.00018186+0.0010749i,-0.00021766+0.0011932i,0.00042023-0.00029412i,0.00038723-0.0011762i,0.00081594-0.00029944i,0.001629+0.00046162i,0.001208+0.00021787i,0.00032502-0.00013915i,-0.00018448+0.00037992i,-0.00052658+0.0010188i,-0.00037061+0.00095524i,-0.00011709+0.00025836i,-0.00029906+0.00045948i,-0.00046919+0.0010901i
