-0.0024609+0.0018924i,0.00043396+0.00033523i,0.0014356-0.0019298i,0.00026669-0.0028407i,-0.001015-0.0016595i,-0.0015926+0.0004367i,-0.0014076+0.0012064i,-0.00045249+0.00082501i,-2.6994e-05+0.00056227i,-0.00030665+0.00061272i,0.00013956+0.00027649i,0.00045142-0.00093464i,-9.38e-05-0.0010621i,0.0001447-0.00059074i,0.00025252-0.00090428i,0.00031329-0.0007169i,0.00074315-0.00023167i,0.00025761-0.0003852i,-0.00062403-0.00032246i,-0.00040283-0.0001574i,0.00026244-0.00022027i,0.00041299-0.00032835i,0.00063208-0.00013275i
-0.00073399+0.0023443i,0.000669+0.0015225i,0.00094941-0.00082721i,0.0011223-0.0018515i,0.00096023-0.0016003i,0.00088865-0.0015995i,0.00087962-0.00029545i,0.00038976+0.00086385i,0.00054558+0.00065591i,0.00091803+0.00018237i,0.00080773+0.00066347i,6.3633e-05+0.00045364i,-0.00045284+7.7245e-05i,-3.5283e-05+0.00010467i,-0.00016937+5.1672e-05i,-0.00055843+0.00044407i,-0.00044157-0.0003387i,-0.00070293-0.0018713i,-0.0008143-0.0018188i,-0.00016407-0.0014515i,0.00044264-0.001444i,0.00092859-0.00030304i,0.00033224+0.00078758i
-0.0033111-0.00074479i,-0.002861-0.0014763i,-0.0025287-0.0020336i,-0.0019879-0.0019434i,-0.0011427-0.00080401i,-0.0005358+0.00018859i,-0.000387+0.00049897i,-0.00071678+0.00036311i,-0.0001192-0.0002175i,-0.00032131-0.00020541i,-0.00058495+3.4343e-05i,-0.00016145-0.00035536i,-0.00027223-0.00040984i,-0.00036692-9.747e-05i,-0.0003187+0.00031547i,-0.00033031+0.00090379i,-0.0006138-0.00011664i,-0.00039056-0.00030978i,0.00015682+5.0614e-05i,0.0006036-0.00045416i,0.00054094-0.00017997i,-0.00011979+8.1171e-05i,0.00021038+0.00020227i
0.0018464-0.0019217i,0.0019088-0.0024729i,0.0017234-0.0041015i,0.0012292-0.0040099i,-0.0010367-0.0029353i,-0.0020663-0.00099542i,-0.0012531+0.00098887i,-0.00036468+0.00099751i,-0.00032991+0.00037727i,-0.00073081+0.00012128i,-0.00081429-3.4973e-05i,-0.00023366-0.00033383i,0.00040479-0.00026178i,-0.00024345-0.00030122i,-0.00055519-0.00050071i,0.0001656-0.00046595i,0.00082392-0.00024486i,0.0014072+0.00016264i,0.00087868+0.00017438i,-0.00048569-0.00022771i,-0.00071269+0.00014173i,0.00031496-0.0001155i,0.00072012-0.00083913i
-0.0011738-0.00062056i,-0.00076022-0.00036263i,-0.00070909-0.0012929i,-0.00091038-0.0015803i,-0.00060549-0.00066769i,-0.00027443+0.00076017i,-0.00045622+0.00084127i,-0.00035646+0.00012189i,-1.5554e-05+9.9904e-05i,0.00058057-0.00038608i,0.00068058-0.00083645i,0.00033448-0.0003468i,0.00059929+0.00024115i,0.00062759+0.00079278i,0.00057709+0.00078393i,0.00069818-1.2154e-05i,0.00047054-0.00071445i,-1.5042e-05-0.00031134i,-0.00051346+0.00054345i,0.00024046+0.0010134i,0.0011285+0.00076322i,0.0011188+0.00041382i,0.00088382+0.00044595i
0.0022782+0.00067977i,0.0030472+0.00012291i,0.0026878-0.0015734i,0.0014281-0.0033855i,0.00026115-0.0030933i,0.0001769-0.0020259i,0.00073099-0.00094512i,0.00055664-0.00025848i,0.00046592-0.00036105i,4.6564e-05-0.00074318i,-0.00035711-0.00043472i,-0.00021988-0.00055385i,-0.0003126-0.0013333i,-0.00064282-0.0010347i,-0.00054887+0.00028633i,-0.00059171+0.00046036i,-0.00012524+4.1251e-05i,0.00052348-1.3298e-05i,0.00010857-4.8909e-06i,-0.00055754+0.00028124i,-0.00045108+0.00062304i,0.00025596+0.00080675i,0.00067617+5.1927e-05i
-0.0011777+0.0039517i,-0.00010348+0.0014479i,0.00094262-0.00064918i,0.0011679-0.0023402i,0.00099569-0.0036258i,0.00024112-0.0025058i,-0.00028228-0.0012398i,6.554e-05-0.00036944i,0.0003294-8.5621e-05i,-1.6978e-05-0.00046371i,0.00049884+7.2439e-05i,0.00035719+0.00044274i,-0.00049235+0.00031174i,-0.00095436-0.00013341i,-0.00059065-0.00046126i,0.00010131-0.00062231i,0.00066073-0.00067483i,0.0005385-0.00056566i,0.00016611-0.00054941i,-0.00051654-0.00037354i,-0.00045916-0.00022629i,0.0003262-1.9632e-05i,0.00033785-1.335e-05i
-0.0021259-0.0020919i,-0.0023343-0.0017171i,-0.0019782-0.0021953i,-0.0028614-0.0031957i,-0.0038132-0.0024885i,-0.0031739+0.00013562i,-0.0018264+0.0011902i,-0.00075676+0.00023826i,-0.00093499-0.00028314i,-0.00096459-0.00020362i,-0.00080225-0.00084547i,-0.0014999-0.001183i,-0.0015958-0.00032347i,-0.000513+0.0004221i,0.00053786-0.00027873i,0.00095722-0.00089976i,0.00066017-0.00078076i,0.00010718-0.0003551i,-0.0005174-0.00028432i,-0.00052383-0.0005963i,-0.00019027-0.00071851i,2.7774e-05-0.0005777i,0.00069496-8.7963e-05i
0.0027424-0.0013323i,0.002198-0.0018023i,0.0020365-0.0035759i,0.000289-0.0038863i,-0.0021043-0.0019953i,-0.0028899-0.00037676i,-0.0024334-3.634e-05i,-0.0011843-0.00029223i,0.00028248+0.00031693i,0.00075183-7.6706e-06i,0.00034582-0.00022837i,-0.00026097+0.00056411i,-0.00079999+0.00025813i,-0.00030708+0.00025417i,0.0003236+0.00076561i,-0.0002773-0.00012628i,-0.00084895-0.00068767i,-0.00025313-0.0005781i,0.00061323-0.00057549i,0.00070177-0.0003158i,0.000412-0.00017284i,0.00027979-0.00084093i,0.00027895-0.00061642i
0.0027281+0.0022012i,0.0053057+0.0009142i,0.0053672-0.00048635i,0.0030612-0.001936i,0.0011656-0.0022492i,0.0011596-0.001296i,0.00069848-0.00078362i,0.00018365-0.00026381i,0.00024077+0.00029915i,0.00062327+0.0001122i,0.00037211-0.00010751i,-0.00014564+0.0001652i,0.00019651+0.00091356i,-0.00011584+0.0013106i,-8.0197e-05+0.00060599i,0.00029036+0.00025198i,0.00089351+0.00010099i,0.0014568-0.00057727i,0.0011358-0.00035272i,0.00016998-5.2912e-05i,-0.00029851-0.00029471i,-0.00052011+0.00041307i,-0.00024159+0.00053295i
-0.00041464+0.0011003i,-0.00072635+0.00024308i,0.00064547-0.0024731i,-1.2195e-05-0.0039284i,-0.0015873-0.0031792i,-0.0013672-0.001968i,-0.00029276-0.00065056i,1.5656e-05+0.0006348i,0.00044447+0.00068095i,0.0011401+0.00042061i,0.00058969+0.00019434i,-0.00051902+0.00018702i,-0.0011032-8.1513e-05i,-0.00032131-0.00052851i,0.00036813-0.00010599i,0.00048954+0.00025789i,0.00032678+0.00024698i,-0.00043987+0.0001313i,-0.00091877+7.1072e-05i,-0.00059663+0.00027523i,-0.00010286+0.0006615i,0.00015498+0.0010006i,0.00037136+5.368e-05i
0.0020118-0.0014006i,0.002306-0.0031854i,0.0016382-0.0041053i,0.00086578-0.0042073i,-0.000907-0.0035512i,-0.0028955-0.0021916i,-0.0021502-0.0014747i,-0.00022873-0.00065864i,1.2875e-05+6.9239e-06i,-0.00059419+0.00013023i,-0.00029151+0.00036202i,-0.00067419+0.00074646i,-0.0011093+0.00043155i,-0.00075243-0.00033408i,-0.000547-0.00091105i,-0.00042877-0.00021201i,0.00048403+0.00037528i,0.00049388-0.00015628i,-8.3709e-05-0.00032654i,-0.000347+0.00052315i,-0.00015057+0.00072513i,0.00034218+0.00012013i,0.00075712-0.00083711i
-0.00015446+0.00096249i,3.5263e-05+0.00042315i,0.00010461-0.0013456i,-0.00046137-0.0023049i,-0.0013827-0.0015003i,-0.001896-0.0005939i,-0.0015761+0.00017453i,-0.00068512+0.00074256i,-1.0694e-05+0.00019052i,-0.00014003+0.00021048i,-0.0011514+0.00018625i,-0.00094665-0.00046987i,-0.000615-0.00043679i,0.00017845+3.6362e-05i,0.00077386-9.7908e-05i,4.9032e-05-0.00094023i,2.2223e-05-0.00043433i,0.0004317+8.4692e-05i,0.00030313-0.00028824i,-0.00065573-0.00012228i,-0.0009337-0.00036412i,-9.9439e-05-0.00083293i,0.00048636-0.00019489i
0.0027108-6.252e-05i,0.001896-0.0017145i,0.00098723-0.0029238i,0.00030389-0.0032089i,-0.00094388-0.0024275i,-0.0015354-0.00066016i,-0.00071242+0.0010356i,-0.00025398+0.0021553i,0.00021551+0.0016498i,0.00043676+0.00080369i,0.00013586+0.00033602i,-0.00025817-6.3961e-05i,-0.0003121+0.001228i,-0.00015057+0.0020903i,-0.000193+0.0008248i,-0.00051606+5.1825e-05i,-0.00014395+0.00014223i,0.00041032-0.00027715i,4.6659e-05-0.00016046i,4.5314e-05+0.00038595i,-0.00066809+7.9499e-05i,-0.0006663-0.00024028i,0.0003689+0.00030507i
-0.0020159-0.00084306i,-0.0019753-0.0003742i,-0.0014689-0.00038558i,-0.00084912-0.00095191i,-0.00027954-0.00090171i,-0.00013738+0.00061491i,-0.00065504+0.0010281i,-0.00054085+0.00043024i,6.7113e-05+0.0011098i,-0.00064369+0.00076381i,-0.0011045-0.00029103i,-0.00088862+4.6892e-05i,-0.0005461+0.00021107i,-0.00029806-5.8189e-06i,-0.0004977+0.00014362i,-0.00027238-0.00023015i,-4.1171e-05-0.00047446i,0.00025428-0.0003204i,-0.00039988-0.0007319i,-0.00079735-0.0012449i,-0.00074402-0.0006086i,-0.00067837-0.00047834i,-0.00070648-0.00055908i
1.5458e-05+0.0013634i,0.00096525+0.00017339i,0.00098443-0.0010464i,0.0011603-0.0015107i,0.0014707-0.0011381i,0.00085953-0.0008773i,0.00057188-0.00031211i,0.00056143-0.00019011i,0.000224-0.00017885i,-6.4471e-07+0.00019633i,0.00034587+0.00019338i,0.00047669-0.00031514i,0.00051889-0.00089601i,-0.00013063-0.00027577i,-0.00026625+0.00053431i,0.00035805-0.00014228i,0.00099647-0.00057884i,0.00041566+0.00041993i,0.00018484+0.00025711i,-0.00036486-0.00061102i,-0.0013039-0.00051194i,-0.001018-0.00040993i,-0.00010887-0.00033135i
-0.0015685+0.00022994i,-0.00047406+0.0003006i,0.00014501-0.00097583i,0.00034787-0.003002i,-0.00015071-0.0031297i,-0.00061765-0.0017864i,-0.00010746-0.00055996i,0.00023328-9.6045e-05i,0.00072177+0.00058258i,0.00088608+0.00098984i,0.00052864+0.00054388i,0.00023917+5.477e-05i,-0.00036395-0.00052751i,-0.0002228-0.00065151i,-0.00033593-0.00041359i,-0.0013055-0.00093976i,-0.00074668-0.00091421i,0.00016162+5.3894e-05i,-0.00055484+0.00023014i,-0.00040899+5.3512e-05i,0.00031125+0.00024633i,-4.9289e-05+0.00038744i,-0.00016699-0.00020973i
0.0018303+0.00016033i,0.0029553-0.00094213i,0.0026503-0.0024153i,0.00058417-0.0030777i,-0.00092215-0.0021726i,-0.0013265-0.00119i,-0.00084-0.00039416i,-0.00061322+0.00018968i,-0.00048584+0.00015189i,-8.4541e-05+0.00021068i,0.00031324-4.5727e-05i,0.00045292-0.00080475i,-0.00024335-0.00037942i,-0.00081267+0.00043946i,-0.00090218+0.00041604i,1.0033e-05-0.00021371i,3.8646e-05-0.00033118i,-0.00042546+6.3438e-05i,0.00011981+0.00021564i,0.00050205+0.00049843i,0.00058399+0.00033467i,0.00051183-0.00011257i,0.00033299+0.00066164i
9.9572e-07+0.0038265i,0.0007724+0.0028603i,0.00075238+0.0017806i,0.0012203-9.1162e-05i,0.0010746-0.00045524i,0.00075598-9.5202e-05i,0.00013597+0.00037791i,-0.00024065+0.00074886i,-0.00041014+0.00081967i,-0.00030445+0.0007904i,-0.00024013+0.00095215i,-0.00020528+0.0010713i,-0.00036229+0.00039229i,-4.105e-05-0.00043142i,-6.174e-05-0.00025123i,-0.00055963+0.00013835i,-0.00063988-5.9513e-05i,-0.0001722-0.00011551i,0.00016498+0.00033504i,7.3458e-05+0.00060567i,0.00025597+3.4736e-05i,0.00038407-8.3892e-05i,0.00013269-0.0002105i
-0.0017296+0.0012143i,0.00023745+0.00064828i,0.00093697+7.5376e-05i,0.00051628-0.0007344i,0.00066082-0.0011384i,0.0007797-0.0016057i,0.00050826-0.00076373i,9.7927e-05+0.00064787i,-6.9489e-05+0.0016424i,8.0074e-05+0.0015465i,0.00054363+0.00031432i,0.00053874-0.00044622i,0.00028462-0.00049831i,0.00036203-0.00039481i,0.0003625-0.00017068i,0.00080131-0.00044092i,0.00074013-0.00035355i,0.00035662-0.00013293i,-0.00032807-0.00051817i,-0.0012059-0.00074538i,-0.00059555-0.00078455i,4.6753e-05-0.00039639i,0.00014038+0.00048684i
-0.0029822+0.0023273i,-0.0024858+0.001712i,-0.0013021-0.00032321i,0.0008055-0.0024021i,0.0015917-0.0024269i,0.0010792-0.0015179i,0.00046466-0.0006641i,0.00047755+0.00033232i,0.00035402+0.0017031i,0.0004312+0.0012006i,0.00076134+0.00046992i,0.00032505+0.00088617i,-0.00060656+0.0002629i,-0.0010597-0.00044668i,-0.00081303-0.00047428i,-0.00073828-0.00059116i,-0.00026216-0.00068326i,0.0004754-0.00037942i,0.00092151+0.00055352i,0.00054329+0.0010176i,-0.00039855+0.00083304i,-0.00016895+0.00069036i,0.0002338+0.00064681i
0.00054785-0.0010675i,-7.8375e-05-0.0021152i,-0.00072361-0.0035977i,-0.00056007-0.0034562i,-0.00085066-0.002318i,-0.00060739-0.00091131i,0.00010009+0.00041237i,0.0002838+0.0006086i,0.0002549+0.00090976i,0.00027612+0.00087406i,4.5012e-07-1.4658e-05i,-0.001013-0.00066174i,-0.00080423-0.00083885i,-0.00053647-0.00045658i,-0.00015321-0.00022308i,0.00084012+0.00013672i,0.0014962+0.00034464i,0.0014406-0.00038512i,0.00075788-0.00057689i,9.6317e-06-0.00040578i,-0.00032636-0.00042196i,-3.1794e-05-0.00039856i,0.00029371-0.0003208i
-0.00064638+0.0046957i,0.00014909+0.0035486i,0.00018532+0.0012187i,4.4042e-06-0.0007668i,-0.00073535-0.00093642i,-0.00076787-5.9762e-05i,-0.00038984+0.00075198i,-0.0010146+0.00072917i,-0.001114+0.00035367i,-0.00051284+0.0002871i,-0.00046992-0.00013878i,-0.00024807+0.00029828i,2.8267e-05+0.0015129i,-0.00094996+0.0016136i,-0.0011687+0.00081259i,-0.00032549+0.00018031i,0.00028481-0.00024814i,0.00077799-0.00012573i,0.00026136-0.00028245i,-0.0005231-0.00070255i,-0.00072678-0.00065887i,-0.00054113-0.00030219i,-0.00018506-0.00041537i
