-0.0033149+2.3448e-05i,-0.002027-0.00037604i,-0.001503+0.00019525i,-0.00077268+0.0012502i,-0.0001421+0.0020797i,-3.086e-06+0.001011i,-0.0009093+0.00053347i,-0.00054752+0.00074519i,4.4906e-05+0.00074852i,0.00055473+6.9918e-05i,0.0014526+0.00041266i,0.0010223+0.00042911i,-0.00023728-6.9826e-05i,0.00016608-0.00084642i,0.0017724-0.0017797i,0.0016936-0.0010654i,0.0013183+2.6874e-05i,0.00083381+0.00064838i,-0.00011986+0.00066281i,-0.0005614-0.00016265i,-0.00040606-0.00017494i,0.00058929+0.0001858i,0.0011424+0.00066148i
-6.6776e-05+0.0016797i,0.00036827+0.0012847i,0.001919+0.00072023i,0.0017121-0.00024869i,0.00082744+4.8168e-06i,-0.00010473-0.00034399i,-0.00090812-0.00062827i,-0.00079375-0.00047275i,-0.00031918-0.00061927i,0.00047601-0.00030213i,0.00081017-7.161e-05i,-0.00010818-5.4552e-05i,-0.00090691-0.00038288i,-0.00074254-0.00086829i,-4.1947e-05-0.00094835i,0.00067135-0.00076207i,0.00082922-0.0003921i,0.0007846+0.00016838i,0.00053599+0.00056341i,0.00012324+0.00058722i,-5.1839e-05+0.00061191i,6.7869e-05+0.00053505i,0.00013368-0.00012755i
-0.00082493-0.0013364i,-0.00024215-0.00034984i,-0.00072527+0.00059188i,-0.00032512+0.00095693i,0.00013087+0.00043981i,-9.0907e-05-0.00027587i,0.00025539-0.00023703i,0.0011084-0.00082977i,0.001162-0.00077447i,0.00039627+0.00059519i,-0.0001227+0.0007269i,2.3542e-06-7.9595e-05i,0.0010054+0.00014149i,0.0019225+0.0003854i,0.0012303-0.00021808i,0.00087174-0.00010172i,0.00064969+0.0009773i,-0.00017288+0.00090028i,-0.00082122-8.7909e-05i,-0.00062664-0.000645i,-0.00026327-0.00051264i,-9.0372e-05+0.00025682i,-0.00066495+0.0010407i
-0.00094369-0.0017488i,0.00013711-0.00020251i,0.00052422+0.00010279i,-4.66e-05-1.9427e-05i,4.8185e-05+0.00060369i,0.00030672+0.00048485i,-0.00020987-4.0098e-05i,-0.0004723-3.4614e-06i,-0.00010824+0.00047305i,-0.00012011+0.00057778i,-0.00023848+0.00046499i,1.1241e-05-0.00029003i,2.3253e-05-0.00051701i,-0.00028386-9.0766e-05i,-0.00027241-0.0001098i,-0.00021077-3.1032e-06i,-0.00034501+9.5545e-05i,-0.00018586+9.2033e-05i,0.0003157+4.2457e-05i,0.00033043-0.00015843i,5.2215e-05-0.0007206i,0.00017182-0.0010207i,0.00044951+4.7232e-05i
-0.00035078-0.0020851i,-0.00042278-0.0012067i,-0.00054365+0.00086481i,-0.00047628+0.0019656i,0.00016486+0.0020389i,0.00082432+0.00085179i,0.0010804-4.4834e-05i,0.0005337-0.00018103i,-0.00032653-0.00081556i,-0.0007268-0.00075512i,-0.0001826+3.7302e-05i,0.00035998+0.00030497i,0.00068422-3.491e-05i,0.0016535+0.00075466i,0.0021021+0.00093322i,0.00086883+0.00022822i,0.00021472-0.00023877i,0.00017427+7.0985e-05i,0.00018264+0.00039462i,-4.4124e-05+0.00011558i,-0.00060763-6.0862e-05i,-0.00064827+0.00064952i,0.0002442+0.00067346i
0.00049174+0.00048987i,0.00030645-0.0002144i,0.00087009-0.00010148i,0.001928-0.0003291i,0.0013438-0.0017281i,-9.1669e-05-0.0019353i,-0.00081639-0.00096245i,-0.00067234+9.9411e-05i,6.5015e-05+0.00015967i,0.00024677-0.00026192i,0.00021526-0.00037685i,0.00045543-0.00018806i,0.00018937+0.00012226i,-0.00057416+0.00020986i,-0.0010743-0.00057045i,-0.00067291-0.0010077i,1.3826e-05-0.00082241i,-0.00030419-0.00071016i,-0.00076968-0.00050685i,-0.00054287-0.00044221i,0.00031788-0.00062304i,0.00017453-0.00034934i,-0.00053053-2.3733e-05i
0.00022279-0.0018076i,-0.00037269-0.00097091i,-0.00054991-0.00074535i,-0.00064327-0.001225i,-0.00034002-0.0011819i,-0.00040172-0.00060601i,-0.00090586-0.00033275i,-0.00025629-0.00033992i,0.00011322-0.00014491i,-3.8163e-05+0.00072098i,0.00010546+0.00065639i,0.00029308-0.00016989i,0.00050863-0.00047532i,0.00025891-0.00038898i,-0.00079685-9.8679e-05i,-0.0010776-0.0004521i,-0.00029381-0.00055075i,-0.00011243-0.00050479i,-0.00025089+0.00041431i,-0.00056009+0.00085635i,-0.0010821+0.0001508i,-0.0011179-5.5846e-05i,-0.00056422-0.00035684i
0.0014683-0.00034395i,0.00055617-0.00019927i,0.00037178-0.00056588i,0.00066801+4.3439e-05i,0.00011684-0.0003878i,-0.00015755-0.001724i,-0.0003671-0.0013731i,-0.00031879-0.00095444i,0.00069704-0.00060689i,0.0014556+3.9866e-05i,0.00073478+0.00045075i,0.00016178+0.00083495i,-2.7029e-05+0.0010758i,-0.0011007+0.00094007i,-0.00094454-8.4592e-05i,0.00054963-0.00045046i,0.00070838+5.9923e-05i,-0.00035531-5.8037e-05i,-0.00081223-9.7977e-05i,-0.00075335-8.2023e-05i,-0.00083419-0.00052958i,-9.1933e-05-0.00038493i,0.00031074+0.00018356i
5.5532e-05+3.5157e-05i,0.00039745+0.00017792i,0.00020385+0.00046704i,-0.000137+0.00040739i,0.00036558-1.8583e-05i,0.00048506-0.00037646i,-0.00047762+2.8719e-05i,-0.0002627+0.00054247i,0.00012267+0.00059505i,-0.00038173+0.00021899i,-0.0004294+0.00016419i,3.3153e-05+0.0003602i,0.00038783+0.00054312i,0.00014283+0.00023945i,-0.00010581-0.00016504i,0.00030172-1.2766e-05i,0.00095057+9.1075e-05i,0.00098976+0.00023477i,0.0010228+0.00075583i,0.00079168+0.00085668i,-5.8961e-05+0.0001485i,0.00011079-0.0001878i,0.00068021-0.0005135i
-0.00081918-0.00031106i,-0.0011853-0.0013812i,-0.00015511-0.0013011i,0.00019224-0.00038779i,4.1836e-05+0.00037745i,0.00024841-0.0001725i,0.0010268-0.0006423i,0.00089894+0.00015372i,0.00021744-1.5689e-05i,0.00023893-0.00038336i,-0.00014079-0.00011246i,-0.0010785+7.1686e-05i,-0.0010141+0.00030082i,-0.00063036+0.00088355i,-0.00048203+0.00077644i,8.0779e-05+0.00023395i,9.3587e-05+0.00016725i,0.00017806-1.5908e-05i,0.00059144-0.00084109i,0.00034045-0.00038724i,-2.3891e-05+0.00055436i,1.2931e-05+0.0009502i,0.00017025+0.0009145i
-0.00021017-0.00056156i,-1.1588e-05-0.00045224i,-0.00053062+0.0012239i,-0.00035701+0.0028285i,-4.1657e-05+0.0017829i,0.00072918-0.00024107i,0.00040158-0.0011435i,-0.00040217-0.0015474i,-0.00010595-0.001382i,0.0001347-8.5312e-05i,0.00042753+0.00021916i,0.00027561+0.00029188i,-0.00063905+0.00080509i,-0.00044863-6.216e-05i,0.00081704-0.00040924i,0.00060591-0.00065304i,-0.00036255-0.0011443i,-0.0010041-0.00094514i,-0.00051245-0.0012275i,4.8478e-05-0.0008911i,0.00029765+0.00018205i,0.00031073+0.00013614i,0.00052132+3.2179e-05i
0.0013-0.00064668i,0.0010311+1.7076e-05i,-0.0010972+0.00037376i,-0.0014446-0.00067379i,-0.0007853-0.0010723i,-0.00091813-0.00082444i,-0.00051758-0.0009251i,0.00097986-0.00072782i,0.0011937-0.00025327i,-7.7795e-05+0.00030935i,-0.00054065+0.00090331i,0.00029637+0.00047738i,-5.0368e-05-0.00038557i,-0.00060985-0.00097687i,0.00027875-0.00060202i,0.00061083-0.00020753i,0.00053721-7.1634e-05i,-4.5895e-05+0.0002311i,2.5255e-05+0.00039002i,0.00042372+0.00064373i,6.7099e-05+0.00093201i,0.0001238+0.0010434i,-4.0561e-05+0.00073129i
0.0022456-0.001066i,0.0025559-0.0016468i,0.0017636-0.0014858i,0.0011277-0.0010436i,0.0010906-0.00093182i,0.00018707-0.00063639i,-0.0010842-0.0004835i,-0.0012559-0.00049287i,-0.00052302-3.4786e-05i,-0.00010087+0.00024034i,-0.00069527+7.2101e-05i,-0.0011088-0.0003253i,-1.2047e-05-0.00052548i,0.00066567+0.00023114i,0.00048116+0.00040907i,0.00014147+0.00017397i,0.0001097-1.6288e-06i,0.00040747+0.00036234i,6.1089e-06+0.0010449i,-0.00042797+0.00075061i,0.00012504+0.00069454i,0.00022088+0.00054319i,-0.00067753+1.6922e-05i
-0.0026872+0.0003498i,-0.0029055+0.000839i,-0.0025006+0.00155i,-0.00086922+0.0015054i,0.00030881+0.00062142i,0.00062126-0.00080691i,0.00079866-0.0013366i,0.0010615-0.0013616i,0.00074111-0.00078891i,0.00031902-9.7353e-05i,7.5215e-05-8.7963e-05i,-0.00077093+0.00020462i,-0.00081936-0.00021073i,-0.00074932-0.0011926i,-0.00062917-0.0010724i,0.00028451-0.0006517i,-0.00011136-0.00085491i,-0.00083907-0.00077261i,-0.00048563-0.00067395i,4.2715e-05-0.0002406i,0.0003183-0.00010101i,0.00057679-0.00043575i,0.00045493-0.00024016i
0.00067642+0.0016404i,0.0010595+0.00033194i,0.0015861-0.0009085i,0.0019035-0.000894i,0.0010673-0.0010973i,-0.00022759-0.00088472i,-0.00084029-0.00040332i,-0.00035244-0.00033426i,0.00028047-0.00036399i,-0.00026704-0.00083956i,-0.00050047-0.00089422i,-0.00035022-0.00041411i,-0.00091439-0.00032962i,-0.0015776-0.00094666i,-0.0016313-0.00047479i,-0.0016349-2.2128e-05i,-0.0012902-0.0003126i,-0.00053192+9.3834e-05i,-0.00022389+0.00085112i,-0.00038568+0.00083588i,-0.00065685-7.2682e-05i,0.00015708-0.00064323i,0.00049218-0.00051763i
-0.0016603+0.00080667i,-0.00089176+0.0012909i,-0.00063039+0.0017306i,0.00025179+0.0010378i,0.00073639+0.00043735i,-5.2501e-05-0.00040452i,4.743e-05-0.00078086i,0.0006-0.00035339i,0.00071722-0.0001224i,0.00027367-0.00029319i,4.0968e-05-0.00058531i,-0.00010393-0.00060429i,-0.00037502+0.00038764i,-6.1751e-05+0.00081775i,-7.5401e-05+6.6806e-05i,0.00043764-0.00051436i,0.00011883-0.00061098i,-0.0008233-0.00025484i,-0.00059897+0.00048704i,-0.0006009+0.00036491i,-0.00053185+0.00010136i,-0.0008503+0.00023439i,-0.0008651+0.00012204i
-0.00071375-0.00038306i,-0.0008193-0.00053957i,-0.0010661+5.6856e-05i,-0.00077835+0.00037399i,-4.2651e-05+0.0010283i,0.0005968+0.00074342i,0.00094008-0.00010594i,0.0005769+0.00027562i,-0.00016029+0.00075203i,-0.00023997+0.0003951i,-0.00024815+0.0006509i,-0.00014884+0.00077316i,0.00024899+0.00070915i,0.00075432+0.00026474i,0.00079755-1.6639e-06i,0.0015061-0.00014984i,0.0015736-0.00097298i,0.00029508-0.00087284i,0.00052459-0.00051392i,0.00099106-0.00015391i,6.6796e-05+0.00027819i,-0.00038996-0.0002441i,0.0004802-0.00056935i
-0.00067288+0.00079358i,-0.00045541+0.0012529i,0.00023798+0.0016134i,0.00064223+0.0013841i,0.00037607+0.00042837i,-0.0004967-0.00014514i,-0.0010243-0.00036668i,-0.00091864-0.00030373i,-0.00052656+0.00041207i,0.00035017+0.00086016i,0.0011155+0.00076364i,0.00092051+0.000623i,0.0011594+4.3501e-05i,0.001125-0.0013099i,-6.2251e-05-0.0016819i,-0.0003728-0.0012944i,-0.00018528-0.00079588i,-0.00057008-0.00016454i,-0.0002242-0.00011361i,0.00043814+5.1524e-05i,0.000345+0.00063806i,0.00011635+0.0006758i,-0.00025604+0.00074965i
-0.00019073-4.7084e-05i,-0.0011119+0.00054271i,6.2343e-05+0.00035205i,0.0011515+0.00059195i,0.00086727+0.00037267i,0.00044703+0.00019445i,0.00013113-2.6596e-05i,6.469e-05-0.00020845i,0.00064767-0.00021765i,0.0012624+0.00024713i,0.00082878+0.00097203i,0.00012479+0.00080885i,-0.0001704+0.00058636i,-0.00010624-0.00045761i,0.00015555-0.00089399i,-0.00011472+0.00037888i,-9.1672e-05+0.00059168i,-0.00036058-8.9503e-05i,-0.00029631+0.00015152i,0.00037743+0.00037232i,0.00067244+0.0005737i,-1.289e-05+0.0011613i,-0.00050464+0.00097878i
-0.00057072+0.00010937i,-0.00025805-0.00033715i,0.00021577-0.00021563i,0.00063759-0.00023938i,0.00071647-0.0010022i,0.00063724-0.001455i,-0.00060985-0.0012216i,-0.0012427-0.00036977i,-0.0003521-9.4173e-05i,-6.6874e-05+0.00033554i,-0.0004861+0.0008195i,-0.00067993+0.0002386i,-0.00037363-3.3713e-05i,-7.8055e-05+0.00032643i,-0.0010369+0.00046276i,-0.0012531+0.00042492i,-0.00056937+0.00031986i,-0.00028152+0.00036471i,0.00032431+0.00014211i,0.00096658-0.00026916i,0.00084031+0.00030383i,0.00056817+0.00068566i,0.00038028+0.00083666i
0.00096114+0.0018757i,0.00053225+0.00071582i,0.0001452+0.00061613i,-0.00035023+0.00015093i,-0.00013661-0.00062787i,-0.0003543-0.00061039i,-0.00097953+5.9238e-05i,-0.00070756+0.00074882i,0.00026028+0.0001777i,0.00058992-0.00023289i,0.00048896-0.0002258i,-0.0001926+0.00028903i,-0.00045108+0.0010745i,-0.00024403+0.0005159i,-0.00025912-0.00045687i,-0.00040419-0.00066392i,-0.00053217+0.00012818i,-0.00037666+0.00098175i,-0.00030629+0.00082939i,0.00010078+0.00023431i,0.00013756+0.00045819i,-0.00036034+0.00081238i,-0.00012973+0.00057271i
-0.00076901-1.0319e-05i,0.0003661-0.00022328i,0.0008332-0.00032126i,0.00088174+0.00021067i,0.00099484+0.00031694i,0.00054144+0.00018408i,0.00021325-0.00034057i,-4.5373e-06-0.00081813i,3.8975e-05-0.0010466i,-1.0344e-05-0.0002244i,0.00045787+0.00051104i,0.0011709-0.00060233i,0.0010284-0.00093198i,0.00095663-0.00043944i,0.00052476-0.00060601i,-0.00073105-0.00063983i,-0.00059646-0.0002548i,-6.5632e-05+0.00024714i,-0.00033432+0.00034477i,-0.0003014+0.00026139i,0.00024292+0.00065702i,0.0006517+0.00090712i,0.00098903+0.0010111i
-0.00075658-0.00062839i,-0.0011981-0.00020834i,-0.00067069+0.00063983i,-0.00031456+0.00079085i,0.00036954+0.00035082i,0.00046002-0.00083712i,7.9019e-05-0.001106i,0.00022112-0.00039093i,0.00031375+7.3181e-05i,0.00016364+0.0004354i,0.00029875-0.00016361i,0.00094123-0.001123i,0.0010393-0.0011722i,0.0009171-0.00032705i,0.00061103+0.00036013i,-0.00014061-0.00024503i,-0.0003613-0.00090938i,-0.00039058-0.00095213i,-0.000316-0.00079243i,-0.00045298-0.00020784i,-0.00075493+0.00052116i,-0.00067168+0.00048862i,-0.00058319+0.00044395i
0.00082298+0.00092781i,0.0015833-0.00040348i,0.0021142-0.00076713i,0.0015026-0.00073132i,0.00059191-0.00043814i,0.0001071-6.9048e-05i,-0.00026516-0.00056351i,-0.00027566-0.00056242i,0.0006253+9.5534e-05i,0.0010689+0.00013452i,0.0010373-0.00064612i,0.0004244-0.00090923i,-0.00024212-0.00041104i,-0.0001707-0.0003735i,0.00026237+0.00018012i,0.00056678+0.00041312i,0.00085887-0.0003481i,0.0004688-0.00043043i,-0.00021353-0.00045937i,-1.3632e-05-0.0010943i,-4.901e-05-0.00064838i,-0.00055766-0.00015371i,0.00011845-0.00036513i
-0.0022238-0.00045511i,-0.0021303+0.00072535i,-0.0018897+0.0017277i,-0.00082001+0.0015314i,-6.9389e-05+0.0002871i,-9.5092e-05-0.00082656i,-0.00030098-0.0013575i,-0.00038917-0.0011208i,-0.00085879-0.0010669i,-0.00060564-0.00055304i,-0.00037314+0.0003174i,-0.00051122-7.4512e-05i,-0.000293-0.00042692i,0.00045649-0.00079061i,0.0004302+4.0823e-05i,0.00085626+6.9988e-05i,0.0011406-0.0006958i,-7.2981e-05-0.0005798i,-5.8284e-06-0.00040054i,0.0003207-7.2814e-05i,-0.00034641-0.00015253i,-0.00054968-8.2651e-05i,0.00011285+0.00019861i
-0.0018844+0.00063854i,-0.0010839+0.0010216i,-0.00024835+0.0013414i,0.00025753+0.00046219i,0.00033543-0.0008724i,0.00019521-0.001074i,5.8192e-05-0.00030135i,-0.00023951+0.00013947i,-0.00050428+9.5449e-05i,-0.00020979+0.00036369i,0.00020166+0.00025663i,0.00041495+3.2845e-05i,0.00058062-2.0705e-05i,0.00082716-0.00093141i,-0.00010727-0.00089592i,-0.00058548-0.000328i,3.5608e-06-0.0010627i,-0.00014491-0.0012025i,-0.00088687-0.00047313i,-0.00043833+0.00032836i,8.9142e-06+0.00068722i,-0.00041562+0.00045052i,-0.00036012-0.00010294i
0.00042835+0.00067878i,0.0007628-6.9426e-05i,0.00091951-0.00021715i,0.00089653+9.1323e-05i,0.00050173-0.00075876i,-0.00015652-0.0014128i,-0.0004208-0.0010713i,0.00010393-0.00028981i,0.00097424+0.00014358i,0.0015213+0.0003001i,0.0009436+0.00077534i,0.00011328+0.00042402i,-0.00061504-1.1484e-05i,-0.00058679+2.9208e-05i,-0.00038999-0.00079257i,-0.00058458-0.00093969i,-0.00065644+0.00015928i,-0.0013282+0.00077589i,-0.0012143+0.00055875i,-0.00013926+0.0011467i,0.00035892+0.0014538i,0.00028029+0.0010314i,0.00018446+0.00049156i
0.0035421+0.00087407i,0.0031878+7.5028e-05i,0.0024718-0.0019589i,0.0016996-0.001824i,-0.00015093-0.00084271i,-0.0010338-0.00037607i,-0.00067303-0.00066537i,-0.00067576-0.00069328i,-0.00039324-0.0010183i,2.8564e-05-0.00078804i,0.00028508+0.00023358i,-0.00061733+0.00091267i,-0.0010474+0.00099128i,-0.00087588+0.0007271i,-0.00050569+0.00061076i,0.0005106+0.00064988i,0.00042147+0.00027677i,-0.00011496-2.0268e-05i,0.00022629-0.00041831i,0.0010526-0.00091484i,0.00095645-0.00094676i,0.00055413-0.00034702i,0.00024768+0.00032413i
0.00065269+0.00027382i,-7.7353e-05-0.0012453i,-0.00064518-0.0024069i,-0.0009562-0.0015471i,-0.0008282-0.00090564i,-0.00071187-0.00084399i,-0.00033383-0.00033837i,0.00047408+0.00036151i,0.00077371+0.00013156i,0.00096053-0.00021477i,0.00083084+3.8794e-05i,0.00020754+0.00023515i,-0.00043712+0.00042733i,-0.00030031+0.00032183i,0.00042145-0.00012333i,0.00091599+0.00020809i,-0.00013011+0.00059162i,-0.00082139+0.00040232i,-1.009e-05+0.00048737i,-0.00010172+0.00041719i,-0.00082819+0.00027039i,-0.0013479+0.00048114i,-0.0012225+0.00036765i
0.00023114+0.00049018i,0.0020549+0.0011141i,0.0024047+0.0014243i,3.4899e-05+0.00039228i,-0.0013986-0.00078064i,-0.0018932-0.00099882i,-0.00082887-0.00016938i,0.0011827+8.1554e-05i,0.0016332-0.00037499i,0.00071309-0.00051845i,-0.00019995-0.00039851i,-0.00018703+0.00033238i,6.5727e-05+0.00091958i,-0.00023735+0.00063666i,-0.00042742+0.0002549i,-3.8421e-05+0.00024849i,0.00021992+0.00041114i,-9.8797e-05-1.8723e-05i,-0.00072828-0.00017513i,-0.00029101+0.00020008i,0.00023348+0.00016489i,0.00042651-0.00022633i,0.00018179-0.00061618i
0.0003012-0.0023553i,-0.00028419-0.00082329i,-0.0010156-0.00044791i,-0.00090813-0.00037835i,-0.00033688+0.00016279i,0.00033257+0.00010654i,0.00056127-0.0003719i,0.00026278-0.00086681i,0.00024795-0.00072914i,-0.00022476-0.00051976i,-0.00029829-0.00012795i,-0.00012477+0.00029544i,-5.3597e-05+0.00013369i,0.00028529-0.00013421i,0.0003715+2.258e-05i,-3.8611e-05-5.7338e-05i,0.00038015-0.00049467i,0.0007475-0.00072427i,0.00015436-0.00044227i,-0.00039756-3.0012e-05i,-0.00077821-0.00018192i,-0.00046245-5.6951e-05i,0.0001334+7.4804e-05i
0.0011176+9.1729e-06i,0.0016046-0.0020227i,0.0018595-0.0023398i,0.00079166-0.0016516i,0.00040803-0.001491i,0.00053244-0.0013812i,4.0184e-05-0.00061487i,-0.00018699+1.5484e-05i,0.00018058-0.00024977i,0.00012501-0.0011642i,8.6724e-05-0.00098896i,-0.00034547-0.00015001i,-0.00040768+4.2034e-05i,-4.5332e-05-0.00030488i,-0.00038966-0.00052043i,-0.0011512-0.0001828i,-0.001145+0.00045986i,-0.00050958+0.00060703i,-0.00097446-0.0003495i,-0.0010482-0.0010155i,-0.00021749+0.00010292i,0.00029043+0.0011282i,0.000213+0.00040922i
