-0.004832-0.00017859i,-0.0040294+0.00067612i,-0.004035+0.0029718i,-0.0037035+0.0034028i,-0.0019445+0.0041347i,-0.00042835+0.0038476i,2.1897e-05+0.0017936i,0.00042927+0.00028737i,0.001242+0.00043659i,0.0016256+0.00088988i,0.001002+0.00011627i,0.0011265-0.00051873i,0.0014065-0.0010805i,-0.00028104-0.0014891i,-0.0010317-0.0013242i,-0.00024349-0.001297i,-0.0002066-0.0011776i,-0.00030515-0.00068885i,-0.00028421-0.00045901i,2.6249e-05-0.00029591i,0.00035964-0.00021677i,8.1553e-05-0.00037408i,-0.00052902+7.2604e-06i
-0.0019417-0.00090623i,-0.0019708+0.00020441i,-0.0029686+0.0013033i,-0.00272+0.0017357i,-0.002408+0.0023966i,-0.0018762+0.0028274i,-0.00042936+0.0013961i,0.00073017+0.00014956i,0.00027713+3.1237e-05i,0.00037335+0.00036598i,0.00090043+0.00079371i,0.00091249+0.00043089i,0.00063448+0.00042517i,0.00019401+0.0009503i,0.00057967+0.00059248i,0.0011988+4.4472e-05i,0.00088687-0.00011186i,2.8944e-05-0.00011678i,-0.00030482-6.3989e-05i,8.4486e-05+0.00072567i,9.7394e-05+0.00082643i,-0.00021444+0.0001187i,0.00012708-6.5286e-05i
0.00063832-0.0017894i,-8.568e-06+0.00034034i,-0.0012372+0.0013838i,-0.0022286+0.0012538i,-0.0020972+0.0015088i,-0.0018206+0.0015875i,-0.0012943+0.0011451i,-0.00078194+0.00045375i,-0.0001201-0.00030473i,0.0004268-0.00070801i,0.00020532-0.00056488i,0.00015215-0.00029173i,-4.0096e-05-1.0017e-05i,-0.0007665-0.00011778i,-0.00083277-0.00063125i,-0.00039494-0.00027251i,0.00045882+0.0010565i,0.00084101+0.0015237i,0.00051046+0.00042032i,4.7087e-05-3.3146e-05i,0.00052843+0.00038769i,0.00052376+0.00074413i,0.00021484+0.00081318i
-0.0018766-0.00095809i,-0.0029746+0.00048722i,-0.0034508+0.0016521i,-0.0018196+0.002482i,2.3489e-05+0.0023596i,0.00042083+0.001839i,0.00099643+0.00085051i,0.00083382+4.3063e-06i,-0.00041812+0.00024914i,-0.00099729+0.00051475i,-0.00040351+0.00051671i,0.00035865+0.00041083i,4.5135e-05-0.00016352i,0.0002993-1.051e-06i,0.00092187+0.0001332i,0.00031517-0.00023859i,6.3809e-05-0.00097961i,0.00025255-0.0010637i,-4.5488e-05-0.0008916i,-0.00063859-0.00059281i,-0.00029712+8.0158e-05i,0.00012446+0.00059317i,6.1655e-05+0.00080865i
0.00072595+0.00031182i,0.00026108+0.00064313i,-0.00067714+0.00028893i,-0.0012662-3.7812e-05i,-0.0012702-0.00063551i,-0.0010309-0.000377i,9.3568e-05+0.00041606i,0.00039735+0.00047589i,-0.00035207+0.00041399i,-0.0003887+0.00041207i,-0.00015081+0.00065408i,4.3484e-05+0.00087781i,0.00039822+0.00047812i,0.00022802+5.1938e-05i,-0.0011988-0.00036758i,-0.0013312-0.0010428i,-0.0004805-0.00037608i,-0.00099217+0.00055424i,-0.00084704+0.00032183i,-0.00012801+3.2693e-05i,-0.00041095+0.00017172i,-0.00016136+2.3934e-05i,0.00028232-0.00051289i
0.00014676+0.00067741i,0.0012133+2.0326e-05i,0.0013906+0.00034871i,0.00033665+0.00031385i,5.3156e-05+0.00091021i,-4.8484e-05+0.00062212i,0.00045425+0.0004501i,0.00067427+0.0012367i,0.0001441+0.0013314i,-0.00056919+4.6937e-05i,-0.00050919-0.0009742i,-0.00038284-0.0011157i,-0.00072416-0.00046626i,-0.0010193-8.8342e-05i,-0.000585-0.00043942i,0.00042632-0.00059027i,0.00032055-0.000245i,-0.00015436-0.00013544i,-5.2106e-05+0.00044685i,-0.00035368+0.00080202i,-0.00046394+0.0001562i,-0.00029013+0.00034408i,-0.00074302+0.0008564i
-0.00069584-3.0778e-05i,-0.0004672+0.0011136i,-0.00056168+0.0022792i,-0.00098512+0.0024029i,-0.0015119+0.0020909i,-0.00091679+0.0011045i,-0.0004553+0.00018671i,-0.0011433+0.00030637i,-0.0023898+0.00073281i,-0.0014404+0.00072311i,-0.00016793+0.00038113i,0.00020872-0.00023594i,0.00079195-0.00034497i,0.00041361-0.00041568i,-0.00065974-0.00029514i,-0.00047507+3.383e-05i,0.00046425+0.00027856i,0.00081622+8.0663e-05i,0.00071052-0.00062779i,-0.00012301-0.00038229i,-0.00049764+0.00025647i,-7.9512e-05-0.00017687i,0.00029228-0.00047111i
4.8493e-05-0.0009536i,0.00024729-0.0018541i,-0.00046841-0.0020257i,-0.0014282-0.001897i,-0.0010819-0.00099367i,-0.00057232+0.0013373i,-7.1894e-05+0.0017519i,0.00027792-4.3321e-05i,-0.0001937-0.00038476i,-0.00041607+0.00022616i,-0.00036055+0.00068972i,-0.00020823+0.00036715i,0.00020141+0.00012724i,0.0007151-0.00029597i,0.00096789-0.00086994i,0.00050118-8.246e-05i,9.6927e-06+0.0006759i,-0.00011912+0.00051591i,0.00023987-8.7249e-05i,0.00083764-0.00030173i,-1.1673e-05+0.0010232i,-0.0008687+0.0008805i,-0.00045141-2.2262e-05i
0.00035668+0.00089088i,0.00011858+0.00080098i,-0.00054729+0.0012788i,-0.00067931+0.0018508i,-0.0002638+0.0012602i,-0.00017318-3.8435e-05i,-0.0001478-0.00025707i,-0.00022087+0.00087141i,-0.0010328+0.0016359i,-0.0012484+0.0011276i,-0.00023066+0.00016363i,0.0010193-0.00015395i,0.00044898+0.00049412i,-0.00031696+0.0009123i,8.3374e-07+0.00017278i,0.00015156-0.0003931i,0.00104-0.00044987i,0.0015544+5.3191e-05i,0.00083046+0.00019088i,0.00043155+0.00054403i,-9.5921e-05+0.00022242i,-0.00053598-0.00050803i,1.8104e-05-0.0007955i
-0.0008582+0.000399i,-0.00094585+0.00043856i,-0.0014458+0.0017064i,-0.0011874+0.0022405i,-0.0011099+0.0011233i,-0.0018011+0.00055412i,-0.0018734+0.00066128i,-0.00043768+0.00021957i,1.2628e-05-0.00028014i,-0.00018975-0.00010802i,-0.00025255-0.00067607i,-4.723e-05-0.0006786i,-0.00037946+1.5438e-05i,-0.0010182-0.00029652i,-0.00023171-0.0003672i,0.00025672+1.0465e-05i,8.2352e-05+5.795e-05i,0.0004116+0.00023575i,0.00039529+0.00016257i,-0.00041508+0.00063578i,-0.0014931+0.00044538i,-0.0012664-0.00032788i,-0.00053712-0.00022296i
-0.0012823-0.00068122i,-0.0011334+0.00015044i,-0.00097442-8.5057e-05i,-0.00043642-0.00032966i,0.00041258+0.000714i,0.00032212+0.0011871i,0.00018165+0.00075754i,8.5314e-05-0.00015799i,-0.00040944-0.00067405i,-0.00077322+4.1972e-05i,-0.00035515+0.00059489i,0.00069565+0.00035669i,0.00095697-3.8985e-06i,7.4235e-05-6.7398e-05i,-0.0011659-6.2618e-06i,-0.00081528+7.9404e-05i,0.00011584+4.5006e-05i,-2.9835e-05+0.0002426i,0.00030326+0.00048832i,0.0010641+0.00051848i,0.001314+0.0003003i,0.00092899-3.8393e-05i,-0.00016605-6.9e-05i
-6.3529e-05+0.00099586i,-8.5388e-05+0.00015147i,-0.00094984-0.00021353i,-0.0016032+1.6723e-05i,-0.0017499+0.0007778i,-0.0010584+0.00068379i,-0.00079962+0.00015071i,-0.00122-0.00048555i,-0.0012778-0.0006845i,-0.00096837-0.00045566i,-0.00091509-0.00081531i,-0.00067799-0.0012152i,-0.00045145-0.00072601i,-0.00016222-1.9398e-05i,-0.00018046+0.00059311i,-7.7416e-05+0.0010297i,0.0001271+0.00078934i,0.00041567+0.00027397i,0.00036662-0.00032314i,0.00026966-0.00080595i,0.00035501-0.00061101i,-0.00057259+3.1357e-05i,-0.00089458+0.00014308i
0.00045694+0.0024014i,0.0012259+0.0028272i,0.0013138+0.0026822i,0.00066697+0.0020199i,-0.00027475+0.0014048i,-0.00096464+0.00052674i,-0.0011931+0.00021382i,-0.00076352+2.1362e-05i,0.00010655-0.00011153i,0.00042875-0.00021015i,0.00011636-0.00050923i,-0.00035406-0.00036546i,-0.00076194-0.00028547i,-0.00065033+0.0001211i,-0.00057207+0.00050964i,-0.00022059+0.00062595i,-9.9045e-05+0.00079462i,-0.00038647+0.00030837i,-0.00026423-0.00037942i,-0.00016235-0.00061962i,-0.00014164-0.00038909i,4.8203e-05+9.4089e-05i,-0.0001309+0.00048855i
-0.0013027-0.00014719i,-0.0014313+0.00091095i,-0.0018434+0.0023124i,-0.0008934+0.0025366i,0.00043405+0.0018676i,0.00037691+0.0010702i,-0.00021753+0.00031458i,-0.00057793-0.00034362i,-0.00043029-0.00053789i,-0.00032011-0.00011557i,-0.00014851+0.00056365i,-0.00014354+0.00050428i,-0.00093532-0.00026407i,-0.00093899-0.00050514i,-0.00036283-0.00092529i,-0.00041664-0.0013927i,-0.0007332-0.0016489i,-0.00051409-0.00060025i,7.2615e-05+0.00053339i,0.000754+0.00018716i,0.00077596+0.00010972i,0.00057887+0.00031856i,0.00072065+0.00052027i
-0.00014679-0.00097358i,0.00014967-0.00073378i,-0.00015015+4.6932e-05i,-0.00035093+0.00061919i,-0.00054846+0.00069234i,-9.4318e-05+0.00051505i,7.1248e-05+0.00038611i,-0.00020103-0.00031041i,-0.0001995-0.00073676i,-2.9448e-06-0.00019183i,8.9106e-05+0.00022181i,-0.00038163+8.5188e-05i,-0.0002644-0.00040821i,0.00012631+2.7936e-05i,-0.00027484+0.001032i,-0.00047369+0.00094907i,-0.00037738+0.00084068i,0.00026989+0.0005404i,0.001058+9.6155e-05i,0.0010854+0.00086279i,0.00057625+0.0013851i,0.00021427+0.00079371i,9.2377e-05+0.00030671i
-4.3048e-05-0.00020684i,4.2729e-05+0.00030758i,0.00083168+0.0010023i,0.00045481+0.0011281i,-0.00058506+0.0011134i,-0.00043517+0.0015337i,0.00071246+0.00071737i,0.0003998-6.7215e-06i,-0.00036862+0.0002782i,-0.00082051+0.00013916i,-0.00050543-0.00054104i,-8.3751e-05-0.00052126i,-0.00012028+0.00028003i,-0.00031673+7.7401e-05i,-0.00011353-0.00042564i,0.00047633-0.00042843i,0.00061946-0.00057747i,0.00050743-0.00042785i,0.00080867+0.00029391i,0.00059918+0.00078794i,-0.00026299+0.00088365i,2.7877e-05+0.00030378i,0.0003689-0.0005961i
-0.00022124+0.0021593i,-0.00018709+0.0020337i,-0.00049228+0.0021834i,-0.00068181+0.0015762i,-0.00054466+0.00027773i,-0.00052534+0.00060617i,-0.00075847+0.00076506i,-0.00041723+0.00032661i,0.00050488+0.00063358i,0.00077958+8.8543e-05i,0.00029041-0.0001181i,-0.00065439-5.6804e-05i,-4.5426e-05-0.00017244i,0.00078728+4.7285e-06i,0.00064536+0.00044059i,0.00016321+0.0010795i,-0.00039227+0.0010806i,-0.00035169+0.0004455i,-0.00055946+0.00015412i,-0.00028803-0.00070609i,0.00044123-0.00080906i,0.00015219+0.00032633i,-0.000423+0.00030688i
0.0004066+0.00098722i,0.0001905-0.00023362i,0.00045074-0.00017471i,0.00013168+0.00041361i,0.00015163+0.00079591i,-0.00050354+0.00014137i,-0.00097674-0.00031874i,-0.00051426+0.00029263i,-0.00034896+0.00072287i,0.00036169+0.00052896i,0.00067536+0.00032953i,0.00030678+0.00044074i,8.2619e-05+0.00016195i,-0.0003352+3.5496e-05i,-0.00054647+3.1781e-05i,3.317e-05-0.00029967i,-3.7214e-05-0.00087258i,-0.00041012-0.00079516i,-0.00051309-2.7696e-05i,-0.00089931+0.00036045i,-0.00076495+0.00047733i,0.00010863+0.0004809i,0.00098589+2.3849e-05i
0.0021894-0.00039785i,0.0018678-0.00061677i,0.0021208+7.8887e-05i,0.0006725-4.2937e-05i,-0.00016873+0.00015579i,0.00021891+0.0014465i,5.5296e-05+0.001631i,-0.00036491+0.00029931i,-0.00035675-0.00050695i,-0.00023949+1.7492e-06i,-0.00047599+0.001149i,-0.00017127+0.0011498i,-0.0001295+0.00076878i,-0.00054875+0.00043567i,1.5883e-05+1.5717e-05i,0.00030338+0.00033475i,0.00063918+0.00072603i,0.00077428+0.0009095i,0.00021898+0.00062139i,0.00026402-0.00014034i,0.0003394+6.9791e-05i,6.5893e-05+0.0012978i,-0.00020775+0.0012593i
-0.00076574-0.00011035i,-0.00023423+0.0016706i,-0.00026815+0.0028196i,-0.0014444+0.0015635i,-0.0015366+0.00046969i,-0.00074441+0.0011948i,-0.00054206+0.00072916i,-0.00069548+0.00037947i,-0.00060345+0.00045491i,-0.00040136+0.00033063i,-0.000333+0.00017769i,-0.00074898+4.5605e-05i,-0.00076455+2.5749e-05i,-0.00073798-0.00023026i,-0.00038064-0.00026724i,0.00035853-0.00029108i,-0.00021371-0.00033594i,-0.00079135-0.00060313i,-0.00029193+4.2187e-05i,0.0002736+6.6567e-05i,3.7826e-05-0.00057723i,-0.00038955-0.00043532i,-6.7828e-05+0.00014248i
0.001546+0.0010136i,0.0013294-0.00022294i,0.00053044-0.0013159i,-0.00086758-0.00094122i,-0.001704-0.00062335i,-0.001504+6.8736e-05i,-0.0011082+0.00044735i,-0.0002976+1.3481e-05i,0.00090482-0.00064261i,0.00042871-0.0012275i,-0.00071123-0.00079573i,-0.00041642+0.00068325i,-0.00015812+0.0015181i,-0.0012766+0.0013533i,-0.00086356+0.00066878i,-0.0001217+0.00046961i,-0.0004807+5.9084e-05i,-0.00074905-0.00029742i,-0.0005194+5.8356e-05i,3.8088e-05+6.424e-05i,0.00013184+0.00018749i,-0.00041435+0.000367i,-0.00073405-8.3726e-05i
-8.495e-06+2.5553e-05i,-0.00038312-0.00090683i,-0.0010938-0.00043298i,-0.00047412+0.0013953i,0.00051961+0.0021135i,0.0001068+0.0010236i,-0.00050552+7.317e-05i,0.00038856+0.00022878i,0.00039339+0.00071136i,0.00059687-2.6963e-05i,0.00097006-0.00096081i,0.00078196-0.00074624i,0.00042925-0.00037125i,4.2075e-05-0.00067767i,-0.00013717+0.00010117i,-0.0003751+0.00091386i,-0.00073105+0.00054097i,-0.00045021+0.00012383i,0.00074675+0.00017708i,0.0011633+0.00020131i,0.00055715+0.00021525i,0.00017207+0.00038119i,0.00029144+3.6415e-05i
-0.00051722-0.00037002i,0.00063969+0.00072673i,0.00090152+0.0011253i,-0.0008036+0.00085321i,-0.0014591+0.00088344i,-0.0012623+0.00091183i,-0.00011072+0.00086856i,0.00065162+0.00027175i,0.00039803-0.00013589i,0.0008486-0.00010764i,0.00087842+0.00021806i,0.00022319+0.00068869i,0.00075537+0.00038508i,0.0010392+0.00011478i,0.00075332-0.00014099i,0.00021615+0.0001034i,-0.00031371+0.0001956i,-0.00068257-0.00019903i,-0.00079514+0.00044761i,-0.00063516+0.0010887i,-0.00021854+0.00048798i,0.00016131+0.00016156i,0.00043479+0.00092245i
-0.000973-0.0003458i,-0.0021738+0.00043447i,-0.0029656+0.0012109i,-0.0019697+0.0016847i,-0.0014659+0.0021687i,-0.0013139+0.0019635i,-0.0015145+0.0013472i,-0.0012225+0.00090438i,-0.00038771+0.0012189i,-0.0001372+0.0020555i,0.00065115+0.001308i,0.00097346+0.00037776i,0.00071478+0.00052271i,0.00080463+0.00032889i,0.0006943+0.00029847i,0.00046043+0.00030399i,0.00084049-3.9803e-05i,0.00021017+0.00047988i,-0.00060468+0.0011528i,0.00017279+0.00078629i,0.00057449+0.000499i,0.00023794+0.00026226i,6.3423e-05-6.6763e-05i
-0.00025319-0.00092521i,-0.00097596-0.00043697i,-0.0016554-0.00012011i,-0.0027414+8.2709e-05i,-0.0026357+0.00047869i,-0.001739+0.00098945i,-0.00028347+0.0010859i,0.00077394+0.00032234i,0.00072153-0.00026518i,-0.00028487-0.0002563i,-0.00047521-0.00053224i,0.00057065-0.00089017i,0.00067416-2.713e-05i,-0.00037941+0.00057805i,-0.00062885-0.00028687i,0.00034802-0.00079869i,0.00037851-0.0005057i,-0.00041255-0.0004i,-0.00066369-0.00048022i,-0.00078092+0.00039424i,-0.00069649+0.00095068i,-0.00041473-0.00028313i,0.00074172-0.00071839i
-0.00076651+0.0018127i,0.00032134+0.00062529i,0.00081513+0.00010542i,0.00037829+0.00033618i,0.00080246+0.00091247i,0.00074114+0.0018903i,0.00021256+0.0019058i,-0.00025983+0.0010799i,-0.00061638+0.0011472i,-0.00021364+0.00033328i,0.00043899-0.00012205i,7.5205e-05+0.00057158i,-0.00026778+0.00025613i,0.0003561-3.9563e-05i,0.00071932-0.00030788i,0.00065406-0.00051684i,-0.00027074+9.1223e-05i,-0.00088593+0.00017821i,-0.0001715+0.00042456i,0.00058792+0.0011716i,0.00087657+0.00052103i,0.00054111+0.00014588i,0.00063962+0.00058524i
0.00027111+0.0015177i,0.00015257+0.0017346i,0.00017127+0.00080937i,0.0004664+0.00073922i,-4.2426e-05+0.00061609i,-0.0003198+0.00040152i,0.00029442+0.00061989i,0.00046859+0.00058352i,0.00029246+0.00049141i,0.00029723-5.6104e-05i,-0.00065638-0.00048013i,-0.0011851-0.00040421i,-0.00051181+0.00022901i,2.8063e-07+0.00014137i,0.00015677-0.00017413i,0.00029118-0.00012434i,-0.00013864+0.00013326i,-0.00076667+0.0005685i,0.00037464+0.00077636i,0.0012369+0.00035357i,0.00056571-0.00033208i,0.00042574-0.00033334i,0.00046686-0.00025862i
-0.00058281-0.0003425i,-0.00081101-0.00067902i,-0.00042269-0.00028279i,-0.00023748+0.00026717i,-0.00067406+0.00074314i,-0.00080104+0.0010416i,-0.00076961+0.0011453i,-0.00050458+0.00067724i,-0.00011071+0.00039406i,0.0004464+0.00067939i,0.00023124+0.00037062i,-5.0741e-05-0.00037708i,-0.00010274-0.00020685i,-0.00039948+4.9062e-05i,-0.00052707+0.00023728i,-0.00031536+0.00099972i,-0.00043202+0.0014761i,-0.0005781+0.00043455i,-0.00028983-0.00052861i,-8.314e-05-8.8487e-05i,0.00018838+0.00033851i,0.00055467+0.00026363i,0.00013883+0.00015464i
-0.0016985+3.277e-05i,-0.0018065+0.00245i,-0.0022499+0.0036622i,-0.0017449+0.0031933i,-0.001157+0.002642i,-0.0006551+0.0017697i,-0.00050732+0.0010153i,-2.2883e-05+0.0014236i,-0.00011945+0.0012108i,-0.00024562+0.00081457i,0.00028389+0.00012984i,0.00070763-0.0010429i,0.00015334-0.00014327i,-0.00072134+0.0006186i,-0.00046302-0.0002452i,-2.1293e-05-0.00068564i,0.00022694-0.00054669i,0.00030969+0.0003782i,0.00024657+0.0011669i,0.00016676+0.00087202i,0.00019164-4.8854e-05i,-0.00031138-0.00091176i,-0.0004367-0.001404i
0.0010042-0.00043148i,0.00050428+0.00061511i,-1.5519e-05-0.00082023i,-0.00067152-0.0013505i,-0.0016696-0.00073091i,-0.0014288-0.00014957i,-0.00043443-5.7946e-05i,0.00070607-0.00010012i,0.0014969+9.9992e-05i,0.00061527+0.00013033i,-0.00046724-0.00031503i,-0.00028497+0.00029064i,-0.00047603+0.00066657i,-0.00069029+0.00017255i,-0.00058082+8.1434e-05i,-0.00022333+0.00030028i,-0.00047788+0.00032111i,-7.4212e-05+3.8228e-05i,0.0010473+0.00023181i,0.00059113+0.00016002i,-0.00030724-0.00036579i,4.9466e-05-8.7269e-05i,9.3101e-05+0.00041416i
-0.0023889+0.0011444i,-0.0018816+0.0013601i,-0.00038399+0.0025943i,0.00018969+0.003805i,-0.00045138+0.0028614i,-0.0010051+0.00084971i,-0.0013594-0.00062868i,-0.0015085-0.00048868i,-0.0012684+0.00017063i,-0.00054986+0.00077913i,0.00016548+0.00042342i,-0.00038806-0.00068689i,-0.0012579-0.0010903i,-0.0014133-0.00043117i,-0.0012115-0.00050938i,-0.00086971-0.00070155i,-0.00013169-0.00040391i,0.00079518+7.1687e-05i,0.00060514+0.00015673i,0.00043248-2.9873e-05i,0.00021291-4.1591e-05i,0.00053196-0.00032187i,0.00089311-0.00041135i
0.00076045-2.3572e-05i,-0.0005121-0.00085112i,-0.0012299-0.00067426i,-0.00057403-0.00091586i,0.00018001-0.0007864i,0.0003422+0.00086606i,0.00051449+0.0017775i,0.00052471+0.0013969i,0.00062443+0.00069732i,0.00078705+0.00012219i,0.0012019-0.0005393i,0.0006065-0.0006524i,-0.00010895-3.1669e-05i,0.0003204+0.00042923i,0.00051727-0.00015243i,0.00052151-0.00035267i,-2.6841e-05-0.00015679i,-0.00036604+0.00075887i,-0.00020594+0.00095871i,-3.3908e-05+0.00061385i,-4.3626e-05+0.0010043i,-0.00014686+0.00062976i,8.5888e-05+0.00027568i
