-0.00095115+0.00056655i,-0.0023973-0.00049348i,-0.0022451-0.0011459i,-0.0020371-8.5606e-05i,-0.0015802+0.00099972i,-0.0018049+0.0025405i,-0.0011278+0.002547i,0.00056898+0.0015128i,0.0009494+0.00070479i,0.00044638+0.00024963i,0.0001859-0.00061744i,-0.00021401-0.0010353i,0.0005805-0.00043504i,0.0011534-0.00063388i,-0.00014224-0.00088454i,-0.00075731-5.8562e-05i,-0.00038011+4.0797e-05i,-0.00030628-0.000138i,-0.00015707+0.00017102i,0.00019789+0.0008825i,0.00029833+0.00086872i,3.9786e-05+0.0001374i,0.00011311+8.521e-05i
0.0017871-0.0022777i,-0.0010409-0.0017474i,-0.00252-0.0020695i,-0.0016133-0.0012512i,-0.0017523+0.00020512i,-0.0019843+0.0012483i,-0.0011004+0.00071494i,8.9371e-05-0.00026726i,0.00034879-0.00051841i,-0.00031479+0.0001081i,-0.00063867+0.00020248i,-0.00049028-0.00078764i,-0.0004089-0.00045051i,-6.8823e-05+0.00062023i,0.00038244+0.0010421i,0.00085081+0.0009453i,0.00087086+4.8185e-05i,0.00070833-0.00055129i,0.00059065-0.00039858i,0.00031609-0.00019026i,-0.00034632+0.00013422i,-0.00092661-0.00012635i,-0.0001658-0.00067928i
0.0016656+0.00068251i,0.0018197-0.00069021i,0.0023977-0.000473i,0.0026384+0.00012759i,0.0016661-0.0003941i,4.1242e-05-0.00064457i,-0.00083395-0.00041675i,-0.00051107-8.845e-05i,-0.00016867-0.00020335i,-0.00058059-0.00054765i,-5.9063e-05-0.00051866i,-7.0659e-05-0.00017914i,-0.0011837-0.0002312i,-0.0012517-0.00049955i,-0.00097882-0.00015702i,-0.00075223+0.00048264i,6.0525e-05-0.00036577i,0.00041747-0.001507i,-0.00013389-0.0007148i,-0.00084442-4.4249e-05i,-0.00025856-0.00040396i,0.00044687-0.00047738i,-3.1963e-05+2.9951e-05i
0.0027349-0.00094145i,0.002266-0.00055419i,0.0014433+0.00017512i,0.0009799-0.00012642i,0.00040673-0.00051244i,-0.00085537+0.00081529i,-0.0007613+0.0012801i,-0.00012096+0.00084828i,0.00052511+0.00015651i,0.00086528+0.00039064i,0.00041598+0.00046369i,0.00042138-0.00027279i,0.00046014+0.00045835i,-6.7053e-05+0.00093295i,-0.00046195-5.2589e-05i,-0.00040313-0.00067512i,-0.00020036-6.5029e-06i,-4.3769e-05+0.00017965i,0.00073093-0.00053569i,0.00062921-0.00051538i,3.0391e-05-0.00044566i,0.00039901-0.00065483i,0.00063351-0.00076356i
-0.0018425-0.001769i,-0.0016758-0.001104i,-0.0025031-0.0005983i,-0.00211+0.00064445i,-0.0015203+0.0018343i,-0.00076724+0.0015687i,0.00023589+0.00097535i,2.5321e-05+0.00024914i,-0.00010537-0.00017445i,0.000287+0.00041782i,0.0010908+0.00090458i,0.0008489+0.00049329i,0.00062532+0.0002181i,0.0011303+0.0010967i,0.00039525+0.0010748i,-0.00050641-0.00033996i,-0.00038642-0.00045356i,-0.00027242+0.00023282i,0.00058376-0.00019864i,0.00088565-0.00054836i,-0.00014811+4.9456e-05i,-0.00068326+0.0010238i,8.7894e-05+0.00090681i
0.0004663-0.00022295i,0.0004377-0.00094049i,0.00098109-8.0297e-05i,0.0021939+0.00069558i,0.0021615+0.00030454i,0.00049276-0.00020743i,-0.00070075-0.0001455i,-0.00047476+0.00038521i,9.8819e-05+0.001036i,-0.0001117+0.0012703i,-0.00026952+0.00040728i,-0.00023755-0.00071143i,-0.00090614-0.00091945i,-0.0011963-0.00059736i,-0.00089445+1.3774e-05i,-0.00019139-6.6209e-05i,6.403e-05-0.00021694i,-0.00034568-0.00053588i,-0.000746-0.00035413i,-0.00058011+0.00083879i,-0.00035251+0.0012316i,7.7735e-05+0.0012119i,0.00050793+0.00097844i
0.00040388-0.0014417i,0.00088874-0.0018617i,0.0012046-0.001049i,0.00082202-0.00017847i,2.4237e-05+0.00040929i,-0.00048359+0.00057692i,-0.00087146+0.0015051i,-0.0008602+0.0016925i,-0.00033612+0.00089622i,-0.000655+0.00086537i,-0.00061476+0.00069416i,-7.2079e-05+0.00041096i,2.5889e-05+0.00036383i,0.0002177-0.00028329i,0.00060024+0.00030503i,0.00062651+0.00142i,0.00034779+0.0011863i,-0.00019367+0.00041605i,-0.00056566+9.0782e-05i,-0.00088424+0.00029792i,-0.0010678+0.00021087i,-0.00053881+0.00070999i,1.6702e-05+0.00065231i
0.00060094+0.00064663i,-0.00045003+0.0010372i,-0.00012116+0.0010008i,0.0014786+6.463e-05i,0.0019516+0.00014467i,0.00051146+0.00051637i,-0.00061879+0.00054834i,-0.00091865+0.00075427i,-0.00013154-0.00016082i,0.0004404-0.0010282i,-0.00029968-0.0011297i,-0.00042766-0.0017399i,0.00025538-0.0018189i,-0.00012247-0.0012226i,-0.00070531-0.00080909i,-0.00036242-0.00073502i,-0.00020532-0.00068728i,3.5631e-05-0.0004195i,0.00032739+0.00025771i,0.00041233+0.00021305i,0.00085458+0.00021491i,0.00095115+0.00052111i,6.3092e-05+0.00034817i
0.00022929-0.0019864i,-0.00097931-0.003631i,-0.00095192-0.0036631i,-0.00066058-0.00169i,-0.00069678-0.00025254i,-0.0012695+0.00031768i,-0.0011271+0.00074541i,-0.00069434+0.00063837i,-0.00091494-0.00042181i,-0.00033662-0.00099362i,0.00077772-8.3111e-05i,0.00099249+0.00089019i,-1.4787e-05+0.00055369i,-0.00037586+0.00042374i,2.8471e-05+0.00064568i,-0.0001303+0.00068843i,-0.00035504+0.00093662i,0.00022773+0.00047824i,0.00025929-0.00044862i,-0.0003063-0.0010598i,-0.00035585-0.00081468i,-0.00024728+0.00018676i,0.00016116+0.00056905i
-0.00022939-0.0017646i,0.00058092-0.0011544i,0.0014197-3.8902e-05i,0.0019904-0.00038025i,0.0018344+0.00022057i,0.000627+0.00063512i,-0.00012035+6.842e-06i,-4.245e-05-0.00043363i,0.00032032-0.00021283i,0.00015283-2.8087e-05i,0.00075384+2.4893e-05i,0.00079099+0.00043354i,-8.4891e-07+0.0007819i,-9.9984e-05+0.00080653i,-9.329e-06-0.00031321i,-0.00014367-0.00072174i,-0.00053691+7.9102e-05i,-0.00049278+0.00089038i,-0.00034203+0.00090242i,-0.00029073+0.00019602i,0.00015429+0.00027882i,0.00037156+0.00023266i,0.00018886-0.00012497i
-0.00030544-0.00068439i,-0.00099121-0.00042485i,-0.0010019+0.00069872i,-7.8744e-05+0.0014491i,0.00012466+0.0006534i,0.00027048+0.0005581i,-0.00071937+0.00070856i,-0.0010769+0.00011535i,-0.00014477-9.4464e-05i,0.00096081+0.00048349i,0.0009132+0.00049492i,0.00019854-0.00011729i,-7.447e-06-0.00034572i,0.00014159-0.0007536i,3.3355e-05-0.00035123i,-0.00024291+0.00015296i,0.00042282-0.00017669i,0.00072042-3.0968e-05i,-0.00017074+0.00060208i,-0.00088628+0.00011486i,-0.00078686-0.00071405i,-0.00016631+1.6618e-05i,0.00026574+8.2461e-05i
-0.00073038-0.0012232i,6.7429e-05-0.00070085i,-4.9333e-05+0.00014516i,-0.00010232+0.00085057i,0.00029116+0.00061963i,-0.00013056-0.00011339i,-0.00070624+0.00011243i,-0.00025348+0.0010553i,0.00021384+0.0015137i,-0.00011157+0.00070027i,0.00061753-0.00041911i,0.00091249-0.00047877i,0.00018153-1.2475e-05i,-0.00017748+0.00016407i,-0.00035903-9.3238e-05i,-0.00023194+2.3437e-05i,4.3384e-05-7.7593e-05i,-8.2182e-05-0.00032565i,-0.00017292-0.00040063i,-1.6217e-05-3.5599e-05i,-0.00084889+0.00097456i,-0.0013916+0.00074386i,-0.000162-6.281e-05i
-0.0020679-0.0004619i,-0.00070449-0.0004666i,5.2714e-05+0.00039345i,0.00033768+0.00070106i,-2.8381e-05+0.00089984i,-0.00025097+0.00024242i,2.1874e-05-7.6801e-05i,0.00081467+0.00056521i,0.00078609+0.00092054i,0.00019794+0.00061337i,0.00058219+6.6116e-05i,0.0002226-4.2849e-05i,-0.00064228-0.00040218i,-0.00074905-0.0013177i,-2.5342e-05-0.001527i,0.00054526-0.00039545i,0.00029147+0.00067476i,-2.9754e-05+0.00053706i,0.00036858-9.2397e-05i,0.00091682-0.00054857i,0.00094796+0.0002504i,-2.2604e-05+0.00073802i,-0.00069218+0.00021032i
-0.001345+1.1678e-05i,-0.0018567-0.00024005i,-0.00081446+0.00038132i,0.0002041+0.0012366i,-8.8024e-06+0.001516i,-0.00076226+0.00125i,-0.00092421+0.00079638i,-0.0006189+0.0004622i,-0.00013215+0.00049568i,0.0002811+0.00041221i,0.00064896+0.00016431i,0.00082252-0.00016994i,-6.7716e-06+0.00030123i,-0.00032708+0.00029813i,0.00025576-0.00019289i,-3.5106e-05+0.0003169i,-0.00055764+0.0004648i,-0.00068819+0.00043982i,-0.00026072+0.0005663i,-9.3119e-05+0.0005147i,0.00030787+0.00016307i,0.00088421-3.1509e-05i,0.00054576-0.00011394i
9.0821e-05-0.0035778i,-0.00091999-0.0023949i,-0.0014043-0.00098396i,-0.0013771-0.00068044i,-0.00065577-1.1208e-06i,-0.00030293+0.00026207i,-0.00036434+0.00038925i,0.00075324+0.00077843i,0.0012642+0.00023217i,0.00035838-0.00015638i,-0.00033439+0.0001006i,-6.7035e-05-6.0762e-05i,-0.00013486+0.00017148i,-0.00054615+0.00049368i,-0.00025725+0.00048654i,-0.00026501-0.00016065i,-0.00034168-0.00050061i,0.00012515+0.00013672i,0.00051111+0.00041949i,0.00068351+0.00012477i,0.00026762-0.00039904i,-0.00032029-7.9253e-05i,0.00025601+0.00020586i
-0.00053176-0.00097625i,-0.00066687+0.00072201i,-0.0012242+0.0017359i,-0.00085388+0.00217i,-0.00032373+0.0023216i,0.00018956+0.0017133i,0.00038832+0.0013682i,0.00079494+0.0010559i,0.00097062+0.0002931i,0.00029793+0.00061534i,0.00010021+0.0010173i,0.00085879+0.00048625i,0.00069379+0.00068002i,0.00059676+0.0010169i,0.0010061-5.1871e-05i,0.00018474-0.00039967i,-0.0009722+0.00022609i,-0.00082051+0.00018001i,-0.00063839+7.896e-05i,-0.0006582+0.00050044i,0.00025611+0.00066679i,0.00086441+0.00042578i,0.00031264+0.00061697i
-0.001793-0.0019899i,-0.0021046-0.0018199i,-0.0022818-0.0011046i,-0.0010464+0.00029526i,0.0006245+0.0015773i,0.00037604+0.001613i,-0.00074374+0.0010374i,-0.00093555+0.00074562i,-0.00019471+0.00061171i,0.00029564+0.00037871i,0.00025334+0.00070405i,0.00076919+0.00058719i,0.0015477-0.00051206i,0.00097411-0.00069228i,0.00055401-0.00029778i,0.00056216-1.4267e-06i,0.00047025+0.00090073i,0.0005533+0.00046702i,1.6954e-05-0.0003102i,-0.0012098-0.00031034i,-0.0010286-0.00025199i,-0.00021258+0.00025252i,-0.00028842-7.233e-05i
-0.0020519-0.0019059i,-0.002131-0.0019814i,-0.002422-0.001356i,-0.0025223+0.00014123i,-0.0012585+0.0012618i,5.8749e-05+0.0013368i,0.00031476+0.0012322i,0.00020683+0.00064445i,-0.00020722+0.00011074i,0.00010054+7.9328e-05i,0.0008021-0.0002196i,0.00098686-0.00074488i,0.00045522-0.0011554i,0.00023399-0.00062191i,0.00056551-0.00026864i,0.00059881-0.00073385i,0.00031008-0.0011771i,-0.00036425-0.0011861i,-0.00025556-0.0012441i,0.00032477-0.0012768i,4.8777e-05-0.00047682i,0.00034317+0.0002963i,0.0012089+0.00020321i
0.0013195-0.00085373i,0.0022661-0.00070903i,0.0026751+0.00028293i,0.0021068+0.00063223i,0.0013714+0.0010219i,0.00050328+0.00052858i,-0.00019795-0.00010731i,-0.00012777+0.00031744i,6.5998e-05+0.00055574i,0.00079269+0.00056442i,0.00091007+0.00027611i,0.00040044+1.9605e-05i,0.00024496-0.00058175i,0.00039835-0.0010867i,0.00022129-0.00041175i,-0.00017619+0.0001889i,-0.00021447+0.00012495i,-0.00056662+0.0001952i,-0.00057642+0.00051862i,0.00030915+0.00069926i,0.00063794+0.00045013i,0.00052241+0.00023673i,0.0011218+0.00035661i
0.00076825-0.00015655i,-0.0010013-0.00071557i,-0.0013441-0.00014766i,-0.00060597-0.00071529i,-0.0007753-0.00056126i,-0.0014323+0.00016844i,-0.00091288+0.00035906i,-0.00011152+0.00072472i,-0.00014866+0.00028787i,0.00040631+0.00011304i,0.001117+0.00019459i,0.0004657-0.00086268i,-0.00063784-0.0012065i,-0.00096728-0.0011321i,-0.00045782-0.0004143i,-0.00047474+0.00061441i,-0.00015569+0.00025394i,0.00096231-3.0305e-05i,0.0010266+4.8965e-06i,0.00067591+7.9594e-05i,0.00011498-6.6744e-06i,0.00010638-0.00031506i,0.00045611+0.00038911i
0.00070008+0.00042089i,0.00026725-0.00078565i,0.00022034-0.0010524i,0.00085032-0.0007267i,8.6938e-05-0.00026627i,-0.00096937+0.00090435i,-0.0012238+0.0015874i,-0.00075677+0.00091689i,-7.95e-05+0.00010712i,0.00013386-7.6791e-06i,-0.00070068+0.00029306i,-0.0017873+6.6765e-05i,-0.0013616-0.00028435i,-0.00052433-6.1661e-06i,-0.00037993+0.00026441i,-0.00075947-2.6814e-05i,-0.0014026-0.00024691i,-0.00094052-0.00019174i,2.3676e-05-0.00015969i,0.00013714-0.00010609i,-0.00014873-0.0004421i,-0.00033397+0.00049271i,-0.00045769+0.0007178i
0.0012037-0.00056629i,0.0011348-0.00083644i,0.0010338-0.00075206i,0.00091612-0.00032477i,0.00049325+0.0002954i,-0.00017609+0.00055471i,-0.00051506+0.00046294i,-3.3171e-05+7.9846e-05i,0.00068488+0.00040184i,0.00016422+0.0011659i,0.00030683+0.00097172i,0.00081382+0.00011822i,0.00039954-0.00041782i,0.00039163+2.98e-05i,5.3623e-05+0.00061122i,0.00036171-0.00044359i,0.0011989-0.00092409i,0.0012003-0.00033067i,0.00095642+0.00041703i,0.00015834+0.00079739i,-0.0011518+0.00073284i,-0.00034409+0.00033145i,0.00049848-0.00033025i
-0.0024065+0.00092895i,-0.0018609+0.001634i,-0.00074375+0.00080849i,-0.00030762+0.0004395i,-0.0013827+0.0012353i,-0.001306+0.0016431i,-0.00028857+0.0019759i,6.817e-05+0.0013506i,-9.4436e-05-0.00060308i,-0.00047039-0.00080262i,8.0341e-05+0.00070743i,0.00057335+0.0010439i,0.00011115-0.00011005i,-0.00016558-0.00077759i,5.1875e-05-0.00070645i,0.00048575-0.00020074i,-0.00032485+0.00035012i,-0.00078155+0.00027603i,-0.00033885-0.00019594i,-8.9839e-05-0.00032032i,-0.0001538-0.00032244i,-0.00030064+0.00024647i,0.00039424+0.0010549i
-0.0018149-0.0021374i,-0.0024933-0.0026723i,-0.0024248-0.0020988i,-0.0021615-0.0012174i,-0.0017007+1.8089e-05i,-0.0018261+0.00083698i,-0.0015185+0.00044587i,-0.00069279+3.9756e-05i,-8.3138e-05+0.0001429i,0.00036662+0.000499i,0.00029058+0.00031332i,0.00046011-0.00033315i,-0.00034264-0.00079129i,-0.00028934-0.0012191i,0.0005304-0.0010022i,0.00053834-0.00038052i,0.00028428-0.00076438i,0.00053053-0.00071652i,0.00013124-0.00035666i,-0.00081615-8.0967e-06i,-0.00091441+0.00017075i,-0.00022578-0.00016445i,-0.00062863-0.00034664i
0.0018116-0.0022177i,0.0025954-0.0020625i,0.0021559-0.0017022i,0.0017207-0.0015934i,0.0019689-0.0008639i,0.0013676-0.00035071i,0.00025735-0.00012748i,-0.0003679+0.00018491i,-0.00034447+0.00051649i,0.00014247+0.00054062i,0.00097935+0.00067318i,0.0012295+0.00050467i,0.00048556-0.00043151i,-0.00013205-0.00056653i,-0.00045769-0.00037636i,2.9897e-05-0.00026914i,0.00065744+0.00018148i,0.00019711+0.00047637i,-0.00044077+0.00070862i,-0.00056105+0.00082412i,-0.00083078+1.1436e-05i,-0.00069074-0.00038553i,-0.00034298-2.5737e-05i
0.00091371-0.00075802i,0.00044168+0.00071332i,0.00018314+0.001741i,0.00014368+0.0016946i,-9.9036e-05+0.0019737i,-0.00095438+0.0022257i,-0.0012683+0.0015277i,-0.00044521+0.00093758i,0.00036933+0.00045853i,0.00095519+0.00037546i,0.0013229+0.00011171i,0.0005497-0.001118i,-0.00048393-0.0010314i,0.0001081+0.00011592i,0.00054636-0.00029501i,-0.00017374-0.00090091i,-0.00043597-0.00059103i,-0.00031954-0.00062237i,-0.00035435-0.0010492i,-0.00096378-0.0014677i,-0.00057608-0.00080231i,-0.0001423+0.00015127i,-0.00054244-7.3976e-05i
0.00047773+5.5473e-05i,-0.0013591-0.00057005i,-0.0030298-0.00090347i,-0.0017841+0.00018445i,-0.00099599+0.00078421i,-0.0016102+0.00078363i,-0.00131+0.00043388i,-0.00043398+0.00014131i,9.6383e-06+0.00031233i,0.00029624-2.9528e-05i,0.00050346-5.8746e-05i,0.0004347+0.00050696i,0.00010657+0.00039151i,-0.00026056-0.00040565i,-0.00074343-0.00049556i,-0.00067484+0.00016699i,-0.00015886+0.00037073i,-2.5883e-05-5.8478e-05i,1.0031e-05-0.00044753i,-0.00024724-0.00020471i,-0.0001482+0.00020343i,0.0001669-2.7564e-05i,0.00064201-0.00018922i
0.0020203-6.2771e-05i,0.0015659-0.0011902i,0.0012666-0.0016035i,0.0013289-0.00031115i,0.00041903+0.00059841i,-0.00089506+0.0012317i,-0.0014934+0.0011501i,-0.00068522+0.0013636i,0.00086722+0.0011615i,0.0014181+0.00047126i,0.00074713+0.00030734i,0.00059336+0.00011666i,0.00049549+0.000265i,1.5803e-06+0.00049899i,0.00038971+0.0008991i,0.00051415+0.00094716i,-0.00019012+0.00033062i,-0.00061182-0.00024742i,-0.00024757+0.00016779i,-0.0003782+0.001216i,-0.00079633+0.0007441i,-0.00026265-0.00044357i,0.00029749-0.0006865i
0.00054498+0.0010281i,0.0002177+0.00065017i,-0.00054553+0.00042398i,-0.0001491+6.9548e-05i,-4.6055e-05-0.00022828i,-0.00056804+0.00023587i,-0.00039279+0.00032426i,-0.00019224+5.7884e-05i,-1.1969e-05-0.00040778i,0.00029722-0.00072322i,3.3254e-05-0.00057087i,-0.00018681-0.00055552i,-1.6038e-05-0.00032895i,0.0002124+0.00014614i,0.0006076+0.00038944i,-2.0555e-05+0.0005872i,-0.00033181+0.00054204i,0.00049468-0.00057722i,0.00040289-0.0012403i,1.0509e-05-0.00087882i,-0.00044097-0.00014403i,-0.0006516-0.00010766i,-0.00017204-0.00020889i
-0.00082803-0.0012187i,0.00032973-0.0011831i,-0.00031118-0.0011979i,-0.00071315-0.00021925i,-0.00063525+0.0010668i,-0.0013512+0.0010894i,-0.00092191+0.00082338i,-0.00062964+0.00079963i,-0.00093908+0.00032025i,-0.00032692-0.00013552i,0.00036519-0.00063022i,0.00071697-0.00037311i,7.1312e-05+0.00034114i,-0.00022699-0.00013042i,-6.131e-05-0.00057074i,8.5885e-05-0.0005362i,0.0002304+5.481e-05i,0.00010348+0.00090986i,-0.00018959+0.00050616i,8.453e-06-0.00052775i,2.2015e-05-0.00010684i,-0.0004232-8.4964e-05i,-3.3463e-05-0.00053526i
