-0.0073025+0.00074502i,-0.0056511+0.0032361i,-0.003878+0.0066756i,-0.0011147+0.0081948i,0.0010645+0.0066682i,0.0022087+0.0039771i,0.0013053+0.0010751i,-0.00056128+0.00019587i,-0.0012481+0.0012524i,0.00018956+0.0018517i,0.0016237+0.0013687i,0.0015743+0.00015371i,0.00073571-0.0011833i,0.00034536-0.0012304i,4.057e-05-0.00026101i,-0.0003805+0.00024707i,-0.0003841+0.00047132i,-0.00023571+0.00036255i,0.00046303-0.00034085i,0.00074122-0.00090071i,0.00034891-0.00085207i,0.00061691-0.00066225i,0.00095893-0.00046625i
-0.0017519-0.00038474i,-0.0015561+0.00067499i,-0.00079544+0.001739i,-0.00027948+0.0020811i,-0.0002641+0.0011941i,-1.4618e-05+0.00077918i,0.00025578+0.00099601i,0.00048521+0.0010693i,0.00045225+0.0006202i,0.00017437-8.2102e-05i,-0.00049512+0.00033635i,-0.00054546+0.0010717i,-0.00041417+0.0011837i,-0.0003991+0.00087135i,0.00015555+0.00034338i,0.0005487+0.00021653i,0.00029126+0.00061019i,-0.00012681+0.00051999i,-0.00041129+0.00047254i,-9.2754e-05+0.00049347i,2.6733e-05+0.0001803i,-3.3503e-05+0.0007316i,0.00047736+0.00057982i
0.00035057-7.8942e-05i,-0.0002458+0.00086948i,0.00043078+0.00079833i,0.00040059-0.00046208i,0.00048984-0.0012298i,0.00060087-0.00090666i,0.00043808+0.00027139i,0.00028038+1.5052e-05i,0.00027894-0.00059975i,0.0008026-0.00081034i,0.0010422-0.00041531i,0.00034638+0.00049977i,-0.00016994+0.00071134i,5.4699e-05+0.0007413i,0.00036049+0.0002784i,0.00049031-0.00020674i,-0.00015278-0.00052953i,-0.00072917-0.00064171i,-0.00042625-0.00054873i,-4.7226e-05-0.00065814i,0.00014074-0.00033511i,-0.00035349+0.00019153i,-4.2902e-05+0.00074326i
-0.00040445+0.0010335i,-0.0005967+0.00011228i,-0.00043491-0.0003388i,-0.00046799-0.0009324i,0.00062045-0.0017409i,0.001547-0.0010546i,0.0014786-0.00053297i,0.0011097-0.00065574i,0.0011345-9.3981e-05i,0.00082321+0.00052744i,0.00050843+5.6131e-05i,0.00070686-0.00076729i,0.00072268-0.00041495i,0.00022025+0.0005288i,0.00015784+0.00025032i,0.0006583+0.00038813i,0.00051554+0.00020177i,9.8326e-05-0.0007953i,-0.00010048-0.00078483i,0.00016711+0.00051656i,0.00054484+0.0012197i,0.00059771+0.00083768i,0.00019624+0.00017309i
-0.00053397-0.0014772i,-0.00067276-0.0008382i,-0.0013277-0.00041926i,-0.0024523-0.00043952i,-0.0021653-0.00054289i,-0.00052455-0.00096392i,-0.00014603-0.00096706i,-3.2516e-05-0.00084699i,0.00067458-0.00073648i,0.0005926-0.00049042i,-5.9131e-05-0.00081205i,-0.00039452-0.00084513i,-0.00019859-0.0002137i,-0.00033981-6.3028e-05i,-0.00025055-4.4777e-05i,0.00014171+1.2242e-05i,-0.00025545+0.00061664i,-0.00045729+0.0010842i,-0.00048541+0.00042082i,0.00012066+0.00010339i,7.5958e-05+0.00057347i,-0.00029424+0.00067699i,0.00037011+0.00032354i
0.0010036+0.0015527i,0.0012457+0.0015333i,0.0013015+0.00169i,0.0010439+0.0023419i,0.00031384+0.0012722i,0.00018794+0.00067028i,0.00044397+0.0013014i,0.00052691+0.0015705i,0.00063142+0.0011616i,0.00049411+0.00049315i,-5.8645e-05+2.2976e-05i,-0.00066614+0.00020268i,-0.0012588+0.00063554i,-0.00093357+0.00014598i,-2.0571e-05-0.00049392i,-9.8223e-05-0.00083799i,-0.00054087-0.00057249i,0.00032547-0.0005081i,0.00086677-0.0005262i,0.0001292-0.00041765i,-0.00038382-0.00057336i,0.00023633+5.2566e-05i,0.00064273+0.00029226i
-0.00064875+0.00079349i,9.1474e-05+0.00088855i,0.0013855+0.00042926i,0.0018685-0.00049473i,0.0015017-0.0012651i,0.0013077-0.0013209i,0.00060655-0.00055849i,0.00010998-0.00022641i,0.00016233-0.00018826i,0.00068665-0.00044058i,0.00029331-0.00031731i,-0.00065236-0.00030833i,-0.00061049+4.5849e-05i,0.00030451+0.0012631i,0.0004342+0.0014462i,-0.00010368+4.2186e-05i,0.00020527-0.00063738i,0.00048797-0.000182i,7.3795e-05+8.8538e-05i,0.00011423+0.00022313i,-0.00042724+0.00035278i,-0.0011843+0.00033244i,-0.0010768-0.00020408i
-0.00077702-0.00020125i,-0.0020133-0.00092436i,-0.0022296-6.7446e-05i,-0.0012043+0.00028876i,0.00014271+0.00020293i,0.00020462+0.00017723i,0.00060401+0.00036345i,0.00088125+0.0011536i,0.00013281+0.0013922i,-0.00072179+0.00062056i,-0.0011947+0.00018017i,-0.00093624+0.00020614i,-0.00050892+0.00031859i,-0.00046643+0.00086022i,-0.00012693+0.00030932i,-0.00016654-0.00033225i,0.0002123-0.00014921i,0.00038189-0.0008395i,-0.00062105-0.0011628i,-0.0010094-0.00045154i,-0.00064554+0.00037306i,0.00028025+0.00044935i,0.00073406+0.00021602i
-0.0016523+0.00052881i,-0.00019663+0.00080619i,0.0015952+0.0013739i,0.0022337+0.00076044i,0.0025194-6.1668e-05i,0.0028449-0.00051997i,0.0023281-0.00036887i,0.00094779-4.5624e-05i,0.00011784-9.4393e-05i,0.00033715-2.4489e-05i,0.00056466+6.8187e-05i,0.00079979+3.227e-05i,0.00072845-1.4707e-05i,-0.0001454-0.00013628i,-0.00077199+2.063e-05i,-0.00088397+0.00029043i,-0.00050397+0.00024197i,0.00023556+0.00016737i,-0.00021531+0.00086828i,-0.00032309+0.00056588i,-0.00063964+0.0004035i,-0.00090793+0.0010655i,-0.00010585+0.00068839i
0.0014171-0.00041749i,0.0015499-0.00045895i,0.0003733-0.0017401i,-0.0014475-0.0018664i,-0.0020299-0.00099003i,-0.00067325-0.00034926i,-3.499e-05+6.9183e-05i,0.00038278+2.6255e-05i,0.00016569-0.00029403i,-0.00033459-0.00044901i,-9.0472e-05-0.00056302i,0.00037078-0.00050899i,0.0006818+0.00019852i,0.00056412+0.00077993i,0.00050782+0.00096511i,0.00041931+0.00057162i,6.5871e-05+2.3235e-05i,-3.4753e-05-5.2242e-06i,0.00016783-0.00025797i,-5.3008e-05-9.5859e-05i,-0.00019065+0.00073232i,-0.00031526+0.00036572i,-0.00051003-0.00046683i
0.0010315+0.00090768i,-0.00013509-0.0003752i,-0.00037248-0.00051928i,-0.00016373+0.00011308i,-5.949e-05-0.00048997i,-0.00064659-0.00097432i,-0.001299-0.00095629i,-0.00017335-0.00094024i,0.00094874-0.0011925i,0.0002349-0.001196i,-9.562e-05-0.0011045i,0.00035627-0.0007923i,0.0001964-0.00057978i,-0.00018555-0.00020906i,-0.00037255+0.00090658i,0.00041684+0.00063294i,0.00096914-0.00025516i,0.00065839-0.00022066i,-3.3046e-05+0.00051971i,0.00010488+0.00065899i,0.00022668+0.00031903i,0.00039301+0.00016137i,0.00075444+0.00014815i
0.00023337+0.0015854i,0.00068685+0.0015459i,0.0014084+0.00062128i,0.0015567-2.9994e-05i,0.0017622-0.000709i,0.0016763-0.0010995i,0.0006617-0.00042784i,0.00031147-1.7899e-05i,0.00047056+0.00010551i,0.00034736-0.00074765i,-0.00011557-0.00083948i,-0.00057799-0.00062326i,-0.00034975-0.00089959i,-0.00018779-0.00060439i,0.00012795-0.00023469i,0.00048278-0.00051975i,0.0018197-0.00079479i,0.0019917-2.6499e-05i,0.00024925+0.00035682i,-0.00065418-0.00025898i,-0.00058243-0.00088954i,-0.00043951-0.0010781i,-0.00011699-0.0010737i
0.0011221-0.00039579i,0.0010139-0.00048367i,0.001516+0.00041335i,0.0013336+0.000486i,0.00061492+5.335e-05i,0.00061981+0.00024981i,0.00032325+0.00045454i,-0.00042167+6.4866e-05i,-0.00072161-0.00054032i,-0.00059585-0.0012691i,-0.00056483-0.0014662i,-0.00078382-0.00063212i,-0.001278+0.00054277i,-0.0016147+0.00095569i,-0.00052286+0.00017383i,0.00063705-0.00048984i,0.00050769-0.0011748i,-9.5327e-05-0.001693i,-0.00022346-0.00037218i,-0.00040288+0.0013212i,-0.00073018+0.001284i,-0.00042331+0.00059994i,-0.00074828+0.00028705i
-0.00032673+0.00030816i,0.0002179+0.00096346i,4.6815e-05+0.0020337i,-0.00063496+0.0017935i,-0.00041076+0.00087506i,0.00047854+0.00088543i,0.00032121+0.0011136i,0.00038498+0.00066444i,0.00033456+0.00017564i,-0.00055986-3.8471e-05i,-0.00064112+7.6458e-06i,-3.5142e-05-6.0441e-05i,0.00040595+0.0005592i,-0.00038552+0.0010863i,-0.00065317+0.00047455i,-0.00022523-0.00015021i,6.2225e-05-0.00019438i,-0.00050422+5.0706e-05i,-0.0010528+0.0004519i,-0.00034533+0.00022997i,0.00017342-2.8599e-05i,0.00075371+4.0219e-05i,0.00056765+9.2653e-05i
-0.0011386-0.0014244i,-0.0016728-0.001481i,-0.00063533-0.0012526i,-0.00057713+0.00019386i,-0.00097244+0.00093769i,-0.00072181+0.00032732i,-0.00030662-0.00011192i,8.1327e-05-0.00013828i,-0.00029034-0.00032826i,-0.00012328-3.2093e-06i,0.00015456+0.00048233i,-5.4722e-05+0.00047353i,-0.00011032+7.5668e-05i,0.00023144-0.00010311i,0.0002571+0.00054222i,-0.00018394+0.00047416i,-0.00014169+0.00021239i,0.0001892+0.0009659i,0.00018163+0.00046059i,-0.00026282+0.00019489i,-0.00021293+0.00096018i,6.2878e-05+0.0010624i,-0.00015884+0.0011631i
-0.00076053+0.0007817i,0.00022395+0.0010783i,0.0014662+0.0011027i,0.00097608+0.001027i,0.00059137+9.8419e-05i,0.00037351-0.00099734i,-0.00030997-0.00066102i,0.00046831-0.00041768i,0.00077747-0.00016888i,-8.2503e-06+0.00020767i,3.6261e-05+0.00022236i,0.00065652+0.00060182i,0.0013874+0.00072346i,0.00079752+0.00084808i,-0.00089383+0.00079445i,-0.00038638+0.00016007i,0.00094318+3.5413e-05i,0.0006009+0.0004562i,-0.0002364+0.00035651i,-9.5585e-05+0.00010214i,0.00036871-0.00055242i,0.00059796-0.00074355i,0.00097678-0.00076647i
-0.00088696-0.0014481i,-0.0011452+1.2785e-05i,-0.00094796+0.00070204i,-0.00076065+0.00079912i,-0.00027043+0.00041911i,0.0010133+0.00029333i,0.00047892+0.00054425i,-0.0011222+0.00019528i,-0.001652-0.00076966i,-0.00073263-0.0011186i,-0.00027087-0.00062768i,-0.00022144-0.0012365i,-0.00017959-0.0011777i,-0.00024826+8.2956e-06i,0.00014681+0.00046948i,0.0010374-0.00011075i,0.0010921-0.00031589i,0.00019306-0.00029153i,-6.9324e-05+6.773e-05i,-0.00067443+0.00016128i,-0.0008879-0.00060878i,0.00027413-0.00076315i,0.00054876-0.00066008i
-0.0006735+0.00046665i,-0.0011703+0.00091469i,-0.0010917+0.0018771i,-0.00069508+0.0027256i,-0.00044487+0.0025608i,0.00041357+0.0010047i,0.0011307-0.00046675i,0.00033601-0.0006184i,-0.00058067+0.00027083i,-0.00062198+0.0006602i,-0.00031851+0.00073823i,-0.00062173+0.00059386i,-0.0013104-0.00014909i,-0.0011257-0.00040338i,-0.00084268-0.0001065i,-0.00068316-0.00019877i,-0.00044533-0.0005616i,5.5768e-05-0.00084554i,0.00056737-0.00025645i,0.00093635-2.9078e-05i,0.00063093+0.00041311i,-0.00037555+0.0011268i,-0.00063077+0.00095455i
0.0013409-0.0016854i,0.00069869-0.0028695i,-0.00057315-0.0024491i,-0.00173-0.0024073i,-0.0011831-0.003149i,-0.00046632-0.0019693i,-0.00078203-0.0007474i,-0.00072135-0.00073838i,-0.00033787-0.00060519i,-0.00038318-0.0011857i,-0.00092361-0.0013229i,-0.0011464-0.00052359i,-0.0009894+0.00025476i,-0.001017+0.00053647i,-0.0006943-5.9247e-05i,-0.00050153-1.4675e-05i,-0.00080648+0.0001775i,-0.00046719+0.00049915i,0.00020661+0.00051751i,0.00031707+0.00016512i,-7.2074e-05+2.7238e-05i,-0.00046719+0.00016571i,-0.00033247+0.00076892i
0.00096801+0.0017354i,0.0014599+0.0008894i,0.0012144-0.00015407i,0.0017206-9.2258e-05i,0.0023425+0.00063567i,0.00093695+0.00024213i,-4.0589e-05+0.00027817i,0.00034639+0.001328i,0.001094+0.0016017i,0.0016828+0.00055006i,0.00071672-0.00054975i,-0.00027969-0.00031817i,-0.00080347+0.00062578i,-0.00029561+0.00029716i,0.00019788-0.00030828i,-0.00015749-0.00076905i,-0.00051445-0.00069304i,-0.00025164-0.00046533i,-0.00010889-0.00025038i,-0.00014233-8.0447e-05i,-3.0057e-06-0.00011238i,0.00013684+0.00028724i,-0.00015641+0.00022129i
0.0018094+0.0012025i,0.0019397+0.0010323i,0.0015731+0.00059804i,0.0014456-0.00041798i,0.0018979-0.0013879i,0.0011648-0.0017514i,0.00050743-0.0015236i,0.00085525-0.001101i,0.0011322-0.00053056i,0.00060054+0.00029207i,-0.00015726+0.00017814i,-0.00032427-0.00034037i,0.00012828+0.00021018i,4.1393e-05+0.00048793i,-0.00036562+5.011e-05i,0.00030877+0.00022138i,0.0010287+0.0005097i,0.00027077+0.00020978i,-0.00063283+0.0002843i,-0.0006099-6.7265e-05i,-0.00024736+1.0224e-05i,4.1196e-05+0.00084608i,0.00066832+0.0013181i
0.00043556+0.0015329i,0.00024264+0.0018453i,-0.00071731+0.0028211i,-0.00022417+0.0026755i,0.00042334+0.0011106i,0.00020215+0.00032305i,5.6005e-05-0.00040564i,-0.00013017-0.00044682i,-0.00027625+0.00047903i,2.7077e-05+0.00086252i,-7.5151e-05+0.00021435i,-8.7969e-05-0.0011578i,-0.00015714-0.0013744i,-9.4074e-05-0.00059527i,0.00042546-0.00015967i,0.00059147+0.00085849i,0.00041223+0.00064515i,0.00063945+0.00020019i,5.3798e-05+0.00054234i,-0.00031488+0.00093308i,0.00013122+0.00060174i,0.00033576+0.00040304i,0.00018993+0.00046498i
0.00046216-0.00018944i,0.00031164-0.00037612i,0.00031416-0.0014735i,0.00015055-0.0012249i,0.00044209-0.00080836i,0.00099644-0.00061549i,0.00058192-0.0007089i,0.00018172-0.0007306i,-0.00020478-0.00033843i,-0.00058983-0.00056045i,-0.000273-0.00081487i,0.0001222-0.0010584i,0.00011603-0.0007072i,-0.00092196-0.0004029i,-0.0011879-0.00045278i,-0.00044383-0.00045704i,-0.00060204-0.0007818i,-0.00068854-0.00085011i,-0.00096368-0.00098708i,-0.00038094-0.0010771i,-6.7881e-06-6.1534e-05i,-0.00032104+0.00087276i,0.0001515+0.00035201i
0.00092729-0.00098602i,0.00075494-0.00059836i,0.00055477-0.00028113i,0.00048416-0.00093837i,0.00074212-0.00086006i,0.00085788-0.000955i,0.0010176-0.00090301i,0.0010338-0.00051519i,0.0006578-0.00068644i,5.2034e-06-0.00052588i,-0.00047565-0.00031105i,-0.00082561+0.00039851i,-0.0012617+0.00090411i,-0.0013812+0.00071487i,-0.00038406+0.00099232i,-0.00020682+0.00072737i,-0.00082848-0.00049364i,-0.00017945-0.0006335i,0.00045857-0.00016921i,0.00076093-3.92e-06i,0.00062532+0.00079118i,-0.00028763+0.0011854i,-0.0003967+0.00070981i
-3.0825e-05-0.0011624i,-0.00040267-0.00025976i,-0.0004475+8.2762e-05i,-0.00051327+0.00056055i,-0.00062954+0.0011341i,0.0002816+0.00078792i,0.0011851-0.00039749i,0.00064045-0.0013264i,0.00020765-0.00069799i,0.00056515+0.00017156i,0.00084637+0.00061364i,0.00073228+0.0010159i,0.00019657+0.0012289i,-0.00057889+0.00080914i,-0.00048549-3.6109e-05i,-0.00032064+0.00045013i,-0.00061573+0.00069992i,-0.00076534+0.00034039i,-0.00034406-0.00048217i,0.00054141-0.0005707i,0.001034+6.5419e-07i,0.001009-6.4641e-05i,0.0005118-0.00025183i
6.7063e-05+0.00040606i,-0.0014419+4.2782e-05i,-0.0019145+0.00087976i,-0.00058149+0.0014791i,0.0005572+0.00089287i,0.00079419-0.00012582i,0.00021556-0.00020943i,-0.0009861+0.00027686i,-0.00079725+0.00013282i,0.00023327-0.00025761i,0.00066598+0.0001394i,0.00087547+0.00029668i,0.0010735+6.6538e-05i,0.00064776+1.369e-06i,0.00062692-0.00041745i,0.00077874-0.00029302i,0.00050508-6.5962e-06i,0.00057999+0.00012838i,0.00010665+0.00054992i,-0.00089056+0.00081629i,-0.0012207+0.00039936i,-0.00096718+0.00025527i,-0.00013314+0.00050573i
-0.0011179+0.0012966i,-0.00062009+0.00067905i,-0.00014467-0.00031386i,-0.00030536-0.00053215i,0.00020889-0.00079459i,0.00058043-0.002215i,0.00035485-0.0019235i,0.00027771-0.00124i,2.468e-05-0.0013097i,-0.00059121-0.00036114i,-0.00027518-0.00014333i,0.00013196-0.00039146i,0.00045261-0.00027023i,0.00024309+9.9112e-05i,-3.4195e-06+0.00066405i,0.00024256+0.00057139i,0.00024845+0.00012631i,0.00024738+5.9233e-05i,-0.00017419+0.00030291i,-0.00040309+0.00073109i,-0.00017886+0.00057176i,-0.00044682+0.00056813i,-0.00077393+0.00045254i
-0.0008255-0.00044601i,-0.00016572-0.0001709i,-0.00044959+0.00034917i,-0.0011991+0.00018969i,-0.00073312-1.0832e-05i,-0.0003443+0.00036469i,-0.00015499+1.0711e-05i,0.00014793-0.0007544i,-0.00028612-0.00052509i,-0.00037144-7.5033e-05i,0.00035368-0.00014766i,0.00014423-0.00031539i,-0.00021873+2.7169e-05i,0.00032657+0.00058766i,6.1755e-05+0.00071215i,-0.00028813+0.0002287i,0.00055845-0.00036105i,0.0010371+4.1231e-05i,0.00054716+0.00033179i,0.0011498-0.00018854i,0.0014107-0.00017372i,0.0010269+0.00041716i,0.00084624+0.0010445i
0.00080738-0.00059353i,0.00096592+0.0011613i,0.00080987+0.0011187i,0.00083568-6.0367e-05i,-0.00014116-0.0013111i,-0.00010693-0.0013498i,0.00039846+1.4209e-05i,-0.00029188+0.00021621i,-0.00048488-0.00034157i,-0.00014784-0.0006571i,-0.00035558-0.00091286i,-0.00025175-0.00082839i,0.00032069-0.00037234i,-5.466e-05-0.00056059i,-0.00057166-0.00035971i,-0.00090749-0.00024861i,-0.00036149-1.4392e-05i,6.9212e-05+0.00046496i,4.7052e-05-0.00035016i,0.00026506-0.00069231i,0.00014335-4.7866e-05i,0.00016576+0.0001919i,0.0001237-0.00043481i
-0.0018086-0.0007676i,-0.0019451+0.00047727i,-0.0014396+0.0009916i,-0.00039314+0.0014901i,-0.00023732+0.0021504i,7.1093e-05+0.0021556i,0.00057531+0.00090757i,0.00079795-0.0001412i,-0.00011321-0.00024543i,-0.0014363+0.00013595i,-0.0017733+3.049e-05i,-0.0013191-0.00048265i,-0.00014174+0.00049228i,0.00069064+0.00091258i,0.00096696+0.00011229i,0.00042747-0.00048503i,-0.00033511-0.00028729i,-0.00012229-0.00045428i,0.00015628-0.0013417i,-8.229e-05-0.0014239i,0.00016086-0.001065i,0.00020017-0.00069344i,5.013e-05-0.0012811i
-0.00027812-0.00016213i,-0.00087388-0.00098692i,-0.0016694-0.00084377i,-0.0017801-0.00093715i,-0.0012472-0.00054247i,-0.00071751+0.000341i,-0.00063046+0.00052546i,-0.00054483+8.7502e-05i,-9.0637e-05-0.00083741i,-0.00049128-0.0011797i,-0.00099244-0.00083051i,-0.0011842+0.00017531i,-0.001288+0.0010483i,-0.00063613+0.0011527i,0.00036683+0.00061193i,0.00036485+0.00010884i,0.00027955+0.00021723i,0.00095144-0.00021584i,0.00061143-0.00034042i,0.00014358-0.00028873i,0.00021856+0.00012545i,-9.5848e-06+0.0006013i,-0.00050668+0.00042095i
-0.00020251-0.00030385i,0.00033847-0.00039517i,0.00074446-0.00078319i,0.00028328-0.00070221i,0.00092379-0.00075958i,0.0018092-0.00054535i,0.0014839+0.00037169i,-8.4931e-05-0.00019343i,-0.00060834-0.0012558i,1.2231e-05-0.00068268i,5.8166e-05+0.00053981i,0.0001513+0.00094645i,-0.00017649+0.00010802i,-0.00039172-0.00040082i,-3.4474e-05-0.00049802i,0.00032648-0.0013403i,0.00077935-0.0012943i,0.0010553-0.00055693i,0.00085877+0.00026215i,0.00022388+0.00047908i,-0.00046889+0.00068904i,-0.00094124+0.0010272i,-0.00055718+0.00073827i
