5.7524e-05-3.7701e-05i,0.00061856-0.00040311i,-0.0010785-0.00093711i,-0.0023592-0.0010241i,-0.0021633-0.00011251i,-0.0026272+0.00062321i,-0.0018959+0.0014467i,0.00041657+0.0015122i,0.0022811+0.00076855i,0.0026186-0.00058428i,0.0015929-0.00069405i,0.00056635-0.00096461i,0.00073184-0.0011207i,0.00079711-0.0007789i,-1.2048e-05+6.5782e-05i,-0.00095939+0.00085784i,-0.0005789+0.00053664i,-0.00021312-0.00064285i,5.0849e-05-0.0012268i,0.00026506-0.00060897i,-0.00046663-5.9706e-05i,-0.00068451-3.8124e-05i,-0.00054319-0.00016663i
-0.00065124+0.00065366i,-0.00058579-0.00012964i,5.0295e-05+0.00096809i,0.00032048+0.0026858i,-0.00052974+0.0013511i,-0.00074892-0.00033444i,0.00030936-8.5225e-05i,0.00078788+0.00051508i,0.00031764+4.5181e-05i,1.7814e-05-0.00088199i,0.00044033-0.00075673i,0.00028729+0.00014483i,-0.00046655+0.00043533i,-0.0005596-0.00039869i,-0.00033976-0.00045988i,-1.061e-05+0.00043359i,0.00038715+0.00030939i,0.00062216-0.00011875i,0.00057504+0.0004493i,0.00012294+0.00093965i,-0.00047649+0.00071072i,-0.00042358-0.00036798i,-3.2403e-05-0.0011892i
-0.0015478-0.0018757i,-0.0011408-0.0013145i,-0.0017638+7.0047e-05i,-0.0019099-0.0001506i,-7.7675e-05+0.00024646i,0.0019086+0.0016217i,0.0015589+0.0019948i,0.00032138+0.0008409i,-0.00051899-0.00048464i,5.2497e-05-0.00047626i,0.00085495+8.7444e-05i,0.00074015-0.00027781i,0.00024582-0.0013911i,0.00014432-0.0018769i,4.1958e-05-0.0013842i,-0.00043638-0.00030818i,4.3852e-05+0.00018897i,0.00043269-0.00075432i,0.00026926-0.00082083i,3.3648e-05-0.0007609i,-0.0006686-0.00027878i,-0.00034328-8.0834e-06i,0.00038603-0.00037762i
0.00061382+0.0015175i,0.0014144+0.0008755i,0.002163+0.0003393i,0.0021122-2.064e-06i,0.00088798-0.00090906i,0.00018419-0.0014058i,-1.2411e-05-0.00056697i,-0.00025616-0.00021063i,0.00040737-0.00027477i,0.0010171-0.00016403i,0.00048722+7.6977e-05i,0.00036699-0.00022901i,0.00037957-0.00012759i,-0.00047047+0.00025292i,-0.00092064-0.00042105i,-0.00030933-0.00073443i,0.00027661-7.1094e-05i,0.00039369-1.9908e-05i,0.0005214-8.0338e-05i,0.00022021-0.00025676i,0.00034275-0.00097151i,0.00080405-0.00054337i,0.00017618+0.00023168i
0.0003324+0.0009019i,-0.00041853+0.0021364i,-2.7056e-05+0.0017307i,0.00057879+0.0020288i,0.00033291+0.001642i,-0.00013394+8.5794e-05i,-8.0037e-05-0.00014347i,-0.0002363+0.00042608i,-0.00053507+0.00054375i,-7.5788e-05+8.9826e-05i,0.00021235-3.702e-06i,-0.00020343+7.932e-05i,4.9605e-05+3.9351e-05i,-0.00038487+1.8495e-05i,-0.0013073+0.00061614i,-0.00097569+0.00035814i,-1.59e-05-5.5498e-05i,0.00071564-0.00043578i,-9.0243e-05-0.00032462i,-0.0009094-0.00030602i,-0.00037372-9.632e-05i,-0.00033705+0.0002792i,-0.00072873+3.6706e-06i
-0.00064325+0.0023358i,6.9874e-05+0.0013683i,0.0017457+0.0011926i,0.0027053+0.00052043i,0.0015959-0.0006517i,0.00023572-0.0014086i,-0.0004271-0.0010582i,-4.9838e-05+0.00019175i,0.0009561+0.0002788i,0.0016122-0.00041255i,0.0010922-0.00042887i,6.9768e-05-5.9373e-05i,-0.00042121-3.3654e-05i,-0.0003207-0.00033465i,-0.00015322-0.00011644i,-0.00015761+7.2179e-05i,-0.00031397+5.7572e-05i,-0.00082112-5.1827e-05i,-0.00070105-0.0008261i,-0.00038596-0.0009074i,-0.00021535+0.00018212i,-0.00060566+0.0007912i,-0.0011828+0.0004398i
-0.0011701-0.0021194i,-0.0016826-0.0017581i,-0.0033686-0.00058825i,-0.0035605+0.00065912i,-0.0023437+0.0022442i,-0.00081382+0.0021366i,0.00075441+0.00087788i,0.0016589+6.6459e-05i,0.0010074-0.00044678i,-3.3665e-05-0.00031279i,1.3988e-05+0.00043217i,0.00047489+0.00071807i,0.00055394+0.00095927i,0.00035881+0.00065985i,0.0001029+8.4517e-05i,-0.00044162-0.00034578i,-0.00024353-0.00082544i,-0.00029382-0.00037558i,-0.00043154+0.00026934i,0.00029918-2.8754e-05i,0.00020269-5.7163e-06i,-2.2741e-05+0.00059936i,-0.00024628+0.0010015i
0.001399+0.00072628i,0.002737+0.00087744i,0.0033735+0.00062381i,0.0033397-1.2085e-05i,0.0024473-0.00048211i,0.0012505-0.00064488i,0.0005111+0.00061564i,-7.9736e-05+0.0013491i,-0.00013833+0.00097407i,0.00046615+0.00029854i,0.00081217+2.7957e-05i,0.00087754-0.00018448i,0.00028244-0.00028848i,8.668e-05-0.00044868i,0.00051571-0.00053519i,0.00035875-0.00020239i,0.00012566-0.00025222i,0.00068683-0.00085031i,0.0013817-0.00067787i,0.00059663-0.00022187i,-0.00029254-0.00032261i,-0.00048203-0.0002536i,-0.00042652+9.689e-05i
0.00068884-0.0012131i,-0.0010498-0.0017295i,-0.0010687-0.0015968i,-0.001362-0.0014792i,-0.0015152-0.0012075i,-0.00082982-0.0005027i,-0.00045073+2.3117e-05i,0.00057213+0.00027179i,0.0011873+0.00030197i,0.00031855-1.0356e-05i,-0.00037082-0.00010622i,0.00012103-0.00041891i,0.00095843-0.00044106i,0.00069147-9.2911e-05i,0.00016839-0.00033998i,-0.0005202-0.00030385i,-0.00046713-0.00053936i,0.00050618-0.00084324i,0.00022617-0.00030411i,-0.00010355-6.8373e-05i,0.00020633+6.5469e-05i,8.3339e-05+0.00035393i,9.3995e-05+0.00055118i
0.00020295-0.00013037i,-0.00033992+0.0013526i,0.00037333+0.0017453i,0.00079508+0.00048886i,0.0010098-0.001121i,0.00045378-0.001201i,-0.00025422-6.5888e-05i,0.0002573+6.0203e-05i,0.00077478+0.00010051i,0.00068754+0.00049403i,0.00057712+0.00059159i,-0.0001651+0.00056864i,-0.00091589+3.1335e-07i,-0.00047678-0.00018452i,0.00022917+0.00028673i,6.5675e-05+0.00044227i,0.00042722+0.00043923i,0.00071867+0.00082294i,0.00011236+0.00087689i,0.0003943+0.00038209i,5.0715e-05+0.00028305i,-0.00057489-0.00018412i,-0.00018607-0.00084435i
0.00047123+0.00059969i,0.00053527+0.0003417i,0.00027486-0.00022732i,-0.00038992-0.00077399i,-0.00046749-0.0004719i,-0.00035424-0.00014542i,-0.00068553-4.4635e-05i,-0.00048092-0.00024968i,0.00014387-0.00061012i,0.00035271-0.00061441i,0.00021941-0.00028216i,0.00013616-6.2772e-05i,0.00031106+0.00055091i,0.00024006+0.00059703i,0.00014002-7.7121e-05i,-0.00013647+0.0002294i,0.00015518+0.0003472i,0.00047366-9.2504e-05i,-0.00030992-7.1064e-05i,-0.00097643-8.8537e-05i,-0.00036232+8.2953e-05i,0.00073038+0.00062934i,0.00068845+0.00053823i
-0.0008827+0.00051033i,-0.00051076+0.0015707i,-0.00011969+0.0015903i,-0.00047251+0.00096354i,-0.0012438+4.8801e-05i,-0.00083868-0.00061135i,0.00050843-0.00036894i,0.00072604-6.4699e-06i,0.00033299-0.00021142i,-0.00030539-0.00021234i,-8.0105e-05+0.00056547i,0.00085197+0.0011846i,0.00086846+0.00094544i,0.0004962-0.00042928i,0.0004016-0.00092985i,0.00063674-0.0010769i,0.00048079-0.001144i,6.3447e-05-0.00048945i,-0.00029916+0.0002887i,-0.00097255+0.00066992i,-0.0011163+0.00075523i,-0.00039478+0.00056882i,-0.00011132+5.1144e-05i
-2.8524e-05+0.00094061i,0.0017598+0.00020424i,0.0018437+3.712e-05i,0.0018185-0.00040195i,0.001833-0.00082799i,0.00093986-0.00014682i,-1.7185e-05+0.0004026i,-0.00037023+0.00047755i,-0.00055336+0.00014443i,-2.0655e-05-0.00041842i,0.00011201-0.0003817i,-0.00030427-0.0006528i,-4.3615e-07-0.00059468i,-0.00026913+9.0228e-05i,-0.00088831+0.00075694i,-0.00068844+3.3383e-05i,0.00013394-1.4271e-05i,0.00095013+0.00041917i,7.2658e-05+8.034e-05i,-0.00077658+0.00028126i,-0.00027255+0.00014738i,-0.00032391+1.1193e-05i,-0.00060081-0.00024885i
0.0010075-0.0011354i,0.00014211-0.0012204i,-0.00021692-0.00086494i,-0.00087729-0.0010258i,-0.0015859-0.00079879i,-0.00075015-0.00083629i,0.00037129-0.0012327i,0.00024756-0.00048518i,-0.00023981-0.00081484i,0.0002324-0.00098716i,0.00076207-0.0001419i,3.568e-07+0.00050878i,-0.00019029+0.00077551i,0.00051689+0.0006929i,0.00019318+0.00087473i,-0.00032392+0.00072432i,0.00021623+0.00052245i,0.00059104+0.00033999i,0.00040092-2.4884e-05i,0.00052052-1.7731e-05i,0.00035717-5.9125e-05i,-0.00018169+0.00016731i,-0.00064333+2.5862e-05i
0.0019559-0.00092583i,0.0012482-0.0017942i,0.0012563-0.0029046i,0.00037453-0.0028448i,-0.00079026-0.0015825i,-0.001118-5.2507e-05i,-0.001148+0.00047013i,-0.00028637+0.00013897i,0.00093034-4.4629e-05i,0.0010493+7.2866e-06i,0.00034561-0.00045319i,-0.00016439-0.00014457i,-2.4879e-05+0.0010869i,-0.0004733+0.0012345i,-0.00061196+0.00041601i,-0.00018218+0.00040243i,0.00015067+0.0003781i,-5.6429e-05+4.7283e-05i,-0.00040235-9.1377e-05i,-0.00010722+0.00021264i,0.00045233-0.00028091i,0.00080309-0.0005142i,0.00053333-0.00070253i
-0.00087733+0.0013819i,-0.0010267+0.0024456i,-9.8991e-06+0.0023764i,0.0010604+0.0012025i,0.00089991+0.00056641i,0.00042333-0.00044909i,0.00023753-0.00074943i,-2.2326e-05+0.00044512i,-0.00017927+0.0006417i,0.00019193+0.00024379i,-4.2619e-05-0.00015365i,0.00018089-0.00024014i,0.00035841+7.4399e-05i,-0.00025333+0.00034415i,-0.0003116+9.4269e-05i,-0.00016278+0.00042909i,-0.00021727+0.00082207i,0.00026204+0.0011476i,8.107e-05+0.00083773i,-9.6564e-05+0.0002631i,7.8503e-05-0.00015497i,0.00015185+0.00010709i,3.6532e-05-6.0096e-05i
-0.00010736-0.00014888i,0.00028931-0.0003152i,0.00027265+0.0006516i,0.00018187+0.0014922i,0.00045126+0.000858i,0.00099372+0.00017022i,0.0011921+2.8596e-05i,0.0010719+0.00030494i,0.00043123+0.00069926i,-0.00057568+0.00080092i,-0.00081764+0.00068356i,-0.00031667+0.00083582i,-0.00080705+0.00092156i,-0.0017348+0.0004453i,-0.0016932-0.00043288i,-0.0014455-0.00045474i,-0.00027396-0.00025937i,0.00051308-0.00036914i,-1.2934e-05+2.1876e-05i,0.00035662+0.0014271i,0.00047174+0.0016228i,0.00074152+0.00094593i,0.00087242+0.00064351i
-0.00066037-0.00051278i,-1.7506e-05+1.0498e-05i,-2.8138e-05+0.0016958i,-0.00020024+0.0016668i,-9.4673e-05+3.1177e-05i,0.00010258-0.00037692i,-0.00067242-3.6357e-05i,-0.00082401-0.00015338i,-0.0002998+0.00018899i,3.2577e-05+0.00060531i,0.00013636+0.00029242i,-0.00058906+6.7219e-05i,-0.00054041+0.00020374i,0.00049859+0.00041863i,0.00071764+0.00020784i,0.00012068+0.00023343i,-0.0004697-0.00024335i,-0.00050627-0.00080494i,-0.00030057-0.00059784i,7.5002e-05+0.00035309i,0.00052458+0.00087473i,0.00071424+0.00033482i,0.00031489-0.00023752i
0.00027724-0.0012424i,-0.0020237-0.00097169i,-0.0028851-0.0004772i,-0.0032927-0.0001466i,-0.0032144+0.0003827i,-0.0017243+0.0012175i,0.00015236+0.00093411i,0.00092063+0.00034678i,0.00080345+0.00019624i,0.00046578-0.00024292i,0.00044722-4.8891e-05i,-0.00036569+0.00092714i,-0.00031997+0.0018047i,0.00064486+0.0015698i,0.00056484+0.00060511i,-0.00028693+0.00059492i,-0.00033689+0.00088221i,-0.00022959+0.00063704i,-0.00010097-7.0319e-05i,-0.00062456-0.00047774i,-0.00058505+0.00015868i,0.00049486+0.0010439i,0.00044441+0.00089832i
-0.0011899+0.0024242i,0.00033348+0.0015955i,0.0022608+0.0015495i,0.0036751+0.0016551i,0.0037039+0.0010182i,0.0024617-2.5329e-06i,0.0009652-0.00042675i,0.00050858-4.3507e-05i,8.1996e-05+0.00031483i,-0.00016773+0.00014673i,-0.00018396+4.3928e-05i,-0.00021215-0.00029347i,-0.00044433-0.00077503i,-0.0009009-0.00055376i,-0.0012164-0.00073299i,-0.001219-0.00059595i,-0.00053894-0.00024968i,0.00057039-6.8384e-05i,0.00055152+0.00023012i,-6.9449e-06-2.9241e-05i,-0.00012004-0.00037876i,-7.4035e-06-0.00056256i,0.0003876-0.00010994i
2.1827e-05-0.0019748i,-0.0010028-0.00099719i,-0.002865-0.00045592i,-0.0038305-3.7769e-05i,-0.0033554-0.00063282i,-0.0019806-0.0015534i,-0.0006284-0.00069889i,-0.00048911+7.7172e-05i,-0.00012798+0.00016936i,0.0001358+1.1068e-05i,0.00012994+1.5275e-06i,0.00017433-0.00013286i,0.0007016-0.00051068i,0.00086833-0.00076336i,0.00061448-0.00094121i,0.00074797-0.00043186i,0.00053766-0.000211i,3.24e-05+0.00041403i,0.0001192-0.00026856i,0.00067236-0.00074162i,0.00018953-0.0004291i,-0.00042116-0.00067246i,-0.00051837-0.00050882i
-0.0012747-0.00077634i,-0.00074947-0.00080527i,-0.00043375-0.00016194i,-0.00027391+0.00050894i,0.0011924+0.00080156i,0.0019358+0.00029592i,0.00099517-0.00016546i,0.00034783-7.9363e-05i,0.00050537-4.3368e-05i,0.00074899-0.00035482i,0.00097923-0.00034773i,0.0010183-0.00052949i,0.00022528-0.0008885i,0.00016704-0.0010642i,0.00070182-0.00013593i,0.00066666+0.00087755i,0.00052027+0.00092498i,-0.00025873+0.00020878i,-0.00065328-0.00095029i,-3.0077e-05-0.0010901i,0.0003549-0.00058399i,-0.00019388-0.00051567i,-0.00029209-0.00014628i
0.00050183+0.00083614i,-0.00045197+0.001442i,-9.2374e-05+0.0013886i,0.00091114-0.00012114i,0.00051619+0.0001005i,-0.0001658+0.001416i,0.00023807+0.0015116i,0.00011125+0.0010759i,-0.00043886+0.00077531i,-0.00038209+0.00078548i,-0.00085954+0.00044549i,-0.0010184-0.00017729i,-0.00068267-3.7789e-05i,-6.0023e-05+0.00034305i,-8.917e-06+8.4919e-05i,-0.000186-0.00020955i,-0.00040956-0.00057229i,-0.00053966-0.00056474i,-0.00068219-0.00060793i,-0.00062148-0.00064814i,-0.00045201-4.3634e-05i,-8.198e-05+0.0002379i,0.00080494-1.2692e-05i
0.0021601+0.00047822i,0.0012935-0.0017286i,0.0017969-0.0020988i,0.001911-0.001826i,0.00058227-0.00098473i,-0.00063414-9.296e-05i,0.0003369+0.00054615i,0.0017167+0.00056381i,0.0013539+2.4924e-05i,0.00045063-5.29e-05i,-0.00058596-0.0003966i,-0.001029-0.00076135i,-0.0004936-1.8671e-05i,0.00042128+0.0005046i,0.0012054+0.00061133i,0.0014819+0.00057964i,0.0005944+0.00098443i,-0.00025504+0.00072473i,-0.00027019-0.00050437i,7.1956e-05-0.00034203i,-0.0003119-9.2455e-05i,-0.00043132-0.00098441i,9.9866e-05-0.00098438i
0.0021666-0.00040848i,0.00096493-0.00056868i,4.4472e-05-0.0017169i,-0.0010423-0.0021059i,-0.0015664-0.0017187i,-0.0010594-0.00036659i,-0.00061044+3.9336e-06i,0.00028823-0.00074162i,0.0010285-0.00044455i,-9.0962e-05-0.00018613i,-0.00078535-0.00077095i,-0.00047133-0.00073895i,0.00035339-0.00017838i,0.00087016-2.2954e-05i,5.7366e-05-3.7457e-06i,-9.0438e-06-5.2783e-05i,-0.0001081+0.0001644i,-0.00040885-2.9148e-05i,0.00011473-0.00062849i,0.00035428-0.00051525i,0.00016666-0.0003011i,-0.00020603-0.00020587i,-0.00036771-0.00021484i
-0.00029076-0.0012945i,-0.0014384-0.00049165i,-0.0024297+0.00056996i,-0.0030523-9.5834e-05i,-0.0019123-0.0001505i,-0.00028756+0.00052435i,0.00067776+0.00083089i,0.00058329+0.0012546i,-0.00046299+0.0013714i,-0.00026496+0.0011287i,0.0011882+0.0011462i,0.00049954+0.00069985i,-0.00033578-0.00017182i,2.5068e-05+0.00011278i,-3.5092e-05+0.00027267i,-0.00028126+0.00020144i,-0.00034563+0.00026727i,0.00014006+5.0487e-05i,3.2335e-05+3.9568e-05i,-0.00095933-0.00053551i,-0.00044977-0.00065488i,0.00041799+0.00038299i,0.00031566+0.0010153i
-0.00014506-6.0121e-05i,-0.00077478-0.00052729i,-0.0014359-0.00076185i,-0.00044256-0.0012343i,0.00020272-0.00059366i,0.00021643+0.0005422i,0.00049541+0.0012232i,0.00016056+0.0009351i,0.00016488+0.00052193i,0.00042949+0.00059228i,0.00049512+0.00063124i,-2.1626e-05+0.00067123i,-0.0007565+0.00086502i,9.5662e-05-0.00021194i,0.00095134-0.00064675i,-0.00013634+0.00022391i,-0.00095666+0.00048891i,-0.00049021+0.00048109i,0.00039593+0.00096358i,0.00053631+0.0011086i,-0.00061469+0.00053428i,-0.00077141-8.722e-05i,0.00020623-0.00070066i
-0.00068717+0.001374i,0.00032108+0.0029008i,0.0013129+0.0049852i,0.0014772+0.0045144i,0.0016163+0.0021535i,0.0013848+0.0001519i,0.00077911+0.00041887i,0.00044682+0.0011519i,0.00056809+0.00079588i,0.0015506+1.9058e-05i,0.0017604-0.00021173i,3.4676e-05+2.8946e-05i,-0.00096157-0.00014704i,-0.00042239-0.00057168i,0.00018903-0.00044244i,0.00038286+2.9498e-06i,3.2637e-05+0.00035421i,-5.3404e-05+0.0002066i,0.00076445-2.1625e-05i,0.0011095-2.8876e-05i,0.0010592+0.00069173i,0.00058502+0.00068226i,0.00019733+0.00012508i
-0.00048781-0.00062662i,-0.00040987-0.00046676i,0.00039391-0.001025i,-0.00041689-0.00061119i,-0.0013798-0.00056576i,-0.0011865-0.00047189i,-0.00053506+7.8081e-05i,4.9377e-06+0.00046576i,-0.00013286+0.00012389i,-0.00033605+0.00021833i,-0.00041219+0.00080662i,-0.00027645+0.00038313i,0.00029167-0.00015546i,0.00027487+0.00029989i,0.00044122+0.0011331i,0.00092969+0.00059813i,0.0010655-0.00023987i,0.00055897-0.00056947i,7.818e-05-0.00056367i,0.00036179-0.00032165i,0.00032721-7.4354e-05i,5.0443e-05+2.0157e-05i,-0.00038552-0.00014494i
-0.0015141-0.0006633i,-0.00085139+0.00079665i,-0.0013182+0.0015369i,-0.0018665+0.0001513i,-0.00085602+0.00027267i,0.00083546+0.0011449i,0.0008333+0.00077795i,0.00047206+2.0369e-06i,0.00055169-0.00069767i,0.000369-0.0006088i,0.00061326-0.0001304i,0.0012831-0.00015951i,0.0016837-0.00055729i,0.0014127-0.00048882i,0.0003133+0.00024004i,-0.00059714-8.616e-05i,-0.00010619-0.0004153i,0.0005337+0.0001906i,0.00074364+0.00052827i,0.00064414+0.00093618i,0.00023072+0.00015232i,-0.00032694-0.00059924i,-0.00036658-0.00018945i
0.0021184+0.00032926i,0.0019609+0.0015439i,0.001162+0.0016731i,0.00080994+0.00095118i,0.00078772-0.00016987i,0.00052678-0.00029145i,0.00039477+0.00022849i,-0.00021843+0.00078412i,-0.00073514+0.00091262i,-9.1757e-05-1.2853e-05i,0.00044877-0.00025014i,0.00016202-6.9246e-05i,0.00021336-0.0004727i,0.00070302-0.00025451i,-0.00012135+7.3049e-05i,-0.00081693+0.00025676i,-0.00022833+0.00013649i,0.00083332-0.00047705i,0.00027356-6.0588e-05i,-0.00053912+0.00047117i,-0.0004081+0.00054538i,-1.7011e-05+0.00028897i,-0.0001141-0.00036215i
0.0010858+0.00060178i,0.0006595+0.001006i,0.00076238+0.00058141i,0.00015788+0.00034128i,-0.0007603-0.00025319i,-0.00085623-0.00040785i,-0.00056783-0.00062836i,0.00017604-0.00075773i,0.0010277+7.1886e-05i,0.00093498-3.0576e-06i,0.00026157-0.00076662i,-0.00058995-0.00091032i,-0.0013023-0.00086986i,-0.00065827-0.0010428i,-1.8035e-05-0.00073419i,-0.00010493-0.00050874i,-0.00053059+0.00048266i,-0.0012071+0.00095536i,-0.0011208+0.00047008i,-0.00063456+0.00067094i,-0.0001844+0.00063126i,-0.00056583+0.00019193i,-0.00055534+4.1274e-05i
