-0.004359+4.6745e-05i,-0.0039238+0.0012238i,-0.0042292+0.0023013i,-0.002991+0.0021386i,-0.0014513+0.0015421i,-0.00098705+0.0017856i,0.00032276+0.0020445i,0.00063685+0.0022594i,0.00012458+0.0015525i,0.00080386+0.00067522i,0.00098152-0.00033843i,0.00011057-0.00081239i,-0.00043213-0.00082175i,-0.00060594-0.0013841i,-0.0006355-0.00075168i,-0.00041711-4.0264e-05i,-0.00029786+0.00014997i,-2.827e-05+0.0006837i,0.00031673+0.00059475i,0.00037914+0.00046855i,-9.8282e-05-0.00015686i,-0.00019777-0.00068175i,0.00069805+0.00035069i
-0.0018254+0.00063559i,-0.0009274+0.00055165i,-0.00078373+0.00092131i,-0.00067946+0.0014154i,-0.00019811+0.001032i,6.5114e-05+0.0010567i,0.00072805+0.0012921i,0.0010038+0.00067185i,2.3678e-06+0.00015509i,-0.0011348-0.00081555i,-0.00086626-0.0012674i,-0.00051513-0.00071705i,-0.00073545-0.00082515i,-0.00090172-0.001039i,-0.00067315-0.00053471i,-0.00051971+0.00031833i,5.6844e-05+0.001252i,1.8353e-05+0.0015358i,-0.00010247+0.00055438i,0.00032925-0.00050166i,0.00092008-0.00015249i,0.00094766+1.9335e-05i,0.00044256-0.0004493i
0.00078964-0.00094857i,0.00029073-0.00080459i,-1.7781e-05-0.0011374i,0.00043644-0.00066589i,0.00064835-0.00026103i,0.00059347-0.00092263i,0.00061516+8.3849e-05i,0.00053184+0.0015629i,0.00010726+0.00036909i,-3.0083e-05-0.00092917i,0.00024599-0.00034681i,-0.00053898-6.7273e-05i,-0.0012329+5.7651e-05i,-0.0010952-0.00015987i,-0.000753-0.00057381i,-0.00038887+7.8628e-05i,-0.00038694+0.00020619i,-0.00027193-6.5536e-05i,0.00015634+7.2018e-05i,0.00037772+0.00033995i,-0.00050951+0.00052156i,-0.00089132+0.00046642i,-0.00014822+0.00026291i
0.0009055+0.00021115i,0.00049432-0.00024381i,0.00049951-0.00093795i,0.00090169-0.0018136i,0.0014468-0.0016693i,0.0007017-0.0012746i,-0.00035462-0.00074684i,0.00055148-0.00014869i,0.00093954+0.00017901i,0.00041832-0.00038137i,-7.8549e-05-0.00050238i,-0.00022407+9.613e-06i,-0.00079873+0.00018285i,-0.0012121+6.4348e-05i,-0.00050295+0.00060547i,-0.0003748+0.00078467i,-0.00042983-0.0002808i,0.00050027-0.00060835i,0.00061021+3.047e-05i,0.00015903-0.00035518i,0.00073701-0.001083i,0.0010514-0.00061844i,0.00054816-5.7441e-07i
0.00054459+2.8382e-05i,0.00055008+0.00069969i,0.00089206+0.00036852i,0.00083537-0.00082299i,0.00041218-0.0015858i,6.2009e-05-0.00096346i,7.4287e-05-0.00035259i,0.00024508-5.7348e-05i,0.00012215-0.00055471i,-0.00042327-0.0012542i,-0.00061173-0.00091183i,-0.0010453-0.00033084i,-0.00090605+6.0635e-05i,-0.00010332+0.00017658i,0.0003954+0.00032914i,0.00078319+0.00023913i,0.00014273-0.00014119i,0.00038508+0.00021579i,0.00088728-3.4289e-05i,0.00056398-0.00051698i,0.00018347-0.00020188i,0.0003263-0.00038511i,0.00073733-0.00077126i
-0.0013307-0.00047005i,-0.00097412-0.00020125i,-0.0013635-0.00043908i,-0.00079187+0.00015555i,0.00072579+0.0013231i,0.0009975+0.00090764i,0.00056077-0.00030004i,0.0012781-0.00040287i,0.0013546-8.5095e-05i,0.000403-0.00068342i,-1.4973e-05-0.0010067i,-0.00042833-0.0010355i,-0.0010082-0.00056559i,-0.00087433-9.5707e-05i,-0.00025406+0.00018748i,0.00047695+0.0012096i,0.00062254+0.001301i,0.00039512+0.00080194i,0.00027477+0.00074914i,0.00019747+0.00061894i,0.00059873+0.00066462i,0.00044051+0.00061937i,0.00012171-0.00016003i
0.00072815+0.00021695i,0.00091037+0.00015261i,0.0010136+0.00027825i,0.00059-5.9468e-05i,3.8059e-05-0.00058975i,0.00038738-0.00055096i,0.0011306-0.00011001i,0.001353+0.00043166i,0.00042701+0.00018969i,-0.00038149-0.00064635i,-0.00057659-0.00078127i,-0.0002542-0.00048136i,-0.00076055-0.00018332i,-0.00116+0.00015148i,-0.00096197+3.0504e-05i,-0.00048774+4.3771e-06i,0.00010706+0.00045279i,0.00084412-0.00024189i,0.0010859-0.00076174i,0.0011745-0.00082854i,0.0010981-0.00091451i,0.00039337-0.00048178i,-0.00026956+0.00027656i
0.001196-0.00034704i,0.001528-0.00037478i,0.00024355-0.0016463i,-0.00042766-0.0026429i,-0.00015612-0.0011907i,-0.00074462+0.00078805i,-0.00034873+0.0013438i,0.00085545+0.00072295i,0.0010525-0.00049113i,0.00035462-0.0014515i,5.2367e-05-0.00063548i,-0.00022479-4.0973e-05i,-0.00048228+0.00031562i,-0.00045914+0.00050972i,-0.00054903+0.00072199i,-0.00064766+0.00038101i,-0.0004561+0.00012141i,-0.00012617+0.001011i,-8.5937e-05+0.0017132i,0.00055305+0.0010817i,0.00087335+0.00030398i,0.00026265+0.00081131i,-0.00015135+0.00077823i
-5.9661e-05-0.00061431i,-0.00063281-0.00074005i,-0.00053408-0.0012698i,-0.00058318-0.0018254i,-0.00017082-0.0011919i,0.00033964-0.00023692i,0.00053224+0.00016964i,0.00065639+6.1521e-05i,0.00029385+6.2633e-05i,-0.00055146-0.00043316i,-0.001003-0.00062078i,-0.00085481-0.00016807i,-0.0012472+0.00042105i,-0.0013717+9.4797e-05i,-0.00033575+0.00013644i,-0.00025741+0.00021391i,-0.00014725+1.234e-05i,0.00030411-0.0001356i,-7.5746e-05-0.00024746i,-0.00043332+0.00020432i,-6.3691e-05+0.00059119i,0.00051894-0.00034796i,0.00027515-0.00024373i
0.0029719-6.445e-05i,0.0035072-0.0011129i,0.0032412-0.0022246i,0.0024216-0.0031599i,0.0016218-0.0040114i,0.0007951-0.0034196i,0.00054093-0.0012416i,0.00053977+0.00041253i,0.00050644-0.00023953i,0.0005717-0.00074306i,0.00025095-0.00067751i,-0.0004581-0.0006585i,-0.0010706-0.00017864i,-0.00080812+0.00020445i,-0.0003118+0.00098468i,0.00018962+0.00077281i,0.00030477+9.6978e-05i,3.9942e-05+0.00056467i,0.00018219+0.0011508i,0.00060231+0.00073817i,0.00030587+0.00036438i,-0.0003604+0.0006544i,0.00030601-0.00017097i
-0.00085129+0.0014092i,-0.00022321+0.0013188i,0.00019925+0.0015473i,0.0013374+0.0019238i,0.0013926+0.00090459i,0.00043623-7.6859e-05i,0.00048432-0.00018794i,0.00090505-0.00053532i,0.0010514-0.00083198i,0.0003396-0.00073388i,-0.00083791-0.0006792i,-0.00085979-0.00019661i,-4.0959e-05+0.00037531i,0.00033187+0.00019779i,0.00010086+0.00022373i,0.00030192+0.00073031i,0.00049836+0.00052509i,0.00012702+0.00047697i,0.0003055+0.00062088i,0.00049543+0.0004509i,0.00080184+1.1187e-06i,0.00072206-0.00017019i,-2.3655e-05+0.00031308i
-0.0012803+0.0020966i,-0.0011416+0.0016762i,2.6071e-05+0.0010081i,0.0011416-0.00024088i,0.0018535-0.00039064i,0.00052712-0.00021832i,-0.00066685-2.0034e-05i,-0.0006283+0.00062828i,-0.0002367+0.0010181i,5.7992e-05+0.00041721i,-0.00030718-0.0008389i,-0.0004941-0.00081669i,-0.00081519+8.9931e-05i,-0.0011809+0.00043853i,-0.0004786+0.00062503i,0.00014473+0.0002805i,0.00065239+0.00019513i,-6.1725e-05+0.00017643i,-0.00096123+0.00038765i,-0.00021261+0.00043781i,0.00037456+9.4953e-05i,0.00072792+0.00013071i,0.00063389+0.00014042i
0.00018622+0.00050628i,0.00048927-0.00051147i,0.00078839-0.00069152i,0.0010277-0.00045095i,0.00092177+0.00042259i,0.0013131+0.0011275i,0.0016515+0.00097936i,0.00064826+0.00018677i,-0.00027775-0.00056188i,-0.00013569-0.00079809i,0.00030525-0.0012872i,0.00019479-0.0009663i,-0.00033185-1.8719e-06i,-0.0013432-1.1659e-05i,-0.0015556-0.00020234i,-0.001386-1.678e-05i,-0.0011947+0.00032903i,-0.00093293+0.00056761i,-0.00011022-0.00019833i,0.00051562-0.00043324i,-0.00010486+1.1168e-05i,-0.00030872+0.00052228i,-0.00031747+0.00052631i
0.0022433+0.0002005i,0.0018555-0.0001912i,0.00068391-0.0017186i,-0.0001129-0.0022132i,-6.8023e-05-0.0015303i,-0.00041619-0.00087264i,-0.00033463-0.00056275i,0.00045438-0.00015382i,0.00018923-0.00036166i,-0.0010021-0.0008646i,-0.0013349-0.001121i,-0.0012123-0.0007334i,-0.00095095-4.7896e-05i,-0.0006073+0.00027577i,-0.0003321+0.00016393i,2.6613e-05+0.00024881i,0.00046007+0.00054374i,0.00040371+0.00064869i,-0.00046266+0.0010737i,-0.0007903+0.00086114i,0.00035293+0.0005372i,0.00099774+6.6646e-05i,0.00059829-0.00049654i
-0.00060118-1.0593e-06i,-0.00086005-0.00034461i,-0.0020514+0.00028744i,-0.0014387+0.00062075i,7.4928e-05+0.0015464i,-0.00022469+0.0015618i,0.00031304+0.00041566i,0.0006607+0.00023616i,0.00035776-0.00029257i,0.00069832-0.0012777i,0.00070584-0.0012811i,0.00075493-0.00060925i,0.00084056-5.189e-05i,0.00039929+0.00015669i,8.3958e-05+4.6427e-05i,0.00042094+0.00039257i,0.00079292+0.0012193i,0.00059233+0.0012384i,0.00033013+0.00095702i,0.00083229+0.00079628i,0.0013141+0.00083196i,0.00059681+0.00072104i,-0.00026775+0.00012965i
-0.0011069-0.00036685i,-0.0022454+1.9697e-05i,-0.0018821+0.00015672i,-0.00088185+0.00039964i,-0.00070922+0.0010044i,-0.00047456+0.00045704i,0.0007121+4.1182e-05i,0.00055991+2.6502e-05i,-0.0010024-0.0008066i,-0.0011664-0.0014738i,-0.00068419-0.00034462i,0.00013806+0.00029698i,-9.697e-05-0.00028882i,-0.00091168-0.00027791i,-8.3386e-05+0.00023126i,0.00025875+0.001047i,-5.9527e-05+0.0011274i,0.00037785+0.00085568i,0.00038893+0.00058425i,7.8181e-05+0.00054726i,-0.00015314+0.00033965i,-4.4069e-05-0.00057317i,-7.966e-05-0.00073693i
-9.1102e-05-0.00046204i,0.00038179-0.00018304i,0.00064551+0.00091996i,0.00015769+0.00082769i,4.1263e-05-0.00062549i,0.00092611-0.00097142i,0.001329-2.6772e-05i,0.0012242+0.00041329i,0.00056837-0.00034475i,-0.00091354-0.00090537i,-0.00097859-0.0012498i,-0.00026081-0.0010674i,0.00044154-0.0003756i,0.00042389+0.00058681i,-0.00051475+0.00065242i,-0.0010457+0.00016837i,-0.00047842+0.00057492i,9.8912e-05+0.00097714i,-8.1394e-05+0.0010505i,0.00038041+0.00072209i,0.0012999+0.00063047i,0.0011309+0.00026284i,0.00062472-0.00039019i
9.1858e-05+0.00033519i,0.0012629-0.00029652i,0.0023688-0.00041723i,0.0019171-0.00015067i,0.00030861+8.873e-05i,7.7032e-05+0.00031787i,7.3038e-05+0.00044921i,0.0001733-0.00017546i,0.00019106-0.00041658i,0.00034074-0.00017938i,-6.7056e-05+0.0003163i,-0.001128+0.00056775i,-0.0011625+0.00037503i,-0.0004278-0.00037601i,-0.00022549-0.00031612i,0.00049764+0.0003291i,0.00096254+0.00028495i,0.00030513+0.00034549i,0.00021884+0.00048769i,0.0010657+0.00048034i,0.0010632+0.00019542i,0.0007664-0.00044506i,0.00064921-0.00033441i
-0.0014203+0.00094931i,-0.00040582+0.00038785i,0.00021174-0.00013474i,0.00080287+3.2534e-05i,0.0010425+2.3677e-05i,0.00076696-0.00011825i,0.00051695+0.00041i,0.00033852+0.00044364i,0.00017254+0.0006625i,0.00021116+0.00044561i,0.00058999-0.00070584i,9.7029e-05-0.0013119i,-0.0007468-0.0010784i,-0.0013859-0.00018582i,-0.0013841+0.00066056i,-0.00063016+0.00023327i,-0.00048185+6.5534e-05i,-0.00102+0.001034i,-0.0010102+0.0011464i,2.7128e-05+0.0003453i,0.00043072-0.00027383i,0.00072646-0.00061708i,0.00043286-0.00083382i
0.0002801-0.0012503i,0.00053681-0.00048288i,0.00074824-0.0017913i,-0.00034152-0.0024495i,-0.00078523-0.0013254i,0.00014703-0.00016952i,0.00092973+0.00022645i,0.0012075-0.00015562i,0.00044662-0.00073588i,-0.00072231-0.00078352i,-0.00099203-0.00068734i,-0.00046361-0.00015027i,-0.00026833-8.5532e-05i,-0.00050285-0.00061665i,-0.0010656-0.00017411i,-0.00079747+0.00012096i,0.00060169+0.00017465i,0.00106+0.00029543i,0.00070988-0.0001757i,0.00075867+2.7108e-05i,0.00024376+0.00068736i,0.00023391+0.00098055i,0.00043417+0.00020794i
0.00042072+0.00064628i,0.00073188+0.00073851i,0.0014013+7.8595e-06i,0.0011654-0.00029028i,0.00085071-0.00042307i,0.0013248-0.00025379i,0.0016589+0.00038445i,0.00092785+0.0010401i,-8.1771e-05+0.00090463i,0.00023003-0.0002056i,0.00082926-0.00063573i,6.0359e-05-0.00041331i,-5.0791e-05-0.00050021i,4.4173e-05-0.000357i,-0.00047251+0.00047581i,-0.00059948+0.00031232i,-0.00065673+9.4293e-05i,-0.00018711+0.00034055i,-0.00019062-8.1406e-06i,-0.00031392-0.0001176i,0.00014564+0.00015913i,6.6408e-05+0.00022929i,-3.5451e-05+0.00046782i
0.0014468+0.00046303i,0.00076953+0.00025569i,0.0010835-0.00035806i,0.00056059-0.001054i,-0.00026532-0.0012714i,-0.00016955-0.00042309i,0.00019574+0.00031208i,0.0001545+0.00034559i,7.977e-06+0.00011583i,-0.00033727-0.0007389i,-0.00035987-0.0010336i,-2.4865e-05-7.396e-06i,5.2661e-05+0.00073081i,5.7825e-05+0.00072081i,0.00026894+0.00080253i,0.00028551+0.00083212i,0.00068534+0.0006162i,0.00060813+0.00070298i,0.00013084+0.00048866i,2.037e-05-0.00024535i,1.3512e-05-0.00034034i,3.7334e-05+0.00010438i,0.00073581-0.00070814i
0.0014348-0.0012795i,0.0011794-0.0019384i,0.0015476-0.0021804i,0.00091435-0.0026484i,-0.00022406-0.0018067i,0.0006635-0.0011492i,0.0016372-0.00097445i,0.0016394-9.9033e-05i,0.00070182+0.00016086i,0.00026167-0.00050569i,-0.00033425-0.00048538i,-0.00090153-0.00027697i,-0.00062772-0.00029612i,-0.00056104-0.0006954i,-0.00053961-0.00052559i,-0.00057449-1.6343e-05i,-0.00044518+3.7859e-05i,-0.0001839+0.00077674i,-0.00026709+0.00060453i,-2.8044e-05-4.7269e-05i,-0.00055729+2.8934e-05i,-0.000179-3.5397e-06i,0.001118-0.00047536i
0.00012485-0.00057225i,0.00082985-0.00048514i,0.0015116+0.00045253i,0.00060758+0.0010149i,-0.00048534+3.7899e-05i,0.00011059-0.00024891i,0.0012024+0.00036641i,0.0007976-0.00066253i,0.00032455-0.0016581i,0.00030021-0.0016838i,-2.2328e-05-0.00093409i,-0.00034034-0.00038321i,-8.7725e-05-0.00039895i,-0.00054874-0.00013481i,-0.00055662+0.00018305i,-2.7429e-05+0.00063789i,0.00010655+0.0010129i,2.5879e-05+0.00095806i,-0.0002644+0.00031345i,-8.2842e-05-0.00010698i,-0.00057545-0.00019398i,-0.00033694-0.00024632i,0.00066975-0.00043675i
0.0014126+0.0023042i,0.0014352+0.00081475i,0.0012606+0.00039006i,0.001382-0.00021222i,0.0015681-0.0011076i,0.0013288-0.00080815i,0.00099641-0.00028662i,0.00064258-0.00014956i,0.00070396-8.0499e-06i,0.00060403-0.00063308i,4.1946e-05-0.0019827i,-0.00029734-0.001321i,-0.0010678-0.00047588i,-0.0012077-0.00068213i,0.00013571+0.00037648i,0.00075067+0.001048i,0.00054161+0.0007763i,0.00058402+0.00041595i,2.2831e-05+0.00016615i,-0.0010454+0.00037038i,-0.0010292+0.000898i,4.6684e-05+0.0004364i,0.00064731-0.00023673i
0.00048617-0.002386i,0.00032702-0.0025221i,0.00077041-0.0023243i,0.00036372-0.0016181i,-0.00046041-0.00093131i,8.0075e-05-1.2483e-05i,0.0010258+0.00023908i,0.0011799-0.00036441i,0.00066081-0.00045694i,-0.00032907-0.0004081i,-0.00046361+0.00015644i,-0.00055902+0.00047419i,-0.0010722+0.00016306i,-0.00073577+0.00018282i,-0.0005392+0.00026563i,-0.00097172+0.00063379i,-0.00066143+0.00029182i,0.00050566+8.4839e-05i,0.0011968-0.00014192i,0.0016529-2.02e-06i,0.00089163+0.0002938i,-7.6158e-05-0.00043023i,0.00040909-0.00061723i
0.0013029+0.00055198i,0.0022793-0.0010335i,0.0020166-0.0014388i,0.0017748-0.00094165i,0.00083039-0.00096706i,-0.00090778-0.001186i,-0.00059713-0.00044063i,0.00024739-0.00026048i,7.3384e-05+5.6005e-05i,-0.00031705+0.00029721i,-0.00081438-0.00058446i,-0.00080559-0.0010716i,-9.2333e-05-0.00094909i,-0.00024938-0.00013158i,-0.001103-4.7999e-05i,-0.0013023+0.0002802i,-0.00046134+0.00072724i,6.38e-05+0.00056819i,7.1869e-05+0.00050598i,-8.6876e-06+0.00050776i,-0.0003348+0.00044247i,-0.00043219-0.00044825i,0.00016278-0.00069072i
-0.0028094+0.00020658i,-0.0037338+0.0016012i,-0.0031121+0.0019759i,-0.0010952+0.0019616i,0.00059006+0.0011605i,0.0016958+0.00054267i,0.0019106+0.00068366i,0.00067684+0.00046215i,-0.00048277-6.4405e-05i,-0.00020563-0.00026486i,-7.5969e-05-0.00080971i,-0.00050053-0.0014814i,-0.00075076-0.0005188i,-0.00049155-0.00016248i,0.00022501-0.00038724i,0.00031238+0.00012377i,0.0002381+0.0012039i,0.00013302+0.0013901i,0.0010963+0.0011788i,0.0012462+0.0016481i,0.00085951+0.0012445i,0.00070755+0.00043499i,-3.8004e-05+2.0378e-05i
-0.00073794+0.0012364i,-0.00051803+0.0013614i,-4.1182e-05+0.0013931i,-1.2884e-06+0.0004232i,3.2605e-05-0.00063204i,0.00011545-0.00015125i,0.00030829+0.00054511i,0.00037885+0.0011305i,0.00019996+0.0012481i,-0.00012161+0.00067876i,-0.00064037-0.00053639i,-0.00029086-0.001077i,-0.00025558-0.00062067i,-0.00066568-6.9304e-05i,-0.00061363-0.00015886i,-0.00010506-0.00056744i,7.8106e-05-0.00088709i,0.00026114+0.00016893i,0.00020161+0.00091288i,0.0002748+0.0010601i,0.00067626+0.00088305i,0.00010625+0.00044642i,0.00026036+0.00015644i
0.0019614-0.00099116i,0.0012353-0.00072749i,0.00039862-0.001025i,-9.9045e-05-0.00077797i,-0.00041898-0.0008103i,-0.00088829+0.0002853i,-0.0011905+0.0010949i,-0.00066332-4.5983e-05i,-9.4419e-05-0.0010734i,6.2503e-05-0.00046858i,-0.00010962+5.9728e-06i,-0.0006653-0.00084341i,-0.00087301-0.00087787i,-0.00054974+2.7962e-05i,-0.00067937+0.00010023i,-0.00033209-9.2693e-05i,-0.00020946+0.00033635i,-0.00018443+0.00043174i,3.3545e-05-0.00019858i,0.00060702-1.3485e-05i,0.00030572+0.00033351i,-0.00047243+7.4318e-05i,-3.8246e-05+0.00022274i
0.0021129-0.00012282i,0.0016451-0.0013019i,0.00093972-0.0011779i,0.0012546-0.00073234i,0.00066003-0.0010527i,-0.00023249+0.00015723i,0.00036734+0.0015046i,0.00091026+0.00077529i,0.00087174+6.0003e-05i,0.00027606-8.5754e-05i,-0.00025476-0.0010669i,-0.00064227-0.0014532i,-0.0006145-0.0014646i,0.0001474-0.0010485i,0.00056499-3.9063e-05i,0.00023001-3.1987e-05i,0.00043958-7.577e-05i,0.00061419+0.00013911i,0.00079314+8.7002e-06i,0.00065753+0.00015647i,0.00013181+0.0006063i,-0.00026518+0.0005889i,-0.00038168+0.00025265i
