0.0053475-0.00086947i,0.0030585-0.0028425i,0.00042964-0.0060565i,-0.0011727-0.0059391i,-0.0015774-0.0040161i,-0.0013696-0.00061396i,0.00034776+0.0014822i,0.0016691+0.0012497i,0.0014986-1.8032e-05i,0.0010791-0.0013164i,0.00072932-0.0007673i,-0.00043608+0.00059862i,-0.00091125+0.0012346i,-0.00045703+0.0019624i,-0.0014794+0.0020203i,-0.0023428+0.0010993i,-0.0012706+0.00063023i,-0.00014698+0.00024693i,-2.9067e-05+0.00035931i,-0.00046061+0.0008892i,0.0001316+0.00034087i,0.00049014-0.00097739i,-0.00043383-0.00089812i
-0.0013947-0.0031565i,-0.0024022-0.0033204i,-0.003022-0.0023724i,-0.0029743-0.0012131i,-0.001833-0.00016581i,8.0655e-05-1.7686e-05i,0.0015882-0.00074754i,0.0011623-0.00063796i,0.00017764+0.00027555i,0.00055556+0.00043468i,0.00046686+0.00017155i,-0.00036309-0.00010307i,-0.00067425+7.4886e-05i,-0.00028135+0.000404i,0.00026286+0.000313i,0.00052239+0.00033872i,0.0010031+0.00010701i,0.00088118+0.00024924i,0.00034412+0.00039606i,4.1474e-05-0.00062247i,-0.00068641-0.0010254i,-0.00069201-0.00043812i,0.00023612-8.4339e-05i
0.002873+0.00047917i,0.0036025+0.00021373i,0.0025807-0.00034536i,0.0013912+0.0008271i,0.0020085+0.0013601i,0.0027082+0.00081381i,0.0016167+0.00048356i,0.0005101+0.00014729i,-0.00031534+0.00097866i,-0.00042032+0.0011403i,-0.00052669-0.00033388i,-0.0010906-0.00079019i,-0.00025208-0.00013728i,0.00076043+0.0008293i,0.0002501+0.0013597i,-0.00039754+0.00095288i,-9.0591e-05+0.00024959i,0.00051539-0.00022314i,0.0010571+0.00037306i,0.0011648+0.0013158i,0.0011117+0.00099273i,0.00088586+0.00061255i,0.00027906+0.00065865i
0.00080803-0.00024517i,-0.00016746-0.00024988i,-0.00061283-1.0933e-05i,-0.0005726-0.00032335i,0.00038367+4.6997e-05i,0.0011681+0.00017831i,0.0017552+0.00043436i,0.0013094+0.00037454i,0.00020008-0.00012111i,6.7253e-06-0.00022001i,0.0003078-0.00022025i,-0.00017773+0.00018234i,-0.00065507+0.00094449i,-0.00069479+0.0007138i,-0.00018264+0.00015196i,-0.00020197+0.0002202i,-0.00042668+0.00037933i,-0.0001149-0.00017022i,-4.1654e-05-0.00019118i,-0.00017582+0.00023103i,-0.00035884-0.00011198i,-3.5963e-05-0.00060147i,0.00047645-0.00065821i
-0.00095181-0.0028834i,-0.0013493-0.0017513i,-0.0025211-0.00041105i,-0.002586+0.00071352i,-0.001218+0.001766i,0.00035223+0.0013562i,0.0015269+0.00039798i,0.0016502-0.00056816i,0.00045054-0.0005339i,0.00018355+0.00037063i,-0.00055896+0.00065309i,-0.001143+0.00054122i,-0.00078752+0.00089235i,-0.00023077+0.0012903i,-9.0403e-05+0.0008774i,-0.00026034+1.7643e-05i,-0.00041663-0.00053737i,-0.00037995-0.00069232i,-4.2413e-05-0.0013789i,-0.00015538-0.00099038i,-0.00029597-0.00010675i,0.0001873+2.9883e-05i,0.00029396+0.00037418i
0.00044363+0.00021953i,-0.00061868-0.0011937i,9.3921e-05-0.0012583i,0.00084701-0.00069894i,0.00096203-0.00049472i,0.0018017-0.00029699i,0.0019855-0.00021602i,0.00096377+2.499e-06i,-0.00037175+0.00072393i,-0.00035618+0.00060929i,0.00029876-7.9926e-06i,-0.00020798+1.659e-05i,-0.00089784+0.00025659i,-0.0016524+0.00020469i,-0.0016979+0.0001985i,-0.0010428+0.00021008i,-0.00061515-2.3808e-05i,-0.00029569-0.00014666i,5.2105e-05-0.00037493i,0.00033526-3.178e-05i,0.00027976+0.0007317i,0.000341+0.00054748i,0.00037097-0.00026181i
-0.00092142+0.00072184i,-0.001093+0.0011226i,-0.00051103+0.0018142i,4.9551e-05+0.0018101i,0.00016753+0.00084847i,0.00066141-0.00085004i,0.0010219-0.0011577i,0.00062464-0.00041331i,0.00029721-0.00041242i,-0.00035442-0.00087378i,-0.00048738-0.00031246i,-0.00056909+0.00041731i,-0.00034896-0.00020409i,0.00077104-0.00015476i,0.00017895+0.00052881i,-0.00044318+0.00052775i,2.7121e-06+0.00055211i,-0.00039541+0.0006639i,-0.0007534+0.00051966i,-0.00044859+0.00039864i,0.00043116+0.00014174i,0.0001619+0.00014109i,-0.00031279+0.00090561i
-5.0292e-05+0.00035495i,-0.00087701-0.00065726i,-0.0017114-0.0017718i,-0.0011214-0.00061294i,-0.00042389+0.0004586i,0.00055041+0.00047948i,0.0015422-0.00063096i,0.0022526-0.00083557i,0.0014226+0.00025843i,-0.00012329+0.00027037i,-0.00050478-0.00083497i,-0.00060403-0.00080729i,-0.00054633+0.00030006i,-0.00014569+0.00017659i,0.00027977-2.4988e-05i,-0.00019358-0.00033931i,0.00014702-0.00087611i,0.0010066-0.00021034i,0.00061372+0.0010774i,-0.00037321+0.0012418i,-0.00068598+0.00023365i,0.00025156-0.0002243i,0.00085503-0.00011791i
3.6876e-05-0.0003419i,-0.00026254-0.00012732i,3.5721e-05-0.00012751i,0.0011611-0.00013915i,0.0015713+0.00069008i,0.0019655+0.0015098i,0.0022189+0.0012451i,0.0013979+9.7092e-05i,0.00055541-0.0008197i,0.00071149-0.000639i,0.00019672-0.00044158i,0.00024691-6.8097e-05i,0.00038783-4.0959e-05i,-9.5959e-05-0.00030569i,-0.00033948+0.0003728i,-0.00079279+0.00087667i,-0.00087045+0.00010542i,-0.00081295-0.00052024i,-0.00081714+0.00016058i,-0.00066511+0.00057754i,-0.00020189+0.00038683i,0.00035708-5.7643e-05i,0.00086+0.00044974i
-0.00057961+0.00034714i,-0.0017653+0.0007021i,-0.0023831+0.00058998i,-0.0010909+0.00055856i,0.00019066+0.00047053i,0.0010823+0.00026621i,0.0011705-0.00010907i,0.00019298-0.00092712i,0.00030728-0.00078153i,0.00098069+0.00017216i,7.3228e-05+0.00059744i,-4.413e-05+0.00025173i,0.00033974-0.00036069i,4.1644e-05-0.00046486i,0.00028624+0.00047613i,0.00082298+0.00054137i,0.00062899-0.00026124i,0.00056459-0.00055972i,0.00091046-0.00029745i,0.0006171+0.00037717i,2.6049e-05+0.00018705i,-0.00041555+0.00019215i,-0.00075884-3.0393e-05i
0.0012326-0.00071052i,0.00054273-0.00014244i,-0.0003723-0.00039508i,-0.0004417+0.0001117i,-6.6763e-05+0.00072249i,0.00080981+0.00082877i,0.001771+0.00083338i,0.0015187+0.00062844i,0.00055714+6.3886e-05i,-0.00044535-0.00045404i,-0.00096215+0.00010619i,-0.00039032+0.00044922i,-0.00056645+0.00010071i,-0.00063902-0.00011048i,6.7459e-05-4.4906e-05i,-4.8159e-05+2.58e-05i,-0.00062076-0.00075302i,-0.00033884-0.0010581i,0.00051381-0.0010296i,0.00037686-0.00095335i,0.00031617-0.00086993i,0.00038923-0.00047112i,0.00019638+0.00045763i
0.00071988+0.0017204i,-0.00049462+0.0019542i,0.0003087+0.00027996i,0.0013571-0.0011051i,4.5666e-05-0.0014396i,-0.00068581-0.00092072i,0.00024215-0.00031441i,0.00082845-0.00040078i,0.00032246-0.0011175i,0.00027117-0.00079192i,-4.613e-05-0.00023866i,-0.0004893-0.00041846i,-0.00040286-0.00024761i,-0.00061577-0.00029985i,-0.00033324-0.00050725i,0.00062461-0.00048695i,0.0006504-0.0010082i,-0.00034872-0.0011205i,-0.00037603-0.00023544i,2.0004e-06+0.00042461i,0.00032982+0.00061372i,0.00012106+4.4493e-05i,-0.00030265+6.4068e-05i
0.00059978-0.0011706i,-0.00023589-0.0011425i,-0.00026951-0.00041538i,-0.00018833-0.0002636i,5.9074e-05-0.00011369i,0.00030076+0.00041328i,0.0010727-0.00013339i,0.0012699-0.00084756i,0.0001423-0.00028872i,-0.00054016-0.00024643i,-0.00092619-0.00086859i,-0.001135-0.00070325i,-0.00060375-0.0002145i,-0.00028412+0.00029294i,-0.00076716+0.00039401i,-0.00056661-0.00023773i,-0.00027485-0.0002669i,-0.0009303-9.8028e-05i,-0.0003391+0.00021815i,0.00049498+0.00051958i,0.00037195+0.00084476i,-0.00015943+0.00052289i,-0.0001237+0.00036515i
0.00050531+0.00012853i,-4.1503e-05-0.00078679i,-0.0004556-0.0012579i,0.00015186-0.00038068i,0.0008904+0.00027038i,0.0009055-0.00026861i,0.0011084-0.00021121i,0.0009677+0.00040021i,0.00058981+0.00049044i,0.0002854+0.00047938i,-0.00034663+0.00045713i,-0.00057292+0.00055058i,-4.3008e-05+0.00077968i,-0.00037489+0.00032352i,-0.00055649-0.00062922i,-0.00055701-0.00048063i,-0.0010028+0.00049701i,-0.00072096+0.0010512i,-0.00022167+0.00029288i,0.000351-0.00039577i,0.00082729-0.00022412i,0.0011665-1.566e-08i,0.001007-0.00059983i
4.2152e-05+5.8031e-05i,0.00079628+9.0506e-05i,0.001497+0.0002105i,0.0007855+0.00033853i,0.00030873+0.00037724i,0.0010363+0.00024004i,0.0012634+0.00011881i,0.00099655+0.00045105i,0.00081693+0.00089312i,0.00060594+0.00031467i,0.00015946-0.00037001i,-0.00078093-0.00034751i,-0.00093238+0.00090511i,-0.00073773+0.0011275i,-0.00030077-0.0001288i,0.00037664-0.00056929i,0.0008775-0.0002353i,0.0007035+0.00025002i,-0.00075464+0.0001566i,-0.00090302-0.00027975i,-1.754e-05+0.00019989i,-2.2525e-05+0.00059805i,-0.00014209+0.00026895i
-0.0011621+0.0012301i,-0.0011657+0.002144i,-0.00093436+0.0025078i,0.00016606+0.0015269i,0.00081992+0.00084974i,0.00058001+0.00027308i,0.0011219+0.00020911i,0.0010754+0.00070624i,0.00014524-0.00027356i,-0.00052849-0.0012483i,-0.0011427-0.00084358i,-0.0012111-0.00034497i,-0.0002803-0.00034559i,0.00027012-0.00077723i,-0.00013089-0.0010876i,-0.00041899-5.7225e-05i,-0.00018038-0.00015611i,8.4526e-05-0.00081769i,-0.00032057-0.0004464i,-0.00047309-5.9606e-05i,-0.00033677+0.00015241i,-7.9899e-05+5.0917e-05i,0.00032424-6.7022e-05i
0.0014591-0.00083691i,0.00090331-0.0026874i,0.00025601-0.0029938i,8.8801e-05-0.0023582i,-0.00018972-0.0021439i,-0.00066506-0.0010815i,-0.00017558-3.7458e-06i,0.00056851+0.00026151i,0.00074793-9.703e-05i,0.00063789-0.00025247i,-0.00018557-0.00027434i,-0.00074311-0.00015992i,-0.0011272-0.0001322i,-0.0011515-0.00033205i,-0.00096863+0.00026278i,-0.00086362+0.00062902i,-0.001125+2.5159e-05i,-0.0010706+0.00038515i,7.1932e-05+0.00091678i,0.0006871+0.00089975i,0.00039124+0.00065933i,-0.00014585+0.00015326i,-0.00027914-2.9953e-05i
-0.00081146+0.00034112i,-0.0011879+0.00056489i,-0.0015243+0.00092919i,-0.00088827+0.0012818i,0.00043759+0.001596i,0.0010652+0.0010104i,0.0017711-0.00027491i,0.0018026-0.00064418i,0.00048928-0.00041748i,0.00025143-0.00069391i,0.0002718-0.00081539i,-0.00046916-3.8448e-05i,-7.1534e-05+0.00032632i,0.00042535+0.0005984i,0.00033978+0.00076413i,0.00018705+0.00024935i,-0.00016665+0.00020576i,-0.00026291+0.00041051i,0.00038217-0.00026116i,0.0010563-0.00057999i,0.00062764-0.00015461i,0.00025766+0.00012176i,-9.1619e-05+0.00028987i
-0.0002557+0.0010974i,0.00055424+0.00067344i,0.0019983-0.00033034i,0.0013733-0.0008428i,0.00033511-0.00076725i,4.8207e-05-0.00024686i,0.00037336-9.1308e-05i,0.00062279+0.00031486i,0.00030445+0.00051811i,2.0661e-05-7.9032e-05i,-0.00098222-0.0005425i,-0.0019865-0.00048419i,-0.00070259-0.00029037i,-0.00025488-0.00014885i,-0.00061602+0.00036684i,-0.00033068+0.0011587i,-0.00071793+0.0014311i,-0.00062213+0.00087896i,-0.00032076-9.7317e-05i,9.8723e-06-0.0005813i,0.000736-0.00052907i,0.00081543+0.00019037i,6.6351e-06+0.00010831i
-0.00057997-0.0010977i,-0.00066692-0.0013496i,-0.0012086-0.00050162i,-0.00024757-0.00044315i,0.00084785-0.00013568i,0.00089649-1.4172e-05i,0.00092301-0.00054288i,0.00058036-0.00091146i,0.00052539-0.00061672i,0.00042614-0.00029704i,-5.7963e-05-0.00018073i,-0.00016542+0.00019718i,-0.00029182+0.0008406i,-0.00097457+0.00027923i,-0.00032087-0.00012342i,9.1026e-05+1.5052e-05i,-0.00030511-0.00028916i,8.2714e-05-0.00079816i,0.00037587-0.00058728i,0.00093368-0.00023104i,0.00053017-0.00053332i,-0.00023453-9.9763e-05i,0.00054532+0.00076583i
-0.00088651+0.0009037i,-0.0011764+0.001012i,0.00019888+0.001309i,0.0017507+0.0015485i,0.0015323+0.00043966i,0.001477-0.00064086i,0.0014083-0.00081573i,0.0011236-0.00061378i,0.00032701-0.00017619i,0.00018824+0.0004137i,0.00094447-0.00029467i,0.0011839-0.00095271i,0.00049579-0.00024715i,0.00051482+6.8346e-05i,0.0012764-0.00037449i,0.00078726+0.00021556i,-0.00058216+0.00037375i,-0.00072372-0.00018355i,-0.00012784-0.00037054i,-9.404e-05+9.7258e-05i,-0.00082202+0.00068694i,-0.0008191+0.00067544i,-0.00022788+0.00017781i
0.0022619-0.00091499i,0.0016131-0.0014054i,0.00054717-0.001771i,-0.00033868-0.0018074i,-0.00051486-0.0010584i,0.00060518-0.00029653i,0.001891+0.0002233i,0.0013011+0.00091621i,-0.0006738+0.00083001i,-0.0011222+0.00012108i,-0.0013934-0.00054148i,-0.001041-0.00090296i,-0.00038486-0.00049525i,0.00011921+0.00021778i,-9.4489e-05+0.00079626i,-0.00068454+0.00051588i,-4.0462e-05-0.00030159i,0.00047471-0.00085915i,0.00035783-0.00043916i,0.00071955+0.00051315i,0.0010228+0.00045249i,0.00039416+0.00014674i,-0.00045577+0.00013446i
-0.001353+0.00040886i,-0.0031761+2.2822e-05i,-0.0024728+0.00071268i,-0.00060379+0.0014653i,0.00085969+0.0013411i,0.0019275+0.00085167i,0.0025251+6.6743e-05i,0.001837-0.00040671i,0.00085767+2.2863e-06i,0.00070744+0.00044528i,0.00035294+0.00032417i,-0.00057029+0.00033058i,-0.00083632-0.00041719i,-0.00068335-0.00017904i,0.00031506+0.00071342i,0.00091508+1.6101e-05i,0.00044836-0.00053645i,-0.00026655+0.00032747i,-0.00028887+0.0013256i,-0.00042978+0.0010652i,-0.00016549+2.6782e-05i,0.00061706-0.00083835i,0.00080847-0.001076i
0.00058646-0.0018468i,0.0002172-0.0019211i,-0.00021031-0.00049147i,-7.1255e-05-0.00016355i,0.00037237+2.8333e-05i,0.00066375+0.00056821i,0.001+0.00035671i,0.0010058-5.9332e-05i,-2.0198e-05+0.00062035i,-0.00083814+0.00016034i,-0.00047949-0.00071171i,-0.00061342-0.00027485i,-0.00021467-0.00011487i,0.0008526+2.7026e-05i,0.0010618+9.6291e-05i,0.00031404-0.00016031i,-0.00031482-0.00043041i,-0.00013137-0.00032865i,0.00027674+5.3944e-05i,-0.00019351+0.00021161i,-0.000237+0.00017843i,-0.00051174-0.00011105i,-0.00096029-0.00060231i
0.00113+7.391e-05i,0.00037812+0.00078788i,-0.001094+0.00079434i,-0.00043861+0.0011256i,4.6835e-05+0.00079788i,0.00074557+0.00038812i,0.00080499+0.00046578i,-0.00018539+0.00040469i,2.2216e-05+0.00044548i,0.00040013+0.0001989i,8.1964e-06+0.00010232i,-0.00022742+0.00012336i,0.00029025-0.00021016i,0.00052899-0.00045894i,6.41e-05+0.00037366i,-0.000748+0.001007i,-0.0010251+0.00083403i,-0.00016769+0.00037727i,0.00036643+1.6088e-05i,0.00065377+0.00024787i,0.0007404+9.3031e-05i,0.00071924-0.00037514i,0.00083252+0.00027842i
-0.00042367-0.00081442i,-0.0007815-0.001041i,-0.0023027-0.0002142i,-0.0020758+0.00095156i,-0.0005595+0.0016365i,0.00096306+0.00065674i,0.0014941-9.493e-05i,0.00044513-2.2811e-05i,-0.00027963-4.5078e-05i,-0.00061209+0.00023755i,-0.00066353+0.0002411i,-0.00020347-0.00058957i,3.3242e-05-0.00067013i,0.00027673-0.00034427i,-4.8652e-06-0.0002264i,-0.00031604-0.00030056i,-9.3277e-05-0.00032625i,2.0816e-05-9.5315e-05i,-0.00013658+0.00010378i,-0.00050069-0.00018628i,-0.00030957-0.00036426i,-0.00027708-9.2425e-05i,-0.00098041+0.00015806i
-0.0002503-0.0015408i,0.00017025-0.0013861i,0.0010564-0.00073855i,0.0012449-0.00019842i,0.0015446+0.00045955i,0.0024922+0.00043901i,0.0018068-0.00035168i,0.00055805-0.00090217i,-0.00028903-0.00051759i,-9.0747e-05+0.00031071i,-1.0338e-05+0.0005798i,-0.00038047-0.00031459i,-0.0005043-0.00057162i,-0.00016931-0.00030896i,0.00038901+3.2547e-05i,0.00090448+0.0010783i,0.00094146+0.0013638i,0.00048739+0.00096278i,0.00038461+7.3845e-05i,0.00023448-0.00021878i,-0.00025342+0.00059135i,0.00057318+0.00091749i,0.001029+0.00071991i
-0.00074371-0.00034479i,-0.0015803-0.0011116i,-0.0025696-0.00070643i,-0.0016439+4.7839e-05i,-0.00069557+0.00037889i,4.2798e-05+0.00041289i,0.0012622-0.00030713i,0.0011332-0.0011073i,0.00048644-0.0011327i,-0.00027977-0.00086445i,-0.00086115-0.0010327i,-0.00057265-0.00092952i,-0.00010106+3.1708e-06i,-0.00034199-4.7176e-05i,-0.00017321-0.00038383i,-0.00013339+0.00046719i,0.00023122+0.0013079i,0.00028849+0.0010626i,-6.4587e-06+0.00035512i,-0.00048083+0.00015343i,-0.00048629-8.3635e-05i,-0.00045205+0.00014769i,-3.8079e-05+0.00073731i
-0.00022415-0.0024589i,-0.00042118-0.0017127i,-0.0011183-0.00021725i,-0.0010933+0.00066699i,0.00060461+0.00086629i,0.0024438+0.00032106i,0.0026696+0.00089651i,0.0015467+0.00075144i,0.00083004-0.00026344i,0.00043246-0.00013387i,4.4648e-05-8.7817e-05i,-0.00055437-0.0011685i,-0.00090826-0.0010657i,-0.00035307-0.00063074i,-0.00010347-0.00091444i,0.00018284-0.00092185i,0.00029435-0.00087673i,0.00017047-0.00042094i,-4.5569e-05-0.0005228i,-0.00038121-0.00075689i,-0.00065387-0.00017556i,-0.00081619+0.00024747i,-0.00030726+0.0003121i
0.00022936+0.00063921i,0.00082441+0.00096054i,0.00026552+0.001063i,0.00033626+0.0002564i,0.0010655+0.00021661i,0.0018403+0.00037737i,0.0022403-0.00036812i,0.001546-0.00080522i,0.0010691-0.00053425i,0.00033937-0.00048741i,-0.00011728-0.00053403i,-0.00019263-0.00073121i,-0.00024062-0.0009477i,-0.00022885-0.0013636i,-0.00044351-0.0011285i,-0.00060572+0.00031975i,-0.0010533+0.00097116i,-0.00032688+0.00048666i,0.00051719-1.7108e-05i,-0.00023863-7.7138e-05i,-0.00098674+0.0004542i,-0.00062399+0.00029816i,-0.00034386-0.00032186i
-0.0032202+0.00034834i,-0.0028759+0.0010256i,-0.00193+0.00070096i,-0.000279+0.00057713i,0.00090406+0.00067437i,0.0020279+0.00023803i,0.0027039-0.00050569i,0.001196-0.001249i,6.9447e-05-0.00089502i,0.00025678-0.00011554i,-4.0408e-05-0.00040238i,0.00072617-0.00056986i,0.0011898+0.00062324i,-5.326e-05+0.00043042i,-0.00017542-3.796e-05i,0.00075479+0.00038459i,0.00032679-0.00024668i,0.00040016-0.00071227i,0.00035178-0.00050774i,-0.00050658-0.00028025i,-0.00017316+5.6847e-05i,0.00041271+0.00039267i,0.00080354+0.00036207i
0.00067923-0.0017573i,6.6905e-05-0.00089899i,-0.00054507-0.00029453i,-0.00050681-3.2626e-05i,-6.5919e-05+0.00025052i,0.00094859+0.00058831i,0.0023373+0.00034093i,0.0021845+5.564e-05i,0.0010444-0.00022949i,0.00061475-0.00044438i,0.00037578-0.00060256i,-0.00040916-1.7939e-05i,-0.00040078+0.00089519i,0.00081466+0.00096316i,0.00077294+0.00062112i,0.00024288+0.00030495i,0.0003382-0.00032985i,0.00023082-0.00055413i,-0.00013193+9.3273e-05i,-0.00088946+0.0010906i,-0.0010129+0.0012311i,-0.00051857+0.00057738i,-0.00052152-0.00026303i
-0.0013094-0.00076858i,-0.00072623-0.0004681i,-0.0010351+0.00011588i,-0.0012553+0.00092299i,-0.00040748+0.0018558i,0.0013634+0.0018401i,0.002453+0.00086326i,0.0020831+0.00032961i,0.00076437+0.00016961i,-0.00017565-4.9396e-05i,-0.00077803+0.00015937i,-0.00078211+0.00011404i,0.00015258-3.41e-05i,0.0015212+0.00012398i,0.0019096+0.00053866i,0.0014317+0.0010215i,0.0012435+0.00052045i,0.001002-0.00027779i,0.00023011-0.00054916i,0.00029186-0.0003891i,0.00022172-0.00057495i,7.2566e-05-0.00057731i,0.00023465+9.4042e-08i
