0.00090759-0.0016508i,0.00019031-0.0020364i,-0.0010981-0.0019488i,-0.0014962-0.0018576i,-0.0014146-0.0015855i,-0.0007735-0.0013075i,-0.00087262-0.00087972i,-0.0012291-0.00020569i,-0.0010577+0.00025453i,6.5315e-06+0.00047183i,0.0010057+0.00075524i,0.00057992+0.00049723i,-6.9479e-05+0.00013092i,-0.00033106+0.00018907i,-0.0001704+8.7947e-05i,-0.00058473+0.0001066i,-0.00061673+0.00051566i,-0.00045273+0.00060385i,-0.00015422+0.00032071i,0.00051813-3.6274e-05i,0.0013336-0.0004251i,0.00093319+0.00017055i,-0.00012288+0.0013677i
-0.00024766+0.00059196i,0.00016397+0.00012i,0.00064519-0.00034155i,0.0010086-0.00087606i,0.0007005-0.0021003i,0.00044919-0.0023822i,0.00052056-0.001209i,0.00073622-0.00033416i,0.00091897-6.058e-05i,9.59e-05+0.00059732i,-0.00034255+0.00059507i,-0.00015836+0.00044105i,3.8015e-05+0.00068419i,0.0003824+0.00033635i,0.00041613-0.00023003i,0.00014662+0.00015967i,0.00039995+0.00084922i,0.00079386+0.00026106i,0.00083583-0.00053906i,0.00024648-0.00069382i,0.0001964-1.8729e-05i,-0.00012468+0.00089653i,-3.0957e-05+0.0003556i
0.00055425+0.00025642i,0.0022624+2.9755e-06i,0.0026155-4.3938e-05i,0.0012547-0.001382i,0.00034913-0.0024348i,0.00057623-0.0019802i,0.00077232-0.00108i,0.00042437-0.00028501i,0.00049234+0.00059777i,0.00027032+0.000885i,7.692e-05+0.00014079i,0.00041191-0.00045235i,0.00052488-0.00029469i,0.00059842+0.00079051i,0.00045017+0.0014828i,0.00021093+0.00094582i,0.00032759+0.00093316i,0.00012254+0.00097281i,0.0003883+0.00066925i,0.00096976+0.00029057i,0.00088282-0.00016786i,7.637e-05-0.00060754i,0.00047763-0.00074485i
-0.00021013+0.0013327i,-0.0023725+0.00048745i,-0.0028138-0.00017043i,-0.0018623-0.00083802i,-0.0016422-0.0014197i,-0.0011065-0.0010713i,0.00029649-0.00030758i,0.00052244-0.0005442i,0.00014392-0.00022342i,0.00011623+0.00034622i,-0.00016557+0.00059136i,-0.00011182+0.0001125i,0.00048055-0.00056132i,0.00025953-0.00064554i,-8.1384e-05-0.00014529i,0.0001304+0.00011573i,-0.00043807+0.00030591i,-0.0010579+0.0010065i,-0.00021138+0.001455i,-8.3813e-05+0.0014004i,-0.00058608+0.0007175i,3.8573e-05+0.00011059i,0.00044791+0.00015623i
0.00075107-3.2872e-05i,0.001554-0.0012882i,0.0011261-0.0024368i,0.0010819-0.0025416i,0.0010979-0.0019462i,0.0002521-0.0017404i,-0.00049216-0.0012493i,-5.0422e-06-0.0003138i,0.00038088+0.00053817i,0.0010754+0.0003524i,0.0011754-0.00049356i,0.00024592-0.00049616i,0.00020541-0.00066834i,0.00018568-0.00069808i,-0.00025447-0.00046127i,0.00019405-0.0004388i,0.00053795+7.3718e-05i,-0.00024057+0.00063277i,-0.00098052+0.00021959i,-0.00077294-0.00026648i,-0.00021008+1.651e-05i,-0.00022449-9.3291e-05i,0.00028458-0.00037805i
-0.00071492+0.00095327i,0.00070211+0.00050031i,0.0011788+0.00017471i,0.00033071-0.00071171i,7.8159e-05-0.0013068i,0.00013955-0.0010633i,-6.7084e-05-0.00036359i,-5.8303e-05+0.00025606i,0.0001064+0.00069986i,0.00026829+0.0003078i,-6.5331e-05-0.00012435i,-0.00024233-0.00046507i,-0.00051679-0.00099366i,0.00011355-0.00012512i,0.00089291+0.00023384i,0.00027051-0.00026601i,0.00030098+7.5823e-06i,0.00082226+0.00010096i,0.00015882-4.0483e-05i,-0.00058283-0.00037275i,-0.00063129-0.0001628i,-0.00086344+0.00017025i,-0.00038246-0.00030317i
-0.00036721-0.000965i,-0.0011477-0.00032352i,-0.001502+0.0005339i,-0.0019704+0.00083164i,-0.0010807+0.00021373i,-0.00017211-0.00048568i,0.00021381-0.00020228i,2.7941e-05+0.0010967i,-0.00046183+0.0017341i,-0.00020855+0.00070419i,0.00050352-7.1303e-05i,0.00062892+0.000167i,0.00026178-0.00011376i,-0.000432-0.00024421i,-0.00058042-0.00023176i,0.00034867-0.00018969i,0.00022126+0.00020422i,-0.00031731+0.0003162i,-0.00031572+5.9661e-05i,-0.00063504-0.0004342i,-0.00050721-0.0002808i,-0.00022353-5.888e-05i,0.00021842+0.00014935i
0.00010393-0.0013593i,2.1692e-05-0.0027702i,-0.00029888-0.0036723i,-0.00010799-0.0032066i,-0.00022556-0.002442i,-0.00017021-0.0019714i,0.00034474-0.0011072i,1.0084e-05-0.00037989i,0.00043055+4.5705e-05i,0.0010372+0.0002261i,0.0003816+0.00018757i,-0.00037821+0.00047731i,0.00053278+0.00042641i,0.0016507-0.00053551i,0.00071842-0.00044977i,0.00050523+6.0814e-05i,0.0010212+0.00028209i,0.00051498+0.00038493i,-1.6406e-05-6.7043e-05i,8.435e-05-0.00027883i,0.00041115-0.00016838i,0.00027802+0.00024781i,-0.0003875+0.00037853i
0.00067745+0.00088335i,0.0014592-2.9387e-05i,0.001815-0.00019169i,0.0021002-0.00040144i,0.0019403-0.00050395i,0.00044855-0.0011254i,-0.00082321-0.00095617i,-0.00071383+0.00048092i,-0.00059699+0.0010215i,-0.00028476+0.00033603i,0.00069469-0.00023551i,0.00075968+0.00017743i,-3.6724e-06+0.00025906i,-9.9089e-05+0.00052594i,0.00012705+0.00078468i,0.00051535+0.00015493i,0.00052065+3.9316e-05i,0.00026536+8.2254e-05i,-4.9431e-05+0.00031014i,0.00017934+0.00067311i,0.00057275+0.00094448i,-0.00043924+0.00046234i,-0.00049636-0.00028071i
0.0042986-0.00054176i,0.0026474-0.0016011i,0.0018097-0.0024293i,0.0008005-0.003506i,-0.0010043-0.0041527i,-0.0021891-0.002618i,-0.0016908-0.00067553i,-1.5323e-05-0.0005805i,0.00087575-0.00076539i,0.00086879-0.00089583i,0.00087717-0.00052627i,0.00046319+0.00010637i,0.00054378+0.00043907i,0.0012588+0.00083837i,0.00042576+0.00056701i,-0.00045463-1.5404e-05i,-0.00033654-0.00026151i,-6.2925e-05-0.00061302i,0.00021227-0.0002908i,0.00011268+6.5567e-05i,-0.00040461-0.00032526i,-0.00019653+1.8533e-06i,7.5606e-05+0.00016718i
0.00073375+0.00035737i,0.00052293+0.00040511i,0.0002847-0.00057212i,1.7221e-05-0.0020924i,0.00027053-0.0028778i,-0.00027998-0.0016544i,-0.00081523-0.00066645i,-0.00018315-0.00078388i,0.00013908-0.0002862i,0.0001951-0.00019414i,-0.00039306-0.00023551i,-0.00053938-1.4407e-05i,-0.00030289-0.0002466i,4.8335e-05-0.00040831i,0.00044498+6.8938e-05i,2.7733e-06+0.00025822i,3.3443e-05-0.00025707i,0.00030269-0.00098482i,0.00034418-0.00079158i,0.00038201-0.00060153i,0.00015969-0.00074628i,0.00010611-0.00052668i,0.00020709-0.00037692i
-0.00077609-0.0011537i,-0.00093034-0.001444i,0.00021952-0.00077679i,0.00052181-0.00034445i,0.00023124-0.00032664i,-0.0001878-0.0002256i,-0.00019755+0.00010453i,0.00046207+0.00040747i,0.000949+0.00093681i,0.00097587+0.0015409i,0.00050278+0.00050555i,0.00017694-0.00078152i,0.0002303-0.00095664i,0.00025563-0.00044758i,0.00026864-0.00018662i,0.00045332-5.1631e-05i,0.00021167-0.00043736i,4.5871e-05-0.00090217i,0.00010468+0.00010458i,-0.00012978+0.00075874i,-1.1127e-05+0.00014153i,-0.00013563+0.00035383i,-0.00080867+0.00059855i
0.00010194+0.0019403i,1.3723e-05+0.0021165i,0.00031518+0.0011281i,0.00028943+0.00080418i,-0.00010364+0.00046661i,0.00044329+0.00099299i,0.0010035+0.001581i,0.0011356+0.00093857i,0.00052192+0.00085884i,-0.00019867+0.0019854i,-0.00033804+0.0011675i,0.00013701-0.00025852i,0.00088921-0.00049833i,0.0012202-0.00035521i,0.0013214-0.00024274i,0.00063818-0.00067223i,0.00018434-0.0008781i,2.0992e-05-0.00037632i,-0.00048869+0.00018086i,-0.00046051+0.00010414i,-0.00098198+0.00031335i,-0.0012936+0.00058425i,-0.0011446-0.00017388i
0.00052296+0.0019186i,0.00039333+0.00061982i,0.0016998-0.00088207i,0.0022018-0.0013939i,0.0012026-0.001904i,0.00062747-0.0027262i,0.00094496-0.0019136i,0.0005216-0.00014011i,-0.00012103+0.00025774i,8.6646e-05+0.00029079i,0.00093693+0.00080911i,0.00073853+0.00046836i,9.9025e-05-0.00013733i,-0.000568+0.00017136i,-0.00064954+0.00070186i,0.00015602+0.00073317i,2.3744e-05-1.8173e-05i,-0.00050884-0.00051905i,-0.00073808-0.00039018i,-0.00048671+0.00039535i,-0.00011173+0.00033096i,0.0004691-0.00051413i,0.0004276-0.00041369i
-0.0011425-0.0012438i,-0.00060843-0.00048848i,-0.00030941-0.00028422i,-0.0013184-0.00033814i,-0.0022617-0.00013709i,-0.00085159-0.00048905i,8.8924e-05-8.973e-05i,-0.00031544+0.00045545i,-0.00068606+0.00011007i,-0.00014004-0.00039732i,0.00015433-0.00014784i,-0.00019439-0.0002479i,0.00010215-0.00016895i,0.00055899+0.00023332i,0.0010132-0.00016488i,0.00065324+3.7118e-05i,0.00019503+0.00050703i,0.00036258+2.4464e-05i,0.00090111-0.00054319i,7.9383e-05-0.00019783i,-0.00055246+0.00019881i,5.8156e-05-0.000215i,0.00040772-0.0004518i
-0.00068994-0.0002456i,0.00026196-0.00048608i,0.0012612+0.00031549i,0.0015041+0.00065786i,0.0013473-0.00010792i,0.00040862-0.00096203i,-0.00018646-0.0010758i,0.00017158-0.00041694i,0.00049277+0.00046813i,0.00027567+0.0014506i,-8.8942e-05+0.00085106i,0.00017726-0.00038139i,0.00029162-0.0010589i,-0.00039092-0.00048827i,-0.00047253+0.00055913i,-0.00016403+0.00041119i,0.00015668-0.00082018i,0.00059189-0.0007044i,0.00081794+0.0002238i,0.00060133+0.00055274i,0.00018722-0.0001997i,-3.1553e-05-0.00028881i,-0.00019371+6.6718e-06i
0.00060964-0.00029969i,0.00053746-0.00066529i,-0.00034416-0.00032934i,-0.0012267-0.00011228i,-0.0013748-0.00099128i,-0.0012105-0.0018611i,-0.00084787-0.0019108i,-0.00030294-0.00096821i,-0.00030322+7.8576e-05i,-0.00096461+0.00030227i,-0.0013578-4.9324e-05i,-0.00081304-0.00034622i,4.8124e-05-0.00043421i,-8.9589e-05-0.00015694i,-0.00012008-0.00031758i,-1.3793e-06-0.00031337i,-0.00035163-8.7558e-05i,-0.00075026+6.6572e-05i,-0.00052791+0.00071535i,0.00021151+0.00076189i,0.00096702+0.00023337i,0.0010048+0.00017011i,0.00041061+0.00036164i
-3.8338e-05+0.001667i,0.00084881+0.0013777i,0.0022921+0.00020211i,0.0022968-0.00035742i,0.0011973-0.0017268i,0.0012054-0.0026255i,0.00066895-0.0022722i,2.8395e-05-0.0011053i,0.00044364-0.00034416i,0.00051655+0.00039464i,0.00050855+0.00033999i,0.0003421-0.00055817i,-0.00060226-0.0011588i,-0.00085853-0.0010782i,-0.00051752-0.00033674i,-1.4834e-05+0.00010406i,-0.00033014+0.00026256i,-0.00026144+0.00036712i,0.0006821+0.0002914i,0.001001-9.806e-07i,0.00068464-0.00058755i,-9.1181e-07-0.0010509i,-0.00017034-0.00052965i
-0.00049592+0.0014756i,-0.0004547+0.0013244i,5.6563e-05+0.00049751i,0.00044296-0.00079868i,-8.9697e-05-0.0011452i,-7.6445e-05-0.0015972i,0.00022732-0.0020051i,0.0002996-0.00049502i,0.00037731+0.0015604i,0.00063823+0.0010533i,0.00070487-4.4626e-05i,0.0010626+6.2899e-05i,0.00126+0.0004869i,0.00076034+0.0012076i,0.00023509+0.0012077i,2.4753e-05+0.00063512i,0.00041765+2.4135e-05i,-5.1568e-05+0.00077127i,-0.00054006+0.0013869i,-0.00022482+0.00063844i,-0.00011827+0.00045196i,-0.00067353+0.00064126i,-0.00059328+0.0003515i
