-0.0029855+6.8396e-06i,-0.0031439+0.0015191i,-0.0024217+0.002538i,-0.0018536+0.0024939i,-0.0016014+0.0029378i,-0.00053929+0.0032339i,-0.0011042+0.003065i,-0.00097677+0.0030869i,0.00075108+0.002378i,0.0018818+0.0011013i,0.0023668+8.4745e-05i,0.0016676-0.00026233i,0.0010376-0.00067438i,-2.2112e-05-0.0012706i,-0.001283-0.00083098i,-0.00053152-0.0003521i,-0.00038156+4.6834e-05i,-0.00033383-3.5717e-05i,0.00082336-0.0003809i,0.00060159-1.4721e-05i,0.00011296+0.00024258i,0.00029593-2.6063e-05i,-0.00010796-0.0004041i
0.00017787-0.0013071i,-0.00064756-0.00062875i,-0.0012074-0.000781i,-0.0015633-0.0005116i,-0.0013431+0.00035131i,-0.0007379+0.0014123i,-0.00020676+0.0016162i,-0.00042766+0.00031561i,-0.00045407-0.00047512i,0.00045793-0.00047746i,0.00069366-8.2218e-05i,0.00082926-0.00015418i,0.0014192-0.0006392i,0.0009268-0.000941i,3.2797e-05-0.0011226i,-0.00068135-0.00037764i,-0.00083978+0.00038362i,-0.0011719+0.00011848i,-0.0012484-0.00046878i,-0.00066913-0.00026234i,-0.00032393+0.00040315i,-9.1132e-05+0.0004053i,-7.3435e-05-6.7758e-05i
0.00082309-0.0015319i,-0.0018996-0.001751i,-0.0021776-0.0029311i,-0.0007753-0.0028313i,-0.00049343-0.0014762i,-0.00079391-0.00011516i,-0.00071811+0.0010522i,-0.00052934+0.00078254i,0.00040086+0.00027513i,0.0014505+0.00087919i,0.0014352+0.00042994i,0.00096506-0.00039529i,0.00094399-0.00065075i,0.001016-0.00072637i,0.00064131-0.0010032i,0.00062066-0.00096141i,0.00033398-0.00077806i,5.1967e-05-0.0011071i,-0.00052911-0.00079248i,-0.0007953+0.00010432i,-9.1827e-05+0.00079398i,0.00034871+0.00031005i,0.00048573+8.3318e-05i
-0.00067566+0.00015106i,0.00019141+0.00056847i,-2.0758e-05+0.00094305i,-0.00023631+0.00051745i,0.00076288+8.4613e-05i,0.0010652+0.0007141i,0.00034249+0.00064293i,-0.00034233+0.00031061i,-0.00041264+0.00017417i,0.00049303+8.6104e-05i,0.0013811-0.00015454i,0.0010412-0.00068382i,0.00096799-0.00088094i,0.0010007-0.00086113i,0.00040262-0.00061648i,-8.2355e-05-8.5385e-05i,-0.00023351+0.00032942i,-0.00012554+0.00045519i,4.1999e-05+2.8549e-05i,4.8435e-05+8.0576e-05i,0.00040554-0.00017221i,0.00077989-0.00032415i,0.00079573-6.6113e-05i
0.0011768+0.0013706i,0.0011821+0.00058631i,3.9799e-05-0.00086687i,-0.00038751-0.0012195i,-0.00072803-0.00073279i,-0.001546-9.9849e-05i,-0.0023065+0.00043134i,-0.0018017+0.00031038i,-7.9363e-05+0.00072749i,0.00088916+0.00091076i,0.00019897+0.00035306i,-0.0002292+5.1202e-05i,0.00061084-0.00031269i,0.0008326-0.0003203i,0.00029509+1.4346e-06i,2.8613e-05+0.0001435i,-0.00030528-5.8577e-05i,-0.00071212+0.0001065i,-0.0011077+0.00084266i,-0.00068024+0.00032947i,8.0942e-05-0.00026846i,0.00031585-0.00029744i,0.00040056-0.00045708i
-0.00085979+0.0010952i,0.00050284+0.00098696i,0.0018324+0.001344i,0.0013406+0.0020591i,0.0004166+0.0012695i,-0.00012923-0.00078737i,-0.00021161-0.0012541i,-0.00013792-0.0002728i,-0.00024818-0.00013319i,0.00032209-0.00053575i,0.0013787-0.00067152i,0.0022051-0.00020403i,0.001916+0.00034938i,0.00096762-0.00019409i,0.00037417-0.00058927i,-0.00026892-3.8958e-06i,-0.00027377-0.00046157i,0.00029977-0.000643i,-1.5725e-05-9.0202e-05i,-0.00071796+0.00030963i,-0.00063491+0.00029769i,-0.00013243+0.00039606i,0.00053309+0.00055853i
0.0019937-0.00079195i,0.00065936-0.0028945i,-0.00024972-0.0048743i,-0.0017637-0.0052964i,-0.0027978-0.0036307i,-0.0024924-0.00081345i,-0.0019434+0.00066048i,-0.0012663+0.00064927i,-0.00015021-0.00053078i,0.00053772-0.0015145i,0.00078278-0.00066613i,0.00023962+8.7117e-05i,0.00043152+9.4461e-05i,0.0011294+0.00034078i,0.00053552+0.00033137i,-1.7178e-05-0.000552i,-0.00015064-0.00048046i,0.00019878+0.00031969i,0.00014173+0.00053094i,-0.00040844+0.00045514i,-0.00032972-0.00010705i,0.00051109-0.00010813i,0.0002675-7.9937e-05i
-0.0014015-7.4311e-05i,1.1295e-05+0.0011979i,0.00077791+0.0019988i,0.00085733+0.0020293i,0.0010904+0.0018892i,0.0013027+0.0012253i,0.0010968+0.00042756i,0.00031836+0.00053535i,-0.00051519+0.00046894i,-0.00016089+0.00028272i,0.00065463+0.00064006i,0.00098482+0.0002693i,0.0012057-0.0010588i,0.0010356-0.001879i,0.00023793-0.00095334i,-6.5021e-05-0.00047242i,5.791e-05-0.00084949i,-0.00059611-0.00073448i,-0.0012784-0.0007576i,-0.0010334-0.00076438i,-0.00030204-0.00041978i,6.8118e-05-0.00029264i,-0.00037956-0.00088713i
-0.0014545-6.6666e-05i,-0.0014803-0.00016158i,-0.0012964+0.00044938i,-0.0002778+0.0012745i,0.0011133+0.0011793i,0.00049688+0.00092782i,-0.00073903+0.0002298i,-0.00089863+0.00024444i,-0.00076951+0.0011314i,-0.00025578+0.0013666i,0.00075586+0.00010974i,0.0014096-0.00054727i,0.0012654+0.00025431i,0.00066806+0.00030729i,0.00025898-0.00029076i,-0.00024269-0.00017242i,-0.00034075+0.00037897i,-0.00045152+0.00053308i,3.5074e-05+0.00020351i,0.00020769+0.00033742i,-0.00021133+3.7854e-05i,-0.00015132-0.00023062i,0.00019966+0.0004208i
-0.00086698+0.00038197i,-0.00093706+0.00094961i,0.00029444+0.0024293i,0.0014279+0.0023308i,0.0010916+0.00067187i,-0.00038596-0.0004077i,-0.001197-0.0005265i,-0.0010785+0.0007308i,-0.00023868+0.001178i,0.00057869+0.00071378i,0.00052074+0.00098147i,-2.2675e-05+0.00046052i,9.9265e-05-0.00058489i,0.00038054-0.00020376i,-0.00015402+0.00048463i,-0.00055891+6.9815e-05i,-0.00053308-0.00086523i,-0.0003759-0.00053042i,-0.00029244-4.1375e-05i,-0.00014659-3.9549e-05i,-0.00059112+0.00013564i,-0.00031787+0.00046632i,0.00042324+0.00055174i
0.00072001+0.0010767i,0.00072774+0.00081666i,0.00096153+5.416e-05i,0.0011006+0.00051443i,0.0005788+0.00014911i,-0.00028234-0.00021614i,-0.0015035+7.2274e-05i,-0.0012638+0.00059633i,-0.00021075+0.0010407i,0.00098671+0.00096784i,0.0013608-1.0675e-05i,0.00052102-0.00026472i,0.00034785+1.9022e-05i,-3.4623e-05-0.00044186i,-0.00013756-0.00096055i,0.00034348-0.00048976i,0.00037393+5.5291e-05i,0.00041145-0.00054089i,0.00032536-0.00059346i,0.00020372-0.00039183i,0.00026997-0.00016579i,9.0935e-05+5.8957e-05i,-0.00049682+1.5073e-05i
0.00042594+0.0014352i,0.00013036+0.0011181i,0.00066736+0.0011232i,0.00070676+0.00056403i,0.00015297-0.00062524i,-0.00061115-0.00086799i,-0.0013195-0.00030522i,-0.001579+0.00049725i,-0.00048183+0.00067542i,0.0010903+0.00093268i,0.0012302+0.0011811i,0.00057301+0.00018631i,-0.00019633-0.00102i,-0.00017713-0.00063953i,0.00020793+2.0865e-05i,9.7196e-05-0.00042331i,0.00012662-0.0011786i,0.00024208-0.00055309i,-0.0001892-6.7776e-05i,-0.00046401-0.00081136i,-9.6819e-05-0.00089243i,0.00016351-0.00018811i,0.00014951+9.0018e-06i
-0.0013097+0.0010814i,-0.001457+0.00054785i,-0.0016104-7.881e-05i,-0.00061736-0.00048923i,0.00017503-0.00066854i,-0.00080027-0.00056645i,-0.0015609-6.6984e-05i,-0.0013139+0.00011216i,-0.00081019+0.00024237i,0.00026675-0.00011658i,0.0010245-0.00032498i,0.00124-0.0008183i,0.0011172-0.0011291i,0.0002741-0.00024438i,-8.5391e-05-0.00071074i,2.564e-05-0.0014444i,-6.0489e-05-0.0016979i,-0.00014289-0.0013615i,-0.00035031+0.00010972i,1.5243e-05+0.0007963i,0.00064349+0.00039759i,0.00045433-0.00021834i,0.00040757-0.00043942i
0.0014798+0.00070672i,0.0015411+0.00040399i,0.00078478-0.00018226i,-0.00088446-0.0010516i,-0.0016936-0.0016418i,-0.0011641-0.0014699i,-0.00049157-0.00059041i,-0.00037464-0.00026689i,-9.5619e-05-0.0003983i,0.00011239-0.0001916i,0.0010201+0.00062648i,0.0017989+0.00069781i,0.0018764-0.00039206i,0.0015005-0.0008995i,0.00041876-0.00023393i,-0.00063919+7.0933e-05i,-0.0008721-0.00012397i,-0.00093138-0.00063514i,-0.0015641-0.00053379i,-0.0014076-7.0689e-05i,-0.00060219-1.8726e-05i,7.7588e-05-0.00013444i,4.2618e-05-0.00050739i
-0.00027434-0.00056318i,-0.0017703-0.00015107i,-0.002592+0.00051958i,-0.001957-1.7689e-05i,-0.00088386-0.00010882i,-0.0009027+0.00030993i,-0.0012097+0.0012071i,-0.00074141+0.0017373i,-8.2274e-05+0.0011942i,0.00077924+0.0010913i,0.00059546+0.00076832i,0.0012078+0.00021195i,0.001473+6.1571e-05i,0.00085921-0.00014616i,0.00047743-0.00015097i,-0.00033658-0.00064385i,-0.0003217-0.0012943i,-0.00049501-0.0011498i,-0.00054407-0.00087893i,-0.00063069-0.0004111i,-0.0014678+0.00019444i,-0.0010576-0.00013948i,0.00060947-1.8773e-05i
-0.0015918-0.00064099i,-0.0018894-0.00018957i,-0.0013459-4.0714e-05i,-0.00052914+0.0002647i,-0.00036309+0.00097081i,8.6285e-05+0.00088049i,0.00040524+0.00050679i,-5.6467e-05+0.00032773i,0.00052739+0.0005233i,0.001422+0.00069044i,0.0011521+0.00039722i,0.00092972-0.00050186i,0.0012002-0.000927i,0.00064267-0.0012946i,0.00030522-0.0012803i,0.00061727-0.00076165i,0.00072969-0.00041342i,0.0009698-7.536e-05i,-0.00012725-2.6422e-05i,-0.0010555+0.00028754i,-0.00057623+0.00033819i,8.415e-05-0.00022274i,0.00047606-0.00061159i
0.0010283-0.0012424i,0.00045952-0.0012599i,0.00050377-0.0011877i,0.0004818-0.0012683i,-0.00029607-0.00093255i,-0.00064579+0.00065282i,-0.0010551+0.0021058i,-0.00053752+0.0024716i,0.00097279+0.0014366i,0.0019994-5.775e-05i,0.0018855-3.3168e-05i,0.0016227+0.00047801i,0.0016484+7.8995e-05i,0.0005352-0.00023464i,-0.00075759-0.00055098i,-0.0012519-0.00073399i,-0.00045378-0.0010574i,0.0003768-0.00037898i,-0.00020767+0.00057609i,-0.00063977+0.00042824i,1.787e-05+0.00021742i,0.00015755-8.3422e-05i,-0.00011468-0.00025116i
0.0022434+0.0012001i,0.0020411+0.0010064i,0.0018266+0.00053452i,0.0009822-0.00056322i,0.00035646-0.0012386i,-0.00069001-0.0011622i,-0.00058852-0.00050102i,0.00051335+0.00053752i,0.00083678+0.0010764i,0.00099763+0.00030425i,0.0013329-0.00045043i,0.0015107-0.00056265i,0.00074667-0.00064409i,-0.00031027-0.00077816i,-0.00021994-0.00077369i,0.00035787-0.0004493i,-0.00013476+2.9219e-05i,-0.00093654+0.00049085i,-0.00092546+0.00052995i,-0.00039451+0.00023397i,-0.00047911+0.0010215i,-0.00015512+0.0010049i,0.00079512+3.9569e-05i
0.0016351-0.00048981i,0.0014372-0.0022008i,0.0010511-0.0033819i,-0.00076173-0.0035317i,-0.0018944-0.0022209i,-0.0020229-0.00021601i,-0.0013494+0.0013418i,-0.00020358+0.0011739i,0.00086813-0.00016463i,0.0010532-0.0008644i,0.00082795-0.00012378i,0.0011721+0.00030395i,0.0011391+0.00038018i,0.00040341-6.1341e-05i,-0.00024259-0.00037464i,-0.0005264-1.4562e-06i,-7.358e-05+0.00047491i,0.00026409+0.00032883i,0.00026449-0.00043817i,-0.00038726-0.00086801i,-0.00084499-0.0005938i,-6.3508e-05-0.00014701i,-0.00056563+9.7714e-05i
-0.0011756-0.00052822i,7.8751e-05+3.7867e-05i,0.00075377+0.00061449i,0.00054585+0.00033881i,-0.000301-0.00042188i,-0.00044313-5.0914e-05i,-0.00042798+0.00056829i,-0.00089072+0.00021761i,-0.00040609-0.00028273i,0.0012055-0.00022734i,0.0020306+0.00032821i,0.0013513+0.00016828i,0.00054374-0.00049829i,0.0003294-0.00044722i,-0.00013906-0.00091448i,-0.00071258-0.0015913i,-0.00079064-0.00076059i,-0.00010604-9.7897e-05i,0.0006384+0.00011931i,0.00053794+0.00023479i,0.00036591-6.0602e-05i,0.00020787+0.0002628i,-0.0001497+0.00041845i
0.00068366+0.00054129i,0.0017604-0.0010496i,0.0020281-0.0013832i,0.0012092-0.00076671i,0.00016802-0.0013116i,-0.00080629-0.0020767i,-0.0006099-0.00054868i,-0.00056609+0.00086666i,-0.00058367+0.00086566i,0.00043255+0.00072389i,0.00097986+0.00049107i,0.0018427+4.4804e-05i,0.0017255-6.1636e-05i,0.00038525-0.00032024i,-6.5123e-06-0.00096017i,0.00041264-0.00070226i,0.00027749-0.00032716i,0.00029962-0.00075543i,0.0007773-0.00053123i,-5.4337e-05+0.00014867i,-0.00039543+0.00013923i,-0.00060284-0.00032481i,-0.00054067-0.00044532i
-0.0022143+0.0019896i,-0.0018984+0.0022396i,-0.0007289+0.0019364i,0.00011975+0.0013804i,0.00030748+0.0010061i,0.00033843+0.00020924i,-6.8344e-05+0.00023814i,-0.00016768+0.00060745i,2.9353e-05+0.00078043i,0.00023169+0.0011579i,0.001054+0.00034162i,0.0016023-0.00088628i,0.00098673-0.0014955i,6.0811e-05-0.0015541i,-0.0009167-0.0013133i,-0.0013673-0.00028i,-0.0012291+8.2232e-05i,-0.00085129-0.0005818i,-7.6303e-05-0.00059891i,0.00064667+0.00017421i,0.00088153+0.00041794i,0.00091911+0.00032706i,0.000559+0.00038756i
0.0017442+0.0018312i,0.002436+0.0015623i,0.0027274+0.0012181i,0.0021005-0.00055949i,0.0010413-0.0016025i,-6.2413e-05-0.0013343i,-0.00085968-0.00026624i,4.5705e-05+0.00035672i,0.0012824+0.0003081i,0.0017952+0.00044003i,0.0015778+0.00071418i,0.00088425+0.00036257i,0.00024547-0.00043731i,-0.00012148-0.00067751i,-0.00016812-0.00052318i,-0.00027522+1.0971e-05i,-0.00019824-0.00037871i,0.00024301-0.0012901i,0.00024269-0.00069503i,-0.0003572-2.9306e-05i,-0.00083796-0.00016373i,-0.00026046+8.8264e-05i,-0.00020815-0.00011054i
0.00078617-0.00039257i,0.00010746-0.0015848i,-0.00023751-0.0028194i,-0.00053776-0.0034503i,-0.00090485-0.0031181i,-0.00081035-0.0024527i,-0.00066792-0.0012208i,-0.00049945+0.00045995i,7.1859e-05+0.00018172i,0.00091735-0.00038254i,0.0012717+0.00036117i,0.00089524+0.00034719i,0.00057038-0.00084698i,0.00050615-0.0014582i,0.00014868-0.0014579i,-0.00013664-0.00063191i,-0.00013008-1.0672e-05i,-0.00037137-7.3278e-05i,-9.0461e-05+0.00053406i,-2.2283e-05+0.0011619i,-0.00050186+2.1397e-05i,-3.336e-05-0.00071411i,0.00038371-0.00070527i
-0.00079554+0.00022269i,-0.00018956+0.00011781i,0.00015316+0.00079062i,0.0011298+0.0019394i,0.0013955+0.0012707i,0.00093534+0.00059083i,0.00056649+0.00083104i,0.00083349+0.00084967i,0.00076988+0.001258i,0.00059574+0.0013147i,0.00065319+5.6794e-05i,0.0011841-0.0010233i,0.0018612-0.0011129i,0.0014857-0.0011641i,0.00054393-0.00099535i,0.00014571-0.00041546i,9.9121e-05-0.00032i,-0.00022701-8.9999e-05i,-1.9848e-05-0.0003558i,0.00028153-0.00019773i,0.00026103+0.00090907i,0.00027427+0.00043394i,3.5052e-06-0.0004788i
-0.0009279-0.001207i,-9.6891e-05-0.0013846i,0.00024799-0.00084815i,-0.00026818+4.629e-05i,-0.00098422+0.0011158i,-0.00037356+0.00065401i,0.00034811+0.00015615i,0.00011387+0.00060287i,9.8853e-05+0.00027781i,0.00079471-0.00053705i,0.0015015-0.00023602i,0.0015582+0.0002971i,0.0017088-0.00019622i,0.00040619-0.00022882i,-0.0013293-0.00012868i,-0.0012002-0.00044101i,-0.0011364-0.00096369i,-0.00082284-0.0012879i,-0.00081903-0.00087849i,-0.00090282-0.00062497i,-0.00023694-0.00074597i,0.0011141-0.00043386i,0.0016014+0.00017354i
0.00082438-0.0017961i,-0.00024792-0.0018486i,-0.0003736-0.0018239i,-0.0010404-0.0014256i,-0.0022304-0.00058461i,-0.0019012+0.0011195i,-4.4457e-05+0.0015901i,0.0008242+0.001046i,-2.6166e-05+0.00038241i,7.6947e-05-0.0003982i,0.0010361-0.00061054i,0.0015061-0.00080636i,0.0010804-0.0007219i,0.00056285-0.00055738i,0.00053009-0.00046366i,2.4589e-05+0.00023534i,-0.00094623+0.00012829i,-0.00071026+0.00012901i,6.6294e-05+0.00017814i,0.00035835-0.00012226i,0.00075493+6.1816e-05i,0.00041203+0.00032549i,7.7367e-05+0.00065442i
0.0019077-0.00083218i,0.00091052-0.001658i,6.3353e-05-0.0022973i,-4.7055e-05-0.0020402i,-0.00055267-0.00043772i,-0.0014349+0.00095005i,-0.0016761+0.0015175i,-0.00036227+0.0012588i,0.00047483+0.00077533i,0.00086815+0.00051504i,0.00069922+0.00037469i,0.00061406-6.2653e-05i,0.00041277+0.00074304i,-0.00022389+0.00082247i,-0.0002795-7.95e-05i,4.9832e-05-0.00029767i,0.00022807-8.8063e-06i,0.00027468+3.6878e-05i,-0.00036239-0.00033839i,-0.001218-0.00018069i,-0.00037387+0.00014492i,0.00083751+0.00046295i,6.4755e-05+0.00073481i
0.0011094+0.00094368i,0.0010406-9.1653e-05i,0.00071414-0.0012017i,0.00033605-0.002367i,0.0010934-0.0023777i,0.00031092-0.001724i,-0.00052876-0.0004382i,-0.00024411+0.00053641i,0.00051743+0.00042535i,0.00089584-0.00051556i,0.0010552-0.00066753i,0.0017373-0.0002062i,0.0018183+0.00023233i,0.00089703+0.00094361i,9.2145e-06+0.00037482i,-0.0010119-0.00068603i,-0.0013745-0.0010184i,-0.00094205-0.0012339i,-0.00041514-0.00012478i,-0.00059997+0.00015212i,-0.0004056-0.00057308i,-5.8434e-05-0.00042075i,-0.00014309+0.00012936i
0.00023781+9.0385e-05i,0.0004092-0.00097913i,0.001695-0.001297i,0.0018403-0.0017856i,0.00063876-0.0018831i,-0.00071791-0.0011761i,-0.0011276-0.00018762i,-0.00017082+0.00032982i,0.00049108+0.00025706i,0.00073886-0.00038217i,0.0010245-0.00088293i,0.00098669-0.00093727i,0.0013594-0.0010322i,0.0015804-0.0012845i,0.0011043-0.0011231i,0.00017888-0.00067457i,-1.0021e-05-0.00050533i,0.00064092-0.00050466i,0.00067631+0.00048713i,-0.00014251+0.00085648i,0.00047857+0.00039544i,0.00047131+0.00064895i,-4.5495e-05+0.0012991i
-0.0016086-0.00067118i,-0.00087405-0.00017849i,-0.00060158+0.0010704i,-0.00071992+0.0018116i,-0.00036795+0.0015445i,-0.00041293+0.0010209i,-0.00049128+0.00097199i,-0.0005992+0.0011837i,-0.00037436+0.0010935i,0.0009628-2.7096e-05i,0.0016296-0.00048502i,0.0013227-0.00021734i,0.00098001-0.00057431i,0.00013897-0.0012203i,-0.00039172-0.00089638i,-0.00027893-0.00051697i,-0.00016195-0.00091792i,-0.00015195-0.0013464i,-0.00016799-0.00089801i,-0.0001019-0.00038951i,-1.5553e-05-0.00025981i,-0.00020183-0.00043467i,-0.000581-0.00072906i
-0.0017003+0.00061317i,-0.00072035+0.00065841i,-0.0009317+0.00031886i,-0.00026823+0.00023947i,0.00071016+0.00053037i,0.00038359+0.00047283i,-3.6778e-05+0.00044581i,0.00014082+0.00033073i,0.00056475-0.00012517i,0.0014076+0.00048125i,0.0012073+0.00092028i,0.0011771+0.00016049i,0.001928-0.00044471i,0.0018533-0.0010454i,0.00097286-0.0012622i,0.00029775-0.00066657i,0.00068803-0.00083497i,0.0011573-0.0011257i,0.00043032+0.0004048i,-0.00026455+0.0010137i,0.00036367-6.8577e-07i,0.00098172-0.00016507i,0.0010057-0.00016965i
-0.00036056-0.00037105i,0.00020917-0.00036999i,-0.00024807-0.00038874i,3.8559e-06-0.00018665i,0.00013906-0.00051698i,0.00014535-0.00092923i,-0.00023594-3.5145e-05i,-0.00097517+0.0011271i,-0.00025392+0.0018877i,0.00087945+0.0022221i,0.00078659+0.0022658i,0.00059016+0.0016997i,0.00074326+0.0014169i,0.0006126+0.00099445i,-0.00023939+0.00022754i,-0.00037436-0.00081124i,-0.00045193-0.0012089i,-0.00095894-0.0011222i,-0.000937-0.00060686i,-0.00073233+0.00024556i,-0.00067967+0.00032254i,-0.00086157-0.00012838i,-0.00030802-0.00043507i
