-0.0047507-0.00055508i,-0.002901-0.0001321i,-0.0028663+0.0011309i,-0.0016046+0.0013205i,-0.00090654+0.0018024i,0.00036185+0.001409i,0.0018185+0.00079642i,0.0018033+0.00088604i,0.0016364+0.00092796i,0.0017365+0.00028776i,0.0015883-0.00017317i,0.0014525-0.00064519i,0.00019876-0.00092307i,-0.00048335-0.00043511i,-0.0004142+5.3336e-05i,-0.00025026-8.5449e-05i,0.00027385-0.00034089i,0.00041681-0.00036371i,0.00032861-0.0002864i,-0.00030205+0.00017696i,-0.00071245-0.00061808i,-5.3243e-05-0.0010762i,0.00073607-0.00040737i
0.00087807-0.00084574i,0.00094909+0.00024951i,0.0003585+0.001824i,-0.00056056+0.0021402i,-0.0001808+0.0012891i,0.00099464+0.00013566i,0.0022245-0.00091369i,0.0022992-0.00065651i,0.0011049-0.00061019i,0.000228-0.0008325i,-0.00070021-0.00014926i,-0.0011479+0.00042467i,-0.00067705+0.00076355i,-0.00099376+0.00094585i,-0.00088083+0.00043405i,-0.00011605-0.00016266i,0.00018466-7.9801e-05i,0.00060227+0.00048485i,0.00051914+0.00053726i,-0.00072157-0.00037188i,-0.00061304-0.00058321i,6.8926e-05+0.00013049i,0.00033987+0.00044233i
0.00071138+0.001492i,-2.5359e-05+0.0016777i,0.00074893-0.00021172i,0.00089475-0.0020477i,0.00020431-0.0027167i,-0.00029629-0.0031523i,8.1955e-05-0.0035817i,0.00038588-0.003261i,0.00055643-0.0016021i,0.0011751-0.00060094i,0.0011342-0.00056819i,0.00015688-0.00041391i,-0.00036368-0.0001181i,-0.00052304-4.5764e-05i,-0.00034021-0.00035403i,0.00025609-0.00083448i,0.0003355-0.0010482i,-0.00019322-0.00080234i,-0.00031727-0.00065475i,0.00043311+3.0694e-05i,0.0009666+0.00068963i,0.0015083+0.00051585i,0.0014831+0.0011841i
0.0009389+0.0018937i,7.0272e-05+0.0014626i,0.00057336+0.000805i,0.00038379-0.00078764i,-0.0012689-0.0021588i,-0.0027711-0.0025912i,-0.0027479-0.0026514i,-0.002158-0.0020714i,-0.0012674-0.0011474i,-0.0002788-0.00086361i,-0.00037201-0.000739i,-0.00030993-0.0012388i,-0.00011382-0.0015556i,5.0909e-05-0.00062038i,9.125e-05+6.1448e-05i,9.3361e-05-0.00010863i,0.00060902-9.0053e-05i,3.905e-05-0.0001414i,-0.00087565-0.00015679i,-9.103e-05+0.00017888i,0.00047253-3.6012e-05i,-0.00014724+0.00013147i,-0.00082139+0.00022697i
0.00058488-0.0021464i,0.00092861-0.0020007i,0.0003577-0.0019177i,-0.00045496-0.0017124i,-0.0011926-0.00035496i,-0.0017282+0.00028584i,-0.0020741+0.00051861i,-0.0024728+0.0011456i,-0.0012971+0.001278i,0.00020673+0.0011181i,-0.00012566+0.00064329i,-0.0008761-0.00041415i,-0.00011636-0.0010491i,-3.1974e-05-0.00030327i,-0.00033702+0.00010366i,-1.1313e-05-0.00036412i,-0.00033442-0.00045684i,-0.00051802-0.00020999i,-0.00072552-0.00052955i,-0.0012036-0.00095993i,-0.0010746-0.0003785i,-0.00061198+0.00027105i,0.00027292+0.00049933i
0.00063531+0.0017477i,0.0005707+0.0025951i,0.00084863+0.0033156i,0.00041365+0.0029317i,-0.00076356+0.0020638i,-0.0014528+0.002456i,-0.00094948+0.0029723i,3.6568e-05+0.0032119i,0.00036762+0.0022234i,0.00026891+0.00024926i,-0.00010185-0.00095848i,-0.00073452-0.00076364i,-0.00099513-0.00011865i,-0.00048773-0.00011981i,-0.00020535+0.0002584i,-0.00042592+3.4596e-05i,-0.00035786-0.00010381i,-0.00016819+0.00078251i,-0.0004038+0.00068685i,-0.00035097-0.00012985i,-0.0002302-0.00035302i,-0.00015087-0.00040028i,-7.7101e-05-0.00044602i
-0.0014311-0.0013025i,-0.0019832-0.00019514i,-0.0023807+0.00049333i,-0.0013836+0.0010896i,-0.0003792+0.0021065i,0.00011693+0.0019385i,0.0015052+0.00093538i,0.0018225-0.00042529i,0.0017823-0.00033111i,0.00075099+0.00070742i,-0.00019833+0.00049254i,0.00013237+0.0002932i,0.00028452+6.3858e-05i,0.00066968+0.00010778i,0.0013643+0.00067534i,0.00079816+0.00073283i,-0.00013376-0.00015716i,-0.00012989-0.00052133i,0.00022972-0.00023412i,0.00059103-0.0002249i,0.00044807+6.5504e-05i,-9.3953e-05-0.00049158i,-0.00034961-0.00035428i
0.00024489+0.0014919i,0.00049668+0.00095485i,0.0013972+0.00071783i,0.0013445+0.0010171i,0.00062438-4.7261e-05i,0.0014102-0.0018829i,0.0022912-0.0025204i,0.0017198-0.0021043i,0.0010628-0.0020863i,0.00047445-0.002025i,-0.00029497-0.0010599i,-0.0004105-0.00095639i,5.6397e-05-0.0010043i,6.5888e-05-0.00010557i,0.00053351-0.00015975i,0.0010821-0.0006734i,0.00073033-0.00011938i,-0.00012889+0.00020054i,-0.0001892-8.8848e-05i,-3.3499e-06+2.927e-05i,-0.00045116+4.5979e-05i,-0.00054624-3.0968e-05i,9.7557e-05+0.00050358i
-0.0006859+0.0012563i,0.00071566-0.00054655i,0.0011451-0.0008247i,0.00020755-0.00092162i,-0.00034252-0.0015024i,-0.00063507-0.0026253i,-0.0012606-0.0036117i,-0.001671-0.0030178i,-0.0013391-0.0013009i,9.2798e-05-0.00010793i,0.00065759-0.00019735i,-0.00040032-0.00085127i,-0.00062672-0.0010528i,0.00017717-0.00070195i,0.00063124-0.00084936i,0.00034207-0.0010112i,-0.00015558-0.0009473i,-0.00016184-0.00047229i,-0.00034869-0.00030069i,-0.00074183-0.00080794i,-0.00042654-0.0012256i,0.00037502-0.0011163i,0.00031683-0.00053715i
0.0011523-0.0005927i,0.00045497+0.00047147i,-0.00012561+0.00060812i,-0.00057552-0.00022303i,-0.0014647-0.00016142i,-0.0027363-0.00034331i,-0.0034958+0.00014104i,-0.0031049+0.0010876i,-0.00188+0.00039351i,-0.00034816-2.1602e-05i,-0.00052404-0.0006145i,-0.0016213-0.00048149i,-0.001161-0.00015836i,-0.00089188-0.00059904i,-0.0011568-0.0009523i,-0.00041742-0.00091161i,0.00029024-0.0004848i,-1.1591e-06-0.00070312i,-0.00042616-0.00069739i,7.4099e-05-0.00016787i,0.00025326-0.00017035i,0.00014851-0.00025002i,0.00010598-0.0002367i
0.001833-1.4354e-05i,0.0015557-0.00023606i,0.00068216-0.00013683i,-0.00088293-0.00076551i,-0.0018446-0.00091492i,-0.0019347-0.00053102i,-0.0017+0.00056926i,-0.0006801+0.0013919i,0.00033294+0.0010986i,0.00059858+0.00019602i,4.2495e-05-0.0007964i,-0.00020958-0.00036259i,-0.00037254+0.0007865i,-0.0008676+0.00062304i,-0.00080021-0.00025852i,-0.00045221-0.00063113i,-0.00028713-0.00023953i,-0.00025537+0.00018596i,-0.00019039-3.7455e-05i,1.3255e-05+0.00049449i,7.0493e-05+0.0010299i,3.999e-05+0.00029456i,-0.00033122-0.00036095i
-6.6357e-05+0.0018665i,-5.4558e-05+0.00030557i,0.00036845-0.00072085i,4.0352e-05-0.0016184i,-0.00021242-0.0015904i,-0.00051779-0.00013207i,-8.5583e-05+0.0014999i,0.0010646+0.002095i,0.0016565+0.0015781i,0.0010535+0.0002476i,-6.3953e-05-0.00059238i,-0.00035552-0.00012684i,-7.68e-05+0.0009463i,0.00064587+0.00067657i,0.0007769+0.00023875i,0.00018256+0.00028256i,0.00070363+2.1246e-05i,0.0008855+0.00025678i,0.00024802+0.00048384i,-0.00011028+0.00043654i,-0.00010585+8.465e-05i,0.00017467+0.00012322i,0.00024444+0.00012909i
-0.0001636-0.00016089i,-0.00081175-0.00040571i,-0.0018442-3.0728e-05i,-0.0022916+0.0010838i,-0.0011069+0.00135i,0.0015588+0.00090042i,0.0027894-5.7087e-05i,0.0026635-0.00058033i,0.0017437-0.00057515i,-9.5971e-05-0.00091232i,-0.00099903-0.001105i,-0.0003564-0.000843i,8.3181e-05-0.00093955i,0.00011845-0.00074428i,0.00046231-0.00024248i,6.746e-05-8.2695e-05i,-0.00062111-0.00068506i,-0.00028216-0.0013631i,0.00090324-0.00062001i,0.0012524+0.00021895i,0.00098806+0.00038777i,0.00093159+8.4736e-05i,0.00015813-0.00015244i
-0.00050279+0.00017425i,0.00018804+0.00066597i,-0.00066048-0.00016731i,-0.0017906-0.00034824i,-0.00046845+0.00026484i,0.0010576-0.00080002i,0.00087591-0.0025857i,0.00015317-0.0030655i,0.00019646-0.0023708i,-0.00011724-0.0019506i,4.5893e-05-0.0019201i,0.00037147-0.0011276i,0.00024074-0.00088005i,0.00067741-0.000444i,0.00047114+0.0005678i,0.00047753-4.503e-05i,0.00047809-0.00080996i,6.5743e-05-0.00072755i,-0.00064585-0.00012129i,0.00033602+0.000324i,0.001236-3.7545e-06i,0.00036362-0.00046425i,-0.00029327-0.00051717i
-0.00084427+0.0018489i,7.4757e-05+0.0022039i,0.0012038+0.0012976i,0.00060159+0.00013691i,-0.0005969-0.00059106i,-0.00054351-0.0019311i,-0.0015421-0.0031369i,-0.0027968-0.0020949i,-0.0023508-7.1524e-05i,-0.0010257+4.8872e-05i,3.0752e-05-0.00082551i,0.00043411-0.0010328i,9.0101e-05-0.0004938i,0.00020997+0.00019471i,0.000175+8.3646e-05i,0.00027377+0.0003095i,0.00053313+0.00052753i,0.00059015-4.454e-05i,0.00028351-0.00059125i,-0.00018727-0.0010442i,0.00027198-0.00081245i,0.00076089-0.00036929i,0.00089596-0.00061962i
-0.0014123-0.00037023i,-0.0014491-0.0010431i,-0.00042267-0.0012305i,-0.00018417-0.00086815i,-0.0022246-0.00098116i,-0.0035817+8.2165e-05i,-0.0035267+0.00083583i,-0.0028133+0.00143i,-0.0011487+0.0016628i,-6.6019e-05+0.00049712i,0.00014554-2.6396e-05i,-0.00041083+0.0005484i,-0.00065871+0.0007427i,2.7009e-05+0.00086739i,0.00084291+0.00066916i,0.00096573+0.0004354i,0.00047726+6.0316e-05i,-0.00052302-0.00026752i,-0.00069195-0.00061257i,-0.00026984-0.00065392i,-0.00018665-0.0010174i,-0.00059873-0.00099072i,0.00026032-0.00069245i
0.0020722-0.00078664i,0.0016162-0.00081521i,0.00023955-0.00067928i,-0.0014244-0.00043087i,-0.0014756-0.00013039i,-0.00096942+0.0012739i,-0.00074086+0.0023286i,5.4123e-06+0.0024726i,0.0011632+0.0024386i,0.0011788+0.00081629i,0.00055048+0.00024238i,0.000224+0.00038945i,-5.9045e-05-0.00045644i,0.00050481-0.0010207i,0.00060783-0.00077688i,4.0741e-06-0.00050308i,-0.00054706-0.00055649i,-0.00070653-0.0003803i,7.9457e-05-2.0006e-05i,0.00022441+0.00037971i,-0.00017527+0.0006063i,0.00038008+0.00028499i,0.00060095+3.6641e-05i
0.0014902+0.0001617i,5.373e-05+0.00016791i,-0.0012667+0.00045018i,-0.0010838+0.001411i,-0.00070268+0.0015661i,8.4492e-05+0.0017071i,0.0016168+0.0012334i,0.0021051+0.00017577i,0.0012051+0.00016067i,0.00039986+0.00043803i,0.00035135+0.0005578i,0.00051226-0.0001592i,0.00050083-0.00092707i,0.00024064-0.00043351i,-1.7678e-05+0.00048382i,0.00015448+0.0003906i,-0.0001485-0.00030523i,-0.00044393-0.00038707i,-0.001016+0.0003469i,-0.00144+0.00097113i,-0.00067746+0.00083759i,-3.8137e-05+0.00034368i,-0.00033805-0.00021891i
-0.00074838-0.00071497i,-0.00047519-0.00052302i,-0.0015704+0.00059549i,-0.0014897+0.0006953i,9.1487e-05-0.00019483i,0.00065993-0.00088501i,0.00071976-0.0019769i,0.00039574-0.0029491i,-2.283e-05-0.002753i,0.0002361-0.0011377i,0.00064862-0.00017198i,0.0002441-0.0010217i,-0.0001601-0.0016752i,-0.00051957-0.00065471i,-0.00068389+0.00061951i,-0.00033583+0.00070532i,1.1834e-05+0.00052154i,0.00033453+0.00088291i,-0.00015335+0.00047309i,-0.00041611-0.00055147i,0.0004542-0.00066472i,0.00028616+0.00033396i,0.00021841+0.00091233i
0.00040546+0.0014228i,4.2461e-05+0.00081839i,0.00061371+0.0012683i,0.0014433+0.00093225i,0.00094473-0.00061144i,-0.00080641-0.0020084i,-0.0016061-0.0022292i,-0.0025083-0.0017491i,-0.0026115-0.0004874i,-0.00058116-1.7278e-05i,0.00038772-3.4953e-05i,-0.00059412+4.6901e-05i,-0.0014368+0.00048699i,-0.00087883+0.0010774i,-0.00016742+0.00062064i,-0.0005668-3.4076e-05i,-0.00028971-0.00051961i,0.00016847-0.00018382i,-0.00049526+0.00048351i,-0.00074739+0.00039321i,-0.00046445+0.00063462i,0.00019168+0.00067843i,0.00046622-0.00026831i
0.00050036+0.00031004i,-8.5521e-05-0.00061122i,-0.00091768-0.0011436i,-0.00076254-0.0018105i,-0.00053656-0.0022015i,-0.0015606-0.0016951i,-0.0026543-0.00054994i,-0.0026485+2.8141e-05i,-0.0019051+0.00037026i,-0.0016515+0.00013942i,-0.00074193-0.00038475i,0.00088424+0.00032736i,0.00072896+0.00061707i,0.00067291-6.4966e-05i,0.0012875-0.00038573i,0.00078315-0.00034873i,0.00038797-0.00043973i,0.00013753-0.00040948i,-8.1435e-05-3.7328e-05i,0.00036648+0.00059915i,0.0010016+0.00068685i,0.00076033+0.00086322i,0.00037418+0.0013247i
-0.00092837-0.00091958i,-0.00050811-0.0013195i,-0.00011098-0.00096358i,-0.00052914-0.00026147i,-0.0016186-8.4933e-05i,-0.0025142+0.00042697i,-0.0026838+0.0012345i,-0.001983+0.0020523i,-0.00063638+0.0021072i,0.00076886+0.00087956i,0.0011848+0.00042369i,0.0011137+0.00081813i,0.0018854+0.0012216i,0.0017536+0.0010265i,0.00082747+0.00056384i,0.00019407+0.00036554i,2.9504e-06+5.124e-05i,0.00011832-0.00063785i,0.00039677-0.00077392i,0.00046635-0.00031437i,0.00040099-0.00018463i,0.00058331+0.00060008i,-8.8235e-05+0.0010677i
0.0018967+0.0017782i,0.0017616+0.0017737i,0.0012979+0.0013905i,8.5731e-05+0.00093681i,-0.00058388+0.00074549i,-1.6336e-05+0.0017127i,0.0017966+0.0023337i,0.0029364+0.0010632i,0.002253-0.00055777i,0.0014744-0.0018418i,0.0014719-0.0016666i,0.0011888-0.0012834i,0.0006028-0.0017952i,0.00016295-0.0017569i,0.00054253-0.0010723i,-0.00041309-0.00027433i,-0.0016113+0.00018363i,-0.0008552-0.00057791i,-6.7449e-05-0.0010413i,1.8469e-05-0.00057326i,-0.00041532+0.00025309i,-0.0003957+0.00036911i,-0.00060113+9.2866e-05i
-0.002033+0.0024124i,-0.00088248+0.0011684i,7.6521e-05-5.1316e-05i,-0.00041665-0.00018269i,-0.00013338-0.00054386i,0.0017422-0.00028638i,0.0025901+0.00035137i,0.0017049-0.00071666i,0.001245-0.0014576i,0.00090771-0.00050563i,0.00061529-0.0002843i,1.1667e-05-0.00048925i,-0.0011403-0.00062892i,-0.0014943-0.0015127i,-0.0011629-0.0013338i,-0.00066724-0.00020876i,-0.0002531-8.2204e-06i,-0.00031954-0.00033051i,-5.2135e-05-0.00076543i,0.00029062-0.00074579i,0.00070076-5.0371e-06i,0.00057301-4.8747e-05i,0.00024758-0.0010002i
-0.0011343-0.0015766i,-0.0010498-0.0019694i,-0.00033391-0.00117i,0.00012712-0.00026931i,0.00028893+0.00010435i,0.00072527-0.00069642i,0.00086256-0.0029233i,0.00024582-0.0040558i,-0.00078224-0.0034285i,-0.0013043-0.0018292i,-0.0011057-0.00086079i,-0.0012059-0.00044652i,-0.0011589-9.8688e-05i,-0.00033581+0.0008866i,-0.00027574+0.0020942i,-0.00042159+0.00077143i,0.00042383-0.0008359i,0.00044056-0.00043464i,-0.00026956+0.0001382i,-0.00069661-0.00036045i,-0.00083216-0.00054068i,-0.00091713-0.0001579i,-0.00068437-3.6622e-05i
-0.00029805-0.00078856i,-0.00070593-0.00040994i,-0.0015244+1.1343e-05i,-0.0011464+0.00063671i,-0.0003525+0.00098272i,-0.00026077+0.00033197i,-0.0015605-0.00069252i,-0.0031361-0.00039412i,-0.0030333+0.00045479i,-0.001017+0.00045124i,-0.00028985+0.00041609i,-0.0008851+0.00085344i,-0.00058247+0.0010483i,-0.00031913+0.00035709i,-0.00033442-0.00023153i,-8.8595e-05-5.3607e-05i,-0.00021741+0.00027604i,9.5823e-05+0.00046845i,-7.2336e-05+0.00050541i,-0.00030829-0.00015874i,-0.00075134-0.00041803i,-0.00079296+0.00019126i,-0.00027221+0.00051805i
0.00013463-0.001238i,0.00080397-0.00065089i,0.0014099+0.00010444i,0.00065051-0.00022089i,-0.00035692-0.00085744i,-0.0012699-0.00028766i,-0.0033086+0.00023723i,-0.0037187+0.00045495i,-0.0011336+0.00077399i,0.00082319+0.001032i,0.00060538+0.00072836i,0.00040896+0.00018343i,0.00060394-3.168e-05i,0.00082924+0.00035863i,0.00015585+0.00055284i,-0.00062523+0.00015175i,-9.3903e-05-0.00042738i,-0.00072373-0.0003557i,-0.00083819-0.00035112i,-0.00015922-0.00018252i,-0.00013857+0.00044326i,-0.00019509+0.00095831i,4.0359e-06+0.0013936i
0.001225+0.0024924i,0.00021863+0.0010979i,0.00036791-0.00012465i,-0.00024917-0.0008124i,-0.00060171-0.00041365i,-0.0015171+0.00096122i,-0.0010987+0.002143i,0.00066796+0.002678i,0.001723+0.0017275i,0.0012345-0.00018865i,0.00087473-0.0010415i,0.0012749-0.0013182i,0.0011734-0.0015883i,0.00050374-0.001173i,0.00013492-0.00037087i,-0.00022252+0.00042374i,-0.00018282+0.0003808i,-0.00012288-0.00011044i,-0.00062665-0.00085742i,-0.00072401-0.0011937i,0.00011881-0.00092391i,0.00010259-0.00059029i,-0.00044771-5.1561e-06i
-0.0022427+0.00041338i,-0.0011679+0.0014548i,-3.4423e-05+0.0022981i,0.00059782+0.0010024i,0.00096661-0.00012061i,0.0017022-0.00032128i,0.0014886-0.00048962i,0.0011239-0.00094713i,0.0011032-0.0011509i,0.0010277-0.00072419i,0.00099294-0.00040958i,0.00034181-0.00060344i,-0.00065083-0.0010629i,-0.00071878-0.0012648i,-0.00022646-0.00058678i,-0.00055306-0.00022445i,-0.0012699-0.00066775i,-0.00093796-0.0011745i,-0.0002554-0.00049167i,0.00017463+8.5232e-05i,0.00082842-0.00025011i,0.00068135-0.00033132i,-0.00027324-6.2992e-05i
0.0004488+0.001268i,-3.265e-05+0.00064619i,-0.00017214+0.0002395i,-0.00085296+0.00031024i,-0.0012479+0.00030407i,-0.00027929-0.00039221i,0.00035057-0.0012344i,0.00076597-0.0021666i,0.0012777-0.0021523i,0.0012072-0.0014297i,-0.00017269-0.0015281i,-0.0012058-0.0018502i,-0.0004555-0.0011202i,-0.00024465-0.00014156i,0.00016913+0.00016104i,0.00040084-2.8741e-05i,5.2779e-05-0.000177i,0.00086124+0.00017629i,0.001043+0.00070909i,0.00099008+0.00072688i,0.0006283+5.2239e-05i,-0.00023344-0.0006948i,-0.00048898-0.00094013i
0.00031866-0.0004868i,-0.00051199+0.00074155i,-0.00042395+0.0010618i,0.00054433+0.0001197i,0.0011784-0.00050215i,0.0011072-0.00042783i,-0.00042497-0.0013764i,-0.0020187-0.0026644i,-0.001869-0.0012327i,-0.00085482+0.00040386i,-0.00072139+0.00019176i,-0.0011072-0.00043823i,-0.000539+8.9654e-05i,0.00033343+5.3362e-05i,-0.00016594-0.00075947i,-0.0009958-0.0010754i,-0.00033157-0.00066823i,0.0006844-0.00052132i,0.0001478-0.00056496i,-0.00023857-0.00045727i,0.00013761-0.00018203i,0.00018356-0.00040787i,0.0002487-0.00079011i
0.0021698-0.00025991i,0.0010032-0.0014188i,0.00046226-0.0025542i,-5.7705e-05-0.0029654i,-0.00082515-0.0023415i,-0.0012323-0.0016472i,-0.0021364-0.0013605i,-0.0025405-0.001299i,-0.0013258-0.00016844i,-0.00080357+0.00054814i,-0.00068578+0.00044347i,-0.00019437+0.00075245i,2.4036e-05+0.00070443i,5.3851e-05+0.00021542i,0.00053925-0.00050161i,0.00074412-0.00075i,0.00034828-3.8893e-05i,-0.00027885+0.00067629i,-0.0006569+0.00044697i,-0.0014017-0.00015283i,-0.0014694+0.00032246i,-0.0012104+0.00049243i,-0.00064177-0.00010364i
0.0019274-5.1345e-05i,0.0011211+5.1136e-05i,-0.00074533-0.00036728i,-0.0019063-6.352e-05i,-0.0023196+0.0003582i,-0.0017458+0.00053317i,-0.0012009+0.0014786i,-0.00031821+0.0023788i,0.00096085+0.0014338i,0.0014644+0.00044893i,-6.1082e-05-0.00021495i,-0.00075488-0.0012278i,-9.0274e-05-0.00061809i,0.0001516-7.9666e-05i,0.00020399+0.00040885i,-0.00020295+0.00098427i,-0.0009476+0.0010002i,-0.0013079+0.0010216i,-0.001141+0.00035681i,-0.00065879-0.00022649i,-0.00040804-0.00061721i,-5.5354e-05-0.0010705i,-0.0003229-0.00077856i
