-0.00027181-0.0028781i,-0.0010589-0.0028905i,-0.0021333-0.0018843i,-0.00080254-0.00022276i,0.00026838+0.0017676i,0.00015593+0.0037284i,0.0008375+0.0034169i,0.0012281+0.0019046i,0.0010415+0.0004834i,0.0012827-0.0011065i,0.0011558-0.0011063i,0.00017678-0.00044776i,-0.00028042-0.00059338i,0.00025825-0.00040274i,-2.2606e-05+2.9466e-05i,-2.7804e-05+0.00028528i,0.00019247+8.3282e-05i,-9.844e-07-0.00048562i,-0.00058342-0.00034096i,-0.00060228-0.00045573i,0.0002206-0.00087457i,-4.6873e-05-0.00038666i,0.00020599+8.8175e-05i
0.00037844-0.0042021i,6.0929e-05-0.0050523i,-0.0010448-0.0042758i,-0.00032663-0.0019645i,0.0016016+1.7931e-06i,0.0026742+0.00054409i,0.0023066-1.7071e-06i,0.0011111-5.7386e-05i,0.00012212+0.0004899i,0.00052887+0.00072986i,0.00063062+0.00065571i,-0.00036539+0.00040162i,-0.00033265+0.00019012i,-0.00024655+6.1011e-05i,9.7357e-05+0.00012728i,0.00020238+8.3495e-05i,-0.0006162-0.00029914i,-0.00097819-0.00078228i,-0.00070308-0.00027618i,-2.535e-05+0.00065791i,-5.0012e-05+0.00065701i,7.662e-05+0.00056269i,0.00016602+0.00058878i
0.0025473+0.0020656i,0.003611+0.0023997i,0.0030203+0.001684i,0.0025243+0.00081836i,0.002404+0.00055263i,0.001892+0.0011064i,0.0014714+0.0011281i,0.00070805+0.00054395i,0.00020197+0.00022644i,0.00022974-0.00026138i,0.00040548-0.00078951i,0.00018363-0.0005858i,0.00053857-0.00053652i,0.0006328-0.00023987i,0.00040393+0.0009327i,-0.00053502+0.0011943i,-0.00059097+0.00017999i,-0.00027096-7.1514e-06i,-0.00060995+0.00022905i,-0.00079719-0.00071906i,-0.00060347-0.00090526i,-0.00046159-0.00067099i,0.00010522-0.0014026i
-0.0033462+0.0014422i,-0.0028834+0.0030873i,-0.0022564+0.0037451i,-8.873e-05+0.0024034i,0.0016662+0.0011539i,0.0015787+0.00041509i,0.00032107+0.00076389i,-0.00070186+0.00088237i,-0.0001878+0.00053921i,0.0010429+0.00050011i,0.00058689+6.719e-05i,-0.00071876-0.00093479i,-0.0012386-0.0018172i,-0.0012212-0.0014746i,-0.00092304-0.00097781i,-0.0004298+4.1021e-05i,4.9767e-05+0.0010214i,-0.0002555+0.0011688i,-0.00083908+0.0010888i,-0.00049975+0.00038438i,-0.00059481-0.00012071i,-0.00080136+0.00015558i,-0.00077976+5.0797e-05i
0.00038335-0.0020712i,-0.00072096-0.0008695i,-0.0019687-9.3239e-05i,-0.00065999+0.00036845i,0.0011182+0.00064129i,0.0013853+0.00036186i,0.00114-0.00019751i,0.0011931-0.00054359i,0.0011623-0.00033366i,0.00059137-0.0002345i,3.0978e-05-0.00025263i,-0.00091647+0.00042793i,-0.00075912+0.00044255i,-0.00025204-0.0003919i,0.00021205-0.001002i,0.00051628-0.0013003i,-0.00016808-0.00045868i,-0.00057609+0.00029204i,-0.0001149-0.00020741i,0.00015781-0.00077665i,6.7138e-05-0.00025694i,-2.1776e-05-9.6042e-05i,-0.00022909-8.1614e-05i
-0.00089293+0.00010883i,-0.00051675-0.00022037i,-0.00079828-0.0013494i,-0.00015302-0.00089172i,-0.00024478+0.0009129i,-0.00015623+0.00087313i,0.00098637-0.00044308i,0.00090189-0.00081056i,0.00080164-0.00065635i,0.00042528-7.8294e-05i,0.00025997-0.00027554i,-0.00018967-0.00021836i,-0.00088131+0.00014786i,-0.00046569-0.00044656i,-0.00026233-0.00066407i,-0.00031074-0.0004721i,-7.7371e-05-0.00055244i,0.0001754-0.0004402i,-0.0004506-6.632e-05i,-0.001087+0.00019785i,-0.00030574+0.00011935i,0.00032078-4.0371e-06i,0.00059759+0.00025806i
0.0012613-0.0023853i,0.00014291-0.0023765i,-0.0006474-0.0005055i,0.00083228+0.00068438i,0.0018821+0.00066787i,0.001874+0.00047564i,0.0015077+0.0003826i,0.00026022+2.5469e-05i,-0.000519-0.00086127i,0.00047704-0.0010376i,0.00087526-0.00049929i,0.00058467-0.00017671i,0.00013213-0.00020856i,-0.00042622+3.6077e-05i,-0.00016703+0.00017947i,-0.00016046+0.00015885i,-6.7884e-05+0.00020109i,0.00015242-0.00019213i,-0.00039121-0.00033566i,-0.00060354+0.00029407i,-0.0001116+0.0010435i,-0.00019138+0.00093734i,-9.0734e-05+0.00069079i
0.00069831-0.0012444i,0.00074773-0.0016005i,-0.00066519-0.0017427i,-0.0022603-0.0008487i,-0.0016333-2.3783e-06i,-0.00073858+0.0011929i,0.00037086+0.0014136i,0.0012244+0.00076863i,0.00034764+0.00023286i,-0.00026445+0.00023647i,-0.00028502+0.00019384i,8.6285e-05+9.6932e-05i,0.00054811+0.00021165i,0.00072987+4.793e-05i,0.0011362-0.00032009i,0.0010191-0.00034148i,7.128e-05+0.00031206i,0.00022417+0.00066524i,0.0010184+0.00035076i,0.00085828-0.00027255i,0.00064108+0.00021844i,0.00076527+0.00064561i,0.00059592-0.00017181i
0.0026244-0.002616i,0.002417-0.0035799i,0.002232-0.0022281i,0.001828-0.00068875i,0.00077024+0.00010182i,0.00028123+0.0012014i,0.00076072+0.0014294i,0.00059764-7.2177e-05i,0.00066891-8.4314e-06i,0.0010881+0.0013832i,0.00059353+0.0010995i,-0.00028769+0.0004077i,-0.00058009+0.0006054i,-0.00051721+0.0011769i,-0.000664+0.00050017i,-0.00067901-0.00041802i,-0.00089372-0.00026277i,-0.00094236-0.00042054i,-0.00011512-0.00036045i,0.00051392-0.00015303i,0.00026937-0.00022017i,4.6123e-05-0.00057562i,0.00036729-0.00068504i
0.0017295+0.0013112i,0.0016105+0.0015865i,0.0020153+0.002199i,0.0025984+0.0011861i,0.0022509-0.00016652i,0.0018178-0.00027445i,0.0010095+0.00047035i,0.00089136+0.00069467i,0.0010901+1.8515e-05i,0.0012781-0.00087359i,0.0013748-0.0013382i,0.0015529-0.00066989i,0.0011964-0.00027635i,0.00019733-0.00039678i,-0.00043919-0.00058542i,-0.00026675-0.00052032i,9.8932e-05-0.00025976i,9.5484e-05+2.6045e-05i,-3.0174e-05+0.00017531i,-4.8733e-06-1.8641e-05i,0.00010962-4.2895e-05i,0.00018218-1.6417e-05i,0.00068723-0.00011641i
-0.0011583+0.00078434i,-4.409e-05+0.0013383i,0.0006476+0.0014117i,0.00076276+0.0010406i,0.0014886+0.0004293i,0.0018643+0.00066727i,0.00059479+5.3815e-05i,2.7727e-05-0.0011415i,-0.0002566-0.00057356i,-0.00052098+0.00028946i,0.00053054+0.00069503i,0.00065022+0.00072705i,-0.00052199-0.00024676i,-0.00041124-0.00088784i,0.00017565-0.0007011i,0.00063442-0.00036065i,0.00061256+0.00026002i,0.00024959-0.0002456i,-0.00041072-0.00054827i,-0.0004646+0.00010168i,-0.00028304-2.9236e-05i,-0.00044268-0.00012831i,-0.00046665+5.7153e-06i
0.00077551-0.00071169i,0.0013688+4.3295e-05i,0.0010072+0.00052092i,-2.4655e-05-0.00039521i,-3.9524e-05+0.00056851i,0.00019831+0.0027072i,0.00042966+0.0022479i,0.00069221+0.00070854i,-0.00014477+0.00036937i,-0.00065449+0.00049789i,-0.0005897+0.00051654i,-0.00080862+0.00077077i,-0.00078714+0.00037117i,-0.00041343+0.00019427i,0.00026389+0.00033282i,0.00050586-0.00012486i,0.00038352-0.00018365i,0.00070255+0.00011549i,0.00083457+0.0004271i,5.7328e-05+0.00090601i,-0.00065829+0.0017166i,-0.00072336+0.0015933i,-0.00047093+0.00058073i
-0.0013916-0.0019544i,-0.001924-0.0010751i,-0.0016256+0.00015827i,-0.00024378+0.00060978i,0.0008153+0.00095367i,0.0010844+0.0007529i,0.00026943+0.00024876i,-0.00017513-0.00023056i,0.00029703-0.00030986i,0.00034349-8.63e-05i,0.00046011+0.00029527i,0.00061373+0.0012848i,0.00042847+0.0013857i,-3.9061e-05+0.00026075i,-0.00022703+0.00019341i,-0.0003631+0.00087258i,-0.00024064+0.00066252i,-9.2388e-05+0.00014286i,-0.00013731-4.6272e-05i,-0.00096037-0.00010035i,-0.0017634-1.3321e-06i,-0.0012611-0.00028264i,-0.00016023-0.0004382i
-0.0009313-0.0013296i,-0.00092985-0.00086994i,-0.00030219+0.00073786i,0.00012331+0.0017459i,0.00090784+0.0021226i,0.0011608+0.0017559i,0.00058771+0.00097567i,0.00032994+0.00067581i,0.00042522+0.00075177i,0.00082687+0.00031616i,0.00079818+5.954e-05i,-0.00023267-6.1592e-05i,-0.00045381+0.00011977i,0.00024087+0.00043921i,0.00076666+0.00038659i,0.0012694-0.00048976i,0.0013677-0.0010029i,0.00016847-0.00029547i,-0.00054523+3.2335e-05i,-0.0001551-0.00020332i,0.00031763-0.00018911i,0.00029917-0.00023668i,-1.4324e-06+0.00060058i
-0.0020509-0.0017199i,-0.0024159-0.0015144i,-0.0020446-0.00023814i,-0.0011946-7.8876e-05i,0.00012757-0.0001084i,0.00016875+0.00041057i,0.00015001+0.00058234i,0.00096825+0.00094199i,0.00025406+0.00091583i,-0.0006275-0.00018623i,-0.00038149-0.0011958i,-0.000244-0.00081571i,-0.0002045-3.3467e-05i,-5.5969e-05+0.00041747i,-0.00034751+0.00096985i,-0.00052781+0.00080116i,-0.0003031-0.00020128i,-1.3379e-05-0.00026897i,-0.00024237+0.00057354i,-0.00048744-0.00014294i,0.00017525-0.00072451i,0.0008758-0.00015067i,0.00051936-0.00095421i
0.00094011-0.0021584i,0.0014228-0.0031147i,0.0012583-0.0013572i,0.0020813-0.00072354i,0.0031748-0.00090622i,0.0027308-0.00062803i,0.0016729-0.0005424i,0.00082878-0.00043938i,-9.3018e-06+0.00015792i,-8.5124e-05+0.00050335i,0.00012286+0.00042032i,-0.00025032+0.00044687i,-0.00031824+1.9577e-05i,-0.00026045-0.0012599i,-0.00029624-0.0020827i,-6.6827e-05-0.0015129i,-0.00015639-0.0010022i,-0.00076175-0.00064711i,-0.00091866+0.00015461i,-0.00046507+0.00035577i,-0.00014587-0.00040816i,-0.00030465-0.00073557i,5.4282e-05-0.00020074i
0.0015883+0.00068972i,0.0019011+0.0024113i,0.0013249+0.0032538i,0.0010131+0.0023112i,0.0014837+0.0011786i,0.0022217+0.0014474i,0.0020533+0.0013699i,0.0012741+7.5012e-05i,0.00032222-0.00035723i,0.00029508+7.3619e-05i,0.00078211-0.0003272i,0.00092052-0.0010365i,0.00042338-0.00036663i,0.00015925-0.00021325i,0.00038713-0.00042861i,0.0003804-9.3801e-05i,-0.00037126+0.00065082i,-0.00056746+0.00079339i,0.0001992+0.00015214i,-1.3534e-05-0.00044036i,-0.00033466-0.00028793i,-0.00038652+0.00015323i,-0.00027368-5.0149e-05i
-0.00027229-0.00035728i,-0.0017899-0.00035068i,-0.0023251+0.0002342i,-0.00071059+0.00050933i,0.0011585+0.0012328i,0.0013311+0.002289i,0.00042337+0.0022853i,-2.7086e-05+0.00061071i,8.2899e-05-0.00044531i,0.00061436-0.00055401i,0.00066703-0.00017088i,0.00029204+0.00028879i,0.00045183+0.00019028i,0.0005709-0.00016713i,0.00031409-0.00035152i,-9.7825e-05+2.6121e-05i,-8.7258e-05+0.00032549i,0.00030406+0.00064716i,0.00041253+0.00025771i,-1.3351e-05+0.00015675i,-0.00086448+0.00057744i,-0.00092197+0.00025119i,-0.00024628+2.7309e-05i
0.0011131-0.0012049i,0.0021395-0.0016456i,0.0013737-0.0005312i,0.0010616+0.00062577i,0.0024367+0.00065369i,0.0024823+5.542e-05i,0.0015454-0.00069603i,0.00060771-0.00086753i,0.00039444-0.00041983i,0.0010226+0.00017294i,0.0010905+0.00022115i,0.00020577-0.00026463i,-0.00077683-0.00018476i,-0.0006039-0.0001688i,-0.00082487+0.00034458i,-0.0012266+0.00073108i,-0.00057161-0.00030984i,-0.00048921-0.001101i,-0.0016362-0.00079016i,-0.0014668-0.00035995i,-0.00032172-0.00031579i,-8.7015e-05-0.00078838i,-2.331e-05-0.0006996i
0.0016331+0.0012544i,0.0017607+0.0012029i,0.0019724+0.0006664i,0.0017066-6.1929e-05i,0.0015524+7.9576e-05i,0.0016517+0.00096359i,0.0015307+0.001354i,0.0010639+0.00022591i,0.00015355-0.0010111i,-0.00020367-0.00090339i,-0.00022959-6.3554e-05i,-0.0002025-0.00024268i,-0.00051756-0.00029127i,-0.0011094-0.00049075i,-0.00094222-0.0010421i,-0.00029091-0.0010282i,-0.00039307-0.00054291i,-0.00071263-0.00033073i,-0.00012683-0.00052698i,0.00025307-0.00097767i,0.00052422-0.001187i,0.00097686-0.00025712i,0.00058188+0.00074334i
-0.00103-0.0029149i,-0.0015129-0.0019999i,-0.0010384-0.00099632i,-0.00073551+0.00029696i,-1.0031e-05+0.0013531i,0.0014284+0.0011699i,0.0014243+0.0010739i,8.0601e-05+0.00080712i,-0.00074671-0.00027866i,-0.00095326-0.00062687i,-0.00069694-0.00027563i,-0.0003148+0.00028327i,0.00014929+0.00069244i,0.00043382+0.00079044i,0.00032892+0.00073365i,0.00049546+0.00074801i,0.0004937+0.00081541i,0.0005319+0.00056849i,2.1783e-07-3.5945e-05i,4.4464e-05+1.0777e-05i,0.00040667+0.00038539i,0.00056091+0.00023039i,0.0010154+0.00077534i
5.6659e-06-0.0026305i,-0.0007603-0.0028389i,-0.0003447-0.0021161i,0.0011108-0.0010649i,0.0016496+9.2641e-05i,0.0015104+0.00058167i,0.00187-4.6013e-05i,0.0015565-0.0005001i,0.00019698-0.0008182i,2.0962e-05-0.00058433i,-0.0001573+6.5665e-05i,-0.00015993-3.3731e-05i,0.00053568-0.00027916i,0.00064837-0.00093031i,0.00068016-0.00079085i,6.6948e-05+0.00048045i,-0.00041192+0.00072773i,2.0388e-05+0.00076272i,0.0001543+0.00033811i,-2.9343e-06-0.00043203i,0.00030442-0.00030557i,0.00040012+0.00062418i,0.0006899+0.00054719i
0.0010129+7.7417e-05i,0.0011819+0.00023818i,0.0011826+0.00065743i,0.0007066+0.00079107i,0.00047185+0.00086851i,0.00042426+0.0013848i,7.5135e-05+0.0019369i,-0.00037947+0.0016011i,-0.00019727+0.00065612i,0.00029689-4.3556e-05i,0.00033668-0.0002642i,1.0779e-05-0.00018919i,-0.00017435+0.00018065i,6.55e-05+0.00021722i,7.2971e-05-0.00010271i,-7.0305e-05-0.0001043i,-0.00079457-0.00034464i,-0.00055092-0.00069201i,0.00071108-0.00084813i,0.00077111-0.00045538i,0.00027772-0.00012834i,0.00016493-0.00021489i,0.00050708-0.00010554i
0.0015426-0.00014604i,0.0010128+0.00041189i,0.00037169+0.0009356i,0.00040149+0.0012017i,0.0008815+0.00035216i,0.0013697-0.00025761i,0.0015783+5.1738e-05i,0.00083178+0.00053375i,-5.0464e-05+0.00092348i,-3.1602e-05+0.0010617i,-0.00049562+7.5315e-05i,-0.00093035-0.00040578i,-0.00068446+2.2269e-05i,-0.00038557-5.2899e-05i,-0.0004585-0.00024675i,-0.00053296-0.00064291i,-0.00068308-0.00017898i,-0.00044655+0.0001541i,-8.5309e-06+0.00021398i,-0.00019981+0.00011156i,-0.00015906-0.00027891i,-3.3568e-05-0.00048929i,0.00034586-4.4052e-05i
0.0001558-0.00091168i,-0.00084195-0.002922i,-0.00071405-0.0032862i,-0.00015923-0.0014767i,0.00085003+0.00075367i,0.0018766+0.0010215i,0.001616-5.3165e-05i,0.0010627-0.00073325i,0.00080923-0.00024552i,-0.00022333+0.00036296i,-0.0010653+0.0002051i,-0.0010456+0.00076461i,-7.6198e-05+0.00085803i,0.00024606-0.00018038i,-0.00055173-0.00074513i,-0.0001049-0.00060188i,0.00035777+0.00034423i,0.00062594+0.00069086i,0.00090028-0.0002956i,0.00058895-0.00081538i,-0.00011651-0.00035665i,-0.00066831+0.00058186i,0.00017999+3.5971e-05i
-0.00032286-0.0013882i,0.0011632-0.0015719i,0.0013588+0.00016244i,0.0013512+0.00075624i,0.0016399+0.00044517i,0.0022709+8.553e-05i,0.0016139-0.00035399i,0.0012707-0.0003797i,0.0010613-0.00035426i,0.00017993-0.00010831i,-0.00038767+0.00011256i,-0.00010167+3.8336e-06i,0.0006508+2.3019e-06i,0.00081373-0.00024412i,0.00097909-0.00014804i,0.00068034+9.3589e-05i,0.00073999-6.5306e-05i,0.001228-2.3054e-05i,0.00055268-0.000149i,-0.00064391-0.00034654i,-0.00061627-0.00018786i,0.00016616+0.00017721i,-0.00017385+0.00060774i
0.0025087-0.0024315i,0.0019371-0.0014146i,-0.00026091+0.00061636i,-0.00060278+0.00098321i,-0.00040312+0.00069861i,0.00048562+0.00097783i,0.0012603+0.0010474i,0.00039488+0.00031991i,-0.00039432-0.00041098i,-0.00045566-0.00017457i,-0.00081964-0.00068101i,-0.00047236-0.00054192i,-0.00025233+0.00047082i,-0.00057973-0.00019644i,-0.00035206-0.00050541i,-9.1306e-05-1.3057e-05i,0.00013617+0.00052726i,9.2184e-05+0.00055156i,-1.3242e-05-0.0002335i,-0.0002203-0.00037677i,-0.00066202+0.00056475i,-0.0003294+0.0012196i,0.00040517+0.0002354i
0.00034838-0.0012566i,-0.00024493-0.002085i,0.00015-0.0015549i,0.00016918-0.0010571i,-0.00026187-0.00061703i,5.7828e-05+0.00096458i,0.0011543+0.0014191i,0.0013959+0.00094112i,0.0012505+9.1227e-05i,0.00053649+9.1611e-05i,-5.702e-05+0.00017129i,-0.00031109+2.4578e-05i,-0.00018009-7.6342e-07i,-0.0003156+0.00020347i,-0.00079989+0.00054799i,0.0002614+1.4327e-05i,0.00083096-9.0297e-05i,0.00034134+8.5627e-05i,0.00043184+0.00012935i,5.88e-05+0.00013676i,-0.00043152+0.00049593i,-0.00039477+0.00055589i,6.3046e-05+0.00018811i
0.0012789-0.0009102i,0.00044882-0.0015031i,-0.00052042-0.0017753i,-0.00064177-0.001919i,-0.00044819-0.0012236i,-0.00076744-0.0001743i,-0.00025791+0.00047922i,0.00090634+0.00067377i,0.0013189+0.00058662i,0.00035174+0.00045806i,-0.00018818+0.00018265i,0.00047784-0.00031387i,0.00057488-0.0012573i,-0.00067765-0.0012586i,-0.0017264-0.00058944i,-0.0011388-0.00043132i,-0.00030338+0.00017762i,-6.1274e-05+0.00081292i,-0.00052365+0.00069018i,-0.0014644+0.00013398i,-0.0013556-0.00032655i,-0.00013391-8.8335e-05i,0.00051461+0.00022297i
-0.00083202-0.00045576i,0.00039058+3.4005e-05i,0.00052226+0.00063765i,0.0014143+0.0016639i,0.0025641+0.0021987i,0.0021611+0.001281i,0.0010649+0.00059604i,3.5975e-06+0.00074439i,-1.5263e-05+0.0017268i,0.00034186+0.002065i,0.00051488+0.0010671i,0.001002+0.00042086i,0.0010359+0.0002366i,0.00060672-0.00017737i,0.0013195-0.00088079i,0.0014402-0.00072414i,0.00027599+4.1671e-05i,3.0703e-05-0.00011077i,-0.00041678-0.0005077i,-0.0013106-0.00032085i,-0.0011317+0.0003261i,-0.00021933+0.0012794i,0.00038879+0.0012651i
0.0024672-0.0027746i,0.0012226-0.0038207i,0.00065009-0.003523i,0.00010608-0.0016461i,0.00028535-0.00035856i,0.0014377+0.0005857i,0.0014917+0.00014493i,0.00085188-0.00016526i,0.00019117-7.196e-05i,-0.00011725-0.0001069i,0.00012959-0.00027478i,-0.00025729+0.00049228i,-0.00066216+0.0008694i,-0.00035775+0.00019326i,-0.001159-0.00026459i,-0.0021405+0.00018037i,-0.0014112+0.0006421i,-0.00030816+0.00041184i,-0.00079796+1.4563e-06i,-0.00062982-0.00055546i,0.00051605-0.0011587i,0.00021088-0.00079308i,-0.00010017-0.00074005i
0.0019456-0.0025657i,0.0019085-0.0026463i,0.0013653-0.0018018i,0.00076902-0.00029458i,0.0012244+0.00092038i,0.0013208+0.0014414i,0.00051295+0.0012645i,8.9181e-05+0.00063399i,0.00024882+0.00069282i,0.00011203+0.00064375i,-0.00063959+1.9159e-05i,-0.0010796-0.00013553i,-0.00036873+0.0008773i,0.00051266+0.0013629i,0.00054726+0.00057463i,6.1041e-06+9.7646e-05i,-0.00012699-5.3747e-05i,0.00033585-0.00074307i,0.00024828-0.00082373i,-0.00026868-0.00010101i,-0.00022208+2.8756e-05i,0.00042711-1.5999e-05i,9.2775e-05-3.6877e-05i
0.003506+0.00011455i,0.0024039+0.00085683i,0.00075976+0.00033292i,0.00052734+0.00016523i,0.00044918+0.0011395i,0.00012579+0.00075916i,-4.6759e-06-0.00027869i,-0.00016526+0.00015199i,-0.00020423+0.0010734i,0.00011796+0.0012332i,0.00016543+0.00053289i,-0.00022747+0.00036695i,-0.00070121+0.0002059i,-0.00094166+0.00020556i,-0.0012157+0.0006342i,-0.0013815+0.00039528i,-0.00082764-0.00022364i,-0.0005848+1.1733e-05i,-0.00013443+0.00037053i,-0.00012776+0.00035843i,0.00014127-0.00020824i,0.00036426-0.00081038i,-6.0384e-06-0.00030093i
