0.0022693+0.00058499i,0.0014454-0.00023284i,0.0012897-0.0028097i,-0.00016577-0.003026i,-0.002552-0.0019339i,-0.0030978-0.00013788i,-0.0019274+0.00083086i,0.00021947+0.0014309i,0.0011626+0.00080394i,0.0003191-0.0010821i,0.00014014-0.0010664i,-6.2032e-05+0.00047453i,-0.00021208+0.0018321i,-6.7127e-05+0.0020304i,-0.0002293+0.0016112i,0.00020457+0.0010023i,0.00034188+0.00056815i,0.00032301-0.00012438i,0.00092783-0.00021973i,0.0013477+2.8802e-05i,0.0016845-0.00011756i,0.0012444+1.7459e-05i,0.00018751+0.00018646i
0.00099609+0.00079379i,-0.00035506+0.0012469i,-0.00054006+0.00065773i,-0.00094907-1.5124e-06i,-0.0013525+0.00034235i,-0.0010207+0.00045149i,-0.0011694+0.00039388i,-0.0016229-5.1428e-05i,-0.001997-0.00032539i,-0.001618-0.00017847i,-0.00053642-0.00068823i,0.00010316-0.00052905i,-0.00047228+0.00030094i,-0.00050854+0.00038655i,5.7825e-05+0.0007582i,0.00065321+0.000834i,0.00086885+0.0001723i,0.00060912-0.0010052i,-0.0001192-0.001595i,-0.00094833-0.00079054i,-0.00088634-0.00025465i,-0.00022231-3.7125e-05i,0.00027135+0.00039916i
-0.00068523-0.0026759i,-0.00065864-0.0023981i,-0.0011545-0.0011822i,-0.0011364+0.00070004i,-0.0013885+0.0022978i,-0.0011678+0.0021713i,-0.00038743+0.0010896i,0.00023791-0.00011137i,0.00036572-0.00072764i,0.00046073+4.5096e-05i,0.0001243+0.00036012i,7.8021e-05-0.00028699i,0.00083092-0.00040593i,0.0012859-9.6465e-05i,0.00069979+0.00030315i,6.8469e-05+7.7637e-05i,-0.00022651-0.00037813i,-0.00038036-0.00061588i,5.3608e-05-0.00041778i,0.00011576+0.0001504i,0.00026591+0.00075723i,0.00055309+0.0010669i,2.514e-06+0.00092461i
0.002538+0.00018734i,0.0024272-0.0012942i,0.00084723-0.0015734i,6.2052e-05-0.0013669i,-4.5735e-05-0.00075103i,-0.00059779-7.6612e-05i,-0.0010568-0.00019951i,-0.00062514-2.8744e-05i,-0.00020684-0.00016569i,-0.00031907-1.6332e-05i,-0.00022846+0.00074587i,-0.00053916+0.001165i,-0.00057315+0.0010555i,0.00013738+0.00027442i,0.00037096-0.00057978i,0.00036336-0.00042081i,-0.00024775+0.00018907i,-0.00030727+1.7386e-05i,-1.9148e-05-0.00032864i,-0.00033482-0.00011743i,-0.00019138+3.302e-05i,-6.2271e-06+0.00025661i,-0.00011838+7.6825e-05i
-0.0012719+0.00020867i,-0.00036015+0.0014084i,0.00018423+0.0023672i,9.3184e-05+0.0021425i,-0.00022235+0.0011245i,-5.6145e-05+0.00072147i,0.00041578+0.00017657i,-0.00037644-8.9151e-05i,-0.0012154-3.922e-05i,-0.00058553-0.00012426i,-8.2953e-05-0.00016438i,-1.8809e-05+4.3298e-05i,0.00031655+0.0010193i,0.00023909+0.0007056i,0.00029195-0.00027714i,0.00017754+6.9698e-05i,0.00031096+0.00045029i,0.00039396+0.00010619i,0.00065162+0.00039538i,0.0013606+0.00045237i,0.0010109-0.00010694i,0.00019637-9.6228e-05i,-0.00070296+0.00017304i
-0.0026012-0.00092693i,-0.0019675-0.00069004i,-0.00093289-0.00038593i,0.0011299-0.00011043i,0.0015039+0.00067049i,0.00036987+0.0010925i,-0.00032154+0.0011612i,-0.0011757+0.00040318i,-0.0014877+0.00012427i,-0.00048214+0.00037232i,-0.00014794-0.00052701i,0.00025795-0.00077655i,0.00078893-0.00020443i,0.00066322+2.3046e-05i,0.00058187-8.3335e-05i,-0.00016358+9.2856e-05i,-0.0012586-0.00012482i,-0.0012338-0.0001777i,0.0001929+0.00033593i,0.00086169+0.00026593i,0.00034799+4.634e-05i,-1.232e-06+0.00013235i,0.00042912+0.0002713i
-0.0018639+0.0003216i,-0.0025783+0.00022773i,-0.0023452+0.0019609i,-0.0012385+0.00255i,5.587e-05+0.0018157i,0.00025094+0.0010162i,2.5855e-05-0.00012411i,-0.0002824-0.00036619i,-0.00054595+6.9663e-05i,-0.00075248+5.6057e-05i,-0.00058506-4.8703e-05i,-6.8523e-05-0.00022715i,-6.6475e-05-0.00053467i,0.00013368-0.00032516i,0.00046502-0.00030462i,-6.1027e-05-0.00020445i,-0.00054208+0.00010621i,-0.00080428-0.00022501i,-0.00041016-0.00058311i,-0.00010498-0.00057524i,-0.00056218-0.00033907i,-0.00013881-0.0007684i,0.00075053-0.00075853i
0.0005901+0.0011107i,0.0012342-0.00040212i,0.0019812-0.0012648i,0.0018537-0.00087307i,0.00077625-0.00041458i,-0.00048977-0.0005415i,4.0284e-05-0.00034407i,0.00042066-0.00021102i,-0.00064588-0.00019738i,-0.00065537-0.00021905i,0.00019246-0.0004308i,0.0003416-0.00023905i,-6.33e-05-0.00013456i,-0.0003632+4.8897e-05i,-0.00040125-0.00019283i,-5.7953e-05-0.0008792i,0.00043628-0.0011741i,0.00052298-0.00055744i,0.00023597+0.0003258i,-0.00018438+0.0013482i,-3.5097e-05+0.0012703i,-0.00021721+0.00035382i,-0.00014721+0.00011803i
-0.00010377+0.00069614i,0.00033883+0.0011125i,0.00046138+0.0016325i,-0.00069927+0.001773i,-0.0010723+0.0014961i,-0.00070843+0.0016014i,-0.00027078+0.0015926i,-0.00018713+0.0010732i,-0.00036539+0.00012438i,-0.00052215-0.00016292i,-0.00040235+5.4638e-06i,0.00012375-0.00019641i,0.00095897-0.00013631i,0.0013021+0.00085231i,0.0012937+0.00083914i,0.0016432+0.00045058i,0.00093451+5.8678e-05i,0.00053869-3.8695e-05i,-0.00028573+0.00034979i,-0.0011431+0.0003719i,-0.00054753+0.00019429i,6.2344e-05+0.00020572i,0.00017527-7.2997e-05i
-0.0019199-0.0020774i,-0.003027-0.0021242i,-0.0025318-0.00074784i,-0.0011252+0.0010402i,-0.00014028+0.00088933i,-0.00031807-5.1669e-05i,-0.00079719-0.00035614i,-0.0008269-0.00036911i,-0.00037546-0.00033554i,0.00019424-0.00028448i,0.0011101-0.0005032i,0.0010332-0.0001474i,0.00078443-7.8459e-05i,0.00098003-8.1585e-05i,0.00040195+0.00028968i,-0.00062347+8.1702e-06i,-0.00072916-0.00063618i,-0.00021371-0.00064271i,0.00058674+7.2814e-06i,0.0010737-4.5505e-05i,0.00087647-0.00027668i,0.00038859+0.00052092i,-0.00013906+0.00045203i
0.00020697+0.00062453i,8.1358e-05+0.00068661i,-4.191e-05+0.00017548i,-0.0003897-0.00037062i,-0.00057069+0.00064932i,-0.00078734+0.0013337i,-0.00075436+0.00027109i,-0.00066003-0.00083868i,-0.00065971-0.00078351i,-0.00052527-0.00040943i,0.00026014-0.00048111i,-0.00014425-0.00063145i,0.00043903-0.00030639i,0.0012433-0.00031787i,0.00082079-0.00046701i,0.0003027+0.00035503i,0.00037012+0.00061127i,0.00017253-5.9605e-05i,-0.00047621+4.8576e-05i,-0.00035457+0.00025767i,-2.8984e-05+0.00018887i,0.00065669+0.00010139i,0.0010203+0.00042981i
-0.00037616+0.00020319i,-0.0014241+0.0006087i,-0.0015079+0.00051132i,-0.00028117+0.00017091i,-0.00030297-0.00042388i,-0.00049237-0.00028321i,-0.00025042-7.2834e-05i,0.00016454-0.0009776i,9.3528e-05-0.00061203i,-0.00033823+0.00059766i,4.3463e-05+0.000294i,0.00025715+3.9752e-06i,-0.00037918+6.2821e-05i,-0.00037816+5.5952e-05i,0.000315+0.00015429i,0.0007009+4.5881e-05i,6.7426e-05+0.00014321i,-0.00063717+0.00031443i,-0.00030991+0.00077691i,0.00048587+0.00087682i,0.00042434-0.00010931i,-7.185e-05-0.00088994i,0.00021737-0.00020058i
-0.00094008+0.0014944i,0.00042731+0.00080137i,0.0012405+2.4271e-05i,0.0011405+0.00012133i,0.00016293+0.00042617i,-0.00077255+0.00099433i,-0.00092846+0.00085383i,-0.00050345+0.00024906i,-0.00039199-0.00041229i,-0.00038652-0.00031256i,-0.00058474-0.00056616i,-0.00018425-0.00019401i,0.00068708+0.00075957i,0.00073669+0.00010509i,0.00078635-0.00091387i,0.0010343-0.0004336i,0.00091483-0.0004104i,0.00065012-0.00030309i,1.123e-05+0.00016074i,-0.0010651+6.4349e-05i,-0.00080263-0.00012684i,-0.00039555-0.0001427i,-0.00055932-0.00025616i
0.00048553+0.00077897i,0.00068682+0.0018606i,0.00041553+0.0014619i,0.00045854+0.00093586i,0.00058906+0.00037364i,0.0010025+9.1787e-05i,0.00051781+0.00061159i,-0.00019189+0.00074939i,0.00032628+0.00024993i,-0.00012935+0.00056823i,-0.00097688+0.00031759i,-0.0017651+0.00042055i,-0.0012915+0.00085604i,-0.00064493+7.5244e-05i,-0.00075463-0.00023965i,-0.00010854+0.00028056i,0.00039789+0.0003952i,0.00011608+0.0003893i,0.00071947+0.00048183i,0.00095071-6.8498e-05i,0.00014272-0.00074744i,-0.00019017-0.00022667i,4.5302e-05+0.00067411i
-0.0027746-0.0020311i,-0.0035403-0.00045048i,-0.0029746+0.0008199i,-0.0012948+0.0015675i,-0.00076679+0.0021008i,-0.0006176+0.0016079i,-0.00038777+7.9004e-05i,-0.001004-0.0010824i,-0.0013281-0.00066827i,-0.00034809+0.00050394i,0.00063801+0.00079719i,0.00098451+0.00073094i,0.0006719+0.00041172i,0.000525-0.00047827i,0.0010176-0.00043594i,0.0010526-0.00041642i,0.00070751-0.00084346i,0.00043302-0.00056418i,0.00039334-0.00011952i,8.5691e-05-5.5012e-05i,-0.0006842+0.00026847i,-0.00070017+0.00073954i,-0.00044011+0.0012417i
-0.00012082-0.00050129i,-0.00090597-0.00071647i,-0.00056612-0.0015339i,0.00051655-0.0010267i,0.00024452+0.00029331i,-0.00032401+0.00089033i,-0.00016941+0.00055314i,-1.2725e-05-0.00029688i,0.00025895-0.00030632i,1.9458e-05-7.4964e-05i,-0.00042453+4.2366e-05i,-0.00062484+0.00047436i,-0.0010941-6.0264e-05i,-0.0010873-0.00084671i,-8.3896e-06-0.00093657i,0.0009678-0.00049406i,0.00083096-0.00033993i,0.00065022-0.00033583i,0.00037501+0.00017252i,-0.00021953-0.00014511i,-0.00064929-0.0010847i,-0.0004299-0.00099515i,2.35e-05-0.00037104i
-0.00069471+0.0011884i,-0.00065187+4.9725e-05i,-0.00063853+2.8319e-05i,-0.00051893+0.000333i,-0.00086683+0.0004765i,-0.0011968+0.00085842i,-0.0011882+0.00051414i,-0.00065695+7.9429e-06i,-0.00021763-0.00020111i,-0.0005722-0.00013707i,-0.00038629+7.559e-06i,0.00029778+0.00013943i,0.00089935+0.00064592i,0.0012732+0.0010712i,0.00041683+0.00094575i,-0.00056645+0.00081727i,-0.00015142+0.00077352i,0.00011612+0.00063127i,0.00037827-0.0002635i,0.00068228-0.00055959i,0.00039675-0.00071413i,-5.1488e-05-0.00024214i,-0.00050442+5.6341e-05i
-0.00080327-0.002155i,-0.00071316-0.0013714i,-0.00035412-0.00031366i,0.000436+0.0010912i,0.00065836+0.0021803i,0.00077212+0.0021001i,0.00095134+0.00082202i,0.00020265-0.00099956i,-0.00026469-0.0012689i,-0.00019394-0.0003254i,-0.0003525+0.00034566i,-0.0001053-0.00010561i,0.00059006-0.00040527i,0.00064181+0.00026237i,0.00046746-0.00015i,0.00064513-0.00042024i,0.00058125-0.00024816i,0.00046213-0.00027272i,0.00068692-0.00065114i,0.0006012-0.00093597i,0.00042353-0.00051383i,-5.6352e-06-0.00021818i,-0.00030301-0.00020133i
-0.00017744-0.0012516i,-0.0019821-0.0013683i,-0.0032054-0.0018055i,-0.0033886-0.0010059i,-0.0024482+0.00036403i,-0.00087652+0.00092301i,0.0005232+0.00057276i,0.0010823-0.00032516i,0.00011005-0.00064853i,-0.00070783-0.00010474i,-6.2221e-05+0.00023092i,0.00083176+0.0006464i,0.0018257+0.00089532i,0.0022212+0.00087168i,0.00054638+0.0015006i,-0.00035484+0.0010125i,0.00054409-0.00034077i,0.0013527-0.00016011i,0.0015575+0.00038101i,0.00067001+0.0001423i,-0.0002279-0.00048075i,-5.6714e-05-0.00062726i,-0.00023422-0.00021908i
-0.0027843+0.0013178i,-0.001032+0.00066707i,0.00031971+0.00035381i,0.00086429+0.00080766i,0.0011347-0.00016741i,0.00019656-0.00074218i,-0.0009006-0.00050005i,-0.00087418-0.00045273i,0.00010353-0.00050885i,0.00084558-0.00061704i,0.00065732-0.0012419i,0.00021908-0.0012703i,-1.0999e-05-0.00061225i,0.00034813-0.00090876i,0.0007951-0.001488i,0.00027695-0.0011752i,-0.00012415-0.00046658i,-0.00011437-0.00022215i,-0.00050093-8.5116e-05i,-0.00032075+0.00027346i,0.00013737+0.00063077i,0.00028422+0.00047581i,0.00041563+0.00023601i
-0.00084415-0.0012586i,-0.001498-0.00059949i,-0.0012299+0.00068601i,-0.0012446+0.00062124i,-0.00084982+0.0002124i,-0.00025555+0.00019769i,6.478e-05+0.00060068i,-0.00035036+8.0999e-05i,-0.00021586+0.00013239i,2.7979e-05+0.00071574i,0.00046267+0.00055332i,0.00030021+9.8551e-05i,-0.00023717-0.00041624i,-0.00023783-0.00023281i,0.00028011-9.6974e-05i,0.00067582-5.0619e-05i,0.00070204+0.00022958i,0.00081796-0.00044579i,0.0011289-0.00093074i,0.00097974-0.00022684i,0.00049592-0.00010159i,-8.3667e-05-0.00018031i,-0.0003125-0.00032745i
0.00066043-0.0011398i,0.00072548-0.0010024i,0.00045577-0.00055734i,0.00029461-0.0003897i,-0.00025953-5.9237e-05i,-0.00072235+0.00096148i,-0.0005923+0.0010399i,0.00027034+0.00040784i,0.00078115+0.00058399i,0.00078477+0.00046105i,0.00053247+0.00019651i,5.209e-05+0.0002674i,0.00029552+0.00025171i,0.00036397-0.00080161i,0.00010245-0.0011175i,7.2708e-05-0.00068672i,0.00038503-7.5041e-05i,0.00022606+0.0011126i,0.00019987+0.00084244i,0.00012491+0.00025516i,-0.00022456+0.00056939i,-0.00016339+0.00090605i,0.00024846+0.00086089i
-0.00018314+2.5168e-05i,6.7753e-05-0.00077799i,-6.2688e-06-0.0010753i,-8.3108e-05-8.6152e-05i,-0.00010657-5.3574e-06i,-0.00077637-0.00046997i,-0.0008975-0.00029094i,-0.00075494-0.00052358i,-0.00070255-0.00071294i,0.00010638-0.00022015i,0.00036446-3.6374e-06i,-0.0002945-0.00025881i,-3.1777e-05-0.00041947i,0.00016724-0.00023493i,0.0004922+6.6708e-05i,0.00021024+0.0003818i,-0.0002456-2.0965e-05i,0.00039618+0.00019841i,0.00050155+0.00034221i,0.00052595+0.00016832i,0.00052394+9.6538e-05i,0.00037825-0.00035105i,0.00034259-0.001101i
-0.00052627+0.00084133i,-0.00090625+0.00018467i,-0.0012817+0.00010534i,-0.00099104+0.00063095i,0.0001879+0.001468i,0.001189+0.0014081i,0.00081951-1.6279e-05i,-1.3374e-05-0.000719i,-0.00063134+4.7011e-06i,-0.00062043+0.00064931i,-0.00018132+0.00049508i,0.00079657+0.00034573i,0.0006806+0.00025906i,0.00052871-0.0006399i,0.0012359-0.0013078i,0.0011499-0.00075123i,0.0002322-0.00034419i,6.3148e-05-0.00035863i,5.2815e-05+2.2482e-05i,-0.00038782+0.00061189i,-0.0005249+0.00046866i,0.00040931-0.00033091i,0.00085383-0.0010401i
0.00046198-0.0026711i,-0.00036916-0.001875i,-0.0014055-0.00094179i,-0.0017687-0.00054331i,-0.0012235+3.1408e-06i,-0.00098747+0.00045905i,-0.00051379-0.00044318i,0.00017706-0.00047108i,-0.00026984+0.00017023i,-0.0011908+0.0003248i,-0.00057873+0.00040254i,0.0001169+0.0003875i,0.00015021+1.133e-05i,0.00056033+0.00033338i,0.00026333+0.00080378i,-0.00017624+0.00084947i,-0.00078385+3.5034e-05i,-0.00036926-0.00072098i,4.4945e-05+0.00039808i,-0.00041355+0.00036654i,-0.00091433-0.00025947i,-0.00068629-0.00052364i,0.00033757-0.00068807i
-0.00060356-0.00043181i,-0.0017425-0.0004856i,-0.0026458-0.0014022i,-0.0023942-0.0011617i,-0.0014262-7.8747e-05i,-0.0008729+0.0010439i,-0.00095316+0.001026i,-0.00058942-0.00028729i,0.00012984-0.00035535i,0.00033061-8.3616e-05i,0.00017044-0.0002463i,-0.00013717-0.00013887i,0.00048161-0.0006699i,0.00061036-0.0001437i,0.00026431+0.00028755i,2.8404e-05+0.00020773i,0.00034577-9.3175e-07i,0.00099434-0.00086434i,0.00077954-0.0010666i,0.00058166-0.00012722i,0.00070745+0.00032323i,0.00042607+0.00033986i,0.00021447+0.00074882i
0.0010027-0.0023844i,0.00011779-0.0013291i,0.00010076-0.00020801i,0.00013572-0.00084641i,-0.00081874-0.0006829i,-0.0016488+0.00025759i,-0.0009696+0.00078454i,-0.00050744+0.00063208i,0.00016808-0.00020309i,0.00021435+0.00022632i,-0.00068951+0.00081218i,-0.00118+0.00084959i,-0.00049259+0.001215i,-0.0001139+0.00070467i,-3.9847e-05+0.00034648i,-0.00025227+0.0012288i,-0.000368+0.0011766i,0.00030462+2.6928e-05i,0.00093284-0.00052762i,0.0011634-0.00068919i,0.00065041-0.00081604i,-0.00020297+0.00012215i,-0.00073456+0.00055989i
0.00099063-0.0036336i,0.00031127-0.0036173i,-0.0009476-0.0028678i,-0.0021623-0.00099392i,-0.0018453+0.00061191i,-2.6362e-05+0.0014582i,0.00059562+0.0016744i,0.00017741+0.00059042i,-0.00087309-0.00056882i,-0.0012471-0.00044488i,-0.0011095-0.00022685i,-0.0012459-0.00031658i,-0.0010878+4.5438e-05i,-0.00068335+0.00067822i,-0.00023089+0.001789i,0.0002657+0.0019011i,0.00059513+0.00078697i,0.00029392-0.00019027i,0.00021901+0.00018445i,0.00054565+0.00057698i,0.00040427-0.00034917i,-0.00059234-0.0014713i,-0.0005116-0.00079196i
0.0006975-0.0014435i,0.0011152-0.0016788i,0.00090006-0.00071509i,0.00065865+0.00010886i,0.00011586-0.00038774i,-0.00059251+4.6573e-05i,-0.0013064+0.00062611i,-0.00090225-6.5117e-05i,6.2781e-05-0.00021607i,0.00022143+0.00014942i,-0.00025588-0.00010912i,-0.00097084-0.00046384i,-0.00073578-0.00011415i,0.00018328+0.00062818i,0.00047792+0.00093364i,0.00011183-0.00030386i,-0.00029981-0.00045358i,-6.0281e-06+0.00033274i,0.00025589+0.00067933i,0.00011285+0.00017172i,0.00016591-0.00046516i,0.00020844-0.00058177i,-0.00016099-0.00028966i
-0.00074395-0.00034529i,-0.00022953-0.00067761i,0.00048943-0.00073284i,0.00056306-0.00010261i,0.00057235+0.00073776i,0.00050831+0.0013374i,0.00043942+0.00088326i,0.00063989+0.00018661i,0.00089458+0.00051676i,0.0003984+0.00029974i,0.00039031-0.00056893i,0.00034622-0.00078452i,-0.00024289-0.0004146i,-0.00030844+5.0514e-05i,2.8237e-05-0.00022348i,0.00022836-0.00031177i,-0.00052577-0.0003095i,-0.00056521-0.00020707i,-0.00021841+0.0002712i,-0.00051028+0.0002633i,-0.00025635+0.00048966i,-0.00019846+0.00070796i,-0.00052894+1.8618e-05i
0.001576+0.00086209i,0.0016607+0.00022578i,0.0019947+0.00024582i,0.001518-0.0005373i,0.00034532-0.00088314i,-0.0016287-0.00046244i,-0.0018853+0.00057636i,-0.0010879+0.00038538i,-0.00017961-0.00094455i,0.00092195-0.00053189i,0.0010645+0.0004708i,0.00073497+0.00085853i,0.00017455+0.00098029i,-0.00053359+0.00039672i,-0.00030583+9.7159e-05i,3.5262e-05+0.00039005i,0.00042315+0.00045269i,-3.0713e-05+0.00034835i,-0.00103+6.1106e-05i,-0.0011969-0.00024016i,-0.00097845-0.00031137i,-0.00047117-0.00014886i,-0.00089214+0.00027924i
