-0.00096507+0.0013831i,6.7618e-05+0.0010153i,-0.00099349+0.0020879i,-0.0015784+0.0019208i,-0.0013757+0.00133i,-0.0014426+0.00061225i,-0.0011187-0.00021441i,-0.00044604+0.00023854i,-1.9228e-05+0.00029674i,0.00086239+0.00038825i,0.0010392-0.00020197i,8.0675e-05-0.0010863i,8.5887e-06-0.0016729i,0.00028133-0.0016318i,-1.5027e-05-0.0011254i,0.00041693-0.00068411i,0.00051794-0.00066134i,-0.0004667-0.00086639i,-0.00058172-0.0010403i,-0.00010244-8.4918e-05i,0.00016579+0.00055018i,0.00069298-9.7085e-05i,-8.033e-05-0.00038013i
0.013254-0.02636i,0.0095768-0.012346i,0.025002+0.019918i,0.020853+0.023979i,-0.050807+0.016119i,-0.10709+0.040556i,-0.091722+0.045097i,-0.054548-0.0023031i,-0.014375-0.043484i,0.020087-0.043437i,0.04447-0.0088114i,0.067527+0.018828i,0.06762+0.009668i,0.035162-0.0033831i,7.1014e-05+0.0029458i,-0.0059561+0.0096975i,0.0041428+0.0042265i,-0.0098607-0.0058869i,-0.041456-0.0092814i,-0.048271-0.0082647i,-0.029428-0.013068i,-0.012622-0.016714i,-0.008086-0.013087i
-0.10657-0.023097i,-0.16286+0.012242i,-0.069152+0.043463i,0.12481-0.020133i,0.17719-0.1025i,0.055219-0.053751i,-0.012511+0.05485i,0.00079362+0.096132i,-0.013347+0.088611i,-0.028314+0.068341i,-0.030833+0.021315i,-0.047749-0.030546i,-0.059895-0.051235i,-0.046375-0.057375i,-0.026286-0.077605i,-0.027898-0.094842i,-0.033282-0.09183i,-0.016225-0.069311i,0.011686-0.038468i,0.017718-0.015512i,-0.002829+0.002811i,-0.019351+0.016572i,-0.019143+0.019405i
0.014244-0.13312i,-0.090366-0.21876i,-0.30738-0.13541i,-0.43008+0.13814i,-0.27657+0.29839i,-0.035744+0.1644i,0.06237-0.0033551i,0.074436-0.035299i,0.081592-0.032117i,0.065098-0.048344i,0.032084-0.061219i,0.0022201-0.049523i,-0.004823-0.013011i,0.010509+0.024733i,0.027315+0.055553i,0.02901+0.074662i,0.0081984+0.071789i,-0.0097202+0.045775i,-0.0092094+0.013529i,0.00016023-0.0038541i,0.014292-0.0063397i,0.022602-0.002473i,0.02234-0.0010504i
0.08368+0.058939i,0.23364+0.050547i,0.36704-0.053346i,0.30985-0.20786i,0.090771-0.26284i,-0.077206-0.17225i,-0.12976-0.088524i,-0.13921-0.075454i,-0.12174-0.053591i,-0.064859-0.0094563i,0.0010534+0.029485i,0.046713+0.054329i,0.052015+0.053364i,0.017801+0.048755i,-0.010184+0.064153i,0.0037473+0.070875i,0.029482+0.053945i,0.028601+0.037986i,0.013268+0.026762i,0.0034238+0.0075751i,-0.0036428-0.01157i,-0.0073334-0.020464i,-0.0040682-0.019825i
0.049616+0.16576i,0.14061+0.20395i,0.19623+0.058111i,0.14962-0.13667i,0.088546-0.13925i,0.08135-0.037161i,0.056014+0.02474i,0.011281+0.078919i,0.0078116+0.10062i,0.005854+0.067597i,-0.016423+0.032167i,-0.03256+0.012771i,-0.025451+0.0086932i,0.007884-0.0087602i,0.034926-0.05427i,0.035939-0.087597i,0.037565-0.080791i,0.051373-0.050246i,0.058203-0.027143i,0.045971-0.018496i,0.02453-0.0146i,0.0086712-0.011115i,-0.0040927-0.0088479i
-0.15415+0.022747i,-0.35271+0.13132i,-0.47142+0.37446i,-0.34494+0.54254i,-0.1257+0.40442i,-0.027478+0.15853i,0.016342+0.041474i,0.058422-0.0085445i,0.039961-0.035205i,0.0026892-0.021502i,-0.0062378-0.0030207i,0.00062011-0.0090828i,-0.0024319-0.02793i,-0.019297-0.018464i,-0.031049+0.018797i,-0.036794+0.047211i,-0.043432+0.044669i,-0.047017+0.025065i,-0.045218+0.016452i,-0.033359+0.026656i,-0.012746+0.037041i,0.0037126+0.033592i,0.011195+0.024602i
0.076154-0.090989i,0.20005-0.21401i,0.35108-0.40724i,0.34514-0.53332i,0.1561-0.43201i,-0.0027483-0.21579i,-0.050444-0.088214i,-0.062418-0.057776i,-0.056036-0.038437i,-0.02724-0.0055983i,0.00037481+0.023004i,0.013531+0.03781i,0.014826+0.033131i,0.0050758+0.0097699i,-0.01488-0.014532i,-0.032918-0.022225i,-0.040293-0.0093421i,-0.041929+0.0070714i,-0.039501+0.015877i,-0.03152+0.019187i,-0.020848+0.015844i,-0.01431+0.0092175i,-0.011629+0.0030869i
0.016409-0.12807i,-0.084807-0.16909i,-0.25789-0.027252i,-0.2791+0.22656i,-0.068713+0.31435i,0.11798+0.18492i,0.13967+0.053116i,0.10857+0.0095493i,0.074966-0.018657i,0.021985-0.051737i,-0.028523-0.06606i,-0.048829-0.051175i,-0.025466-0.018748i,0.018566-0.0047346i,0.054865-0.017959i,0.071357-0.032656i,0.069676-0.033113i,0.061333-0.016561i,0.050513+0.00087103i,0.036747+0.0030106i,0.01747-0.00093014i,0.0031282-0.0013375i,-0.00099927-0.001032i
0.001664+0.053183i,0.027682+0.13714i,0.073141+0.16976i,0.063284+0.075641i,-0.035452-0.04353i,-0.10101-0.060343i,-0.068259-0.039702i,-0.043742-0.033047i,-0.039597+0.0042023i,-0.011321+0.038451i,0.0087566+0.041476i,0.0038638+0.030747i,-0.018352+0.011626i,-0.044772+0.016733i,-0.049545+0.052776i,-0.031665+0.071981i,-0.016192+0.05243i,-0.014162+0.011772i,-0.016947-0.016295i,-0.014572-0.014971i,-0.0013283-0.0026911i,0.012432+0.0028884i,0.017803+0.0029093i
0.083163-6.6162e-05i,0.20678-0.13165i,0.25783-0.36261i,0.15836-0.45822i,0.050553-0.30632i,-0.0012444-0.10815i,-0.054521+0.0055894i,-0.055015+0.048803i,-0.010327+0.029148i,0.010419+0.0006004i,0.020104-0.0080669i,0.022254-0.013488i,0.018838-0.012329i,0.019207-0.019967i,0.0035083-0.038477i,-0.014775-0.038575i,-0.013953-0.019517i,-0.0069677-0.0025475i,-0.0065965-0.0008411i,-0.011591-0.013042i,-0.015014-0.025173i,-0.013746-0.025401i,-0.013356-0.017486i
-0.15461+0.15327i,-0.26641+0.37579i,-0.24092+0.59089i,-0.074745+0.59247i,0.04231+0.39473i,0.085578+0.19932i,0.12209+0.078762i,0.098799+0.011373i,0.032899-0.012794i,-0.0025817-0.02735i,-0.01263-0.049443i,-0.01748-0.058198i,-0.01459-0.038749i,0.0050977-0.011843i,0.031764-0.0071142i,0.041316-0.016373i,0.037398-0.019368i,0.033428-0.0093845i,0.034374+0.0044837i,0.033395+0.007885i,0.020887+0.009086i,0.0076134+0.015719i,0.0064233+0.016888i
-0.0017864-0.014282i,-0.012046-0.073026i,-0.042381-0.16513i,-0.10388-0.23376i,-0.16434-0.22826i,-0.17756-0.1601i,-0.13717-0.089108i,-0.075366-0.035191i,-0.023278+0.015139i,0.0044747+0.046772i,0.011482+0.061738i,0.017805+0.068666i,0.011422+0.053612i,-0.020936+0.043466i,-0.043209+0.057417i,-0.04209+0.062758i,-0.039901+0.045688i,-0.037127+0.021227i,-0.032992+0.0044324i,-0.024916+0.0043095i,-0.0075163+0.0078044i,0.0033076+0.00033477i,-0.0015314-0.0079308i
0.05567-0.17823i,0.052735-0.36032i,0.016957-0.39825i,0.021936-0.20759i,0.073079-0.022116i,0.044231+0.016704i,-0.041772+0.028535i,-0.059704+0.028497i,-0.050782-0.0088609i,-0.058335-0.0072194i,-0.044003+0.021549i,-0.013246+0.020447i,0.021472-0.0018373i,0.050662-0.031955i,0.053488-0.056865i,0.038591-0.054872i,0.026706-0.026379i,0.017269+0.0083254i,0.0075793+0.02705i,-0.0023555+0.021645i,-0.012813+0.0030491i,-0.017379-0.0089281i,-0.015035-0.0073287i
