-0.0011877+0.0009206i,-0.00088577-2.6003e-05i,-0.001342-0.00043575i,-0.00093732-0.00069069i,-0.0014974-0.0002416i,-0.0022156+0.0019443i,-0.0014387+0.0029327i,0.00020977+0.0026636i,0.0012182+0.0019429i,0.0017062+0.00049577i,0.0010927-0.00045983i,-0.00067019-0.00052109i,-0.0010082-0.00037148i,-0.00073473-0.00054946i,-0.00091476-0.00039672i,-0.000958+1.6396e-05i,-0.00033331-0.00012534i,0.00036452-0.00094465i,-6.1914e-05-0.00074495i,-0.00026475-3.4134e-05i,0.00018229+0.00086673i,-0.00011577+0.00096832i,-0.00063357+0.00033197i
-0.001168+0.0001512i,-0.00086631+0.00057177i,-0.0023745+0.0013994i,-0.0021141+0.00066364i,-0.0013293+0.00065295i,3.3327e-05+0.00038625i,0.0012431+3.7882e-05i,0.00089893+0.00018237i,0.00045742-0.00032302i,-0.00067341-0.00056942i,-0.00091894-0.00063096i,8.547e-05-0.000698i,0.00047627+0.00011288i,0.00039638-2.1127e-05i,0.00055766-0.00059907i,0.0003627-0.00057668i,0.00027698-0.00041307i,8.7152e-05-0.000368i,2.1705e-05+0.00044439i,-4.4409e-05+0.0016702i,-0.00042543+0.001643i,-0.00086306+0.0010794i,-0.00097863+0.00026767i
0.0015346-0.0011442i,0.00062622-0.00080011i,0.0009047-0.0018772i,0.00057475-0.0021851i,-0.00058137-0.00062092i,-0.00089671+0.00078245i,0.0003876+0.0012111i,0.0015222+0.0010289i,0.0013368+0.00047024i,0.00064646-0.00051537i,0.00012341-0.0015847i,-0.0006025-0.0014112i,-0.00049823-0.00033209i,0.00013239-0.00058787i,0.0003357-0.0013653i,0.00029167-0.00094109i,0.00033961-0.00049121i,0.00044798-0.00042831i,-9.7525e-05-1.9954e-05i,-0.0010838-0.00028305i,-0.00056034-0.00052081i,0.00027141-0.00026361i,0.00041939+0.00020553i
-0.0016943+0.00032435i,-0.00097944-5.4354e-05i,-4.3305e-05-9.4926e-05i,-5.4713e-05+0.00077632i,-0.00076307+0.0018234i,3.6818e-06+0.002158i,0.00068742+0.0014631i,0.0011847+0.00074602i,0.0015282-0.0004914i,0.001594-0.0013922i,0.00081404-0.00040321i,-0.00042727+0.00050614i,-0.00022398+0.00029129i,-0.00012069-0.0002726i,-0.00090799-0.00084989i,-0.00085111-0.00075992i,-0.00084774-0.00026958i,-0.00041053-0.00014963i,-0.00016615-0.00072453i,-0.00044034-0.000364i,-0.00052926-0.00030535i,-1.945e-05-0.00048653i,-0.0001534-0.0002882i
0.00092036+0.0022108i,0.0005492+0.0023234i,0.00053902+0.0027263i,0.00093673+0.002183i,0.00079417+0.0011679i,0.00047315+0.00092452i,0.00072529+0.00066186i,0.0012846+0.00040183i,0.0012893+1.4587e-08i,0.00013999-0.0011457i,-0.00083558-0.0013592i,-0.0013232-0.00069436i,-0.00069772+0.00037028i,0.00036201-2.8207e-05i,0.00035534-0.00056228i,-0.00036447-0.00015255i,-0.0006935-0.00020722i,-0.00034412-0.00067078i,-0.00052575-0.00066914i,-0.00075229-0.00011782i,-0.00024789+0.0007395i,-0.00018942+0.0010285i,0.00017575+0.00018609i
-0.0017252-0.00019317i,-0.001621+0.00054621i,-0.0011391+0.00163i,-0.00087448+0.0014309i,-7.235e-05+0.0018668i,0.00082446+0.0017597i,0.00050929+0.0011336i,0.00037739+0.00048552i,0.00081531-0.00041133i,0.00077537-0.0010156i,-0.00030153-0.0015111i,-0.00082302-0.0019552i,6.1663e-05-0.0014983i,0.0013419-0.00016061i,0.0015769+0.00072049i,0.00043141+0.0012216i,-0.00021842+0.0008771i,-0.00030151-0.00067692i,-0.00049796-0.00067418i,-0.0002906+0.00039606i,0.00013603+0.00077948i,0.00046332+0.00038468i,0.000518+0.00010154i
0.00083322-0.00054059i,0.00074814-0.00088079i,7.7378e-05-0.0013604i,-0.00013667-0.0018686i,7.686e-05-0.0016346i,0.00035005-0.00035943i,0.0004426+0.00038154i,0.00064706+0.00048779i,0.0001254+0.00034257i,1.8803e-05-3.5731e-05i,0.00020739+0.00029131i,-0.00035068+6.1267e-05i,-0.00050098-0.00036093i,5.5458e-05-0.00031367i,0.00036664-0.00021213i,0.00032023-6.7968e-05i,-0.00038505+0.00043i,-0.00083501+0.00059116i,-0.00038704+0.00032624i,0.00012523+0.00077144i,0.00044212+0.00071786i,0.00061094+0.00028765i,0.0005643+0.00048872i
0.00012586-1.6992e-05i,0.00015646+0.00065959i,-0.0010111+0.00074622i,-0.001399+0.00086003i,-0.0020613+0.0020855i,-0.00062011+0.0025828i,0.0012365+0.0017467i,0.0015721+0.00075048i,0.001602+0.00017606i,0.00085482+0.00025196i,0.00018269-3.6783e-05i,0.00033418-0.00068877i,0.00026615-0.00097903i,0.00029074-0.00059965i,0.00045691-0.00071838i,0.00074281-0.0012675i,-0.0001092-0.0010802i,-0.00095403-0.00057855i,-0.00093093-0.0001665i,-0.00044674-0.00053149i,-0.00039665-0.00025142i,-0.00057651+0.00083122i,3.4062e-05+0.00095748i
0.0013618+0.0013054i,0.00065539+0.0012378i,0.00034367-0.0004776i,-9.4164e-05-0.00079575i,-0.00065197-0.00022503i,0.00016488+0.00073331i,0.00067726+0.00063509i,0.00081197-0.00069031i,0.00087466-0.0011134i,-6.7069e-05-0.0011219i,-7.9994e-05-0.0011408i,0.00019737-0.0012838i,5.9917e-05-0.001839i,-0.00027966-0.0014843i,-0.0003101-0.0010941i,-0.00032892-0.001741i,-0.00023757-0.0017744i,-0.00020707-0.0013766i,-0.00033541-0.0014977i,0.00019315-0.00083362i,0.00074087+0.00026646i,0.00035528+0.0005363i,-0.00031046+0.00015076i
0.00052465-0.0040669i,8.8265e-05-0.0036932i,-0.0015263-0.003769i,-0.0031482-0.0019377i,-0.0030354+0.0001438i,-0.001567+0.0014896i,0.00047374+0.0019663i,0.0021439+0.00099451i,0.0014496-0.00025731i,0.00032281-0.00030897i,-0.00086952-0.00039184i,-0.0016547-0.0007066i,-0.0009086-3.3289e-05i,-0.00023348+0.00060869i,-0.00015419+5.039e-05i,-0.00042703+5.73e-05i,-6.655e-05-5.3443e-06i,0.00040131-0.0006774i,0.00019208-0.00035984i,-7.5285e-05+0.00022709i,-8.757e-05+5.038e-05i,-0.00043713-0.00011213i,-0.00050436+1.3786e-05i
0.0018421+0.00084637i,0.0017651+0.0012337i,0.0032371+0.0013118i,0.0021595+0.00024362i,0.00061868-0.00066741i,0.0001765+0.00043438i,0.00058137+0.0010063i,0.0010798+0.00026714i,0.00085928-0.00035186i,0.00085908-0.00080957i,0.00021004-0.00081032i,-0.00086825-0.00049787i,-0.0010221-9.2457e-05i,-5.8803e-05-0.00072458i,0.00052734-0.00086782i,0.00069547-8.4082e-05i,0.00044299+0.00017177i,-0.00039243-0.00029089i,-0.00091024-0.00076681i,-0.00060571+0.00023474i,9.6603e-05+0.00060696i,0.00017604-0.0002546i,-0.00077345-0.00016786i
0.00076958-0.001277i,8.6528e-06-0.0023164i,-0.00067247-0.0028209i,-0.0010699-0.0022727i,-0.0010671-0.0011306i,-0.00039221+0.00017476i,0.0010918+0.0016951i,0.0016006+0.0014983i,0.00051333+0.00045732i,-0.0003564+0.00017223i,-0.00074393-0.00036829i,-0.00075355-0.00058209i,-8.3316e-05-0.00013244i,0.0004651-0.00010432i,0.00013274-0.00054265i,-4.3831e-05-0.00098704i,-0.00054475-0.00063183i,-0.0008995-0.00059251i,-0.00085057-0.00013868i,-0.0017006+0.00035481i,-0.0014195+0.00030328i,-0.00046+0.0010362i,-0.00055929+0.0011627i
