-0.0025796-0.00017296i,-0.0036717-0.00104i,-0.0037641-0.00027829i,-0.0024832+0.00096298i,-0.0016316+0.0028854i,-0.0015799+0.0031599i,-0.0015957+0.0021903i,-0.00073693+0.0010205i,0.00057854+0.00027636i,0.00069746+0.00052137i,0.0015803+0.00041105i,0.0018127+7.8457e-05i,0.0010881+9.8867e-05i,0.00070581+0.00068379i,0.00010867+0.00066116i,-0.00028716+0.00031633i,-0.00048799+0.00016483i,-0.00031293-1.4375e-05i,-0.00013352-0.00018292i,-0.00074047+0.00046658i,-0.00075911+0.00093128i,-0.00057819+0.0004538i,-0.00051377-0.00031319i
0.00022276-0.001961i,-0.00050315-0.0025135i,-0.001931-0.0022641i,-0.0023714-0.0019299i,-0.0024531-0.0016712i,-0.0029366-0.00017633i,-0.0017912+0.0010031i,-0.00053533+0.0011833i,-0.00038846+0.00059444i,-0.00029107-0.00067927i,-0.00026212-0.001305i,-0.00057663-0.00073422i,2.0881e-05+4.7088e-05i,0.00049815+0.00042849i,0.00049312+0.0002144i,0.0010761-5.7776e-05i,0.0014169+0.0001048i,0.00093487+0.00048967i,7.1921e-05+0.00050229i,-0.00036785+0.00046334i,-2.1921e-06-2.3092e-05i,2.4779e-05+0.0001465i,-0.00034832+0.00080192i
0.00040836-0.0010325i,6.3408e-05-0.00083466i,0.00080258-0.0006009i,0.00044995-0.00044633i,-0.00056595+0.00052193i,-0.00050839+0.0013839i,-0.00038952+0.00093066i,-0.00038986-4.4745e-05i,0.00017111-0.00057165i,0.00067039-0.00048012i,7.0144e-05-0.00031078i,-9.4493e-05-9.8411e-05i,0.00019049+3.5445e-06i,0.00016084-0.00018472i,0.00012597-0.00020494i,-7.199e-05-6.746e-05i,-0.00022429+0.0001135i,0.00013265+0.00057911i,0.00021488+0.00086195i,0.0001304+0.00052208i,-0.0002917-3.8312e-05i,0.00023952-0.00050691i,0.00069811-0.00085792i
0.0013923+0.00068663i,0.0021955+0.00013994i,0.00061886-0.0019395i,-0.00074895-0.0020246i,-0.0016705-0.00034402i,-0.002006+0.00089842i,-0.0016019+0.0010655i,-0.0009271+0.00034042i,0.00046486-0.00056631i,0.00065198-0.00046597i,0.00031619+0.00018046i,0.00057425-7.9212e-05i,0.00045435-0.00066358i,-0.00029743-0.00045418i,-0.00067195-0.00016581i,6.1964e-05+0.00011496i,0.00029144+5.5544e-05i,0.00019759-0.00047213i,0.00020072-0.00049975i,0.00077336+0.00018714i,0.00066209+0.00035264i,-0.00035795-0.00020352i,-0.00056266+0.00014678i
0.00038758+0.0011654i,0.00060191+0.0001886i,0.00067151-0.00043328i,-0.0006708-0.001072i,-0.0024898-0.0015554i,-0.0035681-0.0012079i,-0.0025802-0.00072299i,-0.00076144-0.00019748i,-1.3926e-05+0.00034994i,0.00012121-3.5416e-05i,-0.00030227-0.00073111i,-0.00027817-0.00051026i,-0.00018073-0.00016268i,-0.00083818+0.00082838i,-0.0020147+0.00081856i,-0.0024818-9.9778e-05i,-0.0011542-0.00058928i,4.9404e-05-0.0010944i,0.00014203+0.00022173i,-0.0001578+0.00096152i,-0.00031827+0.00054644i,-0.00026204+0.00024674i,-0.00044568-0.00032401i
0.0019444-0.00011931i,0.0027662+0.00037451i,0.002158-0.00044641i,0.00050268-0.00070668i,-0.0014578-0.000865i,-0.0025058-0.00070295i,-0.0017371+0.00016883i,-0.00038198+5.6025e-05i,-0.00040806-0.00028006i,-0.00071049-0.00025286i,-7.9331e-05+2.1028e-06i,3.9223e-05+0.00011962i,-0.00016837-0.00021029i,-0.00042829-0.00032479i,-0.00090302+5.0969e-05i,-0.00061228+0.00038547i,-9.6219e-05+4.4669e-05i,-0.00038417-6.0469e-05i,-0.00099566+0.00037387i,-0.0004421+0.00043821i,0.00027816+0.00019444i,-0.00010114-0.00015264i,-0.00012014-0.0007077i
0.00096891+0.00034767i,-9.4263e-05-0.00050112i,0.00070128-0.0012937i,0.00074277-0.00055414i,-0.00076734+0.00068429i,-0.0014968+0.0011002i,-0.001764+0.0007413i,-0.0014586+0.00023775i,-0.00074796+0.00011724i,-0.00012347-5.8666e-05i,0.00058007+0.00018509i,0.00031401+0.0008762i,-6.2595e-05+0.0014365i,-2.9422e-06+0.001107i,-0.00042499+0.00010027i,-0.00041208+4.1284e-06i,-8.9596e-05+0.00064712i,-2.1528e-05+0.00012659i,0.00013544-7.5903e-05i,0.00022368+0.00038178i,-4.0019e-05+0.00072165i,0.00024536+0.0007738i,0.00053473+0.00024676i
0.0011338-0.001996i,0.00012272-0.001979i,-0.00034215-0.0016799i,-0.0010673-0.0014903i,-0.0022461-0.00028515i,-0.0026753+0.0011911i,-0.0019615+0.00080349i,-0.0014259+0.00045527i,-0.0010631+0.00022121i,-0.00085753+7.42e-05i,-0.00083854-0.00014418i,-0.00065638+9.3035e-05i,-0.00042321-0.000186i,0.00036959-0.00011892i,0.0011029+0.00033902i,0.0010981+0.00024648i,0.00038472+0.00048686i,-0.00091851+0.0007674i,-0.00083568+9.5306e-05i,0.00032841-0.00099911i,0.0004138-0.00072888i,0.00051906-6.3995e-05i,0.00077843+0.00029319i
0.0010545-0.00043879i,0.00060354-0.00062973i,0.00018559-3.8118e-05i,-0.0012701+0.00013762i,-0.0022675+0.00022981i,-0.0025809+0.00068612i,-0.0021728+0.00073544i,-0.00053603-0.00026341i,0.00034307-0.00056322i,-0.00011841-0.00020221i,-6.208e-06-4.1326e-05i,0.0002331+5.2609e-05i,0.00011205-9.9606e-06i,-0.00038649+0.00044268i,-0.00072669+0.00086488i,-0.00043039+0.00024823i,-0.00047918-0.00066865i,-0.00058649-0.00080667i,-0.00081755-0.00030441i,-0.00075064-0.00042299i,-0.00040881-0.00029017i,-0.00049781+7.6096e-05i,-0.00048061-0.00026237i
0.0011757-0.0059289i,0.0013946-0.005799i,-0.00097869-0.0052374i,-0.0029982-0.0039654i,-0.0034677-0.0018846i,-0.0024925-0.00013213i,-0.00060863+1.6722e-05i,-0.00033784+4.0353e-05i,-0.00043853+0.00062225i,-0.00025751+0.00061545i,-0.00037294+7.4186e-05i,-0.00016177+0.00072956i,0.00016919+0.0012246i,0.00046962+3.9822e-05i,0.0010055-0.00067878i,0.00086331-0.00042741i,-0.00016197+0.00025024i,-0.0007764+0.00035866i,-0.00063987-9.3035e-05i,-0.00038362-0.00052499i,-0.00030477-0.0007455i,-0.00042844-0.00078378i,-0.00044594+7.1343e-05i
-0.00056869-0.0003043i,-0.0004024-6.9583e-06i,-0.0011822+0.00082133i,-0.0019908+0.0017928i,-0.0027348+0.0012158i,-0.0022381+9.6346e-05i,-0.0011638-0.00032898i,-0.00051882-0.00084982i,0.0002019-0.0001498i,0.0004626+0.0011962i,-0.00022873+0.00082089i,-0.00041468+0.00021494i,0.0004254+0.00039245i,0.00082534-0.00028655i,0.000444-0.00086883i,-8.3453e-05-0.00077534i,-4.7252e-05-0.0007655i,-6.0342e-06-0.00046169i,0.00012302+0.00023748i,0.00044317+0.00047313i,-9.9016e-05-0.00013443i,-0.0010011-0.00031851i,-0.00097579-6.2165e-05i
-0.00077782-0.0017483i,-0.0012104-0.0024266i,-0.0021632-0.0026781i,-0.0024288-0.0022831i,-0.0024063-0.0013704i,-0.0020999-0.00047473i,-0.0017296-0.00016634i,-0.0013115-0.00029194i,-0.00079925-1.458e-05i,-0.00034798+0.00068069i,0.00020548+0.0003578i,0.00035734+0.00028044i,0.00014434+0.0005375i,0.00010476+0.00031791i,-0.00011342+0.00011728i,-0.00021+1.2919e-05i,4.2183e-05+0.0001461i,4.8955e-06+0.00040714i,-0.00063845+0.0009134i,0.00010303+0.00064031i,0.00063667-0.00037032i,0.00023492-0.0008572i,0.00053391-0.00078668i
0.0024946+0.00087348i,0.002176+0.00067194i,0.0018317+0.00064192i,0.00024319-0.00027009i,-0.0016191-0.0010184i,-0.0022507-0.00037384i,-0.0017488+0.00059961i,-0.0017271+0.00070797i,-0.0012044+0.00074105i,1.0501e-05+0.00056524i,0.00037491+0.00013457i,0.00039302-0.00023964i,0.00040785-3.8288e-05i,-9.5015e-05-0.0002072i,-0.00022046-0.00020203i,-0.00046832+0.00062673i,-0.00072999+0.00069398i,-0.00069471-2.6458e-05i,-0.00034867-0.00036925i,-0.00044121-0.00013918i,-0.00028201+9.2656e-05i,0.00017482-0.00027584i,0.00055462-0.00072551i
-0.00020745-0.00081322i,-0.0008234-0.00012828i,-0.00085407-0.00066679i,7.4242e-05-0.00028988i,-0.00053261+0.00045294i,-0.0013177+0.0001749i,-0.00064039-9.6509e-06i,0.00020059+0.00070779i,0.00047454+0.0010158i,-0.00017922+0.00065125i,-0.00087603-0.000118i,-0.00037126-6.2365e-05i,6.7671e-05+0.00046571i,0.00035796+0.00080326i,-0.00018463+0.00036188i,-0.00028462+0.00043197i,-5.8848e-06+0.00072742i,3.351e-05+0.00089582i,0.00017014+0.00012634i,0.0004155-0.00039903i,0.00034532+0.00021293i,3.2963e-05-6.2338e-05i,4.2686e-05-0.00030685i
-0.0016265+0.0014257i,-0.00084723+0.0007998i,-4.2097e-05+0.00038157i,-0.00057482-0.00055704i,-0.00057304-0.00035407i,-0.0011162-0.0004685i,-0.0015176-0.001222i,-0.0007622-0.00059969i,-0.00035589+0.00044297i,0.00037273+0.00093855i,0.0011557+0.00074588i,0.00044411+0.00035533i,0.00012235-0.00065914i,6.087e-06-0.0014333i,-0.00026989-0.0013644i,-0.00056769-0.00065862i,-0.00054374+0.00018205i,-0.00059553+0.00031533i,-0.00066236+0.00026087i,-0.00020386+0.0003839i,-2.8997e-06+0.0002247i,-0.00011859+0.0002582i,7.2241e-05+0.00020359i
0.0012618-0.00026505i,0.0002187-0.00022627i,-0.00057308-0.00012815i,-0.0019999+0.00045988i,-0.0028919+0.00065644i,-0.0030805+0.0011567i,-0.0021176+0.00073844i,-0.0010526-0.0010446i,-0.0010915-0.0015332i,-0.0012724-0.00085928i,-0.00061492-9.9727e-05i,0.00031104+0.00014327i,0.00072321+0.00064369i,0.00093732+0.00038924i,0.00027669+0.00027607i,-0.00035447+0.00071696i,-0.00060543+0.00086035i,-0.00025226+0.0010318i,0.00019136+0.00029147i,0.00047424-0.00022171i,0.00073024-0.00036745i,0.00043295-0.0004491i,-0.00032364-0.00036175i
-0.001563-0.00071446i,-0.00084105-0.00093881i,-0.00087862-0.00026231i,-0.0011965+0.0015046i,-0.0010102+0.0019113i,-0.00055889+0.0013213i,-0.00061685+0.0003484i,-0.00046084-0.00018893i,6.4039e-06+0.00045019i,1.0201e-05+0.00073043i,-0.00046666+0.00042916i,0.00018183+4.6745e-05i,0.0015447-0.0001111i,0.00081144-0.00013535i,0.00012031+0.00030276i,-0.00010757+0.00062079i,-0.0003967+0.00011684i,-0.00051543+0.000412i,-0.00027161+0.00083039i,0.00032395+0.00055493i,0.00028751-0.00041673i,0.00017711-0.00059609i,0.00063401+0.0002143i
-0.0015217-0.00022542i,-0.0021706+0.00052234i,-0.002457-0.00049683i,-0.0026854-0.00045704i,-0.0028683+0.00024236i,-0.0023753+0.0001074i,-0.0019952-6.3834e-05i,-0.00056885-0.00046559i,0.00095085-0.0005288i,0.00038724-0.00027897i,-0.00038422-6.5859e-05i,0.00025692-0.0002256i,7.6241e-05-0.00028523i,-0.00045378+0.00054778i,-0.0005589+0.00083508i,-0.00024132+0.0006302i,6.9521e-05-0.00013836i,0.00011663-0.0003547i,0.00027508+0.00035847i,0.00024221+0.00066933i,-4.9149e-05+0.00047096i,1.4555e-05+0.00033643i,-0.00014016-0.00026278i
-0.00050975+0.0013173i,-0.00021391+0.00038623i,-0.00039871+0.00072481i,-0.00026052+0.00067924i,-0.00075431+2.7427e-05i,-0.0019541-0.00041063i,-0.0020701-0.00032423i,-0.0011008-7.5608e-06i,0.00013706+0.00048268i,0.0012+0.0004738i,0.0010265+0.00042179i,0.00024789+0.00023853i,-0.00012582+0.00047873i,-0.00079838+0.0007138i,-0.001398+0.00025042i,-0.00093389-0.00043483i,6.3133e-05-0.00061046i,7.7067e-05-0.00035856i,2.6731e-05-0.00038996i,0.00016036-0.00052239i,0.00037136-0.0010005i,0.00036482-0.00097519i,0.00062651-0.00038618i
-0.0021684+0.0010798i,-0.0015734+0.00024233i,-0.00029131+0.0010305i,0.00016633+0.0016912i,0.00058376+0.00038952i,0.0004435+8.8282e-05i,0.00029676+0.00030051i,1.2714e-05+0.000258i,-0.0003498+0.0006564i,0.00056445+0.0011987i,0.00073086+0.00056866i,-0.00027824-0.00036869i,-0.0013898-0.00019522i,-0.0008904-7.5218e-05i,9.6819e-05-0.0002489i,-0.00013017-0.00025596i,-0.00016224+2.1773e-05i,-0.00066747+0.00024051i,-0.00050774-0.00019265i,-0.00018075-0.00078054i,-0.00057167-0.00087996i,-0.00071797-0.00040032i,-0.00093413+0.00020152i
-0.00038604+0.00085416i,0.00037879+0.002366i,0.001346+0.0025619i,0.00086048+0.0012393i,-0.0006182-0.00014307i,-0.0017907-0.00063618i,-0.00098863-0.00062103i,0.00065293+0.00017282i,0.0018585+0.00091951i,0.0013024-2.7603e-05i,0.00089779-0.00080992i,0.00095678-2.3132e-05i,0.00017052-4.7658e-05i,-0.00018287+0.00014025i,0.00043306+0.00095167i,0.0012775+0.0006502i,0.00085209+0.00020398i,0.00046991-0.00080975i,0.00027398-0.00095288i,9.7991e-05-0.00015322i,0.0005998-0.00055768i,3.8712e-05-0.0011732i,-0.00055558-0.0010571i
-0.00037296-0.0003837i,-0.0015145-8.5832e-05i,-0.00084213-0.00014387i,-0.00016735-0.0005968i,-0.0010725-0.00093848i,-0.0021946-0.001316i,-0.0019361-0.0010234i,-0.0010464-0.00038754i,7.2507e-05+0.00050602i,0.00033469+0.0005461i,0.00038537+6.411e-05i,0.00025994+0.0002233i,0.00013796+0.00017023i,-0.00014995-9.894e-05i,-0.00067748+7.8993e-05i,-0.00038798+0.00017316i,-7.3012e-05-2.0227e-06i,0.00039958+0.00041911i,0.00082168+0.00033933i,-0.00025156-0.0005106i,-0.0011275-0.00086477i,-0.00088002-0.00056631i,-0.00027229-0.00028098i
-0.00091651-0.00084471i,-0.0011331-0.0020573i,-0.0020803-0.002113i,-0.0018196-0.00086798i,-0.0017488+0.0010658i,-0.0016157+0.0015418i,-6.3401e-05+0.00054954i,0.00068713+0.00012113i,-0.00013392+0.00043778i,-0.0004881+0.00067539i,-0.00012148+0.00062399i,0.00044832-9.0848e-05i,0.00027635-0.00052531i,-0.00030428-0.00072791i,-0.00022893+0.00020405i,1.2465e-05+0.00092481i,-2.423e-05+0.00058274i,-4.1479e-05+0.00043619i,0.00027825+0.00027383i,3.9828e-05+9.9688e-05i,-0.00019542+0.00035301i,-4.2633e-07+0.00012588i,0.00012509-0.00036068i
0.0023373-0.0015895i,0.0015325-0.00083265i,0.00030091-0.0011812i,-0.0015177-0.0012853i,-0.0023822-0.00066874i,-0.0015819+0.00060594i,-0.00069737+0.00045948i,-0.00030909-0.0005412i,0.00047395-0.00089136i,0.00052662-0.00054942i,-0.00018507-0.00012108i,0.00058291-0.00014802i,0.0014169-0.00049359i,0.00058916-0.00062272i,-0.0002374-0.00030417i,-0.0010093-0.00042308i,-0.001291-0.00069946i,-0.0012852-0.00077409i,-0.00048833-0.00027282i,0.00016757-0.00020884i,6.0835e-05-0.00073683i,-0.00075004-0.00031995i,-0.0010141+6.4444e-05i
0.00027775+0.0015089i,-0.00032469+0.0016071i,0.0006518+0.0012219i,0.0018383+0.00038226i,0.0014943+1.9716e-05i,-0.00070678-3.5935e-05i,-0.0012464-0.0006068i,-0.00086158-0.00050736i,-0.00036115-0.00064933i,0.00055828-0.00023317i,0.0005529-0.00021035i,0.00025824+0.00027339i,0.00038811+0.0005153i,0.00052738-0.00052668i,0.00077045-0.00079933i,0.001074-0.00089363i,0.00070486-0.00061521i,0.00023148-0.00033821i,0.00011722-0.00025393i,0.00041722+9.9353e-05i,0.00038299+0.00016883i,-7.9408e-05-0.00019685i,-0.00041273+9.8327e-05i
-0.00049951+0.00054788i,-0.00017422-0.00024466i,0.00043255-0.00084624i,0.001025-0.0012862i,0.00026022-0.0003081i,-0.00087923+0.00027262i,-0.0013182-0.00013391i,-0.00065+0.00052136i,0.00039191+0.00045386i,0.00034912-0.00059859i,0.00016905-0.0007431i,-0.0001549-0.00052804i,-8.5233e-05-0.00051373i,-0.00015204+2.1881e-06i,-0.0002625+4.9159e-05i,-0.00024087-0.00027302i,-0.00049131-0.00010277i,-0.00024853+0.00011i,0.00059059-0.00019216i,0.00090431-0.00037582i,0.00061184-0.0002791i,0.00046277-0.00016334i,0.00019506-0.00036821i
0.00033935+0.00051341i,0.00049376-0.00029894i,-0.00049001+0.00017328i,-0.0015979+0.00015669i,-0.0023202+8.6076e-05i,-0.0023009+0.00053841i,-0.0018511+0.00067784i,-0.0015679+0.00022967i,-0.00089297-0.00027312i,-2.6107e-05+0.00039525i,0.00048477+0.00047214i,0.00025163+0.00055861i,-0.00040381+0.00043159i,-0.00018711-1.4082e-06i,0.00021455+5.1544e-05i,0.00047665+0.00019362i,0.00032868+0.00038994i,5.5832e-05+0.00018772i,0.00025396-0.00012379i,0.00048372+0.00034263i,0.00042921+0.00083545i,0.00038428+0.00066768i,0.00015617+0.00076518i
0.0010282+0.00099079i,0.00068217+0.0010206i,-0.0011259-0.00051022i,-0.0019461-0.00031342i,-0.0026178+0.00095622i,-0.0030699+0.0016815i,-0.0024776+0.0013156i,-0.0011944+0.0010036i,-0.00050476+0.00061081i,-0.00028052+0.00032072i,-0.00026846+4.7577e-05i,0.00033725-0.00075385i,0.00078912-0.00084129i,0.00036476-0.00013943i,0.00074447+0.00023742i,0.00059309+8.5254e-06i,0.00015454-7.3483e-05i,0.00058036+0.00021987i,0.00019247+0.00083931i,-0.00010623+0.0002615i,0.00040065-0.00051029i,0.00021994-0.00082075i,0.00047109-0.00066773i
8.2534e-05-1.4412e-05i,-0.00056419-0.0010588i,-0.0011793-0.0016611i,-0.0013603-0.00173i,-0.0011497-0.001266i,-0.001104-0.00091771i,-0.0010381-0.00055227i,-0.0017313-0.0003722i,-0.0016407-0.00012342i,-0.00020543-0.00024049i,0.00040622-0.00029637i,0.00020532-0.00085123i,0.00019615-0.001015i,0.00030322-0.00013603i,9.0411e-05-7.4047e-05i,0.00027931+4.7059e-05i,0.00069554+0.0003784i,0.00041917-0.00027018i,-0.00024748-0.00033108i,-0.00041996+0.00033781i,-3.6273e-05+0.0001958i,0.00049665-0.00025513i,0.00084283-4.852e-05i
0.0045268-0.0012333i,0.0037313-0.00095474i,0.0022288-0.0010595i,0.00020454-0.0015116i,-0.0018398-0.00079585i,-0.0019318+0.00094394i,-0.00028683+0.0015117i,0.00041758+0.00076566i,-7.1763e-05-0.00042597i,-0.00040987-0.0006231i,-0.00048318+1.3654e-06i,-0.00043266+0.0006752i,0.00010689+0.00021668i,0.0010352-0.00023626i,0.00093774+0.00043289i,0.0001127-0.00041699i,-0.00023634-0.0013621i,-0.00023538-0.0014849i,0.0005848-0.0014487i,0.0011965-0.0007811i,0.0012007+3.2163e-06i,0.00070106-0.00019236i,0.00073983-0.00054431i
-0.0020084+0.0002786i,-0.0028221-0.00030533i,-0.0020348-0.000786i,-0.00066919-0.00064178i,-0.00079007-0.00076449i,-0.0016942-0.0006463i,-0.0025134-0.00013537i,-0.0014822-0.00034459i,-5.3764e-05-0.00012045i,0.00016679-0.00037415i,-0.00036748-0.0010444i,-0.00061323-0.0002387i,-0.00040869+0.00012891i,-0.00024063-0.00037337i,-0.00013497-0.00049631i,8.4284e-05-0.00095394i,0.00025919-0.0012067i,0.00015147-0.00050084i,0.00032646+0.00077982i,8.4621e-05+0.00059082i,0.00011515-0.00096554i,-2.5917e-05-0.0014005i,0.00012485-0.00061349i
-0.0010448+3.019e-05i,-0.00059286-0.00043853i,-0.0002913-0.00012655i,-0.001115+0.00068321i,-0.0011984+0.0006098i,-0.00074727-0.00028241i,-0.00087736-0.00014255i,-2.7601e-05+0.00038351i,0.00067946+0.00076947i,0.00046668+0.00098017i,0.00017162+0.00016136i,0.00011033-0.00086001i,0.00060226-0.0010147i,0.00058837+7.3718e-05i,-9.6837e-05+0.00078317i,-0.00060675+0.0010544i,-0.00067677+0.00051306i,-0.00022458-0.00053015i,0.00053048-0.00012612i,0.0005557+0.00098054i,0.00027307+0.0011437i,0.00048519+0.00040959i,0.00077305+9.2442e-05i
