-0.0045655-0.00016591i,-0.0037+0.0017098i,-0.0030589+0.0033607i,-0.0020613+0.0036072i,-0.00058373+0.0025528i,0.0001611+0.0015978i,-0.0007101+0.00071093i,-0.001556+0.0006802i,-0.001208+0.00061781i,-0.00051094+0.00019457i,0.00039191+0.00024792i,0.00070456+0.00054103i,0.00042253-0.00021341i,-0.0001924-0.0010647i,-0.0011087-0.00164i,-0.00089409-0.0012162i,-0.00020458-0.00027419i,0.00043186-2.9391e-06i,0.00064814+0.00069327i,0.00046788+0.00049937i,0.00053503-0.00037299i,-0.00010336-0.00070866i,-0.00025826-0.00099798i
0.00028657-0.00117i,-0.00034901-0.00089295i,-0.0011703+4.5712e-06i,-0.0012076+0.00050405i,-0.00019234+0.00056297i,0.0013653+0.001253i,0.0016151+0.0013477i,0.00056919+0.00088126i,-0.00049277+0.00074903i,-0.00093818+0.000695i,-0.00060291-0.00015109i,-0.00010121-4.8487e-05i,-0.00015897+0.00032588i,-0.00037061+0.00016401i,-0.00015811+7.0726e-05i,-0.00020224+0.00022882i,9.9069e-05+0.00017845i,-5.7468e-05+0.00048312i,-0.000529+0.00076113i,-0.00071993+0.00087273i,-0.00039764+0.0011864i,0.00035393+0.00067696i,0.00072381+0.00021589i
0.00019696-0.0007142i,-0.00012239-6.4291e-05i,-6.059e-05+4.1357e-05i,0.00025702+0.00043515i,0.00076288+0.00083089i,0.0010245+5.0829e-05i,0.00046644-0.00031216i,-0.00017312-0.00034i,-7.0494e-05-0.00059586i,-0.00010095-0.00083718i,-0.00077987-0.0009836i,-0.00079759-0.00094134i,-4.3895e-05-0.00016589i,0.00042142-7.9086e-06i,0.00033216-0.00019824i,0.00014645+0.00051621i,0.00013979+0.00019277i,-0.00010021-0.00075905i,-0.00030221-0.00050316i,-0.00062911-0.00021151i,-0.00092048-0.0004844i,-0.00079611+0.00037819i,-1.8809e-05+0.00088297i
0.0017664+0.0011002i,0.0019253+0.00090884i,0.0011753-0.00017632i,0.00056128-0.0019248i,0.00018084-0.002448i,-0.00051861-0.0028865i,-0.0003799-0.0024746i,-0.00070418-0.00067459i,-0.001377+0.00051463i,-0.0016598+0.00033352i,-0.00088467-3.7654e-05i,0.00081428+0.00027216i,0.00090776+0.00077276i,-8.8408e-05+0.001007i,-0.00042107-0.00013792i,-5.627e-05-0.00025575i,-0.00016897+0.00028149i,-0.00025608+0.0002386i,-0.00015731+0.00061364i,-0.00032453+0.00064049i,-0.00026314+0.00028546i,-0.0003022+0.00016882i,-9.0022e-06-0.00060555i
0.0012273+0.00067169i,0.0013493+0.00047731i,0.0015288-0.00028638i,0.0012581-0.00040432i,-6.5943e-05-0.00014993i,-0.00061801-0.00010771i,-0.00034015-0.0006001i,-0.0010116-0.00038778i,-0.0013508-0.00026514i,-0.00071349-0.00033161i,0.00028685-0.00034426i,0.00041257-0.00055677i,0.00015338-0.0003626i,0.00019199+0.00025487i,-0.00042932+7.8066e-05i,-0.00038132-0.00026896i,3.2806e-06-0.00026331i,1.409e-05-0.00015702i,0.00011979+0.00064999i,-0.00036688+0.0012763i,-0.0004866+0.0010416i,9.5519e-05+0.0003247i,0.00015875-0.00027891i
-0.00044033+0.0012588i,0.001522+0.0018522i,0.0015292+0.0028136i,0.0010557+0.0022156i,0.001614+0.00089742i,0.0012616-0.00014633i,-9.4712e-05-0.0010334i,-0.0011914-0.00090152i,-0.0010957+1.6358e-05i,-0.00068642-9.6718e-06i,-0.00039324-0.00060162i,0.00017644-0.00076589i,0.00032182+2.5659e-06i,-0.00086225+0.00066695i,-0.0018171+0.00036213i,-0.0019893+0.00069258i,-0.0013052+0.00090452i,-0.00014685+0.00080001i,0.00024239+0.00034292i,-0.00031635+0.00011264i,-0.00065914+0.00054535i,-0.0011335+0.00023759i,-0.0017929-0.00021062i
0.00033599+0.0005762i,0.00067294+0.00051386i,0.0011891+0.00028222i,0.001082+1.1511e-05i,0.00044315-0.00068175i,4.8118e-05-0.00027836i,0.00017956-0.00047284i,0.00029558-0.00015709i,-0.00028882+0.00029187i,-0.00013588-0.0001554i,8.9919e-05-0.00048011i,0.00034569-0.00033448i,0.00024817-6.1407e-05i,-0.00019957+0.00018522i,-0.00011917-0.00025959i,-0.00054351-0.00063187i,-0.00058757-3.0853e-05i,-0.00045612+0.00025678i,0.00018446+0.00020484i,0.00057925-3.6431e-06i,0.0011335-0.00046983i,0.00125-0.0010446i,1.5341e-05-0.00070911i
3.7617e-05+0.0012454i,-0.0003485+0.0028213i,6.6533e-05+0.0031898i,0.00057051+0.0024456i,0.0003142+0.0014968i,0.00010244+0.00057492i,-4.6161e-05+0.00053347i,-0.0010524+0.00090021i,-0.0016119+0.00046066i,-0.0010464+0.00022681i,-0.00051639+0.00037823i,-0.00092595-2.354e-05i,-0.00096293+0.00014488i,-0.00025382+0.00018657i,-0.00029329+0.00031954i,-0.00075094+6.9299e-05i,-0.00078086-3.2181e-05i,-0.0011374+0.00046637i,-0.0013014+0.00056435i,-0.00027029+0.00058327i,6.2185e-05+0.00062724i,0.00019748+8.4754e-05i,0.00062747-0.00040607i
-0.00074158-0.00014917i,-0.001014-0.0013592i,-0.0011595-0.0010671i,-0.00021596+0.00045571i,0.00055511+0.00092394i,0.00079241-0.00039573i,0.00065891-0.00088025i,0.00053067-0.00053372i,-0.00042341+0.00014761i,-0.0011154+0.00068255i,-0.00032784+0.00022547i,0.00045601+4.3796e-05i,0.00059088+0.00069732i,-3.6909e-05+0.00060298i,-0.00039388-0.00012674i,-0.00027221-0.00022047i,-5.7498e-07+0.00032149i,0.0004829+0.00090083i,0.00044522+0.00089031i,0.00030541+0.00070496i,0.00021736-0.00030687i,0.00037924-0.0010223i,0.00011245-0.00059399i
0.0023255+0.0003697i,0.0038179-0.00013247i,0.0037343-0.0018204i,0.0026585-0.002063i,0.00096003-0.0017822i,-0.00014223-0.0020972i,-0.00051318-0.0010223i,-0.0013174+0.00018007i,-0.0006732+0.00026039i,9.6522e-05+9.8873e-05i,-0.00060054+0.00071865i,-0.00098467+0.0011639i,-0.000539+0.0013677i,-0.00022194+0.0013229i,0.00031972+0.00038782i,0.00063177+0.00011828i,-8.5087e-05+0.0011003i,-0.00017707+0.00076247i,0.00084595+0.00082634i,0.0015011+0.0011278i,0.0013837+0.00088758i,0.00021754+0.0009273i,-0.00070421+0.00096036i
-0.0014423+0.00067134i,-0.00069942+0.00016258i,-8.661e-05+0.00045349i,0.00045002+9.606e-05i,0.00092708+0.000526i,0.00090547+0.0006924i,-0.00041995-5.2979e-05i,-0.0012872-4.4337e-05i,-0.0013837-0.00066426i,-0.00092047-0.00091392i,-0.00025581-0.00037751i,0.00022971-0.00039939i,-0.00021044+0.00027168i,-0.0010171+0.00065125i,-0.00074766+0.00069368i,-0.00041028+0.0013726i,-0.00042356+0.0015024i,0.00056301+0.0006413i,0.00047861-0.0003555i,-0.00076088-0.00034733i,-0.00082535+0.00026658i,-0.00061911+0.00052351i,-0.00010072+0.00097699i
