-0.0045655-0.00016591i,-0.0037+0.0017098i,-0.0030589+0.0033607i,-0.0020613+0.0036072i,-0.00058373+0.0025528i,0.0001611+0.0015978i,-0.0007101+0.00071093i,-0.001556+0.0006802i,-0.001208+0.00061781i,-0.00051094+0.00019457i,0.00039191+0.00024792i,0.00070456+0.00054103i,0.00042253-0.00021341i,-0.0001924-0.0010647i,-0.0011087-0.00164i,-0.00089409-0.0012162i,-0.00020458-0.00027419i,0.00043186-2.9391e-06i,0.00064814+0.00069327i,0.00046788+0.00049937i,0.00053503-0.00037299i,-0.00010336-0.00070866i,-0.00025826-0.00099798i
-0.0015467+0.00081675i,-0.00028171+0.0010332i,0.00032272+0.0023046i,0.00074518+0.0027463i,0.00064867+0.0020325i,0.00019446+0.00083436i,-0.00017427-0.00023454i,-0.00081391-0.00031444i,-0.00092613+0.00085363i,-0.00058921+0.0010843i,-3.9572e-05-0.00014721i,-0.00040506-0.00063159i,-0.00079924-0.00063275i,-0.0010674-0.0010313i,-0.0012464-0.0012043i,-0.0011676-0.0010326i,-0.00057886-0.00038475i,0.00016808+9.8961e-05i,-0.00047902+0.00045951i,-0.0010769+0.00066394i,-0.00053175-0.00012026i,-0.00021088+8.6452e-05i,0.00012596+0.00076011i
6.4653e-05-1.9821e-05i,0.00028313-0.00099521i,0.00057847-0.0013497i,0.0013574-0.00043071i,0.0019832-0.00015624i,0.00090278-0.00044117i,-0.00045886-0.001126i,-0.00043533-0.00095928i,3.5472e-05-0.00021073i,0.00048634-0.00017046i,0.00052938-0.001095i,0.00039693-0.0022021i,0.00032891-0.0017279i,-0.00062518-0.00015283i,-0.0013636+0.00026799i,-0.00062582+0.00014585i,6.3924e-05+0.00012054i,-0.00020439-0.00014498i,-0.00067991-0.00046149i,-0.00044233-0.00034833i,2.029e-05-0.00020545i,-0.00018532-0.00010841i,-0.00085993-7.3992e-05i
0.00065699-0.00029879i,0.0012028-0.00032044i,0.0012194+0.00029152i,0.00070497+0.0006263i,2.4268e-05-0.00050659i,0.00047257-0.0014092i,0.001073-0.00087637i,9.8973e-05-0.00063762i,-0.00029159-0.0012881i,-4.9127e-05-0.001674i,0.00063423-0.0013006i,0.00059365-0.0010774i,-0.00010234-0.00096762i,-0.00051656-0.00057977i,-0.00046315-0.00045198i,-0.0004557-0.0010175i,-0.00084171-0.0008826i,-0.0011558-0.00090259i,-0.0010347-0.0012899i,-0.00032917-0.00086548i,-2.3953e-06-0.00057712i,-0.00043791-0.00019229i,-0.00084144-8.5093e-06i
0.0026867-0.00050895i,0.0021673-0.0011938i,0.00049445-0.0013318i,-0.00086711-0.0012074i,-0.0011355-0.00092591i,-0.0015045-0.00033399i,-0.0015749-0.00020757i,-0.00060736-0.0007419i,-0.00010926-0.0015256i,-0.00012961-0.0017959i,-0.00048574-0.0018022i,-0.00098826-0.0013499i,-0.0010901+0.00018291i,-0.00024822+0.00080066i,-0.00013875+0.00067662i,-0.0006139+0.00040432i,-0.00091151-5.2183e-05i,-0.0011687-0.00024869i,-0.00060617+0.0001347i,-0.00026526+0.0010928i,-0.00079895+0.0012841i,-0.0008759+0.00054652i,-8.3638e-05-5.662e-05i
0.00073597+0.0010901i,0.0016657+0.0014307i,0.0020093+0.00073128i,0.0025462+5.0868e-05i,0.0022765+0.0007805i,0.0011015+0.0012724i,0.00031998+0.00034083i,-0.00018471-0.0011569i,-0.00035273-0.0014478i,-7.5977e-05-0.0015232i,-0.00062246-0.0010223i,-0.0018128-0.00059442i,-0.0014643-0.00071272i,-0.00089167-0.00049723i,-0.0011352+8.5294e-05i,-0.00057221+0.00061814i,4.1763e-05+0.0009394i,-0.00063808+0.0012675i,-0.001122+0.00070802i,-0.00079457+0.0006329i,-0.00012199+0.00064558i,0.00041449+0.00027424i,-0.00018311+4.9231e-05i
-0.00093622-0.00054541i,-0.0012464-0.00031993i,-0.00069938-0.0001993i,-6.6047e-05+0.00030731i,0.00051136-4.9709e-05i,0.00035654-0.00041794i,-0.00063153-0.00068363i,-0.00097691-0.00031421i,-0.00040376-0.00085888i,-0.00069677-0.0018906i,-0.0016079-0.0010827i,-0.0017434+0.00031018i,-0.0012194-9.8408e-05i,-0.0012235-0.00094291i,-0.00099506-0.00059651i,-0.00044-0.00022687i,-0.00057473-0.00044716i,-0.00098304-0.00030562i,-0.00057032+0.00033569i,-1.2988e-05+0.00077096i,0.00014015+0.00076942i,0.00034566+7.0953e-05i,0.00052916+5.418e-05i
0.00024241+7.8248e-05i,0.00032326-0.00073945i,0.0012221-0.0006519i,0.0012081+5.1177e-05i,0.00049594+0.00043325i,0.0002716+0.00023503i,0.00018552+8.0261e-05i,0.00017452+0.00055066i,5.5775e-05+0.00064212i,-0.00038762+0.00017141i,-0.00060593-0.00074021i,-0.00044181-0.00035231i,-0.00074456+0.00020901i,-0.00059114+0.0006618i,0.00023478+0.00085279i,0.00045529+0.0001553i,-8.6694e-05-0.0001744i,-0.0012383-0.00040177i,-0.0014739-0.00018925i,-0.0013699+2.4835e-05i,-0.00057883-0.00017766i,0.00018384+3.2229e-05i,-0.00028949+0.00034357i
0.0011451-0.00063918i,0.0020697-0.0016651i,0.0013634-0.0022015i,-0.0005561-0.0015895i,-0.00022588-0.00082596i,-4.6377e-05-0.00038285i,0.0002329-0.00013525i,1.5891e-05-0.00061056i,-0.00020659-0.00069012i,0.00073586+0.00015977i,0.0012967+0.00064802i,0.0011971+0.0010552i,0.00023354+0.0013237i,-3.7565e-06+0.00092491i,0.0005079-0.00022153i,0.00023141-0.0010122i,0.0001504-0.00055779i,0.0002713+0.00029884i,-0.0003571+0.00054638i,-0.0005146-0.00024944i,-0.00030981+5.9867e-05i,-0.00027012+0.00027374i,0.00086019-0.00037207i
0.0012315+0.0020679i,0.0025987+0.0019067i,0.0020377+0.0015128i,0.0014952+0.0013259i,0.0014237+0.00070298i,0.00081541+0.00024153i,0.00063048+2.6987e-05i,0.00063406+6.4694e-05i,0.00048986-0.0003647i,0.00063164-0.00077448i,0.00085157-0.00023955i,0.00018772-6.4149e-05i,-0.00058754-0.00032978i,-2.0233e-05+0.00014619i,0.00041016+0.00023222i,4.8412e-05-6.0056e-05i,-0.00069172+0.000862i,-0.00016988+0.0010543i,0.00032118-4.8089e-05i,5.5613e-05-0.00030851i,-4.7261e-05+0.00057045i,-0.00080928+0.0010103i,-0.00041084+0.0010331i
-0.00061369+0.00035685i,-0.00088033+0.0006125i,-0.0004846+0.0012131i,-4.4918e-05-0.00012651i,0.00085473-0.00055604i,0.00055224+7.5925e-05i,-0.00073268-0.00067847i,-0.0012246-0.0010069i,-0.00036557-0.0011831i,0.0009368-0.0012991i,0.0014108-0.00074031i,0.00088519+1.1022e-06i,0.00016565+5.5344e-05i,-0.0004112-0.00049257i,-0.00081836-0.00018765i,-0.00038103+0.0001164i,-0.00027827+0.0001477i,-0.00071188-0.000235i,-0.0005934-0.00058839i,-0.00057379+0.00014157i,-0.00081581+0.00086829i,-0.0010883+0.0011342i,-0.0010362+0.0011941i
0.0018447-0.00049292i,0.00050463-0.0022363i,0.00091324-0.0029083i,0.0015231-0.0018725i,0.00097046-0.00083665i,-0.00021124-0.0010911i,0.00054213-0.00091379i,0.00042175-0.00024155i,-0.00080301-6.0629e-05i,-0.0004126-9.9406e-05i,-0.00070944-0.00067192i,-0.0015951-0.00074787i,-0.0014796+0.00023695i,-0.00013263+0.00059845i,0.00028919+0.00061857i,-6.538e-05-0.00023301i,-7.7284e-05-0.00050913i,-0.00026784-2.179e-05i,-0.00036395-0.00019823i,-0.00032863-0.00041092i,-9.8174e-05+0.0007768i,-0.00057741+0.0014834i,-0.00067119+0.00093198i
-0.00063949-0.0011399i,-0.00021537-0.00046301i,-0.00050574+0.00090737i,-0.00030076+0.0012517i,0.00064153+0.0011508i,0.00097406+0.00032108i,0.0011016-0.001218i,0.0013553-0.0012582i,0.00089021-0.00011409i,-0.00023757-0.00054921i,-0.00050393-0.0014311i,-0.00018081-0.0014512i,-0.00012008-0.0006076i,-7.7487e-05-7.7876e-06i,2.5259e-05-0.00052804i,-3.6153e-05-0.00056815i,-0.00042116-1.4584e-05i,-0.00044488+0.00022458i,-0.00015908+0.00034419i,0.00023628+0.00046721i,1.718e-05+0.00025763i,-0.00012143+0.00030722i,-0.00014616+0.00059152i
-0.00089429+0.0010291i,-0.0011326+0.0012422i,-0.00074193+0.00066951i,-3.0189e-05+0.00018288i,-0.00014778+0.00030358i,-0.00015014+0.00025809i,6.7706e-05-0.00019768i,-0.00046954-0.0012218i,-0.0012396-0.0013476i,-0.0012489-0.00080736i,-0.0010695-0.00090115i,-0.0013477-0.0005017i,-0.00095751-0.00034058i,-0.00055689-0.00096519i,-0.00036625-0.0006125i,-0.00015231+0.00022535i,5.1313e-05+0.00019251i,-0.00017811+5.7501e-06i,-0.00087384+0.00015721i,-0.00052114-0.00028455i,0.00051884-0.00014785i,0.00089761+0.00038392i,0.00047668+2.1687e-05i
-0.001921-0.0017122i,-0.0026436-0.00038383i,-0.0036684+0.0017759i,-0.0028018+0.0027148i,-0.00096713+0.0024136i,0.00023081+0.0018172i,0.00066646+0.00074283i,0.0001951-0.00073787i,-0.0007185-0.0016225i,-0.00081954-0.001297i,-0.00068392-0.00070599i,-0.00027485-0.0011193i,0.0004507-0.0017414i,0.0011667-0.0012942i,0.0017887-0.001035i,0.0012545-0.0009869i,-0.00040122-2.9898e-05i,-0.0014331-4.0284e-05i,-0.0013038-0.00070351i,-0.00067161-0.00072268i,-0.00086573+0.00033599i,-0.0011334+0.00079512i,-0.00091575-0.00035048i
0.00084302-0.00055477i,0.00086395-0.00087531i,0.00075418-0.00091117i,0.00067111-0.0012384i,0.0005957-0.0017057i,-0.00036275-0.0011674i,-0.00085463-0.0010366i,-0.00060109-0.0012497i,-0.00024326-0.00054815i,0.00033004-0.0003017i,0.00078573-0.00035718i,6.2823e-05-0.00012803i,-0.00017901-0.00010729i,0.00046216+4.9461e-05i,-8.3145e-06+0.00032894i,-0.00077705+0.00089315i,-0.00060612+0.0012582i,0.00032996+0.00093354i,0.00094362+0.00019286i,0.00088266-0.00076819i,-0.00013942-0.0013566i,-0.00056849-0.001015i,-9.0517e-05-0.0005156i
0.0010096+0.00049208i,-0.00027927+7.9921e-06i,-0.00012328-0.00026768i,0.00025127-0.00027435i,-0.00017126-0.00052501i,-0.00095312-0.0013912i,-0.00092655-0.0011794i,-0.00046914-0.00014746i,0.00027815-7.6401e-05i,0.00089936-0.00018654i,0.00032573-0.00072931i,-0.00036279-0.00056031i,-0.00042636+0.00050953i,-0.00039102+0.00090543i,2.7538e-05+0.00050749i,0.00015171+7.0744e-05i,-6.6159e-05+0.00042169i,9.1385e-06+0.00019428i,0.00041311-8.7017e-05i,3.8193e-05+0.00036273i,-0.00045576+3.0106e-05i,-0.0004803-0.00046707i,0.00012256+0.00014426i
0.00091348+0.00018163i,0.00031339-0.0013178i,-0.00040949-0.0012014i,0.00017025-0.00050827i,0.00097479-0.00048338i,0.0006431-0.00059592i,0.00051481-0.00094871i,0.00072776-0.0010834i,0.00030799-0.0013222i,6.0642e-05-0.0011905i,0.00032493-0.00025248i,0.00061753+0.00032697i,0.00061815-0.0002172i,0.0002794-0.00090333i,0.00010808-0.00043829i,-5.5813e-05+0.0002701i,-0.00072765+0.0003391i,-0.0013147+0.00051856i,-0.0013296+0.00070598i,-0.00098434+0.00081823i,-0.00055274+0.00067675i,-0.00051917+0.00028555i,-0.00049239-0.00023765i
-0.00074485-0.0011529i,-0.00053599-0.0008882i,-0.00086047+0.00015842i,-0.0013747+0.00077845i,-0.00089112+0.00033068i,0.0006833-0.00024795i,0.0010681+0.0001622i,-0.00093427+0.00015921i,-0.0020579-0.00042062i,-0.0015634-0.0011273i,-0.00060117-0.0014771i,-0.0003736-0.0012399i,-0.00025935-0.0013068i,0.00016349-0.0011978i,0.00011984-0.00048522i,8.5045e-05+0.00034679i,-0.00012965+0.00084662i,-0.00052629+5.5802e-05i,-0.00066737-0.00089735i,-0.00032562-0.00085365i,0.00036009-0.00023777i,0.00039354+0.00016728i,-0.00025221+0.00037322i
0.00075494-0.00028577i,1.3255e-05-0.00038889i,-0.00040746-0.0004098i,-0.00025413+0.00014283i,0.00018064+0.00016492i,0.00025136+0.00019446i,-0.00012435-0.00049553i,-0.00035608-0.001568i,2.9753e-05-0.0018597i,0.0003978-0.0016567i,7.3915e-05-0.00088853i,-0.00030631-0.00027568i,-0.00048312+0.00010988i,-0.00042618+8.8416e-05i,-0.00020937-0.00044211i,0.00014892-0.00030959i,-0.00035193+0.00039411i,-0.00088881+0.00027331i,3.2215e-05+0.00013771i,0.0010007+0.00015118i,0.001234+0.00027545i,0.00029775+0.00071202i,-0.00055496+0.0007895i
-0.00079569+0.0020884i,-0.00031757+0.0027388i,0.0011987+0.0025402i,0.0023228+0.00031517i,0.002487-0.0013072i,0.0014226-0.0020565i,0.00042969-0.0016966i,-0.00014365-0.0014066i,9.4547e-05-0.0012462i,5.8969e-05-0.00016679i,-0.00052868-0.00017586i,-0.00075993-0.00044578i,-0.0016278+0.00061605i,-0.0018543+0.00081007i,-0.00019716-0.00021791i,0.00046578-0.00052555i,0.00059629+0.0001298i,0.00049149+0.00028729i,-0.00016473-0.00047843i,-0.0001289-0.00032308i,0.00025666-1.2963e-05i,0.00011861-0.00041363i,-0.00074862-0.00020174i
-0.0017447+0.0017765i,-0.0011623+0.001959i,-0.00021989+0.0016951i,6.5004e-05+0.0019621i,-0.00012721+0.001811i,1.486e-05+0.00016235i,8.8488e-05-0.00080738i,-0.00038831-0.0007317i,-7.5017e-05-0.00034781i,0.00066911-0.00047063i,-0.00016886-0.00066056i,-0.00066364-0.00088988i,-0.00026182-0.00096679i,-0.00071135-0.00076349i,-0.0010013-0.00064548i,-0.00033047-0.00032692i,-0.00021445-7.5113e-05i,-4.2353e-05-0.00012189i,0.00012389-0.00014456i,2.7192e-06-0.00031294i,5.1405e-05-0.00088329i,-0.00015722-0.0012323i,-0.00017729-0.001513i
0.00012709+0.0009221i,-0.0014166+0.00064429i,-0.0017941-4.4125e-05i,-0.0004488+0.0004656i,0.00048037+0.0011052i,0.00075967+0.00067581i,9.931e-05-0.00023963i,-0.00067403-0.00098271i,-0.0012158-0.0014805i,-0.00058938-0.0014535i,0.00022337-0.0013019i,0.00082936-0.00083544i,0.0013911-0.00052394i,0.0011908-0.00054256i,0.00059141-0.00061252i,-0.00016159-0.00037245i,-0.0008645-0.00054103i,-0.00089126-0.00065442i,-0.00081498-0.00043018i,-0.00068539-0.00041793i,-1.4593e-05-0.00013248i,7.9623e-05-0.00015406i,0.00067603-0.00044582i
-0.00056788-0.00050004i,0.00063349-2.0108e-05i,0.0014019-0.00019866i,0.0023425-0.00086981i,0.0032276-0.00050056i,0.0024149-0.00092405i,0.00021603-0.0017401i,-0.00055834-0.0013158i,-0.00032991-0.00079111i,-0.00060135-0.00025292i,0.00031145-0.00029003i,0.00056123+0.00016528i,-0.00047029+0.00081959i,-0.00082863+9.3988e-05i,-0.00010521-0.00069254i,0.00025592+5.1315e-05i,1.6155e-05+0.00066188i,-0.00026357+0.00010647i,-0.00040162-0.00031943i,-0.00012476+8.1565e-05i,-0.0010359+0.00033231i,-0.0016138+6.853e-05i,-0.00066475+0.0004572i
0.0009105-0.000167i,0.0021184+0.00077994i,0.0020038+0.0013508i,0.00041442+0.00064932i,4.7184e-05+8.564e-05i,0.00020025+0.00057765i,0.00016157+0.00019687i,-0.00018761-0.0007813i,-0.00030791-0.0012002i,-0.00010582-0.0014614i,-0.0001646-0.00077577i,-0.00085781-0.00038412i,-0.00087512-0.00019889i,-6.325e-05-2.5498e-05i,0.0002034-0.0004643i,9.0343e-06-0.00021026i,-0.00061657-0.00039456i,-0.00068639-0.0006962i,-0.00028762-8.7071e-05i,0.0001916+7.1037e-05i,-0.0001205+0.00034093i,-0.00075109+0.00020861i,-0.0013365+0.00044843i
0.0024401-0.0015575i,0.0017221-0.002635i,0.00035839-0.0029762i,-0.00065224-0.0025868i,-0.0014138-0.001918i,-0.0012651-0.0012034i,0.00046549-0.0004393i,0.00098672-0.00050936i,0.00057874-0.0007663i,0.00028063-0.00049226i,-0.00029354-0.0003572i,-0.0010368-0.00066364i,-0.0011289-0.0010601i,0.00019495-0.0010329i,0.0015915-0.00090641i,0.00083035-0.00044123i,0.00019433-1.6823e-05i,0.00061368-2.8099e-05i,0.00040066+0.00031072i,0.00015159+0.00075143i,0.00081838+4.4055e-05i,0.0009547-5.8819e-05i,0.00031339+5.0032e-05i
-0.0019745+0.00072903i,-0.0022814+0.00043806i,-0.00091344+0.0017694i,0.0010191+0.0026168i,0.0023477+0.0014338i,0.0022789-0.00041312i,0.0010733-0.0011661i,-0.00027082-0.0014793i,-0.0013099-0.0012214i,-0.00071921-0.00030608i,0.00023129-0.00030933i,-0.00023939-0.00043131i,-0.0003681-0.00046245i,-0.0002002-0.00057276i,-0.00074678+2.6877e-05i,-0.0004875-0.00018918i,-5.4814e-05-0.00019518i,-0.00057609+0.00043384i,-0.00045613+0.00069111i,-0.00044498+0.0001798i,-0.00043362-0.0004999i,0.00011834-0.00027313i,2.6488e-05+0.00020102i
-0.0012809+0.00034778i,-0.0011635-0.0003436i,-0.001757-0.00084703i,-0.0010845+0.00014377i,-0.00028316+0.0012009i,0.0004829+0.0011206i,0.00037649+0.00013794i,-5.3171e-05-0.00087329i,-0.00063038-0.00047511i,-0.00099266-0.00039657i,0.00015715-0.00019169i,0.00072215+0.00065641i,0.00023614+0.00034154i,0.00025957-0.00052939i,-0.00017027-0.00046893i,-0.00080886+0.00043116i,-0.00034543+0.00090844i,-7.2787e-05+0.00037812i,-9.0416e-05+4.2975e-05i,-0.00028889-0.00067143i,-0.00029552-0.001403i,0.00035649-0.00076104i,0.00050276+0.00016138i
0.001578+0.0012471i,0.0018878+0.0011953i,0.0024703+0.00086913i,0.002708+0.00080904i,0.0019685+0.00033077i,0.00072397-0.00052153i,-0.00027805-0.0011902i,-0.0016293-0.0011053i,-0.0014432-0.00097765i,-0.00075323-0.0013299i,-0.00044214-0.0012276i,-0.00067059-6.671e-06i,-0.00091997+0.0012837i,-0.00048408+0.00099403i,-0.00011314+8.9094e-05i,-0.00023681+0.00017472i,-0.00046784+0.00014154i,-0.00068636+0.00024185i,-0.00078214+0.00054576i,-4.4387e-05+0.00023733i,0.00029847-0.00036557i,0.00027916-0.00010394i,-0.00032805-0.00011906i
-0.00026113+0.00090133i,-0.0015224+0.0012443i,-0.0015399+0.0014467i,0.00047053+0.00088952i,0.0013711+0.00083362i,0.00070835+0.00058869i,-0.00011174-6.6838e-05i,-0.00084244-0.00024735i,-0.0011149-0.0003974i,-0.0006464-0.00065508i,-0.00010481-0.0015686i,-0.00065831-0.0019118i,-0.0012055-0.00087744i,-0.00070775-0.00034088i,-0.00046618-0.00043005i,-0.0001763-0.00072208i,0.00015942-0.0011502i,9.6915e-05-0.0015247i,8.3712e-05-0.00098703i,0.00020342-0.00022856i,1.4191e-05-0.00027985i,-7.1219e-05-0.00062886i,1.4969e-05-0.00027252i
0.0023316+0.00057327i,0.0022176-0.0014659i,0.0016567-0.0016529i,0.0010374-0.0011821i,0.00055882-0.0021662i,-0.00049077-0.0020823i,-0.00075455-0.00013454i,0.00027707+0.00059052i,0.00069166-7.4008e-05i,0.00063671-0.00060617i,0.00018468-0.00089896i,-0.00010333-0.0015055i,0.00074168-0.0014201i,0.0013451-0.0010207i,0.00058871+0.00015606i,-0.00065451+0.00068345i,-0.00087357-0.0002705i,-0.00047722-0.00037964i,-0.0006421+0.00022516i,-0.0011141+0.00025513i,-0.0017489-0.00019267i,-0.0012023-0.00010464i,-0.00071035+0.00034412i
0.00041615+0.0007294i,0.00087504+0.0010282i,0.0012526+0.0011046i,0.0014659+0.0010861i,0.0022182+0.00062974i,0.0019255+5.0009e-06i,0.00027736-0.0012345i,-0.00081607-0.00075008i,-0.00078468+1.2395e-05i,-3.3534e-05-0.00042789i,-7.6614e-05-0.00071524i,6.4968e-05-0.001252i,0.00071204-0.0011603i,0.00091488-0.00045252i,0.0011457-8.6891e-05i,0.00080272-0.00063956i,0.00032416-0.0002996i,-0.0003493+0.0003981i,-0.00015679+0.00055373i,-0.00037682+0.00093098i,-0.00080563+0.0010695i,0.00029007+0.00065866i,0.00080822+0.00050327i
0.00050881+0.00017594i,0.00042766+0.001206i,-1.6507e-06+0.0009596i,0.0001053+0.00033619i,0.00089379-0.00018745i,0.0009841-0.00052548i,0.00048625-0.00091997i,-0.00071921-0.00041405i,-0.00075055-0.00070798i,-0.00058589-0.00105i,-0.0014763-0.00034088i,-0.0017449+0.00025447i,-0.0018316-0.00024092i,-0.0014867-0.00055255i,-0.00094056-0.00034578i,-0.0010942-0.00021697i,-0.0017277+0.00013277i,-0.0016398+0.00018018i,-0.00046326+0.000177i,0.00039341+0.00020317i,0.00047366-0.00016725i,-0.00053398-0.00065642i,-0.00044664-0.00031201i
5.4882e-05-0.00055443i,-0.00018464-0.00015726i,0.00087403-0.0003662i,0.00080649+0.00031782i,-0.00087224+0.00042475i,-0.0015951-4.4235e-05i,-0.00156-0.00060541i,-0.0014273-0.0010835i,-0.0010548-0.0012241i,0.00039461-0.001036i,0.00060357-0.0010895i,-0.00053774-0.00077017i,-0.0015879-3.1383e-05i,-0.0016834-0.00061997i,-0.0014255-0.0019241i,-0.001032-0.0017248i,-0.00086159-0.00073922i,-0.0010404+0.00028756i,-0.00060619+0.0010363i,-7.0316e-05+0.0010603i,-0.00013787+0.00049855i,-0.00010307-0.0005442i,5.6288e-05-0.00058094i
0.0016124-0.00054377i,0.00091841-0.0019948i,-0.00066444-0.0021555i,-0.00065379-0.00098568i,-0.00044837-0.00021816i,-0.00059676+0.00022498i,-0.0003204-3.8164e-05i,0.00059394-0.00070119i,0.0010019-0.0010648i,0.00080958-0.0017361i,0.00056858-0.0021471i,0.00014008-0.0019708i,8.1414e-05-0.0012034i,0.00025043-0.00031445i,-0.00010238+2.0762e-05i,-0.0002164-0.00026055i,-9.4571e-05+0.00012551i,-0.00044054+0.00030116i,-0.00061795+0.0002357i,-0.00045882+0.00045413i,0.0002858+0.000395i,0.00036149-0.00024159i,0.00017888-0.00076595i
0.00065339+0.00059706i,0.0014514-0.0011233i,0.0018216-0.002362i,0.0016144-0.0017357i,0.00080945-0.00042988i,0.00055585-9.4551e-05i,0.00058779-5.9115e-05i,0.00029374-0.00031363i,8.1604e-05+0.00022652i,-7.0584e-05+0.00039066i,0.00010915-0.00072492i,0.00044554-0.0009266i,0.0004712+0.00021732i,0.00014112+0.00079805i,-0.00041181+0.0015685i,-0.00017492+0.0015413i,0.00035161+0.00087903i,-6.2752e-06+0.00040445i,-0.00016873+0.00049614i,-0.00025084+0.00040118i,-0.00046579-0.00020017i,-0.00022918-0.00052079i,-4.7957e-05-0.0001146i
-0.0015294-0.00013795i,-0.0012623+0.0014529i,-0.001705+0.0021869i,-0.0015086+0.001641i,-0.00038432+0.0017351i,0.00038705+0.0016323i,0.00067474+0.00052121i,0.00070178-0.00045779i,-0.00016615-0.00058533i,-0.001425-0.00098811i,-0.00062085-0.0012701i,0.00047374-0.00036242i,0.00054109+0.00078388i,0.00038163+0.00090289i,0.00013015+0.00080783i,0.00044106+0.00044659i,0.0003973+1.5617e-05i,0.00022556-0.00013965i,-0.00039446-0.0004469i,-0.00047303-0.00056586i,8.1861e-05+0.00012606i,7.9908e-06+9.7172e-05i,-3.1582e-05-0.00030022i
0.00094879-0.0008385i,0.00011009-0.0017889i,-0.0010546-0.0010205i,-0.00080766-0.00015458i,0.00021128-0.00087016i,0.00098854-0.0014059i,0.0013271-0.0015044i,6.9027e-06-0.0013897i,-0.00157-0.0010875i,-0.0017787-0.00097544i,-0.0011389-0.0012694i,-0.00089928-0.0016077i,-0.00090091-0.00095408i,-0.00027838-0.00063745i,0.00033015-0.00033214i,0.00022523+0.0001068i,-0.0008838-0.00029294i,-0.0017819-0.0003397i,-0.0019802+0.00017468i,-0.0014306+0.00080029i,-0.00037038+0.00093503i,0.00034936+0.00063172i,0.00034541+0.0003345i
-0.0014691-0.00049198i,-0.00078585-0.0003787i,-0.001231+2.9982e-05i,-0.0009427+0.00015096i,0.00029779-4.1743e-05i,0.00052401-0.00013505i,-0.00027785-0.0010252i,-0.0011263-0.0016585i,-0.0014702-0.0021353i,-0.0011267-0.0019795i,-0.001175-0.0012311i,-0.00096413-0.0010221i,-0.00030889-0.0014445i,0.00020155-0.0020675i,0.00067446-0.0016225i,0.00021955-0.0010966i,-0.0005138-0.00072537i,-0.00091911-8.1915e-05i,-0.0013541+1.3907e-05i,-0.0016584-0.00048712i,-0.00095196-0.0008586i,0.00029744-0.00042638i,0.00026651+3.0651e-05i
0.001906-0.0011225i,0.0018181-0.0023616i,0.00094085-0.0038893i,0.00059895-0.0026994i,-9.7814e-05-0.0010592i,-0.00063358-0.00043403i,1.9847e-06-0.00080505i,0.00090493-0.0014395i,0.001119-0.001955i,0.00014922-0.0020868i,-0.00043076-0.0015702i,0.0001338-0.0010101i,0.00065253-0.0010008i,0.00085919-0.00083823i,0.00032139-0.00043655i,-0.00030751-0.00065447i,-0.00058823-0.0014233i,-0.00035594-0.0013873i,-0.00016535-0.00014081i,-0.00016724+0.00081336i,0.00015707+0.00066187i,0.00027489+0.00034317i,0.00054178-5.3926e-05i
-0.00083023+0.00075911i,0.00054373+0.0019492i,0.0012701+0.0031359i,0.00063043+0.0033301i,0.001019+0.0025617i,0.0014511+0.001446i,0.0010393+5.1725e-05i,0.0003979-0.00083802i,-2.9713e-05-0.00063308i,-0.00055004+0.00020844i,-0.00050541+0.00065783i,0.00014479+0.00080685i,0.00055404+0.00149i,-0.00011047+0.0019017i,-0.00071095+0.00083672i,-0.00043105-6.3985e-05i,-0.00024618-0.00033031i,-9.0967e-05-0.0010774i,0.00010073-0.00081853i,-4.8239e-05+0.0002044i,-0.00043907+0.00062791i,-0.00060018+0.00088028i,-0.00096281+0.0010221i
-0.00032618+0.00031633i,-0.00011174+0.00072461i,-0.00065357+0.0010702i,-0.00077612+0.0013463i,-0.00032686+0.0020299i,0.00036501+0.0008261i,-0.000194-0.00091898i,-0.00067621-0.001339i,-0.00042525-0.00061329i,0.00038404+0.00017835i,0.00034919+0.00020726i,-0.00038177+0.00037414i,-0.0013052+0.00089904i,-0.0026113+0.0010018i,-0.0016535+0.00075314i,0.00020597+0.00070517i,0.00036182+0.00083963i,0.00033488+0.00034512i,0.00047663-0.0002381i,0.00041897-0.00060674i,0.00020878-0.00051575i,-6.236e-05+0.0002713i,-0.00024702+0.00019278i
-0.00019512-0.00075891i,-0.00093761-2.8713e-05i,-0.0023464+0.00086356i,-0.0019693+0.0015137i,-0.00086161+0.0012023i,-0.00055121+0.00038851i,1.2176e-05-0.00083181i,-0.00017318-0.0012831i,-0.00042378-0.0010998i,-0.00079481-0.0012648i,-0.0010713-0.0011834i,-0.00071483-0.00056034i,-0.0010672-0.00030341i,-0.0011846-0.0007314i,-0.00050088-0.0013613i,4.371e-05-0.0010068i,0.00064704-0.00019685i,0.00033146-2.0255e-05i,-0.00052897-0.0005313i,-0.00061948-0.00071798i,-0.00092483-0.00072144i,-0.0014553-0.00055129i,-0.0012559+0.00025408i
