-0.0002043+0.0013338i,0.00093505+0.00022439i,0.00029768+0.00067043i,0.00028839+0.00099021i,0.00075853+0.00092014i,0.0014318+0.0013037i,0.001874+0.00086869i,0.00090601+0.00026596i,6.9971e-05+0.00017869i,0.00018809+0.00041112i,4.1635e-05+0.00020935i,6.408e-05-0.00095663i,0.00020455-0.0011763i,0.00031189-0.00047593i,0.00020349+9.0236e-05i,2.4946e-05+0.00075664i,0.00051839+0.00088848i,0.0013312-5.2937e-05i,0.0016051-0.00076699i,0.00093085-0.00036682i,-0.00016711+0.00020434i,-0.00014722-0.00020349i,0.00022273-8.9705e-05i
0.00083579-0.00086i,0.00076683-0.0014378i,0.00043122-0.0021935i,-7.0857e-05-0.0014766i,-6.4918e-06+0.0001155i,0.00048662+0.0014962i,0.00028387+0.0018758i,0.00027901+0.0012096i,1.3826e-05+0.0012096i,-0.0002502+0.001077i,0.00015513-7.4286e-05i,0.00071423-0.00090402i,0.00076572-0.00061142i,0.00077-0.00018675i,0.00086189-3.6248e-05i,0.00047237+0.00065848i,0.00013633+0.001781i,-0.00079592+0.0011757i,-0.00051166+8.3577e-05i,0.00038695+0.00019821i,0.0005582+0.00067325i,0.00056392+0.00076845i,0.00030276+0.0004706i
0.0014638-0.00046615i,0.0021953+7.9443e-05i,0.0020925+0.00077246i,0.0014784+0.001626i,0.00067002+0.0022573i,-0.00012661+0.0019809i,-0.000365+0.00094929i,0.00075614+0.00063486i,0.0015282+0.00059808i,0.0011382+0.00057045i,0.00063658+0.00079729i,-0.00060022+0.00091325i,-0.0010346+0.0011431i,0.0011036+0.0011587i,0.002056+0.0012813i,0.00081173+0.0013317i,0.00015661+0.00086698i,6.5803e-05+7.3941e-05i,0.00018335+2.4029e-05i,0.00042581+0.00052396i,0.00043877-5.6309e-05i,0.00078291+0.00014108i,3.0649e-05+0.00069044i
0.00039427+0.00019246i,0.00022416+0.00042475i,0.00076533-0.00015848i,0.00095879-0.00040308i,4.1172e-05-0.00027144i,0.00012302+0.00016237i,0.00056719+0.001137i,0.00055788+0.00074125i,0.0007179-0.00031122i,0.00063235-0.00028065i,-5.6009e-05-3.5738e-05i,-0.00074094+0.00033568i,-0.00065262+0.00034431i,-0.00063969-0.00042443i,0.00013725-0.00063789i,0.00045224-0.00045285i,0.00026319-0.00041394i,0.00037182+0.0005197i,-0.00010952+0.0010696i,-4.9821e-05+0.00064815i,0.00015259+0.00069598i,0.00010714+0.00035307i,-0.00010491-0.00012596i
0.0018217+0.00077536i,0.0015827+0.00063674i,4.9558e-05+0.00031123i,-0.0004013-0.00022634i,6.4331e-06-0.0001642i,0.00014421+0.00020186i,0.000408+0.00015904i,0.00047106+8.4665e-06i,0.00043609+0.00029479i,0.00043272+0.00065419i,0.00066186+0.0010362i,0.00064244+0.0013317i,0.00045292+0.0011957i,0.00028988+0.00069936i,0.00035669+7.9954e-05i,0.00037719-9.5103e-05i,0.0005425+0.00058314i,0.000508+0.00094163i,8.0545e-06+0.000654i,-0.00021491+0.00025865i,-0.00022117-0.00067434i,-0.00046678-0.00091332i,-0.00028826-0.00030371i
0.0011989+0.00040377i,0.001995+0.00054813i,0.0023981-4.4851e-05i,0.0021426-0.00029167i,0.0012725+0.00037777i,6.5345e-05+0.0006995i,0.00037639+0.00086955i,0.00095165+0.00057968i,0.00059026+2.2454e-05i,0.00032509+0.00051344i,0.00025482+0.0011063i,0.00033399+0.00072885i,-0.00022985+0.00039596i,-0.00027831+0.00036443i,-0.0002068+0.00018618i,2.0796e-05-0.00020348i,0.00035627-0.0002296i,-4.992e-05+0.00035645i,-0.00054933+0.00078523i,-0.00069396+0.0010827i,-0.00060894+0.00078987i,0.00010197+0.00013616i,0.00020297+0.00039207i
0.0027069-0.00052878i,0.0013248-0.00028074i,-0.00061457-0.00047791i,-0.00096634-0.00096532i,-0.00049832-0.00025258i,-0.00063636+0.0014395i,-0.00019121+0.0021385i,0.00017672+0.0012321i,0.00030017+0.00038818i,0.00047132+0.000461i,0.00095612+0.00028087i,0.00061324+0.00020213i,-0.00014123+0.00039621i,0.00026883+0.00061438i,0.0010121+0.0006575i,0.0013327+0.0006024i,0.0013714+0.00028314i,0.00092071+0.00039194i,0.00011314+0.00065728i,-0.0003434+0.00030407i,-0.00023566+0.00011245i,-0.00018752+0.0004635i,-0.00018145+0.00087642i
0.00084467-1.9989e-07i,0.0007525+0.00011049i,0.0007497+0.00075614i,0.00074056-0.00041902i,0.0011624-0.0012723i,0.0012352-0.00041076i,0.0012218-0.00055191i,0.00065146-0.00077713i,1.0078e-05-0.00026429i,0.00030279+0.00049784i,-7.0206e-05+0.0011113i,-0.00028931+0.0010861i,0.00041674+0.00068182i,0.00059441+0.00027181i,-1.2562e-05+0.00032122i,0.00042343+0.00025313i,0.00090899-0.00017485i,0.00030024-0.00034756i,-0.00041155+0.0002568i,-0.00034299+0.00062305i,8.3219e-05-4.7304e-05i,0.00010766-0.00049666i,-4.9756e-05-0.00054044i
0.00020653-0.00029115i,0.0013395-0.00035449i,0.0020557+0.00028964i,0.0012761+0.001003i,0.00084941+0.0022008i,0.00050899+0.0021941i,0.00023635+0.0011171i,-0.00010051-2.1674e-05i,-0.00044884+9.1383e-05i,0.0002926+0.00065568i,0.00083278+0.00035179i,0.0002969+0.00045259i,-2.1255e-05+0.0012284i,-2.2681e-05+0.0011209i,0.0011106+0.00027445i,0.0022142-0.00032522i,0.0020203-0.00061216i,0.0016208-0.00032653i,0.0005344-0.00038553i,-0.00042339-0.0002977i,-0.00011661+0.00029812i,-2.4568e-05+0.00075635i,-0.0006708+0.00050926i
0.0010577-0.00020638i,-9.9485e-05-0.00039102i,-0.0010653-0.00065441i,-0.00037179-0.00012152i,0.00034082-0.00030723i,0.0013124-0.00015078i,0.0011791+0.00036852i,7.593e-05+0.00038254i,0.00044842+0.00018712i,0.00098719+0.00045253i,7.0488e-05+0.00089933i,-0.00071004+0.00045636i,8.3744e-05+0.0003657i,0.00024822+0.00034161i,-0.00039416+0.00014035i,-2.9364e-05+0.00022025i,0.00032769-0.0001946i,0.00014517-6.7815e-05i,0.0001308-4.43e-05i,-0.00010157+6.4161e-05i,-3.3293e-05+0.00011198i,-0.00030397+6.0492e-05i,-0.00090868-1.5033e-05i
0.00069441-0.00074699i,0.0014373-0.00010736i,0.0016302+0.0001131i,0.00080243+0.0010067i,-0.0001274+0.0017071i,0.00015646+0.0017589i,0.00074924+0.00077381i,0.00082458-8.7151e-05i,0.00052573+0.00054018i,6.0585e-05+0.0011356i,-0.00016718+0.00028702i,-0.00015643-0.0001812i,0.00015993-0.00024199i,0.00020505+0.00029164i,0.00057978+0.0007173i,-9.1871e-05+0.00053984i,-0.00035574+0.00087467i,0.00031685+0.00076591i,0.00041233+0.00054254i,0.0001539+0.00059513i,-6.8024e-06+0.00035353i,-0.00041043-3.5268e-05i,-0.00049993+2.3102e-05i
-4.8753e-05-0.00063746i,0.00025002-0.00088417i,-0.00081327-0.00095735i,-0.00036339-3.8472e-05i,0.0011098+0.00056142i,0.0010155+0.00057394i,0.00038208+0.00072199i,0.00027955+0.0008423i,-7.5805e-05+0.0011791i,-0.00021191+0.00093614i,-7.0369e-05+0.00069817i,0.00011832+0.00022321i,0.00045833-0.00029571i,0.00085742+0.00014827i,0.0010203+0.00047492i,0.00085888+0.00064563i,0.00053903+0.00067712i,0.00044729+0.00027837i,0.00012226-0.00049964i,-0.00057859-5.5123e-05i,-0.0006547+0.0006301i,-0.00021566-0.00029793i,0.00015707-0.00083106i
0.00029811-0.00071473i,0.00073817-0.0011256i,0.00017678-0.00095431i,0.00039154-0.00035767i,0.00094129-0.00044056i,0.0013752-0.0011321i,0.0012023-0.00085108i,0.00014652+0.00018068i,-0.00018743+0.00047676i,0.0001913+0.00060744i,0.00031054+0.00064942i,-0.00027816+0.0003063i,-0.0003571+0.0001606i,0.00024559+0.00038781i,0.00032239+0.0006018i,-0.00019342+0.0011612i,2.571e-05+0.0012583i,0.00019606+0.00078986i,-0.0004736+0.00064785i,-0.0012444+0.0006245i,-0.0007565+0.0006058i,0.00020976+0.00041637i,0.00011811+0.00052723i
0.00053873-1.1816e-05i,0.0008593-0.00089464i,0.0022531+1.8453e-05i,0.0023272+0.00049915i,0.0015797+0.00063817i,0.00087689+0.0015968i,0.00036791+0.0013744i,0.00013279+0.00058784i,-5.9073e-05+0.0003215i,0.00014244-0.00035836i,0.00015055-0.0014813i,-4.5181e-05-0.0010741i,-4.1756e-05+5.0236e-05i,-0.0003448+0.00082846i,-0.00015447+0.0012412i,-0.00025216+0.00094561i,-0.00058664+0.00052946i,0.00034007+0.0007005i,0.00094855+0.00089417i,0.00041395+0.00053375i,-0.00022706-0.00014766i,-0.00047854-0.00031836i,-0.00064279-0.00067175i
-2.4411e-05-0.001131i,-0.0002469-0.00053206i,-0.00055577+0.00016847i,-0.0004438+0.00065337i,-5.0343e-05+0.00031237i,0.00063213-0.00019489i,8.3036e-05-0.00035816i,-0.00080387-0.00073612i,-0.00064434-0.00063703i,0.0001675+0.00020248i,0.0006739+0.00090937i,-8.4969e-05+0.00025193i,-0.00069177-0.00051013i,-0.00024551-0.00066652i,0.00075743-0.00014503i,0.0011873+0.00048763i,0.00063554+0.000194i,4.3992e-05+0.00026279i,-5.2369e-05+0.00045899i,-0.00012843-0.00010776i,-0.00035593+6.349e-05i,-3.7883e-05-1.4481e-05i,0.00020536+7.3627e-05i
0.00092658-0.0013142i,0.0014199-0.0013294i,0.00036006-0.0011666i,-0.00029311-0.0011763i,-0.00049788-0.00075151i,-0.00080197+0.00012087i,-0.00034998+0.00070268i,-0.00040604+0.00077058i,-0.0010258+0.00021822i,-0.00079758+0.00042819i,0.0004346+0.0011002i,0.00083078+0.0010022i,0.00012863-4.2809e-05i,-0.00024525-0.00047883i,0.00029324+0.00062567i,0.00035782+0.0013189i,-0.00027011+0.0011691i,-0.00063211+0.00032729i,-0.00062787-0.00027644i,-0.00037917+4.7564e-06i,0.00040833+5.4617e-06i,0.00070072-0.00048087i,0.00039754-0.00025667i
0.001709-0.0013819i,0.001857-0.0013355i,0.0013269-0.00015286i,0.0012318+0.0009009i,0.00050209+0.00095939i,-0.00052233+0.0019627i,-0.0003666+0.0020526i,0.0003654+0.0005523i,0.00057476+0.00025617i,0.00072653+0.0003283i,2.7624e-05+2.4235e-05i,-0.0010268+0.00021827i,-0.0008986+0.00032675i,-0.00042469-0.00014894i,0.00054839+0.00044302i,0.00060117+0.001027i,0.00023482+0.00060815i,0.00080133-0.00016228i,0.0012135-0.00069792i,0.00095009-0.00082895i,0.00043222-0.00011359i,-0.00039971+0.00031651i,-0.00034395+0.00035468i
0.00048607-0.00031556i,0.00011955-0.00033147i,1.0608e-06-0.00016624i,0.00060326+0.00062171i,0.00046468+0.0013617i,0.00043303+0.0011787i,0.00026148+0.00065385i,0.00065201+0.00027934i,0.00089233+0.0004299i,0.00031739+0.00051387i,-4.4208e-06+4.3622e-05i,0.00016453-0.00024204i,0.00015415-0.0006259i,-9.5382e-05-0.00046203i,3.6825e-05-0.00012952i,0.000478+2.805e-05i,0.00059798-0.00025547i,0.0006117-0.00010438i,0.00072462+0.00096208i,0.00039952+0.0011467i,0.00010968+0.0010784i,-0.0001011+0.0007428i,-0.0001342+0.0005066i
0.00022057-0.0018446i,0.00067895-0.00083545i,-0.00053837-0.00037905i,-0.00076187+0.00012172i,0.00021034+0.000915i,0.0013813+0.0016146i,0.0014725+0.0010053i,0.0011791-0.00051992i,0.00094338-0.00096921i,0.00014301-0.00010525i,1.8825e-05+9.1011e-05i,0.00024278-6.9705e-05i,-0.00037973+0.00031672i,-0.00071048+0.00095617i,-0.00056127+0.00086583i,-0.00013297+0.00051391i,0.00013519+0.00057827i,0.00015879+0.00075799i,-0.00020369+0.0008183i,-5.6253e-05+0.0011128i,-0.00029056+0.00056537i,-0.00065048-0.00040828i,-0.00016976-0.00011464i
-0.0011703+0.00029896i,-0.00063895-0.00015939i,0.00068926+0.0004783i,0.0016174+0.001383i,0.0020294+0.0012843i,0.0017761+0.00078464i,0.0010598+0.00045141i,-8.1359e-05+0.00071773i,-0.00069091+0.00033372i,0.00064614+3.2372e-05i,0.0012922+0.00017978i,0.0010142-5.3031e-05i,0.00079098+5.2034e-05i,8.7534e-05+0.00032101i,0.00072749+0.00075908i,0.0014372+0.00074669i,0.0010774+0.00023449i,0.00018702+0.00010778i,0.00014932+0.00011662i,0.00014025-0.00044156i,0.00024617-0.00035846i,3.1436e-05+0.00013378i,0.00031239+0.00034691i
0.0022847-0.00080846i,0.0025009-0.00058947i,0.0017404-0.00049034i,0.00083232-9.1606e-05i,0.00019118+0.00052823i,-0.00022924+0.00059435i,-1.5702e-05+0.00057494i,8.9273e-05+0.00046627i,6.415e-05+0.00020032i,-0.00027369+0.00019655i,-0.0003063+0.00024714i,-6.5583e-06+0.00014905i,0.00028104+0.00045762i,0.00030429+0.0010125i,0.00099318+0.00038857i,0.00036306-5.0235e-06i,-0.00060767+0.00032018i,-0.00012889+0.00021078i,0.00011249+0.00037662i,0.00035127+0.00055291i,7.1859e-05+0.00014825i,-0.0001852-7.3449e-06i,0.00076109-0.00021241i
0.0011199-0.00088076i,0.0015935-0.001891i,0.00059237-0.0020752i,-2.1583e-05-0.0010386i,0.00050018-0.00027307i,0.00033456+0.00071042i,0.00081334+0.0015854i,0.001056+0.0015028i,0.0010347+0.0009079i,0.00090967+0.00043397i,0.00068215+0.00016656i,0.0010967+0.00021453i,0.0011606+0.00027047i,0.0011142+0.00053569i,0.00018771+0.0010982i,-0.00041552+0.00081375i,0.00049555+0.0003357i,0.0011973+0.00032146i,0.00049259+0.00040718i,-0.0003516+0.00051372i,-0.00092471+0.00012444i,-0.0014092+0.00027281i,-0.00087112+0.00020414i
0.0024133-0.00011721i,0.002212-0.00056412i,0.001894-0.00023552i,0.0016813+0.00050967i,0.00053309+0.0014985i,0.00010856+0.0017942i,1.14e-05+0.0010498i,-0.00059274+0.00092364i,-0.00098956+0.001254i,-0.00043671+0.00057051i,6.8804e-05+0.00017815i,0.00043624+0.00065067i,0.00096343+0.0010553i,0.0010365+0.0010362i,0.00054881+0.00055621i,0.00062906-0.00035384i,0.00091558-1.5662e-05i,0.00025957+0.00057449i,0.00015168+0.00051935i,0.00036126+0.0003736i,-1.9953e-05+0.00026931i,-0.00015543-6.6257e-05i,-0.00062545-0.00044022i
0.0021322+0.0007425i,0.0013745+0.001028i,-0.00018592+0.0014565i,-0.00056358+0.0013586i,-4.7008e-05+0.00079423i,-0.0001205+0.00049644i,-0.00025038+0.00056954i,-0.00042903+0.00025456i,-0.00042512+0.0001574i,0.00024561+0.0010907i,0.00020264+0.00051257i,-0.00016536-0.00026672i,-0.00047115+2.466e-05i,-0.00018278-0.0005904i,0.00024786-0.00090302i,0.00021171+0.00020565i,0.00048151+0.00089553i,0.00018602+0.00035337i,-0.00037329-6.3902e-05i,-0.00046729-0.00026644i,-0.00076474-0.00022342i,-0.00099728-0.0002289i,-0.00055675-0.00032604i
0.00058496-0.0005963i,0.00076719-0.00016994i,0.00045981+0.00028204i,-0.00025725+0.00025525i,0.0001264+0.00048614i,1.9686e-05+0.00016896i,-0.00030224+0.00022261i,0.00034093+0.00073613i,0.0010576+0.00084678i,0.0009312+0.00032832i,0.00074026+0.00042383i,-9.804e-05+0.000612i,-0.00060181+4.3625e-05i,3.7368e-06-0.00038176i,0.0002518-0.00044106i,-2.9826e-05-0.00016181i,-9.7794e-05+5.043e-05i,0.00023107-0.00043747i,0.00022963-0.00072144i,4.6613e-05+0.00028976i,8.3925e-05+0.00075345i,0.00047551-0.000445i,0.00065216-0.00042823i
-0.00034486+0.00041103i,-0.00058162-0.0014505i,-0.00053763-0.0011483i,0.00033145+0.0004157i,0.00086694+0.00085096i,0.00033064+0.00071708i,0.00043396+0.00039346i,0.00073145+0.00046039i,0.00026354+0.00040347i,0.00053757+0.00046598i,0.00046569+0.00039763i,-0.00027193+0.00012755i,-0.00026691+0.00031938i,9.2018e-05+0.00015441i,0.00017381-0.00031846i,0.00077608-0.00016313i,0.00079711-0.00014195i,0.00015906+9.636e-05i,0.0006093+0.00033092i,0.00056641+0.0001292i,0.00010159-0.00033598i,-8.6132e-06-0.00057664i,-0.00010355-0.00034618i
0.00011158+7.8284e-05i,0.0017411-0.00082805i,0.0019427-0.00012637i,0.0014936+0.00057419i,0.0012914+0.00069601i,0.00066074-0.00010669i,0.00018434-0.00040758i,-0.00032868+0.00035227i,-0.00066744+0.00014622i,-0.00024107-0.00014572i,0.00051793+5.8586e-05i,0.00016139-0.00019806i,-0.0002445-1.979e-05i,0.00037189+0.00046327i,0.00079485+0.00072094i,0.00083025+0.0004495i,0.00075921+0.00031533i,0.00050868+0.00057995i,-2.403e-05+0.00072665i,-0.0003557+0.0005018i,0.00030185+0.00023925i,0.00055071+8.9127e-05i,0.0001673-0.00026082i
-0.00025633-0.00060645i,-0.00038315-0.00046339i,-0.00053135+5.2885e-05i,0.00028393-0.00033842i,0.00046774+3.5992e-05i,0.00014708+0.00081175i,-0.00031449+0.0011716i,-0.00015947+0.00036721i,0.00064655+0.00022687i,0.00066965+0.00014854i,0.00051213-0.00027895i,0.00037953-0.00033857i,-5.9364e-06-0.00041916i,0.00023799-7.0819e-05i,0.00054332+0.00066167i,0.00022414+0.00088378i,-0.00041706+0.00017932i,-0.00015088-0.00069584i,0.00022849-0.00069803i,0.00018168-0.0004599i,-0.00023297-0.0005813i,-0.00028605-0.00064288i,-0.00015214-0.00023195i
0.0018613+0.0002718i,0.00079751+0.00066932i,0.00081133+0.0010887i,0.0019842+0.0012255i,0.0019361+0.00066531i,0.00085386+0.0002035i,0.00023455+0.000775i,-1.9438e-05+0.0012458i,-0.00015734+0.0010081i,-0.00051426+0.00058115i,-0.00037273+0.00011609i,0.00035756-0.00018838i,0.00021337-0.00066217i,0.00010448-0.0003861i,0.00027384+0.00033346i,0.00044914+0.00042222i,0.000458+8.4377e-07i,8.7735e-05-0.00021374i,-8.4505e-05+0.00026911i,0.00014702+0.00087433i,0.00040463+0.00024474i,0.00045222+0.00022937i,0.00016833-0.00028254i
-5.5905e-05+0.001117i,-0.00066713+0.00071228i,-0.00021763+0.00089534i,0.00076029+0.0011992i,0.0011239+0.0010836i,1.3669e-05+0.00060806i,-0.00081103+3.3961e-05i,-8.8044e-05-3.007e-05i,0.00024701+0.00057958i,-0.00026569+0.0004552i,-0.00043531+0.0002045i,-0.00040108+0.00056134i,-0.00018349+0.00059145i,0.00028734+0.00042853i,0.00065099+0.00085173i,5.7393e-05+0.00045447i,-0.00029935+0.00019063i,0.0002527+0.0005762i,-2.6952e-05+8.2832e-05i,0.00038746-0.00013129i,0.00096887-3.6866e-05i,0.00032038-5.7398e-05i,-0.00023727+0.00026924i
0.00082127+0.00098457i,0.0008644+0.00062724i,0.00067714+0.00068776i,0.00027744+0.0010603i,0.00025465+0.0012568i,0.00056645+0.0014536i,0.00084752+0.00085628i,0.00053546+0.00019846i,0.00036285+0.0005653i,-6.7185e-05+0.00061584i,-9.342e-05+9.473e-05i,0.00033608-0.00013988i,-0.0004775+0.00039834i,-0.0010547+0.00084331i,-0.00050147+0.00036893i,0.00049317+0.00056974i,0.00094257+0.00038123i,0.00071765+7.763e-05i,-9.977e-05+0.00088129i,-0.00026505+0.0010457i,9.6687e-05+0.00064673i,-0.00034772+0.00018355i,-0.00071183-0.00030639i
-0.000813-0.00050055i,-0.0015613-0.00080432i,-0.0011633-0.00069568i,-0.00079594-0.00097429i,-0.0005552-0.00040221i,0.00017895-0.00028251i,0.00073456-0.00086235i,0.0011033-0.00057999i,0.0012449+0.00036001i,0.00098365+0.00033931i,0.00043193+0.00014631i,-0.00037552+0.00069537i,-0.0010471+0.00055468i,-0.00065065+0.00015939i,-0.00018913+0.00022105i,5.9914e-05+0.00034687i,0.00024287+0.0006624i,0.00065268+0.00069384i,0.00075556-0.00028678i,0.00020064-0.00026966i,-0.00023756+0.00026955i,0.0004049+7.5645e-05i,0.00062009-0.00046814i
0.0028117-0.0011402i,0.0026023-0.0015973i,0.0016393-0.0019086i,0.00023882-0.0008786i,0.00017315-6.1508e-05i,5.5142e-05+0.00020934i,0.00054721+0.00087543i,0.00078502+0.00088326i,0.00049523+0.00014258i,0.00031511+0.00032113i,0.00034043+0.00062103i,0.0002494+0.00020235i,0.00014907-6.598e-05i,0.00076521+4.6038e-05i,0.0012986+0.000251i,0.00094633+0.0002125i,0.00056474+0.00062299i,0.00030245+0.0012054i,8.5107e-06+0.0006139i,-0.00013518+0.00060883i,-1.3849e-05+0.0011299i,-0.00043188+0.00033622i,-0.00019755-7.3932e-05i
