0.00080484+0.001025i,0.00036979-0.0002141i,-0.00077427-0.0011287i,-0.0018611-0.0013404i,-0.0022967-0.00050519i,-0.0016693+0.00095464i,-0.001115+0.001518i,-0.0011163+0.0016251i,-0.00073815+0.0017218i,0.00076995+0.0011475i,0.0018924+0.00042084i,0.00092441-0.00029773i,4.0849e-05-0.0010012i,0.00086324-0.00070076i,0.0015179-0.00043508i,0.00040922-0.00031216i,-0.00095168+0.00040128i,-0.00087944+0.00024975i,-0.00022631-0.00095002i,0.00053844-0.0013887i,0.00075608-0.0010193i,9.5117e-05-0.00034845i,0.00011025+0.00031757i
0.0053652+0.0041114i,-0.0039693-0.030473i,-0.028538-0.12931i,-0.07359-0.24552i,-0.1234-0.26292i,-0.17542-0.20677i,-0.21959-0.14999i,-0.20974-0.099457i,-0.1421-0.092693i,-0.075593-0.10645i,-0.025205-0.095662i,0.0080846-0.09051i,0.011238-0.075293i,0.0019082-0.018742i,-0.014248+0.030379i,-0.0329+0.033997i,-0.049893+0.009536i,-0.075297-0.017405i,-0.094745-0.020864i,-0.070667-0.00055868i,-0.013792+0.0082311i,0.01894-0.0098625i,-0.0004038-0.022217i
-0.015486+0.0024344i,-0.022296+0.027077i,0.036738+0.087353i,0.16984+0.10931i,0.2279+0.017698i,0.13886-0.066736i,0.042012-0.030675i,0.034068+0.014315i,0.031074-0.0070758i,-0.013282-0.022813i,-0.035858-0.0049828i,-0.020658+0.0061856i,0.00067525-0.0064113i,0.011514-0.025333i,0.016986-0.037775i,0.011426-0.049368i,-0.018553-0.065653i,-0.052552-0.071568i,-0.060662-0.059732i,-0.043882-0.040981i,-0.024582-0.02448i,-0.013393-0.014449i,0.0024181-0.0042753i
0.0017875-0.013267i,0.029565-0.024415i,0.055884-0.016666i,0.052467+0.049981i,0.032803+0.17265i,0.034038+0.29728i,0.078124+0.34279i,0.12572+0.29441i,0.14223+0.2205i,0.14319+0.14099i,0.1171+0.058032i,0.083271+0.0028714i,0.067463-0.019839i,0.049681-0.023709i,0.033403-0.014868i,0.028095-0.0037523i,0.015969+0.0056785i,-0.0081299+0.025898i,-0.026377+0.047291i,-0.021253+0.047996i,-0.0044386+0.029999i,-0.0065124+0.016876i,-0.013794+0.025435i
-0.016604+0.011616i,-0.050091+0.020645i,-0.14272+0.031667i,-0.24009+0.015487i,-0.2219-0.061068i,-0.095962-0.17517i,-0.016953-0.24381i,-0.014499-0.22044i,-0.0023846-0.15437i,0.01836-0.090347i,0.025504-0.036326i,0.022865-0.0055181i,0.018197+0.0084722i,0.030716+0.018961i,0.060007+0.016748i,0.0894+0.0088049i,0.12308+0.024622i,0.1625+0.053817i,0.17163+0.053021i,0.11955+0.019032i,0.039309-0.0079679i,-0.0064586-0.010542i,-0.01512-0.012991i
-0.013099+0.019496i,0.013822+0.025369i,0.099285+0.0010586i,0.20895-0.065319i,0.23932-0.11493i,0.14858-0.14362i,0.031239-0.15678i,-0.038056-0.12783i,-0.059802-0.070112i,-0.052142-0.028179i,-0.039248-0.0047236i,-0.02989+0.010052i,-0.030199+0.013785i,-0.036579+0.011346i,-0.028064+0.0053557i,0.0052757-0.0025181i,0.052093-0.020895i,0.08688-0.055214i,0.086908-0.079833i,0.056971-0.060493i,0.033081-0.017975i,0.038159-0.0016368i,0.049238-0.013339i
-0.021099-0.0052703i,-0.045368-0.04419i,-0.085994-0.073628i,-0.13953-0.042546i,-0.20036+0.062967i,-0.22347+0.1738i,-0.18121+0.20541i,-0.10687+0.16304i,-0.056337+0.11187i,-0.030053+0.066784i,-0.019889+0.0094136i,-0.030693-0.018951i,-0.030671+0.0035268i,-0.013625+0.037082i,-0.0022157+0.061876i,-0.0023451+0.075175i,-0.01615+0.070307i,-0.048478+0.045208i,-0.087598+0.013274i,-0.089134-0.0010736i,-0.045073-0.0037692i,-0.012026-0.01373i,-0.012883-0.011254i
0.0080476+0.0076233i,0.0087489+0.045013i,0.018084+0.13194i,0.062607+0.2034i,0.1519+0.1473i,0.21882+0.031265i,0.20949+0.00056184i,0.1787+0.018146i,0.16717+0.0046173i,0.13141-0.016668i,0.056998-0.0065026i,-0.0067569+0.021504i,-0.031692+0.039238i,-0.028626+0.050351i,-0.0069146+0.06505i,0.011088+0.079344i,0.0078844+0.098908i,0.00041937+0.11871i,-0.0043937+0.10606i,-0.017949+0.060098i,-0.031427+0.021067i,-0.036908+0.0096803i,-0.037603+0.0075233i
0.005593+0.0088403i,0.021922-0.0027976i,0.036078-0.053798i,0.058758-0.11477i,0.13565-0.1132i,0.23283-0.065589i,0.26444-0.053397i,0.21482-0.051044i,0.14187-0.0357i,0.094563-0.034324i,0.076819-0.037102i,0.063226-0.051369i,0.024427-0.066067i,-0.019038-0.054622i,-0.04245-0.036009i,-0.055237-0.022948i,-0.060342-0.014977i,-0.050926-0.017726i,-0.026961-0.022596i,-0.0066488-0.0097189i,0.0027366+0.02057i,0.019778+0.043695i,0.034758+0.040958i
-0.017921+0.0053974i,-0.049368+0.013356i,-0.083692+0.023484i,-0.12783+0.02556i,-0.23439+0.010966i,-0.36777-0.025372i,-0.38935-0.04231i,-0.28893-0.049778i,-0.19105-0.069154i,-0.13951-0.05932i,-0.080644-0.040278i,-0.024679-0.043733i,-0.001212-0.045001i,0.0016322-0.040922i,-0.010464-0.035405i,-0.025134-0.021218i,-0.022399-0.017033i,-0.005667-0.035087i,0.013534-0.060183i,0.018486-0.064618i,0.0086903-0.036987i,0.0076222-0.017196i,0.0056702-0.024334i
0.0031139-0.011125i,0.033797-0.0099858i,0.11898+0.012461i,0.22087+0.047994i,0.23499+0.080196i,0.15954+0.13298i,0.079495+0.17947i,0.02605+0.15776i,-0.014172+0.12067i,-0.021102+0.10574i,-0.01553+0.065282i,-0.037265+0.012077i,-0.060105-0.014352i,-0.063343-0.013183i,-0.051032+0.0099132i,-0.029122+0.032067i,-0.014507+0.036823i,-0.004044+0.039043i,0.0097342+0.034943i,0.018289+0.0095442i,0.014856-0.026515i,0.00091098-0.048837i,-0.0084254-0.044536i
0.011154-0.0017615i,-0.0076644-0.014364i,-0.079474-0.0085798i,-0.15268+0.064153i,-0.065789+0.17575i,0.14908+0.20367i,0.23199+0.11228i,0.15808+0.062025i,0.12154+0.083331i,0.13251+0.054466i,0.093934+0.00024719i,0.038409-0.0146i,0.0085168-0.0086864i,-0.0040051+0.0023353i,-0.0021864+0.011334i,0.002983+0.0040305i,0.002074-0.012276i,-0.0028156-0.015686i,-0.0061949+0.0031274i,-0.00728+0.021173i,-0.014118+0.018769i,-0.027874+0.021382i,-0.026378+0.035006i
-0.014786+0.02339i,-0.0195+0.05024i,-0.019794+0.061837i,-0.028153-0.009963i,-0.09668-0.1628i,-0.21741-0.27238i,-0.258-0.23698i,-0.17179-0.13935i,-0.065253-0.092197i,-0.02661-0.070763i,-0.018196-0.022353i,0.0075464+0.027774i,0.035368+0.046837i,0.045852+0.03972i,0.038523+0.0091891i,0.022739-0.024001i,0.013767-0.026457i,0.022552-0.0089003i,0.032828+0.00070159i,0.021889+0.0060393i,0.0019135+0.023972i,-0.0020375+0.039983i,0.00025936+0.030027i
-0.00069075-0.0018065i,0.013246-0.033363i,0.060673-0.095076i,0.11701-0.15486i,0.11706-0.14698i,0.057406-0.07235i,0.047447+0.00093965i,0.071583+0.0084957i,0.027087-0.020296i,-0.034929-0.012395i,-0.028108+0.0051412i,0.0091412-0.017611i,0.015795-0.054165i,-0.00158-0.069796i,-0.022045-0.063939i,-0.041199-0.048632i,-0.058153-0.035791i,-0.070163-0.033137i,-0.065645-0.041781i,-0.039645-0.049453i,-0.007068-0.042154i,0.021366-0.030767i,0.034375-0.025705i
0.0019309+0.001032i,-0.01295+0.014746i,-0.048345+0.092242i,-0.08987+0.25639i,-0.084359+0.41271i,-0.018765+0.41557i,0.0043313+0.27682i,-0.031813+0.14382i,-0.043992+0.091194i,-0.01193+0.069594i,0.011905+0.027205i,0.0047263-0.020366i,-0.0022755-0.052695i,-0.0025956-0.065422i,-0.0059611-0.045957i,-0.00033664-0.012267i,0.01667-0.0073409i,0.023795-0.031249i,0.010445-0.048354i,-0.00074167-0.043848i,0.0026117-0.037048i,0.00094314-0.037301i,-0.0042619-0.027908i
0.022259+0.02024i,0.04157+0.025519i,0.062788+0.002866i,0.066714-0.085585i,0.067768-0.20427i,0.078545-0.23423i,0.073269-0.17605i,0.03875-0.11351i,0.028347-0.077313i,0.040021-0.064848i,0.018349-0.043673i,-0.018482+0.0014486i,-0.036775+0.045891i,-0.032355+0.073516i,-0.0016194+0.076594i,0.036008+0.055752i,0.060931+0.042759i,0.079831+0.049912i,0.083516+0.054956i,0.054555+0.045981i,0.016807+0.027542i,-0.0062925+0.0081013i,-0.015688-0.0018225i
-0.01854+0.00015617i,-0.039389-0.019578i,-0.062217-0.07429i,-0.056227-0.15474i,-0.015298-0.21302i,0.026781-0.21524i,0.064103-0.1583i,0.11849-0.091809i,0.13202-0.082451i,0.067626-0.093208i,0.0032483-0.067313i,-0.019127-0.026471i,-0.015792+0.018035i,0.0087384+0.054945i,0.03945+0.048095i,0.04748+0.014309i,0.025905-0.0019992i,0.00026243+0.009929i,0.0033579+0.029799i,0.021286+0.039612i,0.021296+0.04224i,0.014365+0.043477i,0.017664+0.033966i
-0.0069953-0.0067081i,-0.0030237+0.011107i,0.020022+0.079606i,0.041015+0.19662i,-0.030159+0.2874i,-0.18604+0.30474i,-0.23861+0.264i,-0.1654+0.17785i,-0.094772+0.10693i,-0.053677+0.075401i,-0.025562+0.03956i,-0.0075554+0.0091339i,0.014984-0.0025103i,0.025151-0.013872i,0.0024177-0.011292i,-0.020036+0.013405i,-0.012231+0.028432i,-0.00020867+0.016433i,-0.0042067-0.0011287i,-0.0046611-0.006165i,0.0030339-0.0039917i,0.0023084-0.0032746i,-0.012486-0.0016977i
-0.0070422-0.0039408i,0.0081634-0.013271i,0.020559-0.031255i,0.019025-0.047978i,0.057853-0.029941i,0.1744+0.0046703i,0.21801+0.011766i,0.13261+0.015537i,0.04487+0.048213i,0.034011+0.066899i,0.05231+0.037564i,0.037627-0.011531i,-0.0083658-0.045551i,-0.053694-0.049291i,-0.074752-0.016056i,-0.068802+0.032567i,-0.045834+0.061813i,-0.024297+0.059468i,-0.026385+0.030241i,-0.039223-0.0041538i,-0.031762-0.021711i,-0.009676-0.024746i,0.002026-0.021002i
-0.012658+0.015419i,-0.034679+0.026857i,-0.07529+0.043216i,-0.070337+0.043797i,0.034522-0.0091135i,0.1175-0.10238i,0.061945-0.13473i,-0.0062013-0.065291i,0.020081-0.019173i,0.037726-0.03447i,0.013546-0.025123i,0.0073647-0.011838i,-0.0040021-0.02029i,-0.022793-0.016765i,-0.014676-0.013591i,0.00033047-0.029294i,-0.0084345-0.04777i,-0.031248-0.049322i,-0.040758-0.033174i,-0.042926-0.014221i,-0.047285+0.0053221i,-0.035294+0.021418i,-0.0075511+0.017444i
-0.018883-0.0016086i,-0.0075919-0.0022814i,0.03681-0.016355i,0.063699-0.057748i,-0.060566-0.079895i,-0.25788-0.028446i,-0.28565+0.037279i,-0.17512+0.034854i,-0.097836+0.00080086i,-0.057327-0.006535i,-0.018956-0.0034959i,0.0081909+0.0042772i,0.035333+0.019171i,0.055932+0.024531i,0.05166+0.0070241i,0.030619-0.021796i,0.012757-0.034219i,0.016356-0.034409i,0.029498-0.035848i,0.02673-0.02345i,0.014539-0.0013361i,0.0041211+0.0077327i,-0.0061264+0.008199i
-8.1421e-05-0.011917i,-0.0005774-0.028296i,-0.022557-0.029973i,-0.045125+0.022388i,0.0030172+0.088987i,0.10184+0.093086i,0.16702+0.033732i,0.15674-0.030764i,0.098691-0.034077i,0.065049-0.005213i,0.050386-0.0055864i,0.020427-0.016521i,0.0022601-0.019314i,0.0010608-0.024715i,-0.0082734-0.017653i,-0.027225+0.010508i,-0.034933+0.04269i,-0.020708+0.056381i,0.0065252+0.036236i,0.035972-0.0022178i,0.050382-0.031743i,0.042085-0.042568i,0.023073-0.034801i
-1.3703e-05+0.0042419i,-0.0010509+0.031514i,-0.00078857+0.091045i,0.030076+0.16715i,0.11126+0.20268i,0.18023+0.15948i,0.11743+0.089115i,0.0091875+0.068808i,-0.0011976+0.064742i,0.01568+0.037687i,0.00046987+0.020257i,-0.014064+0.0072781i,-0.032617-0.019808i,-0.053754-0.035874i,-0.047513-0.022111i,-0.013235-0.0033115i,0.01295-0.011762i,0.0047766-0.027723i,-0.013891-0.017766i,-0.014829+0.0002898i,-0.0088756+0.006331i,-0.0074402+0.012604i,-0.0025413+0.021247i
-8.1767e-05-0.0024902i,0.00024249-0.015998i,-0.0087209-0.086804i,-0.056956-0.21365i,-0.14393-0.28754i,-0.18294-0.23703i,-0.10995-0.14512i,-0.040048-0.091624i,-0.051164-0.058447i,-0.066824-0.023133i,-0.050815-0.00060947i,-0.028861+0.014565i,-0.016144+0.038737i,-0.0072399+0.060842i,0.0066971+0.057069i,0.02233+0.025729i,0.027809-0.0073047i,0.026456-0.02111i,0.017832-0.014024i,-0.0043552+0.0045971i,-0.01938+0.023022i,-0.011993+0.023675i,-7.9706e-05+0.0059775i
-0.013417-0.010724i,-0.028263-0.017462i,-0.029174+0.00082694i,0.00014873+0.039171i,0.0018058+0.042595i,-0.035968+0.020427i,-0.032415+0.011877i,0.018213-0.012136i,0.026308-0.048954i,-0.0047841-0.044319i,-0.0087619-0.021207i,0.003266-0.014178i,0.022173-0.0013604i,0.048612+0.011235i,0.045117-1.6738e-05i,0.0049627-0.008339i,-0.028798+0.012775i,-0.028205+0.034873i,-0.0044341+0.027003i,0.014294+0.0093844i,0.017481+0.0020219i,0.012332-0.0033911i,0.0027238-0.014786i
0.0046145+0.0033387i,0.024794+0.016587i,0.050717+0.068205i,0.086312+0.17271i,0.14076+0.2766i,0.14367+0.30681i,0.070987+0.26604i,0.020963+0.19983i,0.037438+0.13725i,0.054687+0.077697i,0.033327+0.030185i,0.0096194-0.0032924i,-8.5613e-05-0.041967i,-0.015839-0.069119i,-0.028957-0.04968i,-0.015102-0.012877i,0.016315-0.0055283i,0.036285-0.017048i,0.03563-0.0192i,0.025188-0.01441i,0.010029-0.013293i,-0.0072641-0.0025598i,-0.016532+0.021623i
-0.0015506+0.0096909i,-0.010149-0.00057651i,-0.056375-0.052004i,-0.14822-0.14513i,-0.19139-0.2107i,-0.088858-0.2218i,0.039373-0.20043i,0.076228-0.1424i,0.075869-0.082194i,0.069002-0.066052i,0.041336-0.057949i,0.0099878-0.033633i,-0.017341-0.014116i,-0.033079+0.0017608i,-0.022181+0.015606i,0.0035178+0.022217i,0.026493+0.022768i,0.04019+0.022879i,0.036961+0.020065i,0.018185+0.0052596i,-0.00192-0.0089425i,-0.009337-0.0076618i,-0.00097599+0.0031454i
-0.013263+0.004698i,-0.020934+0.010436i,0.0063296+0.011977i,0.079142-0.025192i,0.085381-0.1011i,-0.043421-0.12588i,-0.1491-0.049571i,-0.11992+0.022549i,-0.061915+0.012469i,-0.047699-0.0067552i,-0.031661-0.000161i,-0.0024866+0.0064508i,0.014823+0.024351i,0.021525+0.038497i,0.015815+0.014712i,-0.014344-0.017083i,-0.055818-0.011892i,-0.077415+0.012643i,-0.066068+0.01847i,-0.040327+0.0067899i,-0.014787+6.8756e-05i,0.010733-0.0080618i,0.022428-0.030065i
0.014718-0.0056568i,0.029438-0.010918i,0.058448+0.011865i,0.086786+0.096099i,0.093218+0.20748i,0.070426+0.25106i,0.027983+0.19484i,-0.029634+0.13558i,-0.059937+0.14061i,-0.028696+0.13822i,0.0072118+0.079764i,0.007518+0.018812i,0.0024656-0.012929i,0.0010347-0.018501i,-0.0039902+0.00017822i,-0.0002915+0.013943i,0.0054164-0.0017707i,-0.0067949-0.026527i,-0.030053-0.028359i,-0.03542-0.0045674i,-0.017635+0.011699i,-0.0075281+0.0027239i,-0.01633-0.0060609i
0.011729-0.0056972i,0.00093837-0.0083109i,-0.055754-0.0078708i,-0.13859+0.010606i,-0.12005+0.0014898i,0.017398-0.071795i,0.1051-0.15459i,0.085619-0.17747i,0.053031-0.14544i,0.041056-0.10692i,0.022835-0.068355i,0.00026927-0.034017i,-0.015532-0.022547i,-0.022918-0.021653i,-0.018015-0.0064431i,-0.0036148+0.019076i,0.018077+0.037743i,0.036413+0.036832i,0.034969+0.022948i,0.020699+0.01267i,0.0083907+0.0078956i,-0.001894+0.0098772i,-0.0091687+0.018753i
0.0043773+0.0072435i,0.0038893+0.016547i,0.030648-0.013444i,0.073196-0.11014i,0.067072-0.18892i,-0.0072219-0.14198i,-0.059817-0.01835i,-0.032236+0.026075i,0.0069634-0.033378i,-0.0018121-0.064456i,-0.013972-0.024702i,-0.0036383+0.0149i,0.0010404+0.031938i,0.003776+0.031376i,0.011732+0.0039096i,0.0051634-0.029329i,-0.012769-0.039968i,-0.01333-0.034068i,0.0076257-0.033652i,0.016054-0.03561i,0.00099756-0.018575i,-0.0027219+0.010519i,0.012788+0.018391i
-0.0058056-0.0065908i,-0.0077455-0.016375i,0.0086136-0.010361i,0.02555+0.030093i,-0.0042292+0.096394i,-0.02681+0.13344i,0.0091506+0.086453i,0.023628+0.035783i,-0.0011531+0.060656i,-0.0029286+0.080955i,0.0017621+0.040857i,-0.0053448+0.00054777i,-0.0019481-0.012062i,0.0044141-0.0075137i,0.0058893+0.0056855i,0.0154+0.0027228i,0.022695-0.02309i,0.01626-0.04426i,0.0056351-0.045412i,-0.0034957-0.032379i,-0.005108-0.01675i,-0.0011985-0.012808i,0.0018385-0.013061i
0.0071633-0.004294i,0.00056399-0.0038911i,-0.024753+0.034059i,-0.041121+0.11624i,-0.0031453+0.14562i,0.042067+0.082091i,0.042667+0.025251i,0.032622+0.0077658i,0.026644-0.0030129i,0.011659-0.0028912i,0.0043135-0.0016068i,0.0034211-0.018704i,-0.0031564-0.03846i,-0.011222-0.038534i,-0.02223-0.011055i,-0.026521+0.034005i,-0.015957+0.072555i,-0.0038602+0.091733i,0.0029518+0.089063i,0.014621+0.061602i,0.025044+0.020283i,0.014244-0.0087386i,-0.012006-0.014082i
0.0022388+0.010707i,0.01554+0.014977i,0.020927-0.016365i,0.012494-0.094231i,0.016534-0.143i,0.020359-0.092525i,-0.0058701+0.020636i,-0.010164+0.092152i,0.019422+0.069793i,0.023043+0.0219i,0.008097+0.014831i,-0.0013712+0.023442i,-0.01654+0.030465i,-0.0234+0.034397i,-0.012741+0.019746i,-0.007379-0.0018904i,-0.012654-0.0086046i,-0.0075807+0.0016901i,0.01329+0.014117i,0.021675+0.013677i,0.0070756+0.0098222i,-0.0028099+0.015976i,0.0051659+0.017288i
0.00027527+0.0057294i,-0.0068822+0.0024035i,-0.0056666-0.015787i,-0.021801-0.033149i,-0.076948-0.014874i,-0.10776-0.015399i,-0.071283-0.076245i,-0.042503-0.10523i,-0.039711-0.05795i,-0.021167-0.030003i,-0.014597-0.04294i,-0.016285-0.033839i,-0.00032091-0.012794i,0.011131-0.0081736i,0.011925-0.01046i,0.014088-0.01607i,0.020351-0.031381i,0.023502-0.055579i,0.013047-0.069201i,-0.0064261-0.055033i,-0.020823-0.027011i,-0.020327-0.0099723i,-0.0084289-0.0079565i
-0.0093614-0.004586i,-0.017465-0.0015848i,0.00050329+0.039423i,0.061418+0.096466i,0.09398+0.10373i,0.053833+0.087904i,0.0072693+0.089236i,0.0013412+0.052994i,-0.0084626-0.017838i,-0.025293-0.038406i,-0.011522-0.024821i,0.011045-0.030218i,0.020411-0.043018i,0.016702-0.045627i,-0.005726-0.031491i,-0.030056-0.002262i,-0.036425+0.024281i,-0.038523+0.028334i,-0.046413+0.0129i,-0.040828+0.0033977i,-0.012877+0.0015817i,0.0084961-0.006201i,0.0040794-0.008362i
0.013424-0.0026651i,0.024393-0.010073i,0.010047-0.012239i,-0.014656-0.0018496i,0.032827-0.0070024i,0.11159-0.027872i,0.1093-0.02552i,0.06874+0.021529i,0.076084+0.062155i,0.090248+0.054194i,0.065126+0.037717i,0.023858+0.034699i,-0.010981+0.036866i,-0.020246+0.041615i,0.0018212+0.035605i,0.017981+0.0093484i,0.0028822-0.012338i,-0.017485-0.001295i,-0.016403+0.026419i,-0.0028525+0.034908i,0.0061945+0.022718i,0.0087891+0.013642i,0.013519+0.011611i
-0.010884-0.0052547i,-0.015665-0.0038766i,-0.041782-0.030331i,-0.098431-0.067236i,-0.15805-0.060358i,-0.16239-0.051664i,-0.10863-0.08503i,-0.063472-0.093718i,-0.03991-0.047159i,-0.013122-0.011247i,-0.0010596-0.011444i,-0.0026293-0.0093958i,-0.0004639-0.0036978i,0.002041-0.0053241i,0.0079564-0.0068383i,0.02205-0.0052033i,0.042071-0.00050075i,0.064066+0.0026618i,0.071581-0.0021342i,0.049551-0.01208i,0.014126-0.013951i,-0.0063155-0.0053705i,-0.0086809-0.0013181i
-0.005278+0.0021782i,-0.011209+0.014226i,0.024622+0.025496i,0.091052+0.008885i,0.085679-0.0086577i,0.0076803+0.047128i,-0.016325+0.1283i,0.0053229+0.095687i,-0.026944+0.0017612i,-0.066662-0.013601i,-0.042889+0.0087082i,-0.0010978-0.0053416i,0.015863-0.024696i,0.01287-0.025109i,-0.0085209-0.013438i,-0.026248+0.0062566i,-0.023075+0.012408i,-0.018112-0.01011i,-0.020368-0.0376i,-0.018611-0.036247i,-0.0068472-0.013672i,0.0044302-0.0041434i,-0.00077057-0.0090055i
-0.0040278-0.01519i,-0.0032903-0.024313i,-0.0013431+0.0066122i,0.030103+0.089716i,0.11794+0.12333i,0.20069+0.037846i,0.16794-0.054589i,0.093715-0.037834i,0.078275+0.017592i,0.063395+0.023339i,0.019412+0.017096i,-0.014833+0.024704i,-0.031299+0.029559i,-0.031881+0.036299i,-0.012366+0.037058i,0.0018158+0.015133i,-0.01518-0.01341i,-0.046882-0.018522i,-0.057568+0.0010367i,-0.036398+0.019727i,-0.0073517+0.020676i,0.0047545+0.014684i,0.0083032+0.013615i
0.0091141+0.0015176i,0.0055439-0.0052414i,-0.040341-0.029981i,-0.13294-0.055358i,-0.19531-0.049989i,-0.17633-0.018162i,-0.11994+0.0035627i,-0.079122+0.016925i,-0.041226+0.018669i,-0.011806-0.0017393i,-0.0069116-0.017719i,-0.0055781-0.018013i,-0.0012589-0.020942i,-0.0046857-0.028791i,-0.010821-0.023436i,-0.0075495+0.0032406i,0.012725+0.039978i,0.046339+0.069343i,0.068097+0.069062i,0.052489+0.032319i,0.010905-0.0044174i,-0.019399-0.0093308i,-0.018757+0.0025789i
0.00011374+0.010947i,0.010447+0.025972i,0.04517+0.0069481i,0.067871-0.07174i,0.014066-0.1115i,-0.070292-0.022912i,-0.060361+0.086633i,-0.010188+0.073708i,-0.01674+0.013736i,-0.021248+0.0010382i,0.0048453-0.0049865i,0.025623-0.017667i,0.036802-0.01994i,0.036009-0.021092i,0.015215-0.025497i,-0.0077015-0.02259i,-0.0088019-0.016102i,0.0078343-0.026182i,0.018831-0.047123i,0.0096423-0.047173i,-0.0048229-0.022227i,-0.003019-0.0052396i,0.00014548-0.0095251i
0.0025293-0.0062735i,-0.0061569-0.010371i,0.017583+0.025452i,0.1146+0.11448i,0.24181+0.14983i,0.26151+0.031668i,0.14601-0.10192i,0.058372-0.095216i,0.060308-0.031307i,0.05945-0.017872i,0.021464-0.02226i,-0.015643-0.0056968i,-0.03152+0.019064i,-0.023175+0.039461i,0.0044834+0.040562i,0.021674+0.0062907i,0.0014051-0.040628i,-0.039729-0.060282i,-0.062859-0.041746i,-0.045283-0.0046319i,-0.0035014+0.014499i,0.019541+0.0056554i,0.01336-0.0027789i
0.0020376-0.0050901i,-0.013056-0.012943i,-0.074742-0.010328i,-0.1714+0.014798i,-0.21135+0.04173i,-0.15077+0.057853i,-0.08349+0.070428i,-0.063027+0.066714i,-0.056122+0.036974i,-0.041026+0.017148i,-0.018127+0.015106i,-0.0047208+0.0026382i,-0.0096029-0.011841i,-0.020975-0.016702i,-0.028287-0.0051131i,-0.021657+0.02843i,-0.0029231+0.064723i,0.0090273+0.089481i,0.012459+0.091834i,0.016674+0.060118i,0.013316+0.017732i,-6.1242e-05+8.8329e-05i,-0.007453+0.006041i
0.016973+0.010271i,0.042397+0.0078134i,0.069943-0.041724i,0.030363-0.15193i,-0.091266-0.20778i,-0.15796-0.11936i,-0.086836-0.03152i,-0.014651-0.041815i,-0.015504-0.045159i,-0.013151-0.0088678i,0.0089586+0.0052384i,0.021336+0.0017011i,0.030158+0.00060103i,0.033499-0.0069337i,0.018316-0.02026i,-0.0037186-0.022942i,-0.007085-0.013185i,0.010968-0.01246i,0.025194-0.025406i,0.011595-0.030477i,-0.012534-0.016688i,-0.013334-0.0032171i,0.0032762-0.010044i
-0.0077257+0.0054283i,-0.015938+0.013991i,0.021546+0.042508i,0.15199+0.087365i,0.28904+0.096953i,0.2831+0.020822i,0.17212-0.059169i,0.10865-0.057081i,0.10896-0.030209i,0.076934-0.032184i,0.015116-0.027157i,-0.015951-0.010659i,-0.024111-0.0039043i,-0.019756+0.0055618i,0.0070417+0.0094423i,0.028107-0.01819i,0.019131-0.062641i,-0.00049393-0.08921i,-0.016008-0.082044i,-0.020922-0.044604i,-0.0093983-0.0064741i,0.005542+0.0058867i,0.0073934+0.0032876i
-0.0058978-0.00029769i,-0.028547+0.005792i,-0.077207+0.05116i,-0.12699+0.13402i,-0.11485+0.17409i,-0.044074+0.15391i,0.00054432+0.15884i,0.0049363+0.15971i,-0.0076168+0.10011i,-0.01947+0.04584i,-0.0080537+0.025026i,0.003047+0.00070597i,-0.0088628-0.019294i,-0.02576-0.0161i,-0.035911+0.0096686i,-0.030832+0.046504i,-0.018326+0.070749i,-0.015771+0.076575i,-0.012166+0.067338i,0.0021446+0.041026i,0.010965+0.011545i,0.0049512+0.0018505i,-0.0047752+0.012341i
0.0067067+0.002043i,0.030848-0.025582i,0.036128-0.10139i,-0.047523-0.20466i,-0.18214-0.22897i,-0.22454-0.15492i,-0.16486-0.10728i,-0.12293-0.092908i,-0.10187-0.036476i,-0.043103+0.0076296i,0.0027274+0.0022936i,0.012926+0.0029771i,0.025165+0.015066i,0.030824+0.0096755i,0.013882-0.0068795i,-0.0086258-0.0090025i,-0.012928+0.010975i,0.0064582+0.031769i,0.027778+0.029104i,0.025303+0.0047131i,0.0029976-0.014325i,-0.010071-0.014273i,-0.0044594-0.01236i
0.0011319+0.0094121i,0.0021768+0.02483i,0.040305+0.039173i,0.14227+0.034311i,0.2373+0.020956i,0.20688+0.013791i,0.11066+0.0094966i,0.077147+0.010295i,0.084741+0.0012499i,0.057107-0.018978i,0.0079592-0.025145i,-0.014917-0.017687i,-0.018267-0.015335i,-0.015283-0.012971i,0.0032505-0.012581i,0.023875-0.030687i,0.03501-0.06037i,0.039024-0.078105i,0.031843-0.070292i,0.013918-0.04131i,0.00018134-0.012766i,-0.0036162-0.0019258i,-0.0042851-0.0011139i
-0.0063504+0.0026934i,-0.022614+0.025902i,-0.033337+0.10745i,-0.0037704+0.22334i,0.05282+0.24692i,0.076558+0.16078i,0.061014+0.1145i,0.048611+0.10084i,0.027536+0.040764i,-0.0040586+0.0032958i,-0.0026197+0.0081178i,0.0063395-0.00013815i,-0.003877-0.0090965i,-0.014155-0.0034715i,-0.021869+0.012014i,-0.027652+0.031448i,-0.034958+0.039211i,-0.049928+0.032828i,-0.054372+0.023601i,-0.032458+0.022278i,-0.0013883+0.023088i,0.011296+0.016192i,0.0020798+0.0086607i
