0.00080484+0.001025i,0.00036979-0.0002141i,-0.00077427-0.0011287i,-0.0018611-0.0013404i,-0.0022967-0.00050519i,-0.0016693+0.00095464i,-0.001115+0.001518i,-0.0011163+0.0016251i,-0.00073815+0.0017218i,0.00076995+0.0011475i,0.0018924+0.00042084i,0.00092441-0.00029773i,4.0849e-05-0.0010012i,0.00086324-0.00070076i,0.0015179-0.00043508i,0.00040922-0.00031216i,-0.00095168+0.00040128i,-0.00087944+0.00024975i,-0.00022631-0.00095002i,0.00053844-0.0013887i,0.00075608-0.0010193i,9.5117e-05-0.00034845i,0.00011025+0.00031757i
0.00088234-0.00041686i,0.00083318+0.00073782i,0.00025458+0.00039767i,0.00084058+0.00020248i,0.00026716+9.9918e-05i,-0.0004439-6.1446e-05i,-0.00025806-0.00017653i,-0.00032725-0.00019226i,-0.00082538+0.00053315i,-0.00060451+0.0012279i,0.0003105+0.0009122i,0.00031168+0.00065009i,0.00017857+0.00041526i,7.001e-05-0.00020584i,-0.00023538+1.8665e-06i,-4.3072e-05+0.00038815i,0.0005053-8.1609e-06i,8.8424e-05+0.00017498i,-0.00030949+0.00038362i,-0.00027013+0.00051479i,-0.00036011+0.00099501i,-0.00046915+0.00017141i,-0.00024327-1.6367e-05i
-0.0020034-0.00032227i,-0.0022256-7.3897e-05i,-0.0027795+0.00094204i,-0.0027388+0.0012678i,-0.0020449+0.0011441i,-0.0010724+0.0013129i,-0.00051268+0.00094169i,-0.00050115+0.00062431i,-0.00071149+0.00088022i,-0.00058627+0.00083553i,0.00054653+0.00092883i,0.0015659+0.0010206i,0.001682-0.00012308i,0.00062114-0.001299i,9.097e-05-0.00080343i,-0.00016016+0.00036271i,-0.000351+0.00052718i,-0.0003747+0.00035053i,-0.00018154+0.00035203i,0.00017745+8.1824e-05i,-0.0002762-0.00042069i,-0.00035503-0.00043394i,0.00018253+0.00011243i
0.0012666+0.00086416i,0.00040134-0.0006882i,-0.00042276-0.0011185i,-0.0007863-0.00053787i,-0.00019634+0.0001379i,-0.00027495+0.00038539i,5.0662e-05+0.00091672i,-0.00024173+0.00079072i,-0.00062181+0.00036168i,-0.00062479+0.00092182i,-0.00026559+0.00048224i,0.00027165-0.0010875i,0.0010259-0.0010933i,0.0014924+8.2397e-05i,0.00049009+0.00065324i,-0.00069948+0.0011755i,-0.00062588+0.00076372i,0.00064172+0.00017543i,0.00087105+0.00010689i,-0.00012565-0.00046801i,-0.00088932-0.00043071i,-0.0010489+2.2236e-05i,-0.00075412-0.00013227i
-0.00098628-0.0028429i,-0.0014565-0.003026i,-0.0027148-0.0028398i,-0.0027217-0.0014496i,-0.0027098+0.000501i,-0.0014597+0.0012544i,-0.00018549+0.00010808i,-0.00044921+0.00010614i,-0.0011004+0.00062092i,0.00019785+0.00018035i,0.0012058+0.00062999i,0.00095106+0.00039671i,0.00087405-0.00023576i,0.00096149-3.6646e-05i,0.00052041-0.00014428i,0.00010201-8.2042e-05i,0.00019702+0.00030603i,0.00017011+6.1763e-05i,0.00035116+0.00042073i,0.00044037+0.000849i,0.00038036-7.8956e-06i,-0.00017894-0.00021147i,0.0001273+0.00067126i
-0.0022235-0.00019857i,-0.0017924+0.0014305i,-0.00093056+0.00094362i,-0.00037365+0.0005537i,-0.00092919+0.00062221i,-0.0010923+0.0011523i,-0.0009663+0.0011255i,-0.00080111+0.00081117i,-0.0001767+0.0013552i,-5.1487e-05+0.0015011i,-0.000374+0.00037874i,8.8998e-05-0.00026751i,0.00069268+0.000159i,0.00051109-0.00026992i,-0.00079452-0.00073242i,-0.0012653-0.00050665i,-0.0013535+2.7227e-05i,-0.0011276-0.00010452i,0.00035351-0.00014258i,0.0008047+0.00026055i,0.00062405+0.00032923i,0.00034389+7.591e-05i,-0.00017828+0.00017353i
-0.0018991+0.0012179i,-0.0011489+0.0012269i,-0.00075102+0.0023271i,-0.0010772+0.0027737i,-0.00070152+0.002461i,-0.00075071+0.001713i,-0.00091519+0.00099433i,-0.00026713+0.00060437i,-3.1868e-05+0.0010192i,-0.00042554+0.0012449i,0.00013283+0.00041746i,0.0018793+0.00015047i,0.002032+0.00029951i,0.0006926-0.00059453i,0.00015484-0.0015059i,2.1852e-05-0.0010953i,-0.00052879-0.00033568i,-0.0010924-0.00042371i,-0.00052841-0.0011973i,0.0004939-0.0014216i,0.00078611-0.00055719i,0.00094417+6.3788e-05i,0.0002882+0.00034503i
-0.0010629-0.0009986i,-0.0020857-0.00094671i,-0.002038-0.0010257i,-0.0021413-0.0012323i,-0.0012814-0.00038956i,-0.00057645+0.00044828i,-0.00024894+0.00063283i,-0.00048076+0.0007158i,-0.00065739+0.00082616i,-0.00040062+0.00075056i,-2.1002e-05+0.00012898i,0.00095908-6.1297e-05i,0.0009936+9.1113e-05i,0.00097639+0.00010916i,0.0013888+0.00095425i,0.0017683+0.00074894i,0.0012402+4.2788e-05i,0.00027052-0.00012653i,0.00032804+0.00017612i,0.00055677-4.034e-05i,0.00057701-0.00023289i,0.00089439+0.00015916i,0.00095815+0.0001043i
0.0012687+6.5765e-05i,0.0012578-0.00017769i,0.0011493-0.0012248i,-0.00032189-0.001267i,-0.0012855-9.5404e-05i,-0.0011961+0.0011283i,-0.0007755+0.0011154i,-0.00094616+0.00065012i,-0.00089391+0.00088059i,-0.00049243+0.0011943i,-0.00054355+0.00014881i,-0.00029339-0.00038661i,0.00012101+0.00024929i,8.6834e-05-0.00064961i,-0.00032853-0.0013188i,-0.00043633-0.00078494i,-0.00020243-0.00050739i,-0.00030028-0.00037181i,-0.0003696-2.94e-05i,-4.8551e-05+0.00018217i,0.00037859+8.6359e-05i,0.00027201-7.8744e-05i,6.2428e-05-0.0001095i
0.00072294+0.0011016i,0.00034263+0.00047115i,0.00085419+0.00066164i,0.0010639-5.8562e-05i,0.00092931-0.00062608i,1.4903e-05-0.00012763i,-0.00028726+0.00053375i,-0.00031423+0.0010819i,-0.00021225+0.0011967i,-1.2296e-05+0.0011518i,1.3681e-05+0.00014909i,0.00087557-0.00064668i,0.0013713-0.00011817i,0.00063545+0.00034917i,-0.00028811-0.0002622i,-0.00081903-0.00073059i,-0.00072352-0.00080697i,-0.00045617-0.00044534i,-0.00069096+0.00062026i,-0.00016966+0.00046178i,0.00056113-6.5908e-05i,2.9588e-05+0.00028995i,-0.00031449+0.00059361i
-0.0016293+0.00071166i,-0.0018848+0.0003732i,-0.0015734+0.0012913i,-0.0013975+0.0024093i,-0.0011407+0.0018507i,-0.00062742+0.00039511i,8.0269e-05-0.00037709i,-0.00034002+0.00043751i,-0.0010247+0.0018137i,-0.00054308+0.0018948i,-3.7742e-05+0.00079618i,0.00059018-0.00024239i,0.00066757-0.00053283i,0.00068985-0.0002579i,0.00028146-0.00052262i,-0.00038056-0.00086982i,-0.00019817-0.00096303i,-8.6766e-07-0.00095344i,0.00039268-0.0002778i,0.00025708+0.00014744i,-0.0001184+0.00015753i,0.00014913+0.00015158i,0.00023539-8.6361e-05i
