-0.0053986+0.0011237i,-0.003724+0.0021566i,-0.0031412+0.0036898i,-0.0019276+0.0048016i,0.00072536+0.0041613i,0.002433+0.0026599i,0.0014305+0.0010306i,7.3538e-06+0.00071986i,0.000105+0.0012865i,0.001099+0.00066637i,0.0013005-0.00084742i,0.00047638-0.0018984i,0.00046064-0.0025544i,-0.00018886-0.0023058i,-0.0011886-0.0013332i,-0.00086377-0.00065249i,-0.0002778-0.00012848i,0.00025469+8.6792e-05i,0.00062842-0.00035095i,0.00046481-0.00089058i,0.00047553-0.0014528i,0.00071636-0.0010591i,0.0002778-2.3403e-05i
-0.0013119-0.00060751i,-0.00034911-0.00020204i,0.00063467+0.00018866i,0.00075466+0.00023107i,0.0011561+0.00037697i,0.0015994+0.00047214i,0.00071633-0.00080104i,0.00029746-0.00090481i,-9.0349e-05-0.0006379i,0.00054881-0.00086426i,0.00099995-0.00063491i,0.00016642+0.0001258i,7.155e-05+0.00019971i,0.00022329-9.2955e-05i,5.0898e-05-0.00029438i,0.00029825-0.00012629i,0.00061587+0.00021513i,0.00052937-0.00012447i,-0.00028936-0.00064213i,-0.00026015-0.00020755i,-0.00052098+0.00080477i,-0.0009774+0.00095809i,-0.0010424+0.00045027i
0.0007304-0.0010417i,-0.00019698+7.7437e-05i,-0.00047705-7.8147e-05i,-0.0014548-0.00018246i,-0.0015401+0.00024937i,0.00012063+0.00086049i,0.0008763+0.00069512i,0.00020639-0.00012835i,-0.00052021-0.00042754i,-4.1462e-05-0.00028985i,0.0003815-0.00016127i,1.5609e-05-0.00015808i,0.00072526-0.00032122i,0.00084445+0.00010067i,5.6084e-05+0.0002293i,2.2775e-05-5.4205e-05i,-6.8487e-05-0.0001643i,-4.6217e-05-0.00033694i,-0.00027013+4.2883e-06i,-0.00038074+0.00026398i,-0.00014414-2.6591e-05i,0.00025668-0.00015526i,0.00010973-6.7721e-05i
0.0009021-0.0010997i,0.00095917-0.0011011i,0.0014172-0.00026154i,0.0017925-4.4066e-05i,0.0011996+0.00019962i,0.00038408+4.274e-06i,-0.00040571-0.00078989i,-0.0005764-0.00091951i,-0.00057617-0.00068782i,6.6051e-05-0.0010095i,0.00082253-0.0012005i,0.00090139-0.00090701i,0.00054037-0.00068583i,0.00055144-0.00047602i,0.00046968-0.00022241i,0.00068769-0.00017962i,0.00079726-0.00023719i,0.00043689-0.00049926i,0.00023127-0.00015417i,-0.00011483+0.0003993i,0.00031535+0.00085226i,0.00058275+0.0003844i,0.00031738-0.00078219i
-0.0020085+0.00022577i,-0.0023844-0.00055092i,-0.0028783-0.00054707i,-0.0017806+0.0011655i,-0.00022695+0.0024083i,0.0012412+0.00065454i,0.0018188-0.0011765i,0.0012176-0.0011202i,0.00063627-0.00092803i,0.00071567-0.0001425i,0.00098565+1.5543e-05i,0.00041801-0.00069866i,0.00044624-0.00056439i,0.00074442+0.0001936i,4.6834e-05+8.0278e-05i,-0.00035925-0.00023035i,-0.00054848+0.00036378i,-0.00088441+0.00043468i,-0.00055852-1.5191e-05i,-0.00015281-6.8776e-05i,-6.0036e-05-8.7274e-06i,-0.00036883+0.00085251i,-0.00039755+0.00096832i
0.00073237-0.00053938i,0.0017053-0.0002592i,0.00066527+0.00041138i,-0.00066149+0.00050333i,-0.00027033-0.00012476i,0.0009475-0.00044641i,0.0014431-0.0011061i,0.0012348-0.0011705i,0.00074229-0.00044089i,0.00061398+0.00028835i,0.00014393+0.00039784i,0.00035877-0.00080026i,0.00097025-0.0014205i,0.00078382-0.0010574i,0.00020533-0.00056005i,-3.8267e-05-0.00021358i,-0.00011031+0.00018445i,-0.00033494+0.00018654i,-5.9308e-05-0.00059886i,0.00010514-0.00049873i,0.00031376+0.00021612i,0.00027687+8.4329e-05i,3.1657e-05-0.00042778i
-0.00046357+0.0012335i,-0.00030474+0.00012189i,0.00020192+0.00021786i,0.00079334+0.00016038i,0.0010049-8.0865e-05i,0.0006541-0.0014464i,0.0004376-0.002062i,-0.00018602-0.0014801i,-0.00060484-0.00019646i,-0.000525+0.00093326i,0.0001745+0.00050986i,0.00060564-0.00022221i,0.00070197+0.00040564i,0.0003951+0.00070618i,0.00041716+0.00048168i,0.00055217+0.00037389i,0.00050492-4.7976e-05i,0.00066349+6.4757e-08i,0.00037504+0.00047037i,6.1024e-05+0.00071069i,-0.0002929+0.00076499i,-0.00039517+0.00027177i,-0.00026299-8.7525e-07i
-0.00086339-0.00050188i,-0.0017664+0.00071695i,-0.0013908+0.00030485i,-0.00086257-0.0004559i,-5.7508e-05-0.00012333i,0.00063328+0.00081479i,0.00087525+0.00033137i,0.00029314-0.0001649i,-0.00011555+0.00044562i,0.00038727-0.00010214i,0.00025974-0.0015588i,0.00017172-0.0019796i,0.00074069-0.0012928i,0.00060017-0.00040415i,0.00018497+0.00026592i,-3.2219e-06+0.00052677i,0.00017224+0.00042348i,0.00064564+5.3553e-05i,0.00084749-0.00030756i,-0.00017185-0.00042949i,-0.00050727-0.0010157i,-9.617e-05-0.00072765i,-0.0003274-0.00047089i
0.0026896-0.00091037i,0.0017603-0.0030237i,0.0011127-0.0037963i,0.00059898-0.0018827i,0.00035969-0.0016021i,0.00046699-0.0019255i,0.00084202-0.0013943i,0.00056848-0.00087621i,0.00019675-0.00036006i,0.00066352-0.00010162i,0.0010473-0.00075731i,0.00081736-0.00097973i,0.00059422-0.00073754i,0.00084631-0.00070107i,0.0012341-0.00042725i,0.0010123+4.0203e-06i,0.00062976+0.0003172i,0.00059383+0.00029587i,0.0011754+0.00019265i,0.00084378-9.5515e-05i,-0.00030776-0.0003527i,-0.00065981+1.9839e-05i,-0.00054875+0.00022933i
-0.00081689-0.00024639i,-0.00041901-0.00041979i,-0.00035921-0.00084403i,-0.0011163-3.41e-05i,-0.00096547+0.0010894i,0.00013981+0.001486i,0.00059772+0.0006996i,-0.00015728-0.00043463i,-0.00021359-0.00047524i,-0.00012049+0.00043528i,-0.0005432+0.00059536i,-0.00023324+0.00022096i,6.1749e-05+0.00025464i,0.00059534+0.00012702i,0.0010136-2.4973e-05i,0.00057079-0.00036015i,0.00045583-0.00031686i,0.00074753-0.00016296i,0.00049427+0.00021167i,-0.00018339+0.0005589i,-0.00026771+0.00023257i,-1.5034e-05+0.00020804i,0.00026402+0.00039005i
-0.00031859-0.00016168i,-0.00079483-0.00027696i,-0.00076714-0.00054025i,0.00024196+6.4373e-05i,0.00055875+0.00012206i,0.00078315-0.00036239i,0.0010131-0.00052698i,0.00051413-0.00068601i,0.00035635-0.0005719i,0.00023897-0.0011231i,-0.00051038-0.0018331i,-0.0002919-0.0015503i,0.00073113-0.00053598i,0.0006878+0.00047238i,0.00010095+8.3056e-05i,0.00017521-0.00038869i,0.00056984+0.00035232i,0.00064389+0.0015404i,0.00071876+0.0013413i,0.00056846+0.00052786i,-0.00042431+0.00055814i,-0.00085859+0.00055264i,-0.00054004-4.9657e-05i
0.00076568-0.0020307i,-0.0010225-0.0013101i,-0.0029096-0.0014241i,-0.0031386-0.0010551i,-0.001226+7.7405e-05i,0.00015279+0.00074501i,0.0012241+0.00012628i,0.0013762-0.00073426i,0.00031822-0.00043353i,-0.0004191+3.5629e-07i,-0.00084308-0.00057549i,-0.00027286-0.00089648i,0.00090199-0.00051865i,0.00058071-0.0001707i,-4.9315e-05-4.9647e-05i,0.00043664+0.00014306i,2.7162e-05-2.3258e-05i,-0.00092897+0.00026288i,-0.00048286+0.0009338i,0.00074332+0.001029i,0.00095856+0.00092075i,1.7132e-05+0.00057704i,-3.0441e-05+0.0002156i
0.00053293-0.0011497i,0.00049354-0.00074873i,0.0001905-0.00092412i,-0.00028973-0.00093005i,-0.0008151-0.00065921i,9.6573e-05-0.0003989i,0.0013117-0.00037233i,0.00085471-0.0007887i,-0.0010707-0.0008488i,-0.0010258-0.00046432i,0.00086615-0.00043855i,0.001314-0.00030806i,0.00098511+0.00013649i,0.00055894+0.00030127i,0.0001875-0.00017866i,-7.3468e-05-0.00074731i,-0.00037446-0.00046231i,-0.00016838+7.4974e-06i,0.00011596-1.761e-05i,0.00086008-0.00047086i,0.00091327-0.00075495i,0.00040586-0.0005792i,0.0001083-0.00046446i
