-0.001954+0.0017859i,-0.0031859+0.0024146i,-0.0032862+0.0028141i,-0.0022847+0.0013951i,-0.0021847+0.001093i,-0.0022251+0.0015992i,-0.0012397+0.0015872i,0.00016276+0.001504i,0.00073512+0.00072103i,0.00085895-0.00010661i,0.00091816-0.00018253i,0.00030794+0.00030508i,0.00066565+5.9944e-05i,0.0010062-7.7662e-06i,-0.00017171+0.00022163i,-0.00072176+0.00027865i,-0.00022817-0.00010134i,0.00022304-0.00058418i,0.00045403+0.00027895i,0.00038977+0.00059244i,0.0005978-0.00016712i,0.00043276+4.791e-05i,-0.00034568+0.00026551i
0.00032449+0.00094016i,1.7816e-05+0.0011794i,-0.00018836+0.00026917i,-0.0011139-0.00087669i,-0.0015162-0.0010581i,-0.0009455-0.00025075i,-0.00087686+0.00026801i,-0.0015514+0.00027237i,-0.0016325-0.00045028i,-0.0011925-0.0012326i,-0.00023261-0.00077387i,-0.00012478-0.00025292i,-0.00019483-0.00030882i,0.00047356-0.00023584i,-8.3553e-05+0.00051135i,-0.0011231+0.00038633i,-0.0013814-9.8105e-05i,-0.001316+0.0003242i,-0.00017545+0.0010701i,0.00023835+0.0008223i,0.00025798+0.0001741i,0.0005601-8.8479e-05i,0.00016776-0.00010678i
0.0016069+0.002555i,0.0030623+0.0014202i,0.0021951-0.00066178i,9.6988e-05-0.0014464i,-0.00015541-0.00040199i,4.8476e-05+0.00064596i,0.00040225+0.00020516i,0.00058138-0.00020903i,0.000544+0.00022614i,0.00053352+0.00019807i,0.00040465-0.00044984i,0.0001148-0.00014121i,0.00010323+7.645e-05i,0.00019118+2.598e-05i,-0.00026881+0.00013655i,-0.00044977+0.00026123i,-0.00031283+0.00090879i,-2.1803e-05+0.0012306i,6.6751e-05+0.00098227i,0.00024674+0.00097195i,-3.7143e-05+0.00051275i,0.00019582-0.0002546i,0.0010989-0.00023649i
0.0014915+0.0025893i,0.0015901+0.0033941i,0.00087408+0.0024986i,-0.00027231+6.3269e-05i,-0.00050795-0.00099069i,-0.00064024-0.0010042i,-0.0013375-0.0011845i,-0.0010986-0.00091975i,-9.5742e-05-0.00093401i,0.00017035-0.00063339i,-0.00034643-0.00036923i,-0.00050002-9.1767e-05i,-0.00064229+0.0005657i,-0.00066941+8.5191e-05i,-0.00049589-0.00033544i,-0.00061886+4.007e-05i,-0.00050325+0.00022156i,-9.529e-05-0.00057927i,-3.0922e-05-0.0001913i,9.4734e-05+0.0011899i,0.00024035+0.00091584i,-3.7083e-05+7.7661e-05i,-0.00058646+0.00013095i
-0.0015089+0.0027682i,-0.00073361+0.0018088i,-0.00014894+0.00081983i,-0.00045892-9.1067e-05i,-0.00049208-0.00052i,-0.00075708-0.00092149i,-0.00075783-0.0011333i,-0.00029813-0.0011223i,-0.00057803-0.00078805i,-0.00068401-0.0006275i,-0.00033656-0.00043493i,-0.00014203+3.2508e-05i,-0.00032662+0.00050617i,-0.00081292+0.00041544i,-0.00084362-4.3436e-05i,-0.00026107+6.6055e-05i,4.4346e-05+0.00024298i,0.00018579+0.00042106i,0.00048656+0.00064633i,0.00020424+0.00025588i,-0.00052716-0.00015394i,-0.00011799-0.00044227i,0.00081889+8.4608e-05i
-0.00097798+0.0016445i,-0.00073992+0.0016698i,0.00015542-9.4213e-05i,6.406e-05-0.0011662i,-0.00029696-0.0010965i,0.00058971-0.0007504i,0.0010122-0.00060048i,0.00026483-0.00059871i,-0.00050966-0.0010569i,0.00059091-0.0012997i,0.00083595-0.00083594i,0.00017313-0.00080809i,0.00033752-0.00060615i,0.00016149-0.00010657i,-5.8143e-05+0.00042973i,0.00018166+0.00012102i,0.00020042+1.0161e-05i,-0.00019198+0.00035627i,-0.00026881+0.00012089i,0.00011399-0.00065683i,0.00055102-0.00046183i,0.00042998-5.8086e-05i,0.00020625-0.00022659i
0.0023591+0.0023186i,0.003096+0.0010619i,0.0030483+8.2969e-05i,0.0019928-0.0013021i,0.00013281-0.0020397i,-0.0015875-0.0017752i,-0.0018759-0.0010693i,-0.001213-0.00074416i,-0.00013835-0.00047562i,0.00055073+6.9322e-05i,-5.4317e-05-0.00064509i,0.00027246-0.00069588i,0.00019226+2.4497e-05i,-0.0012994+0.00012874i,-0.00092895+0.00076413i,-8.1499e-05+0.0012279i,-6.9575e-05+0.00052369i,-0.00024188-0.00054478i,-0.00034659-0.00075586i,-0.0003671+0.00041299i,-0.00036891+0.00080121i,4.1578e-05+0.00027999i,0.00036168-8.7449e-05i
-0.00022065+0.0035357i,5.7789e-05+0.004554i,0.0002231+0.002775i,0.0005787+0.00032617i,0.00048022-0.00080787i,0.00040623-0.0013986i,0.00043653-0.0011388i,0.00048506+0.00015249i,0.00070958+0.00049938i,-0.0001978+0.00046578i,-0.0010299+0.00022664i,0.00021546-0.00024894i,0.00099987-0.00012286i,-0.00010794-0.00039184i,-0.0004315-0.00055212i,-0.00026963-1.9315e-05i,-0.00033833+0.00028709i,-0.00081139-0.00059243i,-0.0012618-0.00083505i,-0.0013373-0.00022332i,-0.00093383-0.00045729i,-0.00075996-0.00078469i,-0.00017313-0.00061377i
0.0010154-0.0018404i,-3.1721e-05-0.0020183i,-0.0018866-0.0025395i,-0.0024767-0.0018093i,-0.0021589-0.00088365i,-0.00092339-0.0010446i,-8.1687e-05-0.0014788i,1.2914e-05-0.00081497i,-5.4296e-05-0.00036643i,-4.0068e-05-0.00094126i,-1.8646e-05-0.00026526i,-1.1861e-05+0.00057624i,-4.8467e-05+0.0010375i,-0.00029846+0.0012543i,-8.9193e-05+0.0012332i,4.644e-05+0.00088028i,-0.0004998+0.00034528i,-0.00063578+0.00031963i,-0.00015168+0.00078847i,0.00016463+0.00066306i,8.7188e-05-0.0003911i,0.0001449-0.00028069i,-9.4671e-05+0.0001476i
0.00081333+0.0012218i,0.00046652+0.00052348i,2.813e-05-0.0011015i,-0.0010253-0.0014576i,-0.0016238-0.00086333i,-0.00086249-0.0009843i,-0.00017787-0.000845i,0.00036844-0.00032144i,0.00045005+0.00075572i,-0.00057245+0.00074597i,-0.00068892+0.00022519i,-0.00017283-5.8102e-05i,0.00045935-4.3108e-05i,0.00070802+0.00061379i,9.3693e-05+0.00046811i,-0.00033501+0.00015884i,0.0001286+8.1728e-05i,0.00064822+0.00062819i,0.000369+0.0014702i,-0.0001323+0.0009395i,0.00012346-0.00013019i,0.00041738-0.00056827i,-0.00012839-0.00065813i
0.0028905+0.00023533i,0.0025528+0.00078789i,0.0028785+0.00063907i,0.0012675-0.00031448i,-0.0014025-0.0013024i,-0.0022076-0.0017191i,-0.0010469-0.0014889i,0.00045512-0.00072459i,0.00064873-0.00081491i,-0.00014923-0.00095464i,-0.0010735-0.00049007i,-0.0010293-0.00089879i,-0.00027248-0.00071688i,-0.00037257+0.00013194i,-0.0011442+0.00026916i,-0.0013775-6.7023e-05i,-0.00083279+0.00025988i,0.00028717+0.00070233i,0.00066613+0.00041385i,0.00010579-0.00017089i,-0.0004531+0.00018642i,-0.00084515+0.00073888i,-0.0005327+0.00046453i
-0.00050142+0.0015142i,-0.00058837+0.0020683i,-0.0012828+0.0021465i,-0.0016642+0.0025789i,-0.00038739+0.001892i,0.00087505+0.0010297i,0.0010049+5.1443e-05i,0.00067699-0.00084841i,-0.00012333-0.00078587i,-0.00020504-0.001117i,0.00045532-0.0010291i,0.00071938-0.00049414i,0.00011608-8.518e-05i,-0.00021537-0.00036707i,0.00048707-0.00020805i,0.00048811+0.00024776i,5.6852e-05+0.00059051i,-0.00010227+0.00116i,-0.00046714+0.00042217i,-0.00079243-6.8012e-05i,-0.0005722+8.419e-05i,2.6732e-05+0.00010092i,0.00046629+0.00026047i
0.0033606+0.00070664i,0.0027461+0.00072285i,0.00065835-0.0010007i,-0.0014931-0.0012319i,-0.002091-0.0010956i,-0.00090133-0.0016468i,-0.00021916-0.00087485i,0.00032897-0.0001622i,0.0011209-0.00039425i,0.00027089-0.00026453i,-0.00059901-0.0001127i,-3.6565e-05-6.3243e-05i,0.00047392+0.00035022i,-0.00010185+0.00075681i,-0.0003176+0.0010564i,0.00035005+0.00075934i,0.00036845-7.0871e-05i,-0.00014682-0.00072754i,0.00029188-0.00035796i,0.00039275+0.0002884i,5.5558e-05+0.00054057i,0.00031635+0.00014646i,-0.00036074+0.00045461i
-0.00085544+0.00062434i,-0.0010078+0.00038337i,-0.00081812+0.00039234i,-0.00069942+0.00018017i,-0.00042494-0.00026677i,2.4243e-05+5.3339e-05i,-0.00033027+0.00057814i,-0.00085167-0.00025772i,-0.00071865-0.00082467i,-5.288e-05+0.00010025i,0.00070793-2.5584e-06i,0.00055972-0.00023424i,0.00036592-0.00048712i,0.00051201-0.000353i,0.00031052+0.00015964i,-4.8778e-05+0.0005407i,2.6462e-05+0.00077448i,0.00012514+0.0005028i,-6.586e-05+0.00013468i,-0.00043955-0.00028152i,-0.00094516+7.923e-05i,-0.00091514+0.00069938i,-1.0908e-06+0.00025001i
-0.00075519-0.00064931i,-0.00033331-0.0013753i,-0.001246-0.0029438i,-0.0026444-0.0028251i,-0.0022269-0.0017363i,-0.00038288-0.0011066i,0.00051456-0.00046499i,0.0009928-0.00021383i,0.0007376-0.0010215i,-0.00021274-0.0011215i,-0.00073222+1.3817e-05i,-0.00044882+0.00016566i,-0.00052349+0.00021499i,-0.00087782+0.0013047i,-0.00033609+0.0014122i,-0.0001977+0.00028547i,-0.00050711-0.00032424i,-0.00032396-0.00061151i,-0.00012081-0.00029837i,0.00054217+0.00034708i,0.00062641+0.00062742i,0.00089635+0.00040067i,0.00060836+8.3101e-05i
0.0012621+0.0023193i,0.0015546+0.001741i,0.0014946+0.00055106i,0.00017886-0.00025384i,-0.0009555-0.0007188i,-0.0010412-0.00078062i,-0.00043459-0.00061363i,0.00059803-0.0001088i,0.00068509-0.00083169i,-0.00060212-0.001224i,-0.0012008-0.00010614i,-0.00052728+0.00063413i,-0.00039191+0.00054224i,-0.00025754+0.00024789i,0.00011332+0.00015618i,-0.00018708-9.0648e-05i,-0.00010105-0.00030009i,-0.00011747+0.00028427i,-0.00013703+0.00023313i,0.00033142-0.00022036i,0.00069252+1.9243e-05i,0.00037579+0.00029227i,-0.00028335+1.295e-05i
-0.0018211-0.00021325i,-0.001318+0.00034178i,-0.0012627+0.00059109i,-0.0012872+0.00042974i,-0.00068408+0.00095389i,-0.00055287+0.0010129i,-0.00014004+0.00013533i,0.00067462-4.466e-05i,0.00085978+2.9527e-06i,0.00079559-8.8407e-05i,0.001353+0.00031551i,0.0013277+0.00085574i,0.00057674+0.00091494i,0.00081106+0.00017108i,0.0012282-0.00019143i,0.00077003+0.00023508i,0.00051709+0.0006218i,0.00022503+0.00048317i,0.00030147-0.00018563i,0.0005072+5.9268e-05i,0.00057693+0.0013515i,0.00032731+0.0011821i,0.00087789-4.0692e-05i
-0.00017435+0.0012325i,-0.00039533+0.0018956i,-5.955e-05+0.0025263i,0.00056939+0.001197i,0.00085327+6.5226e-05i,0.0011992-0.00058626i,0.00038159-0.00039045i,-0.00038599-0.00027468i,0.00026278+7.874e-05i,0.0004437+0.00048003i,-0.000566+9.3995e-05i,-0.00077995+0.00013817i,-0.00016073+0.00065762i,0.00036334+0.00040417i,0.00088549+0.00013141i,0.0010085+0.00027584i,0.0006411-0.00015128i,-8.6111e-05-3.3423e-05i,-0.00046222+0.00041749i,-0.0004645-0.00036514i,-0.00024737-0.00099664i,-5.9505e-06-0.00048866i,0.00060626-0.00037378i
0.0010546-0.00055102i,0.00058991-0.00097388i,-0.0006372-0.0014136i,-0.00085614-0.0016145i,-0.00070224-0.001473i,-8.7193e-05-0.00071602i,0.00029418+0.00029775i,-0.00011051+0.00056103i,0.00031707-2.64e-05i,-1.7704e-05-9.3621e-05i,-0.00094026+1.9931e-05i,-0.0010281+7.224e-06i,-0.00088333-9.8067e-05i,-0.0010106+8.782e-05i,-0.00090116+0.00038162i,9.7207e-06+0.00036384i,0.00042536+0.00056534i,3.2672e-05+0.00089953i,-0.00010412+0.00064591i,-0.00014973+0.00031953i,-0.00011191+0.00031994i,-6.524e-05+0.00031517i,-0.00049463-7.4115e-05i
0.0013333+0.0022017i,0.0022996+0.00065385i,0.0022384+0.00031968i,0.0013642+0.0001416i,0.00035456-0.000786i,0.00030841-0.0015116i,0.00064586-0.0012056i,0.00023048+1.2911e-05i,0.00019682+0.00073634i,0.0006878-5.8309e-05i,-0.00035293-0.00077777i,-0.00090999-0.00078371i,-0.00084373-0.0010367i,-0.0008211-0.0011905i,-0.00017749-0.00089017i,-0.00031363-0.00064858i,-0.00038277-4.5395e-05i,-0.0006628+0.00043596i,-0.00051026+0.00044278i,-0.00034146+0.0011119i,-0.00018243+0.00072505i,8.2584e-05+0.00028016i,-0.00037454+0.00064068i
0.0010155+0.0035162i,0.0020216+0.0033429i,0.00105+0.002336i,0.00044214+0.0014248i,0.00049108-3.9863e-05i,0.00034723-0.00079749i,-0.00046568-0.00081544i,-0.0010135-0.00070553i,-0.00093377-0.00010356i,-0.0001532+0.00018562i,0.00017366+0.00054297i,-0.00023084+0.00097886i,-0.0010377+0.00092662i,-0.0012004-1.2926e-05i,-0.00043502-0.00043678i,2.5795e-06-0.00033384i,-0.00018114-0.00045074i,-0.0002798-0.00040038i,-0.00012045-0.00030092i,0.00049514+2.8318e-05i,0.00070099+0.00032487i,0.00073501+0.00020299i,0.00091965+0.0008579i
0.0014817+0.0017235i,0.0014626+0.0014913i,0.00092918-0.00047304i,0.00019458-0.0022077i,-2.3975e-05-0.0013304i,-0.00046013-0.00055074i,-0.00054718-0.00086153i,-0.00011829-0.000761i,-9.5194e-05-0.00014833i,0.00050137-1.6492e-05i,0.00040227+0.00040718i,-0.00086172+0.00080477i,-0.00055039+0.001101i,0.00039511+0.0010172i,0.00068928+0.0010508i,0.00030713+0.00029163i,-0.0005506-0.00037657i,-0.00080609+0.00042678i,-0.00044156+0.00093607i,-0.00026295+0.00025693i,0.00030388-0.00015293i,0.00077885-0.00032369i,0.00024137-0.00072856i
0.00035468+0.0026285i,0.00066477+0.0030516i,0.00044406+0.0013288i,-0.001124-0.0011856i,-0.0013383-0.0019426i,-0.001105-0.0015109i,-0.0007564-0.00091793i,-6.1717e-06-0.00053023i,0.00035351-0.00029068i,-0.00016557-0.0005062i,5.9767e-05-0.00070277i,0.00067911+2.1181e-05i,0.00039753+0.0004354i,-2.8937e-05+4.2038e-05i,-0.00045298+1.263e-07i,-0.00061618+0.00020936i,-0.0010951-0.0004619i,-0.0016484-0.00037254i,-0.001268+0.00027524i,-0.00069753+8.7362e-05i,-0.00045722-0.00011177i,0.00019819-0.00031226i,0.00076984-0.0010254i
3.4947e-06+0.0030207i,0.00040466+0.0039544i,-1.5021e-05+0.0039581i,3.8117e-05+0.0019882i,0.00047802+0.00012789i,7.6475e-05-0.0012358i,-0.00064151-0.00057518i,-0.0011167+0.00055532i,-0.00053039+0.00091677i,0.00070156+0.00065734i,0.00074211+0.00031521i,0.00030487-0.00046297i,0.00028656-0.00060135i,0.00016761-0.00047181i,0.00029644-0.0002986i,0.00031931-0.0001233i,-0.00012906-0.0001647i,-0.00013841+0.00038192i,-0.00048187+0.00013921i,-0.00037437-0.00025421i,-0.00017497-2.8332e-05i,0.00017303-0.00025651i,0.00062743+0.00030245i
-0.0016617+0.00069286i,-0.0010411+0.00093758i,-0.0013498+0.00080916i,-0.0015901+1.1003e-05i,-0.0009528-0.0004964i,4.3464e-05-0.00095166i,-5.0702e-05-0.00088683i,-0.00062471-0.00046871i,0.00010695-0.00068481i,0.00057306-0.00047412i,0.00058959+1.2911e-05i,0.00085991+0.00037002i,0.00060861+0.00059138i,0.0006926-0.00017109i,0.00058878-0.00040247i,-3.3826e-05+0.00016382i,-0.00055943+0.00052632i,-0.00069101+0.00075317i,-0.00078581+0.00053506i,-0.00057723+0.00024719i,0.00033502+0.00053681i,0.00061184+0.00099592i,0.00049449+0.0010142i
0.0023336-0.001017i,0.0025185-0.001972i,0.00017298-0.0015476i,-0.00098292-0.0016266i,-0.00093705-0.0011249i,-0.00098525+0.00018451i,-0.00012421+0.00060351i,0.00045583-9.7182e-05i,0.00054637-0.00085988i,0.00015126-0.00048971i,0.00016176+0.00011417i,0.00029003+0.00066897i,-0.00059097+0.0013332i,-0.00051892+0.00099016i,0.00041366+0.00071397i,0.00082908-1.1422e-05i,0.00054922-0.0013057i,0.00044142-0.0011437i,0.0011665-0.00068913i,0.00053975-0.00057159i,-0.00051775+0.00013404i,-0.00028191+0.0004701i,0.00019056+0.00037562i
0.00064995+0.003289i,0.00045072+0.0044366i,0.00042999+0.0039452i,0.00020395+0.0019737i,-0.00094484-5.4467e-05i,-0.0012205-0.00077891i,-0.00080961-5.8323e-05i,-0.00079503+0.00039414i,-0.00031343+0.00029416i,0.00070363+0.00025127i,0.001078+0.00019904i,0.00020767+6.6812e-05i,-0.0013201+0.00058862i,-0.0015475+0.00093671i,-0.00085092+0.00042758i,-0.00045017+0.00024262i,-0.00013117+0.00058587i,-9.6691e-05+0.00065584i,-0.0003915+0.00032955i,-0.00073623-0.00011478i,2.2092e-05-0.00024016i,0.00062607+0.00016846i,0.0001802+6.1652e-05i
0.00038773+0.0015336i,0.00039067+8.8144e-05i,0.0012162-0.00039089i,0.00053253-0.00078709i,-0.00034557-0.0016663i,-0.00026841-0.002269i,-0.00051936-0.0015858i,-0.00015959-0.00036375i,0.00028928+0.00014691i,0.00029638-0.00050665i,0.00055825-0.00047422i,0.00074289+0.00042569i,0.00041168+0.00025742i,-0.00011451-3.4173e-05i,-0.00065593-1.6924e-05i,-0.00045822+7.8251e-05i,0.00013991-0.00018071i,0.00011578-0.00033494i,-0.00044787+0.00014528i,-1.7866e-05+0.0005091i,0.0010411+0.00063504i,0.0010812+0.00012925i,0.00025955-0.00015808i
-0.0010117+0.0029236i,-0.00058959+0.0034708i,0.00030771+0.0024038i,0.0005313+0.00084443i,-0.00094618-0.00019782i,-0.0012703-0.00069922i,-0.00061428-0.00056483i,0.00014895-0.00017427i,0.00077709-0.00015796i,0.0011204+0.00018815i,0.00033703+0.00026057i,-0.00083739+0.00016783i,-0.00053902-0.00029745i,6.1037e-05-0.00067613i,0.00018514-0.00082615i,-0.00046618-0.00094155i,-0.00020951-0.00043369i,0.00011615+0.00010354i,-8.9116e-05+0.00015944i,-0.00035602-0.00065363i,-0.00044579-0.00066397i,-0.00061171+0.00076891i,-0.00049162+0.00070372i
0.0014332-0.00089088i,0.0010976-0.0022073i,0.00053217-0.003274i,-0.0011225-0.0036408i,-0.0023393-0.0024434i,-0.002045-0.00019951i,-0.00055723+0.00066969i,0.00051795-2.9872e-05i,0.00092548-0.00063237i,0.00031476-0.00026352i,-0.00083568-3.3048e-05i,-0.00083845+0.00019761i,-0.00067794+0.00094659i,-0.0004439+0.001857i,-2.4269e-05+0.0022251i,9.0617e-05+0.0015283i,-9.5175e-05+0.00068898i,-0.0002051+0.00023612i,0.00015137+0.00067503i,0.00047253+0.0011284i,0.00024094+0.00045105i,0.00011751-0.00010517i,-0.00034589-0.00069686i
0.00025726+0.0020387i,0.0011113+0.0029463i,0.0010453+0.0020711i,0.00036269+0.00074225i,0.00067362-0.0006987i,0.00097808-0.0015358i,0.00084681-0.0011294i,0.0003771-0.00054247i,0.0003891-0.00039963i,0.00040055-5.8355e-05i,-9.2852e-05-0.0004204i,-0.00026209-0.00065591i,-0.00093435-0.00054596i,-0.00076467-0.00074391i,0.00011596-6.8037e-05i,-0.00019351+0.00055457i,-0.00020963+0.00021265i,0.00010705+5.429e-05i,-0.00047427+0.00038642i,-0.0004992+0.00031619i,0.00027403-0.00019099i,0.00018226-0.00038434i,0.00024118-9.5091e-05i
0.00051147+0.0014538i,0.00022313+0.0022999i,0.00010408+0.0014799i,-0.00055214+0.00010791i,-0.00054311+0.0002196i,-0.00031215+8.5079e-06i,-4.9341e-05-0.0001376i,0.00049482+0.00036738i,-0.00012286+0.00053878i,-0.0011312-0.00052644i,-0.00039844-0.0006094i,0.00045201+0.00046661i,-0.00056724+0.00037065i,-0.00087863+0.00012338i,0.00032533+0.00065261i,0.00089429+0.00072259i,0.00026317+5.587e-05i,-0.00026096-9.8102e-05i,-3.6421e-05+7.9793e-06i,0.0005025-8.6697e-05i,0.00049839+1.5107e-05i,4.5831e-05+0.00031635i,0.00010938+0.00025295i
