-0.0014667+0.00087205i,-0.00041361+0.00059858i,-5.4546e-05+0.0016496i,-6.1263e-05+0.0029729i,-0.0013266+0.0025275i,-0.0021224+0.001566i,-0.0017496+0.0017693i,-0.0011907+0.002498i,0.00072499+0.0019674i,0.0023645+0.0011551i,0.0020708+0.00055554i,0.0012056-0.00030423i,0.0001713-0.00072i,-0.00074632-0.0013484i,-0.00081121-0.0015595i,-0.0006768-0.00043058i,-0.00095527+0.00042492i,-0.00034766+0.00021378i,-2.8802e-05+8.509e-05i,-0.00015042-0.00037735i,0.00018381-0.00034519i,-0.00045041+0.00040306i,-0.00080416+0.00098809i
-0.00056927+0.0011089i,-0.00054034+0.0014256i,0.00041975+0.00027161i,0.0013518-0.0016521i,0.0011004-0.0015928i,0.00033577-0.00039824i,-0.0001883+0.00037942i,0.00012666+0.0010676i,0.00096939+0.0012316i,0.0019061+0.0010388i,0.0022561-3.8166e-05i,0.0006303-0.0011101i,-0.00077609-0.00072419i,-0.00038871-0.00020317i,7.5941e-05-0.00015574i,0.0001043+1.1608e-06i,0.00045471+0.00051183i,0.00071594-0.00024278i,0.0005315-0.00039617i,0.00053091+6.9679e-05i,0.00097311+0.00015042i,0.0012544-0.00033846i,0.0011844-0.0001875i
0.0017104-0.0017678i,0.00067333-0.002227i,-0.00039964-0.00196i,-0.0012109-0.0013486i,-0.0016842-0.0011314i,-0.0017253-0.00048595i,-0.0012154+0.00040429i,0.00034546+0.001138i,0.0013368+0.001123i,0.0014057+0.00014481i,0.00060135-0.00051447i,0.00038783+1.669e-05i,0.00084364+0.00035498i,0.0010571+0.00033497i,0.0011085-0.00015354i,0.00029791-0.00066779i,-0.00023-0.00093522i,0.00021948-0.00048857i,8.8446e-05+0.00033005i,-0.00017007+0.00058465i,-0.00041883+0.00011637i,-0.00044072-0.000628i,-6.4829e-05-0.00080929i
-0.00019408+0.0010236i,0.00013429+0.0004797i,-3.4538e-05+0.00054075i,5.8132e-05+7.4638e-05i,0.0008354-0.0001642i,0.00051116+9.3154e-05i,0.000159+3.5423e-05i,0.00015332+0.00024495i,0.00054214-0.00020095i,0.0012813-0.0003528i,0.0009982-9.7987e-05i,0.000495-6.3163e-05i,-0.00054679+7.5977e-05i,-0.00061143+0.0001523i,0.00033047+0.00040785i,-0.00032339+0.00034433i,-0.00061567+0.00063318i,-6.3157e-05+0.00064089i,8.2521e-05-4.253e-05i,-0.00022726+0.00016728i,-0.00050293+0.001397i,-9.984e-05+0.00092315i,0.00017897-0.00025108i
0.00084417-0.000792i,0.0011028-0.00032097i,0.0013636-0.0014109i,8.7773e-05-0.001896i,-0.00037498-0.0012433i,-0.00056505-0.00053347i,-0.00086699-0.0001028i,-0.00036073-0.00017535i,-0.00027112-0.00046416i,-0.0003049-0.00016826i,-0.00032524+0.00011808i,-0.00032871+3.8841e-05i,-7.4679e-05+0.00054893i,0.00019678+9.8607e-05i,5.4723e-05-0.0011573i,0.0003533-0.00020431i,0.0013539+0.00082103i,0.00070474+0.0003589i,-0.00010263+0.00020811i,-2.2756e-05+0.00032864i,-0.00088873+0.00051707i,-0.0010225+0.0001196i,-0.00014309+0.0001218i
-0.00067586-0.0013982i,-0.0011226-0.00045486i,-0.0024134-0.00067827i,-0.0026056-0.00088083i,-0.0015229-0.00087391i,-0.00013966-0.0014888i,0.0011139-0.00117i,0.00089213-0.00021404i,0.00037246-0.00024074i,0.00028009-0.00092151i,0.00055474-0.00094245i,0.00082944-0.00018292i,0.00066892+0.00019476i,0.0010445+0.00015305i,0.00063347+0.00037446i,-0.00033382+0.00020851i,-0.00011302-0.00027222i,-7.8718e-05-2.6543e-05i,-0.00092115-0.00013905i,-0.0012681-9.336e-05i,-0.0012324-1.1838e-05i,-0.00072997-0.00068663i,-0.00012399-0.00072976i
0.0008618-0.00075229i,0.0007189-0.0011884i,-0.00096334-0.002094i,-0.0019744-0.0024281i,-0.0013481-0.00094458i,-0.00092293+0.00037587i,-0.00041725+0.00040616i,0.00037505+0.00028759i,0.00037461-0.00039805i,0.00028062-0.00078373i,0.00010754-0.00066513i,-9.4503e-05-0.00046744i,-1.8452e-05-0.00027644i,-0.00026312-0.00054925i,0.00014356-0.0006071i,0.00091929-0.0001533i,0.00083456-0.00026784i,3.069e-05-0.00016853i,-0.00089525+0.00037332i,-0.00097541+0.00036984i,-0.00054384+0.00029074i,6.2798e-05+0.00038218i,0.00044645-0.00049185i
-0.0002735+6.765e-05i,-0.00056303+0.0002787i,-0.0013013+0.0013139i,-0.00085879+0.0020928i,0.00057733+0.0013749i,0.001181+0.00023648i,0.00051963+0.00037403i,0.00051511+0.0010454i,0.0014299+0.0010194i,0.0011987+0.00036119i,0.00070274+0.00020479i,0.00016265+0.00032728i,-0.00028956+0.00038466i,-0.00020453-3.2907e-05i,-0.00027982-0.00091149i,-0.00068189-0.00049385i,-0.00052534+0.00036617i,-0.00046995+0.00091205i,-0.00043371+0.00061574i,0.000256-1.0501e-06i,0.00094689-0.00019244i,0.00068291-7.1726e-05i,-0.00061583+0.00033629i
-0.00059804-0.0011003i,-0.00061743-0.0020278i,0.00047258-0.0015479i,0.00039464-0.0011795i,-0.00070407-0.0012221i,-0.001059-0.0011931i,-0.00078638-0.00071244i,0.00014409+0.0001758i,0.0011497+0.00085i,0.001459+0.0014687i,0.0013331+0.0010497i,0.00078771-0.00030332i,-7.8337e-05-0.00082712i,-6.5796e-05-0.00064477i,0.00042443+1.7642e-05i,-8.9077e-05+0.00071643i,-5.9236e-05+0.00057566i,0.00038099-0.00012082i,0.00022387-0.0003655i,0.00083238+0.00022961i,0.0011574+0.00065879i,-7.2635e-06+0.0004623i,-0.00083841+0.00022178i
-0.00010081+6.7623e-05i,0.00034839+3.9139e-05i,-0.00016417+0.0013761i,-9.6985e-05+0.0013526i,0.00013606+0.00052831i,-0.00012231+0.00080975i,-0.00041051+0.0011145i,-0.00029815+0.0012447i,0.00035103+0.00085875i,0.00011705+0.00030838i,1.9987e-05+7.7892e-05i,0.00098654-0.00019215i,0.0009539+4.3428e-06i,0.0006821-0.00022864i,0.00037494-0.00046827i,-3.889e-05-0.00061563i,-4.1495e-05-0.00067895i,-7.6004e-05-0.00099404i,0.00010649-0.00079224i,-5.3231e-05-0.00087488i,-0.00042708-0.00099573i,-0.00047083-0.00017256i,6.7994e-05+0.00032738i
-0.00056876-0.00084386i,-0.00023088-0.0014204i,-0.00016467-0.0021031i,-0.0014751-0.0029937i,-0.0024138-0.002792i,-0.00086645-0.0011518i,0.00089635+0.0001241i,0.00034283+0.00034504i,-5.8554e-05+0.0007006i,0.00024821+0.0010462i,0.00011561+0.00058567i,2.2464e-05+0.00036719i,-0.00017838-0.00033909i,0.00030061-0.000394i,0.00039959+0.00030131i,-8.3398e-05+3.7844e-05i,0.00032921-0.00085715i,0.0012168-0.00086316i,0.0007161-0.00014281i,0.00019328-2.3094e-05i,-2.5338e-05-0.00069783i,-0.00015425-0.0010437i,-0.00040012-0.00056135i
-8.1399e-05+0.0005845i,-0.00018079-0.00013018i,-0.00074904-0.00061093i,-0.00016274-0.0012058i,0.00016527-0.00076669i,-0.00047235-6.8206e-05i,-5.7712e-06+0.0002118i,0.0007803+0.00080163i,0.00064132+0.00074264i,0.00022277+0.00030053i,0.00027861+0.00045101i,0.00019764+0.00047317i,0.00067081+0.00042099i,0.00088901+0.00011539i,9.9934e-05+0.00052502i,-0.00048568+0.0011532i,-9.8118e-05+0.0009826i,6.1628e-05+0.00079348i,-0.00031248+0.0004286i,0.00033586-8.837e-06i,0.00056863+0.00015905i,0.00012299+3.4037e-05i,-5.0106e-05-0.00037569i
0.00040772-0.0017725i,0.00055511-0.0014281i,-0.0007386-0.0012251i,-0.0014148+0.00012985i,-0.0013653+0.0013081i,-0.0006766+0.00052801i,-0.00037673-4.3886e-05i,0.00080452+0.00039554i,0.0019747+0.00052756i,0.00078797+0.00051223i,-6.6835e-05+0.00033546i,0.00023602-8.034e-05i,0.00021284-0.00069545i,-0.0001066-0.00058321i,-0.00052531-0.00032304i,-0.00015726-0.00012208i,0.00080822-0.00032371i,0.00029857-0.00068621i,-0.0003843-0.00068874i,0.00046425-0.00081396i,0.00072977-6.9806e-05i,-7.5562e-05+0.00048476i,-0.00077911+0.00098848i
0.0007332-8.794e-06i,0.0010481+0.00051659i,0.00015699+0.0020239i,0.00049038+0.0024936i,0.0015664+0.0014443i,0.0010722+0.00036429i,0.00019945+0.00039994i,-0.00011653+0.00086475i,0.00010047+0.0010337i,0.00055174+0.00067148i,0.00040915+0.00045661i,-0.00013985+0.00022151i,-0.00033738-0.00014506i,6.9383e-05-0.00023941i,0.00012282+0.00017489i,-0.00017447+0.0003871i,-0.00046152+0.00026109i,-0.00064784+0.00026682i,-6.7618e-05+0.00051189i,0.00042318+0.00021029i,-0.00036275-0.00059714i,-0.00068442-0.00086468i,-0.0003149-0.00055385i
-0.0019639+0.00011278i,-0.0025309+0.0010998i,-0.0016215+0.00054866i,-0.00034911+0.00063564i,0.00014326+0.001335i,-0.00016793+0.00047704i,-0.00093878-1.169e-05i,-0.0010629+0.000317i,-0.00081277+0.00016981i,0.00012595-0.00021765i,0.0013447-0.0003086i,0.0014089-4.0513e-05i,0.00022435-0.00017547i,-0.00048736-0.00097697i,-0.00029906-0.0010112i,0.00011105-0.00039797i,0.00056386+0.00049549i,0.00063491+0.00089579i,0.0010236-7.9853e-05i,0.0013783-0.00033469i,0.00065985-9.9086e-05i,0.00051687-0.00015685i,0.00090022+0.00028751i
0.00017891-0.0020163i,-0.000654-0.0011686i,-0.00030606-0.00016551i,0.00053157-0.00037768i,-1.251e-05-0.00065153i,-0.00028718-0.00063213i,-2.2102e-05-0.00036765i,0.00076591+0.00044427i,0.0010916+0.0015107i,0.001495+0.0015279i,0.0018471+0.00071445i,0.0015339-3.8606e-06i,0.0010641-0.00089284i,0.0002229-0.0013227i,-0.00015339-0.0005405i,-0.00019929+0.00046157i,1.7676e-05+0.00031541i,0.00031388-0.00060442i,9.0347e-05-0.0007131i,0.00034389-0.0003906i,1.0425e-05-0.0003145i,-0.00019356+0.00030981i,0.00028047+0.00088265i
0.0010558+0.001172i,0.00091442-0.00030801i,0.0014284-0.0011796i,0.0012795-0.0015886i,0.0008217-0.0012659i,0.00095479-0.0010301i,0.00023781+6.9888e-05i,-0.00061061+0.0011623i,-0.00067615+0.0013923i,0.00026635+0.00063796i,0.0014554+0.00012805i,0.0010587+0.00080707i,-0.00036274+0.00098181i,-0.00099736+0.00020834i,-0.00043801+0.00023248i,-0.00016707+0.0001135i,-0.00014857+4.5988e-05i,0.00020954+0.00023377i,0.00025665-0.00043084i,0.00012781-0.00030958i,8.9613e-06+0.00067772i,-0.00050324+0.001318i,-0.00052807+0.0011422i
0.00031282+0.00024898i,-0.00068641+0.0012531i,-0.0012847+0.00084574i,-0.0015911+0.00075736i,-0.0014679+0.00040752i,-0.00096885+6.6059e-05i,0.00032907+0.00047933i,0.00098764+0.0010355i,0.00078495+0.0010829i,0.00037902+0.00024631i,0.00021373+0.00013028i,0.0010959+0.00012522i,0.00080745-0.00068996i,0.00046321-0.00085223i,0.00080083-0.00028013i,0.00054286+0.00039657i,0.00057521+0.0003483i,0.00059872+0.00020825i,0.00012695+0.00025193i,-0.00019411-0.00032577i,-6.4988e-05-0.00091865i,-8.5825e-05-0.00094538i,-0.00040075-0.00060939i
5.5051e-05-0.0014848i,-2.0752e-06-0.0024465i,-0.00039598-0.002136i,-0.00041814-0.0012051i,-0.00095566-0.00047607i,-0.00071649-0.00043702i,-5.8368e-05-0.00025863i,-0.00057307+0.00063883i,-0.0001087+0.0010104i,0.00052768+0.00074866i,0.00034878+0.00069459i,0.00035526+0.00055636i,0.00055426+0.00033471i,0.00088244-0.00020529i,0.0012364-0.00052068i,0.0012573-0.00035328i,0.0010552+0.00021461i,0.00039773+0.00074837i,-0.00061994-3.5717e-05i,-0.0011766-0.000907i,-0.00073614-0.0012166i,-0.00047618-0.00084614i,-0.00024137-2.4414e-05i
0.00061176-1.2687e-06i,0.00038595-0.00025867i,-5.154e-05-8.8055e-05i,5.7049e-06-6.2619e-05i,-4.1742e-05-0.00035909i,0.00041427-0.0003931i,0.0013565+0.00043707i,0.0010827+0.00058804i,0.00019042+0.00033095i,-0.00053954+0.0003153i,-0.00062313+0.0005001i,-0.00041676+0.00027568i,-0.00023179-0.00034043i,5.654e-05+4.4398e-05i,-0.00010166-0.00012785i,-0.00099883-0.00062642i,-0.00078855-0.000313i,0.00012519+0.00034566i,0.00055689+0.00033359i,0.00016342+0.00032432i,-1.5126e-05+0.00017858i,0.00035286+0.00011009i,0.00035244+0.00064959i
0.0014545-0.00099123i,0.0010083-0.0010747i,0.00034942-0.0016648i,-0.0015617-0.001441i,-0.0033386-0.00089313i,-0.0024367-3.4938e-05i,-0.00019125+0.00080433i,0.00041367+0.0013991i,6.3385e-05+0.0012549i,0.00014237+0.00056673i,0.0010316+0.00046441i,0.0010485+0.00024049i,-3.5632e-05+5.6266e-05i,1.1878e-06+0.00044973i,0.00023429+0.00069485i,0.0002133+0.00039295i,-6.3318e-05+0.00027196i,-0.00056985+0.00080583i,-0.0011217+0.00065437i,-0.0010984+0.00061889i,-0.00049514+0.00026004i,-0.00052235-0.00039969i,0.00042626-0.00078257i
-0.0016203-0.00081978i,-0.001701-0.00071591i,-0.0016903+0.00016478i,-0.00095617+0.00079277i,0.00035602-0.00017785i,0.0012102-0.0009885i,0.0012613-0.00051123i,0.00058186-0.00026511i,0.00052484+1.8448e-05i,0.0011673+0.00064265i,0.0013856+0.00038752i,0.0009126+0.00043211i,0.00057274-1.2179e-05i,0.00025008-0.00052044i,-0.00031653-0.00067882i,-0.00032338-0.0005932i,-0.00015271-0.00038276i,3.8166e-05-0.00050577i,-4.9825e-05-0.00042218i,0.00035533-0.00065874i,0.00079443-0.00084598i,0.00041019-0.00031963i,0.00057644+0.00014706i
0.00056998-0.00060775i,0.00044401-0.0012597i,0.0003941-0.0011648i,0.00074936-0.00049088i,0.0012391+0.00023374i,0.0012976-0.00012217i,0.0010034-0.00020139i,0.00064802+0.00075017i,0.00046431+0.0015635i,0.00072006+0.0014605i,0.00076778+0.00014974i,0.00043208-0.00069247i,-0.00013043-0.00057778i,-0.00069926+0.00030071i,-0.00077637+0.00037552i,-0.00039293-0.00045518i,0.00033473-0.0006284i,0.00094222-0.00058309i,0.00090977-0.00033916i,0.00038795+0.00038793i,9.0003e-05+0.00057389i,5.9713e-05+0.00012397i,-6.744e-05-0.00046166i
0.0010562-0.00036173i,0.00060458-0.00071091i,-0.00051735-0.00091763i,-0.00074062+5.9949e-05i,-0.00064714+0.00086087i,-0.00074552+0.00092039i,-0.00034339+0.00066565i,0.00024108+0.00024061i,0.00084968+0.00051548i,0.0011647+0.0012099i,0.0012828+0.0012845i,0.0007356+0.0010779i,0.00028683+0.0007749i,0.000495+0.00033426i,0.00045338-0.0003389i,-0.0004104-0.00039697i,-0.00053696-6.1451e-05i,-0.00031426-0.00023796i,-0.0002298-0.00044117i,0.00027114-0.00034277i,0.00074353+0.0003952i,0.001294+0.0007668i,0.00083925+0.00082409i
0.0007011+0.00070137i,0.00090806-0.00029197i,0.00069446-0.0022456i,0.00026044-0.0033582i,-6.2361e-05-0.0030138i,-0.0010488-0.0021449i,-0.00086118-0.00081006i,1.7957e-05+0.00074565i,0.00030014+0.0013732i,0.00051615+0.00052207i,0.00076887-0.00044671i,0.00060725-0.00049902i,0.0011757-0.00033891i,0.00054939-9.2402e-05i,-0.0001831+8.4456e-05i,0.00047835+0.00013203i,0.00083887+0.00019286i,0.0011197+0.0003795i,0.00019543-4.6268e-06i,-0.001104-0.00055422i,-0.00096076-0.00047895i,-0.00019141-0.00018521i,0.00022356+0.00020062i
2.642e-05+0.0005986i,0.00094231+0.00035771i,0.00099727+0.000664i,0.0014015+0.00075002i,0.0020475-0.00014972i,0.00079631-0.000525i,-0.0006009+0.00019538i,0.00050845+0.00065921i,0.0015166+0.0010941i,0.0012979+0.00059323i,0.00067282-0.00023714i,0.00035847-4.477e-05i,0.00033744+0.00044541i,0.00033223-0.00011215i,-0.00017958-0.00085972i,-0.00015313-0.00058896i,-0.00013729-8.4515e-07i,0.00053974+5.3693e-05i,0.00078662+0.00018633i,0.00049232+0.00049616i,0.00033877+0.00058173i,0.00021171-1.4183e-05i,0.00053679-0.00022775i
0.0025397-0.0013102i,0.0013904-0.0027153i,0.00081741-0.0033945i,-0.00095183-0.002985i,-0.0026059-0.002617i,-0.0021681-0.0018425i,-0.00086216-0.00088143i,0.00053552-0.00071999i,0.0012008-0.00069118i,0.00065151-0.00078878i,0.00030282-0.0012185i,0.00010554-0.00049288i,-0.00021311+0.0004136i,-4.245e-05+0.00032089i,0.00037726-0.00014691i,0.00030803+0.00022478i,-0.00038435+0.0001633i,-0.0005348-0.000428i,1.4429e-05+1.6547e-05i,0.00037533+0.00039146i,0.00062382+0.00024997i,0.00050833-0.00021097i,0.00026526+2.1015e-05i
0.00015201+9.2979e-05i,0.0006899-0.00019072i,0.00094787+0.00038863i,0.0016657+0.00042313i,0.0023937+0.000907i,0.0014722+0.00092316i,0.00061049+0.00032661i,0.00024314+0.00087374i,0.00046865+0.0010963i,0.00098709+0.00059306i,0.00087091+0.00045914i,0.00058751+0.0010432i,0.00035786+0.00090326i,0.00086644-0.00052975i,0.00079405-0.00059603i,0.00029413+0.00034414i,0.00029086+0.00078712i,0.00042343+0.00052682i,0.00089806+3.2818e-05i,0.00086159-0.00041108i,0.00025553-0.00062801i,-0.00011553-0.00073692i,0.00050858-0.00044582i
0.00099372-0.002114i,-0.00078813-0.0025486i,-0.0024189-0.0032433i,-0.0027104-0.0026606i,-0.0031772-0.0022233i,-0.0025016-0.0014771i,-0.00070464+0.0003874i,-0.00057197+0.0017085i,-0.001146+0.0014095i,0.00011565+0.0002647i,0.0011423+0.00052083i,0.00027978+0.0005525i,0.00033009-4.1371e-05i,0.001013-0.00066758i,0.00071165-0.0011513i,0.00022363-0.00035291i,0.00086327-0.00010198i,0.0012729-0.00062233i,0.00065777-0.00039914i,0.00039026+0.00031142i,0.00055943+0.00047572i,0.0005466+0.00012553i,0.00025164+0.0002948i
0.00066139+0.0010228i,0.0012753+0.00022069i,0.0028465-0.0011046i,0.0034952-0.0022654i,0.0022626-0.0023508i,0.00085554-0.0018052i,-0.00034763-0.00048069i,-0.00012932+0.00057604i,0.0014888+0.001189i,0.002289+0.0010096i,0.001427+0.00072045i,0.00017344-0.00011064i,-0.00018877-0.00086388i,0.00015371-0.00052438i,0.00016134-0.00013152i,-0.00059415-0.00012955i,-0.00064559-0.00021385i,-0.00022846-0.00015347i,6.7148e-05+0.00037797i,0.00028547+0.00016802i,8.6896e-05-0.00012572i,-0.0004521+0.00039888i,-0.00063899+0.00038667i
-0.00077464+0.0011623i,-0.0019263+0.001107i,-0.0021447+0.0028525i,-0.0013617+0.0033374i,-0.001006+0.0018337i,-0.00076476+0.00096853i,-0.00080578+0.00091948i,-0.0007128+0.0010401i,-0.00026741+0.0014784i,0.00057521+0.00088494i,0.00091581-0.00013343i,0.00092494-0.0001834i,0.00058687+6.5153e-05i,0.00017129-1.7391e-05i,-0.00033619-0.0005027i,-0.00070832-9.8442e-05i,-5.3054e-05+0.00014433i,0.0003169-0.00030031i,-0.00036955-0.00051345i,-0.00035623-0.00056832i,4.8593e-05-0.00018176i,9.3997e-05-0.00072404i,0.00016677-0.0010185i
