-0.0042262+0.0007791i,-0.0033976+0.00050938i,-0.0042868+0.0015571i,-0.0033164+0.0014664i,-0.0017562+0.00098634i,-0.00099108+0.0020644i,-0.00089133+0.0024842i,8.1048e-05+0.0021466i,0.0015088+0.0017678i,0.0017529+0.0014218i,0.0012344+0.00091997i,0.00028632-0.00018033i,-0.00017675-0.00018862i,7.6064e-06-0.00020495i,0.00022982-2.2113e-05i,7.6009e-05+0.00055941i,7.7591e-05+0.00035121i,2.9215e-05-0.00086888i,0.00020099-0.00070772i,0.00030387+0.00061752i,-0.00035164+0.00038074i,-0.00015896-0.00033315i,0.0011825+0.00013545i
0.0016503-0.0010831i,0.0026108-0.0012239i,0.0029582-0.0014361i,0.0013695-0.00071709i,-8.4986e-06+9.9366e-06i,-0.00035365+7.079e-05i,-0.00056966+1.1685e-05i,-0.000387+0.0004287i,-9.3191e-05+0.00013294i,-0.0001438-0.0010677i,-0.00021389-0.0014999i,-0.00013534-0.00076206i,-0.00063004-0.00064353i,-0.001143-0.00059598i,-0.00090611-0.00042568i,-0.00040316-7.1216e-05i,-0.00026744+0.00048908i,-0.00040505+0.00035439i,-0.00044615+0.00032979i,-0.00040318+0.00036385i,-0.00038492+0.00011419i,-0.00019802-0.00044018i,-0.00034984-0.00014509i
0.00299-3.6619e-05i,0.0023508+0.00056931i,0.001112+0.00028753i,-0.00013662-0.00074855i,-0.00067101-0.001108i,-0.00061572-0.00089122i,-1.2432e-05-4.2038e-05i,0.00024153+0.0010342i,0.00017059+0.0012226i,-6.6103e-05+0.00065117i,-0.00040323-0.00029522i,-5.8836e-05-0.0011232i,6.609e-05-0.00051097i,-0.0002083-0.00019178i,-0.00054573-0.00063008i,-0.00031149-0.00019852i,6.8431e-05+0.00083166i,9.3748e-05+0.0011057i,0.00018451+0.0010525i,0.00025062+0.00041488i,0.0001535+0.00014454i,-0.00037992+0.0005989i,-0.00017205+0.00097069i
0.00030485-0.0024228i,-0.00092927-0.0021209i,-0.0011517-0.0027118i,2.8921e-05-0.0023967i,0.00046533-1.1929e-05i,-0.00016115+0.00072693i,-0.00078162+0.00051663i,-0.00021951+0.00079337i,0.00045274+0.0005211i,0.00063185+9.4544e-05i,-0.00016225+0.00045678i,-0.00099034+0.00032958i,-0.00048826-1.1276e-05i,-2.5698e-05+0.00015397i,-0.00055467+0.00020218i,-0.00090853-6.8135e-06i,-0.00048445+2.3645e-05i,-0.00027175-1.7414e-05i,-5.7484e-05-0.0005046i,0.00029952-0.00065949i,0.00073277-2.3491e-05i,0.00029472+0.0013286i,-0.00012804+0.0012186i
0.0007241+0.0012414i,0.00088946+0.0022956i,0.0010933+0.0023059i,0.00088757+0.0014632i,0.00043253-0.0002065i,-3.3874e-05-0.0011923i,0.00023308-0.00068279i,0.00014984-7.6356e-05i,9.9546e-05+0.00041906i,-0.0001233+0.00064269i,-0.00095066+0.00062202i,-0.00073788-0.00012429i,0.0001629-0.00030963i,-0.00014296+0.00020999i,-0.00042397+0.00010673i,-0.00029429-0.00031619i,-0.00047296-0.00038782i,-0.00025366-1.4571e-05i,-5.2701e-05-5.6071e-05i,0.00015263+0.00059772i,0.0003259+0.0012531i,0.00098438+0.00064322i,-0.00012795+0.00017904i
0.0029141-0.0030936i,0.0015256-0.0022282i,1.1944e-07-0.0023304i,-0.0013441-0.0017232i,-0.0023679+0.00011585i,-0.0028751+0.00054474i,-0.0016188+0.00059306i,-0.00039676+0.00081642i,-0.00025579+0.00052285i,0.00012852+0.00056424i,0.00024115+8.3853e-05i,0.00034313-0.00070218i,0.00024252-0.00073887i,-4.4972e-05-0.00059148i,-5.8919e-05-0.00040668i,-0.0007474-0.00027794i,-0.00086767+0.00054632i,-3.6226e-05+0.00069652i,-4.9405e-05+0.00019192i,-0.00025476+8.1067e-05i,-0.00052691-1.919e-05i,-0.00044688-0.00010389i,-0.00020382-0.00069951i
-0.00090203+0.00065457i,0.0001692-0.00021085i,-0.00031796-0.00059545i,-2.4091e-05+4.3825e-05i,4.8522e-05+0.00073437i,-0.00040136+0.0012939i,4.7079e-05+0.0013431i,6.3349e-05+0.0013866i,-0.00012422+0.0013971i,0.00022596+0.0007471i,0.00056612+0.00033978i,0.00027879+0.00057928i,0.00026126+0.00059651i,0.00017818-0.00022275i,-0.00041985-0.00036675i,-0.00040675-5.6747e-05i,0.00026641-0.00028538i,0.00059046+5.3358e-05i,0.00044778+0.00023856i,-8.5425e-05-0.00050688i,-0.00052579-0.001014i,-0.00025765-0.00068558i,0.00043977-0.00020981i
-0.00096541-0.0017177i,-0.00050236-0.00058923i,-0.00033513+0.00016626i,-0.00014199-0.00063394i,0.00085258-0.00010531i,0.00098099-0.00012144i,0.00026549-0.00057071i,-0.00083427-0.00010047i,-0.0010007+0.00011871i,-0.00047069+0.00022009i,-0.00050359+0.00014013i,-0.00056786+9.6583e-05i,0.00019259+0.00015269i,6.9397e-05+0.00012023i,-0.00092761+2.11e-05i,-0.0012285-0.0004077i,-0.00060284-0.00065865i,-0.00035322-7.6033e-05i,-0.00074378+0.00041896i,-0.00058307+0.00080798i,-0.00082817+0.00042282i,-0.0011473-0.00080036i,-0.00075293-0.00046997i
-0.00074663-0.00072379i,-0.00052068-0.0010536i,-0.00094808-0.00073364i,-0.00099559-0.00016905i,-0.001247-0.00020182i,-0.00088071-6.105e-05i,-0.0010408+0.00012099i,-0.0012723+0.00035102i,-0.0015106+0.00032597i,-0.0016165-0.00025468i,-0.0006257+0.00026353i,-6.9114e-05+0.00068777i,-0.0002364+0.00085524i,7.534e-05+0.00047641i,0.00033176-0.00060424i,-0.00028883-0.00087552i,-0.00094527-0.00061129i,-0.00074314-0.00041283i,-7.1053e-05-0.00073995i,-1.1665e-05-0.00061398i,-0.00017736-0.00015407i,0.00012672+0.00024732i,0.00066935+0.00042021i
-0.0025881-0.0016583i,-0.002645-0.0013311i,-0.0032061-0.00089499i,-0.0024505+0.00015266i,-0.0015891+0.00176i,-0.00066309+0.001025i,1.0578e-05+1.7844e-05i,-0.00024773+0.00081359i,-9.3297e-05+0.0012873i,-0.00055035+0.0011023i,-0.0007522+0.0010689i,-0.0001038+0.00081445i,-0.00023156+0.0003693i,-0.00084228-0.0004077i,-0.00080168-0.00048122i,2.2645e-05-0.00011975i,-0.00066488+0.00062406i,-0.0012803+0.00061772i,-0.00010565-0.00010324i,0.00052323-0.00040006i,-0.0003379-0.0002924i,-0.00077287+1.7766e-05i,-0.00021673-0.00010848i
-0.00031938+0.00031718i,0.00023161+0.00029705i,-7.3777e-05+0.00067554i,0.00049817+0.0013518i,0.0010715+0.0005557i,0.00059113+0.00031045i,-8.3844e-05+0.00073895i,7.8103e-05+0.00031954i,0.00037654+0.00027207i,0.00049999-0.00032297i,0.00058507-0.00080571i,0.00035788-0.00032592i,0.00035445-8.9824e-05i,0.0010063-0.00034352i,0.00099887-0.00040569i,-5.1357e-06-0.00017252i,-0.00044596+0.00036601i,-0.00050552+0.00073208i,-0.00087556+0.0012216i,-0.00057369+0.0016248i,-0.00012004+0.0013428i,3.5363e-05+0.00018718i,2.1838e-05-0.00049925i
-0.0017618-0.00039449i,-0.0011368-0.0001367i,-0.0012305-0.00026521i,-0.0016584-0.00012334i,-0.0011563+0.00046624i,-0.00040564+0.0012193i,-0.00050297+0.0012823i,-0.00054132+0.00089545i,-1.1147e-05+0.0006047i,0.00013369-5.1046e-05i,4.6827e-05+0.00040886i,-1.2837e-05+0.00095942i,9.9338e-05+0.00048273i,0.00026595-0.00014767i,-1.1449e-06-0.00024728i,-0.00054207-0.00013697i,-0.00043014+0.00023918i,7.836e-05-0.00011244i,0.00024965-0.0002095i,8.0366e-05+1.6604e-05i,-3.3029e-05+0.00014272i,-0.00046433-8.0167e-05i,-0.00029429-0.0004418i
-0.0014179-0.00070233i,-0.0010496-0.00063377i,-0.00049084-0.00053249i,-0.00023039-0.00028278i,-0.00050211+0.00081867i,-0.0013248+0.00099919i,-0.0017222+0.00065954i,-0.00064586+0.0010127i,5.6134e-05+0.0010592i,0.00017767+0.00076226i,-0.00059435+0.0004309i,-0.0011908+3.4827e-05i,-0.00089601-0.00012066i,-0.00067826-0.00010625i,-0.00043688-0.00011865i,0.00033046-0.00050767i,0.0004105-0.00021723i,-7.3508e-05-0.00034106i,-0.00030316-0.0002865i,-0.00021234+0.00044195i,0.00049457+0.0007223i,0.00046985+0.0010223i,-0.00017647+0.0010021i
0.00018336-0.00075858i,0.00063846-0.0011443i,0.00029293-0.001784i,-6.0905e-05-0.001406i,-0.00010916-0.000681i,-0.00017908-0.00053808i,-2.2885e-05-0.00020311i,9.2113e-05+5.1186e-05i,-3.9121e-05+0.00058366i,-0.00058389+0.00081459i,-0.0003829+0.00026089i,-0.0002596+0.00036563i,-0.0006087+0.00077853i,-0.00060493+0.00022168i,-0.0011958-0.00036267i,-0.0014956-0.00033028i,-0.00069655+0.00011518i,5.9122e-05+0.00062594i,0.00012997+0.00089156i,0.00036351+0.00050624i,0.00071877-0.0002808i,0.00087413-0.00074201i,0.00059954-0.00098059i
-0.00083568+0.0028504i,-0.00090876+0.0038575i,-0.00051039+0.0036249i,-0.0012714+0.0018977i,-0.00068427+0.0012448i,-9.7842e-05+0.0014345i,-0.00014949+0.0015166i,0.00032693+0.0011935i,0.00091285+0.00080281i,0.0005123+4.7793e-05i,-0.0002334-0.0009672i,-2.1982e-05-0.0006597i,0.00087023-0.00010348i,0.0017573-3.6066e-05i,0.0014793+0.0003852i,0.00085123+0.00083259i,0.00070697+0.00070102i,0.0010829+0.0004806i,0.00073661+0.00055723i,-0.00021922+0.00035144i,-0.00057698+0.0001791i,-0.00080929-0.00048307i,-0.00070784-0.00068356i
-5.7e-05+0.0001079i,-0.00099779-0.00054203i,-0.00064597-0.00098118i,1.2384e-05-0.00075058i,-0.0005384-0.00015257i,-0.0012668+0.00072939i,-0.001114+0.00062905i,-0.00048087+0.00064996i,0.00019959+0.00060012i,0.0004353+0.00024626i,-0.0001225+0.00034528i,-0.0008446-2.6006e-05i,-0.00065071-0.00013041i,-0.00018029-0.00035716i,2.1976e-05-0.00076066i,-0.00019085-0.00074456i,0.00018505-0.00025539i,0.00051664+0.00043406i,-5.4987e-05+0.00078682i,-0.00087736+0.00054042i,-0.00046652-0.00013047i,0.00019788-0.00048952i,-0.00033288-0.0009322i
0.0010026+2.6761e-05i,0.0015041+0.00021638i,0.0023935+0.001608i,0.0016611+0.0018457i,0.00039196+0.0010778i,-0.00021268-0.00022322i,-0.0012106-0.00024015i,-0.0017817+0.00033033i,-0.0014122+0.00052105i,-0.00088372+8.7805e-05i,0.00028021-0.00018639i,0.00052569+1.0889e-05i,-7.8164e-05+0.00021381i,0.00020537+0.00013826i,0.00019813-5.9829e-05i,-3.0541e-05+0.00012651i,0.00016012+0.00016294i,8.6278e-05+0.00051741i,0.00020501+0.00040561i,0.00048587+0.00029i,0.00034922+0.00013333i,-0.00043029+8.3747e-05i,-5.7676e-05+0.00037777i
0.00026695-0.001819i,0.00058532-0.0036065i,4.9993e-05-0.0037354i,-0.0014223-0.0021334i,-0.0022291-0.00087889i,-0.0014709+0.00030636i,-0.00061412+0.00055315i,9.5097e-05-0.00024937i,0.00072953-0.0003131i,0.00030753+0.00022532i,-0.00043237+0.00038878i,-0.00065778+0.00047932i,-0.00017848+0.0007195i,-9.6281e-05+0.00073639i,-0.00029443+0.00011934i,-4.3195e-05-0.00017917i,-6.835e-05-0.00040185i,-0.00014225-0.00041093i,-0.00051281-0.00021148i,-0.00095623-0.00076109i,-0.00090157-0.00093879i,-5.0519e-05-0.0007072i,5.2135e-05-0.00050661i
-0.00096494+0.00037299i,-0.00028821+0.00040019i,5.5732e-05+0.0016426i,0.00065493+0.0014209i,0.00036962+0.00058833i,0.00071688+0.00064726i,0.00029526+0.00075842i,-0.00087508+0.00088745i,-0.00070216+0.00085404i,-0.00061615+0.0003993i,-8.8685e-05-0.00038795i,0.00082381-0.0010053i,0.00066617-0.001143i,0.00074406-0.00089092i,0.00069965-0.00038514i,-0.00034922+0.00018019i,-0.00075146-0.00023439i,-0.00010193+0.00013454i,0.00041812+0.0015384i,0.00062442+0.0014596i,-4.2404e-05+0.00073384i,0.00012867+0.00011801i,0.00047721-0.00053306i
0.00048012+0.0012296i,-0.00023518+0.0011392i,-0.0002443+0.0015842i,-8.1934e-05+0.0022517i,4.8896e-05+0.0014158i,0.00012837+0.00041475i,-0.00025337+1.7711e-05i,-0.00023199+7.0868e-05i,0.00019111-0.00017896i,0.00056904-0.0004966i,0.00016262-0.00043476i,-0.00054381-0.00063332i,-0.00038612-0.00053729i,0.00074472-0.00090565i,0.00099178-0.0014732i,0.00026945-0.0012518i,1.4672e-05-0.00036194i,-0.00017323+0.00062331i,2.3369e-05+0.00078616i,7.5573e-05+0.00011793i,-0.0002846-0.00045172i,0.00024003-0.00037486i,0.00058318+0.00058059i
0.0016408+0.00027199i,0.0016929-0.00050995i,0.0016764-0.00058307i,0.0019188-0.00051783i,0.0013369-0.00053604i,0.00086035-0.00031259i,0.0007618+0.00016548i,0.00032746+0.00085556i,0.00027084+0.0009245i,0.00016872+0.00017589i,8.6073e-05+1.4581e-05i,-7.1096e-05+0.0001307i,-0.00019757-0.00010408i,-0.00024125+0.00033518i,-0.00013736+2.6633e-05i,9.1472e-05-0.00047154i,0.0001546+0.00014944i,2.2058e-05+0.00057391i,8.1327e-05+0.00064608i,-0.0001402+0.00034493i,0.00011858-9.9147e-05i,0.0010175+0.00013339i,0.0005681+0.00070632i
0.001192-0.0012751i,0.0011858-0.00063651i,0.00052476-9.6789e-07i,-9.1137e-05+0.00044515i,0.00021589+0.00039463i,0.00046677+0.00011156i,1.1938e-05+0.00072446i,0.00031811+0.0013342i,0.0012044+0.0012893i,0.0011455+0.00051244i,0.00020604+0.00027487i,-1.0435e-06-0.0001468i,-0.00028976-0.0006054i,-0.00077794-0.00030064i,-0.00058747-0.00040761i,-0.00067532-0.0012242i,-0.0002002-0.00089907i,0.00035657+0.0001578i,0.00071569+0.00049378i,0.00090835+0.00045652i,0.00027647+0.00010074i,-0.00021258+9.0654e-05i,0.00014078+0.00037466i
0.00021415+0.0014999i,-0.00058388+0.0011619i,-0.001216+0.0010831i,-0.0006639+0.0018874i,0.00025778+0.0022094i,0.00063402+0.0013285i,0.0006046+0.00091653i,-0.00035286+0.00089838i,-0.00010536+0.00063029i,0.00076441+5.3932e-05i,0.00012392-0.0005751i,-0.00084424-0.00038469i,-0.0011774-8.9402e-05i,-0.00098205-0.00048578i,-0.00039234-0.00047943i,-0.00056263-0.00049371i,-0.0011146-0.00050524i,-0.00080358+0.00016838i,-0.0005903+0.00073094i,-0.00037971+0.00052672i,0.00031078+0.00081318i,0.00035993+0.00073304i,-0.00059438+0.00034419i
0.0014909-0.00010744i,0.0015135+0.00019817i,0.0016904+0.00097808i,0.0008222+0.0010999i,-8.4347e-05+0.00038155i,-0.00060024-0.00060965i,-0.00056635-0.0010962i,0.00028216-0.00090268i,0.00086752-0.00010905i,0.00051359-0.00013136i,-0.00020203-0.0009706i,-0.00016153-0.0008319i,-0.00019121-0.00072825i,-0.00029193-0.00058135i,-2.0669e-05-0.00024965i,-0.00048388-0.00028377i,-0.00061721+5.6723e-05i,8.4661e-05+0.0005273i,0.00033149+0.00065375i,0.00044234+0.00046112i,0.00066188+0.00041122i,0.0010718+0.00045319i,-7.5918e-05+0.00029587i
-3.3821e-06+0.0014453i,-2.3639e-05+0.0020525i,0.00054884+0.0025143i,0.0013276+0.0019472i,0.00078738+0.0011704i,0.0001306+0.00085461i,-0.00030158+0.0012902i,-0.00045289+0.0018385i,-0.00040834+0.0014412i,-0.00016123+0.00035416i,0.0001752-0.00060603i,-0.00016534-0.0006137i,-0.00032698-0.00024028i,7.5245e-05+0.00049873i,0.00035517+0.00070631i,0.0003542-0.00028155i,-0.00051711-0.00020388i,-0.0014617+0.00058089i,-0.0010537+0.0003324i,0.00016394+0.00015202i,0.0006227+6.7028e-05i,0.00075016-0.00030351i,0.00028156+0.00014917i
-0.00045329+0.0014519i,-1.283e-05+0.0010406i,-0.00040375+0.00061872i,-8.9536e-05-0.00062712i,0.0012134-0.00055432i,0.0011454-0.00022826i,-0.00043512-0.00029618i,-0.00092488+0.00046728i,0.00019547+0.0011329i,0.00075772+0.00029345i,0.00079459-0.00019097i,0.00032922+0.00031282i,0.00027181+0.00037227i,0.00073936+0.00033944i,0.00030628-0.00032907i,1.3152e-05-0.00094931i,0.00016847-0.00099087i,8.2103e-05-0.00045702i,-0.00031312+0.00034513i,-0.00032627+0.00041594i,-0.00034762+0.00010091i,-0.00020551+0.00015706i,1.384e-06+0.00026647i
-0.00018685+0.00036237i,-0.0009153+0.00092038i,-0.00068393+0.0012844i,-0.00040456+0.001389i,-0.00017625+0.0010449i,0.00078468+0.00026637i,0.00080577-0.00030391i,-0.00017028+0.00014048i,0.00031105+0.001029i,0.0010617+0.00060079i,0.00032568-8.8039e-05i,1.8196e-05+0.00012871i,0.00049469+0.00065533i,0.00087873-9.0015e-05i,0.00035478-0.00036792i,-0.00098283+0.00012419i,-0.0011494-4.0753e-05i,-0.00031137+0.00024158i,0.00024436+0.00080163i,0.00060534+0.00037317i,0.0007214-2.5151e-05i,0.00042053-0.00029353i,0.00034292-0.00013459i
-0.00043211-0.00014551i,0.00018184-0.00060093i,0.00064906+0.00092119i,-0.00021423+0.0020101i,-0.00050818+0.001675i,-7.6744e-05+0.0012159i,5.0789e-05+7.5208e-05i,-0.00084575-6.326e-05i,-0.0015294+0.00032268i,-0.001469+0.0005285i,-0.00081199+0.00071047i,-0.0002177+0.00015126i,-0.00031155-2.2174e-05i,-0.00060988+2.8746e-05i,-0.00032453-7.9556e-05i,0.00018016-1.5696e-05i,-0.00016918-0.00046186i,-0.00063737-0.00042115i,-0.00065915+0.00017998i,-0.00031799+0.00055554i,4.843e-05+0.0005876i,0.00017387+0.00033493i,3.6493e-05-0.0001525i
0.00055438+0.0019486i,0.00031852+0.001471i,0.00013205+0.00098923i,0.00013499+0.00067898i,0.00059573+0.0011059i,0.00015372+0.0012226i,-0.00037086+0.00083748i,-0.0004826+0.0010226i,-0.00066817+0.00065002i,2.1283e-05-0.00049361i,0.00064019-0.00058897i,0.00028496-3.4042e-05i,0.00012859-0.00018087i,0.00085289-0.00060312i,0.0007362-0.00071616i,-0.00023621-0.00081671i,-0.00032041-5.8432e-05i,-0.00057044+0.00047183i,4.2367e-06+0.00065194i,0.00043017+0.00023978i,-0.00031252-0.00078056i,0.00013651-0.00045269i,0.00085719+0.00062754i
-0.00096724-1.4803e-05i,-0.00042106+0.00048001i,-0.00048494-5.8554e-05i,-9.6714e-05-0.00033826i,0.0002414+0.00070458i,0.0013644+0.0008753i,0.0013836+0.00025173i,4.8141e-05+3.3599e-05i,-0.00052267+0.00056277i,-0.00010356+0.00064096i,0.00040303+0.00016185i,0.00018529+9.5911e-05i,4.3235e-05+0.0001251i,0.00014887+0.00060537i,-0.00049205+0.0010261i,-0.00037665-9.1724e-05i,-0.00014914-0.0010652i,-0.00071855-0.00067968i,-0.00089972-0.00011706i,0.00013001-1.638e-05i,0.00072039+6.3931e-05i,0.00093003+0.00015306i,0.00043433+0.00068942i
-0.0018242-0.0007041i,-0.00049284-0.00096898i,-0.00081029+0.0010209i,-0.0014174+0.0021563i,-0.00086731+0.0019663i,-8.5686e-05+0.001789i,-2.4381e-05+0.0014194i,-0.00081111+0.00048591i,-0.00031347+0.00025573i,0.00045553+0.0004808i,-0.00031342+0.00081297i,-0.00061445+0.00078234i,0.00021657+0.0004659i,0.00071655+0.00019022i,0.00026427+2.1387e-05i,9.7548e-05-0.00021141i,-0.00020284-0.00030322i,-0.00059628-2.9717e-05i,-0.00089982+0.00095946i,-0.00061706+0.0010766i,9.4749e-05+0.00046248i,-6.4514e-06+0.00026665i,4.8846e-06-2.9791e-05i
-5.6021e-05-0.0010086i,-0.0010196-0.0013524i,-0.00091194-0.0020992i,-0.00082255-0.0014208i,-0.0015783-0.00014182i,-0.0010081+0.00095198i,-5.8585e-05+0.0011898i,-0.00051143+0.00074013i,-0.00061917-4.1929e-05i,0.00020508-0.00022951i,0.00030363+7.3239e-06i,-0.00065269+0.00051495i,-0.0012801+0.00010279i,-0.0011657+0.00048306i,-0.00070078+0.0011525i,-0.00031219+0.00036813i,-0.00026425-0.00034475i,-0.00051082-0.00018381i,-0.00033058+0.0003886i,-0.00020002-0.0002243i,-0.0005706-0.00070685i,-0.00033604-0.0001704i,-0.00066806+2.367e-05i
