0.0010756-0.00043524i,0.00060728-0.00020601i,-0.00087196+0.00053246i,-0.00075884+0.00089681i,0.00022592+0.00055176i,0.00017571+0.00035722i,0.00037371+0.0006903i,0.00023404+0.00072249i,-0.00024712+0.00044239i,0.00064769+0.00021168i,0.00045058-0.00090688i,-0.00079594-0.0016872i,-0.00084328-0.0013633i,-5.0717e-05-0.0011714i,1.5827e-06-0.00059943i,-0.00019209+0.00033213i,-0.00078617+0.0009749i,-0.00062725+0.00095744i,0.00051732+0.00051051i,2.8429e-05-0.00023252i,-0.00049291-0.00032431i,-0.00041126+0.00028875i,-0.00028547+0.0001955i
0.00026755+0.0024812i,-0.00053667+0.00087682i,-0.00061555-0.00065083i,-7.7061e-06-0.00079377i,0.00069717-0.0006333i,0.00064675-0.0016635i,0.0013351-0.0022955i,0.0016336-0.00096658i,0.00046524+0.00026539i,-0.0010852-1.3431e-05i,-0.0013369-0.00085188i,7.0134e-05-0.00058659i,0.00084687+1.0208e-05i,0.00011669+0.00020002i,-0.0006178+0.00030015i,-2.015e-05-6.2495e-05i,-0.00080215-0.00023277i,-0.0015379+0.00014459i,-0.00047143+0.00043635i,0.00010104-0.00034255i,-0.00021963-0.00021836i,-0.00010282+0.00011117i,0.00065642-9.2899e-06i
-0.0013958-0.00015658i,-0.00034934-0.00018734i,-9.6952e-05+0.000409i,-0.00033079+0.00088444i,0.00027094+0.0012625i,0.0012413+0.00034061i,0.0020886-0.0008859i,0.0015942-0.0010921i,0.00078051-0.0010412i,0.00045945-0.00031845i,0.00038596+0.00021963i,0.00070442-0.00019431i,0.00020801-0.00023833i,-0.00027645-5.6339e-05i,0.00016714-0.00036225i,4.0725e-05-0.00031175i,3.5682e-05+0.00036574i,0.00034748+0.00051294i,-0.00033692-0.0004714i,-0.00073328-0.00047878i,-0.00014748+0.0005607i,0.0004203+0.00040157i,0.00046973-4.2909e-05i
-0.0013504-0.0015292i,-0.00044488-0.0016129i,5.9824e-06-0.00038902i,0.0003122+0.00064245i,0.00022509+0.00047961i,0.0010484-8.2791e-05i,0.0017179-0.00055659i,0.0011572-0.00048205i,-0.00018312-0.00057323i,-0.00056607-0.00032399i,0.00013792+4.9289e-05i,-0.00011552+0.00063329i,-0.00033473+0.0010727i,9.7182e-05+0.00038856i,0.00066334-3.3755e-05i,0.00075465+0.00040149i,0.0010064+0.00032672i,0.0011693+6.5497e-05i,0.00075273-0.00016915i,0.00044315-0.0005659i,3.1897e-05-0.00079207i,4.2054e-05-0.00039292i,5.4329e-05-0.00027815i
0.0025849+0.00033355i,0.0027046-0.0010217i,0.0018112-0.0020877i,0.00031466-0.0013718i,-0.00055192-0.00035587i,-0.001006-0.00018285i,-0.000367-0.00053184i,0.00047999+0.00028i,0.00073736+0.00071071i,0.00068007+0.00049349i,0.00054431+0.00057052i,-5.8662e-05+0.00045784i,-0.00044832+0.00037559i,-0.00061346+0.00033351i,-0.00017321-0.00059699i,-8.6116e-05-0.00042366i,-0.00070274+2.9214e-05i,-0.00099105+8.75e-06i,-0.00061323+8.0349e-05i,-0.00066486-0.00012482i,-0.00019323+0.00033534i,0.00044902+0.00063765i,-9.2438e-05+6.9544e-05i
-0.00090772+0.00089826i,-0.0011825+0.00082561i,-0.0011553+0.00026127i,-0.0011254-0.0001153i,-0.0010323+1.0028e-05i,0.00091975-0.00030474i,0.0018453-0.0015457i,0.00096856-0.0016732i,-0.00015016-0.0010473i,-0.0011679-0.00067792i,-0.00085792-0.00045653i,-0.0004904-0.00026812i,-0.00078031+6.286e-05i,-0.00046565-0.00023569i,-0.00016988+0.00010712i,0.00030746+0.00044113i,0.00090715+0.00039005i,0.0010709+0.00028884i,0.001174+0.00020506i,0.00017947+0.00075195i,-0.00082236+0.00030964i,-0.00037375-0.00038765i,8.2716e-05-0.00021754i
0.001447-0.0012891i,0.0025526-0.00063772i,0.00028616+0.000594i,-0.0010444+0.00041083i,0.00021602+1.4554e-05i,0.00072225-0.00036315i,0.00038096-0.00049831i,-0.00040139-0.00011826i,-0.0010482+0.00037356i,-0.00056078+9.6333e-05i,-0.00026161-0.0001833i,-0.00031285-0.00068742i,-0.00010823-0.00055471i,0.00018425-0.00016995i,8.7807e-06-0.00020091i,-0.00060968+0.00027924i,-0.0012547+0.00063641i,1.5462e-05+0.00023438i,0.00070492-0.00067708i,0.00019176-5.5132e-05i,9.0823e-05+0.00082117i,-3.6175e-06+0.00013854i,-0.0006503-5.816e-05i
9.3226e-05-0.0023149i,-0.00035877-0.0010834i,-0.0010057+0.00085092i,-1.5023e-06+0.001154i,0.0017269-0.00019739i,0.0029531-0.0006565i,0.0022381-0.00089023i,0.00085877-0.00081168i,0.00036789+0.00014397i,0.00040576+0.0008137i,0.00080713+0.00076487i,0.00057561+0.00016079i,0.0002733-0.00062421i,0.00050804+3.2213e-05i,0.0011306+0.0008034i,0.0011925-1.431e-06i,0.00070815+0.00015256i,-0.00016524+0.0011362i,-0.00053886+0.001018i,3.8167e-05+0.00048305i,0.00077241+5.427e-05i,0.0003647-0.00011501i,-0.00058419+0.00032892i
0.0013395+0.00056613i,0.00038423+7.9311e-05i,-0.0010504-0.00065143i,-0.0013752-0.00088078i,0.00033506-0.00018142i,0.0012586-0.0006199i,0.00086408-0.0018165i,9.2813e-05-0.0010609i,-0.00068418-2.1921e-05i,-0.0006754+0.00046866i,-0.00055851+0.00033317i,-0.00014745-0.00055075i,0.00066505-0.000532i,0.00049573-0.00022938i,-6.256e-05-0.00034321i,7.1848e-05-0.00026716i,4.6781e-05+2.1567e-05i,-8.5632e-06-0.00056546i,-1.1184e-05-0.00030772i,0.00017763+0.00043079i,0.0011082+0.00056718i,0.0013774-0.00015512i,0.0007303-0.0004996i
-0.00090619-0.00012458i,-0.00027675+0.00051279i,9.4875e-05-0.00059517i,7.7653e-05-0.0014192i,-0.00014715-0.0011336i,-5.1236e-06-0.00064861i,0.00034264-0.0001603i,0.00028247+0.00035519i,-0.00012162+4.6152e-05i,0.0004969-0.00033747i,0.00093753-0.00046802i,0.00028082-0.00010927i,-0.00035522+0.00024597i,0.00010998+0.00041648i,0.00085576+0.00061719i,0.00069314+0.00053567i,0.00013096+0.00029294i,-0.00041673-5.7538e-05i,-0.00033315-0.00027255i,0.00018343-0.00065234i,0.00018032-0.00074741i,-0.00036551-7.2862e-05i,-0.00029851+2.7717e-05i
0.0021874-0.0024802i,0.00072161-0.0018662i,-0.00068076-0.00028726i,-0.00019329+0.0016152i,0.0010189+0.0012217i,0.0011764-0.00031873i,0.0012034-0.00084851i,0.0013522-0.00068656i,6.0571e-05+7.995e-05i,-0.00012647+0.00051029i,0.00063687-0.00029899i,6.0732e-05-0.0006793i,-0.00052762+0.00018351i,-4.1424e-05+0.00063949i,5.5595e-05+0.000847i,0.00046981+1.5568e-05i,0.00096702-0.00056901i,0.00097324-0.00041901i,0.00089206-0.00010164i,0.00044313+0.00070836i,7.7337e-05+0.00046242i,-0.00068785-0.00058801i,-0.0011537-0.00051457i
-0.00041582+0.0017232i,0.00037307+0.0013323i,0.001854+0.00028657i,0.0017306-0.00040296i,0.001072-0.00059226i,0.00071708-0.0010512i,0.00025827-0.0015576i,0.0001381-0.00087128i,-2.2512e-05-0.00064445i,0.00021598-8.5981e-05i,0.00079325+0.00045736i,0.00023922+1.0676e-05i,-0.0010316+0.0001453i,-0.0006414+0.00022363i,0.00042591-0.00016486i,0.00022463-0.00043468i,0.00022779-0.00090922i,0.00076562-0.0011283i,0.00099537-0.0006442i,0.0010882+7.8524e-05i,0.0006324+0.00062946i,0.00031821+0.00051049i,0.00026505-2.5438e-05i
0.00051552-0.00091057i,0.00038309-0.00012331i,-0.00022121+0.00056581i,-0.00097288+0.0012946i,-0.00024556+0.0012097i,0.0010215+0.00071142i,0.00046082+0.00039384i,-0.00089489+0.00040354i,-0.00098453+0.00048952i,-8.6409e-05+5.4028e-05i,0.0003473+0.00020479i,-0.00042899+0.00083187i,-0.00042865+0.00087063i,-0.00020333+0.0006233i,-0.00039706+0.00039103i,-0.00058206-0.00051135i,-0.00090211-0.00099835i,-0.00061606-0.00012907i,-0.00024634+9.8709e-05i,-0.00028795-0.00014499i,-0.00015171-8.7042e-05i,0.00023108-0.00061941i,0.00052295-0.00079904i
0.0021977+0.00048294i,0.0020409-0.00092258i,0.0012119-0.0028193i,0.00054902-0.0018145i,0.00068806+0.00010978i,0.0011664+0.00027853i,0.0013652-0.00019368i,0.00055744-0.00052925i,-0.00060401-0.0010215i,-0.00017625-0.00033975i,0.00012023+0.00036939i,-0.00075657-0.00063666i,-0.00066728-0.00080038i,-9.074e-05+0.00035786i,0.00011294+0.00077452i,0.00011981+0.00059912i,-0.00014476+0.00087751i,-0.00066854+0.00065698i,-0.00051022+0.00033665i,0.0001796-7.7587e-05i,0.00065229-0.0002756i,0.00048556+0.00021398i,0.00031402+0.00036714i
0.0010101+7.2163e-05i,0.0013875-0.00029083i,0.00077484-0.00047398i,0.00053446-0.0002435i,0.00075604+3.1305e-05i,0.0016212-0.00029884i,0.0017702-0.0010951i,0.0011544-0.0013213i,0.0007341-0.00090869i,0.00071138-0.00032107i,0.00014835-5.6347e-05i,-0.00011502+0.00033866i,0.0007157+0.0011059i,0.0011258+0.0010805i,0.00025186+0.00046074i,-0.00015767+0.00040543i,3.4792e-05+8.9727e-05i,-1.1269e-05+5.0593e-05i,-8.7386e-05+2.1126e-05i,-0.00058499+0.00076168i,-0.00089173+0.00092638i,-0.00035735+0.0002354i,-0.00018038-1.5146e-05i
-0.00071761+0.00032957i,0.00034132+0.00063076i,0.00090512+0.00017961i,0.001174+0.00026123i,0.0011627-0.00011671i,0.00062549-0.00056554i,-0.00041283-0.00067755i,-0.00049325-0.00088448i,0.00011423-0.00054634i,0.00015464-0.00017908i,0.00021673-0.00043808i,9.438e-05-0.00054414i,1.428e-06-0.00039044i,0.0003065-0.00035113i,0.00070595-0.00071432i,0.00012219-0.00099302i,-0.00021112-0.00057856i,0.00012028+9.4551e-05i,-0.00022338+0.00019291i,-0.00039658+0.00010959i,-0.00060751-0.00020831i,-0.00028322+3.9079e-06i,-0.0003459+0.00023504i
0.00062358-0.00018006i,0.00069058+0.001326i,0.00055086+0.0019862i,0.00088351+0.0021623i,0.00066745+0.00080056i,6.3812e-05-5.6932e-05i,-0.00034286-0.00036246i,-7.3859e-05+2.1014e-06i,-0.00073701+0.0011613i,-0.00019485+0.00027523i,0.0012503-0.0010768i,0.0010305-0.00026537i,0.00040779+0.0012096i,0.00071212+0.0014137i,0.00095376+0.0010253i,3.7972e-05-0.00038726i,-9.9236e-06-0.00047879i,1.6036e-05+0.00037225i,-0.00041574+0.00026155i,-0.0003201+5.5404e-06i,-0.00027342+0.00033308i,-0.00050488+1.4532e-05i,-0.00050904-0.0004553i
0.0013946+0.00076635i,0.0014645-0.00047773i,0.0013252-0.00025345i,0.00062984-0.00024715i,0.00088137-0.0010097i,0.00067136-0.00061176i,0.00052039-0.00021099i,0.0002283-0.0005037i,1.8585e-05+0.00010315i,-1.6569e-05+0.00020866i,-0.00018778-0.00030352i,-0.00077011+0.00029347i,-0.00048305+0.00081233i,0.00020142+0.00036672i,-2.6486e-05+0.00033014i,-0.00016934+0.00054904i,0.00026991-3.7535e-05i,0.00033783-0.00017473i,-3.7808e-05-0.00030971i,0.00011161-0.00060902i,1.7047e-05-0.00033426i,-0.00026786-0.00083069i,-0.00084185-0.00083477i
0.00046646+0.0017572i,0.00074695+0.0021102i,0.00032209+0.0014088i,0.0006072+0.00057168i,0.0010139+0.00016579i,0.00074559-0.00043865i,0.0006753-0.0014371i,0.00020682-0.0022614i,-0.00023053-0.0011483i,-0.00041281-0.00027312i,-0.00034763-0.00052664i,-0.00044337-0.00016626i,-0.00021707+0.00028306i,0.00050513-0.0002878i,0.00074837-0.00085002i,0.00052864-0.0010177i,-0.00034883-0.00045383i,-0.00032746-0.00011421i,0.00013829-4.9998e-05i,0.00030538+0.00037239i,0.00017679+0.00053442i,-0.00050922+0.00055114i,-0.00028656+0.00054495i
-0.001484-0.0020631i,-0.0013935-0.00263i,-0.00058688-0.0024099i,5.7327e-05-0.00085631i,0.0010016+4.1232e-05i,0.0023721-0.00045713i,0.0022266-0.0012359i,0.0013573-0.00098794i,0.00038881-0.00025827i,-8.7041e-05-9.8439e-05i,4.4293e-05+0.00033434i,0.00016504+0.00054639i,0.00072347+0.00047373i,0.0010496+0.001049i,0.001588+0.0013708i,0.0011011+0.001142i,-8.3709e-05+0.0011187i,-0.00015451+0.0010453i,0.00053848+0.00069249i,0.00018201-6.2078e-05i,-0.00053699-8.9582e-05i,-0.00082887+0.00020927i,-0.00061642+0.00029475i
0.0040955+0.00036528i,0.005039-0.0012864i,0.0040887-0.0011565i,0.0023835+0.00049423i,0.00052652+0.0014381i,0.00031827+0.00080828i,0.00084048-9.6521e-05i,0.00073838-0.00054493i,0.00024943-0.00035123i,0.00042154-2.4336e-05i,-5.4057e-06-0.00031365i,-0.00070593-0.0002567i,-0.00022934+5.8277e-05i,0.00026199+0.00062006i,8.7474e-05+0.00037392i,-0.00046431-0.00044763i,2.2247e-05-0.00037488i,0.0004813-2.1394e-05i,0.00054942-6.9117e-05i,0.00059315-0.00019839i,0.00013299-4.2329e-05i,0.00020093-0.00010116i,0.00068581+0.00029378i
0.00010202+0.0018889i,-9.624e-05+0.001863i,-0.00059117+0.0015587i,-0.00031544+0.0011255i,0.0012138+0.00095483i,0.001995+0.0005169i,0.0013872-9.4542e-05i,0.00012808-0.00081157i,-0.00019648-0.00027292i,0.00023396+0.00075247i,0.00026058+0.0011059i,0.00028041+0.0010983i,0.00064139+0.00069375i,0.0011151-0.00043495i,0.00091594-0.0010523i,0.00053002-0.00034088i,0.0010111+0.00049175i,0.001208+0.0010337i,0.00096843-8.9344e-05i,0.00056074-0.00039752i,6.4506e-05+4.7586e-05i,-8.4875e-05-0.00067028i,-0.00016399-0.0009446i
0.00091614+0.00065009i,0.00055124+0.00047424i,0.00085431+0.00016504i,0.0011637+0.00051783i,0.00048999+0.00029322i,0.00035857-0.0012831i,0.00056497-0.0011701i,0.00032404-0.00034209i,-9.1601e-05-0.00033712i,0.00012571-7.4528e-05i,0.00083265+0.00070456i,0.00016215+0.00094357i,-0.00073444+0.00054115i,-0.00090236+3.4899e-06i,-0.00099417+0.00012021i,-0.00025613+0.00054569i,0.00019635+0.00031371i,-0.00021209-5.4084e-05i,-0.00013526+0.00051866i,-0.00017876+0.00078724i,-0.00071325+0.00077309i,-0.0014702+0.00054162i,-0.0012527-0.00013485i
0.00073873+0.001432i,0.0014072+1.8538e-06i,0.0014529-0.00035892i,0.0012301+0.00043899i,0.0012928+0.00056877i,0.00095031+0.00031942i,0.00089794-0.00048168i,0.00092147-0.00042967i,0.00033479+0.00016326i,6.8583e-05+0.00039187i,9.0499e-05+2.1382e-05i,0.00024824-0.00045653i,0.00037459-0.00067292i,-0.00017257-0.0010249i,-0.00026669-0.00054956i,0.00046639+0.0001036i,-7.6995e-05-0.0005461i,-0.00086228-0.00081796i,-0.0011131-0.00026596i,-0.0006202+0.00020984i,0.00020904+0.00033557i,0.00077106-7.0175e-05i,0.00066981-0.0007221i
-0.001174-0.0010231i,-0.00026379-0.0021138i,-0.00023644-0.0011967i,1.0331e-05-0.00051194i,0.0012948-0.00055709i,0.0019672-0.00034642i,0.0013909-0.00084428i,9.9586e-05-0.0011007i,-7.4674e-05-0.00079243i,0.00062689+0.00013413i,0.00071826+0.00059251i,-0.00010517-0.00026771i,-0.00049318-0.00027651i,-0.00011088+3.0454e-05i,0.00025098-2.6483e-05i,0.00051532+0.00032835i,0.00040894+0.00011719i,0.00043245+3.5728e-05i,0.00042297+2.7526e-05i,1.1556e-05+0.00017908i,-0.00044458+0.00039004i,-0.00046097+0.00060559i,-0.00025906+0.00084427i
-0.00026641-0.00056277i,0.00054176+0.00051396i,0.00049951+0.0011294i,-2.7243e-05+0.0014895i,0.0003171+0.0010426i,0.0020973+0.00013774i,0.001686-1.7863e-05i,-0.00019983-0.00020139i,-0.00067271-0.00016902i,-0.00062134+0.00024193i,-0.00035662+0.001137i,0.00030671+0.0011177i,0.00013171+0.00094699i,-0.00025191+0.0014366i,0.00065618+0.0010568i,0.00048878+0.00091293i,0.00038049+0.00033121i,0.0002199-0.00018222i,0.0002781-0.00010719i,0.00047765+0.00043481i,0.00022817+0.00073696i,0.00044922+0.00030162i,0.00042649+0.0002054i
0.0031224-0.00057155i,0.0031368+0.00064337i,0.0018382+0.0007207i,0.0010008+0.00052404i,0.0009004-0.00019481i,9.7586e-05-0.0012788i,-0.00074155-0.0010376i,-0.0012417-0.00049307i,-0.00088398-5.8766e-05i,6.5484e-05+0.00039135i,0.00011334+0.00026818i,-0.00043314+1.6926e-05i,-0.00043599+0.00011427i,0.0001915+6.0595e-05i,-5.235e-05-0.00036036i,-0.00050046-0.00042246i,-0.00011634-0.00011475i,0.00017312+0.00033761i,0.00019504+0.00045484i,-7.2885e-05+0.00034607i,8.0362e-05+0.00071184i,-0.0001044+0.0010508i,-1.2388e-05+0.00070942i
0.0010815-0.001415i,0.0013993-0.00067447i,0.0011533+0.00024172i,0.00059725+0.00014533i,0.00066565-0.00055868i,0.0002405-0.00064378i,0.00026905-0.00018773i,0.00059687+0.00029432i,0.00019993-0.00010723i,-2.2056e-06-0.00046074i,-0.00025534-0.00016216i,-0.00024797+0.00031835i,-0.00059474+0.00068074i,-0.00085492+0.00067087i,-0.00080119+0.0004084i,-0.0008648+3.8939e-05i,-0.0006715-0.00019383i,-0.00045193+0.00011118i,-0.00033008+0.00034853i,-0.00022479+0.00062184i,0.00033642+0.0003096i,0.0003791+0.00023306i,0.0003667+0.00078551i
-0.00076175+0.0010247i,-0.00038542+0.00022342i,-0.00075223+0.0002095i,-0.001492+0.0003656i,-0.0016113-0.00012359i,-0.00031971-0.001192i,0.00050525-0.0018015i,0.00015582-0.0011876i,0.00011853-0.00017286i,0.00034926+0.00049237i,0.00039355+0.0013029i,0.000522+0.0010954i,0.00094441+0.00011197i,0.00037304-0.00082995i,-0.00030165-0.0016466i,0.00020868-0.00032307i,0.0004897+0.00096106i,-0.00036361+0.00025546i,-0.0013675+4.1001e-05i,-0.0009379+0.00032632i,-3.7102e-05-0.0001777i,0.00036234-0.00062452i,0.00023252-0.00057236i
0.00090723-0.0010127i,0.00023991-0.00067848i,-0.00061982-0.0011869i,-0.00046322-0.00086722i,0.00012662+7.7771e-05i,0.00097817+0.00094497i,0.0016876+0.00060669i,0.00064037-0.00033774i,-0.0005798-5.3801e-05i,-0.00047595+0.00052559i,-0.00042145+9.0401e-05i,-0.00053296-8.0611e-05i,0.00013461-0.00012068i,0.00072157+0.00042535i,0.001145+0.0014879i,0.0011179+0.0011944i,0.00075758+0.00072989i,0.0006871+0.00040973i,0.00094858+0.00016551i,0.00048977+0.00022968i,-0.00036457-0.00046403i,-0.00046963-0.00097363i,-7.0299e-05-1.9302e-05i
0.00064075-0.0011428i,0.0013025-0.0017752i,0.0015509-0.0014511i,0.0015961-0.00023899i,0.0016708+0.00067443i,0.0016173+0.00067733i,0.00098141+0.00022179i,0.00015954-0.00027698i,0.00014584-0.00039609i,0.00058563-0.0010659i,0.0008198-0.00053892i,0.00054174+0.00022109i,-2.8982e-05+0.00037393i,8.8695e-05+2.9075e-05i,0.00039365-0.00015528i,-0.00045206+0.00022822i,-0.00097326+0.00060169i,-0.00092095+0.00066158i,-0.00078196-5.5005e-05i,-0.00044474-0.00075626i,0.00011869-0.00084246i,0.00032993-0.00042779i,0.00016813+0.00081706i
-0.0019352+0.0020536i,-0.0013205+0.0013607i,-0.00056257+0.0026365i,0.00060513+0.0030408i,0.0021755+0.0014098i,0.002235-0.0010873i,0.0012228-0.002009i,0.0005542-0.001301i,-0.00029541-0.00064922i,-1.008e-05-0.00041412i,0.00077018-0.00060168i,0.00070782-9.237e-05i,0.00075736+0.00018591i,0.00039116-0.00040115i,5.0066e-05-0.0012006i,-0.00018347-0.0011383i,0.00077306-0.00093252i,0.0012606-0.00041011i,-0.00025489+0.00025773i,-0.00039997+0.000501i,0.00039284+0.00047058i,0.00035188+0.00044079i,-0.00030126-5.3794e-05i
-0.00085201+0.0025018i,-0.00014916+0.0029245i,0.00048931+0.0029903i,0.00042325+0.002373i,0.00060391+0.0010344i,0.0009132+9.9728e-05i,0.00063203+0.00028117i,4.1442e-05+0.00034797i,-0.00054516-4.0967e-05i,-3.5756e-05-0.0001511i,0.00054422-0.0001524i,-0.00012955-9.8419e-05i,-0.00024423-0.00025762i,0.00027832+0.00012341i,0.00015624+8.6615e-05i,0.00010107-0.00010996i,-0.00033611+0.00021972i,-0.00041667+0.00051394i,0.0006878+0.0007584i,0.0010207+0.0008019i,0.00054563+0.00052426i,0.00033243+0.00044033i,0.0001697+0.00054639i
