0.0010994+0.0016842i,0.00072414+7.0023e-05i,-0.00011948-0.001042i,-0.00097023-0.00051508i,-0.00040091+0.00029978i,0.000129-5.2741e-05i,-0.00067789-0.0002888i,-0.00013025+0.0003037i,0.00064897+0.00094952i,0.00038602+0.00078951i,7.8493e-05+1.6184e-05i,0.00034+0.00020042i,0.00057512+0.00042868i,-3.0824e-05-8.7444e-06i,-0.00053637-0.00018205i,-0.00029241-0.00037667i,-0.0003517-0.00061162i,0.00017793-0.00071723i,0.0011516-0.00045372i,0.00080232+0.00024519i,-0.00026624+0.0001731i,3.8886e-05-0.00023231i,0.00087085+6.1961e-05i
-0.0010949+0.0023702i,-0.00094516+0.0016201i,-0.00075753+0.00070207i,-0.00048345+0.00077912i,-6.7828e-05+0.00093655i,0.00037563+0.001175i,0.00058481+0.0014276i,0.0010159+0.001229i,0.0008185+0.00050832i,2.8487e-05-0.00019656i,0.00022134-0.00024875i,0.00032807+0.00026745i,-0.00058157+5.3952e-05i,-0.00024998+0.00014304i,0.00036456+0.00015311i,0.00064702-0.00062986i,0.00065806-0.00055604i,0.00021484-0.00036638i,0.00021499-0.0005275i,0.00035243-0.00047708i,9.4951e-05-0.00032024i,-0.00013869-0.00028389i,0.00054192-4.9405e-05i
-0.0012877+3.7665e-05i,-0.0022642-0.0011565i,-0.0014082-0.0009181i,-0.00051576-2.0541e-06i,-5.1915e-05+8.4612e-05i,-0.00015153+0.00049259i,-6.4912e-05+0.00085858i,-0.00012995+0.00058962i,-0.00025378+0.00048414i,-7.8296e-05+0.0005994i,0.0007438+0.00033852i,0.00069751+4.8147e-05i,-0.00077601+0.00035808i,-0.00076936-0.00011936i,-0.00034872-0.00086939i,-0.00060874-0.00064785i,-0.00046404-0.00029487i,6.0354e-05-0.00012731i,0.00067193-0.00017435i,0.00064654+0.00030391i,4.1165e-05+0.00070571i,-0.00041096+4.8798e-05i,-0.00054693-4.0592e-05i
0.00082176-0.00057133i,-0.00081437-0.00016575i,-0.0015611-0.00052641i,-0.00076735-0.00040623i,-0.00026475+0.00036004i,0.00015635+0.00053168i,0.00085742+0.00097515i,0.00071918+0.00055705i,-0.00064407-0.00037887i,-0.0012058+0.00041586i,-0.0003127+0.0010219i,0.00012+0.00022245i,0.00014948-0.00079648i,0.00035086-0.00052674i,0.00070944-0.00034095i,0.00054951-0.00047373i,-0.00047279-0.00037516i,-0.00038263+9.5298e-05i,0.00019318-9.7367e-05i,0.00067835-0.00032852i,0.00077157+0.00025544i,0.00053679+0.00090169i,0.0011042+0.0010013i
-0.0013741-0.00011107i,-0.0017483+0.00039859i,-0.0022631+0.00071453i,-0.001838+0.0012628i,-0.00045386+0.0015652i,0.00011456+0.0015044i,6.9654e-05+0.00039873i,-0.00075325-0.00090266i,-0.00077688-0.00019874i,-0.00038799+0.00054019i,-0.00028328-0.00023898i,-0.00011462-0.00059251i,0.00059589+0.00040897i,0.00082281+0.00091619i,0.00044511+0.00055897i,0.00030836+0.0007425i,0.00086851+0.00025878i,0.0009493-0.00058367i,0.00011655-0.00012344i,-0.0001804+0.00039717i,-0.00014998-0.00015551i,-0.00076836-0.00048328i,-0.00026701-0.00017763i
-0.0015159+0.001326i,-0.0017356+0.0011574i,-0.0014281-0.00029251i,-0.00083628-0.00080558i,0.0002916+0.00035985i,0.00074877+0.0010032i,0.0002053+0.00059451i,-3.7994e-05+0.00014893i,-0.00012363+0.00043358i,-0.00042293+0.001844i,7.137e-05+0.0017186i,0.00016937+0.00016993i,0.00021754+8.3292e-06i,0.00026116+0.00065488i,0.00032883-1.8441e-07i,0.0010914-0.00078867i,0.0011804-0.00048943i,0.00068032+0.00036514i,-0.00030603+0.00028992i,-0.0011678-0.00010378i,-0.00062167+0.00052759i,-0.0002739+0.0011911i,-0.00030244+0.00039578i
-0.0013706+0.00055158i,-0.001214+0.00090862i,-0.00062962+0.00035975i,-0.00014868+0.00017149i,0.0005464+0.0004505i,0.00043092+0.00095398i,-0.00040351+0.00065967i,-0.00031236+2.02e-05i,-0.0004332-0.0002529i,-0.00050393+0.00049467i,-0.00048165+0.00062918i,-0.00015298-0.00025223i,0.00027467-0.00017216i,-0.00024688+0.00040583i,-0.0003103+0.00055253i,0.00045296+9.6226e-06i,0.00026694-0.00066179i,-0.00077298-0.00040165i,-0.0011352+1.6506e-06i,-0.00078215+8.1246e-05i,-0.00050716+0.00011206i,-0.00016039-0.00011013i,0.00017615-5.3876e-05i
-0.0055816+1.6096e-05i,-0.0046676+0.0013793i,-0.0033809+0.0028051i,-0.0017111+0.0029727i,-7.6584e-05+0.0020755i,0.00074145+0.0010089i,0.0013082-8.4249e-05i,0.0012101-0.0011229i,-0.00062624-0.0012196i,-0.0012467-0.00039876i,-0.00011679-0.00016505i,0.00089076-0.0005225i,0.00096263-0.00010405i,0.00098255+0.00055897i,0.0016675+0.00067221i,0.0019726+0.00059798i,0.00092035+0.0007106i,0.00020769+0.00018355i,0.00010619+0.00027773i,0.0003129+0.00079012i,0.00059913+0.00052498i,-2.1918e-05-0.00033582i,-0.00056606-0.00078092i
0.00065536-0.0015993i,-0.00031806-0.0023781i,-0.00094805-0.0024441i,-0.00013453-0.0016333i,-0.00032481-0.00018143i,-0.00071733+0.00042203i,-0.00033373+0.00050214i,-0.00043061+0.00083009i,-0.00054921+0.00086946i,-0.00053116+0.001291i,-0.00065138+0.0017102i,-0.0013763+0.0013033i,-0.00088432+0.00086703i,0.00011675+0.00067379i,-0.00010284-0.00021225i,-0.0003337-0.00025519i,-0.00053832-0.00097732i,-0.0001458-0.0012253i,1.7945e-05+3.7905e-05i,5.0895e-05+0.00022911i,-5.9994e-05-0.00019582i,4.0241e-06-0.00087646i,0.00018644-0.00015768i
0.00018367+0.0027273i,-0.00018142+0.0016444i,0.00064209+0.0012093i,0.00073738+0.00085987i,0.00059477+0.00038791i,0.00020801-0.00027485i,-0.00044285-0.00034326i,0.00030278+0.00092794i,0.00053315+0.0010255i,-0.00032281+0.0001706i,-0.00024321+0.00041996i,0.00015475-0.00010967i,0.0002317-0.00032903i,3.3316e-05-0.00013802i,0.0001236-0.00096981i,0.00015769-0.00093048i,0.00016298-0.00040757i,0.00026566-0.00014282i,-5.3575e-05+0.00025989i,-0.00036312+0.00024445i,0.00026126-0.00034174i,0.0010816-0.00061144i,0.0009422-0.00046288i
